序号,动作名称,第三人称动作ID,第一人称动作ID,关联序号（关联animact的序号）,图标(没填不会出现在表情动作库里),特效,表情,触发器开放（1=人物动作 2=怪物动作 3=通用动作）,stringID
100155,FPS机枪待机,100155,,,,,,3,
100156,FPS机枪射击,100156,,,,,,3,
100157,FPS机枪换子弹,100157,,,,,,3,
100158,第三人称手枪射击,100158,,,,,,3,
100159,第三人称步枪射击,100159,,,,,,3,
100160,第三人称手枪待机,100160,,,,,,3,
100161,第三人称步枪待机,100161,,,,,,3,
100162,第三人称手枪换子弹,100162,,,,,,3,
100163,第三人称步枪换子弹,100163,,,,,,3,
100164,斧头横砍,100164,,,,,,3,
100165,镐子蓄力开始,100165,,,,,,3,
100166,镐子蓄力循环,100166,,,,,,3,
100167,镐子蓄力攻击,100167,,,,,,3,
100168,钻石剑蓄力开始,100168,,,,,,3,
100169,钻石剑蓄力攻击,100169,,,,,,3,
100170,TPS机枪待机,100170,,,,,,3,
100171,TPS机枪射击,100171,,,,,,3,
100172,TPS机枪换子弹,100172,,,,,,3,
100173,斧头横砍,100173,,,,,,3,
100174,蓄力挖掘,100174,,,,,,3,
100175,Body金枪|矛蓄力,100175,,,,,,3,
100176,Body金枪蓄力攻击,100176,,,,,,3,
100177,Body矛蓄力攻击,100177,,,,,,3,
100178,Body钻石剑蓄力,100178,,,,,,3,
100179,Body钻石剑蓄力攻击,100179,,,,,,3,
100180,爆爆蛋转圈,100180,,,,,,3,
100181,萌宝拔农作物,100181,,,,,,3,
100182,TPS狙击枪射击,100182,,,,,,3,
100183,玩法模式胜利动作,100183,,,,,,3,
100184,商城展示动画2,100184,,,,,,3,
100185,FPS拉枪栓动作,100185,,,,,,3,
100186,狙击枪换子弹,100186,,,,,,3,
100187,射球、传球动作,100187,,,,,,3,
100188,铲球动作,100188,,,,,,3,
100189,歪头思考动作,100189,,,,,,3,
100190,起床动作,100190,,,,,,3,
100191,饿得做在地上,100191,,,,,,3,
100192,,100192,,,,,,3,
100193,跳舞,100193,,,,,,3,
100194,,100194,,,,,,3,
100195,,100195,,,,,,3,
100196,逃跑举着手,100196,,,,,,3,
100197,水上待机（海豹坐骑）,100197,,,,,,3,
100198,BOSS-左手攻击,100198,,,,,,3,
100199,BOSS-右手攻击,100199,,,,,,3,
100200,BOSS-双手攻击,100200,,,,,,3,
100201,BOSS-出场动作,100201,,,,,,3,
100202,BOSS-晕眩,100202,,,,,,3,
100203,BOSS-捶地动作,100203,,,,,,3,
100204,BOSS-石像海啸发射动作,100204,,,,,,3,
100205,BOSS-空中巴掌动作,100205,,,,,,3,
100206,BOSS-空中巴掌动作,100206,,,,,,3,
100207,打招呼,100207,,,,,,3,
100208,哭泣,100208,,,,,,3,
100209,生气,100209,,,,,,3,
100210,感谢,100210,,,,,,3,
100211,倒地,100211,,,,,,3,
100212,pose,100212,,,,,,3,
100213,Avatar转头,100213,,,,,,3,
100214,Avatar转圈,100214,,,,,,3,
100215,Avatar叉腰,100215,,,,,,3,
100216,Avatar抬腿,100216,,,,,,3,
100217,Avatar转身,100217,,,,,,3,
100218,Avatar亲亲,100218,,,,,,3,
100219,Avatar坏笑,100219,,,,,,3,
100220,Avatar尴尬,100220,,,,,,3,
100221,Avatar发呆,100221,,,,,,3,
100222,Avatar摇头,100222,,,,,,3,
100223,Avatar喜欢,100223,,,,,,3,
100224,Avatar挖鼻屎,100224,,,,,,3,
100225,Avatar点赞,100225,,,,,,3,
100226,Avatar害羞,100226,,,,,,3,
100227,Avatar流泪,100227,,,,,,3,
100228,Avatar可爱,100228,,,,,,3,
100229,Avatar受气包,100229,,,,,,3,
100230,Avatar困,100230,,,,,,3,
100231,Avatar惊讶,100231,,,,,,3,
100232,Avatar晕,100232,,,,,,3,
100233,Avatar烧焦,100233,,,,,,3,
100234,Avatar拜拜,100234,,,,,,3,
100235,运球,100235,,,,,,3,
100236,阻挡,100236,,,,,,3,
100237,盖帽,100237,,,,,,3,
100238,投篮、传球,100238,,,,,,3,
100239,Avatar静止,100239,,,,,,3,
100240,骑乘,100240,,,,,,3,
100241,变形-人变车,100241,,,,,,3,
100242,变形-车变人,100242,,,,,,3,
100243,魔龙坐骑喷火CD动作,100243,,,,,,3,
100244,被玩家举起动作,100244,,,,,,3,
100245,摇头拒绝,100245,,,,,,3,
100246,TPS扛人,100246,,,,,,3,
100247,濒死走路,100247,,,,,,3,
100248,濒死站立1,100248,,,,,,3,
100249,濒死站立2,100249,,,,,,3,
100250,濒死站立3,100250,,,,,,3,
100251,打瞌睡,100251,,,,,,3,
100252,抱抱,100252,,,,,,3,
100253,站着饥饿摸肚子,100253,,,,,,3,
100254,唱歌,100254,,,,,,3,
100255,交谈,100255,,,,,,3,
100256,疑问,100256,,,,,,3,
100257,虚空二阶-投石头,100257,,,,,,3,
100258,虚空二阶-投石头,100258,,,,,,3,
100259,虚空一阶-吼叫,100259,,,,,,3,
100260,虚空一阶-冲击波,100260,,,,,,3,
100261,虚空一阶-飞入传送门,100261,,,,,,3,
100262,虚空一阶-前扑抓取,100262,,,,,,3,
100263,虚空二阶-捶地,100263,,,,,,3,
100264,虚空一阶-冲刺预备,100264,,,,,,3,
100265,虚空一阶-预备衔接冲刺,100265,,,,,,3,
100266,虚空一阶-冲刺预备,100266,,,,,,3,
100507,虚空一阶-俯冲,100507,,,,,,3,
100608,虚空一阶-冲刺衔接待机,100608,,,,,,3,
100509,虚空一阶-吸收火焰,100509,,,,,,3,
100512,虚空一阶-抓取控制,100512,,,,,,3,
100609,虚空一阶-待机衔接下砸,100609,,,,,,3,
100513,虚空一阶-下砸蓄力,100513,,,,,,3,
100514,虚空一阶-下砸冲刺,100514,,,,,,3,
100610,虚空一阶-死亡逃跑,100610,,,,,,3,
100700,虚空二阶-过度动作,100700,,,,,,3,
100604,跳跃休闲,100604,,,,,,3,
100801,飞机坐骑-闪现动作,100801,,,,,,3,
100811,喷漆罐动作,100811,,,,,,3,
600100,舞蹈1,600100,,,,,,3,
600101,舞蹈2,600101,,,,,,3,
600102,舞蹈3,600102,,,,,,3,
600103,舞蹈4,600103,,,,,,3,
600104,舞蹈5,600104,,,,,,3,
100201,互动动作,100201,,,,,,3,
102001,互动动作,102001,,,,,,3,
1020011,互动动作,1020011,,,,,,3,
102002,互动动作,102002,,,,,,3,
1020021,互动动作,1020021,,,,,,3,
102003,互动动作,102003,,,,,,3,
1020031,互动动作,1020031,,,,,,3,
102004,互动动作,102004,,,,,,3,
1020041,互动动作,1020041,,,,,,3,
600110,艺人动作1,600110,,,,,,3,
600111,艺人动作2,600111,,,,,,3,
600112,艺人动作3,600112,,,,,,3,
600113,艺人动作4,600113,,,,,,3,
600114,艺人动作5,600114,,,,,,3,
600115,艺人动作6,600115,,,,,,3,
