物体ID,名称,类型[0=Projectile，1=Block],是否使用重力[0=不使用，1=使用],二次搭建[-1=不能二次搭建，0=可以二次搭建，不填默认值0],质量g,阻力,角阻力,材质ID,形状ID[0=球体，1=立方体，2=胶囊体],形状参数1,形状参数2,形状参数3,0=不能编辑且无物理效果，1=不能编辑但有物理效果，2=可编辑但无物理效果，3=可编辑且有物理效果,模型放缩,（暂不用）冻结x位移[0=不冻结，1=冻结],（暂不用）冻结y位移[0=不冻结，1=冻结],（暂不用）冻结z位移[0=不冻结，1=冻结],（暂不用）冻结x旋转[0=不冻结，1=冻结],（暂不用）冻结y旋转[0=不冻结，1=冻结],（暂不用）冻结z旋转[0=不冻结，1=冻结],（暂不用）中心
210,落日橙木板,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
211,深栗红木板,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
230,巨布鲁果,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
239,巨鳞羽果,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
254,桃花木,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
257,珍木,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
260,无叶珍木,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
261,星光孢子杆,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
264,苍石灰木板,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
265,无叶珍木木板,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
268,变异的植物杆,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
270,星光孢子,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
271,星光孢子,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
272,星光孢子,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
273,星光孢子,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
274,星光孢子,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
275,星光孢子,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
276,星光孢子,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
277,星光孢子,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
278,星光孢子,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
279,星光孢子,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
280,星光孢子,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
281,星光孢子,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
282,星光孢子,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
283,星光孢子,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
284,星光孢子,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
285,星光孢子,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
286,变异紫苏杆,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
400,炽炎矿,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
401,秘银矿,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
402,可燃冰矿,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
403,缠丝玛瑙原石,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
404,钨金矿,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
405,星能矿,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
406,琥珀原石,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
407,硅石矿,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
408,钨金块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
409,琥珀块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
410,炽炎块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
411,秘银块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
412,硅石块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
413,花纹硅石块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
414,竖纹硅石块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
415,星能块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
416,可燃冰块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
417,缠丝玛瑙块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
418,地板,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
419,秋叶橙地板,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
420,海棠红地板,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
421,土砖,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
422,粗制石砖,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
423,粗制黄砖板,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
424,精制黄砖板,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
425,釉面砖,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
426,横格釉面砖,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
427,竖格釉面砖,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
428,四格釉面砖,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
429,不规则釉面砖,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
430,冰砖,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
445,星铜矿石,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
446,紫荧矿石,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
447,神秘化石,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
448,石油块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
449,星铜石块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
450,紫荧石块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
501,精制石砖,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
502,裂纹石砖,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
503,青石岩砖,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
504,花纹岩石砖,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
505,碎石块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
506,青石台阶,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
507,黄砖台阶,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
509,石质台阶,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
510,水泥砖台阶,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
511,精制石砖台阶,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
512,硫黄砖台阶,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
513,硅石台阶,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
514,台阶,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
515,秋叶橙台阶,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
516,象牙白台阶,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
517,海棠红台阶,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
518,落日橙台阶,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
519,深栗红台阶,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
520,楼梯,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
521,秋叶橙楼梯,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
522,象牙白楼梯,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
523,海棠红楼梯,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
524,落日橙楼梯,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
525,深栗红楼梯,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
526,秘银栅栏,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
527,黄砖楼梯,1,1,,18000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
529,石质楼梯,1,1,,18000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
530,水泥砖楼梯,1,1,,18000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
531,精制石砖楼梯,1,1,,18000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
532,硫黄砖楼梯,1,1,,18000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
533,硅石楼梯,1,1,,18000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
534,木围栏,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
535,木围栏门,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
536,曙光石块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
537,硫黄砖块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
538,硫黄砖围栏,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
539,象牙白栅栏,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
540,古老黄砖,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
541,精致黄砖,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
547,水泥砖块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
548,碎石墙,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
549,青石墙,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
550,荧光晶块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
551,粗制石砖围栏,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
552,象牙白围栏,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
553,木栅栏,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
554,铜围栏,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
555,木窗,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
556,玻璃窗,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
557,象牙白玻璃窗,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
562,胭脂红木板,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
563,竹板,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
564,胭脂红台阶,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
565,竹板台阶,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
566,胭脂红楼梯,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
567,竹板楼梯,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
568,竹围栏,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
569,竹围栏门,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
570,星球岩台阶,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
571,星球岩楼梯,1,1,,18000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
572,星球岩墙,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
573,星球岩石砖,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
574,苍石灰台阶,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
575,苍石灰楼梯,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
576,苍石灰围栏,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
600,象牙白棉花块,1,1,,1000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
601,朱砂橙棉花块,1,1,,1000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
602,胭脂红棉花块,1,1,,1000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
603,天青蓝棉花块,1,1,,1000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
604,鹅毛黄棉花块,1,1,,1000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
605,松花绿棉花块,1,1,,1000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
606,海棠红棉花块,1,1,,1000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
607,苍石灰棉花块,1,1,,1000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
608,浅苍灰棉花块,1,1,,1000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
609,青碧绿棉花块,1,1,,1000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
610,青莲紫棉花块,1,1,,1000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
611,宝石蓝棉花块,1,1,,1000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
612,深栗红棉花块,1,1,,1000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
613,翡翠绿棉花块,1,1,,1000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
614,赫赤红棉花块,1,1,,1000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
615,煤乌黑棉花块,1,1,,1000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
616,象牙白棉毡,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
617,朱砂橙棉毡,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
618,胭脂红棉毡,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
619,天青蓝棉毡,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
620,鹅毛黄棉毡,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
621,松花绿棉毡,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
622,海棠红棉毡,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
623,苍石灰棉毡,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
624,浅苍灰棉毡,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
625,青碧绿棉毡,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
626,青莲紫棉毡,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
627,宝石蓝棉毡,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
628,深栗红棉毡,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
629,翡翠绿棉毡,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
630,赫赤红棉毡,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
631,煤乌黑棉毡,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
632,透明玻璃块,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
633,象牙白玻璃块,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
634,朱砂橙玻璃块,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
635,胭脂红玻璃块,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
636,天青蓝玻璃块,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
637,鹅毛黄玻璃块,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
638,松花绿玻璃块,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
639,海棠红玻璃块,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
640,苍石灰玻璃块,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
641,浅苍灰玻璃块,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
642,青碧绿玻璃块,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
643,青莲紫玻璃块,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
644,宝石蓝玻璃块,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
645,深栗红玻璃块,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
646,翡翠绿玻璃块,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
647,赫赤红玻璃块,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
648,煤乌黑玻璃块,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
649,透明玻璃片,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
650,象牙白玻璃片,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
651,朱砂橙玻璃片,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
652,胭脂红玻璃片,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
653,天青蓝玻璃片,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
654,鹅毛黄玻璃片,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
655,松花绿玻璃片,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
656,海棠红玻璃片,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
657,苍石灰玻璃片,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
658,浅苍灰玻璃片,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
659,青碧绿玻璃片,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
660,青莲紫玻璃片,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
661,宝石蓝玻璃片,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
662,深栗红玻璃片,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
663,翡翠绿玻璃片,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
664,赫赤红玻璃片,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
665,煤乌黑玻璃片,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
666,水泥块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
667,象牙白水泥块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
668,朱砂橙水泥块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
669,胭脂红水泥块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
670,天青蓝水泥块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
