id,合成品名称,合成品ID,背包显示排序,子类顺序,配方类别（0常用，1战斗，2工具，3材料，4建筑，6机械，7出现在食谱内，8出现在秘银锅内。填两个表示同时显示到两个分类里）,子类(填的是crafting的id),"插件编辑（大于0开放插件编辑，1：常用,2:装备,3:道具,4:材料,5:建筑,6:装饰,7:机械；填两个表示同时显示到两个分类里",插件编辑模板[0=不是模板，1=作为模板],英文名称,海外开放,必填/插件用,合成品数量,消耗经验,横占格（填3）,竖占格（填3）,组（0不为组1为组，例如木板通用）（关联Itemdef的ItemGroup）,是否随身合成（11616钛金锤（曾经是需要工具箱0，程序特殊处理了），11000空手（曾经是不需要工具箱1，程序特殊处理了），800不完整工匠台，797完整工匠台，794石锅，795铁锅，150029融合台）,烹饪时长（制作一份所需要的标准时长，单位tick，20tick=1s）,1格材料ID,1格材料数量,1格保留容器ID,2格材料ID,2格材料数量,2格保留容器ID,3格材料ID,3格材料数量,3格保留容器ID,4格材料ID,4格材料数量,4格保留容器ID,5格材料ID,5格材料数量,5格保留容器ID,6格材料ID,6格材料数量,6格保留容器ID,7格材料ID,7格材料数量,7格保留容器ID,8格材料ID,8格材料数量,8格保留容器ID,9格材料ID,9格材料数量,9格保留容器ID,货币ID,货币数量,分数,野人合成检测开关（0需要合成；1不需要合成）
10,黄铜斧,11001,1005,"[7,2]","[0,2]","[21500,21508]","[1,2]",1,BrassAxe,,BrassAxe,1,0,3,3,1,800,0,11329,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
11,黄铜镐,11011,1006,"[8,2]","[0,2]","[21500,21509]","[1,2]",,BrassPickaxe,,BrassPickaxe,1,0,3,3,1,800,0,11329,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
12,黄铜铲,11021,1007,"[9,2]","[0,2]","[21500,21510]","[1,2]",,BrassShovel,,BrassShovel,1,0,3,3,1,800,0,11329,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
13,黄铜耙,11031,1008,"[10,2]","[0,2]","[21500,21511]","[1,2]",,BrassHoe,,BrassHoe,1,0,3,3,1,800,0,11329,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
14,冶炼台,802,223,"[11,1]","[0,2]","[21500,14]",[1],1,SmeltingFurnace,,SmeltingFurnace,1,0,3,3,0,11000,0,11226,8,,101,5,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
15,木料,11323,224,"[2,1]","[0,3]","[21502,21527]",,,Wood,,Wood,1,0,3,3,1,11000,0,11006,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
16,植物纤维,11226,225,"[3,1]","[0,3]","[21502,21527]",,,Grass,,Grass,1,0,3,3,0,11000,0,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
17,水泥块,666,107,[10],[4],[21544],[5],,CementBlock,,CementBlock,1,0,3,3,0,800,0,11200,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
18,轻木门,812,1018,[1],[4],[21533],[5],1,WoodDoor,,WoodDoor,1,0,3,3,1,800,0,11323,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
19,绳索,813,109,[1],[4],[21536],[6],,RopeLadder,,RopeLadder,3,0,3,3,1,800,0,11227,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
20,简易睡袋,828,1020,[14],"[0,4]","[21500,21532]",[6],,SleepingBag,,SleepingBag,1,0,3,3,1,800,0,12600,3,,11226,10,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
21,土块,101,110,[10],[4],[21544],[5],,DirtBlock,,DirtBlock,1,0,3,3,0,11000,0,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
22,木桩,821,110,[1],"[0,4]","[21503,21534]",[5],,WoodPile,,WoodPile,2,0,3,3,1,800,0,11323,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
23,木围栏门,535,111,1,[4],[21534],[5],,FenceGate,,FenceGate,1,0,3,3,1,800,0,11323,6,,11227,4,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
25,嘟嘟鸟炖土笋,12510,1025,1,"[7,8]",,[1],,DuDuSoup,,DuDuSoup,1,0,3,3,0,794,100,226,1,,226,1,,226,1,,12518,1,,,,,,,,,,,,,,,,,,,0.1,
26,黄铜星能幕布,815,1026,1,"[4,6]","[21545,21543]",[3],,StarenergyBoard,,StarenergyBoard,2,0,3,3,1,800,0,11329,3,,11664,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
27,棉花块,600,1027,[10],[4],[21544],[6],,WhiteCotton,,WhiteCotton,1,0,3,3,0,800,0,12600,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
28,调色架,498,245,[1],"[2,3]","[21525,21525]",,,ColorPalette,,ColorPalette,1,0,3,3,1,800,0,11323,5,,11329,3,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
29,石斧,11002,1001,"[1,1]","[0,2]","[21500,21508]","[1,2]",,StoneAxe,,StoneAxe,1,0,3,3,1,11000,0,11627,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
30,秘银斧,11003,1009,[3],[2],[21508],"[1,2]",,MithsilverAxe,,MithsilverAxe,1,0,3,3,1,800,0,11209,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
31,钛合金斧,11004,1013,[4],[2],[21508],"[1,2]",,TitaniumAxe,,TitaniumAxe,1,0,3,3,1,800,0,11330,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
32,链锯,11005,1017,[5],[2],[21508],"[1,2]",,TungstenGoldAxe,,TungstenGoldAxe,1,0,3,3,1,800,0,11203,2,,11209,2,,11664,2,,11911,1,,,,,,,,,,,,,,,,,,,0.1,
33,石镐,11012,1002,"[2,1]","[0,2]","[21500,21509]","[1,2]",,StonePickaxe,,StonePickaxe,1,0,3,3,1,11000,0,11627,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
34,秘银镐,11013,1010,[3],[2],[21509],"[1,2]",,MithsilverPickaxe,,MithsilverPickaxe,1,0,3,3,1,800,0,11209,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
35,钛合金镐,11014,1014,[4],[2],[21509],"[1,2]",,TitaniumPickaxe,,TitaniumPickaxe,1,0,3,3,1,800,0,11330,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
36,钻头,11015,1018,[5],[2],[21509],"[1,2]",,TungstenGoldPickaxe,,TungstenGoldPickaxe,1,0,3,3,1,800,0,11203,3,,11209,3,,11664,3,,11911,1,,,,,,,,,,,,,,,,,,,0.1,
37,石铲,11022,1003,"[3,1]","[0,2]","[21500,21510]","[1,2]",,StoneShovel,,StoneShovel,1,0,3,3,1,11000,0,11627,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
38,秘银铲,11023,1011,[3],[2],[21510],"[1,2]",,MithsilverShovel,,MithsilverShovel,1,0,3,3,1,800,0,11209,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
39,钛合金铲,11024,1015,[4],[2],[21510],"[1,2]",,TitaniumShovel,,TitaniumShovel,1,0,3,3,1,800,0,11330,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
40,钨金铲,11025,1019,[5],[2],[21510],"[1,2]",,TungstenGoldShovel,,TungstenGoldShovel,1,0,3,3,1,800,0,11203,2,,11332,1,,11911,1,,,,,,,,,,,,,,,,,,,,,,0.1,
41,石耙,11032,1004,"[4,1]","[0,2]","[21500,21511]","[1,2]",,StoneHoe,,StoneHoe,1,0,3,3,1,11000,0,11627,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
42,秘银耙,11033,1012,[3],[2],[21511],"[1,2]",,MithsilverHoe,,MithsilverHoe,1,0,3,3,1,800,0,11209,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
43,钛合金耙,11034,1016,[4],[2],[21511],"[1,2]",,TitaniumHoe,,TitaniumHoe,1,0,3,3,1,800,0,11330,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
44,钨金耙,11035,1020,[5],[2],[21511],"[1,2]",,TungstenGoldHoe,,TungstenGoldHoe,1,0,3,3,1,800,0,11203,2,,11332,1,,11911,1,,,,,,,,,,,,,,,,,,,,,,0.1,
45,长草土块,100,100,[10],[4],[21544],[5],,GrassBlock,,GrassBlock,1,0,3,3,0,11000,0,101,1,,11226,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
46,面条,12502,1046,[1],,,[1],,Noodles,,Noodles,2,0,3,3,0,794,100,344,1,,344,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
47,瓶装果糖浆,11326,1047,[2],[1],[21519],[3],,BottledFructose,,BottledFructose,1,0,3,3,0,800,200,12500,1,,11320,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
48,烤肉披萨,830,1048,[1],"[7,8]",,[1],,BBQPizza,,BBQPizza,1,0,3,3,0,795,200,12518,1,,12518,1,,344,1,,344,1,,,,,,,,,,,,,,,,,,,0.1,
49,玉米点心,12507,1049,[1],"[7,8]",,[1],,Waffle,,Waffle,1,0,3,3,0,794,200,344,1,,12052,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
50,象牙白颜料瓶,11500,1050,[2],"[2,3]","[21525,21525]",[4],,WhiteDye,,WhiteDye,8,0,3,3,0,800,0,11533,1,,11320,8,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
51,巨鳞羽果种子,11402,1051,[3],[3],[21529],[4],,GiantScalyFruitSeed,,GiantScalyFruitSeed,1,0,3,3,0,800,0,12508,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
52,巨布鲁果种子,11401,1052,[2],[3],[21529],[4],,GiantBlueFruitSeed,,GiantBlueFruitSeed,5,0,3,3,0,800,0,230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
53,巨布鲁果条,12515,1053,[1],"[7,8]",,[1],,BlueFruitPie,,BlueFruitPie,1,0,3,3,0,795,200,230,1,,344,1,,11326,1,11320,,,,,,,,,,,,,,,,,,,,,0.1,
54,炽炎粒,11208,1054,[1],[3],[21528],[4],,FlameCrystalGrain,,FlameCrystalGrain,10,0,3,3,0,800,0,11207,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1
55,炽炎,11207,1055,[1],[3],[21528],[4],,FlameCrystal,,FlameCrystal,1,0,3,3,0,800,0,11208,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
57,凉拌青瓜,12505,1057,[3],[1],[21519],[3],,RadishSalad,,RadishSalad,1,0,3,3,1,800,200,12732,1,,236,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
58,巨鳞羽果汁,11321,1058,[5],[1],[21519],[3],,GiantScalyFruitJuice,,GiantScalyFruitJuice,1,0,3,3,0,800,200,12508,4,,11320,1,,312,1,,,,,,,,,,,,,,,,,,,,,,0.1,
59,煎蛋面条,12540,1059,[1],"[7,8]",,[1],,FriedEggNoodles,,FriedEggNoodles,1,0,3,3,0,794,200,344,1,,344,1,,12052,1,,,,,,,,,,,,,,,,,,,,,,0.1,
60,烤薯条,12541,1060,[1],"[7,8]",,[1],,RoastedYamsChips,,RoastedYamsChips,1,0,3,3,0,794,200,241,1,,241,1,,344,1,,,,,,,,,,,,,,,,,,,,,,0.1,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
62,烤嘟嘟鸟全家桶,12543,1062,1,"[7,8]",,[1],,RoastedChicken,,RoastedChicken,1,0,3,3,0,794,100,12518,1,,12518,1,,12518,1,,12518,1,,,,,,,,,,,,,,,,,,,0.1,
63,烤肉面条,12544,1063,1,"[7,8]",,[1],,SteakNoodles,,SteakNoodles,1,0,3,3,1,794,100,12513,1,,344,1,,344,1,,,,,,,,,,,,,,,,,,,,,,0.1,
64,角鹿肉煲,12545,1064,1,"[7,8]",,[1],,DeerMeatPot,,DeerMeatPot,1,0,3,3,0,794,100,12530,1,,12530,1,,226,1,,,,,,,,,,,,,,,,,,,,,,0.1,
65,火腿,12546,1065,1,"[7,8]",,[1],,Ham,,Ham,1,0,3,3,0,794,300,12522,1,,12522,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
66,异味火腿,12547,1066,1,"[7,8]",,[1],,SmellyHam,,SmellyHam,1,0,3,3,0,795,300,12522,1,,12522,1,,311,1,,,,,,,,,,,,,,,,,,,,,,0.1,
67,‘蟹棒’火腿,12548,1067,1,"[7,8]",,[1],,CrabStickHam,,CrabStickHam,1,0,3,3,0,795,300,12522,1,,12522,1,,12581,1,,,,,,,,,,,,,,,,,,,,,,0.1,
68,浓缩奶糖,12549,1068,1,"[7,8]",,[1],,MilkCandy,,MilkCandy,1,0,3,3,0,794,300,11326,1,11320,12509,1,11320,,,,,,,,,,,,,,,,,,,,,,,,0.1,
69,香溢煎蛋面条,12550,1069,1,"[7,8]",,[1],,TastyFriedEggNoodles,,TastyFriedEggNoodles,1,0,3,3,1,795,200,12732,1,,344,1,,344,1,,12052,1,,,,,,,,,,,,,,,,,,,0.1,
70,香溢薯条,12551,1070,1,"[7,8]",,[1],,TastyChips,,TastyChips,1,0,3,3,1,795,200,12732,1,,241,1,,241,1,,344,1,,,,,,,,,,,,,,,,,,,0.1,
71,香溢巨布鲁果派,12552,1071,1,"[7,8]",,[1],,TastyGiantBlueFruitPie,,TastyGiantBlueFruitPie,1,0,3,3,1,795,200,12732,1,,230,1,,344,1,,11326,1,11320,,,,,,,,,,,,,,,,,,0.1,
72,香溢玉米点心,12553,1072,1,"[7,8]",,[1],,TastyWaffle,,TastyWaffle,1,0,3,3,1,795,200,12732,1,,344,1,,12052,1,,,,,,,,,,,,,,,,,,,,,,0.1,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
74,香溢青瓜,12555,1074,[4],[1],[21519],[3],,TastyRadishSalad,,TastyRadishSalad,1,0,3,3,1,800,100,12732,1,,12505,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
75,香溢巨鳞羽果汁,12556,1075,[6],[1],[21519],[3],,TastyGiantScalyFruitJuice,,TastyGiantScalyFruitJuice,1,0,3,3,1,800,100,12732,1,,11321,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
76,香溢水果拼盘,12557,1076,[7],[1],[21519],[3],,TastyFruitPlatter,,TastyFruitPlatter,1,0,3,3,1,800,100,12732,1,,12501,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
77,香溢烤嘟嘟鸟,12558,1077,1,"[7,8]",,[1],,TastyRoastChicken,,TastyRoastChicken,1,0,3,3,1,795,100,12732,1,,12518,1,,12518,1,,12518,1,,,,,,,,,,,,,,,,,,,0.1,
78,香溢烤肉面条,12559,1078,1,"[7,8]",,[1],,TastySteakNoodles,,TastySteakNoodles,1,0,3,3,1,795,300,12732,1,,12513,1,,344,1,,344,1,,,,,,,,,,,,,,,,,,,0.1,
79,香溢角鹿煲,12560,1079,1,"[7,8]",,[1],,TastyDeerMeatPot,,TastyDeerMeatPot,1,0,3,3,1,795,300,12732,1,,12530,1,,12530,1,,226,1,,,,,,,,,,,,,,,,,,,0.1,
80,香溢火腿,12561,1080,1,"[7,8]",,[1],,TastyHam,,TastyHam,1,0,3,3,1,795,300,12732,1,,12522,1,,12522,1,,,,,,,,,,,,,,,,,,,,,,0.1,
81,香溢异味腿,12562,1081,1,"[7,8]",,[1],,TastySmellyHam,,TastySmellyHam,1,0,3,3,1,795,300,12732,1,,12522,1,,12522,1,,311,1,,,,,,,,,,,,,,,,,,,0.1,
82,香溢‘蟹棒’腿,12563,1082,1,"[7,8]",,[1],,TastyCrabHam,,TastyCrabHam,1,0,3,3,1,795,300,12732,1,,12522,1,,12522,1,,12548,1,,,,,,,,,,,,,,,,,,,0.1,
83,木棒,12001,1101,"[1,1]","[0,1]","[21501,21514]","[1,2]",,Stick,,Stick,1,0,3,3,1,11000,0,11323,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
84,石矛,12002,1102,"[1,1]","[0,1]","[21501,21513]","[1,2]",,StoneSpear,,StoneSpear,1,0,3,3,1,11000,0,11627,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
85,短剑,12003,1104,"[3,2]","[0,1]","[21501,21512]","[1,2]",,MithsilverSword,,MithsilverSword,1,0,3,3,1,800,0,11209,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
86,黄铜矛,12004,1103,"[2,2]","[0,1]","[21501,21513]","[1,2]",,BrassLance,,BrassLance,1,0,3,3,1,800,0,11329,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
87,能量剑,12005,1105,[4],[1],[21512],"[1,2]",,EnergySword,,EnergySword,1,0,3,3,1,800,0,11203,5,,11332,1,,11911,2,,,,,,,,,,,,,,,,,,,,,,0.1,
88,秘银短弓,12050,1151,[3],[1],[21517],"[1,2]",,Bow,,Bow,1,0,3,3,0,800,0,11209,5,,11307,2,,710,2,,,,,,,,,,,,,,,,,,,,,,0.1,
89,石箭,12051,1152,[4],[1],[21517],"[1,2]",,Arrow,,Arrow,4,0,3,3,1,800,0,12282,2,,11323,2,,11303,1,,,,,,,,,,,,,,,,,,,,,,0.1,
90,皮头盔,12201,1201,[1],[1],[21504],[2],,LeatherHelmet,,LeatherHelmet,1,0,3,3,1,800,0,11307,5,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
91,皮胸甲,12202,1202,[1],[1],[21505],[2],,LeatherArmor,,LeatherArmor,1,0,3,3,1,800,0,11307,5,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
92,皮护腿,12203,1203,[1],[1],[21506],[2],,LeatherGreave,,LeatherGreave,1,0,3,3,1,800,0,11307,5,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
93,皮靴子,12204,1204,[1],[1],[21507],[2],,LeatherBoots,,LeatherBoots,1,0,3,3,1,800,0,11307,5,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
94,链甲头盔,12211,1209,[4],[1],[21504],[2],,ChainHelmet,,ChainHelmet,1,0,3,3,0,800,0,11209,5,,11511,3,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,
95,链甲胸甲,12212,1210,[4],[1],[21505],[2],,ChainArmor,,ChainArmor,1,0,3,3,0,800,0,11209,8,,11511,3,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,
96,链甲护腿,12213,1211,[4],[1],[21506],[2],,ChainGreave,,ChainGreave,1,0,3,3,0,800,0,11209,7,,11511,3,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,
97,链甲靴子,12214,1212,[4],[1],[21507],[2],,ChainBoots,,ChainBoots,1,0,3,3,0,800,0,11209,5,,11511,3,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,
98,秘银头盔,12221,1213,[3],[1],[21504],[2],,MithsilverHelmet,,MithsilverHelmet,1,0,3,3,0,800,0,11209,5,,11329,3,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,
99,秘银胸甲,12222,1214,[3],[1],[21505],[2],,MithsilverArmor,,MithsilverArmor,1,0,3,3,0,800,0,11209,8,,11329,3,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,
100,秘银护腿,12223,1215,[3],[1],[21506],[2],,MithsilverGreave,,MithsilverGreave,1,0,3,3,0,800,0,11209,7,,11329,3,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,
101,秘银靴子,12224,1216,[3],[1],[21507],[2],,MithsilverBoots,,MithsilverBoots,1,0,3,3,0,800,0,11209,5,,11329,3,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,
102,钛金头盔,12231,1217,[5],[1],[21504],[2],,TitaniumHelmet,,TitaniumHelmet,1,0,3,3,0,800,0,11330,5,,11209,3,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,
103,钛金胸甲,12232,1218,[5],[1],[21505],[2],,TitaniumArmor,,TitaniumArmor,1,0,3,3,0,800,0,11330,8,,11209,3,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,
104,钛金护腿,12233,1219,[5],[1],[21506],[2],,TitaniumGreave,,TitaniumGreave,1,0,3,3,0,800,0,11330,7,,11209,3,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,
105,钛金靴子,12234,1220,[5],[1],[21507],[2],,TitaniumBoots,,TitaniumBoots,1,0,3,3,0,800,0,11330,5,,11209,3,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,
106,钨金头盔,12241,1221,[6],[1],[21504],[2],,TungstenGoldHelmet,,TungstenGoldHelmet,1,0,3,3,0,800,0,11203,5,,11074,1,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,
107,钨金胸甲,12242,1222,[6],[1],[21505],[2],,TungstenGoldArmor,,TungstenGoldArmor,1,0,3,3,0,800,0,11203,8,,11074,1,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,
108,钨金护腿,12243,1223,[6],[1],[21506],[2],,TungstenGoldGreave,,TungstenGoldGreave,1,0,3,3,0,800,0,11203,7,,11074,1,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,
109,钨金靴子,12244,1224,[6],[1],[21507],[2],,TungstenGoldBoots,,TungstenGoldBoots,1,0,3,3,0,800,0,11203,5,,11074,1,,11307,3,,,,,,,,,,,,,,,,,,,,,,0.1,
110,象牙白颜料瓶,11500,1050,[2],"[2,3]","[21525,21525]",[4],,WhiteDye,,WhiteDye,16,0,3,3,0,800,0,346,1,,11320,16,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
111,碎石块,505,1110,[10],[4],[21544],[1],,Rock,,Rock,1,0,3,3,0,800,0,11627,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
112,锰块,348,1111,[10],[4],[21544],[4],,ManganeseBlock,,ManganeseBlock,1,0,3,3,0,800,0,12614,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
113,岩石,104,1112,[10],[4],[21544],[1],,Stone,,Stone,1,0,3,3,0,800,0,11627,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
114,青石,105,1113,[10],[4],[21544],[4],,MossRock,,MossRock,1,0,3,3,0,800,0,11627,4,,11595,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
115,裂纹石砖,502,1114,[10],[4],[21544],[5],,CrackedStoneBrick,,CrackedStoneBrick,1,0,3,3,0,800,0,104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
116,锰结核,12614,1111,1,[3],[21528],,,Manganese,,Manganese,10,0,3,3,0,800,0,348,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
117,木荧光菇灯,905,1116,"[1,1]","[0,4]","[21503,21522]",[6],,WoodenMycenaChlorophosLamp,,WoodenMycenaChlorophosLamp,1,0,3,3,1,11000,0,837,1,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
118,石荧光菇灯,907,1117,"[2,2]","[0,4]","[21503,21522]",[6],,StoneMycenaChlorophosLamp,,StoneMycenaChlorophosLamp,1,0,3,3,0,11000,0,837,1,,11627,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
119,聚物手套,11231,1119,1,[2],[21550],[2],,CohesionGlove,,CohesionGlove,1,0,3,3,0,800,0,11307,3,,11824,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
120,星能信号灯,707,1121,[3],"[4,6]","[21522,21543]",[7],,Acetylene lamp,,Acetylene lamp,1,0,3,3,0,800,0,632,2,,11664,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
