制作物ID,物品名称（仅用于备注）,分类ID（是显示的页签分类不是物品分类）,制作产出数量,获得经验下限,获得经验上限,制作消耗类型（0=免费，1=迷你币，2=家园币，3=迷你豆，4=迷你点）,制作消耗货币,材料1ID,材料1数量,材料2ID,材料2数量,材料3ID,材料3数量,材料4ID,材料4数量,解锁方式（0不用解锁，1家园等级解锁，2道具解锁）,解锁值（解锁方式=1时为家园等级）
1584,中式橱柜,1001,1,0,0,2,150,75011,12,,,,,,,1,3
1585,中式半格橱柜,1001,1,0,0,2,50,75011,8,,,,,,,1,4
1586,中式组合柜,1001,1,0,0,2,50,75011,8,,,,,,,1,5
1587,中式屏风,1001,1,0,0,2,50,75011,8,75004,2,,,,,1,6
1588,中式立体灯,1001,1,0,0,2,100,75011,10,75004,1,,,,,1,7
1589,中式吊灯,1001,1,0,0,2,100,75011,10,75004,1,,,,,1,8
1590,中式壁灯,1001,1,0,0,2,100,75011,10,75004,1,,,,,1,9
1591,中式门,1002,1,0,0,2,100,75011,3,75007,2,,,,,1,10
1592,中式窗,1002,1,0,0,2,50,75011,2,75007,2,,,,,1,11
1593,中式楼梯,1002,1,0,0,2,50,75011,2,75002,1,,,,,1,12
1594,中式墙砖,1002,1,0,0,2,5,75021,2,,,,,,,1,13
1595,中式砖,1002,1,0,0,2,5,75021,2,,,,,,,1,14
1596,中式半砖,1002,1,0,0,2,5,75021,2,,,,,,,1,15
1597,中式围栏,1002,1,0,0,2,50,75011,2,,,,,,,1,15
1720,胡杨茶几,1001,1,0,0,2,50,75019,5,75012,10,,,,,0,
1721,胡杨椅子,1001,1,0,0,2,50,75019,3,75012,5,,,,,0,
64001,葵花籽,6004,1,0,0,0,0,62413,1,,,,,,,0,
64002,稻米,6004,1,0,0,0,0,62430,1,,,,,,,0,
64003,面粉,6004,1,0,0,0,0,62431,1,,,,,,,0,
64004,蔗糖,6004,1,0,0,0,0,62434,1,,,,,,,0,
64005,蜂蜜,6004,1,0,0,0,0,62435,1,,,,,,,0,
64006,米饭,6001,1,0,0,0,0,64002,1,,,,,,,0,
64007,小麦面包,6001,1,0,0,0,0,64003,20,,,,,,,0,
64008,粽子,6001,3,0,0,0,0,64002,1,62905,1,,,,,0,
64009,凉拌萝卜,6001,1,0,0,0,0,62412,6,75017,1,,,,,0,
64010,烤鸡腿,6001,1,0,0,0,0,62901,2,75017,1,,,,,0,
64011,烤牛排,6001,3,0,0,0,0,62902,1,75017,1,,,,,0,
64012,烤羊肉,6001,3,0,0,0,0,62903,1,75017,1,,,,,0,
64013,烤墩墩肉,6001,2,0,0,0,0,62904,1,75017,1,,,,,1,1
64014,蔬菜汤,6001,1,0,0,0,0,62421,1,62412,1,,,,,1,2
64015,蛋炒饭,6001,1,0,0,0,0,62906,2,64002,1,75017,1,,,1,3
64016,烟熏火腿,6001,3,0,0,0,0,62904,1,75017,2,,,,,1,15
64017,面条汤,6001,1,0,0,0,0,64003,10,75017,1,62906,2,,,1,15
64018,奶油蛋糕,6002,2,0,0,0,0,62908,1,62906,2,64003,8,,,2,
64019,蜂蜜蛋糕,6002,1,0,0,0,0,64005,3,62906,2,64003,8,,,2,
64020,牛奶糖,6002,2,0,0,0,0,62908,1,64004,1,,,,,2,
64021,饼干,6002,1,0,0,0,0,64003,10,62906,1,64004,1,,,,
64022,薯条,6002,1,0,0,0,0,62432,1,75017,1,,,,,,
64023,南瓜饼,6002,1,0,0,0,0,62433,1,64003,5,64004,1,,,,
64024,水果拼盘,6002,1,0,0,0,0,62405,1,62406,1,62407,1,,,,
64025,鸡肉汉堡,6002,1,0,0,0,0,64003,20,62901,1,75017,1,,,,
64026,牛肉汉堡,6002,2,0,0,0,0,64003,20,62902,1,75017,1,,,,
64027,羊肉汉堡,6002,2,0,0,0,0,64003,20,62903,1,75017,1,,,,
64028,墩墩肉汉堡,6002,1,0,0,0,0,64003,20,62904,1,75017,1,,,,
64029,年糕,6002,1,0,0,0,0,64002,1,,,,,,,,
64030,汤圆,6002,2,0,0,0,0,64002,1,64004,1,,,,,,
64031,奶酪,6002,2,0,0,0,0,62908,1,,,,,,,,
64032,冰淇淋,6002,3,0,0,0,0,62908,1,62905,1,,,,,,
64033,水果冰淇淋,6002,3,0,0,0,0,62908,1,62905,1,62423,1,,,,
64034,炒瓜子,6002,1,0,0,0,0,64001,5,75017,1,,,,,,
64035,盒装牛奶,6003,3,0,0,0,0,62908,1,,,,,,,,
64036,水果奶昔,6003,3,0,0,0,0,62405,1,62908,1,62905,1,,,,
64037,西瓜汁,6003,2,0,0,0,0,62423,1,64004,1,,,,,,
64038,芒果汁,6003,2,0,0,0,0,62406,1,64004,1,,,,,,
64039,梨子果汁,6003,2,0,0,0,0,62407,1,64004,1,,,,,,
64040,柑橘果汁,6003,2,0,0,0,0,62408,1,64004,1,,,,,,
64041,桃子果汁,6003,2,0,0,0,0,62409,1,64004,1,,,,,,
64042,蜂蜜茶,6003,1,0,0,0,0,64005,3,62404,3,62408,1,,,,
64043,球球豆浆,6003,1,0,0,0,0,62402,1,64004,1,,,,,,
64044,气泡果汁,6003,1,0,0,0,0,62403,1,64004,1,,,,,,
64045,恶魔果汁,6003,2,0,0,0,0,62411,1,62905,1,,,,,,
64046,酸奶,6003,2,0,0,0,0,62908,1,64004,1,,,,,,
64047,胡萝卜汁,6003,1,0,0,0,0,62412,5,64004,1,,,,,,
64048,咖啡,6003,3,0,0,0,0,62401,1,62908,1,,,,,,
64049,清凉菊花茶,6003,2,0,0,0,0,62420,1,62905,1,,,,,,
64050,龙舌兰特饮,6003,1,0,0,0,0,62414,1,64004,1,,,,,,
64051,猩红药剂,6003,1,0,0,0,0,62418,1,64005,1,,,,,,
64052,玫瑰花茶,6003,1,0,0,0,0,62419,1,64005,1,62404,3,,,,
64245,花生碎,6002,1,0,0,0,0,62439,20,,,,,,,,
64250,芦荟汁,6003,1,0,0,0,0,62438,20,,,,,,,,
65000,临时菜品1,6001,1,0,0,0,0,64003,10,,,,,,,2,
65001,临时菜品2,6001,1,0,0,0,0,64003,10,,,,,,,2,
65002,临时菜品3,6002,1,0,0,0,0,64003,10,,,,,,,2,
65003,临时菜品4,6003,1,0,0,0,0,64003,10,,,,,,,2,
75001,棉布,7001,1,0,0,2,10,62410,5,,,,,,,,
75002,绒布,7001,1,0,0,2,10,62909,2,,,,,,,,
75003,陶瓷土坯,7001,1,0,0,2,10,75013,8,,,,,,,,
75004,玻璃片,7001,1,0,0,2,10,75014,8,,,,,,,,
75005,粗制石砖,7001,1,0,0,2,10,75015,4,,,,,,,,
75006,精磨石砖,7001,1,0,0,2,10,75015,8,,,,,,,,
75007,纸张,7001,1,0,0,2,10,62434,4,,,,,,,,
75008,果木板,7001,1,0,0,2,10,62424,2,,,,,,,,
75009,松木板,7001,1,0,0,2,10,62425,2,,,,,,,,
75010,杨木板,7001,1,0,0,2,10,62426,2,,,,,,,,
75011,胡桃木板,7001,1,0,0,2,10,62429,2,,,,,,,,
75012,小木棍,7001,1,0,0,2,10,75008,1,,,,,,,,
75019,胡杨木板,7001,1,0,0,2,10,62437,2,,,,,,,,
75020,黏土砖,7001,1,0,0,2,10,75013,6,,,,,,,,
75021,混凝土砖,7001,1,0,0,2,10,75013,3,75014,3,,,,,,
75022,羽绒棉,7001,1,0,0,2,10,62907,4,,,,,,,,
68201,简易滑翔翼,7002,1,0,0,2,10,75022,1,75012,1,,,,,,
68202,简易潜泳镜,7002,2,0,0,2,10,75004,1,75012,1,,,,,,
945,中式宫灯,1004,1,0,0,2,100,75012,10,75008,5,75007,5,,,3,
946,红色陶花盆,1004,1,0,0,2,100,75003,5,75016,2,,,,,3,
947,绿色陶花盆,1004,1,0,0,2,100,75003,5,75016,2,,,,,3,
948,大瓷花盆,1004,1,0,0,2,100,75003,10,75016,5,,,,,3,
949,新春宫灯,1004,1,0,0,2,100,75012,10,75016,3,75007,5,,,3,
965,果木椅子,1001,1,0,0,2,50,75008,3,75012,5,,,,,3,
966,果木桌子,1001,1,0,0,2,50,75008,5,75012,10,,,,,3,
967,果木沙发,1001,1,0,0,2,50,75008,10,75001,5,,,,,3,
968,棕色壁炉,1001,1,0,0,2,50,75008,5,75020,10,,,,,3,
969,果木柜子,1001,1,0,0,2,50,75008,15,,,,,,,3,
970,白杨椅子,1001,1,0,0,2,50,75010,3,75012,5,,,,,3,
971,白杨桌子,1001,1,0,0,2,50,75010,5,75012,10,,,,,3,
972,白杨沙发,1001,1,0,0,2,50,75010,10,75001,5,,,,,3,
973,白色壁炉,1001,1,0,0,2,50,75010,5,75020,10,,,,,3,
974,白杨柜子,1001,1,0,0,2,50,75010,15,,,,,,,3,
975,松木椅子,1001,1,0,0,2,50,75009,3,75012,5,,,,,3,
976,松木桌子,1001,1,0,0,2,50,75009,5,75012,10,,,,,3,
977,松木沙发,1001,1,0,0,2,50,75009,10,75001,5,,,,,3,
978,黑色壁炉,1001,1,0,0,2,50,75009,5,75020,10,,,,,3,
979,松木柜子,1001,1,0,0,2,50,75009,15,,,,,,,3,
75018,石耙,7001,1,0,0,2,5,75012,3,75015,5,,,,,,
63001,铲子,7002,1,0,0,2,5,75012,1,75027,3,,,,,,
63002,捕网,7002,1,0,0,2,5,75012,1,62410,1,,,,,,
62801,初级肥料,5004,1,0,0,2,20,75025,5,,,,,,,,
62802,中级肥料,5004,1,0,0,2,50,62801,3,75023,1,,,,,,
62803,高级肥料,5004,1,0,0,2,60,62802,2,75024,1,,,,,,
63003,初级饲料,5009,1,0,0,2,20,62431,5,,,,,,,,
63004,中级饲料,5009,1,0,0,2,50,62431,5,62412,1,,,,,,
63005,高级饲料,5009,1,0,0,2,60,62431,5,62412,1,62434,1,,,,
75026,锄头,7002,1,0,0,2,5,75012,1,75027,3,,,,,,
68203,简易石镐,7002,1,0,0,2,10,75027,2,75012,1,,,,,,
