id,特效名,备注,插件库开放[0代表不开放，1=开放 ],触发器开放[0代表不开放，1=开放 ],分类（1=烟雾 2=爆炸 3=光效 4=粒子 5=火焰 6=环境 7=提示）,特效类型（1=ent类型 2=emo类型 3=两者都有）,播放模式（1=循环播放，2=播放后结束，3=播放后停留）,播放时长（单位秒，对非循环生效）(弃用),特效路径,音效名称,图标名字
1062,喷射火焰2,,0,1,5,3,2,10,35022,,particles03
1063,光点3,,0,1,4,3,1,10,110033,,particles08
1064,光点4,,0,1,4,3,1,10,110040_3,,particles08
1065,火焰光环,,0,0,3,3,1,10,110054_1,,particles02
1066,火焰脚印（循环）,装扮特效,0,0,3,3,1,10,140001,,particles02
1067,绿色脚印（循环）,装扮特效,0,0,3,3,1,10,140002,,particles02
1068,云团脚印（循环）,装扮特效,0,0,3,3,1,10,140003,,particles02
1069,云团（循环）,装扮特效,0,0,1,3,1,10,140003_1,,particles01
1070,光晕（循环）,装扮特效,0,0,3,3,1,10,140003_2,,particles02
1071,龙爪脚印（循环）,装扮特效,0,0,3,3,1,10,140004,,particles02
1072,猫爪脚印（循环）,装扮特效,0,0,3,3,1,10,140005,,particles02
1073,爱心脚印（循环）,装扮特效,0,0,3,3,1,10,140007,,particles02
1074,翅膀脚印（循环）,装扮特效,0,0,3,3,1,10,140008,,particles02
1075,红雾（循环）,装扮特效,0,0,1,3,1,10,140009,,particles01
1076,蝙蝠月光（循环）,装扮特效,0,0,3,3,1,10,140009_1,,particles02
1077,蓝爪脚印（循环）,装扮特效,0,0,3,3,1,10,140010,,particles02
1078,雪花围绕（循环）,装扮特效,0,0,3,3,1,10,140010_1,,particles02
1079,雪花飞舞（循环）,装扮特效,0,0,3,3,2,10,140010_2,,particles02
1080,雪花（循环）,装扮特效,0,0,4,3,1,10,140011,,particles08
1081,花瓣飞舞（循环）,装扮特效,0,0,3,3,1,10,140012,,particles02
1082,仙气围绕（循环）,装扮特效,0,0,3,3,1,10,140013,,particles02
1083,雪话（循环）,装扮特效,0,0,4,3,1,10,140013_1,,particles08
1084,云朵（循环）,装扮特效,0,0,3,3,1,10,140013_3,,particles02
1085,点燃,装扮特效,0,0,2,3,2,10,140014_1,,particles04
1086,火元素（循环）,装扮特效,0,0,5,3,1,10,140014_2,,particles03
1087,星星（循环）,装扮特效,0,0,3,3,1,10,140014_3,,particles02
1088,元素爆炸,装扮特效,0,0,2,3,2,10,140015_1,,particles04
1089,雾气围绕（循环）,装扮特效,0,0,1,3,2,10,140015_2,,particles01
1090,篮球火（循环）,装扮特效,0,0,3,3,1,10,140015_3,,particles02
1091,爱心闪烁（循环）,装扮特效,0,0,4,3,1,10,140017_1,,particles08
1092,爱心扩散,装扮特效,0,0,4,3,2,10,140017_2,,particles08
1093,水波纹,装扮特效,0,0,6,3,2,10,140018_1,,particles06
1094,水波纹（循环）,装扮特效,0,0,6,3,1,10,140018_3,,particles06
1095,金光四射,装扮特效,0,0,3,3,2,10,140019_1,,particles02
1096,粉色泡泡（循环）,装扮特效,0,0,4,3,1,10,140019_2,,particles08
1097,刀光,装扮特效,0,0,3,3,2,10,140020_1,,particles02
1098,？？？,打不开,0,0,1,2,1,10,140020_2,,particles01
1099,黑色波纹（循环）,装扮特效,0,0,3,3,1,10,140020_3,,particles02
1100,花落,装扮特效,0,0,6,3,2,10,140021_1,,particles06
1101,花舞（循环）,装扮特效,0,0,6,3,1,10,140021_2,,particles06
1102,万圣夜,装扮特效,0,0,6,3,2,10,140022_1,,particles06
1103,紫色粒子（循环）,装扮特效,0,0,4,3,1,10,140022_2,,particles08
1104,灰尘,装扮特效,0,0,1,3,2,10,140023_1,,particles01
1105,蓝色花舞（循环）,装扮特效,0,0,6,3,2,10,140023_2,,particles06
1106,震撼出场,装扮特效,0,0,6,3,2,10,140024_1,,particles06
1107,黑色气泡（循环）,装扮特效,0,0,4,3,1,10,140024_3,,particles08
1108,？？？,打不开,0,0,1,2,1,10,140025_1,,particles01
1109,电纹（循环）,装扮特效,0,0,3,3,1,10,140025_2,,particles02
1110,竹叶（循环）,装扮特效,0,0,4,3,1,10,140027_2,,particles08
1111,幻音登场,装扮特效,0,0,6,3,2,10,140028_1,,particles06
1112,电子爱心（循环）,装扮特效,0,0,3,3,1,10,140028_2,,particles02
1113,幻：零式登场,装扮特效,0,0,6,3,2,10,140029_1,,particles06
1114,幻：零式光效,装扮特效,0,0,3,3,1,10,140029_2,,particles02
1115,蓝色花瓣,装扮特效,0,0,6,3,2,10,140030_1,,particles06
1116,星云（循环）,装扮特效,0,0,3,3,1,10,140030_2,,particles02
1117,万圣烟花,装扮特效,0,0,2,3,2,10,140031_1,,particles04
1118,紫色光效（循环）,装扮特效,0,0,3,3,1,10,140031_2,,particles02
1119,水花,装扮特效,0,0,6,3,2,10,140032_1,,particles06
1120,泡泡2（循环）,装扮特效,0,0,4,3,1,10,140032_2,,particles08
1121,贝壳（循环）,装扮特效,0,0,3,3,1,10,140032_3,,particles02
1122,雪地,装扮特效,0,0,6,3,2,10,140033_1,,particles06
1123,雪气（循环）,装扮特效,0,0,1,3,1,10,140033_2,,particles01
1124,彩带,装扮特效,0,0,2,3,2,10,140034_1,,particles04
1125,聚光灯,装扮特效,0,0,3,3,2,10,140035_1,,particles02
1126,粉色花瓣（循环）,装扮特效,0,0,4,3,1,10,140035_3,,particles08
1127,量子破碎,装扮特效,0,0,3,3,2,10,140036_1,,particles02
1128,波纹蓝（循环）,装扮特效,0,0,3,3,1,10,140036_2,,particles02
1129,电波纹,装扮特效,0,0,3,3,2,10,140036_3,,particles02
1130,星光翅膀,装扮特效,0,0,4,3,2,10,140037_1,,particles08
1131,羽毛落下（循环）,装扮特效,0,0,6,3,1,10,140037_2,,particles06
1132,动感光效,装扮特效,0,0,3,3,2,10,140038_1,,particles02
1133,电流,装扮特效,0,0,4,3,1,10,140038_2,,particles08
1134,音符（循环）,装扮特效,0,0,3,3,1,10,140038_3,,particles02
1135,裂地,装扮特效,0,0,2,3,2,10,140039_1,,particles04
1136,闪光,装扮特效,0,0,3,3,1,10,140039_2,,particles02
1137,镭射射线,装扮特效,0,0,3,3,2,10,140040_1,,particles02
1138,镭射粒子,装扮特效,0,0,4,3,2,10,140040_3,,particles08
1139,刀光,装扮特效,0,0,3,3,2,10,140041_1,,particles02
1140,刀轮,装扮特效,0,0,3,3,2,10,140041_3,,particles02
1141,极速飞驰,装扮特效,0,0,3,3,2,10,140042_1,,particles02
1142,心钻（循环）,装扮特效,0,0,3,3,1,10,140042_3,,particles02
1143,烟雾出场,装扮特效,0,0,1,3,2,10,140043_1,,particles01
1144,毛线球（循环）,装扮特效,0,0,3,3,1,10,140043_3,,particles02
1145,光爆,装扮特效,0,0,3,3,1,10,140044_1,,particles02
1146,忍镖（循环）,装扮特效,0,0,3,3,1,10,140044_3,,particles02
1147,破壳,装扮特效,0,0,3,3,2,10,140045_1,,particles02
1148,金流光（循环）,装扮特效,0,0,3,3,1,10,140045_2,,particles02
1149,召唤,,0,1,1,3,2,10,acchorse,,particles01
1150,爱心上升,,0,1,3,3,2,10,aixinrenwu,,particles02
1151,氧气区,,0,0,6,3,1,10,alientotem,,particles06
1152,发怒,动作表情特效,0,0,5,3,2,10,anim_100158,,particles03
1153,泪水,动作表情特效,0,0,7,3,1,10,anim_100159,,particles05
1154,疑问,动作表情特效,0,0,7,3,1,10,anim_100162,,particles05
1155,大爱心,动作表情特效,0,0,7,3,2,10,anim_100166,,particles05
1156,好点子,动作表情特效,0,0,7,3,2,10,anim_100167,,particles05
1157,黑线,动作表情特效,0,0,7,3,2,10,anim_100168,,particles05
1158,害羞,动作表情特效,0,0,7,3,2,10,anim_100171,,particles05
1159,挖鼻屎,动作表情特效,0,0,7,3,1,10,anim_100172,,particles05
1160,？？？,贴图有问题，动作表情特效,0,0,7,3,2,10,anim_100173,,particles05
1161,红晕（循环）,贴图有问题，动作表情特效,0,0,7,3,1,10,anim_100174,,particles05
1162,瀑布泪,动作表情特效,0,0,7,3,1,10,anim_100175,,particles05
1163,花痴（循环）,动作表情特效,0,0,7,3,1,10,anim_100176,,particles05
1164,阴暗（循环）,动作表情特效,0,0,7,3,1,10,anim_100177,,particles05
1165,瞌睡,动作表情特效,0,0,7,3,2,10,anim_100178,,particles05
1166,吃惊,动作表情特效,0,0,7,3,2,10,anim_100179,,particles05
1167,晕眩（循环）,动作表情特效,0,0,7,3,1,10,anim_100180,,particles05
1168,雷劈,动作表情特效,0,0,7,3,2,10,anim_100181,,particles05
1169,Bay~,动作表情特效,0,0,7,3,1,10,anim_100182,,particles05
1170,白圈（循环）,,0,1,7,3,1,10,aperture_1,,particles05
1171,浮动白点（循环）,,0,1,7,3,1,10,aperture_2,,particles05
1172,生物模型特效,,0,0,,3,,10,arm_left1,,
1173,生物模型特效,,0,0,,3,,10,arm_left2,,
1174,生物模型特效,,0,0,,3,,10,arm_left3,,
1175,生物模型特效,,0,0,,3,,10,arm_right1,,
1176,生物模型特效,,0,0,,3,,10,arm_right2,,
1177,生物模型特效,,0,0,,3,,10,arm_right3,,
1178,命中,,0,1,7,3,2,10,ball_collide,,particles05
1179,标记（循环）,,0,1,7,3,1,10,ball_dribbling,,particles05
1180,彩带,,0,1,2,3,2,10,ball_goal,,particles04
1181,指向上,,0,1,7,3,2,10,ball_guide,,particles05
1182,点击,,0,1,7,3,2,10,ball_hit,,particles05
1183,熔炎,,0,1,5,3,2,10,ball_power_high,,particles03
1184,？？？,贴图有问题,0,0,3,3,2,10,ball_power_low,,particles02
1185,电旋（循环）,,0,1,3,3,1,10,ball_shoot_charge,,particles02
1186,扩散波纹,,0,1,2,3,2,10,ball_shoot_release,,particles04
1187,公共队（循环）,,0,1,7,3,1,10,ball_team_0,,particles05
1188,红队（循环）,,0,1,7,3,1,10,ball_team_1,,particles05
1189,蓝队（循环）,,0,1,7,3,1,10,ball_team_2,,particles05
1190,绿队（循环）,,0,1,7,3,1,10,ball_team_3,,particles05
1191,黄队（循环）,,0,1,7,3,1,10,ball_team_4,,particles05
1192,橙队（循环）,,0,1,7,3,1,10,ball_team_5,,particles05
1193,紫队（循环）,,0,1,7,3,1,10,ball_team_6,,particles05
1194,烟尘（循环）,,0,1,1,3,1,10,bazooka_1,,particles01
1195,大爆炸,,0,1,2,3,2,10,bazooka_hit,,particles04
1196,小蜜蜂（循环）,,0,1,6,3,1,10,bee,,particles06
1197,生物模型特效,,0,1,,3,,10,body1,,
1198,生物模型特效,,0,1,,3,,10,body2,,
1199,生物模型特效,,0,1,,3,,10,body3,,
1200,烟雾2,BOSS怪物特效,0,1,1,3,2,10,bossblock_cleanup,,particles01
1201,烟雾扩散,BOSS怪物特效,0,1,1,3,2,10,bossblock_jinghua,,particles01
1202,绿色烟雾,BOSS怪物特效,0,1,1,3,2,10,bossblock_pollution,,particles01
1203,烟雾扩散2,BOSS怪物特效,0,1,1,3,2,10,bossblock_room,,particles01
1204,烟雾3,BOSS怪物特效,0,1,1,3,2,10,bossgiant_build,,particles01
1205,烟雾4,BOSS怪物特效,0,0,1,3,2,10,bossgiant_siwnag,,particles01
1206,浅蓝粒子（循环）,BOSS怪物特效,0,1,4,3,1,10,bosskill_3510_laserhitpoint,,particles08
1207,烟雾扩散3,BOSS怪物特效,0,1,1,3,2,10,bosssiwang,,particles01
1208,白光,BOSS怪物特效,0,1,3,3,2,10,bossskill_3510_guard,,particles02
1209,蓝色闪光,BOSS怪物特效,0,1,3,3,2,10,bossskill_3510_laser,,particles02
1210,蓝色光点（循环）,BOSS怪物特效,0,1,4,3,1,10,bossskill_3510_laserblue,,particles08
1211,蓝色光效,BOSS怪物特效,0,1,3,3,2,10,bossskill_3510_lasercharging,,particles02
1212,红色粒子（循环）,BOSS怪物特效,0,1,4,3,1,10,bossskill_3510_laserred,,particles08
1213,白色粒子（循环）,BOSS怪物特效,0,1,4,3,1,10,bossskill_3510_laserwhite,,particles08
1214,蓝光,BOSS怪物特效,0,1,3,3,2,10,bossskill_3514_blue,,particles02
1215,爆炸3,BOSS怪物特效,0,1,2,3,2,10,bossskill_3514_creepstransfer,,particles04
1216,光罩（循环）,BOSS怪物特效,0,1,3,3,1,10,bossskill_3514_guard,,particles02
1217,光罩2（循环）,BOSS怪物特效,0,1,3,3,1,10,bossskill_3514_sheild,,particles02
1218,白光,BOSS怪物特效,0,1,3,3,2,10,bossskill_3514_white,,particles02
1219,时空裂缝1,BOSS怪物特效,0,1,2,3,2,10,bossskill_lasertailblue,,particles04
1220,时空裂缝2,BOSS怪物特效,0,1,2,3,2,10,bossskill_lasertailred,,particles04
1221,时空裂缝3,BOSS怪物特效,0,1,2,3,2,10,bossskill_lasertailwhite,,particles04
1222,眩晕（循环）,BOSS怪物特效,0,1,3,3,1,10,bossxuanyun,,particles02
1223,方块状态（循环）,BUFF特效,0,1,3,3,1,10,box_buff,,particles02
1224,状态1（循环）,BUFF特效,0,1,3,3,1,10,BUFF_ATTACK_1,,particles02
1225,状态2（循环）,BUFF特效,0,1,3,3,1,10,BUFF_ATTACK_2,,particles02
1226,烟雾5,BUFF特效,0,1,1,3,2,10,BUFF_CHICKEN,,particles01
1227,禁锢（循环）,BUFF特效,0,1,3,3,1,10,BUFF_CLASP,,particles02
1228,离子盾,BUFF特效,0,1,4,3,2,10,BUFF_DAMAGE_ABSORB,,particles08
1229,护盾1,BUFF特效,0,0,3,3,2,10,BUFF_DAMAGED_1,,particles02
1230,破甲,BUFF特效,0,1,3,3,2,10,BUFF_DAMAGED_2,,particles02
1231,护盾2,BUFF特效,0,1,3,3,1,10,BUFF_DAMAGED_3,,particles02
1232,灼烧3（循环）,BUFF特效,0,1,5,3,1,10,BUFF_FIRE_1,,particles03
1233,蓝色烟雾（循环）,BUFF特效,0,1,1,3,1,10,BUFF_FREEZE,,particles01
1234,生命恢复1（循环）,BUFF特效,0,1,3,3,1,10,BUFF_HP_1,,particles02
1235,生命恢复2,BUFF特效,0,1,3,3,2,10,BUFF_HP_R,,particles02
1236,蓝色火焰（循环）,BUFF特效,0,1,5,3,1,10,BUFF_POISON_1,,particles03
1237,泡泡3（循环）,BUFF特效,0,1,4,3,1,10,BUFF_POP,,particles08
1238,漩涡,BUFF特效,0,1,3,3,2,10,BUFF_SPEED_1,,particles02
1239,诅咒（循环）,BUFF特效,0,1,3,3,1,10,BUFF_WITHER_1,,particles02
1240,鬼火（循环）,BUFF特效,0,1,5,3,1,10,buff69001,,particles03
1241,不明特效1,,0,0,,3,,10,campath_01,,
1242,不明特效2,,0,0,,3,,10,campath_02,,
1243,不明特效3,,0,0,,3,,10,campath_03,,
1244,不明特效4,,0,0,,3,,10,campath_04,,
1245,不明特效5,,0,0,,3,,10,campath_05,,
1246,不明特效6,,0,0,,3,,10,campath_06,,
1247,火点（循环）,,0,0,5,3,1,10,candle_1,,particles03
1248,动态光（循环）,,0,1,3,3,1,10,chaosstatue,,particles02
1249,黑色旋涡（循环）,,0,1,3,3,2,10,chuansongmen,,particles02
1250,传送门（循环）,,0,1,4,3,1,10,chuansongmengai,,particles08
1251,烟雾拖尾（循环）,,0,1,1,3,1,10,Chupinazo,,particles01
1252,烟花汇,,0,1,2,3,2,10,Chupinazoboom,,particles04
1253,环绕,,0,1,3,3,2,10,clear_prop,,particles02
1254,看不了,看不了,0,0,,3,,10,ench_fall,,
1255,看不了,看不了,0,0,,3,,10,experience_star_01,,
1256,看不了,看不了,0,0,,3,,10,experience_star_02,,
1257,看不了,看不了,0,0,,3,,10,experience_star_03,,
1258,看不了,看不了,0,0,,3,,10,experience_star_04,,
1259,火星子（循环）,,0,1,2,3,1,10,explosive_1,,particles04
1260,透明方块蓝,,0,0,3,3,1,10,fangkuai,,particles02
1261,透明方块黄,,0,0,3,3,1,10,fangkuaiHU,,particles02
1262,透明方块绿,,0,0,3,3,1,10,fangkuaiLV,,particles02
1263,笑脸烟花2,,0,1,2,3,2,10,Fireworks,,particles04
1264,花瓣落下（循环）,,0,1,6,3,1,10,flower,,particles06
1265,雾圈（循环）,,0,0,1,3,1,10,Fog,,particles01
1266,箭头（循环）,,0,1,7,3,1,10,guide_focus,,particles05
1267,标记点（循环）,,0,1,7,3,1,10,guide_put,,particles05
1268,曝光,,0,1,2,3,2,10,haixiaojineng_1,,particles04
1269,引力黑洞（循环）,,0,1,4,3,1,10,haixiaoy_1,,particles08
1270,微缩道具手特效,,0,0,1,3,,10,hand,,particles01
1271,微缩道具特效,,0,0,1,3,,10,head,,particles01
1272,酸性烟雾,,0,1,1,3,2,10,hook_die,,particles01
1273,电火（循环）,,0,1,5,3,1,10,horse_3430,,particles03
1274,水波纹2,,0,1,6,3,2,10,horse_3432,,particles06
1275,蓝色气流（循环）,,0,1,6,3,1,10,horse_3433_body,,particles06
1276,气流（循环）,,0,1,6,3,1,10,horse_3433_fly,,particles06
1277,火光（循环）,,0,1,5,3,1,10,horse_3436,,particles03
1278,黄色波纹,,0,1,6,3,2,10,horse_3437,,particles06
1279,烟雾6,,0,1,1,3,2,10,horse_3438_fly,,particles01
1280,菱形（循环）,,0,1,4,3,1,10,horse_3441,,particles08
1281,烟雾7,,0,1,1,3,1,10,horse_3444,,particles01
1282,水花四溅（循环）,,0,1,6,3,1,10,horse_3445_sealsspray,,particles06
1283,蓝泡泡（循环）,,0,1,6,3,1,10,horse_3447_sealse,,particles06
1284,水花泡泡,,0,1,6,3,2,10,horse_3447_sealsex,,particles06
1285,烟雾8,,0,1,1,3,2,10,InteractFalse,,particles01
1286,小星星,,0,1,3,3,2,10,InteractTure,,particles02
1287,烟雾9,,0,1,1,3,2,10,item_4_evaporation,,particles01
1288,方块特效1,,0,1,3,3,1,10,item_9_1,,particles02
1289,蓝焰3,,0,1,5,3,2,10,item_9_2,,particles03
1290,绿色光效（循环）,,0,1,4,3,1,10,item_18_light,,particles08
1291,离子特效,,0,1,3,3,2,10,item_18_activate,,particles02
1292,绿色光效（循环）,,0,0,4,3,1,10,item_18_activated,,particles08
1293,光柱1（循环）,,0,1,3,3,1,10,item_18_light,,particles02
1294,火焰喷射（循环）,,0,1,5,3,1,10,item_132_fire,,particles03
1295,喷射1（循环）,,0,1,1,3,1,10,item_132_fog,,particles01
1296,喷射2（循环）,,0,1,6,3,1,10,item_132_water,,particles06
1297,光柱2（循环）,,0,1,3,3,1,10,item_137_blue,,particles02
1298,光柱3（循环）,,0,1,3,3,1,10,item_137_red,,particles02
1299,光柱4（循环）,,0,1,3,3,1,10,item_137_white,,particles02
1300,圣诞气息（循环）,,0,1,3,3,1,10,item_244,,particles02
1301,雷电（循环）,,0,1,3,3,1,10,item_701,,particles02
1302,item_706,,0,0,5,3,1,10,item_706,,particles03
1303,item_717,,0,1,3,3,2,10,item_717,,particles02
1304,item_718,,0,1,1,3,2,10,item_718,,particles01
1305,item_723,,0,1,4,3,1,10,item_723,,particles08
1306,item_748,,0,0,3,3,1,10,item_748,,
1307,item_810,,0,1,5,3,1,10,item_810,,particles03
1308,item_810_1,,0,1,3,3,2,10,item_810_1,,particles02
1309,item_817_extinguish,,0,1,1,3,1,10,item_817_extinguish,,particles01
1310,item_833,,0,1,3,3,1,10,item_833,,particles02
1311,item_835,,0,1,2,3,2,10,item_835,,particles04
1312,item_850,,0,1,1,3,1,10,item_850,,particles01
1313,item_980,,0,0,5,3,1,10,item_980,,particles03
1314,item_990,,0,1,7,3,1,10,item_990,,particles05
1315,item_991,,0,1,7,3,1,10,item_991,,particles05
1316,item_992,,0,1,7,3,1,10,item_992,,particles05
1317,item_993,,0,1,7,3,1,10,item_993,,particles05
1318,item_994,,0,1,7,3,1,10,item_994,,particles05
1319,item_995,,0,1,7,3,1,10,item_995,,particles05
1320,item_997,,0,1,7,3,1,10,item_996,,particles05
1321,item_997_1,,0,1,3,3,2,10,item_997_1,,particles02
1322,item_1000,,0,1,7,3,1,10,item_1000,,particles05
1323,item_1001,,0,1,7,3,1,10,item_1001,,particles05
1324,item_1002,,0,1,7,3,1,10,item_1002,,particles05
1325,item_1003,,0,1,7,3,1,10,item_1003,,particles05
1326,item_1003_cheng,,0,1,7,3,1,10,item_1003_cheng,,particles05
1327,item_1003_hong,,0,1,7,3,1,10,item_1003_hong,,particles05
1328,item_1003_huang,,0,1,7,3,1,10,item_1003_huang,,particles05
1329,item_1003_lan,,0,1,7,3,1,10,item_1003_lan,,particles05
1330,item_1003_lv,,0,1,7,3,1,10,item_1003_lv,,particles05
1331,item_1003_zi,,0,1,7,3,1,10,item_1003_zi,,particles05
1332,item_1008,,0,0,1,3,2,10,item_1008,,particles01
1333,item_1008_1,,0,1,1,3,1,10,item_1008_1,,particles01
1334,item_1008_2,,0,1,2,3,2,10,item_1008_2,,particles04
1335,item_1032,,0,1,3,3,1,10,item_1032,,particles02
1336,item_1033,,0,1,3,3,1,10,item_1033,,particles02
1337,item_1043,,0,1,3,3,1,10,item_1043,,particles02
1338,item_1043_break,,0,1,3,3,2,10,item_1043_break,,particles02
1339,item_1045_work,,0,1,5,3,1,10,item_1045_work,,particles03
1340,item_1047_full,,0,1,1,3,2,10,item_1047_full,,particles01
1341,item_1058_1,,0,1,4,3,1,10,item_1058_1,,particles08
1342,item_1059_1,,0,1,4,3,1,10,item_1059_1,,particles08
1343,item_11013,,0,1,2,3,2,10,item_11013,,particles04
1344,item_11017_noop,,0,1,5,3,1,10,item_11016_noop,,particles03
1345,item_11324_signal,,0,1,3,3,1,10,item_11324_signal,,particles02
1346,item_12002_2,,0,1,1,3,2,10,item_12002_2,,particles01
1347,item_12004_1,,0,1,3,3,1,10,item_12004_1,,particles02
1348,item_12004_2,,0,0,3,3,2,10,item_12004_2,,
1349,item_12004_3,,0,1,3,3,1,10,item_12004_3,,particles02
1350,item_12004_4,,0,1,2,3,2,10,item_12004_4,,particles04
1351,item_12004_5,,0,0,3,3,1,10,item_12004_5,,
1352,item_12005,,0,1,3,3,1,10,item_12005,,particles02
1353,item_12005_1,,0,0,3,3,1,10,item_12005_1,,
1354,item_12005_2,,0,1,7,3,2,10,item_12005_2,,particles05
1355,item_12005_3,,0,0,3,3,1,10,item_12005_3,,
1356,item_12005_4,,0,1,3,3,2,10,item_12005_4,,particles02
1357,item_12005_5,,0,0,,3,,10,item_12005_5,,
1358,item_12005_Y,,0,1,3,3,2,10,item_12005_Y,,particles02
1359,item_12007_use,未找到,0,0,,,,10,item_12007_use,,
1360,item_12008_1,,0,0,,3,,10,item_12008_1,,
1361,item_12058,,0,1,3,3,2,10,item_12058,,particles02
1362,item_12247,,0,1,4,3,2,10,item_12247,,particles08
1363,item_12248_1,,0,1,4,3,2,10,item_12248_1,,particles08
1364,item_12248_2,,0,0,,3,,10,item_12248_2,,
1365,item_12253_1,,0,1,1,3,1,10,item_12253_1,,particles01
1366,item_12253_2,,0,1,1,3,2,10,item_12253_2,,particles01
1367,item_12253_shut,,0,0,,2,,10,item_12253_shut,,
1368,item_12280_shut,,0,0,,2,,10,item_12280_shut,,
1369,item_12287_2,,0,0,,3,,10,item_12287_2,,
1370,item_12291_1,,0,0,,3,,10,item_12291_1,,
1371,item_12292_1,,0,0,,3,,10,item_12292_1,,
1372,item_12292_2,,0,0,,3,,10,item_12292_2,,
1373,item_12293_charge,,0,1,4,3,1,10,item_12293_charge,,particles08
