道具ID,名称,枪械类型,攻击力,射击间隔（ms）,最大准心上扬,准心上扬速度,准心上扬恢复速度,准心半径,最大准心半径,准心扩散速度,准心恢复速度,射程,射击模式[0=半自动，1=全自动，2=手动],拉栓延迟时间[从开火到拉栓，单位ms],拉栓时间[从开火到拉栓结束，单位ms],弹夹子弹数,换弹夹时间/ms,重量/g,瞄准放大倍数,是否显示准心,子弹要求：0/换子弹无消耗，1/换子弹有消耗，2/射击无消耗,消耗道具（填itemid，不填默认是子弹列填的id）,子弹,射击特效,射击音效,空枪射击音效,换弹夹音效,拉栓音效,FPS待机,FPS射击,FPS换子弹,FPS换枪,FPS瞄准,FPS瞄准射击,FPS拉栓,TPS待机,TPS射击,TPS换子弹,初速度加成,自动瞄准(0关闭自瞄 1允许自瞄并默认开启)
15002,牛仔左轮,10105,30,300,2,0.015,0.056,6,18,0.4,15,32,0,220,1200,6,1750,500,0,1,1,,15003,item_15002_1,item.15002.fire,item.15002.empty,item.15002.reload,item.15004.load,101117,101108,101112,101114,101116,101119,101141,100136,100127,100138,,1
15004,狙击枪,10107,100,2000,3,0.03,0.1,25,60,0.4,15,32,2,420,1400,6,1750,7000,40,0,1,,15003,item_15004_1,item.15004.fire,item.15004.empty,item.15004.reload,item.15004.load,101124,101125,101142,101115,101116,101119,101141,100137,100154,100139,,1
15005,重机枪,10108,20,100,4,0.015,0.095,25,60,0.4,15,32,1,120,1100,100,2100,12000,0,1,1,,15003,item_15005_1,item.15005.fire,item.15005.empty,item.15005.reload,item.15004.load,101126,101127,101128,101115,101116,101119,101141,100144,100145,100146,,1
15006,霰弹枪,10109,50,500,2,0.02,0.1,14,42,0.4,25,32,0,420,1400,6,1680,5000,0,1,1,,15003,item_15006_1,item.15006.fire,item.15006.empty,item.15006.reload,item.15004.load,101124,101136,101113,101115,101116,101119,101141,100137,100154,100139,,1
15009,UZI冲锋枪,10106,23,107,2.5,0.012,0.076,10,36,0.4,25,32,1,120,1100,30,1680,4000,0,1,1,,15003,item_15000_1,item.15000.fire,item.15000.empty,item.15000.reload,item.15004.load,101118,101109,101113,101115,101116,101119,101141,100137,100129,100139,,1
15010,MP5K冲锋枪,10106,33,150,2.5,0.012,0.076,10,36,0.4,25,32,1,120,1100,30,1680,4000,0,1,1,,15003,item_15000_1,item.15000.fire,item.15000.empty,item.15000.reload,item.15004.load,101118,101109,101113,101115,101116,101119,101141,100137,100129,100139,,1
15011,汤普森,10106,38,125,2.5,0.012,0.076,10,36,0.4,25,32,1,120,1100,30,1680,4000,0,1,1,,15003,item_15000_1,item.15000.fire,item.15000.empty,item.15000.reload,item.15004.load,101118,101109,101113,101115,101116,101119,101141,100137,100129,100139,,1
15012,P-90冲锋枪,10106,40,107,2.5,0.012,0.076,10,36,0.4,25,32,1,120,1100,50,1680,4000,0,1,1,,15003,item_15000_1,item.15000.fire,item.15000.empty,item.15000.reload,item.15004.load,101118,101109,101113,101115,101116,101119,101141,100137,100129,100139,,1
15013,JS9冲锋枪,10106,38,115,2.5,0.012,0.076,10,36,0.4,25,32,1,120,1100,30,1680,4000,0,1,1,,15003,item_15000_1,item.15000.fire,item.15000.empty,item.15000.reload,item.15004.load,101118,101109,101113,101115,101116,101119,101141,100137,100129,100139,,1
15014,AK步枪,10106,48,125,2.7,0.015,0.085,5,36,0.4,25,32,1,120,1100,30,1750,5000,0,1,1,,15003,item_15000_1,item.15000.fire,item.15000.empty,item.15000.reload,item.15004.load,101118,101109,101113,101115,101116,101119,101141,100137,100129,100139,,1
15015,M416步枪,10106,41,95,2.5,0.012,0.076,5,36,0.4,25,32,1,120,1100,30,1750,5000,0,1,1,,15003,item_15000_1,item.15000.fire,item.15000.empty,item.15000.reload,item.15004.load,101118,101109,101113,101115,101116,101119,101141,100137,100129,100139,,1
15016,黄金M416,10106,41,95,2.5,0.012,0.076,5,36,0.4,25,32,1,120,1100,30,1750,5000,0,1,1,,15003,item_15000_1,item.15000.fire,item.15000.empty,item.15000.reload,item.15004.load,101118,101109,101113,101115,101116,101119,101141,100137,100129,100139,,1
15017,赤焰M416,10106,41,95,2.5,0.012,0.076,5,36,0.4,25,32,1,120,1100,30,1750,5000,0,1,1,,15003,item_15000_1,item.15000.fire,item.15000.empty,item.15000.reload,item.15004.load,101118,101109,101113,101115,101116,101119,101141,100137,100129,100139,,1
15018,寒冰M416,10106,41,95,2.5,0.012,0.076,5,36,0.4,25,32,1,120,1100,30,1750,5000,0,1,1,,15003,item_15000_1,item.15000.fire,item.15000.empty,item.15000.reload,item.15004.load,101118,101109,101113,101115,101116,101119,101141,100137,100129,100139,,1
15019,AUG-急速音符,10106,41,130,2.5,0.012,0.076,5,36,0.4,25,32,1,120,1100,30,1750,5000,0,1,1,,15003,item_15000_1,item.15000.fire,item.15000.empty,item.15000.reload,item.15004.load,101118,101109,101113,101115,101116,101119,101141,100137,100129,100139,,1
12247,彩弹枪,10105,0,150,0,0,0,1,15,0.4,25,32,1,220,1200,100,1680,4000,0,1,2,,12249,item_12247,item.12247.fire,item.15000.empty,item.15000.reload,item.15004.load,101118,101109,101113,101115,101116,101119,101141,100137,100129,100139,,
12587,变蛋枪,10105,0,150,0,0,0,1,15,0.4,25,32,0,220,1200,1,1680,4000,0,1,1,,12588,item_12587,item.12587.fire,item.15000.empty,item.12587.reload,item.15004.load,101118,101109,101113,101115,101116,101119,101141,100137,100129,100139,,
9998,微缩枪械,10106,20,150,2.5,0.012,0.076,12,36,0.4,25,32,1,120,1100,30,1680,4000,0,1,1,,15003,,item.15000.fire,item.15000.empty,item.15000.reload,item.15004.load,101118,101109,101113,101115,101116,101119,101141,100137,100129,100139,,1
15529,物理清除枪,10105,0,300,0,0,0,1,15,0.4,25,32,0,220,1200,100,1680,4000,0,1,2,,15530,item_15005_1,misc.pulse_arrow,item.15000.empty,item.12587.reload,item.15004.load,101117,101108,101112,101114,101116,101119,101141,100136,100127,100138,,
12311,沙之咆哮,10108,0,500,2,0.02,0.1,14,42,0.4,25,32,0,220,1200,16,1680,7000,0,1,1,29,15073,item_15006_1,item.15006.fire,item.15006.empty,item.15006.reload,item.15004.load,101124,101136,101113,101115,101116,101119,101141,100137,100154,100139,,
11649,水压炮,10108,0,500,2,0.02,0.1,14,42,0.4,25,32,0,220,1200,20,1680,7000,0,1,1,1048,11651,item_15006_2,item.11649.watercannon1,item.15006.empty,item.15006.reload,item.15004.load,101124,101136,101113,101115,101116,101119,101141,100137,100154,100139,,
