交易项ID/每一项都不重复,组ID/不同商人的组ID可以重复,道具ID,商人ID/1游商2沙漠3雪地,交易类型（0收购1出售2以物换物）,出现权重,数量下限/以物换物的时候NPC卖的,数量上限,价格下限/单位星星,价格上限/单位星星,物物ID/以物换物的时候付出的,物物数量下限,物物数量上限,交易限制次数,附魔标记,附魔价格浮动下限/百分比,附魔价格浮动上限/百分比,名称,单价,广告显示,
35,6,648,3011,1,100,5,10,1,1,,,,5,,,,玻璃块,0.2,1,
36,3,12527,3011,1,100,1,1,1,1,,,,2,,,,蟹腿,1,,
37,7,11911,3011,2,10000,1,1,,,200411,3,3,10,,,,创造晶体,,,
38,3,12623,3012,2,100,5,10,,,12613,5,10,10,,,,雪兔皮草,1,,
39,1,12623,3012,0,100,15,30,1,1,,,,10,,,,雪兔皮草,,,
40,1,11824,3012,0,100,40,70,1,1,,,,10,,,,霜火石,,,
41,2,12532,3012,1,100,5,15,1,1,,,,10,,,,兔肉,,,
42,2,12710,3012,0,100,10,20,1,1,,,,10,,,,冰灵精粹,,,
43,2,12520,3012,0,100,30,50,1,1,,,,10,,,,鲜呆呆鱼,,,
44,3,600,3012,0,100,20,50,1,1,,,,10,,,,棉花块,,,
45,3,761,3012,0,100,20,45,1,1,,,,10,,,,冬温花,,,
46,3,822,3012,2,100,10,20,,,12500,5,10,10,,,,草垛,,,
47,3,12535,3012,2,100,5,10,,,12516,5,10,10,,,,牦牛肉,,,
48,3,12532,3012,2,100,5,10,,,12518,5,10,10,,,,兔肉,,,
49,4,12704,3012,2,100,30,100,,,12530,5,10,10,,,,鲜奇奇鱼,,,
50,4,763,3012,0,100,20,50,1,1,,,,10,,,,枯灌木丛,,,
51,4,150027,3012,1,100,5,10,1,1,,,,10,,,,雪人灯,,,
52,4,12622,3012,0,100,5,10,1,1,,,,10,,,,牦牛角,,,
53,4,150013,3012,1,100,10,20,1,1,,,,10,,,,寒光棒,,,
54,5,12313,3012,1,100,1,1,1,3,,,,1,,,,防寒胸甲,0.2136,,
55,5,12314,3012,1,100,1,1,1,3,,,,1,,,,防寒护腿,0.1869,,
56,6,601,3012,1,100,5,10,1,1,,,,5,,,,棉花块,0.2,1,
57,6,602,3012,1,100,5,10,1,1,,,,5,,,,棉花块,0.2,1,
58,6,603,3012,1,100,5,10,1,1,,,,5,,,,棉花块,0.2,1,
59,6,604,3012,1,100,5,10,1,1,,,,5,,,,棉花块,0.2,1,
60,6,605,3012,1,100,5,10,1,1,,,,5,,,,棉花块,0.2,1,
61,6,606,3012,1,100,5,10,1,1,,,,5,,,,棉花块,0.2,1,
62,6,607,3012,1,100,5,10,1,1,,,,5,,,,棉花块,0.2,1,
63,6,608,3012,1,100,5,10,1,1,,,,5,,,,棉花块,0.2,1,
64,6,609,3012,1,100,5,10,1,1,,,,5,,,,棉花块,0.2,1,
65,6,610,3012,1,100,5,10,1,1,,,,5,,,,棉花块,0.2,1,
66,6,611,3012,1,100,5,10,1,1,,,,5,,,,棉花块,0.2,1,
67,6,612,3012,1,100,5,10,1,1,,,,5,,,,棉花块,0.2,1,
68,6,613,3012,1,100,5,10,1,1,,,,5,,,,棉花块,0.2,1,
69,6,614,3012,1,100,5,10,1,1,,,,5,,,,棉花块,0.2,1,
70,6,615,3012,1,100,5,10,1,1,,,,5,,,,棉花块,0.2,1,
71,8,11911,3012,2,10000,1,1,,,200411,3,3,10,,,,创造晶体,,,
72,1,11805,3010,0,100,10,20,1,1,,,,10,,,,空白卷轴,0.0345,,
73,1,11204,3010,0,100,2,3,1,1,,,,10,,,,琥珀,0.9099,,
74,1,11403,3010,0,100,45,128,1,1,,,,10,,,,红杉果,0.0102,,
75,1,12500,3010,0,100,5,10,1,1,,,,10,,,,樱桃,0.6667,,
76,1,11511,3010,0,100,2,6,1,1,,,,10,,,,缠丝玛瑙,0.9099,,
77,2,667,3010,1,100,5,10,1,1,,,,5,,,,上色水泥块,0.3,1,
78,2,668,3010,1,100,5,10,1,1,,,,5,,,,上色水泥块,0.3,1,
79,2,669,3010,1,100,5,10,1,1,,,,5,,,,上色水泥块,0.3,1,
80,2,670,3010,1,100,5,10,1,1,,,,5,,,,上色水泥块,0.3,1,
81,2,671,3010,1,100,5,10,1,1,,,,5,,,,上色水泥块,0.3,1,
82,2,672,3010,1,100,5,10,1,1,,,,5,,,,上色水泥块,0.3,1,
83,2,673,3010,1,100,5,10,1,1,,,,5,,,,上色水泥块,0.3,1,
84,2,674,3010,1,100,5,10,1,1,,,,5,,,,上色水泥块,0.3,1,
85,2,675,3010,1,100,5,10,1,1,,,,5,,,,上色水泥块,0.3,1,
86,2,676,3010,1,100,5,10,1,1,,,,5,,,,上色水泥块,0.3,1,
87,2,677,3010,1,100,5,10,1,1,,,,5,,,,上色水泥块,0.3,1,
88,2,678,3010,1,100,5,10,1,1,,,,5,,,,上色水泥块,0.3,1,
89,2,679,3010,1,100,5,10,1,1,,,,5,,,,上色水泥块,0.3,1,
90,2,680,3010,1,100,5,10,1,1,,,,5,,,,上色水泥块,0.3,1,
91,2,681,3010,1,100,5,10,1,1,,,,5,,,,上色水泥块,0.3,1,
92,2,682,3010,1,100,5,10,1,1,,,,5,,,,上色水泥块,0.3,1,
93,3,11206,3010,1,100,4,8,1,1,,,,5,,,,曙光石粉,0.091,1,
94,3,11210,3010,1,100,4,8,1,1,,,,5,,,,云母,0.035,1,
95,3,11310,3010,1,100,2,4,1,1,,,,5,,,,焦油,0.0265,1,
96,3,226,3010,1,100,4,8,1,1,,,,5,,,,土笋,0.25,1,
97,3,227,3010,1,100,4,8,1,1,,,,5,,,,紫苏,0.25,1,
98,3,12051,3010,1,100,8,15,1,1,,,,5,,,,石箭,0.0868,1,
99,4,11211,3010,1,100,2,4,1,1,,,,5,,,,火种,0.0617,1,
100,4,126,3010,1,100,7,13,1,1,,,,5,,,,魔古岩,1,1,
101,5,12204,3010,1,100,1,1,1,2,,,,1,,,,皮靴子,0.1068,,
102,5,12214,3010,1,100,1,1,5,10,,,,1,,,,链甲靴子,0.1747625,,
103,5,12222,3010,1,100,1,1,8,15,,,,1,,,,秘银胸甲,0.5084,,
104,5,12224,3010,1,100,1,1,5,10,,,,1,,,,秘银靴子,0.2542,,
105,5,12242,3010,1,100,1,1,25,50,,,,1,,,,钨金胸甲,7.2792,,
106,5,12243,3010,1,100,1,1,20,40,,,,1,,,,钨金护腿,6.3693,,
107,5,12244,3010,1,100,1,1,15,30,,,,1,,,,钨金靴子,3.6396,,
108,6,11003,3010,1,100,1,1,3,10,,,,1,,,,秘银斧,0.19065,,
109,6,11005,3010,1,100,1,1,10,20,,,,1,,,,链锯,2.7297,,
110,6,11013,3010,1,100,1,1,3,10,,,,1,,,,秘银镐,0.19065,,
111,6,11015,3010,1,100,1,1,10,20,,,,1,,,,钻头,2.7297,,
112,6,12003,3010,1,100,1,1,3,10,,,,1,,,,短剑,0.1271,,
113,6,12005,3010,1,100,1,1,15,30,,,,1,,,,能量剑,1.8198,,
114,6,12050,3010,1,100,1,1,1,2,,,,1,,,,秘银短弓,0.4041,,
115,7,225,3010,1,30,2,3,1,1,,,,2,,,,枯草,1,1,
116,7,300,3010,1,30,2,3,1,1,,,,2,,,,风铃花,1,1,
117,7,301,3010,1,30,2,3,1,1,,,,2,,,,若兰,1,1,
118,7,302,3010,1,30,2,3,1,1,,,,2,,,,星辰花,1,1,
119,7,303,3010,1,30,2,3,1,1,,,,2,,,,龙血花,1,1,
120,7,304,3010,1,30,2,3,1,1,,,,2,,,,风信子,1,1,
121,7,305,3010,1,30,2,3,1,1,,,,2,,,,龙爪草,1,1,
122,7,306,3010,1,30,2,3,1,1,,,,2,,,,龙血树,1,1,
123,7,311,3010,1,30,2,3,1,1,,,,2,,,,白椰花,1,1,
124,7,312,3010,1,30,2,3,1,1,,,,2,,,,黄钟花,1,1,
125,7,313,3010,1,30,2,3,1,1,,,,2,,,,野蔷薇,1,1,
126,8,307,3010,1,30,2,3,2,5,,,,1,,,,红色龙舌兰,3.0864,1,
127,8,308,3010,1,30,2,3,2,5,,,,1,,,,橙色龙舌兰,1.3228,1,
128,8,310,3010,1,30,2,3,2,5,,,,1,,,,粉色龙舌兰,1.3228,1,
129,9,11618,3010,1,30,1,1,1,3,,,,1,,1,2,低级攻击符文宝石,1,,
130,9,11619,3010,1,30,1,1,4,6,,,,1,,2,3,中级攻击符文宝石,1,,
131,9,11620,3010,1,30,1,1,7,9,,,,1,,3,4,高级攻击符文宝石,1,,
132,9,11621,3010,1,30,1,1,1,3,,,,1,,1,2,低级防御符文宝石,1,,
133,9,11622,3010,1,30,1,1,4,6,,,,1,,2,3,中级防御符文宝石,1,,
134,9,11623,3010,1,30,1,1,7,9,,,,1,,3,4,高级防御符文宝石,1,,
135,9,11624,3010,1,30,1,1,1,3,,,,1,,1,2,低级效率符文宝石,1,,
136,9,11625,3010,1,30,1,1,4,6,,,,1,,2,3,中级效率符文宝石,1,,
137,9,11626,3010,1,30,1,1,7,9,,,,1,,3,4,高级效率符文宝石,1,,
138,8,309,3010,1,30,2,3,2,5,,,,1,,,,灰色龙舌兰,1.3228,,
139,1,12527,3010,1,30,1,1,1,1,,,,2,,,,蟹腿,1,,
140,10,11911,3010,2,10000,1,1,,,200411,3,3,10,,,,创造晶体,,,
141,1,244,3013,1,100,1,1,6,8,,,,2,,,,圣诞树,1,,
142,2,685,3013,1,100,1,1,1,1,,,,10,,,,竖纹糖块,1,,
143,3,686,3013,1,100,1,1,2,2,,,,10,,,,巧克力砖,1,,
144,4,847,3013,1,100,1,1,4,4,,,,2,,,,圣诞礼盒,1,,
145,5,879,3013,1,100,1,1,3,5,,,,10,,,,圣诞铃铛,1,,
146,6,880,3013,1,100,1,1,1,1,,,,10,,,,圣诞条带,1,,
147,7,11059,3013,1,100,1,1,6,8,,,,3,1,5,10,拐杖糖镐,1,,
148,8,12565,3013,1,100,1,1,2,2,,,,10,,,,怪味的糖果,1,,
149,9,11060,3013,1,100,1,1,6,8,,,,3,1,5,10,棒棒糖斧,1,,
150,10,12057,3013,1,100,4,8,1,1,,,,10,,,,圣诞小雪球,1,,
151,1,687,3014,1,100,1,1,3,5,,,,2,,,,香薰宫灯,1,,
152,2,688,3014,1,100,1,1,3,5,,,,2,,,,中式字牌,1,,
153,3,689,3014,1,100,1,1,2,2,,,,2,,,,中式镂空窗,1,,
154,4,11061,3014,1,100,1,1,6,8,,,,3,1,5,10,大宝剑,1,,
155,5,11062,3014,1,100,1,1,6,8,,,,3,1,5,10,大宝铲,1,,
156,6,12564,3014,1,100,1,1,2,2,,,,10,,,,元旦饺子,1,,
157,1,937,3015,1,100,1,1,1,1,,,,10,,,,福字,1,,
158,2,938,3015,1,100,1,1,1,1,,,,10,,,,对联字牌,1,,
159,3,939,3015,1,100,1,1,1,1,,,,10,,,,春节窗花,1,,
160,4,944,3015,1,100,1,1,1,1,,,,10,,,,新春灯笼,1,,
161,5,12058,3015,1,100,3,5,1,1,,,,10,,,,红色福袋,1,,
162,6,12270,3015,1,100,1,1,3,5,,,,3,,,,新春披风,1,,
163,7,12567,3015,1,100,1,1,1,1,,,,10,,,,新春饺子,1,,
164,8,12568,3015,1,100,1,1,1,1,,,,10,,,,年糕,1,,
165,9,12836,3015,1,100,1,1,1,1,,,,10,,,,红色新年烟花,1,,
166,9,12837,3015,1,100,1,1,1,1,,,,10,,,,紫色新年烟花,1,,
167,9,12838,3015,1,100,1,1,1,1,,,,10,,,,绿色新年烟花,1,,
168,1,981,3016,1,100,6,6,1,1,,,,10,,,,方片花纹砖,1,,
169,1,982,3016,1,100,6,6,1,1,,,,10,,,,棕色纹砖,1,,
170,1,983,3016,1,100,6,6,1,1,,,,10,,,,黑白纹砖,1,,
171,1,984,3016,1,100,6,6,1,1,,,,10,,,,白蓝纹玻璃片,1,,
172,1,985,3016,1,100,6,6,1,1,,,,10,,,,绿蓝纹玻璃片,1,,
173,2,986,3016,1,100,6,6,1,1,,,,10,,,,小彩旗,1,,
174,3,980,3016,1,100,1,1,3,3,,,,10,,,,周年生日蛋糕,1,,
175,4,12572,3016,1,100,3,3,1,1,,,,10,,,,樱桃汁,1,,
176,5,12573,3016,1,100,3,3,1,1,,,,10,,,,气泡果汁,1,,
177,6,12574,3016,1,100,3,3,1,1,,,,10,,,,恶魔果汁,1,,
178,7,12828,3016,1,100,6,6,1,1,,,,10,,,,彩色气球,1,,
179,1,12575,3017,1,100,2,2,1,1,,,,10,,,,粽子,1,,
180,2,12576,3017,1,100,2,2,1,1,,,,10,,,,泡泡糖,1,,
181,3,12828,3017,1,100,6,6,1,1,,,,10,,,,彩色气球,1,,
182,4,12827,3017,1,100,2,2,1,1,,,,10,,,,空气气球,1,,
183,5,13806,3017,1,100,1,1,10,10,,,,10,,,,龙舟,1,,
184,6,12287,3017,1,100,2,2,1,1,,,,10,,,,泡泡球,1,,
185,10,11072,3010,1,0,1,1,30,30,,,,1,,,,图纸-火箭科技,,,
186,9,11072,3011,1,0,1,1,30,30,,,,1,,,,图纸-火箭科技,,,
187,8,11072,3012,1,0,1,1,30,30,,,,1,,,,图纸-火箭科技,,,
188,11,11072,3013,1,0,1,1,30,30,,,,1,,,,图纸-火箭科技,,,
189,7,11072,3014,1,0,1,1,30,30,,,,1,,,,图纸-火箭科技,,,
190,10,11072,3015,1,0,1,1,30,30,,,,1,,,,图纸-火箭科技,,,
191,8,11072,3016,1,0,1,1,30,30,,,,1,,,,图纸-火箭科技,,,
192,7,11072,3017,1,0,1,1,30,30,,,,1,,,,图纸-火箭科技,,,
193,1,1057,3018,2,100,1,1,,,12593,9,11,1,,,,宇宙大礼包,,,出售
194,2,11073,3018,2,100,1,1,,,12593,4,6,2,,,,星瞳石,,,出售
195,2,11074,3018,2,100,1,1,,,12593,4,6,2,,,,紫荧石,,,出售
196,2,11078,3018,2,100,1,1,,,12593,1,1,2,,,,冰晶,,,出售
197,2,11079,3018,2,100,1,1,,,12593,1,1,2,,,,聚合物,,,出售
198,2,11080,3018,2,100,1,1,,,12593,1,1,2,,,,重力结晶,,,出售
199,3,12593,3018,2,100,4,6,,,11084,1,1,2,,,,萌眼星贝壳,,,收购
200,3,12593,3018,2,100,4,6,,,11085,1,1,2,,,,萌眼星贝壳,,,收购
201,3,12593,3018,2,100,4,6,,,11086,1,1,2,,,,萌眼星贝壳,,,收购
202,3,12593,3018,2,100,4,6,,,11087,1,1,2,,,,萌眼星贝壳,,,收购
203,3,12593,3018,2,100,4,6,,,11089,1,1,2,,,,萌眼星贝壳,,,收购
204,3,12593,3018,2,100,4,6,,,11090,1,1,2,,,,萌眼星贝壳,,,收购
205,3,12593,3018,2,100,4,6,,,11091,1,1,2,,,,萌眼星贝壳,,,收购
206,4,12593,3018,2,100,4,6,,,11088,1,1,2,,,,萌眼星贝壳,,,收购
207,4,12593,3018,2,100,4,6,,,11082,1,1,2,,,,萌眼星贝壳,,,收购
208,4,12593,3018,2,100,4,6,,,11087,1,1,2,,,,萌眼星贝壳,,,收购
209,5,12593,3018,2,100,1,1,,,269,20,28,2,,,,萌眼星贝壳,,,收购
210,5,12593,3018,2,100,1,1,,,266,20,28,2,,,,萌眼星贝壳,,,收购
211,5,12593,3018,2,100,1,1,,,267,20,28,2,,,,萌眼星贝壳,,,收购
212,5,12593,3018,2,100,1,1,,,11095,20,28,2,,,,萌眼星贝壳,,,收购
213,6,11911,3018,2,10000,1,1,,,200411,3,3,10,,,,创造晶体,,,
214,1,11205,3019,0,50,5,12,1,1,,,,10,,,,星站能源碎片,,,
215,1,11331,3019,1,50,2,4,1,1,,,,1,,,,星站能源核心,,,
216,1,11334,3019,1,50,1,1,1,1,,,,1,,,,智能芯片,,,
217,1,11335,3019,1,50,1,1,4,8,,,,1,,,,升级元件A型,,,
218,2,144,3019,0,100,30,50,1,1,,,,1,,,,红薇蝶玻璃瓶,,,
219,2,145,3019,0,100,30,50,1,1,,,,1,,,,兰青蝶玻璃瓶,,,
220,2,146,3019,0,100,30,50,1,1,,,,1,,,,香粉蝶玻璃瓶,,,
221,2,147,3019,0,100,30,50,1,1,,,,1,,,,白香蝶玻璃瓶,,,
222,2,148,3019,0,100,30,50,1,1,,,,1,,,,龙信蝶玻璃瓶,,,
223,2,149,3019,0,100,30,50,1,1,,,,1,,,,舌钟蝶玻璃瓶,,,
224,3,11570,3019,0,100,5,10,1,1,,,,3,,,,平凡晶核,,,
225,3,11571,3019,0,100,3,6,1,1,,,,3,,,,炽烈晶核,,,
226,3,11572,3019,0,100,1,1,1,1,,,,3,,,,雷电晶核,,,
227,3,11573,3019,0,100,3,6,1,1,,,,3,,,,淬毒晶核,,,
228,3,11574,3019,0,100,4,8,1,1,,,,3,,,,复苏晶核,,,
229,3,11596,3019,0,100,8,15,1,1,,,,3,,,,星光粉尘,,,
230,4,11911,3019,2,10000,1,1,,,200411,3,3,10,,,,创造晶体,,,
231,1,11420,3210,1,100,1,3,1,1,,,,10,,,,仙人掌种子,,,
232,1,12610,3210,1,100,3,5,1,1,,,,10,,,,胡杨花,,,
233,1,12611,3210,1,100,3,5,1,1,,,,10,,,,胡杨泪,,,
234,1,11632,3210,1,100,1,2,3,3,,,,2,,,,坚硬蝎壳,,,
235,2,11637,3210,1,30,1,1,1,1,,,,1,,,,熔化剂,,,
236,2,12502,3210,1,100,1,10,1,1,,,,10,,,,面条,,,
237,2,11320,3210,1,100,1,3,1,2,,,,10,,,,小玻璃瓶,,,
238,2,710,3210,1,100,15,25,1,1,,,,10,,,,丝线,,,
239,3,12607,3210,0,100,1,3,1,2,,,,5,,,,生鸵鸟腿,,,
240,3,11307,3210,0,100,5,10,1,1,,,,5,,,,软皮革,,,
241,3,11634,3210,0,100,1,10,1,1,,,,5,,,,毒囊,,,
242,4,11911,3210,2,10000,1,1,,,200411,3,3,10,,,,创造晶体,,,
243,1,11631,3211,1,100,1,5,2,3,,,,5,,,,解毒粉包,,,
244,1,484,3211,1,100,1,2,2,2,,,,2,,,,帐篷,,,
245,1,11633,3211,1,50,1,2,3,3,,,,2,,,,蝎尾,,,
246,2,11637,3211,1,100,1,1,2,3,,,,1,,,,熔化剂,,,
247,2,12606,3211,1,100,2,5,2,2,,,,10,,,,止血药剂,,,
248,2,12540,3211,1,100,1,10,1,2,,,,10,,,,煎蛋面条,,,
249,2,12609,3211,0,50,1,5,1,1,,,,5,,,,煎鸵鸟蛋,,,
250,3,12608,3211,0,50,1,5,1,1,,,,5,,,,烤鸵鸟腿,,,
251,3,12613,3211,0,50,1,5,1,1,,,,5,,,,仙人掌果实,,,
252,3,12610,3211,0,50,1,5,1,1,,,,5,,,,胡杨花,,,
253,4,11911,3211,2,10000,1,1,,,200411,3,3,10,,,,创造晶体,,,
254,1,13609,3229,2,100,5,10,,,13604,5,10,10,,,,金色呆呆鱼,,,
255,2,13609,3229,2,100,5,10,,,13605,5,10,10,,,,金色呆呆鱼,,,
256,1,13609,3229,2,100,5,10,,,13606,5,10,10,,,,金色呆呆鱼,,,
257,2,13610,3229,2,100,5,10,,,13607,5,10,10,,,,金色奇奇鱼,,,
258,1,13609,3229,2,100,5,10,,,13612,5,10,10,,,,金色呆呆鱼,,,
259,2,13610,3229,2,100,5,10,,,13613,5,10,10,,,,金色奇奇鱼,,,
260,3,13611,3229,2,100,5,10,,,13614,5,10,10,,,,金色丑丑鱼,,,
261,2,13610,3229,2,100,5,10,,,13615,5,10,10,,,,金色奇奇鱼,,,
262,3,13611,3229,2,100,5,10,,,13616,5,10,10,,,,金色丑丑鱼,,,
263,2,13610,3229,2,100,5,10,,,13617,5,10,10,,,,金色奇奇鱼,,,
264,1,13609,3229,2,100,5,10,,,13618,5,10,10,,,,金色呆呆鱼,,,
265,3,13611,3229,2,100,5,10,,,13619,5,10,10,,,,金色丑丑鱼,,,
266,3,13611,3229,2,50,5,10,,,13608,5,10,10,,,,金色丑丑鱼,,,
267,4,11937,3229,2,50,1,1,,,13609,1,1,1,,,,配方-角珊瑚鱼竿,,,
268,4,11938,3229,2,50,1,1,,,13609,1,1,1,,,,配方-气泡珊瑚鱼竿,,,
269,4,11939,3229,2,50,1,1,,,13609,1,1,1,,,,配方-圆盘珊瑚鱼竿,,,
270,4,11940,3229,2,50,1,1,,,13609,1,1,1,,,,配方-树珊瑚鱼竿,,,
271,5,13807,3229,1,100,3,3,1,1,,,,1,,,,皮筏,,,
272,6,1085,3229,1,100,1,1,10,10,,,,1,,,,机械车间,,,
273,5,11642,3229,1,100,1,1,5,5,,,,1,,,,潜水面罩,,,
274,5,11643,3229,1,100,1,1,5,5,,,,1,,,,潜水服,,,
275,5,11644,3229,1,100,1,1,5,5,,,,1,,,,潜水脚蹼,,,
276,5,12275,3229,1,100,1,1,5,5,,,,1,,,,氧气背包,,,
277,5,1047,3229,1,100,1,1,3,3,,,,1,,,,压缩气罐（空）,,,
278,5,1045,3229,1,50,1,1,10,10,,,,1,,,,氧气提炼装置,,,
279,6,11911,3229,2,10000,1,1,,,200411,3,3,10,,,,创造晶体,,,
280,1,11424,3222,1,100,1,5,1,3,,,,1,,,,椰子炮弹,,,
281,1,11656,3222,1,100,3,5,1,1,,,,1,,,,未用的荧光棒,,,
282,2,12063,3222,1,100,1,2,3,3,,,,1,,,,魔鬼鱼叉,,,
283,2,12062,3222,1,100,10,10,5,8,,,,1,,,,海洋箭,,,
284,2,12061,3222,1,30,1,1,8,12,,,,1,,,,鲨鱼弓,,,
285,3,11645,3222,1,50,1,1,6,8,,,,1,,,,高级潜水面罩,,,
286,3,11646,3222,1,50,1,1,6,8,,,,1,,,,高级潜水服,,,
287,3,11647,3222,1,50,1,1,6,8,,,,1,,,,高级潜水脚蹼,,,
288,1,12541,3222,1,100,1,5,1,1,,,,1,,,,烤薯条,,,
289,4,11329,3222,2,100,5,5,,,11207,1,1,5,,,,黄铜,,,
290,5,11209,3222,2,50,2,2,,,11207,1,1,5,,,,秘银,,,
291,6,11330,3222,2,30,1,1,,,11207,5,5,5,,,,钛合金,,,
292,7,11911,3222,2,10000,1,1,,,200411,3,3,10,,,,创造晶体,,,
293,1,11916,3223,1,100,1,1,3,3,,,,1,,,,配方-贝壳床,,,
294,1,11917,3223,1,100,1,1,3,3,,,,1,,,,配方-贝壳沙发,,,
295,1,11918,3223,1,100,1,1,3,3,,,,1,,,,配方-贝壳桌子,,,
296,1,11919,3223,1,100,1,1,3,3,,,,1,,,,配方-贝壳椅子,,,
297,2,11920,3223,1,100,1,1,3,3,,,,1,,,,配方-珊瑚门,,,
298,1,11921,3223,1,100,1,1,3,3,,,,1,,,,配方-贝壳门,,,
299,2,11922,3223,1,100,1,1,3,3,,,,1,,,,配方-珊瑚窗,,,
300,1,11923,3223,1,100,1,1,3,3,,,,1,,,,配方-贝壳窗,,,
301,3,11924,3223,1,100,1,1,5,5,,,,1,,,,配方-海洋储物柜,,,
302,3,11925,3223,1,100,1,1,3,3,,,,1,,,,配方-海洋屏风,,,
303,1,11926,3223,1,100,1,1,3,3,,,,1,,,,配方-贝壳楼梯,,,
304,3,11927,3223,1,100,1,1,5,5,,,,1,,,,配方-海洋衣柜,,,
305,3,11928,3223,1,100,1,1,5,5,,,,1,,,,配方-海洋落地灯,,,
306,3,11929,3223,1,100,1,1,5,5,,,,1,,,,配方-海洋吊灯,,,
307,3,11930,3223,1,100,1,1,5,5,,,,1,,,,配方-贝壳台灯,,,
308,3,11931,3223,1,100,1,1,5,5,,,,1,,,,配方-海洋大花盆,,,
309,2,11932,3223,1,100,1,1,3,3,,,,1,,,,配方-珊瑚栅栏,,,
310,2,11933,3223,1,100,1,1,3,3,,,,1,,,,配方-珊瑚栅栏门,,,
311,1,11934,3223,1,100,1,1,3,3,,,,1,,,,配方-贝壳栅栏,,,
312,1,11935,3223,1,100,1,1,3,3,,,,1,,,,配方-贝壳栅栏门,,,
313,1,11936,3223,1,100,1,1,5,5,,,,1,,,,配方-贝壳风铃,,,
314,4,1223,3223,1,100,1,1,1,1,,,,1,,,,贝壳床,,,
315,4,1224,3223,1,100,1,1,1,1,,,,1,,,,贝壳沙发,,,
316,4,1225,3223,1,100,1,1,1,1,,,,1,,,,贝壳桌子,,,
317,4,1226,3223,1,100,1,1,1,1,,,,1,,,,贝壳椅子,,,
