序号,"类型[1道具,2生物,3投射物,4方块]",关联的ID,子分类[类型=生物时，1=生物，2=角色],子分类[类型=生物时，1=生物，2=角色；类型=道具时，1=工具，2=武器，3=其他，4=装备],分类名称StringID,名称备注,形状ID[0=球体，1=立方体，2=胶囊体],形状参数1,形状参数2,形状参数3,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）
34,1,12005,2,2,4131,能量剑,1,14,74,5,
35,1,12050,2,2,4131,秘银短弓,1,10,100,10,
36,1,12051,2,2,4131,石箭,2,5,45,1,
37,1,12052,3,3,4132,嘟嘟鸟蛋,0,14,,,
38,1,12053,3,3,4132,企鹅蛋,0,14,,,
39,1,12054,3,3,4132,小沙包,0,14,,,
40,1,12058,3,3,4132,红色福袋,0,14,,,
41,1,12059,3,3,4132,汤圆,0,14,,,
42,1,12060,3,3,4132,紫色福袋,0,14,,,
43,1,12240,3,3,4132,小彩蛋,0,14,,,
44,1,12247,3,3,4132,彩弹枪,1,15,38,81,
45,1,12248,3,3,4132,彩蛋,0,14,,,
46,1,12253,1,1,4130,火箭背包,1,98,67,40,
47,1,12280,2,2,4131,大爆竹,2,9,7,1,
48,1,12281,2,2,4131,弹弓,1,12,50,40,
49,1,12282,2,2,4131,石子,0,4,,,
50,1,12283,2,2,4131,弩,1,89,17,49,
51,1,12284,2,2,4131,火箭筒,1,45,42,97,
52,1,12285,2,2,4131,火箭弹,2,12,14,2,
53,1,12286,3,3,4132,金色福袋,0,23,,,
54,1,12287,3,3,4132,泡泡球,0,23,,,
55,1,12503,3,3,4132,松果,0,30,,,
56,1,12526,3,3,4132,奇怪的肘子,2,26,22,1,
57,1,12827,3,3,4132,空气气球,0,16,,,
58,1,12828,3,3,4132,彩色气球,0,16,,,
59,1,12830,3,3,4132,孔明灯,2,50,18,1,
60,1,12836,3,3,4132,红色新年烟花,2,26,19,1,
61,1,12837,3,3,4132,紫色新年烟花,2,26,19,1,
62,1,12838,3,3,4132,绿色新年烟花,2,26,19,1,
63,1,15000,2,2,4131,冲锋枪,1,10,63,119,
64,1,15002,2,2,4131,牛仔左轮,1,11,42,66,
65,1,15003,2,2,4131,子弹,2,3,5,2,
66,1,15004,2,2,4131,狙击枪,1,18,46,199,
67,1,15005,2,2,4131,重机枪,1,60,40,101,
68,2,3400,1,1,4709,鸡,,,,,
69,2,3401,1,1,4709,牛,,,,,
70,2,3402,1,1,4709,猪,,,,,
71,2,3403,1,1,4709,羊,,,,,
72,2,3405,1,1,4709,冰熊,,,,,
73,2,3406,1,1,4709,迅猛龙,,,,,
74,2,3407,1,1,4709,狼,,,,,
75,2,3408,1,1,4709,狗,,,,,
76,2,3409,1,1,4709,企鹅,,,,,
77,2,3410,1,1,4709,鸵鸟,,,,,
78,2,3411,1,1,4709,野生鸵鸟,,,,,
79,2,3412,1,1,4709,野生冰熊,,,,,
80,2,3413,1,1,4709,野生迅猛龙,,,,,
81,2,3101,1,1,4709,野人战士,,,,,
82,2,3102,1,1,4709,野萌宝,,,,,
83,2,3105,1,1,4709,野人投矛手,,,,,
84,2,3107,1,1,4709,蜘蛛,,,,,
85,2,3109,1,1,4709,爆爆蛋,,,,,
86,2,3130,1,1,4709,熔岩巨人,,,,,
87,2,3131,1,1,4709,硫磺弓手,,,,,
88,2,3501,1,1,4709,地心人,,,,,
89,3,12002,1,1,4131,石矛,,,,,
90,3,12051,1,1,4131,箭,,,,,
91,3,12280,1,1,4131,大爆竹,,,,,
92,3,12282,1,1,4131,石子,,,,,
93,3,12285,1,1,4131,火箭弹,,,,,
94,3,12052,1,1,4131,鸡蛋,,,,,
95,3,12053,1,1,4131,企鹅蛋,,,,,
96,3,12054,1,1,4131,雪球,,,,,
97,3,12057,1,1,4131,圣诞雪球,,,,,
98,3,12058,1,1,4131,红色福袋,,,,,
99,3,12059,1,1,4131,汤圆,,,,,
100,3,12060,1,1,4131,紫色福袋,,,,,
101,3,12286,1,1,4131,金色福袋,,,,,
102,3,12287,1,1,4131,泡泡球,,,,,
103,3,12836,1,1,4131,红色新年烟花,,,,,
104,3,12837,1,1,4131,紫色新年烟花,,,,,
105,3,12838,1,1,4131,绿色新年烟花,,,,,
106,3,15003,1,1,4131,子弹,,,,,
107,3,15050,1,1,4131,投射物-野人猎手,,,,,
108,3,15051,1,1,4131,投射物-硫磺弓手,,,,,
109,3,15052,1,1,4131,投射物-小恶魔,,,,,
110,3,15053,1,1,4131,投射物-野生团子,,,,,
111,4,104,1,1,4131,岩石,,,,,
112,4,105,1,1,4131,青石,,,,,
113,4,106,1,1,4131,细黄沙,,,,,
114,4,107,1,1,4131,碎石堆,,,,,
115,4,108,1,1,4131,素纹黄砖,,,,,
116,4,109,1,1,4131,砂土,,,,,
117,4,224,1,1,4131,小草,,,,,
118,4,225,1,1,4131,枯草,,,,,
119,4,226,1,1,4131,土笋,,,,,
120,4,227,1,1,4131,紫苏,,,,,
121,4,228,1,1,4131,独葵,,,,,
122,4,520,1,1,4131,楼梯,,,,,
123,4,534,1,1,4131,木围栏,,,,,
124,4,732,1,1,4131,黑龙雕像,,,,,
125,4,733,1,1,4131,黑龙宝罐,,,,,
126,2,3121,1,1,4709,稻草人,,,,,
127,2,3414,1,1,4709,野生团子,,,,,
128,2,3415,1,1,4709,团子,,,,,
129,2,3810,1,1,4709,小狗,,,,,
130,2,3811,1,1,4709,小猪,,,,,
131,2,3812,1,1,4709,小牛,,,,,
132,2,3813,1,1,4709,小鸡蛋,,,,,
133,2,3814,1,1,4709,小羊,,,,,
134,1,15500,2,2,4131,平底锅,1,17,67,41,
135,3,15501,1,1,4131,冲锋枪子弹,,,,,
136,3,15502,1,1,4131,牛仔左轮子弹,,,,,
137,3,15503,1,1,4131,狙击枪子弹,,,,,
138,3,15504,1,1,4131,重机枪子弹,,,,,
139,2,1,2,2,4786,酋长,,,,,
140,2,7,2,2,4786,酋长夫人,,,,,
141,2,2,2,2,4786,卡卡,,,,,
142,2,8,2,2,4786,妮妮,,,,,
143,2,6,2,2,4786,熊孩子,,,,,
144,2,4,2,2,4786,队长汤姆,,,,,
145,2,9,2,2,4786,特工罗拉,,,,,
146,2,10,2,2,4786,小淘气辛迪,,,,,
147,2,5,2,2,4786,助教彼得,,,,,
148,2,3,2,2,4786,史提芬教授,,,,,
149,2,3010,1,1,4709,游商,,,,,
150,2,3011,1,1,4709,沙漠商人,,,,,
151,2,3012,1,1,4709,冰原商人,,,,,
152,2,3018,1,1,4709,宇宙商人,,,,,
153,2,3013,1,1,4709,圣诞商人,,,,,
154,2,3014,1,1,4709,元旦商人,,,,,
155,2,3015,1,1,4709,春节商人,,,,,
156,2,3016,1,1,4709,周年商人,,,,,
157,1,12296,3,3,4132,桌球,0,50,,,
158,1,12297,3,3,4132,排球,0,50,,,
159,1,12298,3,3,4132,木箱子,1,100,100,100,
160,1,15007,2,2,4131,罐装手雷,2,10,18,1,
161,1,15008,2,2,4131,菠萝手雷,0,17,,,
162,2,3418,1,1,4709,蜜蜂,,,,,
163,2,3419,1,1,4709,萤火虫,,,,,
164,2,3421,1,1,4709,野生飞鸡,,,,,
165,2,3422,1,1,4709,飞鸡,,,,,
166,2,3423,1,1,4709,战斗鸡,,,,,
167,2,3424,1,1,4709,尖叫鸡,,,,,
168,2,3817,1,1,4709,小鸵鸟,,,,,
169,2,3818,1,1,4709,小迅猛龙,,,,,
170,2,3819,1,1,4709,小企鹅,,,,,
171,2,3820,1,1,4709,小冰熊,,,,,
172,2,3604,1,1,4709,白色呆呆鱼,,,,,
173,2,3605,1,1,4709,橙色呆呆鱼,,,,,
174,2,3606,1,1,4709,洋红呆呆鱼,,,,,
175,2,3607,1,1,4709,淡蓝呆呆鱼,,,,,
176,2,3608,1,1,4709,黄色呆呆鱼,,,,,
177,2,3612,1,1,4709,淡灰呆呆鱼,,,,,
178,2,3613,1,1,4709,青色呆呆鱼,,,,,
179,2,3614,1,1,4709,紫色呆呆鱼,,,,,
180,2,3615,1,1,4709,蓝色呆呆鱼,,,,,
181,2,3616,1,1,4709,棕色呆呆鱼,,,,,
182,2,3617,1,1,4709,绿色呆呆鱼,,,,,
183,2,3618,1,1,4709,红色呆呆鱼,,,,,
184,2,3619,1,1,4709,黑色呆呆鱼,,,,,
185,2,3110,1,1,4709,小外星人A,,,,,
186,2,3111,1,1,4709,小外星人B,,,,,
187,2,3112,1,1,4709,小外星人C,,,,,
188,2,3103,1,1,4709,重力巫师,,,,,
189,2,3124,1,1,4709,驯服小外星人A,,,,,
190,2,3125,1,1,4709,驯服小外星人B,,,,,
191,2,3126,1,1,4709,驯服小外星人C,,,,,
192,2,3600,1,1,4709,灯笼鱼,,,,,
193,2,3602,1,1,4709,深海鱼,,,,,
194,2,3508,1,1,4709,小恶魔野生,,,,,
195,2,3509,1,1,4709,小恶魔驯服,,,,,
196,1,12275,0,1,4130,氧气背包,1,98,67,40,
197,2,3017,1,1,4709,六一商人,,,,,
198,2,3019,1,1,4709,空岛商人,,,,,
199,2,3097,1,1,4709,大山,,,,,
200,2,3098,1,1,4709,斯科特·李,,,,,
201,2,3099,1,1,4709,达尔文·李,,,,,
202,2,3113,1,1,4709,萌眼叮叮,,,,,
203,2,3114,1,1,4709,萌眼咚咚,,,,,
204,2,3115,1,1,4709,萌眼当当,,,,,
205,2,3116,1,1,4709,萌眼叮咚,,,,,
206,2,3117,1,1,4709,萌眼叮当,,,,,
207,2,3118,1,1,4709,萌眼咚当,,,,,
208,2,3120,1,1,4709,恶霸屠夫,,,,,
209,2,3123,1,1,4709,出气外星人,,,,,
210,2,3132,1,1,4709,混乱弓手,,,,,
211,2,3204,1,1,4709,沙漠年轻男村民,,,,,
212,2,3205,1,1,4709,沙漠中年男村民,,,,,
213,2,3206,1,1,4709,沙漠年轻女村民,,,,,
214,2,3207,1,1,4709,沙漠中年女村民,,,,,
215,2,3208,1,1,4709,沙漠小男孩村民,,,,,
216,2,3209,1,1,4709,沙漠小女孩村民,,,,,
217,2,3210,1,1,4709,沙漠普通商人1,,,,,
218,2,3211,1,1,4709,沙漠普通商人2,,,,,
219,2,3212,1,1,4709,沙漠特殊商人,,,,,
220,2,3502,1,1,4709,远古黑龙,,,,,
221,2,3503,1,1,4709,熔岩黑龙,,,,,
222,2,3504,1,1,4709,混乱黑龙,,,,,
223,2,3505,1,1,4709,年兽野生,,,,,
224,2,3506,1,1,4709,年兽驯服,,,,,
225,2,3507,1,1,4709,福球,,,,,
226,2,3510,1,1,4709,远古巨像,,,,,
227,2,3511,1,1,4709,远古叮叮,,,,,
228,2,3512,1,1,4709,远古咚咚,,,,,
229,2,3513,1,1,4709,远古当当,,,,,
230,2,3514,1,1,4709,远古巨人,,,,,
231,2,3515,1,1,4709,虚空幻影-迅,,,,,
232,2,3516,1,1,4709,虚空幻影-猛,,,,,
233,2,3609,1,1,4709,黄绿呆呆鱼,,,,,
234,2,3610,1,1,4709,粉色呆呆鱼,,,,,
235,2,3611,1,1,4709,灰色呆呆鱼,,,,,
236,2,3800,1,1,4709,轨道车,,,,,
237,2,3802,1,1,4709,运输轨道车,,,,,
238,2,3806,1,1,4709,龙舟,,,,,
239,2,3807,1,1,4709,木船,,,,,
240,2,3809,1,1,4709,小狐狸,,,,,
241,2,3822,1,1,4709,骆驼,,,,,
242,2,3824,1,1,4709,毒尾蝎,,,,,
243,2,3825,1,1,4709,沙原领主,,,,,
244,2,3826,1,1,4709,沙灵守卫,,,,,
245,2,3828,1,1,4709,沙漠狼,,,,,
246,2,3870,1,1,4709,猴子,,,,,
247,2,3872,1,1,4709,豹子,,,,,
248,2,3873,1,1,4709,毒素野人祭司,,,,,
249,2,3874,1,1,4709,治疗野人祭司,,,,,
250,2,3875,1,1,4709,雷电野人祭司,,,,,
251,2,3876,1,1,4709,火焰野人祭司,,,,,
252,2,3877,1,1,4709,野人祭司,,,,,
253,2,3878,1,1,4709,羽蛇神,,,,,
254,2,3881,1,1,4709,焱焱蟹,,,,,
255,2,3883,1,1,4709,雀莺,,,,,
256,2,3885,1,1,4709,红薇蝶,,,,,
257,2,3886,1,1,4709,兰青蝶,,,,,
258,2,3887,1,1,4709,香粉蝶,,,,,
259,2,3888,1,1,4709,向阳蝶,,,,,
260,2,3889,1,1,4709,龙信蝶,,,,,
261,2,3890,1,1,4709,舌钟蝶,,,,,
262,2,3892,1,1,4709,符文怪,,,,,
263,2,3893,1,1,4709,小飞鸡,,,,,
264,2,3894,1,1,4709,小战斗鸡,,,,,
265,2,3895,1,1,4709,小猴子,,,,,
266,2,3896,1,1,4709,驯服的焱焱蟹（坐骑）,,,,,
267,1,10500,0,1,4130,地形编辑器,,,,,
268,1,10501,0,1,4130,微缩组合装置,,,,,
269,1,11016,0,1,4130,星铜钻头,,,,,
270,1,11049,0,1,4130,瓶装水,,,,,
271,1,11052,0,1,4130,岩浆坩埚,,,,,
272,1,11063,0,1,4130,仙云棒,,,,,
273,1,11064,0,1,4130,坩埚,,,,,
274,1,11071,0,1,4130,自定义视角,,,,,
275,1,11100,0,1,4130,手持式编辑器,,,,,
276,1,11101,0,1,4130,连接器,,,,,
277,1,11203,0,3,4132,钨金,0,50,,,
278,1,11207,0,3,4132,炽炎,0,50,,,
279,1,11209,0,3,4132,秘银,0,50,,,
280,1,11228,0,1,4130,花冠,0,50,,,
281,1,11230,0,2,4131,尖尖碰碰锤,0,50,,,
282,1,11311,0,3,4132,便便,0,50,,,
283,1,11329,0,3,4132,黄铜,0,50,,,
284,1,11330,0,3,4132,钛合金,0,50,,,
285,1,11534,0,3,4132,草饲料,0,50,,,
286,1,11535,0,3,4132,肉饲料,0,50,,,
287,1,11569,0,3,4132,杖杆,0,50,,,
288,1,11570,0,3,4132,平凡晶核,0,50,,,
289,1,11571,0,3,4132,炽烈晶核,0,50,,,
290,1,11572,0,3,4132,雷电晶核,0,50,,,
291,1,11573,0,3,4132,淬毒晶核,0,50,,,
292,1,11574,0,3,4132,复苏晶核,0,50,,,
293,1,11575,0,3,4132,召唤晶核,0,50,,,
294,1,11580,0,2,4131,平凡法杖,0,50,,,
295,1,11581,0,2,4131,炽烈法杖,0,50,,,
296,1,11582,0,2,4131,雷电法杖,0,50,,,
297,1,11583,0,2,4131,淬毒法杖,0,50,,,
298,1,11584,0,2,4131,复苏法杖,0,50,,,
299,1,11585,0,2,4131,召唤法杖,0,50,,,
300,1,11591,0,1,4130,蛇神之翼,0,50,,,
301,1,11592,0,2,4131,回旋镖,0,50,,,
302,1,11593,0,3,4132,巫骨,0,50,,,
303,1,11595,0,3,4132,苔藓球,0,50,,,
304,1,11596,0,3,4132,星光粉尘,0,50,,,
305,1,11597,0,3,4132,雨林之眼,0,50,,,
306,1,11598,0,3,4132,草木灰,0,50,,,
307,1,11599,0,3,4132,香蕉,0,50,,,
308,1,11600,0,3,4132,星光香蕉,0,50,,,
309,1,11603,0,3,4132,低级攻击符文,0,50,,,
310,1,11604,0,3,4132,中级攻击符文,0,50,,,
311,1,11605,0,3,4132,高级攻击符文,0,50,,,
312,1,11606,0,3,4132,低级防御符文,0,50,,,
313,1,11607,0,3,4132,中级防御符文,0,50,,,
314,1,11608,0,3,4132,高级防御符文,0,50,,,
315,1,11609,0,3,4132,低级效率符文,0,50,,,
316,1,11610,0,3,4132,中级效率符文,0,50,,,
317,1,11611,0,3,4132,高级效率符文,0,50,,,
318,1,11612,0,3,4132,万能激活石,0,50,,,
319,1,11613,0,1,4130,石质创造锤,0,50,,,
320,1,11614,0,1,4130,黄铜创造锤,0,50,,,
321,1,11615,0,1,4130,秘银创造锤,0,50,,,
322,1,11616,0,1,4130,钛金创造锤,0,50,,,
323,1,11617,0,1,4130,花洒,0,50,,,
324,1,11627,0,3,4132,石料,0,50,,,
325,1,11628,0,3,4132,有水的花洒,0,50,,,
326,1,11630,0,3,4132,剧毒瓶,0,50,,,
327,1,11631,0,3,4132,解毒粉包,0,50,,,
328,1,11632,0,3,4132,坚硬蝎壳,0,50,,,
329,1,11633,0,3,4132,蝎尾,0,50,,,
330,1,11634,0,3,4132,毒囊,0,50,,,
331,1,11635,0,3,4132,元素核碎片,0,50,,,
332,1,11636,0,3,4132,破损的元素核,0,50,,,
333,1,11637,0,3,4132,熔化剂,0,50,,,
334,1,11638,0,2,4131,音爆罐子,0,50,,,
335,1,11803,0,3,4132,书本,0,50,,,
336,1,11806,0,3,4132,皮革卷轴,0,50,,,
337,1,11900,0,1,4130,二胡,0,50,,,
338,1,11901,0,3,4132,庆典月饼,0,50,,,
339,1,11904,0,3,4132,庆典花球,0,50,,,
340,1,11905,0,1,4130,古筝,0,50,,,
341,1,11906,0,1,4130,唢呐,0,50,,,
342,1,11907,0,1,4130,琵琶,0,50,,,
343,1,11908,0,1,4130,笛子,0,50,,,
344,1,11909,0,1,4130,鼓,0,50,,,
345,1,12006,0,1,4130,喷射钩爪,0,50,,,
346,1,12008,0,1,4130,喷射塞子,0,50,,,
347,1,12009,0,2,4131,收割者,0,50,,,
348,1,12010,0,2,4131,钛金战锤,0,50,,,
349,1,12011,0,1,4130,全息投影装置,0,50,,,
350,1,12056,0,2,4131,龙骨弓,0,50,,,
351,1,12239,0,1,4130,喷漆罐,0,50,,,
352,1,12246,0,1,4130,野人面具,0,50,,,
353,1,12249,0,2,4131,彩弹枪子弹,0,50,,,
354,1,12276,0,1,4130,氧气面罩,0,50,,,
355,1,12277,0,1,4130,防火背包,0,50,,,
356,1,12288,0,2,4131,吹箭筒,0,50,,,
357,1,12289,0,2,4131,蜂刺飞镖,0,50,,,
358,1,12291,0,2,4131,脉冲弓,0,50,,,
359,1,12292,0,2,4131,脉冲箭,0,50,,,
360,1,12293,0,1,4130,重力手套,0,50,,,
361,1,12294,0,1,4130,冲击枪,0,50,,,
362,1,12295,0,1,4130,钢珠,0,50,,,
363,1,12301,0,2,4131,弦月魔法棒,0,50,,,1
364,1,12302,0,2,4131,星翼魔法棒（蓝）,0,50,,,1
365,1,12303,0,2,4131,星翼魔法棒（红）,0,50,,,1
366,1,12304,0,2,4131,魔仙剑,0,50,,,1
367,1,12305,0,2,4131,公主魔法绘本,0,50,,,1
368,1,12306,0,2,4131,魔法调色盘（红）,0,50,,,1
369,1,12307,0,2,4131,魔法调色盘（黄）,0,50,,,1
370,1,12309,0,2,4131,蝎壳盾,0,50,,,
371,1,12310,0,2,4131,蝎刺盾,0,50,,,
372,1,12311,0,2,4131,沙之咆哮,0,50,,,
373,1,12500,0,3,4132,樱桃,0,50,,,
374,1,12583,0,3,4132,氧气果,0,50,,,
375,1,12587,0,1,4130,变蛋枪,0,50,,,
376,1,12588,0,1,4130,变蛋枪子弹,0,50,,,
377,1,12589,0,1,4130,荧光弹弓,0,50,,,
378,1,12590,0,1,4130,荧光弹,0,50,,,
379,1,12591,0,1,4130,荧光球,0,50,,,
380,1,12599,0,3,4132,巫术棒锤,0,50,,,
381,1,12600,0,3,4132,棉花,0,50,,,
382,1,12601,0,3,4132,桃子,0,50,,,
383,1,12602,0,3,4132,红杉果,0,50,,,
384,1,12603,0,3,4132,核桃,0,50,,,
385,1,12604,0,3,4132,白杨果,0,50,,,
386,1,12606,0,3,4132,止血药剂,0,50,,,
387,1,12607,0,3,4132,生鸵鸟腿,0,50,,,
388,1,12608,0,3,4132,烤鸵鸟腿,0,50,,,
389,1,12609,0,3,4132,煎鸵鸟蛋,0,50,,,
390,1,12822,0,1,4130,冲天炮,0,50,,,
391,1,12823,0,1,4130,十字大炸弹,0,50,,,
392,1,12824,0,1,4130,十字小炸弹,0,50,,,
393,1,12825,0,1,4130,单向大炸弹,0,50,,,
394,1,12826,0,1,4130,单向小炸弹,0,50,,,
395,1,15506,0,2,4131,圆球爆弹,0,50,,,
396,1,15507,0,2,4131,冰锥,0,50,,,
397,1,15508,0,2,4131,熔岩球,0,50,,,
398,2,3214,1,1,4709,渔村男村民1,,,,,
399,2,3215,1,1,4709,渔村男村民2,,,,,
400,2,3216,1,1,4709,渔村女村民1,,,,,
401,2,3217,1,1,4709,渔村女村民2,,,,,
402,2,3218,1,1,4709,渔村男性儿童,,,,,
403,2,3219,1,1,4709,渔村女性儿童,,,,,
404,2,3220,1,1,4709,海盗掠夺者,,,,,
405,2,3221,1,1,4709,海盗猎手,,,,,
406,2,3222,1,1,4709,海盗商人,,,,,
407,2,3223,1,1,4709,海岛商人,,,,,
408,2,3224,1,1,4709,海灵守卫,,,,,
409,2,3225,1,1,4709,小型海盗船,,,,,
410,2,3226,1,1,4709,中型海盗船,,,,,
411,2,3227,1,1,4709,大型海盗船,,,,,
412,2,3228,1,1,4709,炸弹小船,,,,,
413,2,3229,1,1,4709,渔村传奇钓手,,,,,
414,2,3621,1,1,4709,螃蟹,,,,,
415,2,3622,1,1,4709,海鸥,,,,,
416,2,3623,1,1,4709,海马,,,,,
417,2,3624,1,1,4709,小海马,,,,,
418,2,3625,1,1,4709,海马（驯服）,,,,,
419,2,3626,1,1,4709,水母,,,,,
420,2,3627,1,1,4709,飞鱼,,,,,
421,2,3628,1,1,4709,鲨鱼,,,,,
422,2,3629,1,1,4709,魔鬼鱼,,,,,
423,2,3630,1,1,4709,荧光棒藻鱼,,,,,
424,1,11424,0,2,4131,椰子炮弹,0,50,,,
425,1,11640,0,3,4132,守卫之心,0,50,,,
426,1,11641,0,1,4709,海灵变身石,0,50,,,
427,1,11648,0,3,4132,闪电核心,0,50,,,
428,1,11649,0,2,4131,水压炮,0,50,,,
429,1,11650,0,1,4709,幸运花冠,0,50,,,
430,1,11654,0,1,4709,彼岸菠萝,0,50,,,
431,1,11655,0,3,4132,珍珠,0,50,,,
432,1,11656,0,1,4709,未用的荧光棒,0,50,,,
433,1,11658,0,1,4709,耗尽的荧光棒,0,50,,,
434,1,11659,0,3,4132,晒干的呆呆鱼,0,50,,,
435,1,11915,0,3,4132,珊瑚虫,0,50,,,
436,1,12061,0,2,4131,鲨鱼弓,0,50,,,
437,1,12062,0,2,4131,海洋箭,0,50,,,
438,1,12063,0,2,4131,魔鬼鱼叉,0,50,,,
439,1,12064,0,3,4132,飞鱼鳍,0,50,,,
440,1,12065,0,3,4132,鲨鱼牙,0,50,,,
441,1,12066,0,3,4132,鲨鱼皮,0,50,,,
442,1,12067,0,3,4132,魔鬼鱼尾刺,0,50,,,
443,1,12614,0,3,4132,锰结核 ,0,50,,,
444,1,12618,0,3,4132,锯齿蕨的刺茎,0,50,,,
445,1,12619,0,3,4132,刺球,0,50,,,
446,1,12703,0,3,4132,鲜丑丑鱼,0,50,,,
447,1,12704,0,3,4132,鲜奇奇鱼,0,50,,,
448,1,12705,0,3,4132,烤丑丑鱼,0,50,,,
449,1,12706,0,3,4132,烤奇奇鱼,0,50,,,
450,1,12707,0,3,4132,晒干的丑丑鱼,0,50,,,
451,1,12708,0,3,4132,晒干的奇奇鱼,0,50,,,
452,1,12717,0,3,4132,海鸥羽毛,0,50,,,
453,1,12718,0,3,4132,变色腺体,0,50,,,
454,1,12719,0,3,4132,水母核心,0,50,,,
455,1,12721,0,1,4709,普通鱼竿,0,50,,,
456,1,12722,0,1,4709,角珊瑚鱼竿,0,50,,,
457,1,12723,0,1,4709,气泡珊瑚鱼竿,0,50,,,
458,1,12724,0,1,4709,圆盘珊瑚鱼竿,0,50,,,
459,1,12725,0,1,4709,树珊瑚鱼竿,0,50,,,
460,1,13604,0,3,4132,淡蓝呆呆鱼,0,50,,,
461,1,13605,0,3,4132,深蓝呆呆鱼,0,50,,,
462,1,13606,0,3,4132,黑色呆呆鱼,0,50,,,
463,1,13607,0,3,4132,淡蓝奇奇鱼,0,50,,,
464,1,13608,0,3,4132,粉红丑丑鱼,0,50,,,
465,1,13609,0,3,4132,金色呆呆鱼,0,50,,,
466,1,13610,0,3,4132,金色奇奇鱼,0,50,,,
467,1,13611,0,3,4132,金色丑丑鱼,0,50,,,
468,1,13612,0,3,4132,粉色呆呆鱼,0,50,,,
469,1,13613,0,3,4132,黄色奇奇鱼,0,50,,,
470,1,13614,0,3,4132,紫色丑丑鱼,0,50,,,
471,1,13615,0,3,4132,绿色奇奇鱼,0,50,,,
472,1,13616,0,3,4132,条纹丑丑鱼,0,50,,,
473,1,13617,0,3,4132,红色奇奇鱼,0,50,,,
474,1,13618,0,3,4132,红色呆呆鱼,0,50,,,
475,1,13619,0,3,4132,橙色丑丑鱼,0,50,,,
476,1,13621,0,3,4132,螃蟹,0,50,,,
477,1,13622,0,3,4132,海鸥,0,50,,,
478,1,13623,0,3,4132,海马,0,50,,,
479,1,13624,0,3,4132,小海马,0,50,,,
480,1,13625,0,3,4132,海马（驯服）,0,50,,,
481,1,13626,0,3,4132,水母,0,50,,,
482,1,13627,0,3,4132,飞鱼,0,50,,,
483,1,13628,0,3,4132,鲨鱼,0,50,,,
484,1,13629,0,3,4132,魔鬼鱼,0,50,,,
485,1,13630,0,3,4132,荧光棒藻鱼,0,50,,,
486,1,15009,0,2,4131,乌兹冲锋枪,0,50,,,
487,1,15010,0,2,4131,MP5K冲锋枪,0,50,,,
488,1,15011,0,2,4131,汤普森,0,50,,,
489,1,15012,0,2,4131,P-90冲锋枪,0,50,,,
490,1,15013,0,2,4131,JS9冲锋枪,0,50,,,
491,1,15014,0,2,4131,AK步枪,0,50,,,
492,1,15015,0,2,4131,M416步枪,0,50,,,
493,1,15016,0,2,4131,黄金M416,0,50,,,
494,1,15017,0,2,4131,赤焰M416,0,50,,,
