箱子ID,钥匙ID,子组ID,子组概率，默认概率随机，需要只掉一组的话写死在程序中,概率控制方式，0概率随机，1只掉1个,道具1ID,道具1数量,道具1几率,品质1（0无品质，1普通，2高级，3稀有，4神话）,道具2ID,道具2数量,道具2几率,品质2（0无品质，1普通，2高级，3稀有，4神话）,道具3ID,道具3数量,道具3几率,品质3（0无品质，1普通，2高级，3稀有，4神话）,道具4ID,道具4数量,道具4几率,品质4（0无品质，1普通，2高级，3稀有，4神话）,道具5ID,道具5数量,道具5几率,品质5（0无品质，1普通，2高级，3稀有，4神话）,道具6ID,道具6数量,道具6几率,品质6（0普通，1高级，2稀有，3神话，null无品质）,道具7ID,道具7数量,道具7几率,品质7（0无品质，1普通，2高级，3稀有，4神话）,道具8ID,道具8数量,道具8几率,品质8（0无品质，1普通，2高级，3稀有，4神话）,道具9ID,道具9数量,道具9几率,品质9（0无品质，1普通，2高级，3稀有，4神话）,道具10ID,道具10数量,道具10几率,品质10（0无品质，1普通，2高级，3稀有，4神话）,备注
1001,,2,5000,1,300,1,100,,301,1,100,,302,1,100,,303,1,100,,304,1,100,,305,1,100,,306,1,100,,311,1,100,,312,1,100,,313,1,100,,助教彼得特长2级
1001,,3,2000,1,307,1,50,,308,1,50,,310,1,50,,683,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,助教彼得特长2级
1002,,1,8000,1,401,1,100,,400,1,50,,706,1,150,,11210,1,100,,11206,1,50,,11306,1,100,,452,1,150,,,,,,,,,,,,,,史提芬教授特长1级
1002,,2,2000,1,11203,1,25,,11310,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,史提芬教授特长1级
1003,,1,6000,1,401,1,100,,400,1,50,,706,1,150,,11210,1,100,,11206,1,50,,11306,1,100,,452,1,150,,,,,,,,,,,,,,史提芬教授特长2级
1003,,2,2000,1,11203,1,25,,11310,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,史提芬教授特长2级
1003,,3,2000,1,684,1,100,,126,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,史提芬教授特长2级
743,,1,10000,,11331,1,10000,,746,1,10000,,588,1,10000,,11221,3,10000,,11222,1,10000,,,,,,,,,,,,,,,,,,,,,,熔岩宝罐
744,,1,10000,,11331,1,10000,,742,1,10000,,588,1,10000,,11221,3,10000,,11222,1,10000,,,,,,,,,,,,,,,,,,,,,,混乱宝罐
747,,1,3333,,12050,1,10000,,12051,10,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,,2,3333,,106,10,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,,3,3334,,12540,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,,1,3000,1,244,1,1000,,244,2,500,,11059,1,1000,,11060,1,1000,,12565,1,3000,,,,,,,,,,,,,,,,,,,,,,圣诞礼盒
847,,2,3000,1,685,3,2000,,686,3,2000,,685,6,1000,,686,6,1000,,12057,6,3000,,12057,12,1000,,,,,,,,,,,,,,,,,,圣诞礼盒
847,,3,4000,1,879,1,1000,,879,2,500,,880,2,2000,,880,4,1000,,,,,,,,,,,,,,,,,,,,,,,,,,圣诞礼盒
730,,1,10000,1,11207,2,5000,,11207,4,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,,2,10000,2,11048,1,3000,,11321,1,3000,,13411,1,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,,1,10000,1,11086,1,10000,,11087,1,30000,,11088,1,30000,,11091,1,10000,,11090,1,30000,,,,,,,,,,,,,,,,,,,,,,萌眼星图腾宝藏
1043,,2,10000,1,11075,1,10000,,11081,1,10000,,11097,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,,3,3000,1,11082,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,,1,10000,1,12583,3,10000,,11075,1,3333,,11076,1,1111,,11073,1,2500,,11077,1,10000,,11078,1,10000,,11079,1,10000,,11080,1,2000,,,,,,,,,,萌眼星化石
1044,,1,10000,0,11075,1,10000,,11090,1,10000,,11087,1,10000,,11081,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,,1,10000,1,11086,1,10000,,11087,1,10000,,11088,1,10000,,11091,1,10000,,11090,1,10000,,11097,1,10000,,,,,,,,,,,,,,,,,,萌眼星图腾宝藏
1057,,2,3000,1,11082,1,10000,,11081,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,,1,10000,,1058,1,10000,,1059,1,10000,,589,1,10000,,11331,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,石巨人宝罐
12857,,1,10000,1,14001,1,7500,,14001,2,2000,,14001,3,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12963,,1,10000,1,14001,5,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3870,,1,5000,1,12242,1,1000,,11004,1,1000,,12241,1,1000,,11014,1,1000,,11203,1,500,,11209,1,2500,,12004,1,1000,,112,0,1000,,12005,1,500,,12231,1,500,,
3870,,2,5000,1,12206,1,1000,,300,1,1000,,12556,1,1000,,11014,1,1000,,12557,1,500,,11580,1,2500,,410,1,1000,,411,1,1000,,816,1,500,,,,,,
1678,,1,10000,1,12051,5,3000,,12282,10,2000,,12289,3,1000,,12292,3,1000,,13872,2,1500,,13407,2,1500,,,,,,,,,,,,,,,,,,
1180,,1,10000,,11205,1,5000,,11205,1,1500,,11205,1,500,,11331,1,250,,11334,1,5000,,11334,1,2500,,11335,1,250,,11228,1,7500,,12603,1,8000,,12601,1,8000,,空岛神殿横向大箱子
499,,1,10000,,11333,1,10000,,11331,1,10000,,11205,2,5000,,408,1,10000,,408,1,10000,,,,,,,,,,,,,,,,,,,,,,虚空宝罐
12731,,1,10000,1,11665,1,1000,,11666,1,1000,,760,1,1000,,11825,1,1000,,213,1,1000,,,,,,,,,,,,,,,,,,,,,,
12731,,2,5000,1,150008,1,1000,,761,1,1000,,763,1,1000,,12503,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,
12731,,3,2500,1,12622,1,1000,,12623,1,1000,,11307,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12731,,4,300,1,764,1,1000,,11824,1,1000,,11581,1,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200423,,1,10000,0,11329,3,10000,,11209,2,3000,,150103,2,6000,,150123,1,10000,,11603,3,5000,,11606,3,5000,,11609,3,5000,,11604,1,3000,,11607,1,3000,,11610,1,3000,,
200424,,1,10000,0,11209,3,10000,,11330,2,3000,,150127,2,6000,,150152,1,10000,,11604,2,5000,,11607,2,5000,,11610,2,5000,,11605,1,3000,,11608,1,3000,,11611,1,3000,,
200425,,1,10000,0,11209,3,10000,,11330,2,3000,,12205,1,10000,,12218,1,5000,,150189,1,10000,,150183,1,10000,,11612,3,7000,,,,,,,,,,,,,,
200426,,1,10000,0,11330,2,10000,,11330,1,5000,,150185,2,10000,,150186,2,7000,,11605,2,5000,,11608,2,5000,,11611,2,5000,,,,,,,,,,,,,,
200427,,1,10000,0,11330,3,10000,,11330,1,3000,,150189,2,10000,,150184,2,10000,,12318,1,3000,,,,,,,,,,,,,,,,,,,,,,
200428,,1,10000,0,11593,3,10000,,12217,1,7000,,12205,1,10000,,12219,1,7000,,12221,1,3000,,12222,1,3000,,12223,1,3000,,12224,1,3000,,12498,3,7000,,12051,10,9000,,
