控件ID【控件大类(1=事件|2=条件|3=动作|4=局部事件)_子类（01~17）_序号（0001~）】,名称,控件大类,子类型,子类名称,显示过滤【①全局（1=显示（默认）|0=隐藏），②局部（1=显示（默认）|0=隐藏），③道具类型（0=通用|1=方块|2=杂物|3=工具|4=一组物品|5=怪物|6=账号物品|7=弓|8=投掷物/弹药|9=装备|10=枪械|11=食物|12=石矛|15=包裹|16=机械）(子类型=6时才读)（兼用多种道具类型时，数字用‘|’隔开），④使用仅供学习的模板地图时禁用（0=不禁用，1=禁用）】,描述,描述备注,备注,事件传参备注,事件传参,参数1,参数默认值1,参数2,参数默认值2,参数3,参数默认值3,参数4,参数默认值4,参数5,参数默认值5,参数6,参数默认值6,参数7,参数默认值7,参数8,参数默认值8,参数9,参数默认值9,参数10,参数默认值10,触发器显示（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见）,触发器提示版本号（填写版本号的第二位）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030005,攻击,1,3,玩家,"1,0,0,0",任意玩家攻击时,任意玩家开始攻击,,触发事件的玩家|事件中的位置,250001|240001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030006,攻击命中,1,3,玩家,"1,0,0,0",任意玩家攻击命中任意玩家、生物 ,任意玩家攻击命中任意玩家、生物,当玩家攻击命中其他玩家、生物时。被命中的玩家、生物为事件中的目标玩家、生物,触发事件的玩家|事件中的位置|事件中的目标玩家|事件中的目标生物|事件中的目标生物类型,250001|240001|250002|300002|440002,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030007,造成伤害,1,3,玩家,"1,0,0,0",任意玩家对任意玩家、生物造成伤害,任意玩家对任意玩家、生物造成伤害,当玩家对其他玩家、生物造成伤害时。被伤害的玩家、生物为事件中的目标玩家、生物,触发事件的玩家|事件中的位置|事件中的目标玩家|事件中的目标生物|事件中的目标生物类型,250001|240001|250002|300002|440002,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030008,受到伤害,1,3,玩家,"1,0,0,0",任意玩家受到伤害,任意玩家受到伤害,,触发事件的玩家|事件中的位置,250001|240001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030009,移动,1,3,玩家,"1,0,0,0",任意玩家移动一格距离时,任意玩家移动一格,,触发事件的玩家|事件中的位置,250001|240001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030010,使用动画表情,1,3,玩家,"1,0,0,0",任意玩家使用动画表情,任意玩家使用动画表情,,触发事件的玩家|事件中的位置|事件中的动作表情,250001|240001|310001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030011,玩家使用道具,1,3,玩家,"1,0,0,0",任意玩家使用道具,任意玩家使用道具,,触发事件的玩家|事件中的位置|事件中的道具类型,250001|240001|270001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030012,玩家获得道具,1,3,玩家,"1,0,0,0",任意玩家获得道具,任意玩家获得道具,,触发事件的玩家|事件中的位置|事件中的道具类型,250001|240001|270001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030013,玩家消耗道具,1,3,玩家,"1,0,0,0",任意玩家消耗道具,任意玩家消耗道具,,触发事件的玩家|事件中的位置|事件中的道具类型,250001|240001|270001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030014,玩家点击生物,1,3,玩家,"1,0,0,0",任意玩家点击生物,任意玩家点击生物,,触发事件的玩家|事件中的位置|事件中的目标生物|事件中的目标生物类型,250001|240001|300002|440002,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030015,玩家点击方块,1,3,玩家,"1,0,0,0",任意玩家点击方块,任意玩家点击方块,,触发事件的玩家|事件中的位置|事件中的方块类型,250001|240001|260002,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030016,骑乘,1,3,玩家,"1,0,0,0",任意玩家骑乘任意坐骑、载具,任意玩家骑乘任意坐骑、载具,,触发事件的玩家|事件中的位置|事件中的目标生物|事件中的目标生物类型,250001|240001|300002|440002,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030017,取消骑乘,1,3,玩家,"1,0,0,0",任意玩家取消骑乘,任意玩家取消骑乘,,触发事件的玩家|事件中的位置|事件中的目标生物|事件中的目标生物类型,250001|240001|300002|440002,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030018,运动状态改变,1,3,玩家,"1,0,0,0",任意玩家进入|@1|状态时,任意玩家进入【运动状态】状态,,触发事件的玩家|事件中的位置,250001|240001,"1021,1",5|150002,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030019,发生碰撞,1,3,玩家,"1,0,0,0",任意玩家与其他玩家/生物发生碰撞,任意玩家与其他玩家/生物发生碰撞,,触发事件的玩家|事件中的位置|事件中的目标玩家|事件中的目标生物,250001|240001|250002|300002,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030020,拾取掉落物,1,3,玩家,"1,0,0,0",任意玩家拾取任意掉落物,任意玩家拾取任意掉落物,,触发事件的玩家|事件中的位置|事件中的道具类型|事件中的掉落物,250001|240001|270001|290001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030021,玩家进入区域,1,3,玩家,"1,0,0,0",任意玩家进入|@1|时,任意玩家进入【区域】,进入区域和离开区域事件无法触发开发者相关的动作，例如播放广告、显示商品购买窗口、打开开发者商店,触发事件的玩家|事件中的位置,250001|240001,"1001,1",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030022,玩家离开区域,1,3,玩家,"1,0,0,0",任意玩家离开|@1|时,任意玩家离开【区域】,进入区域和离开区域事件无法触发开发者相关的动作，例如播放广告、显示商品购买窗口、打开开发者商店,触发事件的玩家|事件中的位置,250001|240001,"1001,1",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030023,装备栏改变,1,3,玩家,"1,0,0,0",任意玩家装备栏发生改变,任意玩家装备栏发生改变,,触发事件的玩家|事件中的位置|事件中的道具类型|事件中的装备栏,250001|240001|270001|430001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030024,背包道具栏改变,1,3,玩家,"1,0,0,0",任意玩家背包道具栏发生改变,任意玩家背包道具栏发生改变,,触发事件的玩家|事件中的位置|事件中的道具类型,250001|240001|270001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030025,快捷道具栏改变,1,3,玩家,"1,0,0,0",任意玩家的快捷道具栏发生改变,任意玩家的快捷道具栏发生改变,,触发事件的玩家|事件中的位置|事件中的道具类型,250001|240001|270001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030026,选择快捷道具栏,1,3,玩家,"1,0,0,0",任意玩家选择任意序号的快捷栏,任意玩家选择任意序号的快捷栏,,触发事件的玩家|事件中的位置|事件中的道具类型|事件中的快捷栏,250001|240001|270001|400001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030027,丢弃道具,1,3,玩家,"1,0,0,0",任意玩家丢弃道具,任意玩家丢弃道具,,触发事件的玩家|事件中的位置|事件中的道具类型|事件中的掉落物,250001|240001|270001|290001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030028,穿上装备,1,3,玩家,"1,0,0,0",任意玩家穿上装备,任意玩家穿上装备,,触发事件的玩家|事件中的位置|事件中的道具类型|事件中的装备栏,250001|240001|270001|430001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030029,脱下装备,1,3,玩家,"1,0,0,0",任意玩家脱下装备,任意玩家脱下装备,,触发事件的玩家|事件中的位置|事件中的道具类型|事件中的装备栏,250001|240001|270001|430001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030030,聊天框显示字符串,1,3,玩家,"1,0,0,0",聊天框显示|@1,聊天框中显示|@1,,触发事件的玩家|事件中的位置|事件中的字符串,"250001|240001|550001
","1010,1",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030031,输入字符串,1,3,玩家,"1,0,0,0",任意玩家从聊天框输入|@1,任意玩家从聊天框输入【字符串】,,触发事件的玩家|事件中的位置|事件中的字符串,"250001|240001|550001
","1010,1",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030032,按下按键,1,3,玩家,"1,0,0,0",任意玩家按下|@1,任意玩家按下【按键】,,触发事件的玩家,250001,"1051,1",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030033,长按按键,1,3,玩家,"1,0,0,0",任意玩家长按|@1,任意玩家长按【按键】,,触发事件的玩家,250001,"1051,1",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030034,松开按键,1,3,玩家,"1,0,0,0",任意玩家松开|@1,任意玩家松开【按键】,,触发事件的玩家,250001,"1051,1",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030035,获得状态效果,1,3,玩家,"1,0,0,0",任意玩家获得状态效果,任意玩家获得状态效果,,触发事件的玩家|事件中的位置|事件中的状态效果,250001|240001|410001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030036,失去状态效果,1,3,玩家,"1,0,0,0",任意玩家失去状态效果,任意玩家失去状态效果,,触发事件的玩家|事件中的位置|事件中的状态效果,250001|240001|410001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030037,失去指定状态效果,1,3,玩家,"1,0,0,0",任意玩家失去|@1,任意玩家失去【状态】,,触发事件的玩家|事件中的位置|事件中的状态效果,250001|240001|410001,"1037,1",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030038,等级发生改变,1,3,玩家,"1,0,0,0",任意玩家等级发生改变,任意玩家等级发生改变,,触发事件的玩家|事件中的位置,250001|240001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030039,玩家输入聊天信息（包含字符串）,1,3,玩家,"1,0,0,0",任意玩家从聊天框输入包含|@1|的信息,任意玩家从聊天框输入包含【字符串】的信息,当玩家在聊天框中输入包含指定文本并发出时,触发事件的玩家|事件中的位置|事件中的字符串,"250001|240001|550001
","1010,1",,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040001,受到伤害,1,4,生物,"1,0,0,0",任意生物受到伤害时触发,任意生物受到伤害,,触发事件的生物|触发事件的生物类型|事件中的位置|事件中的目标玩家,300001|440001|240001|250002,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040002,攻击,1,4,生物,"1,0,0,0",任意生物开始攻击,任意生物开始攻击,,触发事件的生物|事件中的位置|触发事件的生物类型|事件中的目标生物|事件中的目标生物类型|事件中的目标玩家,300001|240001|440001|300002|440002|250002,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040003,攻击命中,1,4,生物,"1,0,0,0",任意生物攻击命中任意玩家、生物,任意生物攻击命中任意玩家、生物,,触发事件的生物|事件中的位置|触发事件的生物类型|事件中的目标生物|事件中的目标生物类型|事件中的目标玩家,300001|240001|440001|300002|440002|250002,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040004,造成伤害,1,4,生物,"1,0,0,0",任意生物对任意玩家、生物造成伤害,任意生物对任意玩家、生物造成伤害,,触发事件的生物|事件中的位置|触发事件的生物类型|事件中的目标生物|事件中的目标生物类型|事件中的目标玩家,300001|240001|440001|300002|440002|250002,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040005,生物被击败,1,4,生物,"1,0,0,0",任意生物被击败时,任意生物死亡,,触发事件的生物|触发事件的生物类型|事件中的位置,300001|440001|240001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040006,击败目标,1,4,生物,"1,0,0,0",任意生物击败玩家或其他生物,任意生物打败玩家或其他生物,,触发事件的生物|事件中的位置|触发事件的生物类型|事件中的目标生物|事件中的目标生物类型|事件中的目标玩家,300001|240001|440001|300002|440002|250002,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040007,生物进入区域,1,4,生物,"1,0,0,0",任意生物进入|@1|时,任意生物进入【区域】,,触发事件的生物|触发事件的生物类型|事件中的位置,300001|440001|240001,"1001,1",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040008,生物离开区域,1,4,生物,"1,0,0,0",任意生物离开|@1|时,任意生物离开【区域】,,触发事件的生物|触发事件的生物类型|事件中的位置,300001|440001|240001,"1001,1",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040009,生物行动状态改变,1,4,生物,"1,0,0,0",任意生物进入|@1|状态时,任意生物进入【生物行动状态】,,触发事件的生物|触发事件的生物类型|事件中的位置,300001|440001|240001,"1034,1",5|200003,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040010,碰撞时,1,4,生物,"1,0,0,0",任意生物碰撞玩家、其他生物时,任意生物碰撞玩家、其他生物时,,触发事件的生物|事件中的位置|触发事件的生物类型|事件中的目标生物|事件中的目标生物类型|事件中的目标玩家,300001|240001|440001|300002|440002|250002,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040011,生物属性改变,1,4,生物,"1,0,0,0",任意生物|@1|变化时,任意生物【生物属性】变化,,触发事件的生物|触发事件的生物类型|事件中的位置,300001|440001|240001,"1035,1",5|210001,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040012,被创建,1,4,生物,"1,0,0,0",任意生物被创建,任意生物被创建,,触发事件的生物|触发事件的生物类型|事件中的位置,300001|440001|240001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040013,获得状态效果,1,4,生物,"1,0,0,0",任意生物获得状态效果,任意生物获得状态效果,,触发事件的生物|触发事件的生物类型|事件中的位置|事件中的状态效果,300001|440001|240001|410001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040014,失去状态效果,1,4,生物,"1,0,0,0",任意生物失去状态效果,任意生物失去状态效果,,触发事件的生物|触发事件的生物类型|事件中的位置|事件中的状态效果,300001|440001|240001|410001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040015,失去指定状态效果,1,4,生物,"1,0,0,0",任意生物失去|@1,任意生物失去【状态】,,触发事件的生物|触发事件的生物类型|事件中的位置|事件中的状态效果,300001|440001|240001|410001,"1037,1",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040016,受到伤害时,1,4,生物,"0,1,0,0",此类生物受到伤害时,此类生物受到伤害时,,触发事件的生物|事件中的位置|触发事件的生物类型|事件中的目标玩家,300001|240001|440001|250002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040017,开始攻击时,1,4,生物,"0,1,0,0",此类生物开始攻击时,此类生物开始攻击时,,触发事件的生物|事件中的位置|触发事件的生物类型|事件中的目标生物|事件中的目标生物类型|事件中的目标玩家,300001|240001|440001|300002|440002|250002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040018,攻击命中时,1,4,生物,"0,1,0,0",此类生物攻击并命中目标时,此类生物攻击并命中目标时,,触发事件的生物|事件中的位置|触发事件的生物类型|事件中的目标生物|事件中的目标生物类型|事件中的目标玩家,300001|240001|440001|300002|440002|250002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040019,造成伤害时,1,4,生物,"0,1,0,0",此类生物对目标造成伤害时,此类生物对目标造成伤害时,,触发事件的生物|事件中的位置|触发事件的生物类型|事件中的目标生物|事件中的目标生物类型|事件中的目标玩家,300001|240001|440001|300002|440002|250002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040020,被击败时,1,4,生物,"0,1,0,0",此类生物被击败时,此类生物被击败时,,触发事件的生物|事件中的位置|触发事件的生物类型,300001|240001|440001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040021,击败目标时,1,4,生物,"0,1,0,0",此类生物击败目标时,此类生物击败目标时,,触发事件的生物|事件中的位置|触发事件的生物类型|事件中的目标生物|事件中的目标生物类型|事件中的目标玩家,300001|240001|440001|300002|440002|250002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
