接口ID,类型ID,类型名,类型备注,函数名-不用翻译,函数标题-不用翻译,描述1参数及类型,描述2返回值及类型-不用翻译,描述3该方法的主要作用,描述4具体使用案例如下-不用翻译
20003,2,世界管理,World,isCreativeMode,World:isCreativeMode(),none,"ErrorCode.OK, result:boolean",是否是创造模式,"local result = World:isCreativeMode()
if result==ErrorCode.OK then print('当前模式：创造模式') end"
20004,2,世界管理,World,isGodMode,World:isGodMode(),none,"ErrorCode.OK, result:boolean",多人创造模式 或者 自制玩法的编辑模式,"local result = World:isGodMode()
if result==ErrorCode.OK then print('当前模式：多人创造模式') end"
20005,2,世界管理,World,isExtremityMode,World:isExtremityMode(),none,"ErrorCode.OK, result:boolean",极限模式,"local result = World:isExtremityMode()
if result==ErrorCode.OK then print('当前模式：极限模式') end"
20006,2,世界管理,World,isFreeMode,World:isFreeMode(),none,"ErrorCode.OK, result:boolean",冒险模式之自由模式,"local result = World:isFreeMode()
if result==ErrorCode.OK then print('当前模式：冒险模式之自由模式') end"
20007,2,世界管理,World,isSurviveMode,World:isSurviveMode(),none,"ErrorCode.OK, result:boolean",单人模式 或者 冒险模式之自由模式,"local result = World:isSurviveMode()
if result==ErrorCode.OK then print('当前模式：单人生存模式') end"
20008,2,世界管理,World,isCreateRunMode,World:isCreateRunMode(),none,"ErrorCode.OK, result:boolean",由创造模式转的生存,"local result = World:isCreateRunMode()
if result==ErrorCode.OK then print('当前模式：由创造模式转的生存') end"
20009,2,世界管理,World,isGameMakerMode,World:isGameMakerMode(),none,"ErrorCode.OK, result:boolean",自制玩法的编辑模式,"local result = World:isGameMakerMode()
if result==ErrorCode.OK then print('当前模式：自制玩法的编辑模式') end"
20010,2,世界管理,World,isGameMakerRunMode,World:isGameMakerRunMode(),none,"ErrorCode.OK, result:boolean",自制玩法的运行模式,"local result = World:isGameMakerRunMode()
if result==ErrorCode.OK then print('当前模式：自制玩法的运行模式') end"
20011,2,世界管理,World,getHours,World:getHours(),none,"ErrorCode.OK, result:number",获取游戏当前时间(h),"local result, dayTime = World:getHours()
if result==ErrorCode.OK then print('当前时间：', dayTime) end"
20012,2,世界管理,World,getCameraEditState,World:getCameraEditState(),none,"ErrorCode.OK, state:number0默认，1编辑状态，2测试状态",获取视角编辑状态,"local result, state = World:getCameraEditState()
if result==ErrorCode.OK then print('当前视角编辑状态：', state) end"
20013,2,世界管理,World,setCameraEditState,World:setCameraEditState(state),state:CameraEditState,ErrorCode.OK,设置视角编辑状态,"--获取到的是Camera对象(userdata)，此处返回的是nil
local result, config = World:getCustomCameraConfig()
if result==ErrorCode.OK and config~=nil then --自定义视角
	config:setOption(CAMERA_OPTION_INDEX_CONFIG_SET, CCG_FLATVIEW)
end"
20014,2,世界管理,World,getCustomCameraConfig,World:getCustomCameraConfig(),none,"ErrorCode.OK, config:CameraEditState",获取自定义相机配置,local result = World:getCustomCameraConfig()
20015,2,世界管理,World,getRangeXZ,World:getRangeXZ(),none,"ErrorCode.OK, startX|startZ|endX|endZ:number",获取区块(chunk)范围,"local result, startX,startZ,endX,endZ = World:getRangeXZ()
if result==ErrorCode.OK then print('StartXZ=(',startX,', ',startZ,'), EndXZ=(',endX,', ',endZ,')')  end"
20016,2,世界管理,World,getActorsByBox,"World:getActorsByBox(objtype, x1, y1, z1, x2, y2, z2)","type:number指定类型, x1|y1|z1:number起始位置, x2|y2|z2:number最终位置","ErrorCode.OK, num:number, objids:tableobjid数组",获取指定范围内actor,"local actorType = 0 --OBJ_TYPE_MONSTER
local x1, y1, z1 = -5, 1, -5
local x2, y2, z2 = 15, 9, 15
local ret, num, array = World:getActorsByBox(actorType, x1,y1,z1, x2,y2,z2)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20017,2,世界管理,World,getPlayerTotal,World:getPlayerTotal(alive),alive:number0表示阵亡，1表示存活，默认-1表示全体玩家,"ErrorCode.OK, num:number数量","获取全部玩家,可限制存活情况",local result = World:getPlayerTotal(alive)
20018,2,世界管理,World,getAllPlayers,World:getAllPlayers(alive),alive:number0表示阵亡，1表示存活，默认-1表示全体玩家,"ErrorCode.OK, num:number数量, array:table玩家uin数组","获取全部玩家,可限制存活情况","local aliveType = -1 --获取所有玩家数据
local ret, num, array = World:getAllPlayers(aliveType)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20019,2,世界管理,World,randomOnePlayer,World:randomOnePlayer(alive),alive:number0表示阵亡，1表示存活，默认-1表示全体玩家,"ErrorCode.OK, uin:number",随机出一个玩家,"local aliveType = 1 --随机一个存活玩家Id
local ret, playerId = World:randomOnePlayer(aliveType)
if ret == ErrorCode.OK then print('Player ===>> ', playerId) end"
20020,2,世界管理,World,despawnActor,World:despawnActor(objid),objid:number,ErrorCode.OK,移除actor,"local ret, num, array = World:getActorsByBox(aType, x1,y1,z1, x2,y2,z2)
if array and #array>0 then --移除Actor
	local result = World:despawnActor(array[#array])
	if result == ErrorCode.OK then print('Despawn the last actor') end
end"
20021,2,世界管理,World,spawnCreature,"World:spawnCreature(x, y, z, actorid, num)","x|y|z:number, mobid:number, num:number","ErrorCdoe.OK, objids:tableobjid数组",生成生物(包括怪物、NPC、动物等),"local x, y, z = 6, 7, 8
local actorId, actorCnt = 3812, 2 --小牛
local ret, objids = World:spawnCreature(x, y, z, actorId, actorCnt)
if objids and #objids>0 then
	for idx = 1, #objIds do --设置氧气依赖
		Creature:setOxygenNeed(objids[idx], true)
	end 
end"
20022,2,世界管理,World,despawnCreature,World:despawnCreature(objid),objid:number,ErrorCode.OK,移除生物,"local result = World:despawnCreature(objids[1])
if result == ErrorCode.OK then print('Despawn the creature') end"
20023,2,世界管理,World,spawnItem,"World:spawnItem(x, y, z, itemid, num)","x|y|z:number, itemid:number, num:number","ErrorCode.OK, objid:number",在指定位置生成道具,"local xPos, yPos, zPos = 5, 6, 7
local itemId, itemCnt = 15003, 30 --道具Id和数量
local ret, objIds = World:spawnItem(xPos, yPos, zPos, itemId, itemCnt)
if ret == ErrorCode.OK then print(""Item[1]====>>>"", objIds[1]) end"
20024,2,世界管理,World,despawnItemByBox,"World:despawnItemByBox(x1, y1, z1, x2, y2, z2)","x1|y1|z1:number起始位置, x2|y2|z2:number最终位置",ErrorCode.OK,移除道具(通过区域),"local x1, y1, z1 = -5, 5, -5
local x2, y2, z2 = 15, 9, 15
local result = World:despawnItemByBox(x1,y1,z1, x2,y2,z2)
if result == ErrorCode.OK then print('成功将指定区域的Item移除') end"
20025,2,世界管理,World,despawnItemByObjid,World:despawnItemByObjid(objid),objid:number,ErrorCode.OK,移除道具(通过ID),"local result = World:despawnItemByObjid(objIds[1])
if result == ErrorCode.OK then print('成功将指定的Item移除') end"
20026,2,世界管理,World,spawnProjectile,"World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)","shooter:number, itemid:number, x|y|z:number, dirx|diry|dirz:number, speed:number",ErrorCode.OK,生成投掷物,"local result = World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)"
30001,3,方块管理,Block,isSolidBlock,"Block:isSolidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",方块是否是实体,"local result = Block:isSolidBlock(x, y, z)"
30002,3,方块管理,Block,isLiquidBlock,"Block:isLiquidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",方块是否是流体,"local result = Block:isLiquidBlock(x, y, z)"
30003,3,方块管理,Block,isAirBlock,"Block:isAirBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",方块是否是空气,"local result = Block:isAirBlock(x, y, z)"
30004,3,方块管理,Block,getBlockID,"Block:getBlockID(x, y, z)",x|y|z:number,"ErrorCode.OK, id:number",获取block对应id,"local result = Block:getBlockID(x, y, z)"
30005,3,方块管理,Block,setBlockAll,"Block:setBlockAll(x, y, z, blockid, data)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,设置blockalldata 更新+通知,"local result = Block:setBlockAll(x, y, z, blockid, data)"
30006,3,方块管理,Block,destroyBlock,"Block:destroyBlock(x, y, z, dropitem)","x|y|z:number, dropitem:boolean",ErrorCode.OK,销毁方块,"local result = Block:destroyBlock(x, y, z, dropitem)"
30007,3,方块管理,Block,placeBlock,"Block:placeBlock(blockid, x, y, z, face)","blockid:number, x|y|z:number, face:number","ErrorCode.OK, ret:boolean成功放置与否",放置方块,"local result = Block:placeBlock(blockid, x, y, z, face)"
30008,3,方块管理,Block,setBlockAllForUpdate,"Block:setBlockAllForUpdate(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,设置blockalldata 通知周围方块,"local result = Block:setBlockAllForUpdate(x, y, z, blockid)"
30009,3,方块管理,Block,setBlockAllForNotify,"Block:setBlockAllForNotify(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,设置blockalldata 更新当前位置方块,"local result = Block:setBlockAllForNotify(x, y, z, blockid)"
30010,3,方块管理,Block,setBlockSettingAttState,"Block:setBlockSettingAttState(blockid, atttype, switch)","blockid:number, atttype:BLOCKATTR, switch:boolean",ErrorCode.OK,设置方块设置属性状态,"local result = Block:setBlockSettingAttState(blockid, atttype, switch)"
30011,3,方块管理,Block,getBlockSwitchStatus,Block:getBlockSwitchStatus(pos),x|y|z:number,"ErrorCode.OK, isactive:boolean",获取功能方块的开关状态,local result = Block:getBlockSwitchStatus(pos)
30012,3,方块管理,Block,setBlockSwitchStatus,"Block:setBlockSwitchStatus(pos, isactive)","x|y|z:number, isactive:boolean",ErrorCode.OK,设置功能方块的开关状态,"local result = Block:setBlockSwitchStatus(pos, isactive)"
40001,4,游戏Actor,Actor,isPlayer,Actor:isPlayer(objid),objid,ErrorCode.OK是玩家是玩家,检测是否是玩家,local result = Actor:isPlayer(objid)
40002,4,游戏Actor,Actor,isMob,Actor:isMob(objid),objid,ErrorCode.OK是怪物是怪物,检测是否是怪物,local result = Actor:isMob(objid)
40003,4,游戏Actor,Actor,getObjType,Actor:getObjType(objid),objid,"ErrorCode.OK, objtype:number",获取actor类型:生物/玩家...,local result = Actor:getObjType(objid)
40004,4,游戏Actor,Actor,isInAir,Actor:isInAir(objid),objid:number,ErrorCode.OK,是否在空中,local result = Actor:isInAir(objid)
40005,4,游戏Actor,Actor,getPosition,Actor:getPosition(objid),objid,"ErrorCode.OK, x|y|z:number",获取actor位置,local result = Actor:getPosition(objid)
40006,4,游戏Actor,Actor,setPosition,"Actor:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,设置actor位置,"local result = Actor:setPosition(objid, x, y, z)"
40007,4,游戏Actor,Actor,jump,Actor:jump(objid),objid:number,ErrorCode.OK,跳跃,local result = Actor:jump(objid)
40008,4,游戏Actor,Actor,killSelf,Actor:killSelf(objid),objid:number,ErrorCode.OK,杀死自己,local result = Actor:killSelf(objid)
40009,4,游戏Actor,Actor,getCurPlaceDir,Actor:getCurPlaceDir(objid),objid:number,"ErrorCode.OK, dir:number",获取当前朝向,local result = Actor:getCurPlaceDir(objid)
40010,4,游戏Actor,Actor,tryMoveToActor,"Actor:tryMoveToActor(self_objid, target_objid, speed)","self_objid:number, target_objid:number, speed:number",ErrorCode.OK,向目标actor移动,"local result = Actor:tryMoveToActor(self_objid, target_objid, speed)"
40011,4,游戏Actor,Actor,tryMoveToPos,"Actor:tryMoveToPos(objid, x, y, z, speed)","objid:number, x|y|z:number, speed:number",ErrorCode.OK,向目标位置移动,"local result = Actor:tryMoveToPos(objid, x, y, z, speed)"
40012,4,游戏Actor,Actor,addBuff,"Actor:addBuff(objid, buffid, bufflv, customticks)","objid:number, buffid:number, bufflv:number, customticks:number",ErrorCode.OK,增加buff,"local result = Actor:addBuff(objid, buffid, bufflv, customticks)"
40013,4,游戏Actor,Actor,hasBuff,"Actor:hasBuff(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ret:boolean",是否具有某个buff,"local result = Actor:hasBuff(objid, buffid)"
40014,4,游戏Actor,Actor,removeBuff,"Actor:removeBuff(objid, buffid)","objid:number, buffid:number",ErrorCode.OK,删除buff,"local result = Actor:removeBuff(objid, buffid)"
40015,4,游戏Actor,Actor,clearAllBuff,Actor:clearAllBuff(objid),objid:number,ErrorCode.OK,清除所有buff,local result = Actor:clearAllBuff(objid)
40016,4,游戏Actor,Actor,clearAllBadBuff,Actor:clearAllBadBuff(objid),objid:number,ErrorCode.OK,清除所有负面buff,local result = Actor:clearAllBadBuff(objid)
40017,4,游戏Actor,Actor,getBuffList,Actor:getBuffList(objid),objid:number,"ErrorCode.OK, num:numberbuff数量, array:tablebuffid数组",获取buff列表,local result = Actor:getBuffList(objid)
40018,4,游戏Actor,Actor,getBuffLeftTick,"Actor:getBuffLeftTick(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ticks:number",获取当前index对应buff的剩余itck,"local result = Actor:getBuffLeftTick(objid, buffid)"
40019,4,游戏Actor,Actor,addHP,"Actor:addHP(objid, hp)","objid:number, hp:number",ErrorCode.OK,增加当前血量,"local result = Actor:addHP(objid, hp)"
40020,4,游戏Actor,Actor,getHP,Actor:getHP(objid),objid:number,"ErrorCode.OK, value:number",获取当前血量,local result = Actor:getHP(objid)
40021,4,游戏Actor,Actor,getMaxHP,Actor:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",获取当前最大血量,local result = Actor:getMaxHP(objid)
40022,4,游戏Actor,Actor,addOxygen,"Actor:addOxygen(objid, oxygen)","objid:number, oxygen:number",ErrorCode.OK,增加氧气值,"local result = Actor:addOxygen(objid, oxygen)"
40023,4,游戏Actor,Actor,getOxygen,Actor:getOxygen(objid),objid:number,"ErrorCode.OK, value:number",获取氧气值,local result = Actor:getOxygen(objid)
40024,4,游戏Actor,Actor,addEnchant,"Actor:addEnchant(objid, slot, enchantId, enchantLevel)","objid:number, slot:number, enchantId:number, enchantLevel:number",ErrorCode.OK,增加相关装备的附魔,"local result = Actor:addEnchant(objid, slot, enchantId, enchantLevel)"
40025,4,游戏Actor,Actor,removeEnchant,"Actor:removeEnchant(objid, slot, enchantId)","objid:number, slot:number, enchantId:number",ErrorCode.OK,去掉相关装备的附魔,"local result = Actor:removeEnchant(objid, slot, enchantId)"
40026,4,游戏Actor,Actor,findNearestBlock,"Actor:findNearestBlock(objid, blockid, blockRange)","objid:number, blockid:number, blockRange","ErrorCode.OK, x|y|z:number",寻找距离最近方块id,"local result = Actor:findNearestBlock(objid, blockid, blockRange)"
40027,4,游戏Actor,Actor,setFaceYaw,"Actor:setFaceYaw(objid, yaw)","objid:number, yaw:number角度",ErrorCode.OK,设置actor视角横向偏移角度,"local result = Actor:setFaceYaw(objid, yaw)"
40028,4,游戏Actor,Actor,getFaceYaw,Actor:getFaceYaw(objid),objid:number,"ErrorCode.OK, yaw:number",获取actor视角横向偏移角度,local result = Actor:getFaceYaw(objid)
40029,4,游戏Actor,Actor,turnFaceYaw,"Actor:turnFaceYaw(objid, offset)","objid:number, offset:number转动角度",ErrorCode.OK,转动actor横向偏移角度,"local result = Actor:turnFaceYaw(objid, offset)"
40030,4,游戏Actor,Actor,setFacePitch,"Actor:setFacePitch(objid, pitch)","objid:number, pitch:number仰望角度",ErrorCode.OK,设置actor视角仰望角度,"local result = Actor:setFacePitch(objid, pitch)"
40031,4,游戏Actor,Actor,getFacePitch,Actor:getFacePitch(objid),objid:number,"ErrorCode.OK, pitch:number",获取actor视角仰望角度,local result = Actor:getFacePitch(objid)
40032,4,游戏Actor,Actor,turnFacePitch,"Actor:turnFacePitch(objid, offset)","objid:number, offset:number转动角度",ErrorCode.OK,转动actor仰望偏移角度,"local result = Actor:turnFacePitch(objid, offset)"
40033,4,游戏Actor,Actor,playBodyEffect,"Actor:playBodyEffect(objid, type)","objid:number, type:number特效类型ACTORBODY_EFFECT",ErrorCode.OK,播放特效,"local result = Actor:playBodyEffect(objid, type)"
40034,4,游戏Actor,Actor,stopBodyEffect,"Actor:stopBodyEffect(objid, type)","objid:number, type:number特效类型ACTORBODY_EFFECT",ErrorCode.OK,停止特效,"local result = Actor:stopBodyEffect(objid, type)"
40035,4,游戏Actor,Actor,playBodyEffectByFile,"Actor:playBodyEffectByFile(objid, filename, sync)","objid:number, filename:string文件名, sync:bool同步",ErrorCode.OK,播放文件特效,"local result = Actor:playBodyEffectByFile(objid, filename, sync)"
40036,4,游戏Actor,Actor,stopBodyEffectByFile,"Actor:stopBodyEffectByFile(objid, filename)","objid:number, filename:string文件名",ErrorCode.OK,停止文件特效,"local result = Actor:stopBodyEffectByFile(objid, filename)"
40037,4,游戏Actor,Actor,playSound,"Actor:playSound(objid, name, volume, pitch, flag)","objid:number, name:string, volume:number, pitch:number, flag:number",ErrorCode.OK,播放声音,"local result = Actor:playSound(objid, name, volume, pitch, flag)"
40038,4,游戏Actor,Actor,playSoundSpecial,"Actor:playSoundSpecial(objid, name, type)","objid:number, name:string, type:number指定类型(GSOUND_TYPE)",ErrorCode.OK,播放声音(特定类型:GSOUND_TYPE),"local result = Actor:playSoundSpecial(objid, name, type)"
40039,4,游戏Actor,Actor,clearActorWithId,"Actor:clearActorWithId(actorid, bkill)","actorid:number, bkill:boolean",ErrorCode.OK,清除生物ID为actorid的生物,"local result = Actor:clearActorWithId(actorid, bkill)"
40040,4,游戏Actor,Actor,setAttackType,"Actor:setAttackType(objid, attacktype)","objid:number, attacktype:number",ErrorCode.OK,设置伤害类型,"local result = Actor:setAttackType(objid, attacktype)"
40041,4,游戏Actor,Actor,setImmuneType,"Actor:setImmuneType(objid, immunetype, isadd)","objid:number, immunetype:number, isadd:number",ErrorCode.OK,设置免疫伤害类型,"local result = Actor:setImmuneType(objid, immunetype, isadd)"
40042,4,游戏Actor,Actor,mountActor,"Actor:mountActor(objid, mountobjid, posindex)","objid:number, mountobjid:number, posindex:number骑乘位",ErrorCode.OK,登上、脱离载具,"local result = Actor:mountActor(objid, mountobjid, posindex)"
40043,4,游戏Actor,Actor,setActionAttrState,"Actor:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,设置生物行为属性状态,"local result = Actor:setActionAttrState(objid, actionattr, switch)"
40044,4,游戏Actor,Actor,tryNavigationToPos,"Actor:tryNavigationToPos(objid, x, y, z, cancontrol)","objid:number, x|y|z:number, cancontrol:boolean",ErrorCode.OK,寻路到目标位置,"local result = Actor:tryNavigationToPos(objid, x, y, z, cancontrol)"
40045,4,游戏Actor,Actor,getRidingActorObjId,Actor:getRidingActorObjId(objid),objid:number,ErrorCode.OK,获取骑乘生物的objid,local result = Actor:getRidingActorObjId(objid)
50001,5,游戏玩家,Player,getAttr,Player:getAttr(attrtype),"objid:number, atttype:number","ErrorCode.OK, value:number",nil,local result = Player:getAttr(attrtype)
50002,5,游戏玩家,Player,setAttr,"Player:setAttr(attrtype, val)","objid:number, val:number, atttype:number",ErrorCode.OK,nil,"local result = Player:setAttr(attrtype, val)"
50003,5,游戏玩家,Player,getHostUin,Player:getHostUin(),nil,"ErrorCode.OK, uin:number",获取房主,local result = Player:getHostUin()
50004,5,游戏玩家,Player,isMainPlayer,Player:isMainPlayer(objid),objid:number,ErrorCode.OK是本地玩家是本地玩家,检测是否是本地玩家,local result = Player:isMainPlayer(objid)
50005,5,游戏玩家,Player,getMainPlayerUin,Player:getMainPlayerUin(),nil,"ErrorCode.OK, uin:number",获取本地玩家的uin,local result = Player:getMainPlayerUin()
50006,5,游戏玩家,Player,getGameResults,Player:getGameResults(objid),objid:number,"ErrorCode.OK, value:number",获取玩家比赛结果,local result = Player:getGameResults(objid)
50007,5,游戏玩家,Player,setGameResults,"Player:setGameResults(objid, result)","objid:number, result",ErrorCode.OK,设置玩家比赛结果,"local result = Player:setGameResults(objid, result)"
50008,5,游戏玩家,Player,getGameScore,Player:getGameScore(objid),objid:number,"ErrorCode.OK, value:number",获取玩家游戏分数,local result = Player:getGameScore(objid)
50009,5,游戏玩家,Player,setGameScore,"Player:setGameScore(objid, score)",objid:number,"ErrorCode.OK, value:number",设置玩家游戏分数,"local result = Player:setGameScore(objid, score)"
50010,5,游戏玩家,Player,getGameRanking,Player:getGameRanking(objid),objid:number,"ErrorCode.OK, rank:number",获取玩家的排行,local result = Player:getGameRanking(objid)
50011,5,游戏玩家,Player,setGameRanking,"Player:setGameRanking(objid, rank)","objid:number, rank:number",ErrorCode.OK,给玩家设置排行,"local result = Player:setGameRanking(objid, rank)"
50012,5,游戏玩家,Player,gainItems,"Player:gainItems(objid, itemid, num, prioritytype)","objid:number, itemid:number, num:number, prioritytype:number(1是优先快捷栏2是优先背包栏)",ErrorCode.OK,给玩家增加道具,"local result = Player:gainItems(objid, itemid, num, prioritytype)"
50013,5,游戏玩家,Player,teleportHome,Player:teleportHome(objid),objid:number,ErrorCode.OK,传送到出生点,local result = Player:teleportHome(objid)
50014,5,游戏玩家,Player,getCurToolID,Player:getCurToolID(objid),objid:number,"ErrorCode.OK, ret",获取玩家当前手持的物品id,local result = Player:getCurToolID(objid)
50015,5,游戏玩家,Player,getNickname,Player:getNickname(objid),objid:number,"ErrorCode.OK, name:string",获取玩家昵称,local result = Player:getNickname(objid)
50016,5,游戏玩家,Player,removeBackpackItem,"Player:removeBackpackItem(objid, itemid, num)","objid:number, itemid:number, num:number",ErrorCode.OK,移走背包里的物品,"local result = Player:removeBackpackItem(objid, itemid, num)"
50017,5,游戏玩家,Player,getDieTimes,Player:getDieTimes(objid),objid:number,"ErrorCode.OK, value:number",获取玩家死亡次数,local result = Player:getDieTimes(objid)
50018,5,游戏玩家,Player,getLeftLifeNum,Player:getLeftLifeNum(objid),objid:number,"ErrorCode.OK, value:number",获取玩家剩下的生命次数,local result = Player:getLeftLifeNum(objid)
50019,5,游戏玩家,Player,setTeam,"Player:setTeam(objid, team)","objid:number, teamid:number",ErrorCode.OK,设置生物队伍,"local result = Player:setTeam(objid, team)"
50020,5,游戏玩家,Player,getTeam,Player:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",获取生物队伍,local result = Player:getTeam(objid)
50021,5,游戏玩家,Player,getFoodLevel,Player:getFoodLevel(objid),objid:number,ErrorCode.OK,获取当前饱食度,local result = Player:getFoodLevel(objid)
50022,5,游戏玩家,Player,setFoodLevel,"Player:setFoodLevel(objid, foodLevel)","objid:number, foodLevel:number",ErrorCode.OK,设置当前饱食度,"local result = Player:setFoodLevel(objid, foodLevel)"
50023,5,游戏玩家,Player,getCurShotcut,Player:getCurShotcut(objid),objid:number,"ErrorCode.OK, scutIdx:number",获取当前所用快捷栏键,local result = Player:getCurShotcut(objid)
50024,5,游戏玩家,Player,onCurToolUsed,"Player:onCurToolUsed(objid, num)","objid:number, num:number道具数量",ErrorCode.OK,设置当前玩家手持的道具消耗,"local result = Player:onCurToolUsed(objid, num)"
50025,5,游戏玩家,Player,setSkillCD,"Player:setSkillCD(objid, itemid, cd)","objid:number, itemid:number, cd:number",ErrorCode.OK,设置CD,"local result = Player:setSkillCD(objid, itemid, cd)"
50026,5,游戏玩家,Player,reviveToPos,"Player:reviveToPos(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,复活玩家到指定点,"local result = Player:reviveToPos(objid, x, y, z)"
50027,5,游戏玩家,Player,setRevivePoint,"Player:setRevivePoint(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,改变玩家复活点位置,"local result = Player:setRevivePoint(objid, x, y, z)"
50028,5,游戏玩家,Player,playAct,"Player:playAct(objid, actid)","objid:number, actid:number动作id",ErrorCode.OK,玩家播放动画,"local result = Player:playAct(objid, actid)"
50029,5,游戏玩家,Player,notifyGameInfo2Self,"Player:notifyGameInfo2Self(objid, info)","objid:number, info:string文字内容",ErrorCode.OK,对玩家显示飘窗文字,"local result = Player:notifyGameInfo2Self(objid, info)"
50030,5,游戏玩家,Player,useItem,"Player:useItem(objid, itemid, status, onshift)","objid:number, itemid:number, status:number使用状态, onshift:boolean是否按下shift键",ErrorCode.OK,使玩家使用当前道具,"local result = Player:useItem(objid, itemid, status, onshift)"
50031,5,游戏玩家,Player,rotateCamera,"Player:rotateCamera(objid, yaw, pitch)","objid:number, yaw:number, pitch:number",ErrorCode.OK,旋转玩家镜头,"local result = Player:rotateCamera(objid, yaw, pitch)"
50032,5,游戏玩家,Player,changeViewMode,"Player:changeViewMode(objid, viewmode, islock)","objid:number, viewmode:numberVIEWPORTTYPE, islock:boolean",ErrorCode.OK,改变玩家视角模式,"local result = Player:changeViewMode(objid, viewmode, islock)"
50033,5,游戏玩家,Player,setActionAttrState,"Player:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,设置生物行为属性状态,"local result = Player:setActionAttrState(objid, actionattr, switch)"
50034,5,游戏玩家,Player,checkActionAttrState,"Player:checkActionAttrState(objid, actionattr)","objid:number, actionattr:numberPLAYERATTR",ErrorCode.OK,玩家的行为属性状态开关,"local result = Player:checkActionAttrState(objid, actionattr)"
50035,5,游戏玩家,Player,getMaxHP,Player:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",获取当前最大血量,local result = Player:getMaxHP(objid)
50036,5,游戏玩家,Player,getCurHP,Player:getCurHP(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",获取当前生命量,local result = Player:getCurHP(objid)
