ID[整型],名称[string],界面大类[整型](      1.AI事件 2.AI装饰器 3.AI组合 4.AI条件 5.AI动作 6.AI取值 7.AI变量),"界面子类[整型]【1通用，2游戏，3玩家，4生物，5方块，6道具，7变量，8控制，9自定义，10数学，11组，12计时器，13界面，14特效，15音频，16图文信息，17开发者，18赋值，19数据存储，21区域，22位置，23数值，24字符串，25布尔值，26生物类型，27排行榜，28表,29世界,30对象,101搜索对象 , 102移动, 103攻击】",形状类型[数值](      1.AI事件 2.AI装饰器 3.AI组合 4.AI条件 5.AI动作 6.AI取值 7.AI变量 8.全局变量  9.AI根节点),简略显示[数值]【在库里是否缩略显示，1=是，0=否】,描述[string],图标[string],使用场景过滤[string],·,左右值标记[整型],返回值[整型],参数1类型[string],参数1默认值[string],参数2类型,参数2默认值,参数3类型,参数3默认值,参数4类型,参数4默认值,参数5类型,参数5默认值,参数6类型,参数6默认值,显示控制（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见 3=4位数迷你号可见  4 = 仅国内可见  5 = 仅海外可见 6 = 仅国内开发者可见 7 = 仅海外开发者可见 8 = 不显示）,积木间距值（间距值默认为60，超过60会开始变高）,说明,"生成规则[ 0 =lua ,1=c++]",,"内部节点[0,外部开放节点 ；  1,内部使用节点]",[]
510206,在区域中随机移动,5,102,5,1,"在%1内随机移动,速度%2,%3允许改变朝向",15,"1,1,0,1,1,0",,,,1001|1|0,,1005|1|0,1|2,1012|1|2,5|90001,,,,,,,,,9401047,,,,
510207,设置对象移动方式,0,102,0,1,设置%1的移动方式为%2,15,"1,1,0,1,1,0",,,,1048|1|0,3|600101,1077|1|2,,,,,,,,,,,,9401048,,,,
510301,近战攻击,5,103,5,1,"近战攻击%1,攻击间隔%2秒,攻击距离%3格",16,"1,1,0,1,1,0",,,,1048|1|0,,1005|1|0,1|1,1005|1|0,1|2,,,,,,,,,9401049,,,,
510302,使用投掷物攻击,5,103,5,1,"远程攻击%1,攻击间隔%2秒,攻击距离%3格，投掷%4",16,"1,1,0,1,1,0",,,,1048|1|0,,1005|1|0,1|1,1005|1|0,1|2,1029|1|0,2|12052,,,,,,,9401050,,,,
510303,使用武器发射投掷物,5,103,5,1,"使用%1装填%2攻击%3,攻击间隔%4秒,攻击距离%5格",16,"1,1,0,1,1,0",,,,1028|1|0,,1029|1|0,2|12052,1048|1|0,,1005|1|0,1|2,1005|1|0,,,,,,9401051,,,,
510304,使用武器进行蓄力攻击,5,103,5,1,"使用%1装填%2蓄力攻击%3,蓄力时间%4秒,攻击间隔%5秒,攻击距离%6格",16,"1,1,0,1,1,0",,,,1028|1|0,,1029|1|0,2|12052,1048|1|0,,1005|1|0,1|2,1005|1|0,1|2,1005|1|0,1|2,,,,,,,
510305,内部-使用武器进行N次连续攻击,5,103,5,1,"使用%1进行%2段攻击,攻击%3,攻击距离%4格",16,"1,1,0,1,1,0",,,,1028|1|0,,1005|1|0,1|1,1048|1|0,,1005|1|0,1|1,,,,,2,,,,,,
510306,内部-使用武器进行第N段攻击 ,5,103,5,1,"使用%1进行第%2段攻击,攻击%3,攻击距离%4格,结束时%5重置动画",16,"1,1,0,1,1,0",,,,1028|1|0,,1005|1|0,1|1,1048|1|0,,1005|1|0,1|1,1012|1|2,5|90001,,,2,,,,,,
510307,内部 - 瞄准目标使用爆炸技能,5,103,5,1,瞄准%1使用爆炸技能,16,"1,1,0,1,1,0",,,,1048|1|0,,,,,,,,,,,,2,,,,,,
510308,内部-举起盾牌,5,103,5,1,举起%1,16,"1,1,0,1,1,0",,,,1028|1|0,,,,,,,,,,,,2,,,,,,
510309,内部-放下盾牌,5,103,5,1,放下盾牌,16,"1,1,0,1,1,0",,,,,,,,,,,,,,,,2,,,,,,
510310,给予对象状态效果,5,103,5,1,"给予%1%2效果,永久持续%3,持续%4秒",16,"1,1,0,1,1,0",,,,1048|1|0,,1037|1|0,2|4001,1014|1|0,5|320002,1005|1|0,1|0,,,,,0,,9401052,,,,
510311,移除对象状态效果,5,103,5,1,移除%1的%2效果,16,"1,1,0,1,1,0",,,,1048|1|0,,1037|1|0,2|4001,,,,,,,,,0,,9401053,,,,
510312,替换对象状态效果,5,103,5,1,"将%1身上的%2替换为%3,永久持续%4,持续%5秒",16,"1,1,0,1,1,0",,,,1048|1|0,,1037|1|0,2|4001,1037|1|0,2|8001,1014|1|0,5|320002,1005|1|0,1|0,,,0,,9401054,,,,
510320,击败对象,0,103,0,1,击败%1,16,"1,1,0,1,1,0",,,,1048|1|0,,,,,,,,,,,,,,9401055,,,,
510321,删除对象,0,103,0,1,删除%1,1,"1,1,0,1,1,0",,,,1048|1|0,,,,,,,,,,,,,,9401056,,,,
510330,抱起对象,0,103,0,1,抱起%1,1,"1,1,0,1,1,0",,,,1048|1|0,,,,,,,,,,,,,,,,,,
510331,放下抱起的对象,0,103,0,1,放下抱起的对象,1,"1,1,0,1,1,0",,,,1048|1|0,,,,,,,,,,,,,,,,,,
600101,执行行为的对象,6,1,6,1,执行行为的对象,5,"1,1,0,1,1,0",,1,47,,,,,,,,,,,,,,100,9401057,,,,
600102,队伍关系,6,1,6,1,%1关系,12,"1,1,0,1,1,0",,1,208,1206|1|2,5|2060001,,,,,,,,,,,,,,,,,
600103,实际队伍,6,1,6,1,%1队伍,12,"1,1,0,1,1,0",,1,208,1207|1|2,5|2070001,,,,,,,,,,,,100,,,,,
600104,位置与位置的距离,6,1,6,1,%1与%2的距离,12,"1,1,0,1,1,0",,1,6,1002|1|0,,1002|1|0,,,,,,,,,,,,,,,,
600105,指定坐标位置,6,1,6,1,坐标值 X%1Y%2Z%3的位置,12,"1,1,0,1,1,0",,1,3,1005|1|0,1|0,1005|1|0,1|1,1005|1|0,1|1,,,,,,,,,,,,,
600106,位置的坐标值,6,1,6,0,%1的%2坐标值,12,"1,1,0,1,1,0",,1,6,1002|1|0,,1006|1|2,5|40001,,,,,,,,,,,,,,,
600107,内部-月亮坐标,6,1,6,1,月亮坐标,,"1,1,0,1,1,0",,1,3,,,,,,,,,,,,,,,,,,,
600108,位置偏移（不改变原位置）,6,1,6,1,%1沿坐标轴偏移（%2，%3，%4）,,"1,1,0,1,1,0",,1,3,1002|1|0,,1005|1|0,1|1,1005|1|0,1|1,1005|1|0,1|1,,,,,,,,,,,
600109,出生点,6,1,6,1,%1的生成位置,12,"1,1,0,1,1,0",,1,3,1048|1|0,,,,,,,,,,,,,,,,,,
600110,获取对象位置,6,1,6,1,获取%1位置,,"1,1,0,1,1,0",,1,3,1048|1|0,,,,,,,,,,,,,,,,,,
600111,获取区域内空闲位置,6,1,6,1,获取%1内空闲位置,,"1,1,0,1,1,0",,1,3,1001|1|0,,,,,,,,,,,,,100,,,,,
600130,位置转化为区域,6,1,6,1,以%1为中心点，尺寸为（%2，%3，%4）的区域,,"1,1,0,1,1,0",,1,2,1002|1|0,,1005|1|0,1|5,1005|1|0,1|5,1005|1|0,1|5,,,,,,,,,,,
600201,对象属性,0,0,0,1,%1的%2,,"1,1,0,1,1,0",,1,6,1048|1|0,,1020|1|2,,,,,,,,,,,,,,,,
600202,对象的队伍,6,2,6,1,%1的队伍,12,"1,1,0,1,1,0",,1,207,1048|1|0,,,,,,,,,,,,,,,,,,
600205,当前游戏时间,6,2,6,1,当前游戏时间,12,"1,1,0,1,1,0",,1,6,,,,,,,,,,,,,,,,,,,
600206,获取当前武器攻击连段攻击次数,6,2,6,1,获取%1武器的连段攻击次数,1,"1,1,0,1,1,0",,1,6,1028|1|0,,,,,,,,,,,,2,,,,,,
600207,对象身上的光照强度,6,2,6,1,%1身上的光照强度,12,"1,1,0,1,1,0",,1,6,1048|1|0,,,,,,,,,,,,,,,,,,
600300,玩家对象,6,3,6,1,%1对象,,"1,1,0,1,1,0",,1,47,1018|1|0,,,,,,,,,,,,,,,,,,
600301,玩家属性,6,3,6,1,玩家:%1的%2,8,"1,1,0,1,1,0",,1,6,1048|1|0,,1020|1|2,5|140001,,,,,,,,,8,,,,,,
600302,寻找最近玩家,6,3,6,1,以%1为参照物，寻找%2%3格内%4最近的%5,,"1,1,0,1,1,0",,1,47,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|10,1208|1|0,3|600103,1106|1|0,5|730001,,,8,,,,,,
600311,玩家属性,6,3,6,1,%1的%2,8,"1,1,0,1,1,0",,1,6,1018|1|0,,1020|1|2,5|140001,,,,,,,,,,100,,,,,
600312,寻找最近玩家,6,3,6,1,以%1为参照物，寻找%2%3格内%4最近的玩家,,"1,1,0,1,1,0",,1,17,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|5,1208|1|0,3|600103,1106|1|0,5|730001,,,,,,,,,
600313,寻找周边所有玩家,6,3,6,1,以%1为参照物，寻找%2%3格内%4玩家,,"1,1,0,1,1,0",,1,18,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|10,1208|1|0,3|600103,1106|1|0,5|730001,,,,,,,,,
600314,获取周边玩家数量,6,3,6,1,以%1为参照物，寻找%2%3格内%4玩家数量,,"1,1,0,1,1,0",,1,6,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|10,1208|1|0,3|600103,1106|1|0,5|730001,,,,,,,,,
