ID,名称,输入【①0=关闭，1=整数，2=字符串，3=角度，4=颜色，5=脚本编辑，6=浮点数；②左值开关，1=开（默认），0=关；③局部逻辑开关，④行为树节点开关，1=开（默认），0=关】,素材库【0=关闭，1=方块类型，2=道具类型，3=投掷物类型，4=生物类型，5=状态，6=动画标签，7=特效类型，8=音效，9=装备类型，10=触发器，11=颜色，12=模型外观，13=界面，14=元件，15=图案模板，16=页面状态，17=音乐，18=开发者商店，19=触发器，20=触发器组，21=选择广播 22= 选择编程对象 23=选择编程答案 24】,代码块【0=关闭（默认），1=开启】,变量【0=关闭（默认），1=开启】,选项【0=关闭（默认），>0为枚举表里的枚举类型】,传参（可能没用了）【0=关闭（默认），>0为枚举表里的枚举类型】,选择对象【0=关闭（默认），1=区域，2=位置，3=生物，4=显示板，5=道具】,值类型【13=布尔值，其它的一一对应】
1054,装备栏,0,0,1|1|1|1,0,42|1|1|1,43|1|1|1,0,53
1055,装备类型,0,9|0|1|1,0,0,0,0,0,54
1056,颜色,4|1|1|1,11|1|1|1,1|1|1|1,0,0,0,0,55
1057,图文信息,0,0,1|1|1|1,0,0,0,0,56
1058,图文信息类型,0,0,0,0,49|1|1|1,0,0,57
1059,商品,0,18|1|1|1,0,0,0,0,0,58
1060,外观类型,0,12|1|1|1,1|1|1|1,0,0,0,0,59
1061,任意组,0,0,1|1|1|1,0,0,0,0,60
1062,位置组,0,0,0,1|1|1|1,0,0,0,61
1063,区域组,0,0,0,1|1|1|1,0,0,0,62
1064,数值组,0,0,0,1|1|1|1,0,0,0,63
1065,字符串组,0,0,0,1|1|1|1,0,0,0,64
1066,布尔值组,0,0,0,1|1|1|1,0,0,0,65
1067,方块类型组,0,0,0,1|1|1|1,0,0,0,66
1068,道具类型组,0,0,0,1|1|1|1,0,0,0,67
1069,生物类型组,0,0,0,1|1|1|1,0,0,0,68
1070,计时器组,0,0,0,1|1|1|1,0,0,0,69
1071,特效类型组,0,0,0,1|1|1|1,0,0,0,70
1072,排序,0,0,0,0,50|1|1|1,0,0,71
1073,视频链接,2|1|1|1,0,0,0,0,0,0,72
1074,界面,0,13|1|1|1,1|1|1|1,0,0,52|1|1|1,0,73
1075,元件,0,14|1|1|1,1|0|1|1,0,0,51|1|1|1,0,74
1076,图案模板,0,15|1|1|1,1|1|1|1,0,0,0,0,75
1077,移动方式,0,0,0,0,53|1|1|1,0,0,76
1078,时间单位,0,0,0,0,54|1|1|1,0,0,77
1079,页面状态,0,16|1|1|1,0,0,0,0,0,78
1080,音乐,0,17|1|1|1,0,0,0,57|1|1|1,0,79
1081,暂停恢复,0,0,0,0,58|1|1|1,0,0,80
1082,显示板,0,0,0,0,0,59|1|1|1,4|0|1|1,81
1083,全局对象,0,0,0,0,60|1|1|1,0,0,82
1084,排行榜,2|1|1|1,0,0,1|1|1|1,0,0,0,83
1085,表,2|1|1|1,0,0,1|1|1|1,0,0,0,84
1086,播放模式,0,0,0,0,61|1|1|1,0,0,85
1087,条件,0,0,1|1|1|1,1|1|1|1,0,0,0,13
1088,停止逻辑,0,0,0,0,62|1|1|1,0,0,86
1089,动作积木槽,0,0,0,0,0,0,0,87
1090,消息,0,21|1|1|1,0,0,0,0,0,88
1091,整数,1|0|1|1,0,1|1|1|1,1|1|1|1,0,0,0,6
1092,胜利状态,0,0,0,0,80|1|1|1,0,0,13
1093,显示状态,0,0,0,0,81|1|1|1,0,0,13
1094,相似度检测模式,0,0,0,0,82|1|1|1,0,0,89
1095,积木检测模式,0,0,0,0,87|1|1|1,0,0,90
1096,参数检测模式,0,0,0,0,88|1|1|1,0,0,91
1097,编程对象,0,22|1|1|1,0,0,0,0,0,92
1098,积木答案,0,23|1|1|1,0,0,0,0,0,93
1099,道具属性,0,0,0,0,68|1|1|1,0,0,98
1100,掉落方式,0,0,0,0,69|1|1|1,0,0,99
1101,指定页面,0,24|1|1|1,0,0,0,0,0,100
1102,动作播放模式,0,0,0,0,70|1|1|1,0,0,101
1103,道具库,0,0,0,0,71|1|1|1,0,0,102
1104,道具栏,0,0,1|1|1|1,0,0,0,0,103
1105,背包道具栏,0,0,0,0,72|1|1|1,0,0,104
1106,对象类型,0,0,1|1|1|1,0,73|1|1|1,0,0,105
1107,蓝图,0,25|0|1|1,0,0,0,0,0,106
1108,角度,0,0,0,0,74|1|1|1,0,0,107
1109,镜像,0,0,0,0,32|1|1|1,0,0,108
1110,覆盖规则,0,0,0,0,32|1|1|1,0,0,109
1111,玩法排行榜,0,26|1|1|1,0,0,0,0,0,110
1112,缓动曲线,0,0,0,0,85|1|1|1,0,0,111
1113,宽高,0,,0,0,86|1|1|1,0,0,112
1114,0,0,,0,0,0,0,0,113
1115,显示动效,0,27|1|1|1,0,0,0,0,0,114
1116,隐藏动效,0,28|1|1|1,0,0,0,0,0,115
1117,动效,0,29|1|1|1,0,0,0,0,0,116
1118,文本动效选择,0,30|1|1|1,0,0,0,0,,117
1119,二维坐标分量,0,0,0,0,83|1|1|1,0,0,118
1120,增减,0,0,0,0,84|1|1|1,0,0,119
1121,元件动效,0,0,1|1|1|1,0,0,0,0,120
1122,文本动效,0,0,1|1|1|1,0,0,0,0,121
1123,元件平滑运动,0,0,1|1|1|1,0,0,0,0,122
1124,天空盒时间,0,0,0,0,90|1|1|1,0,0,123
1125,天空盒贴图,0,0,0,0,91|1|1|1,0,0,124
1126,天空盒颜色,0,0,0,0,92|1|1|1,0,0,125
1127,天空盒参数,0,0,0,0,93|1|1|1,0,0,126
1128,环境粒子参数,0,0,0,0,94|1|1|1,0,0,127
1129,滤镜参数,0,0,0,0,95|1|1|1,0,0,128
1130,摄像机设置,0,0,0,0,96|1|1|1,0,0,131
1131,转动模式,0,0,0,0,97|1|1|1,0,0,132
1132,摄像机属性,0,0,1|1|1|1,0,0,0,0,133
1133,轴向,0,0,0,0,98|1|1|1,0,0,134
1134,天空盒模板,0,31|1|1|1,0,0,0,0,0,135
1135,色彩校正,0,32|1|1|1,0,0,0,0,0,136
1136,滤镜模板,0,33|1|1|1,0,0,0,0,0,137
1137,地形组,0,0,0,0,99|1|1|1,0,0,138
1138,皮肤商品,0,34|1|1|1,0,0,0,0,0,139
1139,天空盒开关,0,0,0,0,100|1|1|1,0,0,140
1140,滤镜开关,0,0,0,0,101|1|1|1,0,0,141
1201,对象组,0,0,1|0|1|1,1|1|1|1,0,0,0,201
1203,打断规则—条件变化时触发,0,0,0,0,203|1|1|1,0,0,203
1204,并行成功规则,0,0,0,0,204|1|1|1,0,0,204
1205,并行失败规则,0,0,0,0,205|1|1|1,0,0,205
1206,队伍关系,0,0,0,0,206|1|1|1,0,0,206
1207,实际队伍,0,0,0,0,207|1|1|1,0,0,207
1208,队伍,0,0,1|1|1|1,0,0,0,0,208
1209,方位,0,0,0,0,209|1|1|1,0,0,209
1210,评价地图,0,0,0,0,210|1|1|1,0,0,210
