物品ID,物品名称（仅备注用）,分类ID,界面分类ID(控制在哪个UI分类下显示的字段，支持填多个ID),品质（-1糟糕，0普通，1稀有，2珍贵，3传说）,需要家园等级（一般用于购买限制）,系列（填stringid）,品牌（填文件夹.文件名，路径在res/ui下）,家园评分,图鉴评分,出售类型（0免费，1迷你币，2家园币，3迷你豆，4迷你点）编辑背包回收,出售价格,功能数量（用到几个功能就填几）,功能1ID,功能1值1,功能1值2,功能1值3,功能1值4,功能2ID,功能2值1,功能2值2,功能2值3,功能2值4,功能3ID,功能3值1,功能3值2,功能3值3,功能3值4,界面模型大小,占地大小(512=半格砖 1024=4分之1砖),替代描述（对应stringID，屏蔽原描述和合成配方，显示本表配置描述）
ItemID,Name,ItemType,UiType,Quality,HomeLv,Series,Brand,HomeScore,HandBookScore,SellType,SellNum,FunctionNum,Function1_ID,Function1_val1,Function1_val2,Function1_val3,Function1_val4,Function2_ID,Function2_val1,Function2_val2,Function2_val3,Function2_val4,Function3_ID,Function3_val1,Function3_val2,Function3_val3,Function3_val4,ModelSize,AreaSize,ReplaceString
3,静态水,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,1,,,,,,,,,,,
205,胡桃木,1002,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
206,果木板,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
207,落叶松木板,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
208,白杨木板,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
209,红杉木板,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
210,楠木板,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
211,胡桃木板,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
218,果木树叶,1004,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,150,1,,,,,,,,40902
219,落叶松树叶,1004,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,150,1,,,,,,,,40902
220,白杨树叶,1004,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,150,1,,,,,,,,40902
221,红杉树叶,1004,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,150,1,,,,,,,,40902
222,楠木树叶,1004,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,150,1,,,,,,,,40902
223,胡桃树叶,1004,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,150,1,,,,,,,,40902
224,草丛,1004,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,100,1,,,,,,,,40902
225,枯草,1004,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40902
232,藤蔓,1004,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40902
233,红土,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
238,荆棘,1004,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40902
251,竹子,1004,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
252,竹叶,1004,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40902
254,桃花木,1002,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
255,桃花树叶,1004,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40902
257,珍木,1002,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
260,无叶珍木,1002,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
261,星光孢子树干,1002,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
264,珍木木板,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
268,变异小蘑菇树干,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
270,白色星光孢子块,1004,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
271,橙色星光孢子块,1004,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
272,紫红星光孢子块,1004,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
273,淡蓝星光孢子块,1004,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
274,黄色星光孢子块,1004,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
275,淡绿星光孢子块,1004,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
276,粉色星光孢子块,1004,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
277,绿色星光孢子块,1004,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
278,红色星光孢子块,1004,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
279,青色星光孢子块,1004,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
280,紫色星光孢子块,1004,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
281,蓝色星光孢子块,1004,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
282,褐色星光孢子块,1004,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
283,灰色星光孢子块,1004,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
284,淡灰星光孢子块,1004,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
285,黑色星光孢子块,1004,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
321,桃花堆,1004,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40902
322,小花堆,1004,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40902
323,落叶堆,1004,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40902
375,乔木木板,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
376,乔木楼梯,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
377,乔木台阶,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,512,40904
408,蓝钻块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
409,孔雀石块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
410,闪金块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
411,精铁块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
412,硅石块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
413,花纹硅石块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
414,竖纹硅石块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
416,大煤块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
417,蓝晶石块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
418,果木地板,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
419,落叶松地板,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,200,1,,,40904
420,红杉地板,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,200,1,,,40904
421,土砖,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
422,粗制岩石砖,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
423,沙砖板,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
424,细沙砖板,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,200,1,,,40904
425,釉面砖,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
426,横格釉面砖,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
427,竖格釉面砖,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,250,1,,,40904
428,四格釉面砖,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,250,1,,,40904
429,不规则釉面砖,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,250,1,,,40904
430,冰砖,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
445,星铜矿石,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,,,,,,,,,,,,,40904
446,紫荧矿石,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,,,,,,,,,,,,,40904
448,石油块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,,,,,,,,,,,,,40904
449,[外星]星铜石块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,,,,,,,,,,,,,40904
450,[外星]紫荧石块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,,,,,,,,,,,,,40904
501,石砖,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
502,裂纹石砖,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
503,苔石砖,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
504,花纹石砖,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
505,石块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
506,石台阶,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,512,40904
507,沙砖台阶,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,512,40904
509,石块台阶,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,512,40904
510,灰砂砖台阶,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,512,40904
511,岩石砖台阶,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,512,40904
512,硫黄砖台阶,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,512,40904
513,硅石台阶,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,512,40904
514,果木台阶,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,512,40904
515,落叶松台阶,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,512,40904
516,白杨木台阶,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,512,40904
517,红杉台阶,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,512,40904
518,楠木台阶,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,512,40904
519,胡桃台阶,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,512,40904
520,果木楼梯,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,500,1,,,,,,,,40904
521,银杉楼梯,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,500,1,,,,,,,,40904
522,白桦木楼梯,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,500,1,,,,,,,,40904
523,红杉楼梯,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,500,1,,,,,,,,40904
524,楠木楼梯,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,500,1,,,,,,,,40904
525,胡桃楼梯,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,500,1,,,,,,,,40904
526,铁栅栏,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,500,1,,,,,,,,40904
527,沙砖楼梯,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,500,1,,,,,,,,40904
529,石块楼梯,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,500,1,,,,,,,,40904
530,灰砂砖楼梯,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,500,1,,,,,,,,40904
531,岩石砖楼梯,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,500,1,,,,,,,,40904
532,硫黄砖楼梯,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,500,1,,,,,,,,40904
533,硅石楼梯,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,500,1,,,,,,,,40904
534,木围栏,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,500,1,,,,,,,,40904
535,木围栏门,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,500,1,,,,,,,,40901
536,曙光石块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,500,1,,,,,,,,40904
537,硫黄砖块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,500,1,,,,,,,,40904
538,硫黄砖围栏,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,500,1,,,,,,,,40904
539,白杨木栅栏,1002,1101|1103,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,200,1,,,40904
540,平滑沙砖,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
541,花纹沙砖,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
547,灰砂砖块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
548,岩石围栏,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
549,青石围栏,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
550,荧光晶块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
551,石砖围栏,1002,1101|1103,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,200,1,,,40904
552,白杨木围栏,1002,1101|1103,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,250,1,,,40904
553,木栅栏,1002,1101|1103,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,200,1,,,40904
554,铁围栏,1002,1101|1103,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,250,1,,,40904
555,木窗,1002,1101|1103,0,,,,,,2,10,3,1,1x1x1,,,,13,2,,500,1,,,,,,,,40901
556,玻璃窗,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,500,1,,,,,,,,40901
558,蜂蜜块,1002,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
561,烧焦的蜂蜜,1002,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
562,桃花木板,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
563,竹板,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
564,桃花木台阶,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,512,40904
565,竹板台阶,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,512,40904
566,桃花木楼梯,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
567,竹板楼梯,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
568,竹围栏,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
569,竹围栏门,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40903
570,星球岩台阶,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,,,,,,,,,,,,512,40901
571,星球岩楼梯,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,,,,,,,,,,,,,40904
572,星球岩围栏,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,,,,,,,,,,,,,40904
573,星球岩石砖,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,,,,,,,,,,,,,40904
574,珍木台阶,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,,,,,,,,,,,,512,40904
575,珍木楼梯,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,,,,,,,,,,,,,40904
576,珍木围栏,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,,,,,,,,,,,,,40904
600,羊毛,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
601,橙色羊毛,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
602,洋红羊毛,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
603,淡蓝羊毛,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
604,黄色羊毛,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
605,黄绿色羊毛,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
606,粉色羊毛,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
607,灰色羊毛,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
608,淡灰色羊毛,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
609,青色羊毛,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
610,紫色羊毛,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
611,蓝色羊毛,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
612,棕色羊毛,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
613,绿色羊毛,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
614,红色羊毛,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
615,黑色羊毛,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
616,地毡,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
617,橙色羊毛地毡,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
618,洋红羊毛地毡,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
619,淡蓝羊毛地毡,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
620,黄色羊毛地毡,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
621,黄绿色羊毛地毡,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
622,粉色羊毛地毡,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
623,灰色羊毛地毡,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
624,淡灰色羊毛地毡,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
625,青色羊毛地毡,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
626,紫色羊毛地毡,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
627,蓝色羊毛地毡,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
628,棕色羊毛地毡,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
629,绿色羊毛地毡,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
630,红色羊毛地毡,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
631,黑色羊毛地毡,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
632,玻璃块,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
633,白色玻璃块,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
634,橙色玻璃块,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
635,洋红玻璃块,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
636,淡蓝玻璃块,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
637,黄色玻璃块,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
638,黄绿色玻璃块,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
