融合id,名称,融合类别,道具类1,道具id1,道具类2,道具id2,攻击力比例,耐久比例,技能,动作（json文件）,描述,备注,类别
18,剑铲,6,7,,1,12005,0.52,1,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,#c0aba1d蓄力#n后可向前方瞬间移动一段距离，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_103#,能量剑，铲,3
19,矛铲,7,7,,4,,0.7,1,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_103##r捡回后可重复使用。,矛，铲,3
20,矛铲,7,7,,4,12063,0.7,1,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,#c0aba1d蓄力#n后投掷可穿透多个敌人。若命中了@item_101#，则会将其变成@item_103##r捡回后可重复使用。,能量矛，铲,3
21,双铲,8,7,,7,,0.52,1,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,双持挖掘工具，可以更快的挖掘泥沙类方块。#r对@item_101#或@item_100#使用能挖@item_103#。,铲，铲,3
22,剑镐,9,5,,1,,0.52,1,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了石块，则会将其击碎。,镐，剑,2
23,剑镐,9,5,,1,12005,0.52,1,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,#c0aba1d蓄力#n后可向前方瞬间移动一段距离，对周围生物造成伤害。若命中了石块，则会将其击碎。,镐，能量剑,2
24,矛镐,10,5,,4,,0.7,1,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,#c0aba1d蓄力#n后可投掷。若命中了石块，则会将其击碎。#r捡回后可重复使用。,镐，矛,2
25,矛镐,10,5,,4,12063,0.7,1,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,#c0aba1d蓄力#n后投掷可穿透多个敌人。若命中了石块，则会将其击碎。#r捡回后可重复使用。,镐，能量矛,2
26,双镐,11,5,,5,,0.52,1,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,双持开采工具，可以更快的开采矿石。,镐，镐,2
27,剑斧,12,6,,1,,0.52,1,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了木块，则会将其击碎。,剑，斧,1
28,剑斧,12,6,,1,12005,0.52,1,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,#c0aba1d蓄力#n后可向前方瞬间移动一段距离，对周围生物造成伤害。若命中了木块，则会将其击碎。,能量剑，斧,1
29,矛斧,13,6,,4,,0.7,1,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,#c0aba1d蓄力#n后可投掷。若命中了木块，则会将其击碎。#r捡回后可重复使用。,矛，斧,1
30,矛斧,13,6,,4,12063,0.7,1,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,#c0aba1d蓄力#n后投掷可穿透多个敌人。若命中了木块，则会将其击碎。#r捡回后可重复使用。,能量矛，斧,1
31,双斧,14,6,,6,,0.65,1,,Double_Axe_Axe_Natk_01|Double_Axe_Axe_Natk_02,双持伐木工具，可以更快地砍伐树木。,斧，斧,1
32,剑耙,15,8,,1,,0.52,1,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,剑，耙,4
33,剑耙,15,8,,1,12005,0.52,1,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,#c0aba1d蓄力#n后可向前方瞬间移动一段距离，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,能量剑，耙,4
34,矛耙,16,8,,4,,0.7,1,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,矛，耙,4
35,矛耙,16,8,,4,12063,0.7,1,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,#c0aba1d蓄力#n后投掷可穿透多个敌人。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,能量矛，耙,4
36,双耙,17,8,,8,,0.52,1,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,双持种植工具，对@item_101#、@item_100#使用可变为@item_102#。#r对成熟的农作物使用可将其收获。,耙，耙,4
37,剑锤,18,3,,1,,0.52,1,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害并且进入眩晕状态。,剑，锤,6
,,,,,,,,,,,#c0aba1d蓄力#n后可向前方瞬间移动一段距离，并对触碰到的敌人造成伤害并且进入眩晕状态,能量剑，锤,
,,,,,,,,,,,#c0aba1d蓄力#n后可释放斩击，并且进入在原地释放砸地技能，砸地命中的生物会进入眩晕状态。,剑，钛金锤,
,,,,,,,,,,,#c0aba1d蓄力#n后可向前方瞬间移动一段距离，并且在剑气末尾释放砸地技能，砸地命中的生物会进入眩晕状态。,能量剑，钛金锤,
38,锤盾,19,3,,2,,0.9,1,,Double_hammer_Shield_Natk_01|Double_hammer_Shield_Natk_02,#c0aba1d蓄力#n可以进入防御状态，看准时机使用盾牌可以无伤打怪#r要注意#c0aba1d韧性值#n归零后会非常虚弱，不举盾可以恢复韧性值。,锤，盾,6
39,锤盾,19,3,,2,12310,0.9,1,,Double_hammer_Shield_Natk_01|Double_hammer_Shield_Natk_02,#c0aba1d蓄力#n可以进入防御状态，并且可以让对手进入中毒状态。看准时机使用盾牌可以无伤打怪#r要注意#c0aba1d韧性值#n归零后会非常虚弱，不举盾可以恢复韧性值。,锤，蝎刺盾,6
40,矛锤,20,4,,3,,0.5,1,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,#c0aba1d蓄力#n后可投掷。被命中的生物会造成伤害并且进入眩晕状态#r捡回后可重复使用。,矛，锤,6
41,矛锤,20,4,12063,3,,0.5,1,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,#c0aba1d蓄力#n后投掷可穿透多个敌人。被命中的生物会造成伤害并且进入眩晕状态#r捡回后可重复使用。,能量矛，锤,6
42,矛锤,20,4,,3,12010,0.5,1,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,#c0aba1d蓄力#n后可投掷。被命中的生物会造成伤害并且进入眩晕状态#r捡回后可重复使用。,矛，钛金锤,6
43,矛锤,20,4,12063,3,12010,0.5,1,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,#c0aba1d蓄力#n后投掷可穿透多个敌人。被命中的生物会造成伤害并且进入眩晕状态#r捡回后可重复使用。,能量矛，钛金锤,6
44,铲锤,21,7,,3,,0.5,1,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_103#,铲，锤,3
45,铲锤,21,7,,3,12010,0.5,1,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,#c0aba1d蓄力#n后可猛锤地面，击飞并击晕周围的生物，同时造成大量伤害。若命中了@item_101#，则会将其变成@item_103#,铲，钛金锤,3
46,镐锤,22,5,,3,,0.5,1,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了石块，则会将其击碎。,镐，锤,2
47,镐锤,22,5,,3,12010,0.5,1,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,#c0aba1d蓄力#n后可猛锤地面，击飞并击晕周围的生物，同时造成大量伤害。若命中了石块，则会将其击碎。,镐，钛金锤,2
48,锤斧,23,6,,3,,0.55,1,,Double_Axe_Axe_Natk_01|Double_Axe_Axe_Natk_02,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了木块，则会将其击碎。,斧，锤,1
49,锤斧,23,6,,3,12010,0.55,1,,Double_Axe_Axe_Natk_01|Double_Axe_Axe_Natk_02,#c0aba1d蓄力#n后可猛锤地面，击飞并击晕周围的生物，同时造成大量伤害。若命中了木块，则会将其击碎。,斧，钛金锤,1
50,锤耙,24,8,,3,,0.5,1,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_102#,耙，锤,4
51,锤耙,24,8,,3,12010,0.5,1,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,#c0aba1d蓄力#n后可猛锤地面，击飞并击晕周围的生物，同时造成大量伤害。若命中了@item_101#，则会将其变成@item_102#,耙，钛金锤,4
52,双锤,25,3,,3,,0.5,1,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,#c0aba1d蓄力#n后可敲晕前方的生物。,锤，锤,6
53,双锤,25,3,12010,3,,0.5,1,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,#c0aba1d蓄力#n后可猛锤地面，击飞并击晕周围的生物，同时造成大量伤害。,锤，钛金锤,6
54,双锤,25,3,12010,3,12010,0.5,1,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,#c0aba1d蓄力#n后可猛锤地面，击飞并击晕周围的生物，同时造成大量伤害。,钛金锤，钛金锤,6
55,剑杖,26,10,,1,,0.52,1,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,可以在近身战斗的同时发射法球,剑，杖,24
56,剑杖,26,10,,1,12005,0.52,1,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,可以在近身战斗的同时发射法球,能量剑，杖,24
57,锤杖,27,10,,3,,0.5,1,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,可以在近身战斗的同时发射法球,锤，杖,24
58,锤杖,27,10,,3,12010,0.5,1,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,可以在近身战斗的同时发射法球,钛金锤，杖,24
59,双杖,28,10,,10,,0.52,1,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,双持法杖，会一次性发射两把法杖的法球,杖，杖,24
