能力ID,能力名称,图标,描述,效果ID,效果值1,效果值2,效果值3,效果值4,效果值5,效果值6,效果值7,特效,备注,
21,飞行,21,可以在空中飞行一段距离，下落过程不会掉血。,,16,-24,5,15,9,20,0.1,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
22,双骑,22,可以乘载两名乘客，带上你的小伙伴吧~,,,,,,,,,,,
23,能量盾,23,可以形成一个能量盾保护你和你的同伴。,,50,25,,,,,,,生命值，冷却时间s,
24,单骑,24,可以乘载一名乘客。,,,,,,,,,,,
25,空中警报,25,可以在空中飞行一段距离，下落过程不会掉血。,9,15,-8,0.8,10,7,18,0.1,,,
26,红色闪电,26,向前冲刺一段时间。,8,6,1.5,30,1.5,,,,,cd时间，持续时间，加速速度，镜头抖动时间,
27,聚变激光,27,直线发射导弹。,7,3,0.8,12299,250,170,0.1,,,cd时间，力量(决定发射速度)，物品id（子弹），初始位置往前的偏移，初始位置向上的偏移，镜头抖动的时间,
28,炎狱火,28,点击攻击键可喷出火焰，对前方生物施加灼烧debuff。,10,30,5,3,70,,,,,技能CD，技能距离，技能高度，技能扇形角度,
29,幽冥火,29,点击攻击键可喷出火焰，对前方生物施加灼烧debuff。,10,30,5,3,70,,,,,技能CD，技能距离，技能高度，技能扇形角度,
30,振翅,30,长按跳跃键可以在空中进行短距离飞行，下落过程不会掉血。,9,16,-24,2,15,9,20,0.1,,,
31,展翼,31,长按跳跃键可以在空中进行较长距离飞行，下落过程不会掉血。,9,16,-24,5,15,9,20,0.1,,,
32,暴龙咆哮,32,点击攻击键咆哮，对前方生物施加减速buff。,10,30,5,3,70,,,,,技能CD，技能距离，技能高度，技能扇形角度,
33,迅捷之翼,33,长按跳跃键可以在空中进行短距离飞行，下落过程不会掉血。,9,15,-8,0.8,10,7,18,0.1,,,
34,骨刺横扫,34,点击攻击键可甩动尾部，对后方扇形区域生物造成3点伤害。,10,10,4,5,180,10,,,,技能CD，技能距离，技能高度，技能扇形角度，技能伤害,
35,星光,35,向上发射星星进行照明，冷却时间15秒。,11,15,12300,60,,,,,,技能cd、投掷物id、发射角度,
36,月生,36,长按跳跃键可以在空中进行短距离飞行，下落过程不会掉血。,9,15,-24,4,15,9,20,0.1,,,
37,时间告急,37,向前急速奔跑一段时间。,8,6,1.5,30,1.5,,,,,cd时间，持续时间，加速速度，镜头抖动时间,
38,双骑,38,可以乘载两名乘客，带上你的小伙伴吧~,,,,,,,,,,,
39,踏雪行,39,可以踩着雪花在空中行走，下落过程不会掉血。,9,16,-24,2,15,9,20,0.1,,,
40,嘟嘟车冲啊,40,使用可以发出车喇叭的声音，车前灯闪烁。,8,8,3,2,1,0,,,,cd时间，持续时间，加速速度，镜头抖动时间，音效循环,
41,五谷丰登,41,使用后向四周投掷元宝、铜币。,8,8,3,2,1,0,,,,cd时间，持续时间，加速速度，镜头抖动时间，音效循环,
42,四人同行,42,可以乘载4名乘客，带上你的小伙伴吧。,6,4,,,,,,,,,
43,星河穿梭,44,可以在空中飞行一段距离，下落过程不会掉血。,9,16,-24,5,15,9,20,0.1,,,
44,鲸之浮岛,43,可以潜入水中遨游。,,,-1,30,,,,,,,
45,蛮牛之力震慑,45,长按跳跃键蓄满力，跳跃落地时对前方生物施加减速buff。,,5,5,,,,,,,格子数，减速时间（秒），,
46,蛮牛之力强击,46,长按跳跃键蓄满力，跳跃落地时可以短距离击退前方生物。,,5,3,,,,,,,格子数，击退距离，,
47,飞花,47,可以在空中飞行一段距离，下落过程不会掉血。,9,12,-25,3,12,8,15,0.07,,,
48,惊鸿,48,可以在空中飞行一段距离，下落过程不会掉血。,9,16,-24,5,15,9,20,0.1,,,
49,叶舞,49,使用身边会飘散叶片。,8,10,3,2,1,0,,,,cd时间，持续时间，加速速度，镜头抖动时间，音效循环,
50,日轮,50,使用获得一个可以吸收20伤害的护盾。,,20,30,,,,,,,防护盾生命值，冷却时间,
51,神光,51,使用使玩家伤害提升5%。,12,1011001,1012001,30,20,0,50,3,,"buffid1，buffid2,cd时间，buff持续时间，使用者，半径，效果远程近战",
52,魔法烟花,52,满足蓄力条件，跳跃落地时触发，坐骑周围会燃放烟花、播放音效。,,,,,,,,,,,
53,华丽烟花,53,满足蓄力条件，跳跃落地时触发，坐骑周围会燃放精致华丽的烟花、播放音效。,,,,,,,,,,,
54,冲锋,54,向前冲锋。,,3,5,4,0.2,,,,,cd时间，攻击点数，格子数，镜头抖动的时间,
55,冲击,55,向前冲锋，并且可以短距离击退前方生物。,,3,5,4,0.2,3,,,,cd时间，攻击点数，格子数，镜头抖动的时间，击退距离,
56,悬空,56,使用坐骑时，角色会离地悬空，同时自动播放螺旋桨旋转音效。,,,,,,,,,,,
57,贴地飞行,57,可在低空飞行一段距离，下落过程按住跳跃键不会掉血。,,16,-10,0,0,330,6,1.5,,上升速度，下降速度，无，无，离起飞点高度，蓄力值恢复速度，蓄力值消耗速度,
58,离地飞行,58,可在低空飞行更长一段距离，下落过程按住跳跃键不会掉血。,,16,-10,0,0,430,6,1,,上升速度，下降速度，无，无，离起飞点高度，蓄力值恢复速度，蓄力值消耗速度,
59,浮光掠羽,59,使用后可召唤出3只小天鹅的虚影特效在坐骑周围绕圈游动。,,10,,,,,,,,cd时间,
60,天鹅湖,60,可以潜入水中遨游。,,,-1,30,,,,,,,
61,曦光飞行,61,可以在空中飞行一段距离，下落过程不会掉血。,,16,-24,5,15,9,20,0.1,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
62,超能光波,62,战机在移动时，会自动发射炫酷的光波。,,,,,,,,,,,
63,毁灭射线,63,战机在移动时，会自动发射炫酷的金红色光波。,,,,,,,,,,,
64,神圣光波,64,战机在移动时，会自动发射炫酷的光波。,,,,,,,,,,,
65,净化射线,65,战机在移动时，会自动发射炫酷的银紫色光波。,,,,,,,,,,,
66,凌云,66,可以漂浮在空中进行短距离移动，下落过程不会掉血。,,16,-24,2,15,9,20,0.1,,,
67,破空,67,可以在空中飞行一段距离，下落过程不会掉血。,,16,-24,5,15,9,20,0.1,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
68,时空跳跃,68,使用时空跳跃技能后，出现在所指方向的15格距离之外。,,8,1,15,,,,,,cd时间，技能前摇，闪现距离,
69,旋风,69,使用后在车后方产生一个小型龙卷风跟随。,,10,,,,,,,,cd时间,
70,魔法泡泡,70,周身会出现很多泡泡围绕。,,10,,,,,,,,cd时间,
71,风之翼,71,可以在空中飞行一段距离，下落过程不会掉血。,,16,-24,5,15,9,20,0.1,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
72,魔法水流,72,周身会出现蓝色水流围绕。,,10,,,,,,,,cd时间,
73,神奇眼泪,73,可以形成一个能量盾。,,50,25,,,,,,,生命值，冷却时间s,
74,红芒,74,周身出现持续环绕的红色光芒。,,,,,,,,,,,
75,金光,75,周身出现持续环绕的金色光芒。,,,,,,,,,,,
76,蓝辉,76,周身出现持续环绕的蓝色光芒。,,,,,,,,,,,
77,落英,77,周身有小花飘落。,,,,,,,,,,,
78,蝶绕,78,周身出现蝴蝶和花朵围绕。,,,,,,,,,,,
79,飞花,79,周身有粉色花瓣和花朵飞落。,,,,,,,,,,,
80,扬帆,80,点击跳跃键可以加速20%，持续10秒。,,220001,30,,,,,,,buff id，cd时间（30s）,
81,初级召唤,81,点击跳跃键会出现1个小灯神跟随。,,10,5,,,,,,,cd时间、持续时间,
82,中级召唤,82,点击跳跃键会出现1个星灵灯神跟随。,,10,5,,,,,,,cd时间、持续时间,
83,高级召唤,83,点击跳跃键会出现1个明珠灯神跟随。,,10,5,,,,,,,cd时间、持续时间,
84,神隐,84,点击跳跃键后在半空中再点击一次跳跃键可以进入隐身状态。,,15,3,,,,,,,cd时间，持续时间,
85,化灵,85,周身会出现金色小齿轮。,,,,,,,,,,,
86,紫电,86,周身会出现紫色闪电。,,,,,,,,,,,
87,狂风,87,长按跳跃键蓄力可以召唤龙卷风吹飞前方的生物。,,230001,10,5,2,2,,,,buff id，cd时间（10s），技能距离，技能宽度，技能高度,
88,扶摇,88,点击跳跃键后在半空中再点击一次跳跃键可以盘旋飞上天空。,,20,-17,5,15,9,20,0.1,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
89,音浪,89,周身带有镭射光效。,,,,,,,,,,,
90,电音,90,周身带有炫彩闪电。,,,,,,,,,,,
91,节奏摇摆,91,长按跳跃键可以给自己和一定范围内的队友增加生命值。,,5,4,20,240001,,,,,半径、高度、cd、buff id,
92,巨星驾到,92,长按跳跃键可以增加一定范围内友方的生命值，并且减少范围内怪物的生命值。,,5,4,20,240001,250001,,,,半径、高度、cd、buff id、debuff id,
93,花飞,93,周身有花瓣飞舞。,,,,,,,,,,,
94,浮云,94,长按跳跃键可以在空中飞行一段距离。,,16,-24,5,15,9,20,0.1,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
95,玲珑,95,可以在水面上行走。,,,,,,,,,,,
96,清风,96,周身有花瓣飞舞。,,,,,,,,,,,
97,舞扇,97,周身有花瓣飞舞。,,,,,,,,,,,
98,摇曳,98,长按跳跃键可以在空中飞行一段距离。,,16,-24,5,15,9,20,0.1,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
99,迷醉幻象,99,点击使用键可以发动幻象法阵，法阵中的怪物会陷入昏迷。,,8,4,25,230002,3,,,,半径、高度、cd、buff id、技能中心位置（3格）,
100,福从天降,100,点击使用键空中会掉落肉骨头。,,15,,,,,,,,cd,
101,蓝焰,101,后方喷射出蓝色火焰。,,,,,,,,,,,
102,龙焰,102,身上环绕着橙红火焰。,,,,,,,,,,,
103,帝皇炮,103,朝目标位置发射异能量炮，对击中的怪物造成伤害。,,20,0.8,12308,250,85,0.1,,,cd时间，力量(决定发射速度)，物品id（子弹），初始位置往前的偏移，初始位置向上的偏移，镜头抖动的时间,
104,战龙翱翔,104,点击跳跃键后在半空中再点击一次跳跃键可以飞行升空，在空中可以自由翱翔。,,30,18,-24,15,9,20,0.1,,cd（30s），上升速度，下降速度，前进加速，后退减速，转向速度比例（0-1，数值越小转向越慢）,
105,祥瑞,105,周身有金色光点和小元宝。,,,,,,,,,,,
106,瑞兽,106,周身有升腾的云雾，且有光芒和金币在周围飘落。,,,,,,,,,,,
107,虎跃,107,向前飞扑，对击中的怪物造成伤害。,,15,10,3,2,,,,,cd时间，攻击点数，格子数，技能范围半径,
108,虎啸山林,108,长按跳跃键可以发出怒吼，对一定范围内的怪物造成伤害。,,10,20,270001,,,,,,技能范围半径（10），cd（20s），buff id,
109,流星,109,周身飘散着粉色星星和蓝色星星。,,,,,,,,,,,
110,月华,110,周身飘散着白色花朵和黄色荧光。,,,,,,,,,,,
111,祈愿,111,周身飘散着粉色爱心和蓝色荧光。,,,,,,,,,,,
112,飞羽,112,长按跳跃键可以在空中飞行一段距离。,,16,-24,5,15,9,20,0.1,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
113,天佑,113,受到致命伤害时会获得庇佑并增加生命值。,,30,20,40,,,,,,cd时间，触发技能最低生命值，治疗生命值,
114,风动,114,周身飘落竹叶和流云。,,,,,,,,,,,
115,绘影,115,周身会浮现江山虚影。,,,,,,,,,,,
116,自在逍遥,116,受到伤害时会增加移动速度。,,15,220001,,,,,,,cd时间，buff id,
117,千里江山,117,点击使用键可以召唤群山对前方的怪物造成伤害。,,20,250001,9,8,4,,,,cd时间，buff id，中心点距离，技能范围半径，高度,
118,星影,118,周身环绕闪烁的粒子。,,,,,,,,,,,
119,圣辉,119,周身环绕变换的光芒。,,,,,,,,,,,
120,卜梦,120,长按跳跃键可以施展魔法随机获得一个增益效果。,,20,220001.31,240001.31,1013001.31,1007001.07,,,,cd（20s），buff1 id_权重（220001_31），buff2 id_权重（240001_31），buff3 id_权重（1013001_31），buff4 id_权重（1007001_7）,
121,帝道,121,剑穗会形成具象火焰。,,,,,,,,,,,
122,圣道,122,周身带有流光火焰。,,,,,,,,,,,
123,御剑飞行,123,长按跳跃键可以在空中飞行一段距离。,,16,-24,5,15,9,20,0.1,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
124,御剑双飞,124,可以与小伙伴一起乘坐，双人御剑还可以增加移动速度。,,220002,,,,,,,,buff id,
125,泡泡浴,125,周身漂浮着泡泡。,,,,,,,,,,,
126,音符泡泡浴,126,周身有泡泡和音符飞舞。,,,,,,,,,,,
127,梦游,127,可以漂浮在水面上。,,,,,,,,,,,
128,漂浮泡泡,128,长按跳跃键可以让身边的怪物被泡泡包裹漂浮在空中。,,8,4,2000001,20,,,,,范围半径（8），范围高度（4），buff id，cd（20s）,
129,卖萌,129,周身飘散着许多爱心。,,,,,,,,,,,
130,浮梦,130,周身会洒落赤色彼岸花。,,,,,,,,,,,
131,轻灵,131,点击跳跃键后在空中再点击一次跳跃键可以二段跳。,,160,,,,,,,,跳跃高度（160）,
132,千幻,132,长按跳跃键可以让附近的怪物陷入幻境中互相攻击。,,8,4,20,,,,,,范围半径（8），范围高度（4），cd（20s）,
133,兜风,133,周身飘散着喵咪脚印。,,,,,,,,,,,
134,飞沙,134,周身飘散着沙粒。,,,,,,,,,,,
135,踏沙,135,乘坐后可以降低沙尘暴的伤害。,,0.6,,,,,,,,减伤比例（0.6）,
136,似锦,136,周身飘散着白色的翎羽。,,,,,,,,,,,
137,浮翠,137,周身飘散着绿色的翎羽。,,,,,,,,,,,
138,琳琅,138,周身飘散着华丽的翎羽。,,,,,,,,,,,
139,徘徊,139,长按跳跃键可以在空中飞行一段距离。,,16,-24,5,15,9,20,0.1,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
140,雀之灵,140,乘坐后视野亮度大幅提升，在黑夜也能看清身边的环境。,,50,10,,,,,,,视野亮度提升值,环境光照条件
141,流沙,141,周身环绕着流淌出的金沙流心馅。,,,,,,,,,,,
142,灵樨,142,周身飘散着金色桂花。,,,,,,,,,,,
143,浮月,143,可以漂浮在水面上。,,5,,,,,,,,漂浮高度,
144,打糕,144,长按跳跃键可以随机生成一种食物道具。,,12530.1,12531.1,12551.1,12552.1,12553.1,12554.1,20,,道具id，道具数量，cd,
145,忘忧,145,周身环绕着粉色铃兰花和点点光影,,,,,,,,,,,
146,无忧,146,周身环绕着粉色铃兰花、点点光影和蝴蝶,,,,,,,,,,,
147,风铃,147,长按跳跃键可以在空中飞行一段距离。,,16,-24,5,15,9,20,0.1,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
148,香浮,148,有超快的移动速度。,,,,,,,,,,,
149,滑行,149,周身会有枫叶和光线随风而动。,,,,,,,,,,,
150,动力加速,150,长按跳跃键可以向前冲刺一段距离。,,2,20,,,,,,,冲刺距离倍数（2），技能cd（20）,
151,飞行员,151,双击跳跃键可持续低空飞行，但是不能在水面和岩浆上飞行，再次双击跳跃键可降落。,,4,,,,,,,,飞行高度（5）,
152,猪猪反击,152,受到连续攻击时会将敌方的攻击伤害返还给敌方。,,180,,,,,,,,重置cd（180）,
153,烛光,153,周身飘散着光点。,,,,,,,,,,,
154,飞跃,154,长按跳跃键可以蓄力跳跃更高。,,2.5,,,,,,,,跳跃高度倍数（2.5）,
155,兔兔重击,155,在空中点击跳跃键可以快速落地破坏地面上的方块。,,10,,,,,,,,cd（10s）,
156,柔情,156,周身环绕着星星光影和花瓣。,,,,,,,,,,,
157,粉漾,157,周身环绕着星星光影、花瓣和浅粉色光带。,,,,,,,,,,,
158,游转幻境,158,长按跳跃键可以在空中飞行一段距离。,,18,-24,5,15,9,20,0.1,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
159,造梦空间,159,在两个位置分别点击使用键可以设置双向传送阵。,,50,180,4,30,,,,,传送门范围上限（50），传送门生效时间（180s），传送次数上限（4），cd时间（30s）,
160,飘雪,160,周身环绕着蓝色光芒和小雪花。,,,,,,,,,,,
161,寒冰领域,161,进入周边的怪物会被减速。,,8,,,,,,,,,
162,绝对零度,162,长按跳跃键可以冰冻附近的怪物。,,8,2001002,20,,,,,,范围半径（8），buffid（2001002），cd（15）,
163,变形车出动,163,周身飘散着火焰，身后会飘散尾气。,,,,,,,,,,,
164,许愿,164,周身环绕着小星星。,,,,,,,,,,,
165,惊喜,165,长按跳跃键可以向前瞬移一段距离。,,10,15,,,,,,,移动的距离（6），技能cd（15）,
166,双骑,166,可以与小伙伴一起乘坐。,,,,,,,,,,,
167,咕噜,167,周身环绕着各种小小咕噜兽光点。,,,,,,,,,,,
168,奇迹能量,168,长按跳跃键可以随机生成一个生物蛋。,,13400.1,13401.1,13402.1,13403.1,13409.1,13421.1,15,,道具id，道具数量，cd,
169,扑腾一下,169,双击跳跃键可持续低空飞行，但是不能在水面和岩浆上飞行，再次双击跳跃键可降落。,,4,,,,,,,,飞行高度（4）,
170,粽香,170,周身飘散着精致小粽子。,,,,,,,,,,,
171,扬帆,171,可以漂浮在水面上。,,,,,,,,,,,
172,海钓,172,在水面上长按跳跃键可以丢出粽子并获得一只海洋生物。,,13607.1,13608.1,13609.1,13621.1,13627.1,13630.1,15,,道具id，道具数量，cd,
173,云烟,173,周身笼罩着缥缈的云烟。,,,,,,,,,,,
174,山中景,174,召唤坐骑可以提升挖掘速度。,,2005001,,,,,,,,buff id,
175,水月花,175,长按跳跃键可以随机召唤一个生物，该生物会主动攻击附近的怪物。,,3822,3828,3411,3809,8,30,40,,生物id（3105.3109.3132.3809），范围半径（8），生物存在时间（30s），cd时间（50s）,
176,甜梦,176,周身笼罩着糖果、粒子和爱心。,,,,,,,,,,,
177,幻想,177,随着玩家生命值减少，玩家的攻击力会逐渐增加。,,20,40,60,80,90,2006,2007,,buff间隔的血量区间，buffid 2006001-2006005 和 2007001-2007005,
178,玩偶派对,178,长按跳跃键可以召唤欢乐小熊，让玩家和坐骑都保持合适的体温。,,2008001,30,,,,,,,buffid，技能cd(10s),
179,奔腾,179,脚上笼罩着蓝色气焰。,,,,,,,,,,,
180,星环,180,身上有紫色光环转动。,,,,,,,,,,,
181,音律,181,周身环绕着跳动的音符。,,,,,,,,,,,
182,逐月之音,182,周身有跳动的紫金音符伴随着星月环绕。,,,,,,,,,,,
183,乐音,183,双击跳跃键可以加速并恢复生命值持续一段时间。,,220001,2010001,,,,,,,加速buffid（220001），回血buffid（2010001）,
184,星穹之乐,184,长按跳跃键可以让附近的怪物眩晕。,,8,4,25,2011001,,,,,技能作用半径（8格）、技能作用高度（4格），cd时间（25s），buff id（2011001）,
185,碧叶,185,周身环绕着绿叶。,,,,,,,,,,,
186,绿茵庇护,186,周身环绕着绿色能量及鲜花绿叶。,,,,,,,,,,,
187,森之祝福,187,双击跳跃键可以恢复生命值持续一段时间。,,2010002,15,,,,,,,回血buffid（2010002），cd（15）,
188,自然共鸣,188,长按跳跃键可以对附近的怪物造成伤害。,,8,4,25,250001,,,,,技能作用半径（8格）、技能作用高度（4格），cd时间（25s），buff id（250001）,
189,奇光,189,周身闪烁着光点。,,,,,,,,,,,
190,海缎舞者,190,周身闪烁着海洋生物的光影。,,,,,,,,,,,
191,珊瑚屏障,191,双击跳跃键可以获得一个抵御伤害的护盾。,,2012001,15,,,,,,,护盾buffid（2012001），cd（15）,
192,潮汐之怒,192,长按跳跃键可以涌出浪花将附近的怪物击退。,,8,4,5,4,5,,,,技能作用半径（8格）、技能作用高度（4格），cd时间（20s），击退距离（4），伤害（10）,
193,鲤灯,193,周身散发着亮光。,,,,,,,,,,,
194,游灯鲤舞,194,周身闪飘散着小锦鲤与光点。,,,,,,,,,,,
195,锦福屏幕,195,双击跳跃键可获得一个护盾，抵御部分伤害。,,2012001,15,,,,,,,护盾buffid（2012001），cd（15）,
196,富锦祥舞,196,长按跳跃键可释放锦鲤之力，恢复一定的生命值。,,2010001,15,,,,,,,buffif（2010001），cd时间（15s）,
197,梦幻,197,周身闪烁着光点。,,,,,,,,,,,
198,童梦旋舞,198,周身环绕着翩翩起舞的童话小马。,,,,,,,,,,,
199,星光驰骋,199,双击跳跃键可获短暂加速效果。,,220001,15,,,,,,,加速buffid（220001），cd（15）,
200,旋律共振,200,长按跳跃键可释放童话旋律，使周围的怪物陷入短暂昏迷状态。,,8,4,25,2011001,,,,,技能作用半径（8格）、技能作用高度（4格），cd时间（25s），buff id（2011001）,
201,一骑绝尘,201,周身飘散着尘土。,,,,,,,,,,,
202,糖果攻击,202,向四周投掷棒棒糖。,,,,,,,,,,,
203,虚幻之影,203,周身飘散着平底锅虚影。,,,,,,,,,,,
