id(给翻译用的字段，使用tobiome的gm指令时，id-1000就是地形id了),名字,备注,中文名,最低高度（区间-2到2，2=对比值128）,梯度（0到2）,温度(0-100 影响植物生长和天气变化),湿度[0-100 影响植物生长],填充块,填充深度(从顶层开始算）,顶层块,草颜色,水颜色偏色,水下雾效颜色,水下雾效颜色变化深度（跟左边字段必须数量对应）,天空盒类型:0 默认基础晴天。 1：草原森林类  2：沙漠类  3：冰原类 4： 沼泽湿地类， 5： 火山类,是否可以下雨,是否可以下雪,晴天系数,雨天系数,雷暴系数,树生成次数/每区块,星站建筑,简易罐子,陶土罐子,彩陶罐子,野生玉米,荆棘草,风铃花,若兰,星辰花,龙血花,风信子,龙爪草,龙血树,白椰花,黄钟花,野蔷薇,冬温花,庇佑雪莲,巨布鲁果,巨鳞羽果,枯草,土笋,水草,海带,浮萍,荷叶,红藻,宝石花珊瑚2,宝石花珊瑚3,宝石花珊瑚4,宝石花珊瑚5,宝石花珊瑚6,宝石花珊瑚7,独葵,荧光彩虹草,仙人掌,红色龙舌兰,粉色龙舌兰,橙色龙舌兰,灰色龙舌兰,草(%几率选择1个区块256格*128方块尝试）,炽晶,鸡窝,落花堆,灌木丛,散落的石块,棉花,荧光棒藻,无球锯齿蕨,菠萝,彼岸花,白化角珊瑚,白化气泡珊瑚,白化圆盘珊瑚,白化树珊瑚,随机白化珊瑚,角珊瑚,气泡珊瑚,圆盘珊瑚,树珊瑚,随机活珊瑚,巨型扇贝,枯灌木丛,世界ID,环境温度（白天（8~20点）/黑夜的温度）,气候组（枚举在biomegroupdef）
id,TypeName,,Name,MinHeight,MaxHeight,Heat,Humid,FillBlock,FillDepth,TopBlock,GrassColor,WaterColor,WaterFogColor,WaterFogDepth,skyboxType,EnableRain,EnableSnow,ClearModulus,RainModulus,ThunderModulus,ChunkTrees,ChunkStarStation,ChunkJar737,ChunkJar738,ChunkJar739,ChunkGrass243,ChunkGrass238,ChunkFlowers300,ChunkFlowers301,ChunkFlowers302,ChunkFlowers303,ChunkFlowers304,ChunkFlowers305,ChunkFlowers306,ChunkFlowers311,ChunkFlowers312,ChunkFlowers313,ChunkFlowers761,ChunkFlowers764,ChunkPumpkin,ChunkWatermelon,ChunkDeadBush,ChunkMushroom,ChunkSeaPlants245,ChunkSeaPlants246,ChunkDuckweed,ChunkWaterlily,ChunkCorals314,ChunkCorals315,ChunkCorals316,ChunkCorals317,ChunkCorals318,ChunkCorals319,ChunkCorals320,ChunkReeds,ChunkRainbowGrass,ChunkCactus,ChunkFlowers307,ChunkFlowers310,ChunkFlowers308,ChunkFlowers309,ChunkGrass224,ChunkCrystal,ChunkNest,ChunkPile,ChunkBush,ChunkGrass110,ChunkCotton,ChunkSeaPlants495,ChunkJaggedFern287,ChunkPineapple1187,ChunkShoreflower1186,ChunkNewCorals487,ChunkNewCorals489,ChunkNewCorals491,ChunkNewCorals493,ChunkRandomDeadCorals,ChunkNewCorals486,ChunkNewCorals488,ChunkNewCorals490,ChunkNewCorals492,ChunkRandomCorals,ChunkGiantScallops346,ChunkDeadThicket763,MapId,Temperature,BiomeGroupID
-1,Times,,尝试生成次数,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,1,6,5,8,4,2,6,5,5,5,5,5,5,6,5,6,6,6,8,6,1,3,4,7,1,1,5,0,0,0,0,0,0,8,0,3,5,5,5,5,100,2,4,0,,30,5,10,5,3,3,3,3,3,3,1,5,5,5,5,5,2,4,,,
1057,ICE_PLAINS_HIGHEST_PEAK,迷拉星-冰原-雪山主峰,雪山主峰,0.1,0.1,10,20,122,5,122,9DC2AB,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,3,0,1,,,,0,0,10,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,,,-7|-9,5
1058,ICE_PLAINS_SECOND_PEAK,迷拉星-冰原-雪山副峰,雪山副峰,-0.4,0.1,10,20,122,4,122,9DC2AB,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,3,0,1,,,,0,0,10,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,100,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,50,,-7|-9,5
1059,ICE_PLAINS_MOUNTAIN,迷拉星-冰原-雪山山脉,雪山山脉,0.1,0.1,10,20,120,3,122,9DC2AB,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,3,0,1,,,,25,0,10,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,50,,-7|-9,5
1060,ICE_PLAINS_MOUTAINSIDE,迷拉星-冰原-雪山中部,雪山中部,0.1,0.1,10,20,122,3,122,9DC2AB,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,3,0,1,,,,30,0,10,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,50,,-7|-9,5
1061,ICE_PLAINS_PEAK_PLAIN,迷拉星-冰原-雪山底部,雪山底部,0.3,0.13,10,20,120,3,120,9DC2AB,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,3,0,1,,,,80,0,10,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,50,,-5|-6,4
1062,ICE_PLAINS_SECOND_MOUTAINSIDE,迷拉星-冰原-雪山中部,副峰雪山中部,0.1,0.1,10,20,122,3,122,9DC2AB,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,3,0,1,,,,30,0,10,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,50,,-7|-9,5
1063,ICE_PLAINS_FRIZEB_LAKE,迷拉星-冰原-冻湖,冻湖,-0.5,0,35,50,120,3,120,9DC2AB,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,3,0,1,2,0.6,0.35,-100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,,50,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,10,,-5|-6,4
1010,FROZEN_RIVER,迷拉星-冻河,冻河,-0.5,0,35,50,29,3,29,9DC2AB,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,3,0,1,2,0.6,0.35,-100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,,50,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,,,-5|-6,4
1016,ICE_MOUNTAINS,迷拉星-冰山,冰山,0.3,1.3,10,40,123,3,,9DC2AB,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,3,0,1,2,0.6,0.35,-100,4,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,5,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,,,-5|-6,4
1012,REDSOIL_SHORE,迷拉星-红土海岸,红土海岸,-1,0.1,70,80,29,3,233,527b1b,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,1,0,2,0.6,0.35,-100,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,0,0,0,,50,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,,,2|2,2
1019,BEACH,迷拉星-陆地-沙滩,沙滩,0.1,0.1,70,40,29,3,29,527b1b,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,1,0,2,0.6,0.35,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,,30,-1,0,0,0,30,0,0,0,0,,0,0,0,0,,30,,,2|2,2
1013,DESERT_HILLS,迷拉星-沙漠山丘,沙漠山丘,0.3,0.8,80,20,29,3,29,527b1b,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,2,0,1,2,0.6,0,-1,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,,15,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,,,4|-4,3
1014,FOREST_HILLS,迷拉星-森林山丘,森林山丘,0.3,0.7,87,50,101,3,100,228B22,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,1,1,2,0.6,0.35,100,4,100,0,0,200,100,0,0,0,0,300,0,0,0,0,0,0,0,150,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,10,0,,50,15,0,0,0,,0,0,0,0,,0,0,0,0,,,,,2|0,1
1015,TAIGA_HILLS,迷拉星-针叶林山丘,针叶林山丘,0.3,0.8,35,30,101,3,100,68A59C,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,0,1,2,0.6,0.35,400,0,100,0,0,200,100,0,0,0,0,300,0,0,200,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,,50,15,0,0,0,,0,0,0,0,,0,0,0,0,,,,,0|-2,4
1020,EXTREMEHILLS_EDGE,迷拉星-峭壁边缘,峭壁边缘,0.2,0.8,60,30,104,3,104,F5F5DC,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,1,1,2,0.6,0.35,50,0,100,0,0,0,100,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,2000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,50,0,0,0,,30,15,0,0,0,,0,0,0,0,,0,0,0,0,,,,,0|-2,1
1017,JUNGLE_HILLS,迷拉星-丛林山丘,丛林山丘,1.8,0.5,60,70,101,3,100,ffa838,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,1,0,1.5,0.6,0.35,150,0,100,0,0,200,100,0,0,0,0,400,0,0,0,300,300,0,0,150,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,50,15,0,0,0,,0,0,0,0,,0,0,0,0,,,,,2|0,1
1039,RAINFOREST,迷拉星-雨林,雨林,0.1,0.3,75,60,101,3,100,1e5d1c,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,1,0,1.5,0.6,0.35,1900,4,100,0,0,0,200,0,0,0,0,0,0,300,0,0,0,0,0,0,400,0,3000,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,500,0,50,0,500,30,20,0,0,0,,0,0,0,0,,0,0,0,0,,,,,2|0,7
1021,Earthcore,烈焰星-地心副本,熔岩之地,,,100,0,,3,,527b1b,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,0,0,,,,,10,100,0,200,,,,,,,,,,,,,,,,,500,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,5000,0,0,,,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,,,9|9,0
1022,AIR_ISLAND,迷拉星-空岛,空岛,0.1,0.3,62,62,101,3,100,c0e917,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,1,0,1.5,1,0.35,600,4,100,0,0,100,5,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,100,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,10,0,,50,5,0,0,0,,0,0,0,0,,0,0,0,0,,,,,0|0,1
1023,BASIN,迷拉星-盆地,盆地,0.1,0.4,70,40,101,3,100,5ca01b,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,1,1,1.5,0.7,0.25,600,4,100,0,0,500,200,0,0,0,200,0,0,0,0,150,0,0,0,0,0,100,2000,0,0,10000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,10,200,,30,20,0,0,0,,0,0,0,0,,0,0,0,0,,,,,2|0,1
1024,BASIN_EDGE,迷拉星-盆地边缘,盆地边缘,0.9,1.2,35,40,101,3,100,61a80f,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,0,1,1.5,0.7,0.25,1500,0,100,0,0,250,50,0,0,0,200,0,0,0,0,150,0,0,0,150,0,0,2000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,,30,20,0,0,0,,0,0,0,0,,0,0,0,0,,,,,2|0,1
1025,BASIN_BAMBOO,迷拉星-竹林盆地,竹林盆地,0.1,0.4,70,40,101,3,100,558b00,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,1,1,1.5,0.7,0.25,600,0,100,0,0,500,200,0,0,0,300,0,0,0,0,300,0,0,0,0,0,100,2000,0,0,10000,3000,0,0,0,0,0,0,0,0,0,0,0,0,400,0,400,0,10,200,,50,20,0,0,0,,0,0,0,0,,0,0,0,0,,,,,2|0,1
1026,BASIN_PEACH,迷拉星-桃树盆地,桃树盆地,0.2,0.5,70,40,101,3,100,5b9700,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,1,1,1.5,0.7,0.25,400,4,100,0,0,500,100,300,0,0,300,0,0,0,0,150,0,0,0,0,0,0,2000,0,0,10000,3000,0,0,0,0,0,0,0,0,0,0,0,400,0,0,700,0,10,400,,30,20,0,0,0,,0,0,0,0,,0,0,0,0,,,,,2|0,1
1027,BIOME_PLANET_SAPCE,萌眼星-星球地表,平原,-1.3,0.3,95,12,116,3,116,fffaeb,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,0,0,,,,750,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,-1,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,,2,0|0,0
1028,BIOME_PLANET_SAPCE_HILLS,萌眼星-星球地表山丘,山丘,-1,0.5,95,12,116,3,116,b665e5,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,0,0,,,,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,-1,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,,2,0|0,0
1029,BIOME_PLANET_SAPCE_SUB1,萌眼星-星球地表-祭坛平原区,祭坛平原,-1.7,0.2,95,12,116,3,116,b665e5,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,0,0,,,,750,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,-1,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,,2,0|0,0
1030,BIOME_PLANET_SAPCE_SUB2,萌眼星-星球地表-高山,高山,-0.5,0.5,95,12,116,3,116,ff5d57,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,0,0,,,,0,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,-1,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,,2,0|0,0
1031,BIOME_PLANET_SAPCE_SUB3,萌眼星-星球地表-丘陵,丘陵,-1.2,1,95,12,116,3,116,55a3de,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,0,0,,,,750,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,-1,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,,2,0|0,0
1032,BIOME_PLANET_SAPCE_AIRLANDS_BASE,萌眼星-星球空岛占位,星球空岛,-1.8,0.6,95,12,116,3,116,b2a889,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,0,0,,,,750,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,-1,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,,2,0|0,0
1033,BIOME_PLANET_SAPCE_AIRLANDS,萌眼星-星球空岛,星球空岛,-1.8,0.9,95,12,116,3,117,b2a889,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,0,0,,,,750,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,-1,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,,2,0|0,0
1034,BIOME_PLANET_SAPCE_AIRLANDS_SUB1,萌眼星-星球空岛子地形1,星球空岛,-1.8,1.5,95,12,116,3,117,b2a889,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,0,0,,,,750,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,-1,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,,2,0|0,0
