交易ID,商人类型（0家园四个商人的商店，1神秘商人，2家园商店家园家具，3家园商店建筑图纸，4家园建造方块）,交易类型（0购买，1出售，相对玩家来说的）,分类（填道具的类型，跟HomeTabDef的SecondTab1_TypeID系列字段对应）,道具id,道具名称（仅备注用）,价格类型（0免费，1迷你币，2家园币，3迷你豆，4迷你点，5道具）,花费道具ID,价格,数量限制,随机权重,开启版本号（例如：0.49.0）
44,0,1,5003,62417,粉色龙舌兰,2,,324,,100,0.52.0
45,0,1,5003,62418,龙血花,2,,324,,100,0.52.0
46,0,1,5003,62419,野蔷薇,2,,324,,100,0.52.0
47,0,1,5003,62420,小白菊,2,,172,,100,0.52.0
48,0,1,5003,62421,食用小蘑菇,2,,172,,100,0.52.0
49,0,1,5003,62422,食用小红菇,2,,172,,100,0.52.0
50,0,1,5003,62423,西瓜,2,,172,,100,0.52.0
51,0,1,5003,62424,果木,2,,324,,100,0.52.0
52,0,1,5003,62425,松木,2,,324,,100,0.52.0
53,0,1,5003,62426,杨木,2,,324,,100,0.52.0
56,0,1,5003,62429,胡桃木,2,,324,,100,0.52.0
57,0,1,5003,62430,水稻,2,,172,,100,0.52.0
58,0,1,5003,62431,麦子,2,,1,,100,0.52.0
59,0,1,5003,62432,土豆,2,,172,,100,0.52.0
60,0,1,5003,62433,南瓜,2,,172,,100,0.52.0
61,0,1,5003,62434,甘蔗,2,,172,,100,0.52.0
62,0,1,5003,62435,满的蜂巢,2,,8,,100,0.52.0
63,0,1,5005,62901,鸡腿,2,,38,,100,0.52.0
64,0,1,5005,62902,牛肉,2,,810,,100,0.52.0
65,0,1,5005,62903,羊排,2,,810,,100,0.52.0
66,0,1,5005,62904,墩墩肉,2,,428,,100,0.52.0
67,0,1,5005,62905,冰晶,2,,810,,100,0.52.0
68,0,1,5005,62906,鸡蛋,2,,38,,100,0.52.0
69,0,1,5005,62907,飞羽,2,,38,,100,0.52.0
70,0,1,5005,62908,生牛奶,2,,810,,100,0.52.0
71,0,1,5005,62909,羊毛,2,,810,,100,0.52.0
72,0,1,5005,62910,养殖产物10,2,,0,,100,0.52.0
73,1,1,5003,62401,咖啡豆,2,,172,10,100,0.52.0
74,1,1,5003,62402,球球豆,2,,172,10,100,0.52.0
75,1,1,5003,62403,氧气果,2,,172,10,100,0.52.0
76,1,1,5003,62404,茶叶,2,,8,10,100,0.52.0
77,1,1,5003,62405,香蕉,2,,172,10,100,0.52.0
78,1,1,5003,62406,芒果,2,,172,10,100,0.52.0
79,1,1,5003,62407,梨子,2,,172,10,100,0.52.0
80,1,1,5003,62408,柑橘,2,,172,10,100,0.52.0
81,1,1,5003,62409,桃子,2,,172,10,100,0.52.0
82,1,1,5003,62410,棉花,2,,172,10,100,0.52.0
83,1,1,5003,62411,辣椒,2,,172,10,100,0.52.0
84,1,1,5003,62412,胡萝卜,2,,8,10,100,0.52.0
85,1,1,5003,62413,向阳花,2,,8,10,100,0.52.0
86,1,1,5003,62414,红色龙舌兰,2,,324,10,100,0.52.0
87,1,1,5003,62415,橙色龙舌兰,2,,324,10,100,0.52.0
88,1,1,5003,62416,灰色龙舌兰,2,,324,10,100,0.52.0
89,1,1,5003,62417,粉色龙舌兰,2,,324,10,100,0.52.0
90,1,1,5003,62418,龙血花,2,,324,10,100,0.52.0
91,1,1,5003,62419,野蔷薇,2,,324,10,100,0.52.0
92,1,1,5003,62420,小白菊,2,,172,10,100,0.52.0
93,1,1,5003,62421,食用小蘑菇,2,,172,10,100,0.52.0
94,2,0,1001,1691,欧式床,2,,5000,10,100,0.52.0
95,2,0,1001,1692,欧式沙发,2,,10000,10,100,0.52.0
96,2,0,1001,1693,欧式书桌,2,,4000,10,100,0.52.0
97,2,0,1001,1694,欧式餐桌,2,,5000,10,100,0.52.0
98,2,0,1001,1695,欧式茶几,2,,5000,10,100,0.52.0
99,2,0,1001,1696,欧式洗手台,2,,3000,10,100,0.52.0
100,2,0,1001,1697,欧式椅子,2,,2000,10,100,0.52.0
101,2,0,1001,1698,欧式马桶,2,,6000,10,100,0.52.0
102,2,0,1001,1699,欧式浴缸,2,,7000,10,100,0.52.0
103,2,0,1001,1700,欧式衣柜,2,,3000,10,100,0.52.0
104,2,0,1001,1701,欧式橱柜,2,,5000,10,100,0.52.0
105,2,0,1001,1702,欧式半格橱柜,2,,2500,10,100,0.52.0
106,2,0,1001,1703,欧式组合柜,2,,11000,10,100,0.52.0
107,2,0,1001,1704,欧式屏风,2,,15000,10,100,0.52.0
108,2,0,1001,1705,欧式立体灯,2,,9000,10,100,0.52.0
109,2,0,1001,1706,欧式吊灯,2,,9000,10,100,0.52.0
110,2,0,1001,1707,欧式壁灯,2,,9000,10,100,0.52.0
111,2,0,1004,1670,花瓶1,2,,1000,10,100,0.52.0
112,2,0,1004,1671,花瓶2,2,,1500,10,100,0.52.0
113,2,0,1004,1672,地毯,2,,30000,10,100,0.52.0
114,2,0,1004,1673,水墨画,2,,50000,10,100,0.52.0
115,2,0,1004,1674,装饰画,2,,50000,10,100,0.52.0
116,2,0,1004,1675,挂饰1,2,,17800,10,100,0.52.0
117,2,0,1004,1676,挂饰2,2,,18800,10,100,0.52.0
118,2,0,1004,1677,书柜,2,,30000,10,100,0.52.0
119,2,0,1003,1400,音乐盒,3,,3000,10,100,0.52.0
120,2,0,1003,1402,重力装置,3,,2500,10,100,0.52.0
121,2,0,1003,1403,天气控制器,3,,2000,10,100,0.52.0
122,2,0,1003,1404,家园工作台,3,,1500,10,100,0.52.0
123,2,0,1003,1451,荣誉架,3,,5000,10,100,0.52.0
124,3,0,2001,50001,蓝图1,2,,5000,10,100,0.52.0
125,3,0,2001,50002,蓝图2,2,,10000,10,100,0.52.0
126,3,0,2001,50003,蓝图3,2,,11000,10,100,0.52.0
127,3,0,2001,50004,蓝图4,2,,10000,10,100,0.52.0
128,3,0,2001,50005,蓝图5,2,,20000,10,100,0.52.0
129,3,0,2001,50006,蓝图6,2,,30000,10,100,0.52.0
130,3,0,2001,50007,蓝图7,2,,40000,10,100,0.52.0
131,3,0,2001,50008,蓝图8,2,,50000,10,100,0.52.0
132,0,0,6004,75017,盐,2,,200,,100,0.52.0
134,0,0,5001,62032,胡萝卜种子,2,,5,,100,0.52.0
135,0,0,5001,62017,甘蔗种子,2,,115,,100,0.52.0
136,0,1,5003,62437,胡杨原木,2,,324,,100,0.52.0
137,4,0,1002,200,果木,2,,200,,100,0.60.0
138,4,0,1002,201,落叶松木,2,,200,,100,0.60.0
139,4,0,1002,202,白杨木,2,,200,,100,0.60.0
140,4,0,1002,203,红杉木,2,,200,,100,0.60.0
141,4,0,1002,204,楠木,2,,200,,100,0.60.0
142,4,0,1002,205,胡桃木,2,,200,,100,0.60.0
143,4,0,1002,206,果木板,2,,200,,100,0.60.0
144,4,0,1002,207,落叶松木板,2,,200,,100,0.60.0
145,4,0,1002,208,白杨木板,2,,200,,100,0.60.0
146,4,0,1002,209,红杉木板,2,,200,,100,0.60.0
147,4,0,1002,210,楠木板,2,,200,,100,0.60.0
148,4,0,1002,211,胡桃木板,2,,200,,100,0.60.0
149,4,0,1004,218,果木树叶,2,,150,,100,0.60.0
150,4,0,1004,219,落叶松树叶,2,,150,,100,0.60.0
151,4,0,1004,220,白杨树叶,2,,150,,100,0.60.0
152,4,0,1004,221,红杉树叶,2,,150,,100,0.60.0
153,4,0,1004,222,楠木树叶,2,,150,,100,0.60.0
154,4,0,1004,223,胡桃树叶,2,,150,,100,0.60.0
155,4,0,1004,224,草丛,2,,100,,100,0.60.0
156,4,0,1004,225,枯草,2,,200,,100,0.60.0
157,4,0,1004,232,藤蔓,2,,200,,100,0.60.0
158,4,0,1002,233,红土,2,,200,,100,0.60.0
159,4,0,1004,238,荆棘,2,,200,,100,0.60.0
160,4,0,1004,251,竹子,2,,200,,100,0.60.0
161,4,0,1004,252,竹叶,2,,200,,100,0.60.0
162,4,0,1002,254,桃花木,2,,200,,100,0.60.0
163,4,0,1004,255,桃花树叶,2,,200,,100,0.60.0
164,4,0,1002,408,蓝钻块,2,,200,,100,0.60.0
165,4,0,1002,409,孔雀石块,2,,200,,100,0.60.0
166,4,0,1002,410,闪金块,2,,200,,100,0.60.0
167,4,0,1002,411,精铁块,2,,200,,100,0.60.0
168,4,0,1002,412,硅石块,2,,200,,100,0.60.0
169,4,0,1002,413,花纹硅石块,2,,200,,100,0.60.0
170,4,0,1002,414,竖纹硅石块,2,,200,,100,0.60.0
171,4,0,1002,416,大煤块,2,,200,,100,0.60.0
172,4,0,1002,417,蓝晶石块,2,,200,,100,0.60.0
173,4,0,1002,418,果木地板,2,,200,,100,0.60.0
174,4,0,1002,419,落叶松地板,2,,200,,100,0.60.0
175,4,0,1002,420,红杉地板,2,,200,,100,0.60.0
176,4,0,1002,421,土砖,2,,200,,100,0.60.0
177,4,0,1002,422,粗制岩石砖,2,,200,,100,0.60.0
178,4,0,1002,423,沙砖板,2,,200,,100,0.60.0
179,4,0,1002,424,细沙砖板,2,,200,,100,0.60.0
180,4,0,1002,425,釉面砖,2,,200,,100,0.60.0
181,4,0,1002,426,横格釉面砖,2,,200,,100,0.60.0
182,4,0,1002,427,竖格釉面砖,2,,250,,100,0.60.0
183,4,0,1002,428,四格釉面砖,2,,250,,100,0.60.0
184,4,0,1002,429,不规则釉面砖,2,,250,,100,0.60.0
185,4,0,1002,430,冰砖,2,,200,,100,0.60.0
186,4,0,1002,501,石砖,2,,200,,100,0.60.0
187,4,0,1002,502,裂纹石砖,2,,200,,100,0.60.0
188,4,0,1002,503,苔石砖,2,,200,,100,0.60.0
189,4,0,1002,504,花纹石砖,2,,200,,100,0.60.0
190,4,0,1002,505,石块,2,,200,,100,0.60.0
191,4,0,1002,506,石台阶,2,,200,,100,0.60.0
192,4,0,1002,507,沙砖台阶,2,,200,,100,0.60.0
193,4,0,1002,509,石块台阶,2,,200,,100,0.60.0
194,4,0,1002,510,灰砂砖台阶,2,,200,,100,0.60.0
195,4,0,1002,511,岩石砖台阶,2,,200,,100,0.60.0
196,4,0,1002,512,硫黄砖台阶,2,,200,,100,0.60.0
197,4,0,1002,513,硅石台阶,2,,200,,100,0.60.0
198,4,0,1002,514,果木台阶,2,,200,,100,0.60.0
199,4,0,1002,515,落叶松台阶,2,,200,,100,0.60.0
200,4,0,1002,516,白杨木台阶,2,,200,,100,0.60.0
201,4,0,1002,517,红杉台阶,2,,200,,100,0.60.0
202,4,0,1002,518,楠木台阶,2,,200,,100,0.60.0
203,4,0,1002,519,胡桃台阶,2,,200,,100,0.60.0
204,4,0,1002,520,果木楼梯,2,,500,,100,0.60.0
205,4,0,1002,521,银杉楼梯,2,,500,,100,0.60.0
206,4,0,1002,522,白桦木楼梯,2,,500,,100,0.60.0
207,4,0,1002,523,红杉楼梯,2,,500,,100,0.60.0
208,4,0,1002,524,楠木楼梯,2,,500,,100,0.60.0
209,4,0,1002,525,胡桃楼梯,2,,500,,100,0.60.0
210,4,0,1002,526,铁栅栏,2,,500,,100,0.60.0
211,4,0,1002,527,沙砖楼梯,2,,500,,100,0.60.0
212,4,0,1002,529,石块楼梯,2,,500,,100,0.60.0
213,4,0,1002,530,灰砂砖楼梯,2,,500,,100,0.60.0
214,4,0,1002,531,岩石砖楼梯,2,,500,,100,0.60.0
215,4,0,1002,532,硫黄砖楼梯,2,,500,,100,0.60.0
216,4,0,1002,533,硅石楼梯,2,,500,,100,0.60.0
217,4,0,1002,534,木围栏,2,,500,,100,0.60.0
218,4,0,1002,535,木围栏门,2,,500,,100,0.60.0
219,4,0,1002,536,曙光石块,2,,500,,100,0.60.0
220,4,0,1002,537,硫黄砖块,2,,500,,100,0.60.0
221,4,0,1002,538,硫黄砖围栏,2,,500,,100,0.60.0
222,4,0,1002,539,白杨木栅栏,2,,200,,100,0.60.0
223,4,0,1002,540,平滑沙砖,2,,200,,100,0.60.0
224,4,0,1002,541,花纹沙砖,2,,200,,100,0.60.0
225,4,0,1002,547,灰砂砖块,2,,200,,100,0.60.0
226,4,0,1002,548,岩石围栏,2,,200,,100,0.60.0
227,4,0,1002,549,青石围栏,2,,200,,100,0.60.0
228,4,0,1002,550,荧光晶块,2,,200,,100,0.60.0
229,4,0,1002,551,石砖围栏,2,,200,,100,0.60.0
230,4,0,1002,552,白杨木围栏,2,,250,,100,0.60.0
231,4,0,1002,553,木栅栏,2,,200,,100,0.60.0
232,4,0,1002,554,铁围栏,2,,250,,100,0.60.0
233,4,0,1002,555,木窗,2,,500,,100,0.60.0
234,4,0,1002,556,玻璃窗,2,,500,,100,0.60.0
235,4,0,1002,558,蜂蜜块,2,,200,,100,0.60.0
236,4,0,1002,561,烧焦的蜂蜜,2,,200,,100,0.60.0
237,4,0,1002,562,桃花木板,2,,200,,100,0.60.0
238,4,0,1002,563,竹板,2,,200,,100,0.60.0
239,4,0,1002,564,桃花木台阶,2,,200,,100,0.60.0
240,4,0,1002,565,竹板台阶,2,,200,,100,0.60.0
241,4,0,1002,566,桃花木楼梯,2,,200,,100,0.60.0
242,4,0,1002,567,竹板楼梯,2,,200,,100,0.60.0
243,4,0,1002,568,竹围栏,2,,200,,100,0.60.0
244,4,0,1002,569,竹围栏门,2,,200,,100,0.60.0
245,4,0,1002,600,羊毛,2,,200,,100,0.60.0
246,4,0,1002,601,橙色羊毛,2,,200,,100,0.60.0
247,4,0,1002,602,洋红羊毛,2,,250,,100,0.60.0
248,4,0,1002,603,淡蓝羊毛,2,,250,,100,0.60.0
249,4,0,1002,604,黄色羊毛,2,,250,,100,0.60.0
250,4,0,1002,605,黄绿色羊毛,2,,250,,100,0.60.0
251,4,0,1002,606,粉色羊毛,2,,200,,100,0.60.0
252,4,0,1002,607,灰色羊毛,2,,200,,100,0.60.0
253,4,0,1002,608,淡灰色羊毛,2,,200,,100,0.60.0
254,4,0,1002,609,青色羊毛,2,,250,,100,0.60.0
255,4,0,1002,610,紫色羊毛,2,,250,,100,0.60.0
256,4,0,1002,611,蓝色羊毛,2,,250,,100,0.60.0
257,4,0,1002,612,棕色羊毛,2,,250,,100,0.60.0
258,4,0,1002,613,绿色羊毛,2,,200,,100,0.60.0
259,4,0,1002,614,红色羊毛,2,,200,,100,0.60.0
260,4,0,1002,615,黑色羊毛,2,,200,,100,0.60.0
261,4,0,1004,616,地毡,2,,200,,100,0.60.0
262,4,0,1004,617,橙色羊毛地毡,2,,200,,100,0.60.0
263,4,0,1004,618,洋红羊毛地毡,2,,200,,100,0.60.0
264,4,0,1004,619,淡蓝羊毛地毡,2,,250,,100,0.60.0
265,4,0,1004,620,黄色羊毛地毡,2,,250,,100,0.60.0
266,4,0,1004,621,黄绿色羊毛地毡,2,,250,,100,0.60.0
267,4,0,1004,622,粉色羊毛地毡,2,,250,,100,0.60.0
268,4,0,1004,623,灰色羊毛地毡,2,,200,,100,0.60.0
269,4,0,1004,624,淡灰色羊毛地毡,2,,200,,100,0.60.0
270,4,0,1004,625,青色羊毛地毡,2,,200,,100,0.60.0
271,4,0,1004,626,紫色羊毛地毡,2,,250,,100,0.60.0
272,4,0,1004,627,蓝色羊毛地毡,2,,250,,100,0.60.0
273,4,0,1004,628,棕色羊毛地毡,2,,250,,100,0.60.0
274,4,0,1004,629,绿色羊毛地毡,2,,250,,100,0.60.0
275,4,0,1004,630,红色羊毛地毡,2,,200,,100,0.60.0
276,4,0,1004,631,黑色羊毛地毡,2,,200,,100,0.60.0
277,4,0,1004,632,玻璃块,2,,200,,100,0.60.0
278,4,0,1004,633,白色玻璃块,2,,200,,100,0.60.0
279,4,0,1004,634,橙色玻璃块,2,,200,,100,0.60.0
280,4,0,1004,635,洋红玻璃块,2,,250,,100,0.60.0
281,4,0,1004,636,淡蓝玻璃块,2,,250,,100,0.60.0
282,4,0,1004,637,黄色玻璃块,2,,250,,100,0.60.0
283,4,0,1004,638,黄绿色玻璃块,2,,250,,100,0.60.0
284,4,0,1004,639,粉色玻璃块,2,,200,,100,0.60.0
285,4,0,1004,640,灰色玻璃块,2,,200,,100,0.60.0
286,4,0,1004,641,淡灰色玻璃块,2,,200,,100,0.60.0
287,4,0,1004,642,青色玻璃块,2,,250,,100,0.60.0
288,4,0,1004,643,紫色玻璃块,2,,250,,100,0.60.0
289,4,0,1004,644,蓝色玻璃块,2,,250,,100,0.60.0
290,4,0,1004,645,棕色玻璃块,2,,250,,100,0.60.0
291,4,0,1004,646,绿色玻璃块,2,,200,,100,0.60.0
292,4,0,1004,647,红色玻璃块,2,,200,,100,0.60.0
293,4,0,1004,648,黑色玻璃块,2,,200,,100,0.60.0
294,4,0,1004,649,玻璃片,2,,200,,100,0.60.0
295,4,0,1004,650,白色玻璃片,2,,200,,100,0.60.0
296,4,0,1004,651,橙色玻璃片,2,,200,,100,0.60.0
297,4,0,1004,652,洋红玻璃片,2,,250,,100,0.60.0
298,4,0,1004,653,淡蓝玻璃片,2,,250,,100,0.60.0
299,4,0,1004,654,黄色玻璃片,2,,250,,100,0.60.0
300,4,0,1004,655,黄绿色玻璃片,2,,250,,100,0.60.0
301,4,0,1004,656,粉色玻璃片,2,,200,,100,0.60.0
302,4,0,1004,657,灰色玻璃片,2,,200,,100,0.60.0
303,4,0,1004,658,淡灰色玻璃片,2,,200,,100,0.60.0
304,4,0,1004,659,青色玻璃片,2,,250,,100,0.60.0
305,4,0,1004,660,紫色玻璃片,2,,250,,100,0.60.0
306,4,0,1004,661,蓝色玻璃片,2,,250,,100,0.60.0
307,4,0,1004,662,棕色玻璃片,2,,250,,100,0.60.0
308,4,0,1004,663,绿色玻璃片,2,,200,,100,0.60.0
309,4,0,1004,664,红色玻璃片,2,,200,,100,0.60.0
310,4,0,1004,665,黑色玻璃片,2,,200,,100,0.60.0
311,4,0,1002,666,硬砂块,2,,200,,100,0.60.0
312,4,0,1002,667,白色硬砂块,2,,200,,100,0.60.0
313,4,0,1002,668,橙色硬砂块,2,,200,,100,0.60.0
314,4,0,1002,669,紫红硬砂块,2,,250,,100,0.60.0
315,4,0,1002,670,淡蓝硬砂块,2,,250,,100,0.60.0
316,4,0,1002,671,黄色硬砂块,2,,250,,100,0.60.0
317,4,0,1002,672,淡绿硬砂块,2,,250,,100,0.60.0
318,4,0,1002,673,粉色硬砂块,2,,200,,100,0.60.0
319,4,0,1002,674,灰色硬砂块,2,,200,,100,0.60.0
320,4,0,1002,675,淡灰硬砂块,2,,200,,100,0.60.0
321,4,0,1002,676,青色硬砂块,2,,250,,100,0.60.0
322,4,0,1002,677,紫色硬砂块,2,,250,,100,0.60.0
323,4,0,1002,678,蓝色硬砂块,2,,250,,100,0.60.0
324,4,0,1002,679,褐色硬砂块,2,,250,,100,0.60.0
325,4,0,1002,680,绿色硬砂块,2,,200,,100,0.60.0
326,4,0,1002,681,红色硬砂块,2,,200,,100,0.60.0
327,4,0,1002,682,黑色硬砂块,2,,200,,100,0.60.0
328,4,0,1002,683,龙纹石块,2,,1000,,100,0.60.0
329,4,0,1002,684,斜纹黑石块,2,,300,,100,0.60.0
330,4,0,1002,685,竖纹糖块,2,,300,,100,0.60.0
331,4,0,1002,686,巧克力砖,2,,300,,100,0.60.0
332,4,0,1002,687,香薰宫灯,2,,1000,,100,0.60.0
333,4,0,1002,689,中式镂空窗,2,,1000,,100,0.60.0
334,4,0,1002,731,木质天窗,2,,300,,100,0.60.0
335,4,0,1002,812,轻木门,2,,700,,100,0.60.0
336,4,0,1002,813,爬梯,2,,200,,100,0.60.0
337,4,0,1002,814,精铁门,2,,800,,100,0.60.0
338,4,0,1002,816,南瓜灯,2,,200,,100,0.60.0
339,2,0,1002,820,书柜,2,,200,,100,0.60.0
340,4,0,1002,822,草垛,2,,200,,100,0.60.0
341,2,0,1002,828,床,2,,800,,100,0.60.0
342,4,0,1004,861,木纹灯,2,,1500,,100,0.60.0
343,4,0,1004,862,白色玻璃灯,2,,700,,100,0.60.0
344,4,0,1004,863,橙色玻璃灯,2,,800,,100,0.60.0
345,4,0,1004,864,紫红玻璃灯,2,,800,,100,0.60.0
346,4,0,1004,865,淡蓝玻璃灯,2,,700,,100,0.60.0
347,4,0,1004,866,黄色玻璃灯,2,,700,,100,0.60.0
348,4,0,1004,867,淡绿玻璃灯,2,,800,,100,0.60.0
349,4,0,1004,868,粉色玻璃灯,2,,800,,100,0.60.0
350,4,0,1004,869,灰色玻璃灯,2,,700,,100,0.60.0
351,4,0,1004,870,淡灰玻璃灯,2,,700,,100,0.60.0
352,4,0,1004,871,青色玻璃灯,2,,800,,100,0.60.0
353,4,0,1004,872,紫色玻璃灯,2,,800,,100,0.60.0
354,4,0,1004,873,蓝色玻璃灯,2,,800,,100,0.60.0
355,4,0,1004,874,褐色玻璃灯,2,,700,,100,0.60.0
356,4,0,1004,875,绿色玻璃灯,2,,800,,100,0.60.0
357,4,0,1004,876,红色玻璃灯,2,,800,,100,0.60.0
358,4,0,1004,877,黑色玻璃灯,2,,800,,100,0.60.0
359,4,0,1004,881,喷花烟花,2,,2000,,100,0.60.0
360,2,0,1001,883,精致木床,2,,1500,,0,0.60.0
361,2,0,1001,884,豪华木床,2,,1500,,0,0.60.0
362,2,0,1001,885,公主床,2,,1500,,0,0.60.0
363,2,0,1001,898,灯笼,2,,1000,,0,0.60.0
364,4,0,1002,899,古典路灯,2,,1000,,100,0.60.0
365,4,0,1002,900,现代路灯,2,,1000,,100,0.60.0
366,4,0,1002,926,黑色铁围栏,2,,1000,,100,0.60.0
367,4,0,1002,927,白色铁围栏,2,,1000,,100,0.60.0
368,2,0,1004,928,小花盆,2,,1000,,0,0.60.0
369,2,0,1004,929,大花盆,2,,1000,,0,0.60.0
370,2,0,1004,931,蜡烛台,2,,1500,,0,0.60.0
371,2,0,1004,933,吊灯,2,,1500,,0,0.60.0
372,2,0,1004,934,典雅壁灯,2,,1500,,0,0.60.0
373,2,0,1004,935,精致壁灯,2,,1500,,0,0.60.0
374,2,0,1004,936,台灯,2,,1500,,0,0.60.0
375,2,0,1004,940,春节窗花-福,2,,1000,,0,0.60.0
376,2,0,1004,941,春节窗花-禄,2,,1000,,0,0.60.0
377,2,0,1004,942,春节窗花-寿,2,,1000,,0,0.60.0
378,2,0,1004,943,春节窗花-喜,2,,1000,,0,0.60.0
379,2,0,1004,945,中式宫灯,2,,1500,,0,0.60.0
380,2,0,1004,946,红色陶花盆,2,,1500,,0,0.60.0
381,2,0,1004,947,绿色陶花盆,2,,1500,,0,0.60.0
382,2,0,1004,948,大瓷花盆,2,,1500,,0,0.60.0
383,2,0,1004,949,新春宫灯,2,,1500,,0,0.60.0
384,4,0,1002,1101,实验室门,2,,2000,,100,0.60.0
385,4,0,1004,1102,镜冰,2,,300,,100,0.60.0
386,4,0,1004,1103,冰灯,2,,300,,100,0.60.0
387,4,0,1002,1104,花纹电石块,2,,300,,100,0.60.0
388,4,0,1002,1105,电石铁块,2,,200,,100,0.60.0
389,4,0,1002,1106,电石铁板,2,,200,,100,0.60.0
390,4,0,1002,1107,紫线铁块,2,,300,,100,0.60.0
391,4,0,1002,1108,厚铁板,2,,200,,100,0.60.0
392,4,0,1002,1109,镂空铁板,2,,200,,100,0.60.0
393,4,0,1002,1110,实验室灯,2,,300,,100,0.60.0
394,4,0,1002,1111,锈铁门,2,,200,,100,0.60.0
395,4,0,1002,1112,铁丝网,2,,200,,100,0.60.0
396,4,0,1002,1113,竖纹铁板,2,,200,,100,0.60.0
397,4,0,1002,1114,锈铁板,2,,200,,100,0.60.0
398,4,0,1002,1115,条纹锈铁板,2,,200,,100,0.60.0
399,4,0,1002,1116,镂空锈铁板,2,,200,,100,0.60.0
400,4,0,1002,1117,电石锈铁块,2,,200,,100,0.60.0
401,4,0,1004,1118,荧光灯,2,,300,,100,0.60.0
402,4,0,1002,1119,花纹铁块,2,,200,,100,0.60.0
403,4,0,1002,1120,旧铁块,2,,200,,100,0.60.0
404,2,0,1001,1136,雪梅屏风,2,,1500,,0,0.60.0
405,2,0,1004,1137,红烛灯,2,,1000,,0,0.60.0
406,2,0,1004,1145,春节窗花-牛,2,,1000,,0,0.60.0
407,4,0,1002,1708,欧式门,2,,3000,,100,0.60.0
408,4,0,1002,1709,欧式窗,2,,2000,,100,0.60.0
409,4,0,1002,1710,欧式楼梯,2,,1000,,100,0.60.0
410,4,0,1002,1711,欧式墙砖,2,,1000,,100,0.60.0
411,4,0,1002,1712,欧式砖,2,,1000,,100,0.60.0
412,4,0,1002,1713,欧式半砖,2,,1000,,100,0.60.0
413,4,0,1002,1714,欧式围栏,2,,1000,,100,0.60.0
414,4,0,1002,1715,胡杨木,2,,200,,100,0.60.0
415,4,0,1002,1716,胡杨木板,2,,200,,100,0.60.0
416,4,0,1004,1717,胡杨树叶,2,,200,,100,0.60.0
417,4,0,1002,1718,胡杨台阶,2,,200,,100,0.60.0
418,4,0,1002,1719,胡杨楼梯,2,,200,,100,0.60.0
419,2,0,1004,1747,手工骆驼雕塑,2,,1000,,0,0.60.0
420,2,0,1004,1748,莫高窟九层塔,2,,1000,,0,0.60.0
421,2,0,1004,1749,敦煌飞天雕塑,2,,1000,,0,0.60.0
422,2,0,1004,1750,敦煌壁画1,2,,1000,,0,0.60.0
