ID,名称,文件名称,类别【1=图标|2=标签|3=按钮4=底板|5=背景图|6=文字|7=边框 8 = 天空盒】,上级,文件夹,开关(0:关 1:开),排序
10044,背景图2,img_play_revise,5,c_miniwork,,1,166
10045,背景图3,img_play_standard,5,c_miniwork,,1,167
10046,背景图4,img_play_setup,5,c_miniwork,,1,168
10047,底板108,img_land_2,4,c_ingame,,1,606
10048,背景图5,img_box_Dark,5,common,,1,169
10049,背景图6,frame_title_board_dark,5,common,,1,170
10050,底板70,img_bd_white50_circle,4,common,,1,142
10051,文字1,ico_lv1,6,common,,1,171
10052,文字2,ico_lv2,6,common,,1,172
10053,文字3,ico_lv3,6,common,,1,173
10054,文字4,ico_lv4,6,common,,1,174
10055,文字5,ico_lv5,6,common,,1,175
10056,边框21,icon_minus_white,7,common,,1,585
10057,边框1,lzy_37,7,c_ingame,,1,150
10058,边框10,frame_commend,7,common,,1,178
10059,边框11,frame_sink,7,common,,1,179
10060,边框12,sel_icon_custom,7,common,,1,180
10061,边框13,sel_icon_map,7,common,,1,181
10062,边框2,sight,7,c_ingame,,1,151
10063,边框3,operating_special_effects,7,c_ingame,,1,151
10064,边框14,img_item__box_selected,7,c_ingame,,1,184
10065,边框15,img_frame_activity,7,common,,1,185
10066,图标187,ico_model_top,1,common,,1,589
10067,图标188,icon_collect,1,common,,1,590
10068,图标28,icon_exp,1,common,,1,186
10069,图标189,icon_cottage,1,common,,1,591
10070,图标190,icon_custom,1,common,,1,592
10071,图标29,icon_dress_open,1,common,,1,187
10072,图标191,icon_friendshome,1,common,,1,593
10073,图标192,icon_flag,1,common,,1,594
10074,图标30,icon_fans_white,1,common,,1,188
10075,图标193,icon_garden,1,common,,1,595
10076,图标31,icon_gift_minipoint,1,common,,1,189
10077,图标32,icon_giftback,1,common,,1,190
10078,图标33,icon_give_,1,common,,1,191
10079,图标34,icon_homelv,1,common,,1,192
10080,图标35,icon_homecoin,1,common,,1,193
10081,图标36,icon_home_shop_o,1,common,,1,194
10082,图标37,icon_like_h,1,common,,1,195
10083,图标38,icon_like_n,1,common,,1,196
10084,图标39,icon_notice,1,common,,1,197
10085,图标194,icon_pet,1,common,,1,596
10086,图标195,icon_petcomposition,1,common,,1,597
10087,图标196,icon_petexploration,1,common,,1,598
10088,图标197,icon_quality,1,common,,1,599
10089,图标40,icon_reward_consume,1,common,,1,198
10090,图标170,icon_season1,1,common,,1,571
10091,图标171,icon_score_white,1,common,,1,572
10092,图标41,icon_warn,1,common,,1,199
10093,图标42,icon_xingxing,1,common,,1,200
10094,图标198,icon_workshop_b,1,common,,1,600
10095,图标43,icon_video_white,1,common,,1,201
10096,图标44,icon_speed,1,common,,1,202
10097,图标45,icon_shop_entry,1,common,,1,203
10098,图标46,icon_backpack,1,c_ingame,,1,204
10099,图标47,icon_official_pre,1,common,,1,206
10100,图标48,icon_praise_h,1,common,,1,207
10101,图标49,icon_score,1,common,,1,208
10102,图标50,icon_star_yellow,1,common,,1,209
10103,图标51,icon_tipoff_o,1,common,,1,210
10104,图标52,icon_fire,1,common,,1,211
10105,图标53,icon_fire01,1,common,,1,212
10106,图标54,icon_form_bow,1,c_miniwork,,1,213
10107,图标55,icon_form_equipment,1,c_miniwork,,1,214
10108,图标56,icon_form_food,1,c_miniwork,,1,215
10109,图标57,icon_form_gun,1,c_miniwork,,1,216
10110,图标58,icon_form_mess,1,c_miniwork,,1,217
10111,图标59,icon_form_missile,1,c_miniwork,,1,218
10112,图标60,icon_form_package,1,c_miniwork,,1,219
10113,图标61,icon_form_tool,1,c_miniwork,,1,220
10114,图标104,npchat_icon_juqing,1,c_ingame,,1,488
10115,图标105,npchat_icon_juqing_d,1,c_ingame,,1,489
10116,图标15,npcshop_icon,1,c_ingame,,1,15
10117,标签12,label_notice_darkorange,2,common,,1,221
10118,标签13,label_notice_gray,2,common,,1,222
10119,标签14,label_notice_green,2,common,,1,223
10120,标签15,label_notice_olive,2,common,,1,224
10121,标签16,label_notice_orange1,2,common,,1,225
10122,标签17,label_notice_orangered,2,common,,1,226
10123,标签18,label_notice_orchid,2,common,,1,227
10124,标签19,label_notice_pink,2,common,,1,228
10125,标签20,label_notice_purple,2,common,,1,229
10126,标签21,label_notice_radient_purple,2,common,,1,230
10127,标签22,label_notice_radient_red,2,common,,1,231
10128,标签23,label_notice_red,2,common,,1,232
10129,标签24,label_notice_royalblue,2,common,,1,233
10130,标签25,label_ser_sel,2,common,,1,234
10131,标签26,label_trends_official,2,common,,1,235
10132,标签27,laber_map_connoisseur,2,common,,1,236
10133,标签28,label_map_blue,2,c_miniwork,,1,237
10134,标签29,label_map_blue2,2,c_miniwork,,1,238
10135,标签30,label_map_gray,2,c_miniwork,,1,239
10136,标签31,label_map_green,2,c_miniwork,,1,240
10137,标签32,label_map_green2,2,c_miniwork,,1,241
10138,标签33,label_map_orange,2,c_miniwork,,1,242
10139,标签34,label_map_purple,2,c_miniwork,,1,243
10140,按钮7,board_check_d,3,common,,1,45
10141,按钮8,board_map_info,3,common,,1,46
10142,按钮9,board_map_page,3,common,,1,47
10143,按钮10,board_more,3,common,,1,48
10144,按钮11,btn_safe_middle,3,common,,1,49
10145,按钮12,btn_safe_up,3,common,,1,50
10146,按钮13,btn_trending_yellow,3,common,,1,51
10147,按钮49,img_arrow_arrowhead_n,3,common,,1,244
10148,标签63,img_develop_level,2,common,,1,550
10149,标签64,img_num_tips,2,common,,1,551
10150,按钮50,img_page_arrow,3,common,,1,245
10151,按钮51,icon_use,3,c_ingame,,1,246
10152,按钮52,icon_sneak,3,c_ingame,,1,247
10153,按钮53,icon_up_down,3,c_ingame,,1,248
10154,底板71,img_board_res,4,c_ingame,,1,143
10155,按钮67,icon_rocker,3,c_ingame,,1,263
10156,按钮68,icon_obstruct,3,c_ingame,,1,264
10157,按钮69,icon_position,3,c_ingame,,1,265
10158,按钮70,icon_creature,3,c_ingame,,1,266
10159,按钮71,btn_circle_yellow_tick,3,common,,1,267
10160,按钮72,icon_add_sink,3,common,,1,268
10161,按钮14,btn_big_blue,3,common,,1,52
10162,底板60,btn_huge_circle_yellow,4,common,,1,132
10163,按钮15,btn_big_orange,3,common,,1,53
10164,按钮16,btn_big_empty,3,common,,1,54
10165,按钮17,btn_big_yellow,3,common,,1,55
10166,按钮73,btn_close,3,common,,1,269
10167,按钮74,btn_return,3,common,,1,270
10168,按钮75,btn_return_white,3,common,,1,271
10169,按钮18,btn_middle_empty,3,common,,1,56
10170,按钮76,icon_pull,3,common,,1,272
10171,按钮77,icon_maximum_orange,3,common,,1,273
10172,按钮78,icon_lock_green,3,common,,1,274
10173,按钮39,btn_superbig_empty,3,common,,1,124
10174,底板90,img_blood_blue,4,common,,1,275
10175,底板91,img_blood_green,4,common,,1,276
10176,底板92,img_blood_red,4,common,,1,277
10177,底板93,img_blood_strip_board_b,4,common,,1,278
10178,底板94,img_blood_white,4,common,,1,279
10179,标签36,img_board_chat_b,2,common,,1,280
10180,标签37,img_board_chat_p,2,common,,1,281
10181,底板72,img_board_scoring,4,c_ingame,,1,144
10182,底板73,img_board_scoring_s,4,c_ingame,,1,145
10183,底板74,img_icon_board,4,c_ingame,,1,146
10184,底板8,img_item__box,4,c_ingame,,1,79
10185,底板75,img_item_box_circle,4,c_ingame,,1,147
10186,底板9,img_operating_board_s,4,c_ingame,,1,80
10187,底板76,img_steering_wheel,4,c_ingame,,1,148
10188,底板77,operating_board_l,4,c_ingame,,1,149
10189,底板10,operating_board_square,4,c_ingame,,1,81
10190,底板11,operating_special_open_b,4,c_ingame,,1,82
10191,底板78,operating_special_open_r,4,c_ingame,,1,150
10192,底板95,board_clip_title_y,4,common,,1,282
10193,底板96,board_clip_title,4,common,,1,283
10194,底板12,hdfl_diban06,4,common,,1,83
10195,底板13,img_icon_head,4,common,,1,84
10196,底板14,img_icon_lignt_b,4,common,,1,85
10197,底板15,img_icon_lignt_dark,4,common,,1,86
10198,底板16,img_icon_lignt_o,4,common,,1,87
10199,底板17,img_icon_lignt_v,4,common,,1,88
10200,底板18,img_icon_lignt_y,4,common,,1,89
10201,背景图7,img_board_load_orange,5,common,,1,284
10202,背景图8,img_board_load_purple,5,common,,1,285
10203,背景图9,img_board_load_disable,5,common,,1,286
10204,背景图10,board_tips_countdown_yellow,5,common,,1,287
10205,背景图11,board_tips_countdown_red,5,common,,1,288
10206,背景图12,board_sink_y,5,common,,1,289
10207,背景图13,board_switch_open,5,common,,1,290
10208,背景图14,board_tips_countdown_blue,5,common,,1,291
10209,背景图15,board_tips_countdown_green,5,common,,1,292
10210,背景图16,board_tips_countdown_orange,5,common,,1,293
10211,背景图17,img_board_white50_r,5,common,,1,294
10212,背景图18,img_board_white100_,5,common,,1,295
10213,背景图19,img_board_using,5,common,,1,296
10214,背景图20,img_board_tips_white,5,common,,1,297
10215,背景图21,img_board_tips_flag,5,common,,1,298
10216,背景图22,img_board_set_g,5,common,,1,299
10217,背景图23,img_board_set,5,common,,1,300
10218,背景图24,img_board_resource,5,common,,1,301
10219,背景图25,img_board_receive,5,common,,1,302
10220,背景图26,img_board_qqfriend,5,common,,1,303
10221,背景图27,img_board_more_glass,5,common,,1,304
10222,背景图28,img_board_login,5,common,,1,305
10223,背景图29,img_board_load_top_y,5,common,,1,306
10224,背景图30,img_board_load_top_g,5,common,,1,307
10225,背景图31,img_board_load_top,5,common,,1,308
10226,背景图32,img_board_load_gray,5,common,,1,309
10227,背景图33,img_board_load_blue,5,common,,1,310
10228,背景图34,img_board_fadeout,5,common,,1,311
10229,背景图35,img_board_delete,5,common,,1,312
10230,背景图36,img_board_custom_title,5,common,,1,313
10231,背景图37,img_board_bar,5,common,,1,314
10232,背景图38,img_board_Second_floor,5,common,,1,315
10233,背景图39,board_title_countdown_yellow,5,common,,1,316
10234,背景图40,board_title_countdown_red,5,common,,1,317
10235,背景图41,board_title_countdown_purple,5,common,,1,318
10236,背景图42,board_title_countdown_orange,5,common,,1,319
10237,背景图43,board_title_countdown_green,5,common,,1,320
10238,背景图44,board_title_countdown_blue,5,common,,1,321
10239,背景图45,board_tips_price,5,common,,1,322
10240,背景图46,board_tips_icon_v,5,common,,1,323
10241,背景图47,board_tips_icon_o,5,common,,1,324
10242,背景图48,board_tips_icon_b,5,common,,1,325
10243,背景图49,board_tips_countdown_purple,5,common,,1,326
10244,背景图50,board_schedule_countdown_yellow,5,common,,1,327
10245,背景图51,board_schedule_countdown_red,5,common,,1,328
10246,背景图52,board_schedule_countdown_purple,5,common,,1,329
10247,背景图53,board_schedule_countdown_orange,5,common,,1,330
10248,背景图54,board_schedule_countdown_green,5,common,,1,331
10249,背景图55,board_schedule_countdown_blue,5,common,,1,332
10250,背景图56,board_npcchat,5,common,,1,333
10251,背景图57,board_map_pic_g,5,common,,1,334
10252,背景图58,board_map_pic_b,5,common,,1,335
10253,背景图59,board_map_page_r,5,common,,1,336
10254,背景图60,board_map_info_self,5,common,,1,337
10255,背景图61,board_map_create,5,common,,1,338
10256,背景图62,board_ingame_word,5,common,,1,339
10257,背景图63,board_darkgray,5,common,,1,340
10258,背景图64,board_bar_mounts,5,common,,1,341
10259,背景图65,board_activity_info,5,common,,1,343
10260,按钮81,icon_sprint,3,c_ingame,,1,345
10261,按钮82,icon_up,3,c_ingame,,1,346
10262,按钮88,icon_wtb,3,c_ingame,,1,352
10263,按钮89,icon_kaijing,3,c_ingame,,1,353
10264,按钮90,icon_shooting,3,c_ingame,,1,354
10265,按钮100,icon_rocket,3,c_ingame,,1,364
10266,文字6,ar_font_0,6,c_shop,,1,365
10267,文字7,ar_font_1,6,c_shop,,1,366
10268,文字8,ar_font_2,6,c_shop,,1,367
10269,文字9,ar_font_3,6,c_shop,,1,368
10270,文字10,ar_font_4,6,c_shop,,1,369
10271,文字11,ar_font_5,6,c_shop,,1,370
10272,文字12,ar_font_6,6,c_shop,,1,371
10273,文字13,ar_font_7,6,c_shop,,1,372
10274,文字14,ar_font_8,6,c_shop,,1,373
10275,文字15,ar_font_9,6,c_shop,,1,374
10276,底板105,img_stamp_green,4,c_shop,,1,540
10277,底板79,btn_blue_suourbig_r_,4,c_shop,,1,151
10278,底板80,btn_blue_big_circle,4,c_shop,,1,152
10279,底板19,btn_blue_big,4,c_shop,,1,90
10280,底板20,btn_purple_big,4,c_shop,,1,91
10281,底板21,board_role_ar,4,c_shop,,1,92
10282,底板22,board_trans_blue,4,c_shop,,1,93
10283,底板81,btn_trans_blue_r,4,c_shop,,1,153
10284,底板97,btn_white_big,4,c_shop,,1,375
10285,底板82,btn_white_suourbig_r,4,c_shop,,1,154
10286,底板89,btn_yellow_avt,4,c_shop,,1,205
10287,图标62,icon_tobeupdate,1,c_shop,,1,376
10288,底板98,img_enter_ar,4,c_shop,,1,377
10289,底板99,img_enter_ar_g,4,c_shop,,1,378
10290,底板100,img_enter_ar_under,4,c_shop,,1,379
10291,底板101,img_enter_ar_under_g,4,c_shop,,1,380
10292,底板23,img_icon_act_award,4,c_shop,,1,94
10293,底板24,img_icon_custom_b,4,c_shop,,1,95
10294,底板25,img_icon_custom_v,4,c_shop,,1,96
10295,底板26,img_icon_act,4,c_shop,,1,97
10296,底板27,img_icon_act_award,4,c_shop,,1,98
10297,底板28,img_icon_custom_g,4,c_shop,,1,99
10298,底板29,img_icon_custom_gold,4,c_shop,,1,100
10299,标签38,img_label_give,2,c_shop,,1,383
10300,标签42,img_noroom_ar,2,c_shop,,1,387
10301,底板106,img_shadow_role1,4,c_shop,,1,541
10302,标签43,label_shop_collection,2,c_shop,,1,388
10303,标签44,label_shop_green,2,c_shop,,1,389
10304,标签45,label_shop_hot,2,c_shop,,1,390
10305,标签46,label_shop_new,2,c_shop,,1,391
10306,标签47,label_shop_num,2,c_shop,,1,392
10307,标签48,label_shop_red,2,c_shop,,1,393
10308,标签49,label_shop_sale,2,c_shop,,1,394
10309,标签50,label_shop_set_commend,2,c_shop,,1,395
10310,标签51,label_shop_set_hot,2,c_shop,,1,396
10311,标签52,label_shop_set_new,2,c_shop,,1,397
10312,标签53,label_shop_set_rage,2,c_shop,,1,398
10313,标签54,label_shop_set_sale,2,c_shop,,1,399
10314,标签55,label_shop_set_time,2,c_shop,,1,400
10315,标签56,label_shop_time,2,c_shop,,1,401
10316,标签57,lable_soldout,2,c_shop,,1,402
10317,按钮101,btn_arrow_left,3,c_shop,,1,403
10318,按钮102,btn_yes_ar,3,c_shop,,1,404
10319,按钮103,icon_add_upload_y,3,c_shop,,1,405
10320,按钮104,icon_lock_add_y,3,c_shop,,1,406
10321,按钮105,icon_custom_record,3,c_shop,,1,407
10322,按钮106,icon_stop,3,c_shop,,1,408
10323,按钮107,icon_set_ar,3,c_shop,,1,409
10324,按钮108,icon_draw,3,c_shop,,1,410
10325,边框4,img_loading_ar_record,7,c_shop,,1,151
10326,边框16,sdjm_icon_color_h,7,c_shop,,1,412
10327,边框17,sel_role_ar,7,c_shop,,1,413
10328,图标169,icon_custom_mask,1,c_shop,,1,570
10329,图标172,icon_workshop,1,c_shop,,1,573
10330,图标173,icon_worldfactory,1,c_shop,,1,574
10331,图标63,cj_avtnum,1,c_playercenter,,1,414
10332,图标64,cj_baozangnum,1,c_playercenter,,1,415
10333,图标65,cj_bosskiller,1,c_playercenter,,1,416
10334,图标66,cj_chixudenglu,1,c_playercenter,,1,417
10335,图标67,cj_chuchong,1,c_playercenter,,1,418
10336,图标68,cj_dianzan,1,c_playercenter,,1,419
10337,图标69,cj_fangzhapian,1,c_playercenter,,1,420
10338,图标70,cj_fensinum,1,c_playercenter,,1,421
10339,图标71,cj_guoshilv,1,c_playercenter,,1,422
10340,图标72,cj_haoyounum,1,c_playercenter,,1,423
10341,图标73,cj_hotmapnum,1,c_playercenter,,1,424
10342,图标74,cj_jianshangjia,1,c_playercenter,,1,425
10343,图标75,cj_jiaohua,1,c_playercenter,,1,426
10344,图标76,cj_jixianbosskiller,1,c_playercenter,,1,427
10345,图标77,cj_jueselv,1,c_playercenter,,1,428
10346,图标78,cj_juesenum,1,c_playercenter,,1,429
10347,图标79,cj_pifunum,1,c_playercenter,,1,430
10348,图标80,cj_shengcuntianshu,1,c_playercenter,,1,431
10349,图标81,cj_shenmiliwu,1,c_playercenter,,1,432
10350,图标82,cj_shimingzhi,1,c_playercenter,,1,433
10351,图标83,cj_shouhuonum,1,c_playercenter,,1,434
10352,图标84,cj_tujiannum,1,c_playercenter,,1,435
10353,图标85,cj_zuojinum,1,c_playercenter,,1,436
10354,边框5,cj_diamond,7,c_playercenter,,1,151
10355,边框6,cj_gold,7,c_playercenter,,1,151
10356,边框7,cj_iron,7,c_playercenter,,1,151
10357,边框8,cj_stone,7,c_playercenter,,1,151
10358,边框9,cj_wood,7,c_playercenter,,1,151
10359,图标86,baimu,1,c_playercenter,,1,442
10360,图标87,bye,1,c_playercenter,,1,443
10361,图标88,daku,1,c_playercenter,,1,444
10362,图标89,dianzan,1,c_playercenter,,1,445
10363,图标90,haixiu,1,c_playercenter,,1,446
10364,图标91,jingya,1,c_playercenter,,1,447
10365,图标92,keai,1,c_playercenter,,1,448
10366,图标93,kun,1,c_playercenter,,1,449
10367,图标94,liulei,1,c_playercenter,,1,450
10368,图标95,qinqin,1,c_playercenter,,1,451
10369,图标96,shaojiao,1,c_playercenter,,1,452
10370,图标97,shengqi,1,c_playercenter,,1,453
10371,图标98,shouqibao,1,c_playercenter,,1,454
10372,图标99,wabikong,1,c_playercenter,,1,455
10373,图标100,xianqi,1,c_playercenter,,1,456
10374,图标101,xieyanxiao,1,c_playercenter,,1,457
10375,图标102,xieyanxiao,1,c_playercenter,,1,458
10376,图标103,yun,1,c_playercenter,,1,459
10377,按钮109,btn_slide_ther,3,c_ingame,,1,460
10378,按钮110,icon_area,3,c_ingame,,1,461
10379,按钮111,icon_area_edit,3,c_ingame,,1,462
10380,按钮112,icon_brush,3,c_ingame,,1,463
10381,按钮113,icon_cancel,3,c_ingame,,1,464
10382,按钮114,icon_coloring,3,c_ingame,,1,465
10383,按钮115,icon_copy_edit,3,c_ingame,,1,466
10384,按钮116,icon_creature,3,c_ingame,,1,467
10385,按钮117,icon_delete_edit,3,c_ingame,,1,468
10386,按钮118,icon_move_edit,3,c_ingame,,1,469
10387,按钮119,icon_narrow_block,3,c_ingame,,1,470
10388,按钮120,icon_narrow_compose,3,c_ingame,,1,471
10389,按钮121,icon_object_library,3,c_ingame,,1,472
10390,按钮122,icon_paste,3,c_ingame,,1,473
10391,按钮123,icon_pile,3,c_ingame,,1,474
10392,按钮124,icon_return,3,c_ingame,,1,475
10393,按钮125,icon_smooth,3,c_ingame,,1,476
10394,按钮126,icon_swap_edit,3,c_ingame,,1,477
10395,按钮127,icon_track_edit,3,c_ingame,,1,478
10396,按钮128,jsxz_mingzi01,3,c_ingame,,1,479
10397,按钮129,jsxz_mingzi02,3,c_ingame,,1,480
10398,按钮130,img_bar_board_ther,3,c_ingame,,1,481
10399,按钮131,img_bar_ther,3,c_ingame,,1,482
10400,底板83,img_board_scoring_sel,4,c_ingame,,1,155
10401,底板61,img_icon_board_orange,4,c_ingame,,1,133
10402,按钮132,icon_adventure_notes,3,c_ingame,,1,483
10403,底板84,icon_ball,4,c_ingame,,1,156
10404,按钮91,icon_blocking,3,c_ingame,,1,355
10405,按钮133,icon_bullet,3,c_ingame,,1,484
10406,按钮134,icon_bullet_install,3,c_ingame,,1,485
10407,按钮135,icon_chat,3,c_ingame,,1,486
10408,按钮80,icon_down,3,c_ingame,,1,344
10409,按钮136,icon_expression,3,c_ingame,,1,487
10410,按钮92,icon_football1,3,c_ingame,,1,356
10411,按钮94,icon_football2,3,c_ingame,,1,358
10412,按钮83,icon_jump,3,c_ingame,,1,347
10413,按钮84,icon_last,3,c_ingame,,1,348
10414,按钮85,icon_mount,3,c_ingame,,1,349
10415,按钮86,icon_mount_down,3,c_ingame,,1,350
10416,按钮87,icon_next,3,c_ingame,,1,351
10417,按钮151,icon_night,3,c_ingame,,1,607
10418,按钮93,icon_pass,3,c_ingame,,1,357
10419,按钮95,icon_rocker_circle,3,c_ingame,,1,359
10420,按钮96,icon_shoot,3,c_ingame,,1,360
10421,按钮97,icon_steals,3,c_ingame,,1,361
10422,按钮98,icon_swap_operat,3,c_ingame,,1,362
10423,按钮99,icon_tackle,3,c_ingame,,1,363
10424,按钮79,operating_steering_wheel,3,c_ingame,,1,342
10425,图标106,npchat_icon_jrw_d,1,c_ingame,,1,490
10426,图标107,npchat_icon_jrw,1,c_ingame,,1,491
10427,图标108,npchat_icon_jiaoyi,1,c_ingame,,1,492
10428,图标109,juese_xingxing02,1,c_ingame,,1,493
10429,图标110,juese_xingxing03,1,c_ingame,,1,494
10430,图标111,juese_xingxing04,1,c_ingame,,1,495
10431,图标112,juese_xingxing05,1,c_ingame,,1,496
10432,图标113,juese_xingxing06,1,c_ingame,,1,497
10433,图标174,icon_trophy,1,c_ingame,,1,575
10434,图标175,icon_voice,1,c_ingame,,1,576
10435,图标114,lzy_23,1,c_ingame,,1,498
10436,图标115,lzy_23_green,1,c_ingame,,1,499
10437,图标116,lzy_24,1,c_ingame,,1,500
10438,图标117,lzy_31,1,c_ingame,,1,501
10439,图标176,icon_map_white,1,c_ingame,,1,577
10440,图标177,icon_read_white,1,c_miniwork,,1,578
10441,图标118,icon_revise,1,c_miniwork,,1,502
10442,图标119,icon_setup,1,c_miniwork,,1,503
10443,图标120,icon_standard,1,c_miniwork,,1,504
10444,图标121,icon_form_pluginpack,1,c_miniwork,,1,505
10445,图标122,npchat_icon_chat,1,c_miniwork,,1,506
10446,图标123,npchat_icon_collect,1,c_miniwork,,1,507
10447,图标124,aaa_icon_4g_6,1,c_miniwork,,1,508
10448,图标125,aaa_icon_4g_7,1,c_miniwork,,1,509
10449,图标126,aaa_icon_4g_8,1,c_miniwork,,1,510
10450,图标127,aaa_icon_wifi_1,1,c_miniwork,,1,511
10451,图标199,icon_adv_mini_d,1,c_miniwork,,1,601
10452,图标200,icon_battle_mini_d,1,c_miniwork,,1,602
10453,图标128,icon_server_red_,1,c_miniwork,,1,512
10454,图标201,icon_create_mini_d,1,c_miniwork,,1,603
10455,图标202,icon_elec_mini_d,1,c_miniwork,,1,604
10456,图标203,icon_intomap,1,c_miniwork,,1,605
10457,图标204,icon_moble,1,c_miniwork,,1,608
10458,图标205,icon_pc,1,c_miniwork,,1,609
10459,图标206,icon_puzzle_mini_d,1,c_miniwork,,1,610
10460,图标207,icon_refresh,1,c_miniwork,,1,611
10461,图标208,icon_run_mini_d,1,c_miniwork,,1,612
10462,图标209,icon_search,1,c_miniwork,,1,613
10463,图标129,icon_server_yellow,1,c_miniwork,,1,513
10464,图标210,icon_video_mini_d,1,c_miniwork,,1,614
10465,图标211,icon_act_atk,1,c_shop,,1,615
10466,图标212,icon_act_dead,1,c_shop,,1,616
10467,图标213,icon_act_default,1,c_shop,,1,617
10468,图标214,icon_act_lie,1,c_shop,,1,618
10469,图标215,icon_act_run,1,c_shop,,1,619
10470,图标216,icon_act_set,1,c_shop,,1,620
10471,图标217,icon_act_strike,1,c_shop,,1,621
10472,图标218,icon_act_swim,1,c_shop,,1,622
10473,图标219,icon_act_walk,1,c_shop,,1,623
10474,图标220,icon_animation_act,1,c_shop,,1,624
10475,图标130,icon_bone,1,c_shop,,1,514
10476,图标178,icon_camera,1,c_shop,,1,579
10477,图标179,icon_close_ar,1,c_shop,,1,580
10478,图标221,icon_custom_all,1,c_shop,,1,625
10479,图标222,icon_custom_back,1,c_shop,,1,626
10480,图标223,icon_custom_cloth,1,c_shop,,1,627
10481,图标224,icon_custom_Expression,1,c_shop,,1,628
10482,图标225,icon_custom_foot,1,c_shop,,1,629
10483,图标226,icon_custom_hands,1,c_shop,,1,630
10484,图标227,icon_custom_head,1,c_shop,,1,631
10485,图标243,icon_custom_n,1,c_shop,,1,647
10486,图标228,icon_custom_pants,1,c_shop,,1,632
10487,图标229,icon_custom_record,1,c_shop,,1,633
10488,图标230,icon_custom_shoes,1,c_shop,,1,634
10489,图标244,icon_gambling_n,1,c_shop,,1,648
10490,图标131,icon_goto,1,c_shop,,1,515
10491,图标180,icon_help_ar,1,c_shop,,1,581
10492,图标181,icon_hide_ar,1,c_shop,,1,582
10493,图标231,icon_like,1,c_shop,,1,635
10494,图标132,icon_model_pack,1,c_shop,,1,516
10495,图标133,icon_model,1,c_shop,,1,517
10496,图标134,icon_move_ar_b,1,c_shop,,1,518
10497,图标135,icon_myfactory,1,c_shop,,1,519
10498,图标245,icon_new_n,1,c_shop,,1,649
10499,图标246,icon_pack_n,1,c_shop,,1,650
10500,图标247,icon_pet_n,1,c_shop,,1,651
10501,图标248,icon_prop_n,1,c_shop,,1,652
10502,图标249,icon_recharge_n,1,c_shop,,1,653
10503,图标250,icon_recommend_n,1,c_shop,,1,654
10504,图标251,icon_role_n,1,c_shop,,1,655
10505,图标232,icon_sfx,1,c_shop,,1,636
10506,图标233,icon_skin,1,c_shop,,1,637
10507,图标234,icon_star_act,1,c_shop,,1,638
10508,图标235,icon_standard_act,1,c_shop,,1,639
10509,图标252,icon_style,1,c_shop,,1,656
10510,图标253,icon_subscribe_n,1,c_shop,,1,657
10511,图标182,icon_success_ar,1,c_shop,,1,583
10512,图标254,icon_tvgift_n,1,c_shop,,1,658
10513,图标136,img_decorate_08,1,c_shop,,1,520
10514,图标137,label_subscribe_red,1,c_shop,,1,521
10515,图标138,lqjl_bg1,1,c_shop,,1,522
10516,底板102,btn_special_blue,4,c_shop,,1,381
