iD,备注（坐骑必须配置两个，服务器解锁用0级，客户端商店用1级）,被骑时高度,存档界面显示放缩,商城界面显示放缩,最小生命,最大生命,最小陆地速度,最大陆地速度,最小飞行速度,最大飞行速度,最小游泳速度,最大游泳速度,最小跳跃高度,最大跳跃高度,坐骑蛋ID,下蛋时间(刻),骑乘切换背视角,子模型显示（原鞍使用模型）,天生装备鞍,天生装备铠甲,铠甲栏位概率,天生技能1（1孵化蛋，2蓄力期间加速，3水上行走，4超级跳跃，5滑翔，6岩浆行走，7奔腾）,天生技能2（同天生技能1）,天生技能3（同天生技能1）,坐骑类型(1=变形关联坐骑2=驯服类坐骑3=解锁坐骑),骑乘绑点ID,"个人中心界面位置调整（基准位置-260, 20, -150）"
3440,大陆行鸟,290,0.55,,200,200,1000,1000,,,,,120,120,953,108000,,2,11810,,100,9,,,3,,
3441,跃动陆行鸟,290,0.55,,200,200,1100,1100,,,,,130,130,953,72000,,3,11810,,100,9,,,3,,
3442,小白象,290,0.7,,160,160,500,600,,,,,60,80,,,,1,11810,,1,,,,3,,"-280, 20, -150"
3443,迷你小白象,290,0.7,,180,180,800,800,,,,,90,90,954,108000,,2,11810,,100,,,,3,,"-280, 20, -150"
3444,盛典小白象,290,0.7,,260,260,900,900,,,,,100,100,954,72000,,3,11810,,100,11,,,3,,"-280, 20, -150"
3445,海豹水手,290,0.6,,160,160,300,400,,,400,450,40,50,,,,1,11810,,1,12,,,3,,"-300, 20, -150"
3446,海豹船长,290,0.6,,180,180,500,500,,,550,550,60,60,955,108000,,2,12273,,100,13,,,3,,"-300, 20, -150"
3447,超能海豹,290,0.6,,200,200,600,600,,,700,700,80,80,955,72000,,3,12273,12274,100,13,14,,3,,"-300, 20, -150"
3448,擎天柱0级,190,0.55,,100,100,1000,1000,,,,,80,80,,,,,,,,,,,1,,
3449,擎天柱,190,0.55,,100,100,2000,2000,,,,,80,80,,,,,,,,15,,,1,,
3450,威震天0级,190,0.55,,100,100,1000,1000,,,,,80,80,,,,,,,,,,,1,,
3451,威震天,190,0.55,,100,100,2000,2000,,,,,80,80,,,,,,,,16,,,1,,
3452,大黄蜂0级,190,0.55,,100,100,1000,1000,,,,,70,70,,,,,,,,,,,1,,
3453,大黄蜂,190,0.55,,100,100,2000,2000,,,,,70,70,,,,,,,,17,,,1,,
3454,猫咪0级,290,0.7,,160,160,500,600,,,,,70,90,,,,1,11810,,1,,,,3,,"-280, 20, -150"
3455,猫咪1级,290,0.7,,180,180,800,800,,,,,100,100,956,108000,,2,12273,,100,18,,,3,,"-280, 20, -150"
3456,猫咪2级,290,0.7,,200,200,900,900,,,,,130,130,956,72000,,3,12273,12274,100,18,19,,3,,"-280, 20, -150"
3457,天马0级,290,0.7,,160,160,600,700,,,,,60,60,,,,1,11810,,1,,,,3,,
3458,天马1级,290,0.7,,180,180,900,900,,,,,90,90,957,108000,,2,12273,,100,20,,,3,,
3459,天马2级,290,0.7,,200,200,1000,1000,,,,,100,100,957,72000,,3,12273,12274,100,21,,,3,,
3460,竹制轿子,290,0.55,,160,160,300,400,,,,,50,50,,,,1,11810,,1,24,,,3,,
3461,镶金轿子,290,0.55,,180,180,500,500,,,,,60,60,958,108000,,2,11810,,100,22,,,3,,
3462,桃花轿子,290,0.55,,200,200,600,600,,,,,70,70,958,72000,,3,11810,,100,22,23,,3,,
3463,红蜘蛛0级,190,0.55,,100,100,1000,1000,,,,,80,80,,,,,,,,,,,1,,
3464,红蜘蛛,190,0.55,,100,100,2000,2000,,,,,80,80,,,,,,,,25,,,1,,
3465,热破0级,190,0.55,,100,100,1000,1000,,,,,80,80,,,,,,,,,,,1,,
3466,热破,190,0.55,,100,100,2000,2000,,,,,80,80,,,,,,,,26,,,1,,
3467,惊破天0级,190,0.55,,100,100,1000,1000,,,,,80,80,,,,,,,,,,,1,,
3468,惊破天,190,0.55,,100,100,2000,2000,,,,,80,80,,,,,,,,27,,,1,,
3469,魔龙0级,290,0.7,,160,160,300,400,,,,,50,50,,,,1,11810,,1,,,,3,,"-260, 10, -150"
3470,魔龙1级,290,0.7,,180,180,500,500,,,,,60,60,1800,108000,,2,12273,,100,28,30,,3,,"-260, 10, -150"
3471,魔龙2级,290,0.7,,200,200,600,600,,,,,70,70,1800,72000,,3,12273,12274,100,29,31,,3,,"-260, 10, -150"
3472,钢锁0级,190,0.55,,100,100,1000,1000,,,,,70,70,,,,,,,,,,,1,,
3473,钢锁,190,0.55,,100,100,2000,2000,,,,,70,70,,,,,,,,32,,,1,,
3474,飞标0级,190,0.55,,100,100,1000,1000,,,,,80,80,,,,,,,,,,,1,,
3475,飞标,190,0.55,,100,100,2000,2000,,,,,80,80,,,,,,,,33,,,1,,
3476,嚎叫0级,190,0.55,,100,100,1000,1000,,,,,70,70,,,,,,,,,,,1,,
3477,嚎叫,190,0.55,,100,100,2000,2000,,,,,70,70,,,,,,,,34,,,1,,
3478,月明星稀,290,0.7,0.7,160,160,400,400,,,,,50,50,,,,1,11810,,1,,,,3,,"-260, -80, -150"
3479,玉兔桃花,290,0.7,,180,180,500,500,,,,,60,60,1801,108000,,2,12273,,100,35,,,3,,"-260, -80, -150"
3480,皎月仙宫,290,0.7,,200,200,600,600,,,,,70,70,1801,72000,,3,12273,12274,100,35,36,,3,,"-230, -80, -150"
3481,兔子先生拉比0级,190,0.55,,100,100,1000,1000,,,,,60,60,,,,,,,,,,,1,,
3482,兔子先生拉比,190,0.55,,100,100,1500,1500,,,,,60,60,,,,,,,,37,,,1,,
3483,圣诞坐骑0级暖冬祝福,290,0.55,0.7,160,160,400,400,,,,,50,50,,,,1,11810,,1,,,,3,,"-240, 20, -150"
3484,圣诞坐骑1级圣夜惊喜,290,0.55,0.7,180,180,500,500,,,,,60,60,1802,108000,,2,11810,,100,22,,,3,,"-240, 20, -150"
3485,圣诞坐骑2级冰雪传说,290,0.55,0.7,200,200,600,600,,,,,70,70,1802,72000,,3,11810,,100,22,39,,3,,"-240, 20, -150"
3486,缤纷幻想0级,290,0.55,1.7,200,200,600,600,,,,,70,70,,,,1,11810,,100,,,,3,,"-290, 20, -150"
3487,缤纷幻想,290,0.55,1.7,200,200,600,600,,,,,70,70,,,,2,11810,,100,40,,,3,,"-290, 20, -150"
3488,福运哞哞0,290,0.55,1.2,200,200,600,600,,,,,70,70,,,,1,11810,,100,,,,3,,
3489,福运哞哞,290,0.55,1.2,200,200,600,600,,,,,70,70,,,,2,11810,,100,41,,,3,,
3490,攀崖观日,290,0.2,0.3,200,200,600,600,,,500,500,70,70,,,,1,11810,,1,,,,3,,"-290, 60, -150"
3491,北辰荧火,290,0.2,0.3,200,200,650,700,,,600,600,100,100,1803,108000,,2,11810,,100,42,44,,3,,"-290, 60, -150"
3492,浮游山海,290,0.2,0.3,300,300,750,800,,,750,750,130,130,1803,72000,,3,11810,,100,42,43,44,3,,"-290, 60, -150"
3493,牛魔王0级,190,0.55,0.3,100,100,1000,1000,,,,,80,100,,,,,,,,,,,1,,
3494,牛魔王,190,0.55,,100,100,1500,1500,,,,,110,120,,,,,,,,45,46,,1,,
3495,莲花0级,290,0.4,0.5,160,160,400,400,,,,,50,50,,,,1,11810,,1,,,,3,,"-280, 20, -150"
3496,莲花1级,290,0.4,0.5,180,180,500,500,,,,,60,60,1804,108000,,2,12273,,100,47,,,3,,"-280, 20, -150"
3497,莲花2级,290,0.4,0.5,200,200,600,600,,,,,70,70,1804,72000,,3,12273,12274,100,48,,,3,,"-240, 20, -150"
3625,海马（驯服）,290,0.2,0.3,300,300,750,800,,,750,750,60,70,,,,3,11810,,100,60,,,2,,
3823,骆驼（驯服）,290,0.7,,150,300,400,500,,,,,60,100,,,,1,11810,,1,,,,2,,
3891,驯服的牛,190,0.7,,70,100,300,300,,,,,50,50,,,,1,11810,,,,,,3,,
3896,驯服的焱焱蟹（坐骑）,190,0.8,,100,100,250,250,,,,,50,50,,,,1,11810,,,6,,,3,,
3912,牦牛（驯服）,290,0.7,,150,225,500,700,2horse456,,,,60,80,,,,1,11810,,1,,,,2,,
4500,九色鹿0级,290,0.4,,200,200,600,600,,,,,70,70,,,,1,11810,,1,,,,3,,"-300, 20, -150"
4501,九色鹿1级,290,0.4,,200,200,600,600,,,,,70,70,,,,2,12273,12274,100,49,,,3,,"-300, 20, -150"
4502,九色鹿2级,290,0.4,,200,200,600,600,,,,,70,70,,,,3,12273,12274,100,50,,,3,,"-300, 20, -150"
4503,九色鹿3级,290,0.4,,200,200,600,600,,,,,70,70,,,,4,12273,12274,100,50,51,,3,,"-300, 20, -150"
4504,南瓜车0级,290,0.4,0.7,200,200,600,600,,,,,70,70,,,1,1,11810,,1,,,,3,,"-230, 20, -150"
4505,南瓜车1级,290,0.4,0.7,160,160,400,400,,,,,50,50,,,1,2,12273,12274,100,52,,,3,,"-230, 20, -150"
4506,南瓜车2级,290,0.4,0.7,180,180,600,600,,,,,60,60,,,1,3,12273,12274,100,52,54,,3,,"-230, 20, -150"
4507,南瓜车3级,290,0.4,0.7,200,200,800,800,,,,,70,70,,,1,4,12273,12274,100,53,55,,3,,"-230, 20, -150"
4508,竹蜻蜓0级,290,0.7,,140,140,300,400,,,,,60,60,,,,1,11810,,1,,,,3,,"-260, 60, -150"
4509,竹蜻蜓1级,290,0.7,1.7,140,140,400,400,,,,,60,60,,,,2,12273,12274,100,56,57,,3,,"-260, 60, -150"
4510,竹蜻蜓2级,290,0.7,1.7,160,160,600,600,,,,,70,70,,,,3,12273,12274,100,56,58,,3,,"-260, 60, -150"
4511,白天鹅0级,290,0.7,,160,160,400,400,,,,,70,70,,,,1,,,,,,,3,,"-300, 20, -150"
4512,灰甜绒绒 ,290,0.7,,100,100,300,300,,,,,70,70,,,,2,11810,,100,,,,3,,"-300, 20, -150"
4513,星愿雪霜 ,290,0.7,,160,160,400,400,,,,,70,70,,,,3,12273,12274,100,59,,,3,,"-280, 20, -150"
4514,绮幻奇旅 ,290,0.7,,180,180,500,500,,,500,500,90,90,,,,4,12273,12274,100,59,60,,3,,"-280, 20, -150"
4515,曦光绘梦,290,0.7,,200,200,700,700,,,700,700,130,130,,,,5,12273,12274,100,59,60,61,3,,"-280, 20, -150"
4516,黑飞机0级,290,0.4,0.6,140,140,300,400,,,,,50,50,,,1,1,11810,,1,,,,3,,
4517,黑飞机1级,290,0.4,0.6,180,180,500,500,,,,,60,60,,,1,2,12273,,100,62,66,,3,,
4518,黑飞机2级,290,0.4,0.6,200,200,600,600,,,,,70,70,,,1,3,12273,12274,100,63,67,68,3,,
4519,白飞机0级,290,0.4,0.6,140,140,300,400,,,,,50,50,,,1,1,11810,,1,,,,3,,
4520,白飞机1级,290,0.4,0.6,180,180,500,500,,,,,60,60,,,1,2,12273,,100,64,66,,3,,
4521,白飞机2级,290,0.4,0.6,200,200,600,600,,,,,70,70,,,1,3,12273,12274,100,65,67,68,3,,
4522,小汽车0级,290,0.7,,180,180,500,500,,,,,60,60,,,1,1,11810,,1,,,,3,,
4523,小汽车1级,290,0.4,0.7,200,200,600,600,,,,,70,70,,,1,2,11810,,1,69,,,3,,
4524,环海洛洛0级,290,0.4,0.7,160,160,400,400,,,,,70,70,,,1,1,,,,,,,3,,"-320, 20, -150"
4525,环海洛洛,290,0.4,0.7,160,160,500,500,,,500,500,50,50,,,1,2,11810,,100,70,13,,3,,"-320, 20, -150"
4526,环海洛洛-进阶,290,0.4,0.7,220,220,650,650,,,700,700,60,60,,,1,3,12273,12274,100,70,13,71,3,,"-320, 20, -150"
4527,尼东洛洛0级,290,0.5,0.9,160,160,400,400,,,,,70,70,,,1,1,,,,,,,3,,"-320, 20, -150"
4528,尼东洛洛,290,0.5,0.9,160,160,500,500,,,500,500,50,50,,,1,2,11810,,100,72,13,,3,,"-320, 20, -150"
4529,尼东洛洛-进阶,290,0.5,0.9,220,220,650,650,,,700,700,60,60,,,1,3,12273,12274,100,72,13,73,3,,"-320, 20, -150"
4530,龙0级,290,0.5,0.7,160,160,500,500,,,,,80,80,,,1,1,11810,,1,,,,3,,"-300, 20, -150"
4531,红芒赤蛟,290,0.5,0.7,160,160,500,500,,,,,80,80,,,1,2,12273,12274,100,74,,,3,,"-300, 20, -150"
4532,九霄金龙,290,0.5,0.7,180,180,700,700,,,,,90,90,,,1,3,12273,12274,100,75,20,,3,,"-300, 20, -150"
4533,虚空龙祖,290,0.5,0.7,280,280,900,900,,,,,100,100,,,1,4,12273,12274,100,76,21,11,3,,"-300, 20, -150"
4534,画舫0级,290,0.4,0.5,160,160,400,400,,,,,50,50,,,1,1,11810,,1,,,,3,,"-300, 20, -150"
4535,玲珑音韵,290,0.4,0.5,160,160,500,500,,,,,50,50,,,1,2,12273,12274,100,77,,,3,,"-300, 20, -150"
4536,蝶弄清影,290,0.4,0.5,180,180,600,600,,,,,60,60,,,1,3,12273,12274,100,78,3,,3,,"-300, 20, -150"
4537,繁花夜明,290,0.4,0.5,200,200,700,700,,,,,70,70,,,1,4,12273,12274,100,79,3,80,3,,"-220, 20, -150"
4538,魔毯0级,290,0.5,0.7,160,160,400,400,,,,,50,50,,,1,1,11810,,1,,,,3,,
4539,天方夜谭,290,0.5,0.7,160,160,500,500,,,,,50,50,,,1,2,12273,12274,100,81,,,3,,
4540,波斯飞毯,290,0.5,0.7,180,180,600,600,,,,,60,60,,,1,3,12273,12274,100,82,22,,3,,
4541,星月魔毯,290,0.5,0.7,200,200,750,750,,,,,70,70,,,1,4,12273,12274,100,83,22,84,3,,
4542,机械鸟0级,290,0.5,0.7,160,160,500,500,,,,,50,50,,,1,1,11810,,1,,,,3,,"-380, 20, -150"
4543,咕咕,290,0.5,0.7,160,160,500,500,,,,,50,50,,,1,2,12273,12274,100,85,,,3,,"-380, 20, -150"
4544,炼金雀,290,0.5,0.7,180,180,600,600,,,,,60,60,,,1,3,12273,12274,100,85,87,,3,,"-300, 20, -150"
4545,千机隼,290,0.5,0.7,200,200,800,800,,,,,70,70,,,1,4,12273,12274,100,86,87,88,3,,"-300, 20, -150"
4546,打碟机0级,290,0.5,0.7,200,200,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,
4547,最强音浪,290,0.5,0.7,200,200,600,600,,,,,60,60,,,1,2,12273,12274,100,89,91,,3,,
4548,无限电音,290,0.5,0.7,220,220,800,800,,,,,70,70,,,1,3,12273,12274,100,90,92,,3,,"-220, 20, -150"
4549,花架0级,290,0.5,0.5,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,"-290, 20, -150"
4550,云中花架,290,0.55,0.55,200,200,600,600,,,,,60,60,,,1,2,12273,12274,100,93,94,,3,,"-290, 20, -150"
4551,云梦飞舞,290,0.55,0.55,220,220,800,800,,,,,70,70,,,1,3,12273,12274,100,93,94,95,3,,"-290, 20, -150"
4552,扇子0级,290,0.5,0.7,200,200,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,
4553,水云游,290,0.5,0.7,220,220,700,700,,,,,60,60,,,1,2,12273,12274,100,96,98,,3,,
4554,醉花荫,290,0.5,0.7,260,260,900,900,,,,,70,70,,,1,3,12273,12274,100,97,98,99,3,,
4555,旺财0级,290,0.5,,200,200,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,"-300, 20, -150"
4556,旺财,290,0.5,,200,200,600,600,,,,,60,60,,,1,2,12273,12274,101,100,,,3,,"-300, 20, -150"
4557,旺财2级预留,,,,,,,,,,,,,,,,,,,,,,,,,,"-300, 20, -150"
4558,旺财3级预留,,,,,,,,,,,,,,,,,,,,,,,,,,"-300, 20, -150"
4559,帝皇驹0级,290,0.5,,220,220,800,800,,,,,60,60,,,1,1,11810,,1,,,,3,,"-300, 20, -150"
4560,超音帝皇驹,290,0.5,,220,220,800,800,,,,,60,60,,,1,2,12273,12274,100,101,,,3,,"-300, 20, -150"
4561,陆行帝皇驹,290,0.5,,240,240,900,900,,,,,70,70,,,1,3,12273,12274,100,101,103,,3,210,"-300, 20, -150"
4562,帝皇战龙,290,0.5,,260,260,1000,1000,,,,,80,80,,,1,4,12273,12274,100,102,103,104,3,220,"-300, 20, -150"
4563,布老虎0级,290,0.5,,180,180,700,700,,,,,60,60,,,1,1,11810,,1,,,,3,,"-300, 20, -150"
4564,小老虎,290,0.5,,180,180,700,700,,,,,60,60,,,1,2,12273,12274,100,105,,,3,,"-300, 20, -150"
4565,萌虎下山,290,0.5,,200,200,800,800,,,,,80,80,,,1,3,12273,12274,100,105,107,,3,210,"-300, 20, -150"
4566,虎虎生威,290,0.5,,220,220,900,900,,,,,100,100,,,1,4,12273,12274,100,106,107,108,3,220,"-300, 20, -150"
4567,米兰达0级,290,0.5,,100,100,2000,2000,,,,,70,70,,,,1,11810,,,,,,1,,
4568,米兰达,290,0.5,,100,100,2000,2000,,,,,70,70,,,,2,12273,12274,,,,,1,,
4569,帝皇侠0级,290,0.5,,100,100,2000,2000,,,,,70,70,,,,1,11810,,,,,,1,,
4570,帝皇侠,290,0.5,,100,100,2000,2000,,,,,70,70,,,,2,12273,12274,,,,,1,,
4571,纸鹤0级,290,0.5,0.7,160,160,500,500,,,,,60,60,,,1,1,11810,,1,,,,3,,"-300, 20, -150"
4572,星语心愿,290,0.5,0.7,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,109,,,3,,"-300, 20, -150"
4573,华灯初上,290,0.5,0.7,180,180,700,700,,,,,70,70,,,1,3,12273,12274,100,110,112,,3,,"-300, 20, -150"
4574,春风燕语,290,0.5,0.7,200,200,800,800,,,,,80,80,,,1,4,12273,12274,100,111,112,113,3,,"-300, 20, -150"
4575,沙漠之舟0级,290,0.5,,160,160,500,500,,,,,60,60,,,1,1,11810,,1,,,,3,,
4576,沙漠之舟,290,0.5,,220,220,600,600,,,,,60,60,,,1,2,12273,12274,100,6,,,3,,
4577,绿洲使者,290,0.5,,260,260,700,700,,,,,70,70,,,1,3,12273,12274,100,6,,,3,,
4578,华丽神驼,290,0.5,,290,290,800,800,,,,,80,80,,,1,4,12273,12274,100,6,,,3,,
4579,画卷0级,290,0.5,,180,180,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,"-210, 20, -150"
4580,梦逍遥,290,0.5,,180,180,600,600,,,,,60,60,,,1,2,12273,12274,100,114,116,,3,,"-210, 20, -150"
4581,绘江山,290,0.5,,200,200,700,700,,,,,70,70,,,1,3,12273,12274,100,115,116,117,3,,"-210, 20, -150"
4582,仙钥0级,290,0.5,0.55,160,160,500,500,,,,,60,60,,,1,1,11810,,1,,,,3,,
4583,逐影之钥,290,0.5,0.7,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,118,,,3,200,"-230, 20, -150"
4584,梦璃之钥,290,0.5,0.7,180,180,700,700,,,,,70,70,,,1,3,12273,12274,100,118,9,,3,210,
4585,羽辉之钥,290,0.5,0.6,200,200,800,800,,,,,80,80,,,1,4,12273,12274,100,119,9,120,3,220,"-290, 20, -150"
4586,御剑0级,290,0.5,,180,180,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,
4587,赤霄长剑,290,0.5,,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,121,123,,3,,
4588,轩辕圣剑,290,0.5,,180,180,700,700,,,,,70,70,,,1,3,12273,12274,100,122,123,124,3,,
4589,浴缸0级,290,0.5,,180,180,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,"-280, 30, -150"
4590,休闲时光,290,0.3,0.6,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,125,,,3,,"-280, 30, -150"
4591,童趣时光,290,0.3,0.6,180,180,700,700,,,,,70,70,,,1,3,12273,12274,100,125,127,,3,,"-280, 30, -150"
4592,梦幻时光,290,0.3,0.5,200,200,800,800,,,,,80,80,,,1,4,12273,12274,100,126,127,128,3,,"-280, 30, -150"
4593,狐仙0级,290,0.5,,180,180,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,"-280, 20, -150"
4594,萌小狸,290,0.5,,160,160,600,600,,,,,70,70,,,1,2,12273,12274,100,129,,,3,200,"-340, 20, -150"
4595,狐灵俐,290,0.5,,180,180,700,700,,,,,80,80,,,1,3,12273,12274,100,129,131,,3,210,"-300, 20, -150"
4596,赤颜幻姬,290,0.5,,200,200,800,800,,,,,90,90,,,1,4,12273,12274,100,130,131,132,3,220,"-280, 20, -150"
4597,猫猫车0级,290,0.5,,200,200,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,"-280, 20, -150"
4598,喵萌敞篷车,290,0.5,,200,200,600,600,,,,,60,60,,,1,2,12273,12274,100,133,,,3,,"-280, 20, -150"
4599,猫猫车2级预留,290,0.5,,,,,,,,,,,,,,,,,,,,,,,,"-280, 20, -150"
4600,猫猫车3级预留,290,0.5,,,,,,,,,,,,,,,,,,,,,,,,"-280, 20, -150"
4601,骆驼0级,290,0.5,,180,180,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,"-280, 20, -150"
4602,驼铃声声,290,0.5,,160,160,600,600,,,,,70,70,,,1,2,12273,12274,100,134,,,3,,"-280, 20, -150"
4603,沙漠之舟,290,0.5,,180,180,700,700,,,,,80,80,,,1,3,12273,12274,100,134,135,,3,,"-280, 20, -150"
4604,骆驼3级预留,290,0.5,,,,,,,,,,,,,,,,,,,,,,,,"-280, 20, -150"
4605,孔雀0级,290,0.5,,180,180,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,"-280, 20, -150"
4606,青绿,290,0.5,,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,136,,,3,200,"-280, 20, -150"
4607,子夜,290,0.5,,180,180,700,700,,,,,70,70,,,1,3,12273,12274,100,137,139,,3,210,"-280, 20, -150"
4608,韶光,290,0.5,,200,200,800,800,,,,,80,80,,,1,4,12273,12274,100,138,139,140,3,220,"-280, 20, -150"
4609,月饼0级,290,0.5,,180,180,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,"-320, 20, -150"
4610,心里软,290,0.5,,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,141,,,3,200,"-320, 20, -150"
4611,遥相思,290,0.5,0.7,180,180,700,700,,,,,70,70,,,1,3,12273,12274,100,142,143,,3,210,"-300, 20, -150"
4612,月中桂,290,0.5,0.6,200,200,800,800,,,,,80,80,,,1,4,12273,12274,100,142,143,144,3,220,"-280, 20, -150"
4613,步撵0级,290,0.5,,180,180,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,
4614,紫幽铃,290,0.5,0.75,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,145,,,3,,
4615,铃梦沁蝶,290,0.5,0.75,180,180,700,700,,,,,70,70,,,1,3,12273,12274,100,145,147,,3,,
4616,风铃兰语,290,0.5,0.75,200,200,1200,1200,,,,,80,80,,,1,4,12273,12274,100,146,147,148,3,,
4617,滑板0级,290,0.5,,180,180,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,"-320,20,-150"
4618,枫潮滑板,290,0.5,1.2,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,149,,,3,,"-320,20,-150"
4619,极限枫动,290,0.5,1.2,180,180,700,700,,,,,70,70,,,1,3,12273,12274,100,149,150,,3,,"-320,20,-150"
4620,滑板3级预留,290,0.5,,200,200,800,800,,,,,80,80,,,1,4,12273,12274,100,,,,3,,
4621,天幕星龙 卡珀0级,290,0.5,,100,100,2000,2000,,,,,70,70,,,,1,11810,,,,,,1,,
4622,天幕星龙 卡珀,290,0.5,,100,100,2000,2000,,,,,70,70,,,,2,12273,12274,,,,,1,,
4623,猪宝宝,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,200,"-280, 40, -150"
4624,飞行猪噜噜,290,0.5,0.8,160,160,600,600,,,,,60,60,1873,108000,1,2,12273,12274,100,151,,,3,210,"-320, 40, -150"
4625,朋克猪燃燃,290,0.5,0.8,180,180,700,700,,,,,70,70,1873,72000,1,3,12273,12274,100,151,152,,3,220,"-280, 40, -150"
4626,飞天小猪3级预留,290,0.5,,200,200,800,800,,,,,80,80,,,1,4,12273,12274,100,,,,3,,"-280, 40, -150"
4627,兔子坐骑0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,"-300, 20, -150"
4628,流云玉兔,290,0.5,,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,153,154,,3,200,"-300, 20, -150"
4629,福兔临门,290,0.5,,180,180,700,700,,,,,70,70,,,1,3,12273,12274,100,153,154,155,3,200,"-300, 20, -150"
4630,兔子3级预留,290,0.5,,200,200,800,800,,,,,80,80,,,1,4,12273,12274,100,,,,3,,"-300, 20, -150"
