索引,矿编号,出现地图/0迷拉星 1烈焰星 2萌眼星,名字,最小高度,最大高度,最小高度Falloff,最大高度Falloff,产生方式,（无效字段）出现概率（万分之),矿脉最大矿石数量(最小填3）,矿脉生成次数,替换方块,"生态生成（生态名+英文逗号分隔,MAX_BIOME_TYPE：全部生态）"
29,403,2,缠丝玛瑙原石,0,80,3,16,1,8,4,7,116,MAX_BIOME_TYPE
30,445,2,星瞳矿石（高原）,45,64,3,2,0,100,3,3,116,MAX_BIOME_TYPE
31,445,2,星瞳矿石（空岛）,65,120,3,2,0,100,3,9,118,MAX_BIOME_TYPE
32,446,2,紫荧矿石（空岛）,65,120,3,2,0,100,3,16,117,MAX_BIOME_TYPE
33,448,2,石油块,15,55,3,2,0,100,3,8,116,MAX_BIOME_TYPE
34,452,2,钛合金矿,16,30,0,0,0,100,3,8,116,MAX_BIOME_TYPE
35,447,2,神秘化石,2,100,0,0,0,100,3,1,116,MAX_BIOME_TYPE
36,24,0,锰结核矿,4,18,3,2,0,8,4,3,23,DEEPOCEAN
37,24,0,锰结核矿,4,18,3,2,0,8,4,3,104,DEEPOCEAN
38,101,0,土块,0,127,10,32,0,100,33,10,104,"ICE_PLAINS_MOUNTAIN,ICE_PLAINS_HIGHEST_PEAK,ICE_PLAINS_SECOND_PEAK,ICE_PLAINS_MOUTAINSIDE"
39,101,0,土块,128,200,10,32,0,100,33,10,104,"ICE_PLAINS_MOUNTAIN,ICE_PLAINS_HIGHEST_PEAK,ICE_PLAINS_SECOND_PEAK,ICE_PLAINS_MOUTAINSIDE"
40,33,0,平凡晶核矿（雨林）,0,41,5,5,0,8,3,8,104,RAINFOREST
41,33,0,平凡晶核矿（雪山）,10,100,5,5,0,8,3,8,104,"ICE_PLAINS_MOUNTAIN,ICE_PLAINS_HIGHEST_PEAK,ICE_PLAINS_SECOND_PEAK,ICE_PLAINS_MOUTAINSIDE"
42,34,0,霜火石矿,0,127,2,3,0,8,3,3,104,"ICE_PLAINS_MOUNTAIN,ICE_PLAINS_HIGHEST_PEAK,ICE_PLAINS_SECOND_PEAK,ICE_PLAINS_MOUTAINSIDE"
43,34,0,霜火石矿（127以上）,128,200,2,3,0,8,3,2,104,"ICE_PLAINS_MOUNTAIN,ICE_PLAINS_HIGHEST_PEAK,ICE_PLAINS_SECOND_PEAK,ICE_PLAINS_MOUTAINSIDE"
44,402,0,凝能矿,0,127,5,20,0,100,10,15,104,"ICE_PLAINS_MOUNTAIN,ICE_PLAINS_HIGHEST_PEAK,ICE_PLAINS_SECOND_PEAK,ICE_PLAINS_MOUTAINSIDE"
45,402,0,凝能矿,128,193,5,20,0,100,10,12,104,"ICE_PLAINS_MOUNTAIN,ICE_PLAINS_HIGHEST_PEAK,ICE_PLAINS_SECOND_PEAK,ICE_PLAINS_MOUTAINSIDE"
46,451,0,铜合金矿,128,193,3,2,0,72,4,12,104,"ICE_PLAINS_MOUNTAIN,ICE_PLAINS_HIGHEST_PEAK,ICE_PLAINS_SECOND_PEAK,ICE_PLAINS_MOUTAINSIDE"
47,401,0,秘银矿,128,193,4,2,0,48,4,12,104,"ICE_PLAINS_MOUNTAIN,ICE_PLAINS_HIGHEST_PEAK,ICE_PLAINS_SECOND_PEAK,ICE_PLAINS_MOUTAINSIDE"
48,452,0,钛合金矿（火山）,31,55,3,2,0,8,3,3,104,"ICE_PLAINS_MOUNTAIN,ICE_PLAINS_HIGHEST_PEAK,ICE_PLAINS_SECOND_PEAK,ICE_PLAINS_MOUTAINSIDE"
49,598,0,掩埋的机械,31,120,0,0,0,100,3,15,104,"ICE_PLAINS_MOUNTAIN,ICE_PLAINS_HIGHEST_PEAK,ICE_PLAINS_SECOND_PEAK,ICE_PLAINS_MOUTAINSIDE"
50,123,0,自然冰,40,190,5,5,0,100,8,30,104,"ICE_PLAINS_MOUNTAIN,ICE_PLAINS_HIGHEST_PEAK,ICE_PLAINS_SECOND_PEAK,ICE_PLAINS_MOUTAINSIDE"
51,452,1,钛合金矿,100,130,0,0,0,100,3,8,124,MAX_BIOME_TYPE
52,404,1,钨金矿,81,110,3,2,0,8,3,5,124,MAX_BIOME_TYPE
