成就ID,前置ID1,前置ID2,前置ID3,前置ID4,跟踪任务（完成该任务后下一个跟踪的任务）,图标ID,X轴,Y轴,名称,描述(加上@1会显示任务计数),追踪,组（1新手2主线3生产4战斗5其他6极限）,类型（1普通2账号）,目标（1拾取物品2制作物品3冶炼物品4使用物品5损耗物品6开采物品7击败生物8繁殖生物9驯服生物10行走距离11游泳距离12摔落距离13攀爬距离14飞行距离15水下移动距离16坐轨道车距离17坐船距离18骑墩墩距离19骑马距离20跳跃次数21失败次数22物品掉落次数23造成伤害24受到伤害25好友数26转发数27分享地图28星星29获得玫瑰30获得钨金31获得赞32获得皮肤33附魔34激活传送门35进入区域36NPC交易37存活天数38到达某个世界(0=主世界1=烈焰星2=萌眼星)39与方块交互40镶嵌符文石41激活祭坛）,组（0不为组1为组）,"对象ID（点击描述会弹出这个对象的tips,只会弹出道具的）",数值,奖励1类型（0道具1星星2迷你币）,奖励ID1,数量,奖励2类型（0道具1星星2钨金）,奖励ID2,数量,成就点数,指引图片（读取bin\res\ui\achievement目录下的文件名）,奖励发放类型（1=自动发放 2=手动领取）
1024,1254,,,,1257,13502,33,3,屠龙者,击败烈焰星上的远古黑龙@1,击败#cfa7a0f远古黑龙,2,1,7,,3502,1,1,1,5,,,,1,1024,1
1025,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,0,0,0,0,,13402,9,3,墩墩培养者,手持草/肉饲料或青瓜大餐在草垛旁喂食两头墩墩，使其繁殖小墩墩达到200头@1,繁殖#cfa7a0f墩墩,3,1,8,,3811,200,1,1,5,,,,1,,1
1050,0,0,0,0,,13401,9,5,沃沃兽放牧,手持一把杂草或草饲料在草垛旁喂食两头沃沃兽，使其繁殖出小沃沃兽达到200头@1,繁殖#cfa7a0f沃沃兽,3,1,8,,3812,200,1,1,5,,,,1,,1
1051,0,0,0,0,,13403,9,7,呦！,手持一把杂草或草饲料在草垛旁喂食两头角鹿，使其繁殖小角鹿达到200头@1,繁殖#cfa7a0f角鹿,3,1,8,,3814,200,1,1,5,,,,1,,1
1052,0,0,0,0,,13400,9,9,召唤小嘟嘟,手持草饲料在窝旁喂食嘟嘟鸟，使其繁殖小嘟嘟鸟达到200只@1,繁殖#cfa7a0f嘟嘟,3,1,8,,3813,200,1,1,5,,,,1,,1
1053,1049,1050,1051,1052,,1753,11,6,大规模繁殖基地,完成前置任务后自动完成该任务,完成#cfa7a0f养殖动物系列成就,3,1,0,,,,1,1,5,,,,1,,1
1054,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,0,0,0,0,,13105,15,4,猎手公敌,击败200只野人投矛手、@1,击败#cfa7a0f野人投矛手,4,1,7,,3105,200,1,1,5,,,,1,,1
1079,0,0,0,0,,13501,15,6,地心公敌,击败100只虚空使徒@1,击败#cfa7a0f虚空使徒,4,1,7,,3501,100,1,1,5,,,,1,,1
1080,0,0,0,0,,13101,15,8,野人公敌,击败500只野人战士@1,击败#cfa7a0f野人战士,4,1,7,,3101,500,1,1,5,,,,1,,1
1081,0,0,0,0,,13109,15,10,爆爆蛋！,击败200只爆爆蛋@1,击败#cfa7a0f爆爆蛋,4,1,7,,3109,200,1,1,5,,,,1,,1
1082,1078,1079,1080,1081,,12241,17,7,与神齐名,完成前置任务后自动完成该任务,完成#cfa7a0f击败迷拉星生物系列成就,4,2,0,,,,1,1,5,,,,1,,1
1083,0,0,0,0,,11012,1,1,勤劳矿工一,制作100支#L#cfa7a0f石矿镐#n@1#r（石矿镐可以采集秘银）,制作#cfa7a0f石矿镐,5,1,2,,11012,100,1,1,1,,,,1,,1
1084,0,0,0,0,,11013,3,1,勤劳矿工二,制作50支#L#cfa7a0f秘银镐#n@1#r（秘银镐可以采集高级矿）,制作#cfa7a0f秘银镐,5,1,2,,11013,50,1,1,2,,,,1,,1
1085,0,0,0,0,,11015,5,1,勤劳矿工三,制作20支#L#cfa7a0f钻头#n@1#r（钻头可以采集矿石）,制作#cfa7a0f钻头,5,1,2,,11015,20,1,1,5,,,,1,,1
1086,0,0,0,0,,632,7,1,玻璃一,冶炼10块#L#cfa7a0f玻璃块#n@1,冶炼#cfa7a0f玻璃块,5,1,3,,632,10,1,1,1,,,,1,,1
1087,0,0,0,0,,632,9,1,玻璃二,冶炼500块#L#cfa7a0f玻璃块#n@1,冶炼#cfa7a0f玻璃块,5,1,3,,632,500,1,1,2,,,,1,,1
1088,0,0,0,0,,632,11,1,玻璃三,冶炼2000块#L#cfa7a0f玻璃块#n@1,冶炼#cfa7a0f玻璃块,5,1,3,,632,2000,1,1,5,,,,1,,1
1089,0,0,0,0,,11209,1,3,来份秘银一,冶炼10份#L#cfa7a0f秘银#n@1,冶炼#cfa7a0f秘银,5,1,3,,11209,10,1,1,1,,,,1,,1
1090,0,0,0,0,,11209,3,3,来份秘银二,冶炼100份#L#cfa7a0f秘银#n@1,冶炼#cfa7a0f秘银,5,1,3,,11209,100,1,1,2,,,,1,,1
1091,0,0,0,0,,11209,5,3,来份秘银三,冶炼300份#L#cfa7a0f秘银#n@1,冶炼#cfa7a0f秘银,5,1,3,,11209,300,1,1,5,,,,1,,1
1092,0,0,0,0,,404,7,3,钨金矿一,开采10块#L#cfa7a0f钨金矿石#n@1,开采#cfa7a0f钨金矿石,5,1,6,,404,10,1,1,1,,,,1,,1
1093,0,0,0,0,,404,9,3,钨金矿二,开采50块#L#cfa7a0f钨金矿石#n@1,开采#cfa7a0f钨金矿石,5,1,6,,404,50,1,1,2,,,,1,,1
1094,0,0,0,0,,404,11,3,钨金矿三,开采200块#L#cfa7a0f钨金矿石#n@1,开采#cfa7a0f钨金矿石,5,1,6,,404,200,1,1,5,,,,1,,1
1095,0,0,0,0,,13407,1,5,训狐大师一,用嘟嘟鸟蛋驯服1只狐狸@1,驯服#cfa7a0f狐狸,5,1,9,,3407,1,1,1,1,,,,1,,1
1096,0,0,0,0,,13407,3,5,训狐大师二,用嘟嘟鸟蛋驯服5只狐狸@1,驯服#cfa7a0f狐狸,5,1,9,,3407,5,1,1,2,,,,1,,1
1097,0,0,0,0,,13407,5,5,训狐大师三,用嘟嘟鸟蛋驯服20只狐狸@1,驯服#cfa7a0f狐狸,5,1,9,,3407,20,1,1,5,,,,1,,1
1098,0,0,0,0,,11207,7,5,炽炎一,冶炼5份#L#cfa7a0f炽炎#n@1,冶炼#cfa7a0f炽炎,5,1,3,,11207,5,1,1,1,,,,1,,1
1099,0,0,0,0,,11207,9,5,炽炎二,冶炼100份#L#cfa7a0f炽炎#n@1,冶炼#cfa7a0f炽炎,5,1,3,,11207,100,1,1,2,,,,1,,1
1100,0,0,0,0,,11207,11,5,炽炎三,冶炼500份#L#cfa7a0f炽炎#n@1,冶炼#cfa7a0f炽炎,5,1,3,,11207,500,1,1,5,,,,1,,1
1101,0,0,0,0,,405,1,7,星能高手一,开采10块#L#cfa7a0f星能矿石#n@1,开采#cfa7a0f星能矿石,5,1,6,,405,10,1,1,1,,,,1,,1
1102,0,0,0,0,,405,3,7,星能高手二,开采200块#L#cfa7a0f星能矿石#n@1,开采#cfa7a0f星能矿石,5,1,6,,405,200,1,1,2,,,,1,,1
1103,0,0,0,0,,405,5,7,星能高手三,开采500块#L#cfa7a0f星能矿石#n@1,开采#cfa7a0f星能矿石,5,1,6,,405,500,1,1,5,,,,1,,1
1104,0,0,0,0,,12051,7,7,我需要石箭一,制作10支#L#cfa7a0f石箭#n@1,制作#cfa7a0f石箭,5,1,2,,12051,10,1,1,1,,,,1,,1
1105,0,0,0,0,,12051,9,7,我需要石箭二,制作100支#L#cfa7a0f石箭#n@1,制作#cfa7a0f石箭,5,1,2,,12051,100,1,1,2,,,,1,,1
1106,0,0,0,0,,12051,11,7,我需要石箭三,制作1000支#L#cfa7a0f石箭#n@1,制作#cfa7a0f石箭,5,1,2,,12051,1000,1,1,5,,,,1,,1
1107,0,0,0,0,,212,1,9,森林卫士一,种植超过10棵树@1#r（手持#L#cfa7a0f树木种子#n在土坑中种植）,种植#cfa7a0f树,5,1,4,1,11405,10,1,1,1,,,,1,,1
1108,0,0,0,0,,213,3,9,森林卫士二,种植超过200棵树@1#r（手持#L#cfa7a0f树木种子#n在土坑中种植）,种植#cfa7a0f树,5,1,4,1,11405,200,1,1,2,,,,1,,1
1109,0,0,0,0,,214,5,9,森林卫士三,种植超过2000棵树@1#r（手持#L#cfa7a0f树木种子#n在土坑中种植）,种植#cfa7a0f树,5,1,4,1,11405,2000,1,1,5,,,,1,,1
1110,0,0,0,0,,12523,7,9,墩墩排！一,制作50份#L#cfa7a0f烤墩墩排#n@1,制作#cfa7a0f烤墩墩排,5,1,3,,12523,50,1,1,1,,,,1,,1
1111,0,0,0,0,,12523,9,9,墩墩排！二,制作200份#L#cfa7a0f烤墩墩排#n@1,制作#cfa7a0f烤墩墩排,5,1,3,,12523,200,1,1,2,,,,1,,1
1112,0,0,0,0,,12523,11,9,墩墩排！三,制作1000份#L#cfa7a0f烤墩墩排#n@1,制作#cfa7a0f烤墩墩排,5,1,3,,12523,1000,1,1,5,,,,1,,1
1113,0,0,0,0,,12517,1,11,沃沃兽肉！一,制作50份#L#cfa7a0f烤沃沃兽肉#n@1,制作#cfa7a0f烤沃沃兽肉,5,1,3,,12517,50,1,1,1,,,,1,,1
1114,0,0,0,0,,12517,3,11,沃沃兽肉！二,制作200份#L#cfa7a0f烤沃沃兽肉#n@1,制作#cfa7a0f烤沃沃兽肉,5,1,3,,12517,200,1,1,2,,,,1,,1
1115,0,0,0,0,,12517,5,11,沃沃兽肉！三,制作1000份#L#cfa7a0f烤沃沃兽肉#n@1,制作#cfa7a0f烤沃沃兽肉,5,1,3,,12517,1000,1,1,5,,,,1,,1
1116,0,0,0,0,,12519,7,11,烤嘟嘟鸟！一,制作50份#L#cfa7a0f烤嘟嘟鸟肉#n@1,制作#cfa7a0f烤嘟嘟鸟肉,5,1,3,,12519,50,1,1,1,,,,1,,1
1117,0,0,0,0,,12519,9,11,烤嘟嘟鸟！二,制作200份#L#cfa7a0f烤嘟嘟鸟肉#n@1,制作#cfa7a0f烤嘟嘟鸟肉,5,1,3,,12519,200,1,1,2,,,,1,,1
1118,0,0,0,0,,12519,11,11,烤嘟嘟鸟！三,制作1000份#L#cfa7a0f烤嘟嘟鸟肉#n@1,制作#cfa7a0f烤嘟嘟鸟肉,5,1,3,,12519,1000,1,1,5,,,,1,,1
1119,0,0,0,0,,12531,1,13,烤角鹿肉！一,制作50份#L#cfa7a0f烤角鹿肉#n@1,制作#cfa7a0f烤角鹿肉,5,1,3,,12531,50,1,1,1,,,,1,,1
1120,0,0,0,0,,12531,3,13,烤角鹿肉！二,制作200份#L#cfa7a0f烤角鹿肉#n@1,制作#cfa7a0f烤角鹿肉,5,1,3,,12531,200,1,1,2,,,,1,,1
1121,0,0,0,0,,12531,5,13,烤角鹿肉！三,制作1000份#L#cfa7a0f烤角鹿肉#n@1,制作#cfa7a0f烤角鹿肉,5,1,3,,12531,1000,1,1,5,,,,1,,1
1122,0,0,0,0,,600,7,13,棉花一,制作50个#L#cfa7a0f棉花块#n@1,制作#cfa7a0f棉花块,5,1,2,1,600,50,1,1,1,,,,1,,1
1123,0,0,0,0,,600,9,13,棉花二,制作200个#L#cfa7a0f棉花块#n@1,制作#cfa7a0f棉花块,5,1,2,1,600,200,1,1,2,,,,1,,1
1124,0,0,0,0,,600,11,13,棉花三,制作1000个#L#cfa7a0f棉花块#n@1,制作#cfa7a0f棉花块,5,1,2,1,600,1000,1,1,5,,,,1,,1
1125,0,0,0,0,,104,1,15,岩石粉碎机一,开采100块#L#cfa7a0f岩石#n@1,开采#cfa7a0f岩石,5,1,6,,104,100,1,1,1,,,,1,,1
1126,0,0,0,0,,104,3,15,岩石粉碎机二,开采1000块#L#cfa7a0f岩石#n@1,开采#cfa7a0f岩石,5,1,6,,104,1000,1,1,2,,,,1,,1
1127,0,0,0,0,,104,5,15,岩石粉碎机三,开采5000块#L#cfa7a0f岩石#n@1,开采#cfa7a0f岩石,5,1,6,,104,5000,1,1,5,,,,1,,1
1128,0,0,0,0,,298,7,15,我怕黑一,制作50支#L#cfa7a0f燃烧的小火炬#n@1,制作#cfa7a0f燃烧的小火炬,5,1,2,,298,50,1,1,1,,,,1,,1
1129,0,0,0,0,,298,9,15,我怕黑二,制作200支#L#cfa7a0f燃烧的小火炬#n@1,制作#cfa7a0f燃烧的小火炬,5,1,2,,298,200,1,1,2,,,,1,,1
1130,0,0,0,0,,298,11,15,我怕黑三,制作500支#L#cfa7a0f燃烧的小火炬#n@1,制作#cfa7a0f燃烧的小火炬,5,1,2,,298,500,1,1,5,,,,1,,1
1131,0,0,0,0,,596,1,17,再接再厉一,失败1次@1,#cfa7a0f失败,5,1,21,,,1,1,1,1,,,,1,,1
1132,0,0,0,0,,596,3,17,再接再厉二,失败100次@1,#cfa7a0f失败,5,1,21,,,100,1,1,2,,,,1,,1
1133,0,0,0,0,,596,5,17,再接再厉三,失败500次@1,#cfa7a0f失败,5,1,21,,,500,1,1,5,,,,1,,1
1134,0,0,0,0,,12525,7,17,海洋美食一,制作1份#L#cfa7a0f烤呆呆鱼#n,制作#cfa7a0f烤呆呆鱼,5,1,3,,12521,1,1,1,1,,,,,,1
1135,0,0,0,0,,12525,9,17,海洋美食二,制作10份#L#cfa7a0f烤呆呆鱼#n,制作#cfa7a0f烤呆呆鱼,5,1,3,,12521,10,1,1,2,,,,,,1
1136,0,0,0,0,,12525,11,17,海洋美食三,制作100份#L#cfa7a0f烤呆呆鱼#n,制作#cfa7a0f烤呆呆鱼,5,1,3,,12521,100,1,1,5,,,,,,1
1137,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,,,,,,1045,13,3,氧气发明者,在工匠台用珍珠、礁石、黄铜、木料制作#L#cfa7a0f氧气提炼器#n@1,制作#cfa7a0f氧气提炼器,3,1,2,,1045,1,1,1,2,,,,1,,1
1145,,,,,,1047,13,5,万全准备,玻璃、黄铜 制作#L#cfa7a0f压缩气罐#n@1,制作#cfa7a0f压缩气罐,3,1,2,,1047,1,1,1,2,,,,1,,1
1146,,,,,,12275,13,7,太空之乐,用压缩气罐和星铜石制作#L#cfa7a0f氧气背包#n@1,制作#cfa7a0f喷气背包,3,1,2,,12275,1,1,1,2,,,,1,,1
1147,,,,,,1050,13,9,太空土,用萌眼星草块、萌眼星石块、瓶装水和便便制作#L#cfa7a0f培养基#n@1,制作#cfa7a0f培养基,3,1,2,,1050,1,1,1,2,,,,1,,1
1148,1144,1145,1146,1147,,14107,15,6,宇宙冒险家,完成前置任务后自动完成该任务,完成#cfa7a0f制作萌眼星系列成就,3,1,,,,,1,1,5,,,,1,,1
1149,,,,,,13110,19,4,击败萌眼叮叮,击败200个萌眼叮叮@1,击败#cfa7a0f萌眼叮叮,4,1,7,,3110,200,1,1,10,,,,1,,1
1150,,,,,,13111,19,6,击败萌眼咚咚,击败200个萌眼咚咚@1,击败#cfa7a0f萌眼咚咚,4,1,7,,3111,200,1,1,10,,,,1,,1
1151,,,,,,13112,19,8,击败萌眼当当,击败200个萌眼当当@1,击败#cfa7a0f萌眼当当,4,1,7,,3112,200,1,1,10,,,,1,,1
1152,,,,,,13103,19,10,击败重力巫师,击败100个重力巫师@1,击败#cfa7a0f重力巫师,4,1,7,,3103,100,1,1,10,,,,1,,1
1153,1149,1150,1151,1152,,14107,21,7,星球大战！,完成前置任务后自动完成该任务,完成#cfa7a0f击败萌眼星生物成就,4,1,,,,,1,1,10,,,,1,,1
1154,,,,,,135,1,19,萌眼星生存一,在萌眼星生存7天@1,在萌眼星#cfa7a0f生存,5,1,37,,2,7,1,1,2,,,,1,,1
1155,,,,,,135,3,19,萌眼星生存二,在萌眼星生存60天@1,在萌眼星#cfa7a0f生存,5,1,37,,2,60,1,1,5,,,,1,,1
1156,,,,,,135,5,19,萌眼星生存三,在萌眼星生存365天@1,在萌眼星#cfa7a0f生存,5,1,37,,2,365,1,1,10,,,,1,,1
1157,,,,,,12583,7,19,氧气果一,吃掉10个#L#cfa7a0f氧气果#n@1,吃#cfa7a0f氧气果,5,1,4,,12583,10,1,1,2,,,,1,,1
1158,,,,,,12583,9,19,氧气果二,吃掉100个#L#cfa7a0f氧气果#n@1,吃#cfa7a0f氧气果,5,1,4,,12583,100,1,1,5,,,,1,,1
1159,,,,,,12583,11,19,氧气果三,吃掉500个#L#cfa7a0f氧气果#n@1,吃#cfa7a0f氧气果,5,1,4,,12583,500,1,1,10,,,,1,,1
1160,,,,,,11075,1,21,激活图腾一,激活5个#L#cfa7a0f图腾#n@1,激活#cfa7a0f图腾,5,1,4,,11075,5,1,1,2,,,,1,,1
1161,,,,,,11075,3,21,激活图腾二,激活50个#L#cfa7a0f图腾#n@1,激活#cfa7a0f图腾,5,1,4,,11075,50,1,1,5,,,,1,,1
1162,,,,,,11075,5,21,激活图腾三,激活300个#L#cfa7a0f图腾#n@1,激活#cfa7a0f图腾,5,1,4,,11075,300,1,1,10,,,,1,,1
1163,,,,,,11076,7,21,点亮图腾一,点亮5个#L#cfa7a0f图腾#n@1,激活#cfa7a0f图腾,5,1,4,,11076,5,1,1,2,,,,1,,1
1164,,,,,,11076,9,21,点亮图腾二,点亮50个#L#cfa7a0f图腾#n@1,激活#cfa7a0f图腾,5,1,4,,11076,50,1,1,5,,,,1,,1
1165,,,,,,11076,11,21,点亮图腾三,点亮300个#L#cfa7a0f图腾#n@1,激活#cfa7a0f图腾,5,1,4,,11076,300,1,1,10,,,,1,,1
1166,,,,,,445,1,23,星铜矿石一,开采10个#L#cfa7a0f星铜矿石#n@1,开采#cfa7a0f星铜矿石,5,1,6,,445,10,1,1,2,,,,1,,1
1167,,,,,,445,3,23,星铜矿石二,开采100个#L#cfa7a0f星铜矿石#n@1,开采#cfa7a0f星铜矿石,5,1,6,,445,100,1,1,5,,,,1,,1
1168,,,,,,445,5,23,星铜矿石三,开采500个#L#cfa7a0f星铜矿石#n@1,开采#cfa7a0f星铜矿石,5,1,6,,445,500,1,1,10,,,,1,,1
1169,,,,,,446,7,23,紫荧矿石一,开采10个#L#cfa7a0f紫荧矿石#n@1,开采#cfa7a0f紫荧矿石,5,1,6,,446,10,1,1,2,,,,1,,1
1170,,,,,,446,9,23,紫荧矿石二,开采100个#L#cfa7a0f紫荧矿石#n@1,开采#cfa7a0f紫荧矿石,5,1,6,,446,100,1,1,5,,,,1,,1
1171,,,,,,446,11,23,紫荧矿石三,开采500个#L#cfa7a0f紫荧矿石#n@1,开采#cfa7a0f紫荧矿石,5,1,6,,446,500,1,1,10,,,,1,,1
1172,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,,,,,1202,11001,1,1,站稳脚跟,在极限模式中生存7天@1,生存#cfa7a0f天,6,2,37,,,7,0,,,,,,1,,2
1202,1201,,,,1203,11002,3,1,红红火火,在极限模式中生存60天@1,生存#cfa7a0f天,6,2,37,,,60,0,,,,,,3,,2
1203,1202,,,,1204,11003,5,1,生存大师,在极限模式中生存365天@1,生存#cfa7a0f天,6,2,37,,,365,0,,,,,,10,,2
1204,,,,,1205,13101,7,1,野人！,击败50只野人战士@1,击败#cfa7a0f野人战士,6,2,7,,3101,50,0,,,,,,1,,2
1205,1204,,,,1206,13102,9,1,野萌宝！,击败20只野萌宝@1,击败#cfa7a0f野萌宝,6,2,7,,3102,20,0,,,,,,3,,2
1206,1205,,,,1207,13501,11,1,虚空使徒！,击败50只虚空使徒@1,击败#cfa7a0f虚空使徒,6,2,7,,3501,50,0,,,,,,10,,2
1207,,,,,1208,14100,1,3,贸易,与游商交易20次@1,与游商交易#cfa7a0f,6,2,36,,3010,20,0,,,,,,1,,2
1208,1207,,,,1209,14101,3,3,沙漠贸易,与沙漠商人交易50次@1,与沙漠商人交易#cfa7a0f,6,2,36,,3011,50,0,,,,,,3,,2
1209,1208,,,,1210,14102,5,3,冰原贸易,与冰原商人交易200次@1,与冰原商人交易#cfa7a0f,6,2,36,,3012,200,0,,,,,,10,,2
1210,,,,,1211,13109,7,3,爆爆蛋！,击败30只爆爆蛋@1,击败#cfa7a0f爆爆蛋,6,2,7,,3109,30,0,,,,,,1,,2
1211,1210,,,,1212,13131,9,3,硫磺弓手！,击败100只硫磺弓手@1,击败#cfa7a0f硫磺弓手,6,2,7,,3131,100,0,,,,,,3,,2
1212,1211,,,,1213,13502,11,3,屠龙勇士！,击败远古黑龙@1,击败#cfa7a0f远古黑龙,6,2,7,,3502,1,0,,,,,,10,1212,2
