特性包ID,特性1ID,特性1等级,特性1几率（万分率）,特性2ID,特性2等级,特性2几率,特性3ID,特性3等级,特性3几率,特性4ID,特性4等级,特性4几率,特性5ID,特性5等级,特性5几率,特性6ID,特性6等级,特性6几率,特性7ID,特性7等级,特性7几率,特性8ID,特性8等级,特性8几率,特性9ID,特性9等级,特性9几率,特性10ID,特性10等级,特性10几率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
