角色ID,角色名称,角色模型/路径：bin\res\ui\roleicons,角色描述,天赋等级,天赋名称,天赋描述,天赋升级描述,天赋类型,天赋值1,天赋值2,天赋值3,解锁消耗类型/1道具可用迷你币代替2只迷你币3只道具,解锁消耗道具ID,解锁消耗值,高度,宽度,厚度,受击高度,受击宽度,受击厚度,解锁道具跟迷你币比例,解锁提示类型（1前往家园和取消 2只有确定）,解锁提示,举野人高度,AR动捕支持（1支持，空则不支持）,备注标准人形骨骼（1为支持，0为不支持）
10,妮妮,8,勤劳的原始人妹妹，干活特别积极。,0,勤劳,提高采集速度（未激活）,,,,,,1,12953,100,180,60,60,220,120,120,1,,,160,1,
11,妮妮,8,勤劳的原始人妹妹，干活特别积极。,1,勤劳1,采集速度提高50%,,18,0.5,,,1,12953,200,180,60,60,220,120,120,1,,,160,1,
12,妮妮,8,勤劳的原始人妹妹，干活特别积极。,2,勤劳2,采集速度提高100%,,18,1,,,1,12953,400,180,60,60,220,120,120,1,,,160,1,
13,熊孩子,6,每家都有一只熊孩子，等等，他手上拿着的是什么？,0,炸弹鬼才,降低受到的爆炸伤害（未激活）,,,,,,1,12954,250,180,60,60,220,120,120,1,,,140,1,1
14,熊孩子,6,每家都有一只熊孩子，等等，他手上拿着的是什么？,1,炸弹鬼才1,受到的爆炸伤害降低20%,,11,0.2,,,1,12954,300,180,60,60,220,120,120,1,,,140,1,1
15,熊孩子,6,每家都有一只熊孩子，等等，他手上拿着的是什么？,2,炸弹鬼才2,受到的爆炸伤害降低40%,,11,0.4,,,1,12954,600,180,60,60,220,120,120,1,,,140,1,1
16,队长汤姆,4,前世界维和部队特种兵，野外生存和枪法一样犀利。,0,野外求生,增强食物效果和水下呼吸（未激活）,,,,,,3,12960,150,180,60,60,220,120,120,1,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,160,1,1
17,队长汤姆,4,前世界维和部队特种兵，野外生存和枪法一样犀利。,1,野外求生1,体力和生命自然恢复速度、食物回复的体力/生命、水下氧气消耗降低各增加10%,,31,0.1,0.1,0.1,3,12955,300,180,60,60,220,120,120,1,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,160,1,1
18,队长汤姆,4,前世界维和部队特种兵，野外生存和枪法一样犀利。,2,野外求生2,体力和生命自然恢复速度、食物回复的体力/生命、水下氧气消耗降低各增加20%,,31,0.2,0.2,0.2,3,12955,600,180,60,60,220,120,120,1,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,160,1,1
19,特工罗拉,9,保安公司的大众女神，热爱刺激的冒险。,0,预感,免疫一次致命伤害（未激活）,,,,,,3,12960,200,180,60,60,220,120,120,1,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,160,1,
20,特工罗拉,9,保安公司的大众女神，热爱刺激的冒险。,1,预感1,受到的伤害大于45点并导致死亡时，以25%的生命值立刻重生，触发间隔5分钟,,33,45,0.25,105001,3,12956,300,180,60,60,220,120,120,1,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,160,1,
21,特工罗拉,9,保安公司的大众女神，热爱刺激的冒险。,2,预感2,受到的伤害大于25点并导致死亡时，以50%的生命值立刻重生，触发间隔3分钟,,33,25,0.5,105002,3,12956,600,180,60,60,220,120,120,1,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,160,1,
22,小淘气辛迪,10,原始考古队的飞行驾驶员，机警敏锐。,0,超级跳跃,增强跳跃能力，2级时可以二段跳（未激活）,,,,,,3,12960,240,180,60,60,220,120,120,1,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,140,1,1
23,小淘气辛迪,10,原始考古队的飞行驾驶员，机警敏锐。,1,超级跳跃1,跳跃高度+50%，摔落伤害-10,,34,0.5,,10,3,12958,400,180,60,60,220,120,120,1,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,140,1,1
24,小淘气辛迪,10,原始考古队的飞行驾驶员，机警敏锐。,2,超级跳跃2,跳跃高度+50%，摔落伤害-20，可以二段跳,,34,0.5,1,20,3,12958,800,180,60,60,220,120,120,1,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,140,1,1
25,助教彼得,5,为了交出一份完美的毕业作业，学长加入了考古队。,0,意外发现,击碎罐子有几率发现各种东西（未激活）,,,,,,3,12960,100,180,60,60,220,120,120,1,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,160,1,1
26,助教彼得,5,为了交出一份完美的毕业作业，学长加入了考古队。,1,意外发现1,击碎罐子有18%几率发现稀有材料,,32,0.18,1000,,3,12957,200,180,60,60,220,120,120,1,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,160,1,1
27,助教彼得,5,为了交出一份完美的毕业作业，学长加入了考古队。,2,意外发现2,击碎罐子有27%几率发现更多稀有材料和特殊方块,,32,0.27,1001,,3,12957,400,180,60,60,220,120,120,1,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,160,1,1
28,史提芬教授,3,国家科学院的老教授为什么会出现在这片蛮荒的地方呢？,0,博学,挖掘石头的时候有几率发现各种东西（未激活）,,,,,,3,12960,120,180,60,60,220,120,120,1,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,160,1,1
29,史提芬教授,3,国家科学院的老教授为什么会出现在这片蛮荒的地方呢？,1,博学1,挖掘石头有4%几率发现稀有矿石和材料,,30,0.04,1002,,3,12959,200,180,60,60,220,120,120,1,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,160,1,1
30,史提芬教授,3,国家科学院的老教授为什么会出现在这片蛮荒的地方呢？,2,博学2,挖掘石头有6%几率发现更多稀有矿石、材料和特殊方块,,30,0.06,1003,,3,12959,400,180,60,60,220,120,120,1,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,160,1,1
