工具id,名称,类型：1斧，2镐，3铲，4耙，5剪刀，6工具，7弓，8头盔，9胸甲，10护腿，11靴子，12容器，13点火石，14投掷物，16披风（特殊），17空白卷轴，18火之卷轴，19坐骑鞍，20坐骑项圈，21混乱卷轴，22捕鱼网，23变异卷轴，24法杖，25家园回收（植物），26家园回收（动物），27合成锤，28锅，29鱼竿,子类型：1-剑，2-盾，3-锤，4-矛，5-镐，6-斧，7-铲，8-耙，9-弓，10-杖，11-箭，12-法球，13-回旋镖,等级（装备的等级必须和美术模型名称尾缀数字相同，不然会影响到野人伙伴装备的显隐及行为树）,子等级（用于双持武器配置用的等级，不为0的才会参与到双持内）,技能冷却,效率加成,视野亮度,"攻击类型:0近程,1远程,2爆炸",攻击力,削韧值（默认5）,物理防御,近战防御,远程防御,爆炸防御,元素防御,混乱防御,燃烧防御,毒素防御,冰冻防御,移动速度加成,行走速度,潜行速度,奔跑速度,游泳速度,开垦速度（单位tick）,攻击速度倍率,韧性,韧性恢复间隔时间,韧性恢复速度,攻击附带buffid（使用该工具攻击命中其他生物时可对目标施加一个状态，本列填buff的id）,攻击附带bufflv（使用该工具攻击命中其他生物时可对目标施加一个状态，本列填buff的lv）,耐久,采集消耗耐久,攻击1次消耗耐久,耐压阈值（控制水压环境中装备是否会被损坏）,压力消耗耐久（配合耐压阈值使用，控制水压环境中装备耐久的消耗速度）,修复消耗经验,组（0不为组1为组，例如木板通用）（关联Itemdef的ItemGroup）,修理材料ID1,修复量1,修理材料ID2,修复量2,修理材料ID3,修复量3,修理材料ID4,修复量4,修理材料ID5,修复量5,修理材料ID6,修复量6,效果库ID1（仅限装备道具使用）,默认值1（时间需要除以10）,效果库ID2,默认值2,效果库ID3,默认值3,效果库ID4,默认值4,效果库ID5,默认值5,分数,自带附魔（旧字段，不要用，但是不可以删）,自带新附魔,消耗ItemID,每次消耗的数量,发射音效,蓄力时间,"蓄力种类(0-弓那种,1-必须蓄到完成才能用,2-无需蓄力)",蓄力消耗体力（默认不填就读luaconstans）,蓄力音效,释放音效,攻击连段动作列表,连段计时器,游泳攻击动作,骑乘攻击动作,第一人称挖掘动作,第一人称启动动作,第一人称循环动作,第一人称右键施放动作,工具启动动作,工具循环动作,工具攻击动作,第三人称待机,第三人称挖掘动作,第三人称循环,第三人称右键施放,第三人称攻击特效,工具切换模型/弓切换有箭和没箭模型,挥动音效,附魔特效比例(默认是1倍写200就是2倍),初速度加成,可否投掷/0=不可投掷，1=可投掷,温度防御,元素攻击,混乱攻击,燃烧攻击,毒素攻击,冰冻攻击,击退抗性（万分比）,评分（用于更换标准）
11014,钛合金镐,2,5,4,4,,450,,,31,,,0,,,,,,,,,,,,,,,,,,,,1500,1,2,,,6,0,11330,375,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,101130,101131,101132,,,,,,100148,100147,,,,20000,,,,,,,,,,220
11015,钻头,2,5,5,5,,660,,,44,,,0,,,,,,,,,,,,,,1.2,,,,,,1200,1,2,,,10,0,11203,300,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,misc.drill_skillaccumulate,misc.drill_skilling,Drill_Natk_01,1,,,101138,101120,101121,101122,,,,,100153,100149,100153,,,,20000,,,,,,,,,,10400
11016,星瞳钻头,2,5,6,5,10,600,,,44,,,0,,,,,,,,,,,,,,1.4,,,,,,750,1,2,,,10,0,11073,150,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1,,,,Axe_Natk_01,1,,,,101130,101131,101132,,,,,,100148,100147,,,,20000,,,,,,,,,,0
11059,拐杖糖镐,2,5,5,,,450,,,16,,,0,,,,,,,,,,,,,,1.4,,,,,,200,1,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Axe_Natk_01,1,,,,,,,,,,,,,,,,,20000,,,,,,,,,,0
11021,黄铜铲,3,7,2,2,,200,,,19,,,0,,,,,,,,,,,,,22,0.75,,,,,,180,1,2,,,2,0,11329,45,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,20000,,,,,,,,,,900
11022,石铲,3,7,1,1,,100,,,13,,,0,,,,,,,,,,,,,34,0.75,,,,,,100,1,2,,,1,0,11627,25,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,20000,,,,,,,,,,400
11023,秘银铲,3,7,3,3,,300,,,25,,,0,,,,,,,,,,,,,14,0.75,,,,,,260,1,2,,,3,0,11209,65,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,20000,,,,,,,,,,1650
11024,钛合金铲,3,7,4,4,,450,,,31,,,0,,,,,,,,,,,,,8,0.75,,,,,,1500,1,2,,,6,0,11330,375,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,20000,,,,,,,,,,220
11025,钨金铲,3,7,5,5,,660,,,35,,,0,,,,,,,,,,,,,4,0.75,,,,,,1200,1,2,,,10,0,11203,300,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,20000,,,,,,,,,,10400
11062,大宝铲,3,7,5,,,450,,,12,,,0,,,,,,,,,,,,,8,0.75,,,,,,200,1,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,20000,,,,,,,,,,0
11031,黄铜耙,4,8,2,2,,200,,,19,,,0,,,,,,,,,,,,,22,0.75,,,,,,180,1,2,,,2,0,11329,45,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,900
11032,石耙,4,8,1,1,,100,,,13,,,0,,,,,,,,,,,,,34,0.75,,,,,,100,1,2,,,1,0,11627,25,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,400
11033,秘银耙,4,8,3,3,,300,,,25,,,0,,,,,,,,,,,,,14,0.75,,,,,,260,1,2,,,3,0,11209,65,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,1650
11034,钛合金耙,4,8,4,4,,450,,,31,,,0,,,,,,,,,,,,,8,0.75,,,,,,1500,1,2,,,6,0,11330,375,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,220
11035,钨金耙,4,8,5,5,,660,,,35,,,0,,,,,,,,,,,,,4,0.75,,,,,,1200,1,2,,,10,0,11203,300,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,10400
11056,秘银剪,5,,1,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,200,1,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,ent.3403.shear,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,1650
11595,苔藓球,14,,1,,,0,,1,,,,0,,,,,,,,,,,,,,,,,,,,0,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw,1,0,,,,,,,,,,,,,,,,,,,,,,20000,,1,,,,,,,,0
10101,工具模板,6,,1,,,50,,,10,,,0,,,,,,,,,,,,,,,,,,,,50,1,1,,,,0,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,0
11061,大宝剑,6,1,5,,,0,,,50,40,,0,,,,,,,,,,,,,,,,,,,,200,2,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,item.12005.charge4,Sword_NAtk_01|Sword_NAtk_02|Sword_NAtk_03|Sword_NAtk_04|Sword_NAtk_05,15,,,,,,,,,,,,,,,,,50,,,,,,,,,,0
12001,木棒,6,3,1,1,,0,,,25,10,,0,,,,,,,,,,,,,,1.04,,,,,,60,2,1,,,1,0,11323,15,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,item.12010.charge4,Hammer_Natk_01|Hammer_Natk_02,20,,,,,,,,,,,,,,,,,20000,,,,,,,,,,400
11230,尖尖碰碰锤,6,3,1,2,,0,,,30,15,,0,,,,,,,,,,,,,,1.04,,,,77,1,100,2,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,item.12010.charge4,Hammer_Natk_01|Hammer_Natk_02,20,,,,,,,,,,,,,,,,,20000,,,,,,,,,,2000
12316,冻结棒,6,3,1,2,,0,,,45,20,,0,,,,,,,,,,,,,,1.04,,,,,,150,1,1,,,1,0,12710,30,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,item.12010.charge4,Hammer_Natk_01|Hammer_Natk_02,20,,,,,,,,,,,,,,,,,20000,,,,,,,,,,2000
12010,钛金战锤,6,3,6,4,,0,,,76,30,,0,,,,,,,,,,,,,,1.28,,,,,,450,0,1,,,6,0,11330,90,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,item.12010.charge4,Hammer_Natk_01|Hammer_Natk_02|Hammer_Natk_03,20,,,,,,,,,,,,,,,,,20000,,,,,,,,,,5000
12012,石剑,6,1,1,1,,0,,,20,10,,0,,,,,,,,,,,,,,0.95,,,,,,100,2,1,,,1,0,11627,25,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,item.12009.charge4,Sword_NAtk_01|Sword_NAtk_02,5,,,,,,,,,,,,,,,,,170,,,,,,,,,,1650
12003,短剑,6,1,3,3,,0,,,35,15,,0,,,,,,,,,,,,,,0.88,,,,,,300,2,1,,,3,0,11209,60,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,item.12009.charge4,Sword_NAtk_01|Sword_NAtk_02|Sword_NAtk_03,10,,,,,,,,,,,,,,,,,170,,,,,,,,,,1650
12009,收割者,6,1,6,4,,0,,,44,20,,,,,,,,,,,,,,,,0.9,,,,,,450,0,1,,,6,0,11330,90,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,item.12009.charge4,Sword_NAtk_01|Sword_NAtk_02|Sword_NAtk_03|Sword_NAtk_04,15,,,,,,,,,,,,,,,,,170,,,,,,,,,,5000
12005,能量剑,6,1,5,5,,0,,,54,25,,0,,,,,,,,,,,,,,,,,,,,1200,2,1,,,10,0,11203,240,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,item.12005.charge4,Sword_NAtk_01|Sword_NAtk_02|Sword_NAtk_03|Sword_NAtk_04|Sword_NAtk_05,20,,,,,,,,,,,,,,,,,100,,,,,,,,,,10400
12002,石矛,6,4,1,1,,0,,,21,10,,0,,,,,,,,,,,,,,1.08,,,,,,100,2,1,,,1,0,11627,25,,,,,,,,,,,,,,,,,,,,,9,,,-1,1,,,,,,,Spear_NAtk_01,1,,,,,,,,,,,,,,,,,20000,,1,,,,,,,,900
12004,黄铜矛,6,4,2,2,,0,,,28,15,,0,,,,,,,,,,,,,,0.95,,,,,,180,2,1,,,2,0,11329,45,,,,,,,,,,,,,,,,,,,,,2.2,,,-1,1,,,,,,,Spear_NAtk_01|Spear_NAtk_02|Spear_NAtk_03,10,,,,,,,,,,,100142,,,,,,150,,1,,,,,,,,220
12013,能量矛,6,4,5,5,,0,,,55,30,,0,,,,,,,,,,,,,,1.13,,,,,,1200,2,1,,,10,0,11203,240,,,,,,,,,,,,,,,,,,,,,9,,,-1,1,,,,,,,Spear_NAtk_01|Spear_NAtk_02|Spear_NAtk_03|Spear_NAtk_04|Spear_NAtk_05,15,,,,,,,,,,,100142,,,,,,20000,,1,,,,,,,,900
12063,魔鬼鱼叉,6,4,2,2,,0,,,36,15,,0,,,,,,,,,,,,,,0.95,,,,,,300,2,1,,,3,0,11209,60,,,,,,,,,,,,,,,,,,,,,9,,,-1,1,,,,,,,Spear_NAtk_01|Spear_NAtk_02|Spear_NAtk_03,10,,,,,,,,,,,100142,,,,,,20000,,1,,,,,,,,900
12829,手持烟花,6,,1,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,50,2,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,0
11569,杖杆,6,10,1,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,100,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
11592,回旋镖,6,13,2,1,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,100,0,2,,,2,0,11593,50,,,,,,,,,,,,,,,,,,,,,9,,,-1,1,misc.throw_spear,0.8,,,,,,,,,101137,101120,101121,,,,,,100142,100149,100143,,,,20000,,1,,,,,,,,900
9999,微缩武器,6,,5,,5,0,,,40,,,0,,,,,,,,,,,,,,,,,,,,1500,2,1,,,1,0,11203,750,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1,,,item.12005.charge4,,,,,,101133,101133,101134,,,,,,100150,100151,item_12005_4,,,100,,,,,,,,,,0
10102,弓模板,7,9,1,,,0,,1,25,,,0,,,,,,,,,,,,,,,,,,,,300,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,12051,1,misc.bow,1,,,,,,,,,,101111,,,100301,100302,100303,,,100116,,,1,,10000,,,,,,,,,,0
12050,秘银短弓,7,9,1,,,0,,1,25,,,0,,,,,,,,,,,,,,,,,,,,300,0,1,,,3,0,11209,60,,,,,,,,,,,,,,,,,,,,,25.5,,,12051,1,misc.bow,1,,,,,,,,,,101111,,,100301,100302,100303,,,100116,,,1,,10000,,,,,,,,,,2550
12056,龙骨弓,7,9,1,,,0,,1,30,,,0,,,,,,,,,,,,,,,,,,,,500,0,1,,,10,0,11593,80,,,,,,,,,,,,,,,,,,,,,25.5,,2701,12051,1,misc.bow,1,,,,,,,,,,101111,,,100301,100302,100303,,,100116,,,1,,10000,,,,,,,,,,2550
12281,弹弓,7,9,1,,,0,,1,10,,,0,,,,,,,,,,,,,,,,,,,,150,0,1,,,1,0,11307,50,,,,,,,,,,,,,,,,,,,,,2,,,12282,1,misc.slingshot,0.7,,,,,,,,,,101111,,,100301,100302,100303,,,100116,,,1,,10080,,,,,,,,,,200
12283,弩,7,9,1,,,0,,1,30,,,0,,,,,,,,,,,,,,,,,,,,450,0,1,,,6,0,11203,100,,,,,,,,,,,,,,,,,,,,,25.5,,,12051,3,misc.bow,1,,,,,,,,,,101111,,,100301,100302,100303,,,100116,,,1,,10150,,,,,,,,,,2550
12284,火箭筒,7,9,1,,,0,,1,5,,,0,,,,,,,,,,,,,,,,,,,,150,0,1,,,10,0,844,50,,,,,,,,,,,,,,,,,,,,,25.5,,,12285,1,misc.bazooka,1,,,,,,,,,,101111,,,100301,100302,100303,,,100116,,,1,,10200,,,,,,,,,,2550
12288,吹箭筒,7,9,1,,,0,,1,5,,,0,,,,,,,,,,,,,,,,,,,,50,0,1,,,2,0,11312,25,,,,,,,,,,,,,,,,,,,,,,,,12289,1,item.12288.charge4,0.5,1,,,item.12288.charge4,,,,,,,,101108,,,,,100127,,100136,,,,20000,,,,,,,,,,0
12589,荧光弹弓,7,9,1,,,0,,1,5,,,0,,,,,,,,,,,,,,,,,,,,200,0,1,,,20,0,11309,40,,,,,,,,,,,,,,,,,,,,,,,,12590,1,misc.slingshot,0.7,,,,,,,,,,101111,,,100301,100302,100303,,,100116,,,1,,20000,,,,,,,,,,0
11560,破坏方块（投掷）,7,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,150,0,1,,,20,0,11307,30,,,,,,,,,,,,,,,,,,,,,2,,,11551,1,misc.slingshot,0.7,,,,,,,,,,101111,,,100301,100302,100303,,,,,,1,,10080,,,,,,,,,,200
11561,替换方块（投掷）,7,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,150,0,1,,,20,0,11307,30,,,,,,,,,,,,,,,,,,,,,2,,,11552,1,misc.slingshot,0.7,,,,,,,,,,101111,,,100301,100302,100303,,,,,,1,,10080,,,,,,,,,,200
11562,放置方块（投掷）,7,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,150,0,1,,,20,0,11307,30,,,,,,,,,,,,,,,,,,,,,2,,,11553,1,misc.slingshot,0.7,,,,,,,,,,101111,,,100301,100302,100303,,,,,,1,,10080,,,,,,,,,,200
11563,攻击（投掷）,7,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,150,0,1,,,20,0,11307,30,,,,,,,,,,,,,,,,,,,,,2,,,11554,1,misc.slingshot,0.7,,,,,,,,,,101111,,,100301,100302,100303,,,,,,1,,10080,,,,,,,,,,200
11564,击飞（投掷）,7,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,150,0,1,,,20,0,11307,30,,,,,,,,,,,,,,,,,,,,,2,,,11555,1,misc.slingshot,0.7,,,,,,,,,,101111,,,100301,100302,100303,,,,,,1,,10080,,,,,,,,,,200
11565,召唤（投掷）,7,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,150,0,1,,,20,0,11307,30,,,,,,,,,,,,,,,,,,,,,2,,,11556,1,misc.slingshot,0.7,,,,,,,,,,101111,,,100301,100302,100303,,,,,,1,,10080,,,,,,,,,,200
11566,加状态（投掷）,7,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,150,0,1,,,20,0,11307,30,,,,,,,,,,,,,,,,,,,,,2,,,11557,1,misc.slingshot,0.7,,,,,,,,,,101111,,,100301,100302,100303,,,,,,1,,10080,,,,,,,,,,200
11567,发射投掷物（投掷）,7,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,150,0,1,,,20,0,11307,30,,,,,,,,,,,,,,,,,,,,,2,,,11558,1,misc.slingshot,0.7,,,,,,,,,,101111,,,100301,100302,100303,,,,,,1,,10080,,,,,,,,,,200
11568,治疗（投掷）,7,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,150,0,1,,,20,0,11307,30,,,,,,,,,,,,,,,,,,,,,2,,,11559,1,misc.slingshot,0.7,,,,,,,,,,101111,,,100301,100302,100303,,,,,,1,,10080,,,,,,,,,,200
12291,脉冲弓,7,9,1,,,0,,1,35,,,0,,,,,,,,,,,,,,,,,,,,500,0,1,,,20,0,11074,150,11080,100,,,,,,,,,,,,,,,,,,,25.5,,,12292,1,misc.pulse_arrow,1,,,,,,,,,,101111,,,100301,100302,100303,,,100116,,,1,,10000,,,,,,,,,,2550
12294,冲击枪,7,9,1,,,0,,1,10,,,0,,,,,,,,,,,,,,,,,,,,500,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,12295,1,item.12294.fire,0.7,0,,,,,,,,,101111,,,100301,100302,100303,,,100116,,,1,,10000,,,,,,,,,,0
