方块ID,方块名称,英文名称,插件用名称[必填/不能有空格],繁体名称,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）,类别,插件编辑[大于0开放插件编辑，1=综合，2=彩色，3=建筑],触发器开放[1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块],地形编辑器开放[1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块],成长后替换的模型ID,插件编辑模板[0=不是模板，1=作为模板],渲染贴图组,鼠标点击碰撞,移动碰撞[0=空气， 1=固体， 2= 液体， 3=不阻挡投射物，4=空气挡子弹，5=不阻挡物理],阻挡水流（0=不阻挡，1=阻挡，2=被流沙同化，3=覆盖阻挡）,"推动标识-0:普通推动后续方块, 1:推动碾碎, 2:不能推动",重力影响方式0:不影响， 1: 沙子会下坠， 2: 流体会往低处流， 3：花草会破坏,PlaceDir(0：没有方向，1：和放置的面相关，类似火把，  2：和自己视线的方向相关，类似楼梯),放置可直接替换,植物标识（填了1就视为是植物方块）,生长时间（生长阶段数|阶段生成时间）,覆雪标识[默认0=不覆雪 1=覆雪],爆炸抗性,硬度,地滑程度,燃烧速度,点燃概率,毒液侵蚀速度,充能状态,掉落物1,掉落概率1,掉落物2,掉落概率2,空手掉落物,空手掉落概率,采集掉落经验,掉落经验概率,"遮挡旁边块0: 不遮挡， 1: 遮挡， 2： 根据厚度来定,  3: 遮挡相同材质",光衰减,光源强度,使用旁边方块的光照,高度（block),贴图1,贴图2/模型类这里填模型名称,走在上面声音,挖的声音,放置的声音,精准掉落物品,采集工具/1=斧头，2=镐，3=铲子，5=剪刀,工具等级（1=石质，2=黄铜，3=秘银，4=钛金，5=钨金）,随机颜色,小地图颜色,分数,特殊数据1,可被投掷物击碎,特效名字,蓝图方块分类[多类相加，1=不能复制 2=不消耗 4=有方向的方块 8=随机数 16=多方向 32=不能替换],所需材料替换方块[蓝图],物理碰撞（0-无碰撞，1-满1格碰撞，2-不满一格的碰撞，3-门那种， 6-会根据方块data改变形状）,微缩透明度(0全透 15不透明),微缩发光度(0最亮 15不发光),温度源强度（用于计算温度源的热传导）,温度衰减（用于计算温度源的传热衰减）,植物生长温度区间（1=冻结，2=极寒，3=寒冷，4=适宜，5=炎热，6=极热，7=自燃；不在适宜温度区间则会降低生长速度，仅对cropper，flowergrow，melonstem，shrub这几个type生效；0或不填则不开启）,"多格方块类型(0非多格,1多格例如床钢琴箱子等)",韧度值,LOD等级(默认为0，0=强制显示),是否产生阴影(默认为1)
34,霜火石矿,IceCrystalOre,IceCrystalOre,,,minestone,1,3,3,,,,1,1,1,0,0,0,,,,1,50,20,1,0,,0,,11824,10000,0,0,11824,10000,1,10000,1,7,7,1,1,shuanghuo,shuanghuo1,blocks.stone,blockd.stone,,34,2,2,,6c4729,,,,,,,1,15,15,-10,6,,,5,3,
35,霜火石块,IceCrystalBlock,IceCrystalBlock,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,1,100,24,1,0,,0,,35,10000,0,0,35,10000,,,1,7,14,,1,ice_crystal_block,,blocks.stone,blockd.stone,,35,2,2,,cccccc,,,,,,,1,15,15,-13,6,,,5,,
36,洞窟洞口刷新,,,,,air,,,,,,,1,0,0,2,0,0,1,,,,1,0,1,0,,0,,,,,,,,,,0,0,0,,1,fluorescent,,,,,,,,,ffff00,,,,,1,,0,8,0,,1,,,,,
37,洞窟通道刷新,,,,,air,,,,,,,1,0,0,2,0,0,1,,,,1,0,1,0,,0,,,,,,,,,,0,0,0,,1,fluorescent,,,,,,,,,ffff00,,,,,1,,0,8,0,,1,,,,,
38,洞窟大洞刷新,,,,,air,,,,,,,1,0,0,2,0,0,1,,,,1,0,1,0,,0,,,,,,,,,,0,0,0,,1,fluorescent,,,,,,,,,ffff00,,,,,1,,0,8,0,,1,,,,,
39,洞窟小洞刷新,,,,,air,,,,,,,1,0,0,2,0,0,1,,,,1,0,1,0,,0,,,,,,,,,,0,0,0,,1,fluorescent,,,,,,,,,ffff00,,,,,1,,0,8,0,,1,,,,,
40,虚空晶块,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,1,40,13,1,1,5,1,,40,10000,0,0,40,10000,,,1,15,0,,1,void_block,,blocks.stone,blockd.stone,,40,2,1,,81c9fb,,,,,,,1,15,15,,6,,,10,,
100,长草的土块,GrassBlock,GrassBlock,,,grass,1,3,3,,1,1,1,1,1,0,0,0,,,,1,7,3.5,1,0,,0,,100,10000,0,0,100,10000,,,1,15,0,,1,grass,,blocks.grass,blockd.grass,,100,3,1,,a7c738,,,,,,101,1,15,15,,6,,,,,
101,土块,Soil,Soil,,,soil,1,3,3,,1,1,1,1,1,0,0,0,,,,1,7,3.5,1,0,,0,,101,10000,0,0,101,10000,,,1,15,0,,1,dirt,,blocks.gravel,blockd.gravel,,101,3,1,,967331,,,,,,,1,15,15,,6,,,,,
102,耕地,Arableland,Arableland,,,farmland,,3,3,,,1,1,1,1,0,0,0,,,,,7,3.5,1,0,,0,,101,10000,0,0,101,10000,,,2,15,0,,1,arableland,dirt,blocks.grass,blockd.grass,,102,3,1,,6c5a1a,,,,,,101,1,15,15,,6,,,,,
103,土坑,Buryland,Buryland,,,buryland,,3,3, ,,1,1,1,1,0,0,0,,,,,7,3.5,1,0,,0,,101,10000,0,0,101,10000,,,2,15,0,,1,buryland,dirt,blocks.grass,blockd.grass,,102,3,1,,6c5a1a,,,,,,101,1,15,15,,6,,,,,
104,岩石,Stone,Stone,,,basic,1,3,3,,1,1,1,1,1,0,0,0,,,,1,50,8,1,0,,0,,104,10000,0,0,104,10000,,,1,15,0,,1,stone,,blocks.stone,blockd.stone,,104,2,1,,a6a899,,,,,,,1,15,15,,6,,,3,,
105,青石,MossRock,MossRock,,,basic,1,4,4,,,1,1,1,1,0,0,0,,,,1,50,8,1,0,,0,,105,10000,0,0,0,0,,,1,15,0,,1,moss_rock,,blocks.stone,blockd.stone,,105,2,1,,bdbfae,,,,,,,1,15,15,,6,,,3,,
106,黄沙,Sand,Sand,,,sand,,,,,,1,1,1,2,0,1,0,,,,1,7,3,1,0,,0,,29,10000,0,0,29,10000,,,1,15,0,,1,sand,,blocks.sand,blockd.sand,,29,3,1,,efd974,,,,,,29,1,15,15,,6,,,,,
107,碎石堆,Gravel,Gravel,,,gravel,1,3,3,,,1,1,1,1,0,1,0,,,,1,10,4,1,0,,0,,107,10000,,,107,10000,,,1,15,0,,1,gravel,,blocks.gravel,blockd.gravel,,107,3,1,,f1c95a,,,,,,,1,15,15,,6,,,2,,
108,素纹黄砖,Sandstone,Sandstone,,,log,1,4,4,,1,1,1,1,1,0,0,0,,,,1,20,5,1,0,,0,,108,10000,0,0,0,0,,,1,15,0,,1,sandstone,sandstone_normal,blocks.stone,blockd.stone,,108,2,1,,ecc47c,,,,,4,,1,15,15,,6,,,3,,
109,砂土,SandySoil,SandySoil,,,basic,1,4,4,,,1,1,1,2,0,0,0,,,,1,8,4,1,0,,0,,109,10000,0,0,109,10000,,,1,15,0,,1,sandstone_top,,blocks.gravel,blockd.gravel,,109,2,1,,c79d59,,,,,,,1,15,15,,6,,,3,,
110,散落的石块,ScatteredStone,ScatteredStone,,,clitter,1,3,3,,1,1,1,1,1,0,0,0,,,,1,4,1,1,0,,0,,11627,10000,0,0,11627,10000,,,2,1,0,,1,scatteredstone,scatteredstone,blocks.stone,blockd.stone,,110,0,1,,a6a899,,,,,,,0,15,15,,1,,,1,2,
111,游戏版本过低,,,,,basic,,,,,,,1,1,1,2,0,0,,,,,,,1,0,,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,15,15,,1,,,,,
112,黑晶石,BlackCrystal,BlackCrystal,,,basic,1,3,3,,1,,1,1,1,2,0,0,,,,1,500,200,1,0,,0,,112,10000,0,0,0,0,,,1,15,0,,1,blackcrystal,,blocks.stone,blockd.stone,,112,2,5,,3d2168,,,,,,,1,15,15,,6,,,10,,
113,脆冰,FloatingIce,FloatingIce,,,basic,,,,,,1,1,1,1,0,0,1,,,,1,10,5,1,0,,0,,0,0,0,0,0,0,,,2,3,0,,1,ice,,blocks.stone,blockd.stone,,113,2,1,,8dd1ff,,,,,,,1,15,15,,6,,,2,,
114,淤泥,Silt,Silt,,,basic,1,3,3,,,1,1,1,1,0,0,0,,,,1,8,4,1,0,,0,,114,10000,0,0,114,10000,,,2,15,0,,1,silt,,blocks.stone,blockd.stone,,114,3,1,,87999e,,,,,,,1,15,15,,6,,,2,,
115,松软的雪,Snow,Snow,,,snow,,3,3,,,1,1,0,0,0,3,0,1,,,,3,1.5,1,0,,0,,115,10000,0,0,0,0,,,2,2,0,,1,snow,,blocks.snow,blockd.snow,,115,3,1,,d4f4f5,,,,,,,0,15,15,,1,,,1,,
116,萌眼星石块,HorasRock,HorasRock,,,basic,1,3,3,,,1,1,1,1,0,0,0,,,,1,500,15,1,0,,0,,116,10000,0,0,0,0,,,1,15,0,,1,cosmic_rock_block,,blocks.stone,blockd.stone,,116,2,3,,C0C0C0,,,,,,,1,15,15,,6,,,3,,
117,萌眼星草块,Horasgrass,Horasgrass,,,grass,1,3,3,,1,0,1,1,1,0,0,0,,,,1,10,5,1,0,,0,,117,10000,0,0,117,10000,,,1,15,0,,1,cosmicgrass,,blocks.grass,blockd.grass,,117,3,3,,b665e5,,,,,,,1,15,15,,6,,,,,
118,萌眼星云团,Horascloud,Horascloud,,,aliencloud,1,3,3,,,1,1,1,1,0,0,0,1,,,1,10,0,1,0,,0,,0,0,0,0,0,0,,,0,15,0,,1,cosmiccloud,,blocks.snow,blockd.snow,,118,0,1,,F8F8FF,,,,,,,1,15,15,,6,,,,,
119,旱土,Drysoil,Drysoil,,,basic,1,3,3,,,1,1,1,1,0,0,0,,,,1,10,5,1,0,,0,,101,10000,0,0,0,0,,,1,15,0,,1,drysoil,,blocks.stone,blockd.stone,,119,2,1,,DAA520,,,,,,,1,15,15,,6,,,1,,
120,冻土,FreezeSoil,FreezeSoil,,,soil,1,3,3,,1,1,1,1,1,0,0,0,,,,1,10,5,1,0,,0,,120,10000,0,0,120,10000,,,1,15,0,,1,freezesoil,,blocks.gravel,blockd.gravel,,120,3,1,,5E789A,,,,,,,1,15,15,,6,,,,,
121,冻土坑,FreezePit,FreezePit,,,buryland,,3,3,,,1,1,1,1,0,0,0,,,,,10,5,1,0,,0,,120,10000,0,0,120,10000,,,2,15,0,,1,freezeburyland,freezesoil,blocks.grass,blockd.grass,,120,3,1,,6c5a1a,,,,,,120,1,15,15,,6,,,,,
122,厚实的雪,SnowBlock,SnowBlock,,,snowdrift,1,3,3,,1,1,1,1,1,0,0,0,,,,1,3,1.5,1,0,,0,,122,10000,0,0,0,0,,,2,2,0,,1,snow,,blocks.snow,blockd.snow,,122,3,1,,d4f4f5,,,,,,,1,15,15,-3,6,,,,,
123,自然冰,Ice,Ice,,,ice,1,3,3,,1,1,1,1,1,0,0,0,,,,1,10,5,1.6,0,,0,,123,10000,0,0,0,0,,,2,3,0,,1,ice,,blocks.stone,blockd.stone,,123,2,1,,5bc0ee,,,,,,,1,15,15,-3,6,,,1,,
124,硫黄岩,SulphurRock,SulphurRock,,,sulphurrock,1,3,3,,1,1,1,1,1,0,0,0,,,,1,25,5,1,0,,0,,124,10000,0,0,0,0,,,2,15,0,,1,sulfur_stone,,blocks.stone,blockd.stone,,124,2,1,,4f251e,,,,,,,1,15,15,,6,,,1,,
125,灼沙,HotSand,HotSand,,,basic,1,3,3,,,1,1,1,1,0,0,0,,,,1,7,3,1.6,0,,0,,125,10000,0,0,125,10000,,,2,15,0,,1,flame_sand,,blocks.sand,blockd.sand,,125,3,1,,773d3f,,,,,,,1,15,15,,6,,,,,
126,魔古岩,MagicRock,MagicRock,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,1,500,25,1,0,,0,,126,10000,0,0,0,0,,,2,15,0,,1,mogu_stone,,blocks.stone,blockd.stone,,126,2,1,,413250,,,,,,,1,15,15,,6,,,10,,
127,泡沫块,Sponge,Sponge,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,1,10,4,1,0,,0,,127,10000,0,0,0,0,,,2,15,0,,1,sponge,,blocks.cloth,blockd.cloth,,127,0,1,,dab15c,,,,,,,1,15,15,,6,,,,,
128,红沙,Redsand,Redsand,,,solidsand,1,4,4,,,,1,1,1,0,1,0,,,,1,7,3,1,0,,0,,128,10000,0,0,128,10000,,,1,15,0,,1,red_sand,,blocks.sand,blockd.sand,,128,3,1,,86362d,,,,,,,1,15,15,,6,,,,,
129,厚实的雪,ThickSnow,ThickSnow,,,snowobj,,,,,,1,1,0,0,0,3,0,1,,,1,3,1.5,1,0,,0,,129,160000,0,0,0,0,,,2,2,0,,1,snow_m,snow,blocks.snow,blockd.snow,,122,3,1,,d4f4f5,,,,,,,0,15,15,,6,,,,,
130,厚实的雪堆,ThickSnowBlock,ThickSnowBlock,,,basic,,,,,,1,1,1,1,0,0,0,,,,1,3,1.5,1,0,,0,,129,160000,0,0,0,0,,,2,2,0,,1,snow,,blocks.snow,blockd.snow,,122,3,1,,d4f4f5,,,,,,,1,15,15,,6,,,,,
131,坚固的冰,HardIce,HardIce,,,basic,,,,,,1,1,1,1,2,0,0,,,,1,-1,-1,1,0,,0,,0,0,0,0,0,3,,,1,15,0,,1,eternal_ice,,blocks.stone,blockd.stone,,0,0,,,5bc0ee,,,,,,,1,15,15,,6,,,,,
132,硫黄晶砂,SulfurCrystalSand,SulfurCrystalSand,,,crystalemitter,1,4,4,,,,1,1,1,2,0,2,,,,1,100,30,1,0,,0,,132,10000,0,0,0,0,,,1,15,15,,1,hotcrystal,,blocks.sand,blocks.sand,,132,3,5,,4f251e,,,,,4,,1,15,0,8,6,,,,,
133,空的蜂巢,EmptyHoneycomb,EmptyHoneycomb,,,hiveempty,,4,4,23418,,,1,1,1,0,0,0,,,,1,10,4,1,0,,0,,12504,10000,0,0,12504,10000,,,2,15,0,,1,hive_empty,,blocks.cloth,blockd.cloth,,133,1,1,,dab15c,,,1,bee.ent,,,1,15,15,,1,,,2,,
134,满的蜂巢,FullHoneycomb,FullHoneycomb,,,hivefull,,4,4,43418,,,1,1,1,0,0,0,,,,1,10,4,1,0,,0,,12504,10000,12504,10000,12504,10000,,,2,15,0,,1,hive_full,,blocks.cloth,blockd.cloth,,134,1,1,,dab15c,,,1,,,,1,15,15,,1,,,2,,
135,神秘图腾-大地,Horastotem-Earth,Horastotem-Earth,,,basic_model,1,4,,,,,1,1,1,2,0,0,,,,,500,50,1,0,,0,,135,10000,0,0,0,0,,,1,1,10,,1,alientotem1,alientotem1,blockd.wood,blockd.wood,,135,2,6,,C0C0C0,,,,,4,,1,15,15,,6,,,20,,
136,神秘图腾-天空,Horastotem-Sky,Horastotem-Sky,,,basic_model,1,4,,,,,1,1,1,2,0,0,,,,,500,50,1,0,,0,,136,10000,0,0,0,0,,,1,1,10,,1,alientotem2,alientotem2,blockd.wood,blockd.wood,,136,2,6,,C0C0C0,,,,,4,,1,15,15,,6,,,20,,
