枚举ID,枚举名称,枚举类型,枚举类型名,触发器显示（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见）,,
200007,游泳,20,生物行动状态,0,,
200008,逃跑,20,生物行动状态,0,,
200009,自爆,20,生物行动状态,0,,
200010,被吸引,20,生物行动状态,0,,
200011,交配,20,生物行动状态,0,,
210001,最大生命值,21,生物属性,0,,
210002,当前生命值,21,生物属性,0,,
210003,生命恢复,21,生物属性,0,,
210005,当前饥饿度,21,生物属性,0,,
210007,当前氧气值,21,生物属性,0,,
210009,移动速度,21,生物属性,0,,
210011,游泳速度,21,生物属性,0,,
210012,跳跃力,21,生物属性,0,,
210014,闪避率,21,生物属性,0,,
210015,近战攻击,21,生物属性,0,,
210016,远程攻击,21,生物属性,0,,
210017,近战防御,21,生物属性,0,,
210018,远程防御,21,生物属性,0,,
210019,模型大小,21,生物属性,0,,
220001,可移动,22,生物设置,0,,
220002,可被攻击,22,生物设置,0,,
220003,可被杀死,22,生物设置,0,,
220004,可拾取道具,22,生物设置,0,,
220005,可死亡掉落,22,生物设置,0,,
230001,在世界选择区域,23,区域,0,,
240001,事件中的位置,24,位置,0,,
240002,出生点,24,位置,0,,
240003,在世界选择位置,24,位置,0,,
250001,触发事件的玩家,25,玩家,0,,
250002,事件中的目标玩家,25,玩家,0,,
260001,空气方块,26,方块类型,0,,
270001,事件中的道具类型,27,道具类型,0,,
270002,最后创建的道具类型,27,道具类型,0,,
280001,触发事件的投掷物,28,投掷物,0,,
290001,事件中的掉落物,29,掉落物,0,,
300001,触发事件的生物,30,生物,0,,
300002,事件中的目标生物,30,生物,0,,
300003,在世界选择生物,30,生物,0,,
300004,最后创建的生物,30,生物,0,,
310001,事件中的动画表情,31,动画表情,0,,
320001,真,32,布尔值,0,,
320002,假,32,布尔值,0,,
330001,Sin,33,三角函数,0,,
330002,Cos,33,三角函数,0,,
330003,Tan,33,三角函数,0,,
340001,事件中的特效类型,34,特效类型,0,,
340002,最后创建的特效类型,34,特效类型,0,,
260002,事件中的方块类型,26,方块类型,0,,
260003,最后创建的方块类型,26,方块类型,0,,
350001,正上方向,35,方向,0,,
350002,正下方向,35,方向,0,,
350003,正左方向,35,方向,0,,
350004,正右方向,35,方向,0,,
350005,正前方向,35,方向,0,,
350006,正后方向,35,方向,0,,
360001,执行动作的对象,36,对象,0,,
370001,高音1,37,音调,0,,
370002,高音1(升),37,音调,0,,
370003,高音2,37,音调,0,,
370004,高音2(升),37,音调,0,,
370005,高音3,37,音调,0,,
370006,高音4,37,音调,0,,
370007,高音4(升),37,音调,0,,
370008,高音5,37,音调,0,,
370009,高音5(升),37,音调,0,,
370010,高音6,37,音调,0,,
370011,高音6(升),37,音调,0,,
370012,高音7,37,音调,0,,
370013,中音1,37,音调,0,,
370014,中音1(升),37,音调,0,,
370015,中音2,37,音调,0,,
370016,中音2(升),37,音调,0,,
370017,中音3,37,音调,0,,
370018,中音4,37,音调,0,,
370019,中音4(升),37,音调,0,,
370020,中音5,37,音调,0,,
370021,中音5(升),37,音调,0,,
370022,中音6,37,音调,0,,
370023,中音6(升),37,音调,0,,
370024,中音7,37,音调,0,,
370025,低音1,37,音调,0,,
370026,低音1(升),37,音调,0,,
370027,低音2,37,音调,0,,
370028,低音2(升),37,音调,0,,
370029,低音3,37,音调,0,,
370030,低音4,37,音调,0,,
370031,低音4(升),37,音调,0,,
370032,低音5,37,音调,0,,
370033,低音5(升),37,音调,0,,
370034,低音6,37,音调,0,,
370035,低音6(升),37,音调,0,,
370036,低音7,37,音调,0,,
380001,键位W,38,按键,0,,
380002,键位A,38,按键,0,,
380003,键位S,38,按键,0,,
380004,键位D,38,按键,0,,
380005,键位Space,38,按键,0,,
380006,键位Shift,38,按键,0,,
380007,键位B,38,按键,0,,
380008,键位C,38,按键,0,,
380009,键位E,38,按键,0,,
380010,键位F,38,按键,0,,
380011,键位G,38,按键,0,,
380012,键位H,38,按键,0,,
380013,键位I,38,按键,0,,
380014,键位J,38,按键,0,,
380015,键位K,38,按键,0,,
380016,键位L,38,按键,0,,
380017,键位M,38,按键,0,,
380018,键位N,38,按键,0,,
380019,键位O,38,按键,0,,
380020,键位P,38,按键,0,,
380021,键位Q,38,按键,0,,
380022,键位R,38,按键,0,,
380023,键位T,38,按键,0,,
380024,键位U,38,按键,0,,
380025,键位V,38,按键,0,,
380026,键位X,38,按键,0,,
380027,键位Y,38,按键,0,,
380028,键位Z,38,按键,0,,
390001,快捷栏1,39,快捷栏键位,0,,
390002,快捷栏2,39,快捷栏键位,0,,
390003,快捷栏3,39,快捷栏键位,0,,
390004,快捷栏4,39,快捷栏键位,0,,
390005,快捷栏5,39,快捷栏键位,0,,
390006,快捷栏6,39,快捷栏键位,0,,
390007,快捷栏7,39,快捷栏键位,0,,
390008,快捷栏8,39,快捷栏键位,0,,
400001,事件中的快捷栏,40,快捷栏,0,,
410001,事件中的状态效果,41,状态,0,,
420001,装备栏1（头盔）,42,装备栏位,0,,
420002,装备栏2（胸甲）,42,装备栏位,0,,
420003,装备栏3（护腿）,42,装备栏位,0,,
420004,装备栏4（靴子）,42,装备栏位,0,,
420005,装备栏5（背饰）,42,装备栏位,0,,
430001,事件中的装备栏,43,装备栏,0,,
440001,触发事件的生物类型,44,生物类型,0,,
440002,事件中的目标生物类型,44,生物类型,0,,
440003,最后创建的生物类型,44,生物类型,0,,
450001,事件中的配方,45,配方,0,,
460001,事件中的熔炼,46,熔炼,0,,
470001,事件中的剧情,47,剧情,0,,
480001,事件中的道具数量,48,道具数量,0,,
490001,文字板,49,图文信息类型,0,,
490002,漂浮文字,49,图文信息类型,0,,
490003,进度条,49,图文信息类型,0,,
490004,指向对象的箭头,49,图文信息类型,0,,
490005,指向位置的箭头,49,图文信息类型,0,,
490006,指向对象的引导面,49,图文信息类型,0,,
490007,指向位置的引导面,49,图文信息类型,0,,
490008,指向对象的引导线,49,图文信息类型,0,,
490009,指向位置的引导线,49,图文信息类型,0,,
500001,升序,50,排序,0,,
500002,降序,50,排序,0,,
510001,事件中的元件,51,元件,0,,
520001,当前编辑界面,52,界面,0,,
520002,事件中的界面,52,界面,0,,
530001,飞行,53,移动方式,0,,
530002,默认移动方式,53,移动方式,0,,`
540001,年,54,时间单位,0,,
540002,月,54,时间单位,0,,
540003,日,54,时间单位,0,,
540004,时,54,时间单位,0,,
540005,分,54,时间单位,0,,
540006,秒,54,时间单位,0,,
540007,时间戳（秒）,54,时间单位,0,,
550001,事件中的字符串,55,字符串,0,,
570001,事件中的音乐,57,音乐,0,,
580001,暂停,58,暂停恢复,0,,
580002,恢复,58,暂停恢复,0,,
580003,关闭,58,暂停恢复,0,,
590001,在世界选择显示板,59,显示板,0,,
600001,全局对象,60,全局对象,0,,
610001,循环播放,61,播放模式,0,,
610002,单次播放,61,播放模式,0,,
990001,常见组,99,地形组,0,,
990002,海洋组,99,地形组,0,,
990003,沙漠组,99,地形组,0,,
990004,普通寒带组,99,地形组,0,,
990005,高峰寒带组,99,地形组,0,,
990006,火山组,99,地形组,0,,
990007,湿地组,99,地形组,0,,
