iD,名字,效果类型,附魔等级,效果数值1,效果数值2,"攻击类型: -1不限, 0:近程,1:远程,2:爆炸, 3:火,4:毒,5:暗","目标类型:-1不限,0玩家npc,1动物,2野人，3魔物，4远古",冲突类型（默认0，不冲突）,属性描述,附魔类型权重,工具类型1,工具类型2,工具类型3,工具类型4,工具类型5,工具类型6,工具类型7,工具类型8,工具类型9,工具类型10,工具类型11,工具类型12,图标特效颜色,备注, 基础特效, 基础特效2,图标（脚本ID库使用，引用IconBank表图标id）
13,强力射击,BOW_ATTACK,4,1,,1,-1,,弓箭射击的伤害增加100%。,10,7,17,,,,,,,,,,,ff8033CD,,,magic_strong,attack_range_add
13,强力射击,BOW_ATTACK,5,1.25,,1,-1,,弓箭射击的伤害增加125%。,10,7,17,,,,,,,,,,,ff8033CD,,,magic_strong,attack_range_add
14,无限射击,ARROW_FREE,1,5,,-1,-1,,弓箭射击不再消耗箭，转为额外消耗5点耐久度。,5,7,17,,,,,,,,,,,ff8033CD,数值1是消耗的耐久度,,magic_purpleball,attack_range_add
14,无限射击,ARROW_FREE,2,4,,-1,-1,,弓箭射击不再消耗箭，转为额外消耗4点耐久度。,5,7,17,,,,,,,,,,,ff8033CD,,,magic_purpleball,attack_range_add
14,无限射击,ARROW_FREE,3,3,,-1,-1,,弓箭射击不再消耗箭，转为额外消耗3点耐久度。,5,7,17,,,,,,,,,,,ff8033CD,,,magic_purpleball,attack_range_add
14,无限射击,ARROW_FREE,4,2,,-1,-1,,弓箭射击不再消耗箭，转为额外消耗2点耐久度。,5,7,17,,,,,,,,,,,ff8033CD,,,magic_purpleball,attack_range_add
14,无限射击,ARROW_FREE,5,1,,-1,-1,,弓箭射击不再消耗箭，转为额外消耗1点耐久度。,5,7,17,,,,,,,,,,,ff8033CD,,,magic_purpleball,attack_range_add
15,耐久,DURABLE,1,40,,-1,-1,,增加物品耐久度40%。,10,1,2,3,4,6,7,8,9,10,11,17,,ff8033CD,数值1是增加的耐久度比例,,,armor_add
15,耐久,DURABLE,2,80,,-1,-1,,增加物品耐久度80%。,10,1,2,3,4,6,7,8,9,10,11,17,,ff8033CD,,,,armor_add
15,耐久,DURABLE,3,140,,-1,-1,,增加物品耐久度160%。,10,1,2,3,4,6,7,8,9,10,11,17,,ff8033CD,,,,armor_add
15,耐久,DURABLE,4,220,,-1,-1,,增加物品耐久度240%。,10,1,2,3,4,6,7,8,9,10,11,17,,ff8033CD,,,,armor_add
15,耐久,DURABLE,5,320,,-1,-1,,增加物品耐久度320%。,10,1,2,3,4,6,7,8,9,10,11,17,,ff8033CD,,,,armor_add
16,近战抗性,PROTECTION,1,1,,0,-1,,增加1点近战抗性点数。,10,8,9,10,11,17,,,,,,,,ff8033CD,数值1是增加的防御点数，还可以配置应对的攻击和目标类型,,,damaged_punch_add
16,近战抗性,PROTECTION,2,3,,0,-1,,增加3点近战抗性点数。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,damaged_punch_add
16,近战抗性,PROTECTION,3,5,,0,-1,,增加5点近战抗性点数。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,damaged_punch_add
16,近战抗性,PROTECTION,4,9,,0,-1,,增加9点近战抗性点数。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,damaged_punch_add
16,近战抗性,PROTECTION,5,15,,0,-1,,增加15点近战抗性点数。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,damaged_punch_add
17,远程抗性,PROTECTION,1,1,,1,-1,,增加1点远程抗性点数。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,damaged_range_add
17,远程抗性,PROTECTION,2,3,,1,-1,,增加3点远程抗性点数。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,damaged_range_add
17,远程抗性,PROTECTION,3,5,,1,-1,,增加5点远程抗性点数。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,damaged_range_add
17,远程抗性,PROTECTION,4,9,,1,-1,,增加9点远程抗性点数。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,damaged_range_add
17,远程抗性,PROTECTION,5,15,,1,-1,,增加15点远程抗性点数。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,damaged_range_add
18,爆炸抗性,PROTECTION,1,1,,2,-1,,增加1点爆炸抗性点数。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,damaged_explode_add
18,爆炸抗性,PROTECTION,2,3,,2,-1,,增加3点爆炸抗性点数。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,damaged_explode_add
18,爆炸抗性,PROTECTION,3,5,,2,-1,,增加5点爆炸抗性点数。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,damaged_explode_add
18,爆炸抗性,PROTECTION,4,9,,2,-1,,增加9点爆炸抗性点数。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,damaged_explode_add
18,爆炸抗性,PROTECTION,5,15,,2,-1,,增加15点爆炸抗性点数。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,damaged_explode_add
19,燃烧抗性,PROTECTION,1,1,,3,-1,,增加1点火焰抗性点数。,10,8,9,10,11,17,18,,,,,,,ff8033CD,,,,damaged_fire_add
19,燃烧抗性,PROTECTION,2,3,,3,-1,,增加3点火焰抗性点数。,10,8,9,10,11,17,18,,,,,,,ff8033CD,,,,damaged_fire_add
19,燃烧抗性,PROTECTION,3,5,,3,-1,,增加5点火焰抗性点数。,10,8,9,10,11,17,18,,,,,,,ff8033CD,,,,damaged_fire_add
19,燃烧抗性,PROTECTION,4,9,,3,-1,,增加9点火焰抗性点数。,10,8,9,10,11,17,18,,,,,,,ff8033CD,,,,damaged_fire_add
19,燃烧抗性,PROTECTION,5,15,,3,-1,,增加15点火焰抗性点数。,10,8,9,10,11,17,18,,,,,,,ff8033CD,,,,damaged_fire_add
20,毒素抗性,PROTECTION,1,1,,4,-1,,增加1点毒素抗性点数。,3,8,9,10,11,17,,,,,,,,ff8033CD,,,,damaged_poison_add
20,毒素抗性,PROTECTION,2,3,,4,-1,,增加3点毒素抗性点数。,3,8,9,10,11,17,,,,,,,,ff8033CD,,,,damaged_poison_add
20,毒素抗性,PROTECTION,3,5,,4,-1,,增加5点毒素抗性点数。,3,8,9,10,11,17,,,,,,,,ff8033CD,,,,damaged_poison_add
20,毒素抗性,PROTECTION,4,9,,4,-1,,增加9点毒素抗性点数。,3,8,9,10,11,17,,,,,,,,ff8033CD,,,,damaged_poison_add
20,毒素抗性,PROTECTION,5,15,,4,-1,,增加15点毒素抗性点数。,3,8,9,10,11,17,,,,,,,,ff8033CD,,,,damaged_poison_add
21,混乱抗性,PROTECTION,1,1,,5,-1,,新增1点混乱抗性点数。,3,8,9,10,11,17,21,,,,,,,ff8033CD,,,,dameged_wither_add
21,混乱抗性,PROTECTION,2,3,,5,-1,,新增3点混乱抗性点数。,3,8,9,10,11,17,21,,,,,,,ff8033CD,,,,dameged_wither_add
21,混乱抗性,PROTECTION,3,5,,5,-1,,新增5点混乱抗性点数。,3,8,9,10,11,17,21,,,,,,,ff8033CD,,,,dameged_wither_add
21,混乱抗性,PROTECTION,4,9,,5,-1,,新增9点混乱抗性点数。,3,8,9,10,11,17,21,,,,,,,ff8033CD,,,,dameged_wither_add
21,混乱抗性,PROTECTION,5,15,,5,-1,,新增15点混乱抗性点数。,3,8,9,10,11,17,21,,,,,,,ff8033CD,,,,dameged_wither_add
22,反击,THORNS,1,50,5,-1,-1,,被近战攻击的时候有50%几率对攻击者造成5点伤害。,10,8,9,10,11,17,,,,,,,,ff8033CD,数值1是几率，数值2是伤害点数,,,Hamster_Ball
22,反击,THORNS,2,50,10,-1,-1,,被近战攻击的时候有50%几率对攻击者造成10点伤害。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,Hamster_Ball
22,反击,THORNS,3,50,15,-1,-1,,被近战攻击的时候有50%几率对攻击者造成15点伤害。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,Hamster_Ball
22,反击,THORNS,4,50,20,-1,-1,,被近战攻击的时候有50%几率对攻击者造成20点伤害。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,Hamster_Ball
22,反击,THORNS,5,50,25,-1,-1,,被近战攻击的时候有50%几率对攻击者造成25点伤害。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,Hamster_Ball
23,击退抗性,KNOCK_RESIST,1,1,,-1,-1,,被攻击的时候减少被击退1格。,10,8,9,10,11,17,,,,,,,,ff8033CD,数值1是减少被击退的格数,,,knock_resist
23,击退抗性,KNOCK_RESIST,2,2,,-1,-1,,被攻击的时候减少被击退2格。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,knock_resist
23,击退抗性,KNOCK_RESIST,3,3,,-1,-1,,被攻击的时候减少被击退3格。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,knock_resist
23,击退抗性,KNOCK_RESIST,4,4,,-1,-1,,被攻击的时候减少被击退4格。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,knock_resist
23,击退抗性,KNOCK_RESIST,5,5,,-1,-1,,被攻击的时候减少被击退5格。,10,8,9,10,11,17,,,,,,,,ff8033CD,,,,knock_resist
24,精准采集,DIG_PRECISE,1,1,,-1,-1,25,采集方块的时候，会掉落方块本身。,5,2,3,17,,,,,,,,,,ff8033CD,,,,dig_speed_add
25,速度,DIG_SPEED,1,0.3,,-1,-1,,增加采集速度30%。,10,1,2,3,17,,,,,,,,,ff8033CD,数值1是增加的挖掘速度,,,move_speed_add
25,速度,DIG_SPEED,2,0.7,,-1,-1,,增加采集速度70%。,10,1,2,3,17,,,,,,,,,ff8033CD,,,,move_speed_add
25,速度,DIG_SPEED,3,1.2,,-1,-1,,增加采集速度120%。,10,1,2,3,17,,,,,,,,,ff8033CD,,,,move_speed_add
25,速度,DIG_SPEED,4,1.8,,-1,-1,,增加采集速度180%。,10,1,2,3,17,,,,,,,,,ff8033CD,,,,move_speed_add
25,速度,DIG_SPEED,5,2.5,,-1,-1,,增加采集速度250%。,10,1,2,3,17,,,,,,,,,ff8033CD,,,,move_speed_add
26,挖掘幸运,DIG_PROB,1,1,,-1,-1,25,"镐：采集矿物的时候，有16%几率获得两倍掉落。
",3,2,17,,,,,,,,,,,ff8033CD,数值写死在程序中了。,,,luck_dig
26,挖掘幸运,DIG_PROB,2,2,,-1,-1,25,"镐：采集矿物的时候，有16/8%几率获得二/三倍掉落。
",3,2,17,,,,,,,,,,,ff8033CD,,,,luck_dig
26,挖掘幸运,DIG_PROB,3,3,,-1,-1,25,"镐：采集矿物的时候，有20/10/4%几率获得二/三/四倍掉落。
",3,2,17,,,,,,,,,,,ff8033CD,,,,luck_dig
27,爆炸射击,ARROW_EXPLODE,1,2,,-1,-1,,弓箭射中目标后会产生爆炸。。,,,,,,,,,,,,,,ff8033CD,数值1是爆炸威力。,,,attack_all_add
28,龙之缓落,FALL_PROTECT,1,150,0.1,-1,-1,,摔落伤害-150，并降低下落速度。,,,,,,,,,,,,,,ff8033CD,数值1减少的伤害，数值2是重力改变。,item_11016_noop,,model_ghost
29,速度,DIG_SPEED,1,0.3,,-1,-1,,增加采集速度30%。,,,,,,,,,,,,,,ff8033CD,,,,attack_all_reduce
30,速降（护腿）,Fall_SPEED,1,0.8,3,-1,-1,,下落时按住Shift+40%下落速度并-15摔落伤害。,5,10,23,17,,,,,,,,,,ff8033CD,,,,jump_speed_add
30,速降（护腿）,Fall_SPEED,2,1.1,6,-1,-1,,下落时按住Shift+55%下落速度并-30摔落伤害。,5,10,23,17,,,,,,,,,,ff8033CD,,,,jump_speed_add
30,速降（护腿）,Fall_SPEED,3,1.4,9,-1,-1,,下落时按住Shift+70%下落速度并-45摔落伤害。,5,10,23,17,,,,,,,,,,ff8033CD,,,,jump_speed_add
30,速降（护腿）,Fall_SPEED,4,1.7,14,-1,-1,,下落时按住Shift+85%下落速度并-70摔落伤害。,5,10,23,17,,,,,,,,,,ff8033CD,,,,jump_speed_add
30,速降（护腿）,Fall_SPEED,5,2,20,-1,-1,,下落时按住Shift+100%下落速度并-100摔落伤害。,5,10,23,17,,,,,,,,,,ff8033CD,,,,jump_speed_add
31,爬墙（鞋子）,CLIMB,1,-0.4,3,-1,-1,,在任意侧面都可以像爬梯那样移动，-40%移动速度，每2秒消耗3耐久度。,5,11,23,17,,,,,,,,,,ff8033CD,,,,move_speed_add
31,爬墙（鞋子）,CLIMB,2,-0.3,3,-1,-1,,在任意侧面都可以像爬梯那样移动，-30%移动速度，每2秒消耗3耐久度。,5,11,23,17,,,,,,,,,,ff8033CD,,,,move_speed_add
31,爬墙（鞋子）,CLIMB,3,-0.25,2,-1,-1,,在任意侧面都可以像爬梯那样移动，-25%移动速度，每2秒消耗2耐久度。,5,11,23,17,,,,,,,,,,ff8033CD,,,,move_speed_add
31,爬墙（鞋子）,CLIMB,4,-0.1,2,-1,-1,,在任意侧面都可以像爬梯那样移动，-10%移动速度，每2秒消耗2耐久度。,5,11,23,17,,,,,,,,,,ff8033CD,,,,move_speed_add
31,爬墙（鞋子）,CLIMB,5,0,1,-1,-1,,在任意侧面都可以像爬梯那样移动，每2秒消耗1耐久度。,5,11,23,17,,,,,,,,,,ff8033CD,,,,move_speed_add
