部件ID（跟方块ID相同）,名称,机械核心（0=不是核心，1=是核心）,生命值,部件类型（0=框架，1=移动装置[1=车轮]，2=动力装置[1=引擎]，3=座位，4=武器，5=辅助装置，6=关节部件）,子类型（根据部件类型不同有不同含义，0=全部）,作为护甲（0=否，1=作为护甲给核心加生命值）,增加电力上限,占用电力,是否耗能,消耗速度（每消耗间隔消耗的燃料值）,消耗间隔（单位0.1秒）,方块数,使用类型（0=主动，1=被动）,直连端口触发类型[0=改状态的，1=使用的，2=载具控制的],是否屏蔽界面交互触发(1=屏蔽，不填=不屏蔽),功能效果（Key1填键位（填0会自动分配按键），KeyIcon1填图标（不填则使用道具图标），KeyType填按键类型（0=按住类，1=开关类）
1091,乘客座,0,180,3,2,0,0,0,0,0,0,1,0,2,,"[{""FunctionID"":3,""SeatType"":0,""IsControl"":0,""LeaveKey"":40,""Icon"":100,""Key1"":16,""KeyIcon1"":""icon_getout"",""KeyType1"":1}]"
1092,动作序列器,0,44,5,3,0,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
1093,推进器,0,90,2,2,0,0,0,0,0,0,1,0,0,,"[{""FunctionID"":9,""Thrust"":0.001,""ThrusterForce"":2000,""ThrusterType"":2,""RigidForce"":1000,""ThrusterStableType"":1,""Effect"":1,""Offset"":25,""Sound"":100,""SoundVolume"":100,""Key1"":32,""KeyIcon1"":"""",""KeyType1"":0},{""FunctionID"":6,""HeatPerUnit"":10,""HeatDownTime"":40,""HeatReduce"":10,""MaxHeat"":1200,""MaxHeatReduce"":20}]"
1094,机翼方块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1095,转向翼,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1096,航天推进器,0,90,2,2,0,0,0,0,10,1,1,0,0,,"[{""FunctionID"":9,""Thrust"":0.001,""ThrusterForce"":2000,""ThrusterType"":2,""RigidForce"":3000,""ThrusterStableType"":1,""Effect"":1,""Offset"":25,""Sound"":100,""SoundVolume"":100,""Key1"":32,""KeyIcon1"":"""",""KeyType1"":0,""Key2"":17,""KeyIcon2"":"""",""KeyType2"":0},{""FunctionID"":11,""PowerChangeVal"":10,""PowerChangeInterval"":1,""CostInterval"":1,""PowerMax"":1000,""Level1TopLimit"":333,""Level1CostVal"":1,""Level2TopLimit"":666,""Level2CostVal"":2,""Level3TopLimit"":1000,""Level3CostVal"":4,""ThrusterForce"":1200,""RigidForce"":3000}]"
1099,油箱,0,90,2,3,0,0,0,1,0,0,1,0,0,,"[{""FunctionID"":5,""CostType"":1,""CostVal"":1,""CostInterval"":1,""MaxCost"":8400,""UIDisplay"":1,""ButtonDisplay"":0,""ModelDisplay"":0,""SupplyWay"":0,""SupplyItem"":11099,""SupplyVal"":1680}]"
1153,标记器1号（测试）,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1154,标记器2号（测试）,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1155,机甲滑动（测试）,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1156,机甲转动（测试）,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1157,开关（测试）,0,44,5,0,1,0,0,0,0,0,1,0,1,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
1158,机甲转动（测试）,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1158,球铰链-底座,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1159,T铰链-底座,0,44,5,4,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
8,雕纹砖块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
104,石头,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1040,球触碰方块,0,44,5,1,1,0,0,0,0,0,1,0,0,,
105,苔石,0,44,0,0,1,0,0,0,0,0,1,0,0,,
108,沙石,0,44,0,0,1,0,0,0,0,0,1,0,0,,
112,黑晶石,0,44,0,0,1,0,0,0,0,0,1,0,0,,
116,[外星]萌眼星石块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1160,机械爪,0,44,5,2,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
1161,液压臂-底座,0,44,5,4,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
1164,悬挂-头部,0,44,5,0,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":12,""Stiffness1"":800,""Damping1"":0,""MaxForce1"":1000000,""Stiffness2"":4000,""Damping2"":0,""MaxForce2"":5000000,""Stiffness3"":20000,""Damping3"":0,""MaxForce3"":10000000,""Stiffness4"":200,""Damping4"":0,""MaxForce4"":1000000,""Stiffness5"":1000,""Damping5"":0,""MaxForce5"":5000000,""Stiffness6"":5000,""Damping6"":0,""MaxForce6"":10000000}]"
1165,绞绳-头部绞轮,0,44,5,4,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
1166,绞绳-尾部固定木桩,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1167,绞绳-绳子,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1168,红外感应方块,0,18,5,1,1,0,0,0,0,0,1,0,0,,
1169,光照感应器,0,18,5,1,1,0,0,0,0,0,1,0,0,,
1170,高度感应器,0,18,5,1,1,0,0,0,0,0,1,0,0,,
1171,速度感应器,0,18,5,1,1,0,0,0,0,0,1,0,0,,
124,硫磺岩,0,44,0,0,1,0,0,0,0,0,1,0,0,,
126,魔古岩,0,44,0,0,1,0,0,0,0,0,1,0,0,,
132,硫磺晶砂,0,44,0,0,1,0,0,0,0,0,1,0,0,,
135,[外星]图腾装饰-鬼脸,0,44,0,0,1,0,0,0,0,0,1,0,0,,
136,[外星]图腾装饰-惊恐,0,44,0,0,1,0,0,0,0,0,1,0,0,,
200,果木,0,18,0,0,1,0,0,0,0,0,1,0,0,,
201,银杉木,0,18,0,0,1,0,0,0,0,0,1,0,0,,
202,白白桦木,0,18,0,0,1,0,0,0,0,0,1,0,0,,
203,红杉木,0,18,0,0,1,0,0,0,0,0,1,0,0,,
204,楠木,0,18,0,0,1,0,0,0,0,0,1,0,0,,
205,胡桃木,0,18,0,0,1,0,0,0,0,0,1,0,0,,
579,雨林乔木,0,18,0,0,1,0,0,0,0,0,1,0,0,,
206,果木板,0,18,0,0,1,0,0,0,0,0,1,0,0,,
207,银杉木板,0,18,0,0,1,0,0,0,0,0,1,0,0,,
208,白桦木板,0,18,0,0,1,0,0,0,0,0,1,0,0,,
209,红杉木板,0,18,0,0,1,0,0,0,0,0,1,0,0,,
210,楠木板,0,18,0,0,1,0,0,0,0,0,1,0,0,,
211,胡桃木板,0,18,0,0,1,0,0,0,0,0,1,0,0,,
375,柠檬黄木板,0,18,0,0,1,0,0,0,0,0,1,0,0,,
230,南瓜,0,18,0,0,1,0,0,0,0,0,1,0,0,,
239,西瓜,0,18,0,0,1,0,0,0,0,0,1,0,0,,
254,桃花木,0,18,0,0,1,0,0,0,0,0,1,0,0,,
257,[外星]珍木,0,18,0,0,1,0,0,0,0,0,1,0,0,,
260,[外星]无叶珍木,0,18,0,0,1,0,0,0,0,0,1,0,0,,
261,[外星]星光孢子树干,0,18,0,0,1,0,0,0,0,0,1,0,0,,
264,[外星]珍木木板,0,18,0,0,1,0,0,0,0,0,1,0,0,,
265,[外星]无叶珍木木板,0,18,0,0,1,0,0,0,0,0,1,0,0,,
268,[外星]变异小蘑菇树干,0,18,0,0,1,0,0,0,0,0,1,0,0,,
270,白色星光孢子块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
271,橙色星光孢子块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
272,紫红星光孢子块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
273,淡蓝星光孢子块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
274,黄色星光孢子块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
275,淡绿星光孢子块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
276,粉色星光孢子块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
277,绿色星光孢子块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
278,红色星光孢子块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
279,青色星光孢子块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
280,紫色星光孢子块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
281,蓝色星光孢子块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
282,褐色星光孢子块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
283,灰色星光孢子块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
284,淡灰星光孢子块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
285,黑色星光孢子块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
286,变异紫苏杆,0,18,0,0,1,0,0,0,0,0,1,0,0,,
400,炽炎矿,0,90,0,0,1,0,0,0,0,0,1,0,0,,
401,秘银矿,0,90,0,0,1,0,0,0,0,0,1,0,0,,
402,可燃冰矿,0,44,0,0,1,0,0,0,0,0,1,0,0,,
403,缠丝玛瑙原石,0,44,0,0,1,0,0,0,0,0,1,0,0,,
404,钨金矿,0,44,0,0,1,0,0,0,0,0,1,0,0,,
405,星能矿,0,44,0,0,1,0,0,0,0,0,1,0,0,,
406,琥珀原石,0,44,0,0,1,0,0,0,0,0,1,0,0,,
407,硅石矿,0,44,0,0,1,0,0,0,0,0,1,0,0,,
408,钨金块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
409,琥珀块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
410,炽炎块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
411,秘银块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
412,硅石块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
413,花纹硅石块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
414,竖纹硅石块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
415,星能块,0,44,5,1,1,0,0,0,0,0,1,0,0,,
416,可燃冰块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
417,缠丝玛瑙块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
418,地板,0,18,0,0,1,0,0,0,0,0,1,0,0,,
419,秋叶橙地板,0,18,0,0,1,0,0,0,0,0,1,0,0,,
420,海棠红地板,0,18,0,0,1,0,0,0,0,0,1,0,0,,
421,土砖,0,44,0,0,1,0,0,0,0,0,1,0,0,,
422,粗制石砖,0,44,0,0,1,0,0,0,0,0,1,0,0,,
423,粗制黄砖板,0,44,0,0,1,0,0,0,0,0,1,0,0,,
424,精制黄砖板,0,44,0,0,1,0,0,0,0,0,1,0,0,,
425,釉面砖,0,44,0,0,1,0,0,0,0,0,1,0,0,,
426,横格釉面砖,0,44,0,0,1,0,0,0,0,0,1,0,0,,
427,竖格釉面砖,0,44,0,0,1,0,0,0,0,0,1,0,0,,
428,四格釉面砖,0,44,0,0,1,0,0,0,0,0,1,0,0,,
429,不规则釉面砖,0,44,0,0,1,0,0,0,0,0,1,0,0,,
430,冰砖,0,44,0,0,1,0,0,0,0,0,1,0,0,,
445,星铜矿石,0,90,0,0,1,0,0,0,0,0,1,0,0,,
446,紫荧矿石,0,44,0,0,1,0,0,0,0,0,1,0,0,,
447,神秘化石,0,44,0,0,1,0,0,0,0,0,1,0,0,,
448,石油块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
449,星铜石块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
450,紫荧石块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
501,精制石砖,0,44,0,0,1,0,0,0,0,0,1,0,0,,
502,裂纹石砖,0,44,0,0,1,0,0,0,0,0,1,0,0,,
503,青石岩砖,0,44,0,0,1,0,0,0,0,0,1,0,0,,
504,花纹岩石砖,0,44,0,0,1,0,0,0,0,0,1,0,0,,
505,碎石块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
506,青石台阶,0,22,0,0,1,0,0,0,0,0,1,0,0,,
507,黄砖台阶,0,22,0,0,1,0,0,0,0,0,1,0,0,,
509,石质台阶,0,22,0,0,1,0,0,0,0,0,1,0,0,,
510,水泥砖台阶,0,22,0,0,1,0,0,0,0,0,1,0,0,,
511,精制石砖台阶,0,22,0,0,1,0,0,0,0,0,1,0,0,,
512,硫黄砖台阶,0,22,0,0,1,0,0,0,0,0,1,0,0,,
513,硅石台阶,0,22,0,0,1,0,0,0,0,0,1,0,0,,
514,台阶,0,9,0,0,1,0,0,0,0,0,1,0,0,,
515,秋叶橙台阶,0,9,0,0,1,0,0,0,0,0,1,0,0,,
516,象牙白台阶,0,9,0,0,1,0,0,0,0,0,1,0,0,,
517,海棠红台阶,0,9,0,0,1,0,0,0,0,0,1,0,0,,
518,落日橙台阶,0,9,0,0,1,0,0,0,0,0,1,0,0,,
519,深栗红台阶,0,9,0,0,1,0,0,0,0,0,1,0,0,,
520,楼梯,0,14,0,0,1,0,0,0,0,0,1,0,0,,
521,秋叶橙楼梯,0,14,0,0,1,0,0,0,0,0,1,0,0,,
522,象牙白楼梯,0,14,0,0,1,0,0,0,0,0,1,0,0,,
523,海棠红楼梯,0,14,0,0,1,0,0,0,0,0,1,0,0,,
524,落日橙楼梯,0,14,0,0,1,0,0,0,0,0,1,0,0,,
525,深栗红楼梯,0,14,0,0,1,0,0,0,0,0,1,0,0,,
526,秘银栅栏,0,90,0,0,1,0,0,0,0,0,1,0,0,,
527,黄砖楼梯,0,33,0,0,1,0,0,0,0,0,1,0,0,,
529,石质楼梯,0,33,0,0,1,0,0,0,0,0,1,0,0,,
530,水泥砖楼梯,0,33,0,0,1,0,0,0,0,0,1,0,0,,
531,精制石砖楼梯,0,33,0,0,1,0,0,0,0,0,1,0,0,,
532,硫黄砖楼梯,0,33,0,0,1,0,0,0,0,0,1,0,0,,
533,硅石楼梯,0,33,0,0,1,0,0,0,0,0,1,0,0,,
376,柠檬黄楼梯,0,33,0,0,1,0,0,0,0,0,1,0,0,,
534,木围栏,0,18,0,0,1,0,0,0,0,0,1,0,0,,
535,木围栏门,0,18,5,2,1,0,0,0,0,0,1,0,1,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
536,曙光石块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
537,硫黄砖块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
538,硫黄砖围栏,0,44,0,0,1,0,0,0,0,0,1,0,0,,
539,象牙白栅栏,0,18,0,0,1,0,0,0,0,0,1,0,0,,
540,古老黄砖,0,44,0,0,1,0,0,0,0,0,1,0,0,,
541,精致黄砖,0,44,0,0,1,0,0,0,0,0,1,0,0,,
547,水泥砖块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
548,碎石墙,0,44,0,0,1,0,0,0,0,0,1,0,0,,
549,青石墙,0,44,0,0,1,0,0,0,0,0,1,0,0,,
550,荧光晶块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
551,粗制石砖围栏,0,44,0,0,1,0,0,0,0,0,1,0,0,,
552,象牙白围栏,0,18,0,0,1,0,0,0,0,0,1,0,0,,
553,木栅栏,0,18,0,0,1,0,0,0,0,0,1,0,0,,
554,铜围栏,0,90,0,0,1,0,0,0,0,0,1,0,0,,
555,木窗,0,18,5,2,1,0,0,0,0,0,1,0,1,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
556,玻璃窗,0,27,5,2,1,0,0,0,0,0,1,0,1,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
557,象牙白玻璃窗,0,27,5,2,1,0,0,0,0,0,1,0,1,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
562,胭脂红木板,0,18,0,0,1,0,0,0,0,0,1,0,0,,
563,竹板,0,18,0,0,1,0,0,0,0,0,1,0,0,,
564,胭脂红台阶,0,9,0,0,1,0,0,0,0,0,1,0,0,,
565,竹板台阶,0,9,0,0,1,0,0,0,0,0,1,0,0,,
377,柠檬黄台阶,0,9,0,0,1,0,0,0,0,0,1,0,0,,
566,胭脂红楼梯,0,14,0,0,1,0,0,0,0,0,1,0,0,,
567,竹板楼梯,0,14,0,0,1,0,0,0,0,0,1,0,0,,
568,竹围栏,0,18,0,0,1,0,0,0,0,0,1,0,0,,
569,竹围栏门,0,18,5,2,1,0,0,0,0,0,1,0,1,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
570,星球岩台阶,0,22,0,0,1,0,0,0,0,0,1,0,0,,
571,星球岩楼梯,0,33,0,0,1,0,0,0,0,0,1,0,0,,
572,星球岩墙,0,44,0,0,1,0,0,0,0,0,1,0,0,,
573,星球岩石砖,0,44,0,0,1,0,0,0,0,0,1,0,0,,
574,苍石灰台阶,0,9,0,0,1,0,0,0,0,0,1,0,0,,
575,苍石灰楼梯,0,14,0,0,1,0,0,0,0,0,1,0,0,,
576,苍石灰围栏,0,18,0,0,1,0,0,0,0,0,1,0,0,,
600,象牙白棉花块,0,2,0,0,1,0,0,0,0,0,1,0,0,,
601,朱砂橙棉花块,0,2,0,0,1,0,0,0,0,0,1,0,0,,
602,胭脂红棉花块,0,2,0,0,1,0,0,0,0,0,1,0,0,,
603,天青蓝棉花块,0,2,0,0,1,0,0,0,0,0,1,0,0,,
604,鹅毛黄棉花块,0,2,0,0,1,0,0,0,0,0,1,0,0,,
605,松花绿棉花块,0,2,0,0,1,0,0,0,0,0,1,0,0,,
606,海棠红棉花块,0,2,0,0,1,0,0,0,0,0,1,0,0,,
607,苍石灰棉花块,0,2,0,0,1,0,0,0,0,0,1,0,0,,
608,浅苍灰棉花块,0,2,0,0,1,0,0,0,0,0,1,0,0,,
609,青碧绿棉花块,0,2,0,0,1,0,0,0,0,0,1,0,0,,
610,青莲紫棉花块,0,2,0,0,1,0,0,0,0,0,1,0,0,,
611,宝石蓝棉花块,0,2,0,0,1,0,0,0,0,0,1,0,0,,
612,深栗红棉花块,0,2,0,0,1,0,0,0,0,0,1,0,0,,
613,翡翠绿棉花块,0,2,0,0,1,0,0,0,0,0,1,0,0,,
614,赫赤红棉花块,0,2,0,0,1,0,0,0,0,0,1,0,0,,
615,煤乌黑棉花块,0,2,0,0,1,0,0,0,0,0,1,0,0,,
616,象牙白棉毡,0,2,0,0,1,0,0,0,0,0,1,0,0,,
617,朱砂橙棉毡,0,2,0,0,1,0,0,0,0,0,1,0,0,,
618,胭脂红棉毡,0,2,0,0,1,0,0,0,0,0,1,0,0,,
619,天青蓝棉毡,0,2,0,0,1,0,0,0,0,0,1,0,0,,
620,鹅毛黄棉毡,0,2,0,0,1,0,0,0,0,0,1,0,0,,
621,松花绿棉毡,0,2,0,0,1,0,0,0,0,0,1,0,0,,
622,海棠红棉毡,0,2,0,0,1,0,0,0,0,0,1,0,0,,
623,苍石灰棉毡,0,2,0,0,1,0,0,0,0,0,1,0,0,,
624,浅苍灰棉毡,0,2,0,0,1,0,0,0,0,0,1,0,0,,
625,青碧绿棉毡,0,2,0,0,1,0,0,0,0,0,1,0,0,,
626,青莲紫棉毡,0,2,0,0,1,0,0,0,0,0,1,0,0,,
627,宝石蓝棉毡,0,2,0,0,1,0,0,0,0,0,1,0,0,,
628,深栗红棉毡,0,2,0,0,1,0,0,0,0,0,1,0,0,,
629,翡翠绿棉毡,0,2,0,0,1,0,0,0,0,0,1,0,0,,
630,赫赤红棉毡,0,2,0,0,1,0,0,0,0,0,1,0,0,,
631,煤乌黑棉毡,0,2,0,0,1,0,0,0,0,0,1,0,0,,
632,透明玻璃块,0,27,0,0,1,0,0,0,0,0,1,0,0,,
633,象牙白玻璃块,0,27,0,0,1,0,0,0,0,0,1,0,0,,
634,朱砂橙玻璃块,0,27,0,0,1,0,0,0,0,0,1,0,0,,
635,胭脂红玻璃块,0,27,0,0,1,0,0,0,0,0,1,0,0,,
636,天青蓝玻璃块,0,27,0,0,1,0,0,0,0,0,1,0,0,,
637,鹅毛黄玻璃块,0,27,0,0,1,0,0,0,0,0,1,0,0,,
638,松花绿玻璃块,0,27,0,0,1,0,0,0,0,0,1,0,0,,
639,海棠红玻璃块,0,27,0,0,1,0,0,0,0,0,1,0,0,,
640,苍石灰玻璃块,0,27,0,0,1,0,0,0,0,0,1,0,0,,
641,浅苍灰玻璃块,0,27,0,0,1,0,0,0,0,0,1,0,0,,
642,青碧绿玻璃块,0,27,0,0,1,0,0,0,0,0,1,0,0,,
643,青莲紫玻璃块,0,27,0,0,1,0,0,0,0,0,1,0,0,,
644,宝石蓝玻璃块,0,27,0,0,1,0,0,0,0,0,1,0,0,,
645,深栗红玻璃块,0,27,0,0,1,0,0,0,0,0,1,0,0,,
646,翡翠绿玻璃块,0,27,0,0,1,0,0,0,0,0,1,0,0,,
647,赫赤红玻璃块,0,27,0,0,1,0,0,0,0,0,1,0,0,,
648,煤乌黑玻璃块,0,27,0,0,1,0,0,0,0,0,1,0,0,,
649,透明玻璃片,0,27,0,0,1,0,0,0,0,0,1,0,0,,
650,象牙白玻璃片,0,27,0,0,1,0,0,0,0,0,1,0,0,,
651,朱砂橙玻璃片,0,27,0,0,1,0,0,0,0,0,1,0,0,,
652,胭脂红玻璃片,0,27,0,0,1,0,0,0,0,0,1,0,0,,
653,天青蓝玻璃片,0,27,0,0,1,0,0,0,0,0,1,0,0,,
654,鹅毛黄玻璃片,0,27,0,0,1,0,0,0,0,0,1,0,0,,
655,松花绿玻璃片,0,27,0,0,1,0,0,0,0,0,1,0,0,,
656,海棠红玻璃片,0,27,0,0,1,0,0,0,0,0,1,0,0,,
657,苍石灰玻璃片,0,27,0,0,1,0,0,0,0,0,1,0,0,,
658,浅苍灰玻璃片,0,27,0,0,1,0,0,0,0,0,1,0,0,,
659,青碧绿玻璃片,0,27,0,0,1,0,0,0,0,0,1,0,0,,
660,青莲紫玻璃片,0,27,0,0,1,0,0,0,0,0,1,0,0,,
661,宝石蓝玻璃片,0,27,0,0,1,0,0,0,0,0,1,0,0,,
662,深栗红玻璃片,0,27,0,0,1,0,0,0,0,0,1,0,0,,
663,翡翠绿玻璃片,0,27,0,0,1,0,0,0,0,0,1,0,0,,
664,赫赤红玻璃片,0,27,0,0,1,0,0,0,0,0,1,0,0,,
665,煤乌黑玻璃片,0,27,0,0,1,0,0,0,0,0,1,0,0,,
666,水泥块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
667,象牙白水泥块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
668,朱砂橙水泥块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
669,胭脂红水泥块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
670,天青蓝水泥块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
671,鹅毛黄水泥块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
672,松花绿水泥块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
673,海棠红水泥块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
674,苍石灰水泥块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
675,浅苍灰水泥块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
