材质ID,材质名字,备注,材质图标,主贴图路径,matcap贴图路径,材质类型[1.地形 2.自然 3.建材 4.装饰],是否自动平铺,平铺值,偏移值,颜色,自发光,金属度,粗糙度,透明度
79000053,红杉树叶,note,blocks/leaves_redwood,blocks/leaves_redwood,,2,1,"1,1","0,0",,,,,
79000054,星光粉尘树叶,note,blocks/leaves_starlightarbor,blocks/leaves_starlightarbor,,2,1,"1,1","0,0",,,,,
79000055,树叶1,note,blocks/leaves_walnutharvest,blocks/leaves_walnutharvest,,2,1,"1,1","0,0",,,,,
79000056,乔木原木,note,blocks/log_arbor,blocks/log_arbor,,2,1,"1,1","0,0",,,,,
79000057,粗白杨木树枝,note,blocks/log_birch,blocks/log_birch,,2,1,"1,1","0,0",,,,,
79000058,粗落叶松树枝,note,blocks/log_cathaya,blocks/log_cathaya,,2,1,"1,1","0,0",,,,,
79000059,椰树原木,note,blocks/log_coconut,blocks/log_coconut,,2,1,"1,1","0,0",,,,,
79000060,粗樱桃木树枝,note,blocks/log_fruittree,blocks/log_fruittree,,2,1,"1,1","0,0",,,,,
79000061,雨林之芯乔木,note,blocks/log_marrowarbor,blocks/log_marrowarbor,,2,1,"1,1","0,0",,,,,
79000062,雨林之芯乔木,note,blocks/log_marrowarbor_emi,blocks/log_marrowarbor_emi,,2,1,"1,1","0,0",,,,,
79000063,粗桃花树树枝,note,blocks/log_peachblossom,blocks/log_peachblossom,,2,1,"1,1","0,0",,,,,
79000064,菲比原木,note,blocks/log_phoebe,blocks/log_phoebe,,2,1,"1,1","0,0",,,,,
79000065,胡杨原木,note,blocks/log_populus,blocks/log_populus,,2,1,"1,1","0,0",,,,,
79000066,胡杨原木,note,blocks/log_populus_dead,blocks/log_populus_dead,,2,1,"1,1","0,0",,,,,
79000067,粗红杉木树枝,note,blocks/log_redwood,blocks/log_redwood,,2,1,"1,1","0,0",,,,,
79000068,神圣树干,note,blocks/log_sacredtree,blocks/log_sacredtree,,2,1,"1,1","0,0",,,,,
79000069,粗核桃树树枝,note,blocks/log_walnut,blocks/log_walnut,,2,1,"1,1","0,0",,,,,
79000070,现代半砖,note,blocks/modern_half_brick_top,blocks/modern_half_brick_top,,2,1,"1,1","0,0",,,,,
79000071,突变体孔隙树叶,note,blocks/mutant_spores_leaves,blocks/mutant_spores_leaves,,2,1,"1,1","0,0",,,,,
79000072,变异的植物杆,note,blocks/mutant_trunk,blocks/mutant_trunk,,2,1,"1,1","0,0",,,,,
79000073,黄沙,note,blocks/new_sand,blocks/new_sand,,2,1,"1,1","0,0",,,,,
79000074,石油块,note,blocks/rock_oil,blocks/rock_oil,,2,1,"1,1","0,0",,,,,
79000075,黄沙,note,blocks/sand,blocks/sand,,2,1,"1,1","0,0",,,,,
79000076,砂土,note,blocks/sandstone_top,blocks/sandstone_top,,2,1,"1,1","0,0",,,,,
79000077,星能块,note,blocks/starenergy_block,blocks/starenergy_block,,2,1,"1,1","0,0",,,,,
79000078,岩石,note,blocks/stone,blocks/stone,,2,1,"1,1","0,0",,,,,
79000079,硫黄岩,note,blocks/sulfur_stone,blocks/sulfur_stone,,2,1,"1,1","0,0",,,,,
79000080,地心基石,note,blocks/ultrastone,blocks/ultrastone,,2,1,"1,1","0,0",,,,,
79000081,基石-混凝土,note,blocks/ultrastone_cement,blocks/ultrastone_cement,,2,1,"1,1","0,0",,,,,
79000082,基石-裂土,note,blocks/ultrastone_crackedsoil,blocks/ultrastone_crackedsoil,,2,1,"1,1","0,0",,,,,
79000083,白色基石,note,blocks/ultrastone_crackedstone,blocks/ultrastone_crackedstone,,2,1,"1,1","0,0",,,,,
79000084,基石-坚冰,note,blocks/ultrastone_ice,blocks/ultrastone_ice,,2,1,"1,1","0,0",,,,,
79000085,土砖,note,blocks/adobe,blocks/adobe,,3,1,"1,1","0,0",,,,,
79000086,地板,note,blocks/board_cathaya,blocks/board_cathaya,,3,1,"1,1","0,0",,,,,
79000087,秋叶橙地板,note,blocks/board_fruittree,blocks/board_fruittree,,3,1,"1,1","0,0",,,,,
79000088,海棠红地板,note,blocks/board_redwood,blocks/board_redwood,,3,1,"1,1","0,0",,,,,
79000089,黄铜竖薄板,note,blocks/brass_block,blocks/brass_block,,3,1,"1,1","0,0",,,,,
79000090,水泥砖竖薄板,note,blocks/brick,blocks/brick,,3,1,"1,1","0,0",,,,,
79000091,粗制石砖,note,blocks/brick_rough,blocks/brick_rough,,3,1,"1,1","0,0",,,,,
79000092,焦糖块,note,blocks/caramel,blocks/caramel,,3,1,"1,1","0,0",,,,,
79000093,车身方块（测试用）,note,blocks/cheshen,blocks/cheshen,,3,1,"1,1","0,0",,,,,
79000094,中式半砖,note,blocks/china_half_brick_side,blocks/china_half_brick_side,,3,1,"1,1","0,0",,,,,
79000095,中式半砖,note,blocks/china_half_brick_top,blocks/china_half_brick_top,,3,1,"1,1","0,0",,,,,
79000096,简约砖,note,blocks/furniture_brick_side,blocks/furniture_brick_side,,3,1,"1,1","0,0",,,,,
79000097,简约半砖,note,blocks/furniture_half_brick_side,blocks/furniture_half_brick_side,,3,1,"1,1","0,0",,,,,
79000098,简约墙砖,note,blocks/furniture_wall_side,blocks/furniture_wall_side,,3,1,"1,1","0,0",,,,,
79000099,简约墙砖,note,blocks/furniture_wall_top,blocks/furniture_wall_top,,3,1,"1,1","0,0",,,,,
79000100,玻璃块,note,blocks/glass_normal,blocks/glass_normal,,3,1,"1,1","0,0",,,,,
79000101,釉面砖,note,blocks/glazed_tile,blocks/glazed_tile,,3,1,"1,1","0,0",,,,,
79000102,横格釉面砖,note,blocks/glazed_tile_1,blocks/glazed_tile_1,,3,1,"1,1","0,0",,,,,
79000103,竖格釉面砖,note,blocks/glazed_tile_2,blocks/glazed_tile_2,,3,1,"1,1","0,0",,,,,
79000104,四格釉面砖,note,blocks/glazed_tile_3,blocks/glazed_tile_3,,3,1,"1,1","0,0",,,,,
79000105,不规则釉面砖,note,blocks/glazed_tile_4,blocks/glazed_tile_4,,3,1,"1,1","0,0",,,,,
79000106,绿色玻璃,note,blocks/green_glazed,blocks/green_glazed,,3,1,"1,1","0,0",,,,,
79000107,硬质玻璃块,note,blocks/hardglass_normal,blocks/hardglass_normal,,3,1,"1,1","0,0",,,,,
79000108,草垛,note,blocks/hay_block_top,blocks/hay_block_top,,3,1,"1,1","0,0",,,,,
79000109,烧焦的蜂蜜,note,blocks/honey_scorch,blocks/honey_scorch,,3,1,"1,1","0,0",,,,,
79000110,星瞳石块,note,blocks/horascopper_block,blocks/horascopper_block,,3,1,"1,1","0,0",,,,,
79000111,冰砖,note,blocks/ice_brick,blocks/ice_brick,,3,1,"1,1","0,0",,,,,
79000112,红外感应方块,note,blocks/infrared_side,blocks/infrared_side,,3,1,"1,1","0,0",,,,,
79000113,锰块竖薄板,note,blocks/manganeseblock,blocks/manganeseblock,,3,1,"1,1","0,0",,,,,
79000114,秘银竖薄板,note,blocks/mithsilver_block,blocks/mithsilver_block,,3,1,"1,1","0,0",,,,,
79000115,柠檬黄竖薄板,note,blocks/planks_arbor,blocks/planks_arbor,,3,1,"1,1","0,0",,,,,
79000116,竹板竖薄板,note,blocks/planks_bamboo,blocks/planks_bamboo,,3,1,"1,1","0,0",,,,,
79000117,象牙白竖薄板,note,blocks/planks_birch,blocks/planks_birch,,3,1,"1,1","0,0",,,,,
79000118,秋叶橙竖薄板,note,blocks/planks_cathaya,blocks/planks_cathaya,,3,1,"1,1","0,0",,,,,
79000119,浅苍灰竖薄板,note,blocks/planks_coconut,blocks/planks_coconut,,3,1,"1,1","0,0",,,,,
79000120,竖薄板,note,blocks/planks_fruittree,blocks/planks_fruittree,,3,1,"1,1","0,0",,,,,
79000121,苍石灰竖薄板,note,blocks/planks_leafless,blocks/planks_leafless,,3,1,"1,1","0,0",,,,,
79000122,苍石灰木板,note,blocks/planks_leafy,blocks/planks_leafy,,3,1,"1,1","0,0",,,,,
79000123,胭脂红竖薄板,note,blocks/planks_peachblossom,blocks/planks_peachblossom,,3,1,"1,1","0,0",,,,,
79000124,落日橙竖薄板,note,blocks/planks_phoebe,blocks/planks_phoebe,,3,1,"1,1","0,0",,,,,
79000125,胡杨木板,note,blocks/planks_populus,blocks/planks_populus,,3,1,"1,1","0,0",,,,,
79000126,海棠红竖薄板,note,blocks/planks_redwood,blocks/planks_redwood,,3,1,"1,1","0,0",,,,,
79000127,深栗红竖薄板,note,blocks/planks_walnut,blocks/planks_walnut,,3,1,"1,1","0,0",,,,,
79000128,漂浮的木板,note,blocks/plank_floating,blocks/plank_floating,,3,1,"1,1","0,0",,,,,
79000129,草木灰方块,note,blocks/plantash_farmland,blocks/plantash_farmland,,3,1,"1,1","0,0",,,,,
79000130,砖墙,note,blocks/qiangti1,blocks/qiangti1,,3,1,"1,1","0,0",,,,,
79000131,礁石,note,blocks/reef_1,blocks/reef_1,,3,1,"1,1","0,0",,,,,
79000132,石质竖薄板,note,blocks/rock,blocks/rock,,3,1,"1,1","0,0",,,,,
79000133,黄砖楼梯,note,blocks/sandstone_normal,blocks/sandstone_normal,,3,1,"1,1","0,0",,,,,
79000134,精制黄砖板,note,blocks/sand_brick,blocks/sand_brick,,3,1,"1,1","0,0",,,,,
79000135,粗制黄砖板,note,blocks/sand_slate,blocks/sand_slate,,3,1,"1,1","0,0",,,,,
79000136,锈秘银板,note,blocks/sf_old_01,blocks/sf_old_01,,3,1,"1,1","0,0",,,,,
79000137,条纹锈秘银板,note,blocks/sf_old_02_side,blocks/sf_old_02_side,,3,1,"1,1","0,0",,,,,
79000138,星能锈秘银块,note,blocks/sf_old_04_side,blocks/sf_old_04_side,,3,1,"1,1","0,0",,,,,
79000139,厚秘银板,note,blocks/sf_silvery01,blocks/sf_silvery01,,3,1,"1,1","0,0",,,,,
79000140,双层秘银板,note,blocks/sf_silvery02,blocks/sf_silvery02,,3,1,"1,1","0,0",,,,,
79000141,花纹云母块,note,blocks/silica_block_chiseled_top,blocks/silica_block_chiseled_top,,3,1,"1,1","0,0",,,,,
79000142,竖纹云母块,note,blocks/silica_block_lines_top,blocks/silica_block_lines_top,,3,1,"1,1","0,0",,,,,
79000143,云母楼梯,note,blocks/silica_block_top,blocks/silica_block_top,,3,1,"1,1","0,0",,,,,
79000144,精制石砖竖薄板,note,blocks/stonebrick,blocks/stonebrick,,3,1,"1,1","0,0",,,,,
79000145,裂纹石砖,note,blocks/stonebrick_cracked,blocks/stonebrick_cracked,,3,1,"1,1","0,0",,,,,
79000146,青石岩砖,note,blocks/stonebrick_mossy,blocks/stonebrick_mossy,,3,1,"1,1","0,0",,,,,
79000147,青石薄板,note,blocks/stone_slab_top,blocks/stone_slab_top,,3,1,"1,1","0,0",,,,,
79000148,巧克力砖,note,blocks/sugar2_side,blocks/sugar2_side,,3,1,"1,1","0,0",,,,,
79000149,硫黄砖竖薄板,note,blocks/sulfur_brick,blocks/sulfur_brick,,3,1,"1,1","0,0",,,,,
79000150,基石-钢板,note,blocks/ultrastone_weldingplate,blocks/ultrastone_weldingplate,,3,1,"1,1","0,0",,,,,
79000151,区域复制方块,note,blocks/areacopy,blocks/areacopy,,4,1,"1,1","0,0",,,,,
79000152,区域复制方块,note,blocks/areacopy_off,blocks/areacopy_off,,4,1,"1,1","0,0",,,,,
79000153,区域复制方块,note,blocks/areacopy_on,blocks/areacopy_on,,4,1,"1,1","0,0",,,,,
79000154,黑白纹砖,note,blocks/Black_white,blocks/Black_white,,4,1,"1,1","0,0",,,,,
79000155,游戏版本过低,note,blocks/blockclear,blocks/blockclear,,4,1,"1,1","0,0",,,,,
79000156,方块复制器,note,blocks/blockcopy_off,blocks/blockcopy_off,,4,1,"1,1","0,0",,,,,
79000157,方块复制器,note,blocks/blockcopy_on,blocks/blockcopy_on,,4,1,"1,1","0,0",,,,,
79000158,中式墙砖,note,blocks/china_wall_side,blocks/china_wall_side,,4,1,"1,1","0,0",,,,,
79000159,触碰方块,note,blocks/colliderblock1,blocks/colliderblock1,,4,1,"1,1","0,0",,,,,
79000160,生物触碰方块,note,blocks/colliderblock2,blocks/colliderblock2,,4,1,"1,1","0,0",,,,,
79000161,球触碰方块,note,blocks/colliderblock3,blocks/colliderblock3,,4,1,"1,1","0,0",,,,,
79000162,物理触碰方块,note,blocks/colliderblock4,blocks/colliderblock4,,4,1,"1,1","0,0",,,,,
79000163,触碰方块5,note,blocks/colliderblock5,blocks/colliderblock5,,4,1,"1,1","0,0",,,,,
79000164,触碰方块5,note,blocks/colliderblock5_emi,blocks/colliderblock5_emi,,4,1,"1,1","0,0",,,,,
79000165,棕色纹砖,note,blocks/color_brick,blocks/color_brick,,4,1,"1,1","0,0",,,,,
79000166,萌眼星云团,note,blocks/cosmiccloud,blocks/cosmiccloud,,4,1,"1,1","0,0",,,,,
79000167,棉花块,note,blocks/cotton_colored_1,blocks/cotton_colored_1,,4,1,"1,1","0,0",,,,,
79000168,棉花块,note,blocks/cotton_colored_2,blocks/cotton_colored_2,,4,1,"1,1","0,0",,,,,
79000169,棉花块,note,blocks/cotton_colored_4,blocks/cotton_colored_4,,4,1,"1,1","0,0",,,,,
79000170,炽炎竖薄板,note,blocks/flamecrystal_block,blocks/flamecrystal_block,,4,1,"1,1","0,0",,,,,
79000171,炽炎矿,note,blocks/flamecrystal_ore,blocks/flamecrystal_ore,,4,1,"1,1","0,0",,,,,
79000172,炽炎矿,note,blocks/flamecrystal_ore_emi,blocks/flamecrystal_ore_emi,,4,1,"1,1","0,0",,,,,
79000173,蓝色条纹瓷砖,note,blocks/floor_blue1,blocks/floor_blue1,,4,1,"1,1","0,0",,,,,
79000174,预留,note,blocks/floor_blue2,blocks/floor_blue2,,4,1,"1,1","0,0",,,,,
79000175,纯白釉面瓷砖,note,blocks/floor_milkwhite,blocks/floor_milkwhite,,4,1,"1,1","0,0",,,,,
79000176,浅色几何瓷砖,note,blocks/floor_white,blocks/floor_white,,4,1,"1,1","0,0",,,,,
79000177,杏色宫廷瓷砖,note,blocks/floor_yellow,blocks/floor_yellow,,4,1,"1,1","0,0",,,,,
79000178,荧光晶块,note,blocks/glowstone2,blocks/glowstone2,,4,1,"1,1","0,0",,,,,
79000179,紫荧石块,note,blocks/gravityblock,blocks/gravityblock,,4,1,"1,1","0,0",,,,,
79000180,静态剧毒,note,blocks/highlyvenom_still,blocks/highlyvenom_still,,4,1,"1,1","0,0",,,,,
79000181,空的蜂巢,note,blocks/hive_empty,blocks/hive_empty,,4,1,"1,1","0,0",,,,,
79000182,满的蜂巢,note,blocks/hive_full,blocks/hive_full,,4,1,"1,1","0,0",,,,,
79000183,结晶的蜂蜜,note,blocks/honey_crystal,blocks/honey_crystal,,4,1,"1,1","0,0",,,,,
79000184,蜂蜜块,note,blocks/honey_water,blocks/honey_water,,4,1,"1,1","0,0",,,,,
79000185,霜火石块,note,blocks/ice_crystal_block,blocks/ice_crystal_block,,4,1,"1,1","0,0",,,,,
79000186,缠丝玛瑙块,note,blocks/kyanite_block,blocks/kyanite_block,,4,1,"1,1","0,0",,,,,
79000187,琥珀块,note,blocks/malachite_block,blocks/malachite_block,,4,1,"1,1","0,0",,,,,
79000188,镜冰,note,blocks/sf_blue01,blocks/sf_blue01,,4,1,"1,1","0,0",,,,,
79000189,旧秘银块,note,blocks/sf_metel01,blocks/sf_metel01,,4,1,"1,1","0,0",,,,,
79000190,竖纹秘银板,note,blocks/sf_metel02_side,blocks/sf_metel02_side,,4,1,"1,1","0,0",,,,,
79000191,紫线秘银块,note,blocks/sf_purple_side,blocks/sf_purple_side,,4,1,"1,1","0,0",,,,,
79000192,泡沫块,note,blocks/sponge,blocks/sponge,,4,1,"1,1","0,0",,,,,
79000193,星能块,note,blocks/starenergy_block_emi,blocks/starenergy_block_emi,,4,1,"1,1","0,0",,,,,
79000194,白色星光孢子块,note,blocks/starmashroom,blocks/starmashroom,,4,1,"1,1","0,0",,,,,
79000195,停气块,note,blocks/stop_air,blocks/stop_air,,4,1,"1,1","0,0",,,,,
79000196,钛合金竖薄板,note,blocks/titanium_block,blocks/titanium_block,,4,1,"1,1","0,0",,,,,
79000197,钨金块,note,blocks/tungstengold_block,blocks/tungstengold_block,,4,1,"1,1","0,0",,,,,
79000198,西域砖,note,blocks/western_brick_side,blocks/western_brick_side,,4,1,"1,1","0,0",,,,,
79000199,水泥块,note,blocks/cement_normal,blocks/cement_normal,,3,1,"1,1","0,0",,,,,
