任务id,任务名称（stringdef,多少级显示,是否显示进度（0=不显示，1=显示）,任务类型(1:新手引导任务，2：其它）,任务难度（1普通，2困难，3挑战),任务权重（1~10）,更新版本,完成类型,完成次数,任务额外条件id,任务额外条件图标是否显示（0=不显示，1=显示）,任务额外条件参数,前置任务id,经验奖励,任务奖励类型type(2:家园币，5：道具),任务奖励1ID,奖励1数量,任务奖励类型type(2:家园币，5：道具),任务奖励2ID,奖励2数量,任务奖励类型type(2:家园币，5：道具),任务奖励3ID,奖励3数量,任务奖励类型type(2:家园币，5：道具),任务奖励4ID,奖励4数量,任务奖励类型type(2:家园币，5：道具),任务奖励5ID,奖励5数量,任务奖励类型type(2:家园币，5：道具),任务奖励6ID,奖励6数量,任务标题文本id（stringdef,任务描述文本id（stringdef,剧情ID（stringdef,npcID,npcID类型,位置坐标x,位置坐标y,位置坐标z,备注
188,101094,31,1,2,2,1,1.5.0,57,1,,,,18,300,,,,,,,,,,,,,,,,,,,110212,,,,,,,,在家园商店购买任意一件家园家具
189,101094,31,1,2,3,1,1.5.0,57,1,,,,18,300,,,,,,,,,,,,,,,,,,,110213,,,,,,,,在家园商店购买任意一件系列家具
190,101094,31,1,2,1,1,1.5.0,13,1,62047,1,,18,300,,,,,,,,,,,,,,,,,,,110214,,,,,,,,购买10个青椒种子
191,101094,31,1,2,2,1,1.5.0,13,1,62048,1,,18,300,,,,,,,,,,,,,,,,,,,110215,,,,,,,,购买5个萝卜种子
192,101094,31,1,2,3,1,1.5.0,13,1,62049,1,,18,300,,,,,,,,,,,,,,,,,,,110216,,,,,,,,购买10个小地星种子
193,101094,31,1,2,1,1,1.5.0,14,1,62047,1,,18,300,,,,,,,,,,,,,,,,,,,110217,,,,,,,,种植10个青椒种子
194,101094,31,1,2,2,1,1.5.0,14,1,62048,1,,18,300,,,,,,,,,,,,,,,,,,,110218,,,,,,,,种植5个萝卜种子
195,101094,31,1,2,3,1,1.5.0,14,1,62049,1,,18,300,,,,,,,,,,,,,,,,,,,110219,,,,,,,,种植10个小地星种子
196,101094,31,1,2,1,1,1.5.0,15,1,62448,1,,18,300,,,,,,,,,,,,,,,,,,,110220,,,,,,,,出售60个青椒
197,101094,31,1,2,2,1,1.5.0,15,1,62450,1,,18,300,,,,,,,,,,,,,,,,,,,110221,,,,,,,,出售80个萝卜
198,101094,31,1,2,3,1,1.5.0,15,1,62908,1,,18,300,,,,,,,,,,,,,,,,,,,110222,,,,,,,,出售10个牛奶
199,101094,31,1,2,1,1,1.5.0,17,1,62103,1,,18,300,,,,,,,,,,,,,,,,,,,110223,,,,,,,,养两头牛
200,101094,31,1,2,2,1,1.5.0,17,1,62105,1,,18,300,,,,,,,,,,,,,,,,,,,110224,,,,,,,,养4头猪
201,101094,31,1,2,3,1,1.5.0,17,1,62101,1,,18,300,,,,,,,,,,,,,,,,,,,110225,,,,,,,,养12只鸡
202,101094,31,1,2,1,1,1.5.0,20,1,68004,1,,18,300,,,,,,,,,,,,,,,,,,,110226,,,,,,,,给任一宠物培养属性1次
203,101094,31,1,2,3,1,1.5.0,20,1,68004,1,,18,300,,,,,,,,,,,,,,,,,,,110227,,,,,,,,给任一宠物培养属性3次
204,101094,31,1,2,1,1,1.5.0,21,1,1,,,18,300,,,,,,,,,,,,,,,,,,,110228,,,,,,,,出发去平原探险
205,101094,31,1,2,2,1,1.5.0,21,1,2,,,18,300,,,,,,,,,,,,,,,,,,,110229,,,,,,,,出发去森林探险
206,101094,31,1,2,3,1,1.5.0,21,1,3,,,18,300,,,,,,,,,,,,,,,,,,,110230,,,,,,,,出发去山丘探险
207,101094,31,1,2,1,1,1.5.0,23,1,64007,1,,18,300,,,,,,,,,,,,,,,,,,,110231,,,,,,,,在灶台制作小麦面包
208,101094,31,1,2,2,1,1.5.0,23,1,64031,1,,18,300,,,,,,,,,,,,,,,,,,,110232,,,,,,,,在灶台制作一个奶酪
209,101094,31,1,2,3,1,1.5.0,23,1,64048,1,,18,300,,,,,,,,,,,,,,,,,,,110233,,,,,,,,在灶台制作一杯咖啡
210,101094,31,1,2,1,1,1.5.0,25,1,75008,1,,18,300,,,,,,,,,,,,,,,,,,,110234,,,,,,,,在制作台制作一个果木板
211,101094,31,1,2,2,1,1.5.0,25,1,75012,1,,18,300,,,,,,,,,,,,,,,,,,,110235,,,,,,,,在制作台制作3个小木棍
212,101094,31,1,2,3,1,1.5.0,25,1,75005,1,,18,300,,,,,,,,,,,,,,,,,,,110236,,,,,,,,在制作台制作一个粗制石砖
213,101094,31,1,2,1,1,1.5.0,50,1,62448,1,,18,300,,,,,,,,,,,,,,,,,,,110237,,,,,,,,收获100个青椒
214,101094,31,1,2,2,1,1.5.0,50,1,62042,1,,18,300,,,,,,,,,,,,,,,,,,,110238,,,,,,,,收获90个萝卜
215,101094,31,1,2,3,1,1.5.0,50,1,62450,1,,18,300,,,,,,,,,,,,,,,,,,,110239,,,,,,,,收获500个花椰菜
216,101094,31,1,2,1,1,1.5.0,51,1,75017,1,,18,300,,,,,,,,,,,,,,,,,,,110240,,,,,,,,购买3个食盐
217,101094,31,1,2,2,1,1.5.0,51,1,62103,1,,18,300,,,,,,,,,,,,,,,,,,,110241,,,,,,,,购买4头牛
218,101094,31,1,2,3,1,1.5.0,51,1,64244,1,,18,300,,,,,,,,,,,,,,,,,,,110242,,,,,,,,购买20瓶能量水
219,101094,31,1,2,1,1,1.5.0,52,1,,,,18,300,,,,,,,,,,,,,,,,,,,110243,,,,,,,,喂养牧场中的小动物4次
220,101094,31,1,2,2,1,1.5.0,52,1,,,,18,300,,,,,,,,,,,,,,,,,,,110244,,,,,,,,喂养牧场中的小动物8次
221,101094,31,1,2,3,1,1.5.0,52,1,,,,18,300,,,,,,,,,,,,,,,,,,,110245,,,,,,,,喂养牧场中的小动物12次
222,101094,31,1,2,1,1,1.5.0,53,1,62101,1,,18,300,,,,,,,,,,,,,,,,,,,110246,,,,,,,,收获5个生鸡腿
223,101094,31,1,2,2,1,1.5.0,53,1,62105,1,,18,300,,,,,,,,,,,,,,,,,,,110247,,,,,,,,收获四块生猪肉
224,101094,31,1,2,1,1,1.5.0,54,1,,,,18,300,,,,,,,,,,,,,,,,,,,110248,,,,,,,,去好友家园逛3次
225,101094,31,1,2,2,1,1.5.0,54,1,,,,18,300,,,,,,,,,,,,,,,,,,,110249,,,,,,,,去好友家园逛5次
226,101094,31,0,2,1,1,1.5.0,55,1,,,,18,300,,,,,,,,,,,,,,,,,,,110250,,,,,,,,在家园游玩6分钟
227,101094,31,0,2,2,1,1.5.0,55,1,,,,18,300,,,,,,,,,,,,,,,,,,,110251,,,,,,,,在家园游玩15分钟
228,101094,31,0,2,3,1,1.5.0,55,1,,,,18,300,,,,,,,,,,,,,,,,,,,110252,,,,,,,,在家园游玩30分钟
229,101094,31,1,2,3,1,1.5.0,56,1,,,,18,300,,,,,,,,,,,,,,,,,,,110253,,,,,,,,收养一只新的宠物伙伴吧！
230,101094,31,1,2,1,1,1.5.0,57,1,,,,18,300,,,,,,,,,,,,,,,,,,,110254,,,,,,,,在家园商店购买任意一个方块建材
231,101094,31,1,2,2,1,1.5.0,57,1,,,,18,300,,,,,,,,,,,,,,,,,,,110255,,,,,,,,在家园商店购买任意一件家园家具
232,101094,31,1,2,3,1,1.5.0,57,1,,,,18,300,,,,,,,,,,,,,,,,,,,110256,,,,,,,,在家园商店购买任意一件系列家具
233,101094,31,1,2,1,1,1.5.0,13,1,62055,1,,18,300,,,,,,,,,,,,,,,,,,,110257,,,,,,,,购买15个青稞种子
234,101094,31,1,2,2,1,1.5.0,13,1,62054,1,,18,300,,,,,,,,,,,,,,,,,,,110258,,,,,,,,购买5个油菜花种子
235,101094,31,1,2,3,1,1.5.0,13,1,62049,1,,18,300,,,,,,,,,,,,,,,,,,,110259,,,,,,,,购买10个小地星种子
236,101094,31,1,2,1,1,1.5.0,14,1,62055,1,,18,300,,,,,,,,,,,,,,,,,,,110260,,,,,,,,种植15个青稞种子
237,101094,31,1,2,2,1,1.5.0,14,1,62054,1,,18,300,,,,,,,,,,,,,,,,,,,110261,,,,,,,,种植5个油菜花种子
238,101094,31,1,2,3,1,1.5.0,14,1,62049,1,,18,300,,,,,,,,,,,,,,,,,,,110262,,,,,,,,种植10个小地星种子
239,101094,31,1,2,1,1,1.5.0,15,1,62448,1,,18,300,,,,,,,,,,,,,,,,,,,110263,,,,,,,,出售60个青椒
240,101094,31,1,2,2,1,1.5.0,15,1,62450,1,,18,300,,,,,,,,,,,,,,,,,,,110264,,,,,,,,出售80个萝卜
241,101094,31,1,2,3,1,1.5.0,15,1,62908,1,,18,300,,,,,,,,,,,,,,,,,,,110265,,,,,,,,出售10个牛奶
242,101094,31,1,2,1,1,1.5.0,50,1,62456,1,,18,300,,,,,,,,,,,,,,,,,,,110266,,,,,,,,收获200个青稞
243,101094,31,1,2,2,1,1.5.0,50,1,62105,1,,18,300,,,,,,,,,,,,,,,,,,,110267,,,,,,,,收获100个油菜花
244,101094,31,1,2,3,1,1.5.0,50,1,62455,1,,18,300,,,,,,,,,,,,,,,,,,,110268,,,,,,,,收获500个花椰菜
245,101094,31,1,2,1,1,1.5.0,17,1,62105,1,,18,300,,,,,,,,,,,,,,,,,,,110269,,,,,,,,养4头猪
246,101094,31,1,2,2,1,1.5.0,17,1,62103,1,,18,300,,,,,,,,,,,,,,,,,,,110270,,,,,,,,养四头牛
247,101094,31,1,2,3,1,1.5.0,17,1,62101,1,,18,300,,,,,,,,,,,,,,,,,,,110271,,,,,,,,养12只鸡
248,101094,31,1,2,1,1,1.5.0,20,1,68004,1,,18,300,,,,,,,,,,,,,,,,,,,110272,,,,,,,,给任一宠物培养属性1次
249,101094,31,1,2,3,1,1.5.0,20,1,68004,1,,18,300,,,,,,,,,,,,,,,,,,,110273,,,,,,,,给任一宠物培养属性3次
250,101094,31,1,2,1,1,1.5.0,21,1,2,,,18,300,,,,,,,,,,,,,,,,,,,110274,,,,,,,,出发去森林探险
251,101094,31,1,2,2,1,1.5.0,21,1,3,,,18,300,,,,,,,,,,,,,,,,,,,110275,,,,,,,,出发去山丘探险
252,101094,31,1,2,3,1,1.5.0,21,1,4,,,18,300,,,,,,,,,,,,,,,,,,,110276,,,,,,,,出发去海岸探险
253,101094,31,1,2,1,1,1.5.0,23,1,64007,1,,18,300,,,,,,,,,,,,,,,,,,,110277,,,,,,,,在灶台制作小麦面包
254,101094,31,1,2,2,1,1.5.0,23,1,64026,1,,18,300,,,,,,,,,,,,,,,,,,,110278,,,,,,,,在灶台制作一个牛肉汉堡
