宠物ID,阶段（同一个宠物的要连续）,宠物品质（0普通，1中等，2稀有中等，3珍贵，4传说，认阶段1的）,头像ID（填文件夹.文件名称，res/ui目录下）,生物ID（填monster表的ID）,合成碎片ID（弃用）,合成碎片数量（弃用）,分数,探险CD（秒）--疲劳,基础体力下限（基础的属性从上限和下限中随机）废弃,基础体力上限（废弃）,基础速度下限基础体力上限（废弃）,基础速度上限基础体力上限（废弃）,基础运气下限基础体力上限（废弃）,基础运气上限基础体力上限（废弃）,最大负重,最大耐力,最大速度,获取特性包ID（特性是随机获取的）,喂养食物偏好类型（修改）探险偏好食物类型,进化需要经验值,进化需要材料1,进化需要材料1数量,进化需要材料2,进化需要材料2数量,进化需要材料3,进化需要材料3数量,进化消耗类型（0免费，1迷你币，2家园币，3迷你豆，4迷你点）,进化消耗数值,进化增加角色经验,培养消耗道具ID1,培养消耗道具1数量,培养消耗道具ID2,培养消耗道具2数量,培养消耗道具ID3,培养消耗道具3数量,培养消耗道具ID4,培养消耗道具4数量,培养消耗类型（0免费，1迷你币，2家园币，3迷你豆，4迷你点）,培养消耗数值,培养增加角色经验,放生获得物品ID,放生获得物品数量,特效,脚印
10001,5,2,roleicons.10003,10003,68301,10,10,300,10,15,10,15,10,15,391,306,323,"7,2,3",6003,0,68101,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,3,zipinzhi_1,
10001,1,3,roleicons.10001,10001,68301,10,10,300,10,15,10,15,10,15,157,123,130,"7,2,3,4",6003,300,68101,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,4,150025_2,
10001,2,3,roleicons.10001,10001,68301,10,10,300,10,15,10,15,10,15,250,196,207,"7,2,3,4",6003,1000,68101,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,4,150025_2,
10001,3,3,roleicons.10002,10002,68301,10,10,300,10,15,10,15,10,15,351,275,290,"7,2,3,4",6003,2400,68101,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,4,150026_2,
10001,4,3,roleicons.10002,10002,68301,10,10,300,10,15,10,15,10,15,459,360,380,"7,2,3,4",6003,5000,68101,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,4,150026_2,
10001,5,3,roleicons.10003,10003,68301,10,10,300,10,15,10,15,10,15,575,450,475,"7,2,3,4",6003,0,68101,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,4,150027_2,150027_3
10002,1,0,roleicons.10004,10004,68302,10,10,300,10,15,10,15,10,15,36,58,40,5,6002,300,68102,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,1,,
10002,2,0,roleicons.10004,10004,68302,10,10,300,10,15,10,15,10,15,56,91,63,5,6002,1000,68102,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,1,,
10002,3,0,roleicons.10005,10005,68302,10,10,300,10,15,10,15,10,15,79,128,89,5,6002,2400,68102,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,1,,
10002,4,0,roleicons.10005,10005,68302,10,10,300,10,15,10,15,10,15,103,167,116,5,6002,5000,68102,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,1,,
10002,5,0,roleicons.10006,10006,68302,10,10,300,10,15,10,15,10,15,128,208,144,5,6002,0,68102,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,1,,
10002,1,1,roleicons.10004,10004,68302,10,10,300,10,15,10,15,10,15,52,85,59,"5,2",6002,300,68102,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,2,lanpinzhi_1,
10002,2,1,roleicons.10004,10004,68302,10,10,300,10,15,10,15,10,15,84,136,94,"5,2",6002,1000,68102,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,2,lanpinzhi_1,
10002,3,1,roleicons.10005,10005,68302,10,10,300,10,15,10,15,10,15,117,190,132,"5,2",6002,2400,68102,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,2,lanpinzhi_1,
10002,4,1,roleicons.10005,10005,68302,10,10,300,10,15,10,15,10,15,154,250,173,"5,2",6002,5000,68102,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,2,lanpinzhi_1,
10002,5,1,roleicons.10006,10006,68302,10,10,300,10,15,10,15,10,15,192,312,216,"5,2",6002,0,68102,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,2,lanpinzhi_1,
10002,1,2,roleicons.10004,10004,68302,10,10,300,10,15,10,15,10,15,74,120,83,"5,2,3",6002,300,68102,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,3,zipinzhi_1,
10002,2,2,roleicons.10004,10004,68302,10,10,300,10,15,10,15,10,15,119,193,134,"5,2,3",6002,1000,68102,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,3,zipinzhi_1,
10002,3,2,roleicons.10005,10005,68302,10,10,300,10,15,10,15,10,15,166,270,187,"5,2,3",6002,2400,68102,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,3,zipinzhi_1,
10002,4,2,roleicons.10005,10005,68302,10,10,300,10,15,10,15,10,15,218,354,245,"5,2,3",6002,5000,68102,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,3,zipinzhi_1,
10002,5,2,roleicons.10006,10006,68302,10,10,300,10,15,10,15,10,15,272,442,306,"5,2,3",6002,0,68102,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,3,zipinzhi_1,
10002,1,3,roleicons.10004,10004,68302,10,10,300,10,15,10,15,10,15,109,177,123,"5,2,3,4",6002,300,68102,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,4,150022_2,
10002,2,3,roleicons.10004,10004,68302,10,10,300,10,15,10,15,10,15,174,283,196,"5,2,3,4",6002,1000,68102,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,4,150022_2,
10002,3,3,roleicons.10005,10005,68302,10,10,300,10,15,10,15,10,15,244,397,275,"5,2,3,4",6002,2400,68102,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,4,150023_2,
10002,4,3,roleicons.10005,10005,68302,10,10,300,10,15,10,15,10,15,320,519,360,"5,2,3,4",6002,5000,68102,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,4,150023_2,
10002,5,3,roleicons.10006,10006,68302,10,10,300,10,15,10,15,10,15,400,650,450,"5,2,3,4",6002,0,68102,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,4,150024_2,150024_3
10003,1,0,roleicons.10007,10007,68303,10,10,300,10,15,10,15,10,15,60,38,36,6,6001,300,68103,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,1,,
10003,2,0,roleicons.10007,10007,68303,10,10,300,10,15,10,15,10,15,95,60,56,6,6001,1000,68103,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,1,,
10003,3,0,roleicons.10008,10008,68303,10,10,300,10,15,10,15,10,15,133,84,79,6,6001,2400,68103,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,1,,
10003,4,0,roleicons.10008,10008,68303,10,10,300,10,15,10,15,10,15,173,109,103,6,6001,5000,68103,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,1,,
10003,5,0,roleicons.10009,10009,68303,10,10,300,10,15,10,15,10,15,216,136,128,6,6001,0,68103,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,1,,
10003,1,1,roleicons.10007,10007,68303,10,10,300,10,15,10,15,10,15,88,56,52,"6,2",6001,300,68103,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,2,lanpinzhi_1,
10003,2,1,roleicons.10007,10007,68303,10,10,300,10,15,10,15,10,15,141,89,84,"6,2",6001,1000,68103,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,2,lanpinzhi_1,
10003,3,1,roleicons.10008,10008,68303,10,10,300,10,15,10,15,10,15,198,125,117,"6,2",6001,2400,68103,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,2,lanpinzhi_1,
10003,4,1,roleicons.10008,10008,68303,10,10,300,10,15,10,15,10,15,260,164,154,"6,2",6001,5000,68103,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,2,lanpinzhi_1,
10003,5,1,roleicons.10009,10009,68303,10,10,300,10,15,10,15,10,15,324,204,192,"6,2",6001,0,68103,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,2,lanpinzhi_1,
10003,1,2,roleicons.10007,10007,68303,10,10,300,10,15,10,15,10,15,125,79,74,"6,2,3",6001,300,68103,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,3,zipinzhi_1,
10003,2,2,roleicons.10007,10007,68303,10,10,300,10,15,10,15,10,15,200,126,119,"6,2,3",6001,1000,68103,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,3,zipinzhi_1,
10003,3,2,roleicons.10008,10008,68303,10,10,300,10,15,10,15,10,15,280,176,166,"6,2,3",6001,2400,68103,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,3,zipinzhi_1,
10003,4,2,roleicons.10008,10008,68303,10,10,300,10,15,10,15,10,15,368,232,218,"6,2,3",6001,5000,68103,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,3,zipinzhi_1,
10003,5,2,roleicons.10009,10009,68303,10,10,300,10,15,10,15,10,15,459,289,272,"6,2,3",6001,0,68103,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,3,zipinzhi_1,
10003,1,3,roleicons.10007,10007,68303,10,10,300,10,15,10,15,10,15,184,116,109,"6,2,3,4",6001,300,68103,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,4,150040_2,
10003,2,3,roleicons.10007,10007,68303,10,10,300,10,15,10,15,10,15,293,185,174,"6,2,3,4",6001,1000,68103,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,4,150040_2,
10003,3,3,roleicons.10008,10008,68303,10,10,300,10,15,10,15,10,15,412,260,244,"6,2,3,4",6001,2400,68103,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,4,150041_2,
10003,4,3,roleicons.10008,10008,68303,10,10,300,10,15,10,15,10,15,539,340,320,"6,2,3,4",6001,5000,68103,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,4,150041_2,
10003,5,3,roleicons.10009,10009,68303,10,10,300,10,15,10,15,10,15,675,425,400,"6,2,3,4",6001,0,68103,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,4,150042_2,150042_3
10004,1,0,roleicons.10010,10010,68301,10,10,300,10,15,10,15,10,15,40,53,40,1,6001,300,68104,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,1,,
10004,2,0,roleicons.10010,10010,68301,10,10,300,10,15,10,15,10,15,63,84,63,1,6001,1000,68104,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,1,,
10004,3,0,roleicons.10011,10011,68301,10,10,300,10,15,10,15,10,15,89,118,89,1,6001,2400,68104,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,1,,
10004,4,0,roleicons.10011,10011,68301,10,10,300,10,15,10,15,10,15,116,154,116,1,6001,5000,68104,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,1,,
10004,5,0,roleicons.10012,10012,68301,10,10,300,10,15,10,15,10,15,144,192,144,1,6001,0,68104,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,1,,
10004,1,1,roleicons.10010,10010,68301,10,10,300,10,15,10,15,10,15,59,78,59,"1,2",6001,300,68104,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,2,lanpinzhi_1,
10004,2,1,roleicons.10010,10010,68301,10,10,300,10,15,10,15,10,15,94,125,94,"1,2",6001,1000,68104,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,2,lanpinzhi_1,
10004,3,1,roleicons.10011,10011,68301,10,10,300,10,15,10,15,10,15,132,176,132,"1,2",6001,2400,68104,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,2,lanpinzhi_1,
10004,4,1,roleicons.10011,10011,68301,10,10,300,10,15,10,15,10,15,173,231,173,"1,2",6001,5000,68104,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,2,lanpinzhi_1,
10004,5,1,roleicons.10012,10012,68301,10,10,300,10,15,10,15,10,15,216,288,216,"1,2",6001,0,68104,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,2,lanpinzhi_1,
10004,1,2,roleicons.10010,10010,68301,10,10,300,10,15,10,15,10,15,83,111,83,"1,2,3",6001,300,68104,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,3,zipinzhi_1,
10004,2,2,roleicons.10010,10010,68301,10,10,300,10,15,10,15,10,15,134,178,134,"1,2,3",6001,1000,68104,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,3,zipinzhi_1,
10004,3,2,roleicons.10011,10011,68301,10,10,300,10,15,10,15,10,15,187,249,187,"1,2,3",6001,2400,68104,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,3,zipinzhi_1,
10004,4,2,roleicons.10011,10011,68301,10,10,300,10,15,10,15,10,15,245,327,245,"1,2,3",6001,5000,68104,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,3,zipinzhi_1,
10004,5,2,roleicons.10012,10012,68301,10,10,300,10,15,10,15,10,15,306,408,306,"1,2,3",6001,0,68104,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,3,zipinzhi_1,
10004,1,3,roleicons.10010,10010,68301,10,10,300,10,15,10,15,10,15,123,164,123,"1,2,3,4",6001,300,68104,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,4,150016_2,
10004,2,3,roleicons.10010,10010,68301,10,10,300,10,15,10,15,10,15,196,261,196,"1,2,3,4",6001,1000,68104,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,4,150016_2,
10004,3,3,roleicons.10011,10011,68301,10,10,300,10,15,10,15,10,15,275,366,275,"1,2,3,4",6001,2400,68104,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,4,150017_2,
10004,4,3,roleicons.10011,10011,68301,10,10,300,10,15,10,15,10,15,360,479,360,"1,2,3,4",6001,5000,68104,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,4,150017_2,
10004,5,3,roleicons.10012,10012,68301,10,10,300,10,15,10,15,10,15,450,600,450,"1,2,3,4",6001,0,68104,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,4,150018_2,150018_3
10005,1,0,roleicons.10013,10013,68301,10,10,300,10,15,10,15,10,15,40,36,58,14,6003,300,68105,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,1,,
10005,2,0,roleicons.10013,10013,68301,10,10,300,10,15,10,15,10,15,63,56,91,14,6003,1000,68105,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,1,,
10005,3,0,roleicons.10014,10014,68301,10,10,300,10,15,10,15,10,15,89,79,128,14,6003,2400,68105,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,1,,
10005,4,0,roleicons.10014,10014,68301,10,10,300,10,15,10,15,10,15,116,103,167,14,6003,5000,68105,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,1,,
10005,5,0,roleicons.10015,10015,68301,10,10,300,10,15,10,15,10,15,144,128,208,14,6003,0,68105,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,1,,
10005,1,1,roleicons.10013,10013,68301,10,10,300,10,15,10,15,10,15,59,52,85,"14,2",6003,300,68105,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,2,lanpinzhi_2,
10005,2,1,roleicons.10013,10013,68301,10,10,300,10,15,10,15,10,15,94,84,136,"14,2",6003,1000,68105,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,2,lanpinzhi_2,
10005,3,1,roleicons.10014,10014,68301,10,10,300,10,15,10,15,10,15,132,117,190,"14,2",6003,2400,68105,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,2,lanpinzhi_4,
10005,4,1,roleicons.10014,10014,68301,10,10,300,10,15,10,15,10,15,173,154,250,"14,2",6003,5000,68105,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,2,lanpinzhi_4,
10005,5,1,roleicons.10015,10015,68301,10,10,300,10,15,10,15,10,15,216,192,312,"14,2",6003,0,68105,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,2,lanpinzhi_5,
10005,1,2,roleicons.10013,10013,68301,10,10,300,10,15,10,15,10,15,83,74,120,"14,2,3",6003,300,68105,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,3,zipinzhi_2,
10005,2,2,roleicons.10013,10013,68301,10,10,300,10,15,10,15,10,15,134,119,193,"14,2,3",6003,1000,68105,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,3,zipinzhi_2,
10005,3,2,roleicons.10014,10014,68301,10,10,300,10,15,10,15,10,15,187,166,270,"14,2,3",6003,2400,68105,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,3,zipinzhi_4,
10005,4,2,roleicons.10014,10014,68301,10,10,300,10,15,10,15,10,15,245,218,354,"14,2,3",6003,5000,68105,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,3,zipinzhi_4,
10005,5,2,roleicons.10015,10015,68301,10,10,300,10,15,10,15,10,15,306,272,442,"14,2,3",6003,0,68105,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,3,zipinzhi_5,
10005,1,3,roleicons.10013,10013,68301,10,10,300,10,15,10,15,10,15,123,109,177,"14,2,3,4",6003,300,68105,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,4,150019_2,
10005,2,3,roleicons.10013,10013,68301,10,10,300,10,15,10,15,10,15,196,174,283,"14,2,3,4",6003,1000,68105,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,4,150019_2,
10005,3,3,roleicons.10014,10014,68301,10,10,300,10,15,10,15,10,15,275,244,397,"14,2,3,4",6003,2400,68105,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,4,150020_2,
10005,4,3,roleicons.10014,10014,68301,10,10,300,10,15,10,15,10,15,360,320,519,"14,2,3,4",6003,5000,68105,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,4,150020_2,
10005,5,3,roleicons.10015,10015,68301,10,10,300,10,15,10,15,10,15,450,400,650,"14,2,3,4",6003,0,68105,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,4,150021_2,150021_3
10006,1,0,roleicons.10016,10016,68301,10,10,300,10,15,10,15,10,15,40,40,53,1,6003,300,68106,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,1,,
10006,2,0,roleicons.10016,10016,68301,10,10,300,10,15,10,15,10,15,63,63,84,1,6003,1000,68106,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,1,,
10006,3,0,roleicons.10017,10017,68301,10,10,300,10,15,10,15,10,15,89,89,118,1,6003,2400,68106,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,1,,
10006,4,0,roleicons.10017,10017,68301,10,10,300,10,15,10,15,10,15,116,116,154,1,6003,5000,68106,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,1,,
10006,5,0,roleicons.10018,10018,68301,10,10,300,10,15,10,15,10,15,144,144,192,1,6003,0,68106,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,1,,
10006,1,1,roleicons.10016,10016,68301,10,10,300,10,15,10,15,10,15,59,59,78,"1,2",6003,300,68106,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,2,lanpinzhi_2,
10006,2,1,roleicons.10016,10016,68301,10,10,300,10,15,10,15,10,15,94,94,125,"1,2",6003,1000,68106,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,2,lanpinzhi_2,
10006,3,1,roleicons.10017,10017,68301,10,10,300,10,15,10,15,10,15,132,132,176,"1,2",6003,2400,68106,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,2,lanpinzhi_2,
10006,4,1,roleicons.10017,10017,68301,10,10,300,10,15,10,15,10,15,173,173,231,"1,2",6003,5000,68106,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,2,lanpinzhi_2,
10006,5,1,roleicons.10018,10018,68301,10,10,300,10,15,10,15,10,15,216,216,288,"1,2",6003,0,68106,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,2,lanpinzhi_2,
10006,1,2,roleicons.10016,10016,68301,10,10,300,10,15,10,15,10,15,83,83,111,"1,2,3",6003,300,68106,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,3,zipinzhi_2,
