对话ID,对话内容（DisplayType=0时，可使用@item_道具id# 添加道具名和icon）,对话内容备注,头像icon（Assetruntime\Art\miniuidesign\universe\assets\BotConversationsAtlas\bot_icons）,对话触发类型（0直接调用或上句自动跳转，1待机随机，2任务完成，3任务被追踪）,触发参数,显示类型（0对话框，1地图聊天框）,对话框存在时长（控制单句对话展示后存在的时间，DisplayType=0时使用，数值为秒，1s=20tick）,跳转条件（DisplayType=0时使用，0点任意处，1点对话框）,跳转对话id（DisplayType=0时使用，不填或找不到id则结束对话）,横坐标X（DisplayType=0时使用，对话框在屏幕上的位置）,纵坐标Y（对话框在屏幕上的位置）,备注
1000074,很好，现在我们往左走走卟。试着点击键盘的“A”键吧。,,smile,0,,0,99,1,,750,200,Pc端移动介绍
1000075,没错卟，最后是往右。点击键盘的“D”键吧。,,smile,0,,0,99,1,,750,200,Pc端移动介绍
1000081,看来身体没有什么大问题，接下来我们试一下跳跃卟。,,smile,0,,0,60,0,,750,200,移动端跳跃介绍
1000082,按一下这个“跳跃”按钮就能跳跃了卟。,,smile,0,,0,99,1,,750,200,移动端跳跃介绍
1000083,跳跃看来也正常卟。接下来我想想…试试潜行吧。按一下这个”潜行“按钮，就能进入潜行状态了卟。,,laugh,0,,0,99,1,,750,200,移动端潜行介绍
1000091,看来身体没有什么大问题，接下来我们试一下跳跃卟。,,smile,0,,0,60,0,,750,200,Pc端跳跃介绍
1000092,按一下“空格”键就能跳跃了卟.,,smile,0,,0,99,1,,750,200,Pc端跳跃介绍
1000093,跳跃看来也正常卟。接下来我想想…试试潜行吧。按住“shift”键，就能进入潜行状态了卟。,,laugh,0,,0,99,1,,750,200,Pc端跳跃介绍
1000101,太好了，跳跃和潜行都非常正常卟。保持潜行状态时，我们就不会从方块边缘掉下去了，要记得卟。,,smile,0,,0,60,0,1000102,150,200,移动端镜头转动介绍
1000102,还剩最后一项检查了卟，尝试一下转动头部看向我的位置吧。,,smile,0,,0,60,0,1000103,150,200,移动端镜头转动介绍
1000103,注意看我的指示，朝我所在的方向划动屏幕就可以转向了，准备好了我们就开始卟。,,smile,0,,0,60,0,,150,200,移动端镜头转动介绍
1000104,首先是左边卟，我在这里，朝左边划动屏幕吧。,,smile,0,,0,99,1,,150,400,移动端镜头转动介绍
1000105,然后是右边卟。朝右边划动屏幕吧。,,smile,0,,0,99,1,,750,400,移动端镜头转动介绍
1000106,现在我们看看上方卟。划划屏幕找找我在哪，嘿嘿。,,smile,0,,0,99,1,,100,150,移动端镜头转动介绍
1000107,接着是下面卟。找得到我么？,,smile,0,,0,99,1,,100,400,移动端镜头转动介绍
1000108,最后是背面了卟。这下划的距离要长一点了。,,laugh,0,,0,99,1,,750,400,移动端镜头转动介绍
1000111,太好了，跳跃和潜行都非常正常卟。保持潜行状态时，我们就不会从方块边缘掉下去了，要记得卟。,,smile,0,,0,60,0,1000112,150,200,Pc端镜头转动介绍
1000112,还剩最后一项检查了卟，尝试一下转动头部看向我的位置吧。,,smile,0,,0,60,0,1000113,150,200,Pc端镜头转动介绍
1000113,注意看我的指示，朝我所在的方向移动鼠标就可以转向了，准备好了我们就开始卟。,,smile,0,,0,60,0,,150,200,Pc端镜头转动介绍
1000114,首先是左边卟，我在这里，朝左边移动鼠标吧。,,smile,0,,0,99,1,,150,400,Pc端镜头转动介绍
1000115,然后是右边卟。朝右边移动鼠标吧。,,smile,0,,0,99,1,,750,400,Pc端镜头转动介绍
1000116,现在我们看看上方卟。移动一下鼠标找找我在哪，嘿嘿。,,smile,0,,0,99,1,,100,150,Pc端镜头转动介绍
1000117,接着是下面卟。找得到我么？,,smile,0,,0,99,1,,100,400,Pc端镜头转动介绍
1000118,最后是背面了卟。这下移动鼠标的距离要长一点了。,,laugh,0,,0,99,1,,750,400,Pc端镜头转动介绍
1000121,全身检查完毕卟！太好了身体一切正常。咦，那个是什么？,,normal,0,,0,60,0,1000122,750,150,提示破房子
1000122,好像是一栋破败的房子，如果把它修复一下，应该可以做我们临时的据点卟！,,smile,0,,0,60,0,,750,150,提示破房子
1000131,卟卟，扯远了卟。我们赶紧回顾一下此次的任务卟！,,embarrassed,0,,0,60,0,1000132,750,150,故事背景介绍
1000132,现在虚空幻影虽然表面上还封印在迷拉星的火山之中卟。,,smile,0,,0,60,0,1000133,750,150,故事背景介绍
1000133,但是它的使徒们已经偷偷向他输送的了大量的创造之力，这个封印现在已经是风中残烛了卟。,,cry,0,,0,60,0,1000134,750,150,故事背景介绍
1000134,不过也正因为虚空幻影现在迫切想要打开三角门，消耗了大量虚空之力。现在正是消灭它的绝佳时机卟！,,angry,0,,0,60,0,1000135,750,150,故事背景介绍
1000135,但我们现在需要集齐火山封印的三把钥匙，趁其不备强行把他从封印中拉出来，才能将其消灭卟。,,angry,0,,0,60,0,1000136,750,150,故事背景介绍
1000136,而这三把钥匙，分别存放在迷拉星、烈焰星和萌眼星上卟。,,serene,0,,0,60,0,1000137,750,150,故事背景介绍
1000137,传送过程中的那段事故，已经把我们带的装备都丢了。以我们现在的装备基本不可能完成卟。,,cry,0,,0,60,0,1000138,750,150,故事背景介绍
1000138,但是不要灰心卟！我已经帮你制定了一连串的目标，照着目标做肯定不成问题卟！,,laugh,0,,0,60,0,,750,150,故事背景介绍
1000141,看这里卟。这是“任务追踪框”，开启追踪的任务就会显示在这里卟。,,smile,0,,0,60,0,1000142,50,400,任务介绍
1000142,一旦完成，就会自动追踪到下一个任务卟。,,smile,0,,0,60,0,1000143,50,400,任务介绍
1000143,如果想要看更详细的任务内容，只要点它就能打开控制面板了卟。,,smile,0,,0,60,0,,50,400,任务介绍
1000144,这是我给你定制的第一个任务卟，我们先去收集一些@item_11627#吧。,,smile,0,,0,60,0,,50,400,任务介绍
2000001,你说，我们要不要去码头整点@item_12541# 卟。,item_12541=烤薯条,,1,10000,1,,,,,,
2000002,嘿，我看你好像有些疲惫了，要不要找个地方休息一下卟？,,,1,10000,1,,,,,,
2000003,迷拉星的风景真是美妙卟，等危机结束了希望能在这里安个家。,,,1,10000,1,,,,,,
2000004,在外探险千万别忘了吃东西，体力过低是会危及生命的卟！,,,1,10000,1,,,,,,
2000005,你又在发呆了，是有什么心事，还是遇到了什么困难，可以和我说说卟！,,,1,10000,1,,,,,,
2000006,现在的迷拉星完全看不出来曾经大战过的痕迹了卟。,,,1,10000,1,,,,,,
2000007,虚空使徒总是偷偷躲在生物身后偷取能量，真是可恶卟！,,,1,10000,1,,,,,,
2000008,迷拉星空岛上有一种胖胖的动物叫做飞鸡，喂它吃几次桃子，就能骑着它飞了卟！,,,1,10000,1,,,,,,
2000009,如果去到空岛就能挖到暴露在地表的钛合金卟，这种金属非常的坚硬，遇到了记得多收集些！,,,1,10000,1,,,,,,
2000010,有些方块在组合成特定形状时会变换形态，比如藏在深海的热泉就是由黑凝浆块组合成的卟。,,,1,10000,1,,,,,,
2000011,据探测出的消息来看，秘银矿比较集中在高度为地面下10-30层左右的位置卟！,,,1,10000,1,,,,,,
2000012,如果想要去到其他星球，我们得先把星站重新激活卟。,,,1,10000,1,,,,,,
2000013,这些可怜的野人都受到了虚空力量的侵蚀，我们得尽快解救他们卟！,,,1,10000,1,,,,,,
2000014,沙漠里经常能在黄沙上看到一团黑色的影子，其实是躲藏在沙里的毒尾蝎，一定要小心卟！,,,1,10000,1,,,,,,
2000015,尽量不要生吃食物卟，小心会拉肚子。,,,1,10000,1,,,,,,
2000016,雨林里的高大乔木在夜里有的叶子会发光，记得留意一下卟。,,,1,10000,1,,,,,,
2000017,迷拉星上有一种叫做唢呐的乐器，听说声音非常有特色卟，我们做一把试试吧。,,,1,10000,1,,,,,,
2000018,星能和符文之力虽然同样源于创造之力，但最终的应用方向却截然不同卟。,,,1,10000,1,,,,,,
2000019,我们复习一下此行的目的卟，现在是消灭虚空幻影的绝佳时期，但需要获得神圣果实、烈焰断剑和石人之眼，才能在火山祭坛中强行把虚空幻影给拽出来卟！,,,1,10000,1,,,,,,
2000020,千万别在云块上站着，它可承受不了那么大的重量卟！,,,1,10000,1,,,,,,
2000021,如果去到了烈焰星，我们就能挖到星能矿石了卟！,,,1,10000,1,,,,,,
2000022,据说在沙漠里有时能碰上一群商人，他们的目的是去绿洲做生意，我们可以跟着他们去找绿洲卟。,,,1,10000,1,,,,,,
2000023,假如野人伙伴不幸过世了，记得去找他们留下的包裹卟，里面的纪念品记录着他们的生平事迹。,,,1,10000,1,,,,,,
2000024,在种植植物时，记得分辨一下植物的类型卟，作物是只能种在耕地里的，而花和树得种在土坑里。,,,1,10000,1,,,,,,
2000025,迷拉星的夜晚户外非常危险卟，不太建议夜晚行动，咱们可以睡觉，一觉醒来天亮了。,,,1,10000,1,,,,,,
2000026,你有发现沃沃兽的耳朵是一大一小的吗，真可爱卟~,,,1,10000,1,,,,,,
2000027,在水下活动时记得穿潜水服，水越深水压会越大，身体会受不了的卟。,,,1,10000,1,,,,,,
2000028,深海里蕴藏了一种不一样的矿物，能够把玻璃变得更加坚硬卟。,,,1,10000,1,,,,,,
2000029,时间过得有点久，似乎记忆有点磨损了，神圣果实在羽蛇神体内，烈焰断剑需要通过黑龙的试炼，石人之眼是远古巨人的控制中枢。,,,1,10000,1,,,,,,
2000030,如果这是一场噩梦，希望能够快点醒来卟。,,,1,10000,1,,,,,,
2000031,这里的生态结构变化真大，我得更新一下信息卟。,,,1,10000,1,,,,,,
2000032,生命的诞生真是一场巧合卟，就连萌眼星这种氧气稀薄的星球都能孕育出生命，真是太厉害了卟！,,,1,10000,1,,,,,,
2000033,烈焰星离恒星太近了，如果没有防火背包将寸步难行卟。,,,1,10000,1,,,,,,
2000034,遇到迷拉星的本地居民记得和他们打招呼卟。,,,1,10000,1,,,,,,
2000035,很久很久以前的第一次虚空战争中，远古巨人曾作为昔日者的终极作战兵器，与虚空势力大战数年之久卟！,,,1,10000,1,,,,,,
2000036,迷拉星上的沙灵和海灵这类元素生命主要是由符文力量驱动的，和菈米我这类由星能驱动的生命有本质上的区别卟！,,,1,10000,1,,,,,,
2000037,你看起来很安静卟，是在想什么么？,,,1,10000,1,,,,,,
2000038,看着你这样子，似乎有些烦恼卟。不如我们去散散步吧。也许会有新奇的发现！,,,1,10000,1,,,,,,
2000039,虽然我不能帮你打败敌人，但我会一直在你身边，在精神上全力支持你卟！,,,1,10000,1,,,,,,
2000040,人类的想象力是无穷无尽的，不断探索才能发现更多的可能性卟。,,,1,10000,1,,,,,,
2000041,有时候，我们需要一个人独处，好好沉淀内心卟。,,,1,10000,1,,,,,,
2000042,失败并不可怕，可怕的是你因为失败而放弃了卟。加油，找到对的方法，我相信你一定能行！,,,1,10000,1,,,,,,
2000043,每一次选择都会带来不同的结果卟，所以我们要慎重地思考并做出明智的决策。,,,1,10000,1,,,,,,
2000044,要有随时应对意外情况的准备，不要掉以轻心卟。,,,1,10000,1,,,,,,
2000045,任何时候出门，都不要忘了带上装备和物资，万一有危险的时候就可以更加从容应对卟。,,,1,10000,1,,,,,,
2000046,记得及时修理装备，这样才能保证它们的使用寿命卟。忘记修也没关系，可以再做一件。,,,1,10000,1,,,,,,
2000047,某些地方的气候环境对我们可能会有影响，要注意适时调整卟。,,,1,10000,1,,,,,,
2000048,嗨，你在做什么呢？要一起玩吗卟？,,,1,10000,1,,,,,,
2000049,是迷路了吗？注意看右上角的小地图，他能告诉你方向卟。,,,1,10000,1,,,,,,
2000050,树上的果实记得随手摘一下，这是最好获得的食物了卟。,,,1,10000,1,,,,,,
2000051,路上注意安全哦，多存点星星，遇到危险也不怕了卟。,,,1,10000,1,,,,,,
2000052,遇到困难不要怕，勇敢面对它卟！,,,1,10000,1,,,,,,
2000053,喔喔，这个星球的天空真是太美了卟！,,,1,10000,1,,,,,,
2000054,如果你感到疲倦或迷茫，别担心，我会一直陪在你身边的卟！,,,1,10000,1,,,,,,
2000055,你不是一个人，我在这里陪着你卟！还有失散的伙伴，他们也在未来的旅途中等着你！,,,1,10000,1,,,,,,
2000056,你知道么，受诅咒的野人在白天会睡着卟。,,,1,10000,1,,,,,,
2000057,偶尔还是需要检查一下穿着的装备卟。,,,1,10000,1,,,,,,
2000058,有时候失败并不是坏事，它会让你更好地成长卟。,,,1,10000,1,,,,,,
2000059,迷拉星的蝴蝶会把小草变成花，但是一不小心就会泛滥卟。,,,1,10000,1,,,,,,
3001001,“@item_588# ” 设置检查完毕！状态正常卟！幸好虚空幻影还没发现我们，小心一点。,,angry,2,1001001,1,,,,,,
3001002,“@item_589# ” 设置检查完毕！状态正常卟！,,angry,2,1001002,1,,,,,,
3001003,“@item_587# ” 设置检查完毕！状态正常卟！,,angry,2,1001003,1,,,,,,
3001004,总算可以跟虚空幻影当面对决了！准备战斗卟！！,,angry,3,1001004,1,,,,,,
3001005,太好啦！击败了虚空幻影，迷你宇宙现在终于安全了卟！,,laugh,2,1001004,0,10,1,3001006,750,230,
3001006,虚空幻影好像掉了什么东西在附近，仔细找找卟。,,normal,0,,0,10,0,,750,230,
3001007,这是@item_11333# 卟，但它好像已经渗透进星链中了。,,normal,2,1001005,0,10,0,3001008,750,230,
3001008,不过我们或许可以顺势用它来链接已经修复的星站，试一下卟。,,smile,0,,0,10,0,,750,230,
3002001,很好，@item_11627# 已经收集到一部分了卟！,item_11627=石料,smile,2,1002002,0,10,1,3002002,750,230,石料任务完成出对话
3002002,可以再多挖几块备着，也可以打开控制面板领取一下刚才任务的奖励卟。,,smile,0,,0,10,1,3002003,750,230,
3002003,新的任务我已经帮你更新好了卟，@item_11627# 够用了就去砍一些树枝吧。,item_11627=石料,serene,0,,0,10,1,,750,230,
3002004,看来@item_11323# 也收集齐了卟，试着打开控制面板加工一把@item_11002# 吧！,item_11323=木料，item_11002=石斧,smile,2,1002003,0,10,1,,750,230,树枝完成出对话
3002005,这把@item_11002# 看上去真不错卟，现在砍木头应该比之前要快多了卟。,item_11002=石斧,smile,2,1002004,0,10,1,3002006,750,230,石斧完成出对话
3002006,快找棵树试试卟，这次不需要树枝了，让我们砍下树干收集些@item_11323# 。,item_11323=木料,smile,0,,0,10,1,,750,230,
3002007,哈！有了这些@item_11323# 就能加工@item_206# 了卟！夜晚的迷拉星非常危险，我们得赶快搭建一个临时据点才行。,item_206=木板,smile,2,1002005,0,10,1,3002008,750,230,获得木料完成
3002008,还记得我们刚抵达时星站附近有栋破旧的建筑吗？,,serene,0,,0,10,1,3002009,750,230,
3002009,如果用@item_206# 把那栋建筑修一下，或许就能当作我们的临时据点了卟！,,smile,0,,0,10,1,,750,230,
3002010,用聊天框和你对话感觉有点奇妙，卟嘿嘿。你可以边做事，边看我“说”。快去放@item_206#吧。,,,2,1002006,1,,,,,,建筑能手完成
3002011,据点建好了只能是进行防御，你还需要一把趁手的武器以备不时之需。加工一把@item_12012# 吧，你会需要它的卟。,item_12012=石剑,,2,1002007,1,,,,,,放置木板完成
3002012,怎么样卟？有了@item_12012# 战斗力大幅提升了吧。不过石制武器只能支持我们现阶段的战斗，必须要持续强化自己才行卟！,item_12012=石剑,smile,2,1002009,0,10,1,3002013,750,230,完成击败任意生物
3002013,对了，想要安全度过夜晚，我们还需要一些照明的东西卟。,,smile,0,,0,10,1,3002014,750,230,
3002014,我们去收集一些@item_11226# 和@item_11323# 吧，这样就能加工@item_298# 了卟。,item_11226=植物纤维，item_11323=木料，item_298=燃烧小火炬,smile,0,,0,10,1,,750,230,
3002015,这下有光源了。不过这种小火炬的燃烧时间不长，如果有@item_1200# 的话就更加保险了卟。,item_1200=篝火,smile,2,1002010,0,10,1,3002016,750,230,完成制作火炬
3002016,我记得破旧建筑里就有一个@item_1200# ，可以用@item_298# 去点燃它，去试试卟。,item_1200=篝火，item_298=燃烧小火炬,serene,0,,0,10,1,,750,230,
3002017,（鼓掌）@item_1200# 真暖和~看到这令人安心的光亮不自觉地就出来了~,item_1200=篝火,smile,2,1002011,0,10,1,3002018,750,230,完成点燃篝火
3002018,照明设备都准备好啦！下一步就是最重要的@item_828# 了卟！有了@item_828# 就能一觉到天亮卟卟！,item_828=简易睡袋,laugh,0,,0,10,1,3002019,750,230,
3002019,差点忘了没@item_800# 是做不出@item_828# 的卟，我们还是得先做个@item_800# 才行。,item_800=工匠台，item_828=简易睡袋,embarrassed,0,,0,10,1,,750,230,
3002020,虽然这个@item_800# 还不那么完整卟，但已经可以做更多的东西啦！,item_800=工匠台,smile,2,1002012,0,10,1,3002021,750,230,完成制作工匠台
3002021,快试下“新鲜出炉”的@item_800# 吧，只要点它一下就能打开加工页面了卟。,item_800=工匠台,smile,0,,0,10,1,3002022,750,230,
3002022,做@item_828# 的原料肯定是不能少的卟，@item_11226# 和@item_12600# 还够用吗？,item_828=简易睡袋，item_11226=植物纤维，item_12600=棉花,normal,0,,0,10,1,,750,230,
3002023,这回总算万事俱备了，只要点下@item_828# 就能躺进去了卟。,item_828=简易睡袋,serene,2,1002013,0,10,1,3002024,750,230,完成制作睡袋
3002024,不过需要注意一下右上角的时间，别忘了只有18：00之后才能够使用@item_828# 跳过夜晚卟！,item_828=简易睡袋,serene,0,,0,10,1,3002025,750,230,
3002025,到时间了记得睡觉，我先休息一下卟，要加工东西的话，就点下面那个和我长得很像的按钮叫我卟~,,serene,0,,0,10,1,,750,230,
3003001,肉烤熟啦！！你快把肉收下来吃了吧，别烤焦了卟。,,smile,2,1003001,0,10,1,,750,230,烤肉完成
3003002,真香啊~可恶的设计师没给我装进食模块，现在只能闻味道没法吃卟，真希望有朝一日我也能大快朵颐卟。,,angry,0,,0,10,1,,750,230,
3003003,吃完东西应该精神多了吧！是时候去升级我们的工具和装备了卟。,,smile,2,1003002,0,10,1,3003004,750,230,进食完成
3003004,首先，我们需要去收集升级用的原料，@item_11201# 和@item_11329# 都是不可或缺的。,item_11201=凝能晶体，item_11329=黄铜,smile,0,,0,10,1,3003005,750,230,
3003005,但想要获得它们，还得先准备专门的采矿工具，@item_11012# 卟！先把@item_11012# 做出来，待会儿我再继续。,item_11012=石镐,smile,0,,0,10,1,,750,230,
3003006,做东西越来越熟练了卟，嘿嘿~有了@item_11012# ，现在可以出发去采矿咯~,,laugh,2,1003003,0,10,1,3003007,750,230,制作石镐完成
3003007,我们先去收集@item_11201# 吧，@item_402# 一般分布在迷拉星的地下，不用挖很深，它们在比较浅的位置，地表上也少有分布卟。,item_11201=凝能晶体，item_402=凝能矿,smile,0,,0,10,1,3003008,750,230,
3003008,矿石的表面主要是散落的蓝色晶体，还是比较容易发现的卟。,,smile,0,,0,10,1,3003009,750,230,
3003009,可以在地面上找找看，或者向下挖个小矿道，应该很快就能找到的。加油卟！,,laugh,0,,0,10,1,,750,230,
3003010,这么快就找到@item_402# 了卟，莫非你有什么采矿的天赋吗？,item_402=凝能矿,smile,2,1003004,0,10,1,3003011,750,230,凝能矿采集完成
3003011,开玩笑的，那我们现在去找@item_11329# 吧！,item_11329=黄铜,smile,0,,0,10,1,3003012,750,230,
3003012,@item_451# 的分布和@item_402# 差不了太多卟，矿石的表面主要是散落着一些橙黄色的金属碎块，还是挺好认的。,item_451=铜合金矿,smile,0,,0,10,1,3003013,750,230,
3003013,说不定刚刚在挖@item_402# 的时候已经看到过了卟~但是矿石嘛，不嫌多的，我们再去收集一些吧。,item_402=凝能矿,smile,0,,0,10,1,,750,230,
3003014,果然是有采矿的天赋吗？！这么快就找到@item_451# 了卟。,item_451=铜合金矿,smile,2,1003005,0,10,1,3003015,750,230,黄铜采集完成
3003015,这下原料都凑齐了卟，接下来就是矿物冶炼啦。,,laugh,0,,0,10,1,3003016,750,230,
3003016,冶炼需要一些时间，安全起见我们可以先回一趟据点。若想提高效率就地解决好像问题也不大卟。,,smile,0,,0,10,1,3003017,750,230,
3003017,先把@item_802# 做出来吧，其他的我们之后再说卟。,item_802=冶炼台,smile,0,,0,10,1,,750,230,
3003018,搞定了@item_802# 就能冶炼矿物了卟。决定好冶炼的地方就把@item_802# 放出来吧。,item_802=冶炼台,smile,2,1003006,0,10,1,3003019,750,230,冶炼台制作完成
3003019,放出来后只要点一下@item_802# 方块就能打开冶炼的界面了卟。,item_802=冶炼台,smile,0,,0,10,1,3003020,750,230,
3003020,之后再把我们刚刚收集的@item_451# 和@item_11201# 放进去就万事大吉啦。准备好了就开始冶炼卟。,item_451=铜合金矿，item_11201=凝能晶体,laugh,0,,0,10,1,,750,230,
3003021,喔！@item_11329# 冶炼出来了，打开@item_802# 回收一下。,item_11329=黄铜，item_802=冶炼台,smile,2,1003007,0,10,1,3003022,750,230,黄铜冶炼完成
3003022,石头做的冶炼台只能一个个矿地炼，之后@item_11329#多了可以做一个黄铜制的冶炼台提升效率卟。,item_11329=黄铜,smile,0,,0,10,1,3003023,750,230,
3003023,不过这都是后话了，我们先用这批@item_11329# 升级一下工具吧。有了@item_11011# 挖矿效率会高出不少的！,item_11329=黄铜，item_11011=黄铜镐,smile,0,,0,10,1,,750,230,
3003024,恭喜恭喜！看来你已经完成了“新晋探险者”目标下的所有任务了卟，现在不是一个萌新啦！,,laugh,2,1003008,0,10,1,3003025,750,230,铜稿制作完成
3003025,还有很多野外求生的方法可以学习，我都已经添加到控制面板里了，可以打开确认一下卟。,,smile,0,,0,10,1,3003026,750,230,
3003026,不过别忘了我们的最终目标卟，整个迷你宇宙现在岌岌可危，拯救世界的重任在肩，我们还不能掉以轻心卟。,,angry,0,,0,10,1,3003027,750,230,
3003027,我平时会在空间夹层中休息，有需要呼叫我就行啦。准备好了就继续出发卟！,,laugh,0,,0,10,1,,750,230,
3004001,卟卟，你居然做了一把@item_11032# 。现在可以开垦耕地去种作物了，种田之魂在熊熊燃烧卟！,item_11032=石耙,laugh,2,1004001,1,,,,,,制作石耙任务完成
3004002,植物种下去之后需要等一段时间才能成熟卟，如果想要它们长快一点，可以拿些@item_11311# 去给它们施肥卟。,item_11311=便便,smile,2,1004003,1,,,,,,粮食大王完成
3004003,@item_812# 的质地还不够坚硬，很容易被野人破坏。如果在据点外围出一圈栏杆就会安全许多卟。,item_812=轻木门,,2,1004011,1,,,,,,抵御强敌完成
3004004,如果给@item_104# 献上一颗星星，我就能记录下这个位置卟。未来如果遇到危险，我能把你强行送回来卟。,item_104=石质雕像,,2,1004014,1,,,,,,神秘石像完成
3004005,恭喜你又完成了一个大目标卟！！是时候更进一步了，看看有什么新任务卟！,,,2,1004016,0,10,1,,750,230,野外求生第二课完成
3005001,这些皮革非常结实卟，如果拿来和@item_11329# 一起加工成铜质装备，那对我们野外求生一定大有帮助卟！,item_11329=黄铜,,2,1005001,1,,,,,,坚韧的外皮完成
3005002,嘿嘿，这套装备感觉比之前威风多了卟。全套黄铜装备总共有4件，如果能凑齐就更厉害了卟。,,,2,1005002,1,,,,,,黄铜装备！完成
3005003,武器和防具都准备好啦，是时候去教训一下虚空使徒了卟！这群坏家伙四处偷取创造之力，必须赶紧阻止他们卟！,,,2,1005003,1,,,,,,更锋利的武器完成
3005004,虚空使徒掉落的@item_11911# 都是它们窃取来的创造之力凝结成的卟。如果安到@item_800# 上，就能获得@item_797# 啦！,item_11911=创造晶体，item_800=不完整的工匠台，item_797=完整的工匠台,,2,1005004,1,,,,,,抓小偷完成
3005005,点开@item_797# 就能看到所有的配方了卟！但是还有一些道具需要找到图纸才能解锁，往后的旅途里得多留意一下卟。,item_797=完整的工匠台,,2,1005005,1,,,,,,升级工匠台！完成
3005006,冶炼台升级了，现在可以一口气冶炼两种矿物了卟！我们去寻找@item_401# 吧，它冶炼出来的@item_11209# 是非常主要的金属！,item_401=秘银矿,,2,1005007,1,,,,,,提高冶炼效率完成
3005007,有了@item_11209# 我们能制作更多的东西了，快去工匠台看看有什么新东西可以做了卟！,item_11209=秘银,,2,1005009,1,,,,,,金属冶炼：秘银完成
3005008,现在挖掘速度应该飞快了卟，在制作@item_785#之前我们可以先去地下挖点矿！,,,2,1005010,1,,,,,,秘银工具！完成
