奖励包ID（填到需要产出奖励的地方）,子包ID（每个子包的奖励都会抽到）,备注,奖励模式（0=随机获取一个，1=每个奖励概率独立）,道具1ID（如果填的是货币道具ID，则产出货币）,道具1几率（万分率）,道具1最小数量,道具1最大数量,道具2ID,道具2几率,道具2最小数量,道具2最大数量,道具3ID,道具3几率,道具3最小数量,道具3最大数量,道具4ID,道具4几率,道具4最小数量,道具4最大数量,道具5ID,道具5几率,道具5最小数量,道具5最大数量,道具6ID,道具6几率,道具6最小数量,道具6最大数量,道具7ID,道具7几率,道具7最小数量,道具7最大数量,道具8ID,道具8几率,道具8最小数量,道具8最大数量,道具9ID,道具9几率,道具9最小数量,道具9最大数量,道具10ID,道具10几率,道具10最小数量,道具10最大数量,道具11ID,道具11几率,道具11最小数量,道具11最大数量,道具12ID,道具12几率,道具12最小数量,道具12最大数量,道具13ID,道具13几率,道具13最小数量,道具13最大数量,道具14ID,道具14几率,道具14最小数量,道具14最大数量,道具15ID,道具15几率,道具15最小数量,道具15最大数量,道具16ID,道具16几率,道具16最小数量,道具16最大数量,道具17ID,道具17几率,道具17最小数量,道具17最大数量,道具18ID,道具18几率,道具18最小数量,道具18最大数量,道具19ID,道具19几率,道具19最小数量,道具19最大数量,道具20ID,道具20几率,道具20最小数量,道具20最大数量
7013,1,宠物探险3_3,0,68112,2000,3,3,68004,2000,3,3,62020,1000,5,7,62022,1000,5,7,68117,2000,1,1,75015,2000,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7014,1,宠物探险3_4,0,62106,1000,3,3,75007,1500,3,4,75001,1500,3,4,62033,1500,5,7,62034,1500,5,7,75020,1500,1,1,75021,1500,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7015,1,宠物探险3_5,0,68112,4000,3,5,68004,3000,3,5,75015,3000,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7016,1,宠物探险4_1,0,75015,1000,4,4,75013,2500,10,12,75014,2500,10,12,75016,1500,4,6,75027,1500,2,3,68004,1000,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7017,1,宠物探险4_2,0,62018,2000,6,8,62027,2000,6,8,62007,2000,6,8,62019,2000,6,8,62029,2000,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7018,1,宠物探险4_3,0,68105,2000,4,4,68004,2000,4,4,62020,1000,6,8,62026,1000,6,8,68113,2000,1,1,75015,2000,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7019,1,宠物探险4_4,0,62106,1000,4,4,75007,1500,4,5,75001,1500,4,5,62030,1500,6,8,62031,1500,6,8,75020,1500,1,1,75021,1500,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7020,1,宠物探险4_5,0,68105,4000,4,6,68004,3000,4,6,75015,3000,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7021,1,宠物探险5_1,0,75015,1000,5,5,75013,2500,12,14,75014,2500,12,14,75016,1500,5,7,75027,1500,3,3,68004,1000,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7022,1,宠物探险5_2,0,62018,2000,7,9,62003,2000,7,9,62004,2000,7,9,62002,2000,7,9,62027,2000,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7023,1,宠物探险5_3,0,68103,2000,5,5,68004,2000,5,5,62020,1000,7,9,62023,1000,7,9,68114,2000,1,1,75015,2000,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7024,1,宠物探险5_4,0,62106,1000,5,5,75007,1500,5,6,75001,1500,5,6,62007,1500,7,9,62019,1500,7,9,75020,1500,1,1,75021,1500,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7025,1,宠物探险5_5,0,68103,4000,5,7,68004,3000,5,7,75015,3000,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7026,1,宠物探险6_1,0,75015,1000,6,6,75013,2500,15,17,75014,2500,15,17,75016,1500,6,8,75027,1500,3,3,68004,1000,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7027,1,宠物探险6_2,0,62018,2000,8,10,62029,2000,8,10,62030,2000,8,10,62031,2000,8,10,62002,2000,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7028,1,宠物探险6_3,0,68111,2000,6,6,68004,2000,6,6,62020,2000,8,10,62022,2000,8,10,75015,2000,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7029,1,宠物探险6_4,0,62106,1000,6,6,75007,1500,6,7,75001,1500,6,7,62003,1500,8,10,62004,1500,8,10,75020,1500,1,1,75021,1500,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7030,1,宠物探险6_5,0,68111,4000,6,8,68004,3000,6,8,75015,3000,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9001,1,升级奖励1,1,75001,10000,1,1,10013,10000,100,100,64214,10000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9002,1,升级奖励2,1,64215,10000,1,1,10013,10000,100,100,75002,10000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9003,1,升级奖励3,1,64216,10000,1,1,10013,10000,100,100,75003,10000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9004,1,升级奖励4,1,64217,10000,1,1,10013,10000,100,100,75004,10000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9005,1,升级奖励5,1,10013,10000,100,100,64241,10000,1,1,75005,10000,1,1,68597,10000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,1,祈愿奖励1,0,1550,500,1,1,1551,500,1,1,1552,500,1,1,1553,500,1,1,1554,500,1,1,1555,500,1,1,1556,500,1,1,1557,500,1,1,1558,500,1,1,1559,500,1,1,1560,500,1,1,1561,500,1,1,1562,500,1,1,1563,500,1,1,1564,500,1,1,1565,500,1,1,1566,500,1,1,1567,500,1,1,1568,500,1,1,1569,500,1,1
11002,1,祈愿奖励2,0,1550,500,2,2,1551,500,2,2,1552,500,2,2,1553,500,2,2,1554,500,2,2,1555,500,2,2,1556,500,2,2,1557,500,2,2,1558,500,2,2,1559,500,2,2,1560,500,2,2,1561,500,2,2,1562,500,2,2,1563,500,2,2,1564,500,2,2,1565,500,2,2,1566,500,2,2,1567,500,2,2,1568,500,2,2,1569,500,2,2
11003,1,祈愿奖励3,0,1550,500,3,3,1551,500,3,3,1552,500,3,3,1553,500,3,3,1554,500,3,3,1555,500,3,3,1556,500,3,3,1557,500,3,3,1558,500,3,3,1559,500,3,3,1560,500,3,3,1561,500,3,3,1562,500,3,3,1563,500,3,3,1564,500,3,3,1565,500,3,3,1566,500,3,3,1567,500,3,3,1568,500,3,3,1569,500,3,3
11004,1,祈愿奖励4,0,1550,500,4,4,1551,500,4,4,1552,500,4,4,1553,500,4,4,1554,500,4,4,1555,500,4,4,1556,500,4,4,1557,500,4,4,1558,500,4,4,1559,500,4,4,1560,500,4,4,1561,500,4,4,1562,500,4,4,1563,500,4,4,1564,500,4,4,1565,500,4,4,1566,500,4,4,1567,500,4,4,1568,500,4,4,1569,500,4,4
11005,1,祈愿奖励5,0,1550,500,5,5,1551,500,5,5,1552,500,5,5,1553,500,5,5,1554,500,5,5,1555,500,5,5,1556,500,5,5,1557,500,5,5,1558,500,5,5,1559,500,5,5,1560,500,5,5,1561,500,5,5,1562,500,5,5,1563,500,5,5,1564,500,5,5,1565,500,5,5,1566,500,5,5,1567,500,5,5,1568,500,5,5,1569,500,5,5
1001,1,童话系列1,0,1626,1000,1,1,1627,770,1,1,1628,770,1,1,1632,770,1,1,1633,770,1,1,1634,770,1,1,1639,770,1,1,1640,770,1,1,1641,770,1,1,1642,770,1,1,1643,770,1,1,1644,770,1,1,1645,770,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,1,童话系列2,0,1622,2500,1,1,1624,1250,1,1,1625,1250,1,1,1629,1250,1,1,1630,1250,1,1,1635,1250,1,1,1636,1250,1,1,1637,1250,1,1,1638,1250,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,1,童话系列3,0,1622,3333,1,1,1623,3333,1,1,1631,3334,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,1,科幻系列1,0,1650,1000,1,1,1651,770,1,1,1652,770,1,1,1656,770,1,1,1657,770,1,1,1658,770,1,1,1663,770,1,1,1664,770,1,1,1665,770,1,1,1666,770,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,1,科幻系列2,0,1646,2500,1,1,1648,1250,1,1,1649,1250,1,1,1653,1250,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,1,科幻系列3,0,1646,3333,1,1,1647,3333,1,1,1655,3334,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,1,现代系列1,0,1599,1000,1,1,1600,770,1,1,1601,770,1,1,1605,770,1,1,1606,770,1,1,1607,770,1,1,1612,770,1,1,1613,770,1,1,1614,770,1,1,1615,770,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,1,现代系列2,0,1595,2500,1,1,1597,1250,1,1,1598,1250,1,1,1602,1250,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,1,现代系列3,0,1595,3333,1,1,1596,3333,1,1,1604,3334,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1,宠物抽奖1,0,68506,1110,1,1,68551,981,1,1,68521,981,1,1,68501,981,1,1,68556,981,1,1,68511,981,1,1,68565,690,1,1,68601,690,1,1,68577,690,1,1,68561,690,1,1,68605,690,1,1,68569,664,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1,宠物抽奖2,0,68566,1667,1,1,68602,1667,1,1,68578,1667,1,1,68562,1667,1,1,68606,1667,1,1,68570,1667,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,宠物抽奖3,0,68567,1670,1,1,68603,1670,1,1,68579,1670,1,1,68563,1670,1,1,68607,1670,1,1,68571,1650,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1,巴啦啦宠物抽奖,0,68621,625,1,1,68622,625,1,1,68625,625,1,1,68626,625,1,1,68506,625,1,1,68551,625,1,1,68521,625,1,1,68501,625,1,1,68556,625,1,1,68511,625,1,1,68565,625,1,1,68601,625,1,1,68577,625,1,1,68561,625,1,1,68605,625,1,1,68569,625,1,1,,,,,,,,,,,,,,,,
2005,1,巴啦啦宠物抽奖,0,68623,1250,1,1,68627,1250,1,1,68566,1250,1,1,68602,1250,1,1,68578,1250,1,1,68562,1250,1,1,68606,1250,1,1,68570,1250,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1,巴啦啦宠物抽奖,0,68624,1250,1,1,68628,1250,1,1,68567,1250,1,1,68603,1250,1,1,68579,1250,1,1,68563,1250,1,1,68607,1250,1,1,68571,1250,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,1,敦煌系列1,0,68609,1150,1,1,68613,1150,1,1,1728,700,1,1,1729,700,1,1,1733,700,1,1,1734,700,1,1,1735,700,1,1,1740,700,1,1,1741,700,1,1,1742,700,1,1,1743,700,1,1,1744,700,1,1,1745,700,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3002,1,敦煌系列2,0,68610,1700,1,1,68614,1700,1,1,1722,600,1,1,1725,600,1,1,1726,600,1,1,1727,600,1,1,1730,600,1,1,1731,600,1,1,1736,600,1,1,1737,600,1,1,1738,600,1,1,1739,600,1,1,1746,700,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003,1,敦煌系列3,0,68611,1500,1,1,68615,1500,1,1,68612,500,1,1,68616,500,1,1,1723,2000,1,1,1724,2000,1,1,1732,2000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
