id,音效名,备注,插件库开放[0代表不开放，1=开放 ],触发器开放[0代表不开放，1=开放 ],分类（1=脚步，2=行为，3=受击，4=待机，5=技能，6=环境，7=背景音乐，8=提示，9=其它）,音效路径,图标名字,时长(ms)
10189,talk3,,0,1,4,ent.3110.talk3,sounds04,1500
10190,die,,0,1,3,ent.3111.die,sounds03,1000
10191,hit1,,0,1,3,ent.3111.hit1,sounds03,500
10192,hit2,,0,0,3,ent.3111.hit2,sounds03,500
10193,hit3,,0,0,3,ent.3111.hit3,sounds03,500
10194,idle1,,0,1,4,ent.3111.idle1,sounds04,750
10195,idle2,,0,1,4,ent.3111.idle2,sounds04,750
10196,idle3,,0,1,4,ent.3111.idle3,sounds04,750
10197,projectile_throw,,0,0,2,ent.3111.projectile_throw,sounds02,1625
10198,charge,,0,1,5,ent.3112.charge,sounds05,2000
10199,die,,0,1,3,ent.3112.die,sounds03,875
10200,hit1,,0,1,3,ent.3112.hit1,sounds03,250
10201,hit2,,0,0,3,ent.3112.hit2,sounds03,250
10202,hit3,,0,0,3,ent.3112.hit3,sounds03,250
10203,idle1,,0,1,4,ent.3112.idle1,sounds04,750
10204,idle2,,0,1,4,ent.3112.idle2,sounds04,750
10205,idle3,,0,1,4,ent.3112.idle3,sounds04,750
10206,projectile_hit,,0,1,5,ent.3112.projectile_hit,sounds05,1485
10207,projectile_throw,,0,0,2,ent.3112.projectile_throw,sounds02,156
10208,sprint,,0,1,5,ent.3112.sprint,sounds05,2000
10209,split,,0,0,4,ent.3113.split,sounds04,1500
10210,deal,,0,0,4,ent.3120.deal,sounds04,1500
10211,die,,0,1,3,ent.3120.die,sounds03,1375
10212,hit1,,0,1,3,ent.3120.hit1,sounds03,625
10213,hit2,,0,0,3,ent.3120.hit2,sounds03,625
10214,idle1,,0,0,4,ent.3120.idle1,sounds04,1500
10215,idle2,,0,0,4,ent.3120.idle2,sounds04,1500
10216,idle3,,0,0,4,ent.3120.idle3,sounds04,1500
10217,die,,0,1,3,ent.3121.die,sounds03,1375
10218,foot1,,0,0,1,ent.3121.foot1,sounds01,125
10219,hit1,,0,1,3,ent.3121.hit1,sounds03,500
10220,hit2,,0,0,3,ent.3121.hit2,sounds03,500
10221,idle1,,0,0,4,ent.3121.idle1,sounds04,1125
10222,idle2,,0,0,4,ent.3121.idle2,sounds04,1125
10223,idle3,,0,0,4,ent.3121.idle3,sounds04,1125
10224,die,,0,1,3,ent.3123.die,sounds03,1375
10225,foot1,,0,0,1,ent.3123.foot1,sounds01,125
10226,hit1,,0,1,3,ent.3123.hit1,sounds03,500
10227,hit2,,0,0,3,ent.3123.hit2,sounds03,500
10228,idle1,,0,0,4,ent.3123.idle1,sounds04,1125
10229,idle2,,0,0,4,ent.3123.idle2,sounds04,1125
10230,idle3,,0,0,4,ent.3123.idle3,sounds04,1125
10231,die,,0,1,3,ent.3130.die,sounds03,2500
10232,foot1,,0,1,1,ent.3130.foot1,sounds01,250
10233,foot2,,0,1,1,ent.3130.foot2,sounds01,250
10234,foot3,,0,0,1,ent.3130.foot3,sounds01,250
10235,foot4,,0,0,1,ent.3130.foot4,sounds01,250
10236,foot5,,0,0,1,ent.3130.foot5,sounds01,250
10237,foot6,,0,1,1,ent.3130.foot6,sounds01,250
10238,hit1,,0,1,3,ent.3130.hit1,sounds03,625
10239,hit2,,0,0,3,ent.3130.hit2,sounds03,625
10240,hit3,,0,0,3,ent.3130.hit3,sounds03,625
10241,idle1,,0,0,4,ent.3130.idle1,sounds04,929
10242,idle2,,0,0,4,ent.3130.idle2,sounds04,929
10243,idle3,,0,0,4,ent.3130.idle3,sounds04,929
10244,die,,0,1,3,ent.3131.die,sounds03,750
10245,foot1,,0,1,1,ent.3131.foot1,sounds01,335
10246,foot2,,0,1,1,ent.3131.foot2,sounds01,335
10247,foot3,,0,0,1,ent.3131.foot3,sounds01,335
10248,foot4,,0,0,1,ent.3131.foot4,sounds01,335
10249,hit1,,0,1,3,ent.3131.hit1,sounds03,500
10250,hit2,,0,1,3,ent.3131.hit2,sounds03,625
10251,hit3,,0,0,3,ent.3131.hit3,sounds03,414
10252,hit4,,0,0,3,ent.3131.hit4,sounds03,500
10253,idle1,,0,0,4,ent.3131.idle1,sounds04,686
10254,idle2,,0,0,4,ent.3131.idle2,sounds04,625
10255,idle3,,0,0,4,ent.3131.idle3,sounds04,625
10256,egg,,0,1,3,ent.3400.egg,sounds03,125
10257,foot1,,0,0,1,ent.3400.foot1,sounds01,125
10258,foot2,,0,0,1,ent.3400.foot2,sounds01,125
10259,foot3,,0,0,1,ent.3400.foot3,sounds01,125
10260,foot4,,0,0,1,ent.3400.foot4,sounds01,125
10261,hit1,,0,1,3,ent.3400.hit1,sounds03,482
10262,hit2,,0,0,3,ent.3400.hit2,sounds03,482
10263,idle1,,0,0,4,ent.3400.idle1,sounds04,369
10264,idle2,,0,0,4,ent.3400.idle2,sounds04,235
10265,idle3,,0,0,4,ent.3400.idle3,sounds04,208
10266,jump,,0,0,1,ent.3400.jump,sounds01,482
10267,variation,,0,1,3,ent.3400.variation,sounds03,482
10268,angry,,0,0,4,ent.3401.angry,sounds04,595
10269,die,,0,1,3,ent.3401.die,sounds03,238
10270,foot1,,0,0,1,ent.3401.foot1,sounds01,333
10271,foot2,,0,0,1,ent.3401.foot2,sounds01,333
10272,foot3,,0,0,1,ent.3401.foot3,sounds01,333
10273,hit1,,0,1,3,ent.3401.hit1,sounds03,851
10274,hit2,,0,0,3,ent.3401.hit2,sounds03,829
10275,hit3,,0,0,3,ent.3401.hit3,sounds03,854
10276,idle1,,0,0,4,ent.3401.idle1,sounds04,3679
10277,idle2,,0,0,4,ent.3401.idle2,sounds04,1081
10278,idle3,,0,0,4,ent.3401.idle3,sounds04,1148
10279,idle4,,0,0,4,ent.3401.idle4,sounds04,1258
10280,die,,0,1,3,ent.3402.die,sounds03,500
10281,foot1,,0,0,1,ent.3402.foot1,sounds01,333
10282,foot2,,0,0,1,ent.3402.foot2,sounds01,333
10283,foot3,,0,0,1,ent.3402.foot3,sounds01,333
10284,foot4,,0,0,1,ent.3402.foot4,sounds01,333
10285,idle1,,0,0,4,ent.3402.idle1,sounds04,625
10286,idle2,,0,0,4,ent.3402.idle2,sounds04,625
10287,idle3,,0,0,4,ent.3402.idle3,sounds04,500
10288,sleep,,0,0,4,ent.3402.sleep,sounds04,4015
10289,foot1,,0,0,1,ent.3403.foot1,sounds01,422
10290,foot2,,0,0,1,ent.3403.foot2,sounds01,483
10291,foot3,,0,0,1,ent.3403.foot3,sounds01,466
10292,foot4,,0,0,1,ent.3403.foot4,sounds01,466
10293,idle1,,0,0,4,ent.3403.idle1,sounds04,1949
10294,idle2,,0,0,4,ent.3403.idle2,sounds04,976
10295,idle3,,0,0,4,ent.3403.idle3,sounds04,1617
10296,shear,,0,1,2,ent.3403.shear,sounds02,375
10297,die,,0,1,3,ent.3405.die,sounds03,1625
10298,hit1,,0,1,3,ent.3405.hit1,sounds03,625
10299,hit2,,0,0,3,ent.3405.hit2,sounds03,500
10300,hit3,,0,0,3,ent.3405.hit3,sounds03,500
10301,idle1,,0,0,4,ent.3405.idle1,sounds04,1500
10302,idle2,,0,0,4,ent.3405.idle2,sounds04,875
10303,idle3,,0,0,4,ent.3405.idle3,sounds04,1000
10304,die,,0,1,3,ent.3406.die,sounds03,2250
10305,hit1,,0,1,3,ent.3406.hit1,sounds03,2250
10306,hit2,,0,1,3,ent.3406.hit2,sounds03,500
10307,hit3,,0,1,3,ent.3406.hit3,sounds03,625
10308,idle1,,0,0,4,ent.3406.idle1,sounds04,1000
10309,idle2,,0,0,4,ent.3406.idle2,sounds04,1000
10310,idle3,,0,0,4,ent.3406.idle3,sounds04,1000
10311,die,,0,1,3,ent.3407.die,sounds03,750
10312,foot1,,0,0,1,ent.3407.foot1,sounds01,184
10313,foot2,,0,0,1,ent.3407.foot2,sounds01,186
10314,foot3,,0,0,1,ent.3407.foot3,sounds01,177
10315,foot4,,0,0,1,ent.3407.foot4,sounds01,200
10316,foot5,,0,0,1,ent.3407.foot5,sounds01,230
10317,hit1,,0,1,3,ent.3407.hit1,sounds03,500
10318,hit2,,0,0,3,ent.3407.hit2,sounds03,428
10319,hit3,,0,0,3,ent.3407.hit3,sounds03,428
10320,howl,,0,1,6,ent.3407.howl,sounds06,2042
10321,idle1,,0,0,4,ent.3407.idle1,sounds04,1000
10322,idle2,,0,0,4,ent.3407.idle2,sounds04,1500
10323,idle3,,0,0,4,ent.3407.idle3,sounds04,875
10324,idle4,,0,0,4,ent.3407.idle4,sounds04,1410
10325,die,,0,1,3,ent.3408.die,sounds03,750
10326,foot1,,0,0,1,ent.3408.foot1,sounds01,184
10327,foot2,,0,0,1,ent.3408.foot2,sounds01,186
10328,foot3,,0,0,1,ent.3408.foot3,sounds01,177
10329,foot4,,0,0,1,ent.3408.foot4,sounds01,200
10330,foot5,,0,0,1,ent.3408.foot5,sounds01,230
10331,hit1,,0,1,3,ent.3408.hit1,sounds03,500
10332,hit2,,0,0,3,ent.3408.hit2,sounds03,428
10333,hit3,,0,0,3,ent.3408.hit3,sounds03,428
10334,idle1,,0,0,4,ent.3408.idle1,sounds04,1410
10335,idle2,,0,0,4,ent.3408.idle2,sounds04,417
10336,idle3,,0,0,4,ent.3408.idle3,sounds04,333
10337,die,,0,1,3,ent.3409.die,sounds03,678
10338,foot1,,0,0,1,ent.3409.foot1,sounds01,42
10339,foot2,,0,0,1,ent.3409.foot2,sounds01,36
10340,hit1,,0,1,3,ent.3409.hit1,sounds03,375
10341,hit2,,0,1,3,ent.3409.hit2,sounds03,375
10342,hit3,,0,1,3,ent.3409.hit3,sounds03,375
10343,hit4,,0,1,3,ent.3409.hit4,sounds03,375
10344,idle1,,0,0,4,ent.3409.idle1,sounds04,392
10345,idle2,,0,0,4,ent.3409.idle2,sounds04,500
10346,idle3,,0,0,4,ent.3409.idle3,sounds04,375
10347,idle4,,0,0,4,ent.3409.idle4,sounds04,500
10348,idle5,,0,0,4,ent.3409.idle5,sounds04,454
10349,idle6,,0,0,4,ent.3409.idle6,sounds04,428
10350,idle7,,0,0,4,ent.3409.idle7,sounds04,428
10351,idle8,,0,0,4,ent.3409.idle8,sounds04,428
10352,die,,0,1,3,ent.3410.die,sounds03,1375
10353,hit1,,0,1,3,ent.3410.hit1,sounds03,375
10354,hit2,,0,0,3,ent.3410.hit2,sounds03,500
10355,hit3,,0,0,3,ent.3410.hit3,sounds03,500
10356,idle1,,0,0,4,ent.3410.idle1,sounds04,1250
10357,idle2,,0,0,4,ent.3410.idle2,sounds04,1250
10358,idle3,,0,0,4,ent.3410.idle3,sounds04,1250
10359,die,,0,1,3,ent.3415.die,sounds03,1250
10360,foot1,,0,1,1,ent.3415.foot1,sounds01,500
10361,hit1,,0,1,3,ent.3415.hit1,sounds03,500
10362,hit2,,0,0,3,ent.3415.hit2,sounds03,500
10363,idle1,,0,0,4,ent.3415.idle1,sounds04,875
10364,idle2,,0,0,4,ent.3415.idle2,sounds04,1000
10365,jump,,0,1,1,ent.3415.jump,sounds01,500
10366,die,,0,1,3,ent.3416.die,sounds03,1000
10367,eat,,0,1,2,ent.3416.eat,sounds02,1250
10368,hit1,,0,1,3,ent.3416.hit1,sounds03,500
10369,hunger,,0,1,2,ent.3416.hunger,sounds02,875
10370,idle1,,0,0,4,ent.3416.idle1,sounds04,1125
10371,idle2,,0,0,4,ent.3416.idle2,sounds04,1625
10372,idle3,,0,0,4,ent.3416.idle3,sounds04,1500
10373,die,,0,1,3,ent.3418.die,sounds03,625
10374,hit1,,0,1,3,ent.3418.hit1,sounds03,625
10375,idle1,,0,0,4,ent.3418.idle1,sounds04,2000
10376,idle2,,0,0,4,ent.3418.idle2,sounds04,2000
10377,idle3,,0,1,4,ent.3418.idle3,sounds04,2000
10378,idle4,,0,1,4,ent.3418.idle4,sounds04,2000
10379,blast,,0,1,6,ent.3420.blast,sounds06,5000
10380,charge,,0,1,5,ent.3420.charge,sounds05,750
10381,clear,,0,1,2,ent.3420.clear,sounds02,299
10382,collide,,0,1,2,ent.3420.collide,sounds02,1250
10383,hit1,,0,1,2,ent.3420.hit1,sounds02,750
10384,kick1,,0,1,2,ent.3420.kick1,sounds02,375
10385,lob_power_high,,0,1,2,ent.3420.lob_power_high,sounds02,625
10386,lob_power_low,,0,1,2,ent.3420.lob_power_low,sounds02,375
10387,shoot_power_high,,0,1,2,ent.3420.shoot_power_high,sounds02,1000
10388,shoot_power_low,,0,1,2,ent.3420.shoot_power_low,sounds02,375
10389,tackle,,0,1,2,ent.3420.tackle,sounds02,750
10390,foot1,,0,0,1,ent.3421.foot1,sounds01,125
10391,foot2,,0,0,1,ent.3421.foot2,sounds01,125
10392,foot3,,0,0,1,ent.3421.foot3,sounds01,125
10393,foot4,,0,0,1,ent.3421.foot4,sounds01,125
10394,hit1,,0,0,3,ent.3421.hit1,sounds03,500
10395,idle1,,0,1,4,ent.3421.idle1,sounds04,1125
10396,discover,,0,1,2,ent.3423.discover,sounds02,208
10397,foot1,,0,0,1,ent.3423.foot1,sounds01,125
10398,foot2,,0,0,1,ent.3423.foot2,sounds01,125
10399,foot3,,0,0,1,ent.3423.foot3,sounds01,125
10400,foot4,,0,0,1,ent.3423.foot4,sounds01,125
10401,hit1,,0,0,3,ent.3423.hit1,sounds03,625
10402,idle1,,0,1,4,ent.3423.idle1,sounds04,500
10403,idle2,,0,1,4,ent.3423.idle2,sounds04,625
10404,crow,,0,1,2,ent.3424.crow,sounds02,3250
10405,foot1,,0,0,1,ent.3424.foot1,sounds01,125
10406,foot2,,0,0,1,ent.3424.foot2,sounds01,125
10407,foot3,,0,0,1,ent.3424.foot3,sounds01,125
10408,foot4,,0,0,1,ent.3424.foot4,sounds01,125
10409,hit,,0,1,3,ent.3424.hit,sounds03,555
10410,basketball_impact,,0,1,2,ent.3425.basketball_impact,sounds02,124
10411,die,,0,1,3,ent.3430.die,sounds03,1375
10412,hit1,,0,1,3,ent.3430.hit1,sounds03,750
10413,hit2,,0,0,3,ent.3430.hit2,sounds03,625
10414,hit3,,0,0,3,ent.3430.hit3,sounds03,625
10415,idle1,,0,1,4,ent.3430.idle1,sounds04,500
10416,idle2,,0,1,4,ent.3430.idle2,sounds04,625
10417,idle3,,0,1,4,ent.3430.idle3,sounds04,1625
10418,idle4,,0,1,4,ent.3430.idle4,sounds04,1000
10419,idle5,,0,1,4,ent.3430.idle5,sounds04,1750
10420,idle6,,0,1,4,ent.3430.idle6,sounds04,2000
10421,die,,0,1,3,ent.3433.die,sounds03,500
10422,fly,,0,1,2,ent.3433.fly,sounds02,750
10423,hit1,,0,1,3,ent.3433.hit1,sounds03,375
10424,hit2,,0,0,3,ent.3433.hit2,sounds03,250
10425,hit3,,0,0,3,ent.3433.hit3,sounds03,375
10426,idle1,,0,1,4,ent.3433.idle1,sounds04,1625
10427,idle2,,0,1,4,ent.3433.idle2,sounds04,750
10428,idle3,,0,1,4,ent.3433.idle3,sounds04,875
10429,idle4,,0,1,4,ent.3433.idle4,sounds04,750
10430,idle5,,0,1,4,ent.3433.idle5,sounds04,875
10431,idle6,,0,1,4,ent.3433.idle6,sounds04,1750
10432,die,,0,1,3,ent.3436.die,sounds03,4000
10433,hit1,,0,1,3,ent.3436.hit1,sounds03,500
10434,hit2,,0,0,3,ent.3436.hit2,sounds03,500
10435,hit3,,0,0,3,ent.3436.hit3,sounds03,375
10436,idle1,,0,1,4,ent.3436.idle1,sounds04,1750
10437,idle2,,0,1,4,ent.3436.idle2,sounds04,2000
10438,idle3,,0,1,4,ent.3436.idle3,sounds04,1125
10439,idle4,,0,1,4,ent.3436.idle4,sounds04,1125
10440,idle5,,0,1,4,ent.3436.idle5,sounds04,1125
10441,idle6,,0,1,4,ent.3436.idle6,sounds04,2625
10442,jump,,0,1,2,ent.3436.jump,sounds02,3000
