ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
26,余小樂,麻麻說，有夢想的魚才會快樂。,@Null@,身體特效：身上散發著夢想的氣息……,頭像：解鎖余小樂頭像,@Null@,,,
27,迷梭梭,"“世界守護計劃”首席環保築夢師，為綠色家園而戰。

面對日益嚴重的荒漠化，《迷你世界》二週年之際，代表所有玩家向阿拉善公益捐贈5萬顆“梭梭”樹。",解鎖道具可由世界守護計劃獲得。,身體特效：身上散發著樹木氣息,頭像：解鎖小樹人頭像,@Null@,,,
28,幻音,守護時空的少女，喜歡旅行和音樂。,@Null@,身體特效：身上飄散著電磁粒子。,頭像：解鎖幻音頭像。,@Null@,,,
29,幻 - 零式,冰冷的軀殼下有一個熾熱的靈魂，目標是星辰大海！,@Null@,身體特效：背部飄散著電磁粒子。,頭像：解鎖幻-零式頭像。,@Null@,,,
30,柳仙兒,月中起舞的小仙女，傳聞只有幸運的人才有緣得見。,@Null@,身體特效：身上飄散著月牙。,頭像：解鎖頭像,@Null@,,,
31,帕普奇,一位神秘又強大的魔法師，擁有記載奇術的寶典和看似無用的魔法頭套。,@Null@,身體特效：散發魔法氣息。,頭像：解鎖南瓜人頭像。,@Null@,,,
32,米娜,來自神秘海底王國的小公主，無意間迷路到了迷你世界。讓她高興的人，會聽到她優美的歌聲。,@Null@,身體特效：身上散發著水珠。,頭像：解鎖米娜頭像,行走足跡：走過的地方會留下貝殼腳印。,,,
33,雪靈,冬天的秘密，就是每片雪花都有生命，它們彼此守護。,@Null@,身體特效：身上飄散著雪花。,頭像：解鎖雪靈頭像,@Null@,,,
34,嘟嘟啵啵,嘟嘟和啵啵是迷斯拉的好哥們，但常因為自己的力量太小而自卑。直到他們聽說有一顆星球上能獲得色彩魔法，便帶著希望一路向前（購買迷你星工場圖紙包解鎖，集齊嘟嘟、啵啵裝扮將解鎖變色裝扮嘟嘟啵啵！）,@Null@,身體特效：隨著環境變換顏色！,頭像：解鎖頭像。,@Null@,,,
35,嘟嘟,嘟嘟和啵啵是迷斯拉的好哥們，但常因為自己的力量太小而自卑。直到他們聽說有一顆星球上能獲得色彩魔法，便帶著希望一路向前（購買迷你星工場圖紙包解鎖，集齊嘟嘟、啵啵裝扮將解鎖變色裝扮嘟嘟啵啵！）,@Null@,頭像：解鎖頭像。,@Null@,@Null@,,,
36,啵啵,嘟嘟和啵啵是迷斯拉的好哥們，但常因為自己的力量太小而自卑。直到他們聽說有一顆星球上能獲得色彩魔法，便帶著希望一路向前（購買迷你星工場圖紙包解鎖，集齊嘟嘟、啵啵裝扮將解鎖變色裝扮嘟嘟啵啵！）,@Null@,頭像：解鎖頭像。,@Null@,@Null@,,,
37,夢歌,如從夢中出走的少女，想來一場說走就走的旅行。這一次不僅為了探險，更為了活出自己想要的樣子。,@Null@,頭像：解鎖頭像。,行走足跡：走過的地方留下花瓣腳印。,@Null@,,,
38,斬浪,久經風浪的水軍大將，天下皆稱此子有天蓬元帥下凡之能。,@Null@,身體特效：身上散發水花！,頭像：解鎖頭像。,行走足跡：走過的地方留下水花腳印。,,,
39,安吉洛斯,從仙境降臨而來的守護天使，是傳遞愛與正義的化身。揮舞手中的星杖將愛心灑落在迷你世界的每個角落。 （安吉洛斯僅能通過活動獲得~）,解鎖道具可由活動獲得,身體特效：身上飄散著羽毛！,頭像：解鎖頭像。,@Null@,,,
40,暗星,來自虛空的DJ，最愛勁爆的電音搖滾。有著超強節奏感的他，是派對舞台上最耀眼的星。,@Null@,身體特效：尾巴帶有閃電！,頭像：解鎖頭像。,行走足跡：走過的地方留下音符腳印。,,,
41,蘭斯洛特,何為騎士之道？劍鋒所指，正義必達！ ！,@Null@,身體特效：身上飄散著星光！,頭像：解鎖頭像。,@Null@,,,
42,喵小糖,系統網絡連接正常，電磁砲台準備就緒。什麼？說我是技術宅？不不不，這可是科學家的浪漫啊！哎？電力不足警告，要，要去充電啦。,@Null@,@Null@,頭像：解鎖頭像。,行走足跡：走過的地方會留下電子顆粒。,,,
43,千兵衛,你的武功不錯！但那也趕不上我迅捷如風的二刀流哇。,@Null@,@Null@,頭像：解鎖頭像。,行走足跡：走過的地方會留下塵埃腳印。,,,
44,星翼,"“這次比賽的冠軍獎杯，就是我的生日禮物！”
 熱愛繁華都市生活的星翼又一次出現在了賽場上。對她來說，冠軍固然重要，但更重要的是贏得漂亮！",@Null@,@Null@,頭像：解鎖頭像。,行走足跡：走過的地方會留下小愛心腳印。,,,
45,離,元氣滿滿的刺客，經常自言自語的給自己打氣。最喜歡使用飛針，以及將所有物品都織上毛線套。,@Null@,@Null@,頭像：解鎖頭像。,行走足跡：走過的地方會留下毛球腳印。,,,
46,黯,他希望自己在別人眼裡是個冷酷的人，日常裝冷酷。卻常常因為註意力不集中而被搭檔吐槽。,@Null@,@Null@,頭像：解鎖頭像。,行走足跡：走過的地方會留下飛鏢腳印。,,,
47,啾啾,"你相信嗎，天空的每一朵雲，都有它獨特的味道。我願做你的翅膀,帶你去世界最美麗的地方。",@Null@,身體特效：皇冠上飄散著金光！,頭像：解鎖頭像。,@Null@,,,
48,華樂,這是我的責任是守衛和平，為我的朋友和我的家！,@Null@,身體特效：背部機甲會飄散金色粒子和電光！,頭像：解鎖頭像。,@Null@,,,
49,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
50,喬克,"“喲！遠道而來的旅行者，想來看看不可思議的魔術表演嗎？最奇妙的演出都在這裡啦！""",@Null@,@Null@,頭像：解鎖頭像。,行走足跡：走過的地方會留下魔術圖案。,,,
51,小艾,哈哈！規則就是用來打破的，不過我可以給你一個甜蜜的理由！,@Null@,@Null@,頭像：解鎖頭像。,行走足跡：走過的地方會留下棒棒糖腳印。,,,
52,擎天柱,我是擎天柱，向星際間所有流亡的博派人發出此訊息，我們在這裡，等你們!,@Null@,身體特效：遊戲內可實現變形功能，切換形態！,頭像：解鎖頭像。,行走足跡：走過的地方會留下陣營標誌腳印。,#cda5b0a變形：點擊左側變形按鈕，可切換機器人/載具形態！#n,#cda5b0a變形金剛專屬技能：汽車人攻防！#n,
53,威震天,不論是失敗還是背叛，我永遠不會被征服，我是威震天。,@Null@,身體特效：遊戲內可實現變形功能，切換形態！,頭像：解鎖頭像。,行走足跡：走過的地方會留下陣營標誌腳印。,#cda5b0a變形：點擊左側變形按鈕，可切換機器人/載具形態！#n,#cda5b0a變形金剛專屬技能：聚變加農炮！#n,
54,慕斯,聖誕節最不能缺少的，就是雪花、糕點、絢麗的魔法和甜甜的你！,@Null@,@Null@,頭像：解鎖頭像。,行走足跡：走過的地方會留下草莓腳印。,,,
55,金柚柚,初來到迷萌星球的可愛雙子，來自一個豐饒富足的地方。開朗的金柚柚，最喜歡收集秋天的果實和落葉，然後在冬天做成各種物品提供給大家。用他的話說，共享才是「豐饒」的訣竅。,@Null@,@Null@,頭像：解鎖頭像。,行走足跡：走過的地方會留下栗子腳印。,,,
56,喜團團,初來到迷萌星球的可愛雙子，來自一個豐饒富足的地方。勤勞的喜團團，總要花很多時間用自己的能力去幫助難以抵抗寒冬的小動物。她希望有更多夥伴來一起傳遞這份「豐饒」的力量。,@Null@,身體特效：身上飄散著花朵！,頭像：解鎖頭像。,行走足跡：走過的地方會留下平安結腳印。,,,
57,林千樹,看起來是個不修邊幅的老頑童，其實武功高強，是朔野城長老；同時也是程錦衣、離和黯的師傅。他覺得當今世上一個能打的都沒有，所以脾氣溫和了許多，也多年不問江湖。,解鎖道具可由活動獲得,@Null@,頭像：解鎖頭像。,行走足跡：走過的地方會留下酒葫蘆腳印。,,,
58,大黃蜂,我是大黃蜂，和你認識最久的朋友，擎天柱，我願意為你付出我的生命。,@Null@,身體特效：遊戲內可實現變形功能，切換形態！,頭像：解鎖頭像。,行走足跡：走過的地方會留下陣營標誌腳印。,#cda5b0a變形：點擊左側變形按鈕，可切換機器人/載具形態！#n,#cda5b0a變形金剛專屬技能：黃蜂突刺！ #n,
59,花幽幽,仙氣十足的花幽幽很享受徜徉在花海的感覺。她的房前屋後都種滿了花朵，路過的小朋友都會被沁人的香氣所吸引。而這次，聽說魔法星球的能量會讓鮮花產生一些奇妙的變化，作為園藝師的她欣然前往。,@Null@,身體特效：身上飄散著星光！,頭像：解鎖頭像。,@Null@,,,
60,星靈,來自天空的閃亮星靈，擁有實現願望的星之力。每一個星靈都在尋找和它志趣相投的小朋友。當這個小朋友對著天空許願時星靈就能聽到他\她的訴求，來到小朋友身邊一起創造新世界。,@Null@,身體特效：身上飄散著彩虹！,頭像：解鎖頭像。,@Null@,,,
61,雪球球,雪山上的豹族少女，出生時就被選定成為高原上的守護者，從小就盡職盡責地保護這片淨土。雖然很溫柔，但面對家園危機時展現出了令人欽佩的勇氣和堅強。,解鎖道具可由活動獲得,身體特效：身上飄散著雪花！,頭像：解鎖頭像。,@Null@,,,
62,愛麗絲,魔法學院的少女愛麗絲被一張撲克牌帶入到了一個奇妙的世界。在那裡，她邂逅了善良的兔子先生。儘管這是一場未知的冒險，但只要有兔子先生一起，在哪裡都是奇妙之旅。,@Null@,身體特效：身上飄散著印花！,頭像：解鎖頭像。,@Null@,,,
63,蛙太郎,在迷萌蛙族長大的他從小就學會了許多忍術，也練就了超強的抗打擊力。比起訓練，蛙太郎最喜歡的事情，還是在夏天的夜晚躺在池塘邊的蘆葦裡，聽取蛙聲一片。,解鎖道具可由活動獲得,@Null@,頭像：解鎖頭像。,行走足跡：走過的地方會留下青蛙腳印。,,,
64,紅蜘蛛,紅蜘蛛覺得自己“命中註定就是霸天虎領袖”，喜歡逞一時的口舌之快，時刻想著與威震天爭權奪利，因此無意中破壞了不少狂派的進攻計劃，讓威震天頭疼不已。,@Null@,身體特效：遊戲內可實現變形功能，切換形態！,頭像：解鎖頭像。,行走足跡：走過的地方會留下陣營標誌腳印。,#cda5b0a變形：點擊左側變形按鈕，可切換機器人/載具形態！#n,#cda5b0a變形金剛專屬技能：空中警報！#n,
65,熱破,他沉穩、冷靜、充滿責任感，是博派的未來領袖，是宇宙和平新的希望，面對邪惡他無所畏懼，不論情況多麼危險，他都會毫不遲疑地馬上行動。,@Null@,身體特效：遊戲內可實現變形功能，切換形態！,頭像：解鎖頭像。,行走足跡：走過的地方會留下陣營標誌腳印。,#cda5b0a變形：點擊左側變形按鈕，可切換機器人/載具形態！#n,#cda5b0a變形金剛專屬技能：紅色閃電！#n,
66,驚破天,他是比威震天更強大更殘酷無情的暴君，經過改造，他的征服與統治的自信和野心無人能及，他是力量的化身，整個宇宙都滿足不了這個無情的暴君的胃口。,@Null@,身體特效：遊戲內可實現變形功能，切換形態！,頭像：解鎖頭像。,行走足跡：走過的地方會留下陣營標誌腳印。,#cda5b0a變形：點擊左側變形按鈕，可切換機器人/載具形態！#n,#cda5b0a變形金剛專屬技能：聚變激光！#n,
67,全能玩家勞爾,遊走在虛擬與現實之間，勞爾習慣把生活中的種種問題都當作遊戲中的一個個關卡來解決。如果運氣和實力都無法通關，那麼就交給時間吧。時間會讓人成長，而成長是解決問題的最終答案。,解鎖道具可由活動獲得,身體特效：身上飄散著字符！,頭像：解鎖頭像。,@Null@,,,
68,電玩少女鈴音,電玩少女鈴音最喜歡的事，就是帶著機械夥伴小魔方穿梭於虛擬與現實之間，饒有興致地探索這個世界的樂趣，享受著熱鬧與繁華。但每次鈴音都只是短暫停留，因為她一直在尋找能真正觸動到她的霓虹光彩。,解鎖道具可由活動獲得,身體特效：身上飄散著紫色粒子！,頭像：解鎖頭像。,@Null@,,,
69,青弦,身為“粽藝坊”的傳人，青弦卻夢想著成為古箏大師。她與父母約定，只要她能讓“粽藝坊”聲名不墜，家人就不能阻止她學習古箏。對於青弦來說，“粽藝坊”與“古箏大師”，從來不是二選一，因為她兩個都要。,@Null@,身體特效：身上飄散著粽葉！,頭像：解鎖頭像。,@Null@,,,
70,紫悅,紫悅是最富有學識的小馬。她熱愛讀書，擅長領導。宇宙公主讓她到小馬鎮學習友誼的魔法，她不僅掌握了知識，還創造了新的友誼魔法。,@Null@,身體特效：身上飄散著魔法字符！,頭像：解鎖頭像。,@Null@,,,
71,宇宙公主,她是極具影響力的小馬國的統治者之一，擁有強大的魔法。雖然是掌管著白天的宇宙公主，卻十分平易近人，喜歡吃蛋糕這一點，讓她在端莊優雅之下也有可愛的一面。,@Null@,身體特效：身上飄散著金色粒子！,頭像：解鎖頭像。,@Null@,,,
72,柔柔,柔柔居住在小馬谷邊緣的木屋裡，能與各種動物進行溝通並與它們成為朋友，還可以指揮他們一起行動。她在和諧之元中代表“善良”。,@Null@,身體特效：身上飄散著金色粒子！,頭像：解鎖頭像。,@Null@,,,
73,月亮公主,月亮公主是宇宙公主的妹妹，小馬利亞的第二統治者，負責掌管夜晚和夢境，升起月亮，經常拯救可怕夢中的小馬。她表面神秘冷漠，實則和藹可親。,解鎖道具可由活動獲得,身體特效：身上飄散著月亮圖案！,頭像：解鎖頭像。,@Null@,,,
74,鋼鎖,鋼鎖是機器恐龍的指揮官，是最強大的機器恐龍，他冒失莽撞的個性讓汽車人們意識到不已，但也以他的勇敢率領恐龍們多次拯救汽車人於危難。,解鎖道具可由活動獲得,身體特效：電磁火花閃爍,頭像：解鎖頭像。,行走足跡：走過的地方會留下陣營標誌腳印。,#cda5b0a變形：點擊左側變形按鈕，可切換機器人/機械恐龍形態！#n,#cda5b0a變形金剛專屬技能：暴龍咆哮！#n,
75,飛標,飛標的單純思想和莽撞行為有時令人頭痛不已，但實際上他是一個心地善良的勇士，他在機器恐龍隊伍中發揮著巨大作用，肩負著站前偵查的重要使命。,@Null@,身體特效：電磁火花閃爍,頭像：解鎖頭像。,行走足跡：走過的地方會留下陣營標誌腳印。,#cda5b0a變形：點擊左側變形按鈕，可切換機器人/機械恐龍形態！#n,#cda5b0a變形金剛專屬技能：迅捷之翼！#n,
76,嚎叫,嚎叫是個不合群的傢伙，他喜歡讓別人去處理戰略方面的事，自己只要聽從鋼鎖派遣直接直接去打仗就好了。這也讓他成為鋼鎖在戰場上最得力的戰士。,@Null@,身體特效：電磁火花閃爍,頭像：解鎖頭像。,行走足跡：走過的地方會留下陣營標誌腳印。,#cda5b0a變形：點擊左側變形按鈕，可切換機器人/機械恐龍形態！#n,#cda5b0a變形金剛專屬技能：骨刺橫掃！#n,
77,色彩旅行者達奇,傳說他是一名用過色彩魔法淨化世界的旅行畫家。暖色調熱情多變，冷色調安靜柔和。達奇亦如此：橙色與藍色的結合，調出了他的顏色；冷靜與熱誠的結合，調出了他的性格。,解鎖道具可由活動獲得,@Null@,頭像：解鎖頭像。,行走足跡：走過的地方會留下藍色顏料。,,,
78,塔莉婭,“來跟我交換吧！只要你有足夠特別和有創意的事物，我會付給你你夢想的一切！”一天，一封署名塔莉婭的信被送到了迷你宇宙各個星球愛好魔法的人手裡。一個叫做1900號的浮游島，還有一個美麗又神秘的女王塔莉婭，在奧法星橫空出世,在抽獎裡獲取,身體特效：身上飄散著紫色的花瓣！,頭像：解鎖頭像。,行走足跡：走過的地方會留下玫瑰花圖案,,,
79,森林隱者巫塔,很少有人能發現巫塔，他總是藏在森林深處，與動物與精靈溝通。而到了特定季節，他就會現身，用神奇的巫術給部落裡的人治療疾病，驅逐噩夢。由於他的占卜和醫術很靈驗，卻又神秘莫測，人們給了他森林隱者的稱呼。他是隱士，也是值得尊敬的森林之子。,@Null@,身體特效：巫術符文飛揚！,頭像：解鎖頭像。,@Null@,,,
80,兔子先生拉比,拉比最得意的事就是他能變成兔子先生在不同星球間穿梭旅行。可是愛麗絲卻似乎能看穿他的偽裝。一張偶然掉落的撲克牌讓他們相遇，奇妙的冒險之旅隨之開啟。這是撲克的魔法嗎？不，這是命運的魔法！,解鎖道具可由活動獲得,身體特效：身上飄著兔子紋章,頭像：解鎖頭像。,@Null@,#cd65b00變形：點擊左側變形按鈕，可切換兔子/ 人形形態！#n,#cd65b00兔子先生專屬技能：時間告急！#n,
81,碧琪,碧琪是最出名的“派對小馬”，有超常的精力。她個性開朗活潑，喜愛惡作劇和唱歌，還擅長製作甜點。她在和諧之元中代表“歡笑”。,@Null@,身體特效：身上飄著粉色愛心！,頭像：解鎖頭像。,@Null@,,,
82,白夜女巫卡洛兒,卡洛兒喜歡糖果，因為糖果總是帶給她好運。流落街頭的時候是糖果店收留了她，一顆糖果讓她結識了小幽靈“白夜”，也是糖果讓她順利領悟了魔法。抽取一顆今日糖果吧！卡洛兒的糖罐一定會帶給你驚喜。,@Null@,身體特效：身上飄著光之魔法！,頭像：解鎖頭像。,@Null@,,,
83,余小歡,豆腐腦不是甜的就是鹹的？為什麼不能又甜又鹹呢，再加點檸檬汁好像也不錯！滿腦子奇思妙想的余小歡總能把各種食材組合出最讓人意想不到的食物。這可就苦了她的哥哥余小樂了，每一次試吃都是對腸胃最嚴重的挑戰。,在抽獎裡獲取,@Null@,頭像：解鎖頭像。,行走足迹：走過的地方會留下脚印,,,
84,章小丸,作為迷萌章魚族的一員，章小丸卻並不願意一直在海底水草村中生活。大海很遼闊，但他更喜歡浮在海面上，觀察璀璨的星空。雖然他沒有翅膀，不過他可以通過努力和朋友們的幫助，製造沖向星空的火箭！,在抽獎裡獲取,身體特效：身上飄著音波！,頭像：解鎖頭像。,@Null@,,,
85,熊小吉,人生就是壹次探險，探險也是壹次測試。危險能夠讓人認清自己，奔跑就不會被時代拋棄。想要挑戰不可能，就跟熊小吉壹起去探險吧。,在抽獎裡獲取,@Null@,頭像：解鎖頭像。,行走足跡：走過的地方會留下白熊腳印,,,
86,星光熠熠,她擁有不亞於紫悅的強大魔法能力，企圖建立“烏托邦”小鎮。後被紫悅說服，成為了主角們的朋友。現在的她已成為友誼學校的校長。,@Null@,身體特效：身上飄著藍色星光,頭像：解鎖頭像。,@Null@,,,
87,雲寶,雲寶勇敢且外向。喜歡冒險，也喜歡惡作劇。她飛行速度極快，還帶著彩虹拖尾，彩虹音爆是她的拿手好戲。她在和諧之元中代表“忠誠”。,@Null@,身體特效：身上帶著彩虹拖尾,頭像：解鎖頭像。,@Null@,,,
88,音韻公主,她是宇宙公主以前的學生，漂亮、體貼、善良，因擊敗黑晶王而成為水晶帝國的守護者。可愛標記也是水晶帝國的象徵，代表愛與光明。,@Null@,身體特效：身上飄散著水晶寶石,頭像：解鎖頭像。,@Null@,,,
89,初暮,跟我一起來研究大自然的奧妙吧！魔法學院的初暮總是不遺餘力地向人推薦昆蟲的魔法，她的熱情好學為她贏得了米西亞教授的青睞。,@Null@,身體特效：身上飄著發光的蝴蝶,頭像：解鎖頭像。,行走足跡：走過的地方留下月蛾腳印,,,
90,衝雲霄,衝雲霄由五名巨猙獰隊員合體而成，具有超級攻防能力，是狂派陣營裡最致命的戰鬥機器。他能完全集中註意力於獵殺上，作為戰士，他無人能敵；作為武器，他無堅不摧。,@Null@,身體特效：遊戲內可實現變形功能，切換形態！,頭像：解鎖頭像。,行走足跡：走過的地方會留下陣營標誌腳印。,#cda5b0a變形：點擊左側變形按鈕，可切換多人組合模式！#n,#cda5b0a變形金剛專屬技能：猙獰之力！#n,
91,利爪,@Null@,@Null@,身體特效：遊戲內可實現變形功能，切換形態！,頭像：解鎖頭像。,行走足跡：走過的地方會留下陣營標誌腳印。,,,
92,鐵頭,@Null@,@Null@,身體特效：遊戲內可實現變形功能，切換形態！,頭像：解鎖頭像。,行走足跡：走過的地方會留下陣營標誌腳印。,,,
93,野牛,@Null@,@Null@,身體特效：遊戲內可實現變形功能，切換形態！,頭像：解鎖頭像。,行走足跡：走過的地方會留下陣營標誌腳印。,,,
94,猛虎,@Null@,@Null@,身體特效：遊戲內可實現變形功能，切換形態！,頭像：解鎖頭像。,行走足跡：走過的地方會留下陣營標誌腳印。,,,
95,大鵬,@Null@,@Null@,身體特效：遊戲內可實現變形功能，切換形態！,頭像：解鎖頭像。,行走足跡：走過的地方會留下陣營標誌腳印。,,,
96,大無畏,大無畏是由汽車人的空中部隊“飛行太保”合體而成，他的所有行為均遵循兩個基本原則：一、消滅霸天虎；二、保護他人。在邪惡勢力臨近的時刻，他將挺身而出，保衛地球和平。,@Null@,身體特效：遊戲內可實現變形功能，切換形態！,頭像：解鎖頭像。,行走足跡：走過的地方會留下陣營標誌腳印。,#cda5b0a變形：點擊左側變形按鈕，可切換多人組合模式！#n,#cda5b0a變形金剛專屬技能：無畏之力！#n,
97,銀劍,@Null@,@Null@,身體特效：遊戲內可實現變形功能，切換形態！,頭像：解鎖頭像。,行走足跡：走過的地方會留下陣營標誌腳印。,,,
98,彈弓,@Null@,@Null@,身體特效：遊戲內可實現變形功能，切換形態！,頭像：解鎖頭像。,行走足跡：走過的地方會留下陣營標誌腳印。,,,
99,俯衝,@Null@,@Null@,身體特效：遊戲內可實現變形功能，切換形態！,頭像：解鎖頭像。,行走足跡：走過的地方會留下陣營標誌腳印。,,,
100,空襲,@Null@,@Null@,身體特效：遊戲內可實現變形功能，切換形態！,頭像：解鎖頭像。,行走足跡：走過的地方會留下陣營標誌腳印。,,,
101,飛火,@Null@,@Null@,身體特效：遊戲內可實現變形功能，切換形態！,頭像：解鎖頭像。,行走足跡：走過的地方會留下陣營標誌腳印。,,,
102,聖嬰,小爺槍法仙奉第一。若有不服，來戰便是！,在抽獎裡獲取,行走足跡：走過的地方會留下大聖腳印,頭像：解鎖頭像。,@Null@,,,
103,魔炎,我，我就是火焰之主！風林火山，就是我的信條！,@Null@,身體特效：身上飄散著妖王之氣,頭像：解鎖頭像。,@Null@,#cd65b00變形：點擊左側變形按鈕，可切換牛/ 人形形態！#n,#cd65b00魔炎專屬技能：蠻牛之力！#n,
104,靈瑤,據說風神宮有一位華麗而優雅的女主人。哦呵呵，除了我還能是誰呢？,@Null@,身體特效：身上飄散著金色花瓣,頭像：解鎖頭像。,@Null@,,,
105,小紅帽阿夏爾,整理著裝是阿夏爾每天起床後的第一要務，畢竟得讓自己的形象襯得上這高貴的獨角獸才行。不過最近，許多人都在打這獨角獸的主意。這可是沃爾夫費盡心思才馴服送給自己的生日禮物，她才不會交給任何人呢！,@Null@,行走足跡：走過的地方會留下小紅帽腳印,頭像：解鎖頭像。,@Null@,,,
106,迷小酷,一位來自《迷你編程》的教學導師，擁有神奇的編程之力。,在抽獎裡獲取,身體特效：身上飄散著科幻粒子！,頭像：解鎖頭像。,行走足迹：走過的地方會留下脚印,,,
107,狼少年沃爾夫,“悄悄告訴你個秘密，狼外婆是真的！”沃爾夫和阿夏爾最喜歡童話故事。今天，他穿上狼外套和外婆的圍裙，準備化身大灰狼，逗逗那個愛演戲的阿夏爾。既然大家都中了魔法咒語，那就親自完成一場屬於自己的童話之旅吧！,@Null@,行走足跡：走過的地方會留下狼少年腳印,頭像：解鎖頭像。,@Null@,,,
