ID,名字,类别名,描述
10047,Ubah stempel waktu menjadi penuh waktu,umum,Mengkonversi stempel waktu |@1| ke penuh waktu
20001,Perhitungan Numerik,Matematika,@1||@2||@3
20002,Sisa,Matematika,@1| Mod |@2
20003,Angka acak,Matematika,Hasilkan nomor acak antara|@1| dan|@2
20004,Nilai maksimum,Matematika,@1| dan |@2|'s |@3
20005,Divisi Tepat,Matematika,"@1| dapat dibagikan |@2| "
20006,Nilai Koordinat Lokasi,Matematika,@1|s|@2| nilai koordinat
20007,Sudut Horisontal Antara Lokasi,Matematika,Sudut Horisontal Antara|@1|dan|@2
20008,Sudut Vertikal Antara Lokasi,Matematika,Sudut Vertikal Antara|@1|dan|@2
20009,Eksponensial,Matematika,"@1|,dengan kekuatan|@2"
20010,Buka,Matematika,Akar|@2|ke|@1
20011,Nilai mutlak,Matematika,Nilai pasti|@1
20012,Fungsi trigonometri,Matematika,@1||@2||@3
20013,Fungsi Log Pangkalan Tetap,Matematika,@1||@2
20014,Setiap Fungsi Log Dasar,Matematika,Log|@1||@2
20015,Angka bulat,Matematika,"Angka bulat|@1|, dalam bentuk|@2"
20016,Konversi Sudut ke Radian,Matematika,Konversi|@1|ke|@2
20017,.dan.,Matematika,@1| dan |@2
20018,.atau.,Matematika,@1| atau |@2
20019,eksklusif atau,Matematika,@1|eksklusif atau|@2
20020,.tidak.,Matematika,Bukan |@1
20021,Perbandingan nilai acak,Matematika,@1||@2||@3
30001,Waktu game,Game,Waktu game
30002,Pilih Peringkat Team,Game,Peringkat team|@1
30003,kelipatan gravitasi saat,Game,kelipatan gravitasi saat
40001,Atribut Team,Team,@1|'s |@2
40002,Perbandingan Team,Team,@1||@2||@3
50001,Lokasi Pemain,Pemain,Lokasi|@1
50002,Pemain dapat melihat posisi dgn tepat,Pemain,Penglihatan|@1
50003,Atribut Pemain,Pemain,@1|'s |@2
50004,Jumlah barang yg dimiliki,Pemain,"@1| dimiliki, nomor dari |@2"
50006,Pemain Menghadap Sudut,Pemain,Sudut menghadap|@1
50007,Nama pemain,Pemain,Nama|@1
50008,Tentukan Individu,Pemain,@1||@2||@3
50009,Tentukan Set Pemain,Pemain,@1||@2|di|@3
50010,Tentukan Wilayah,Pemain,@1||@2|di wilayah|@3
50011,Tentukan Status,Pemain,@1||@2|memperoleh|@3|efek
50012,Tuan rumah,Pemain,Tuan Rumah
50018,Grup Pemain,Pemain,Team|@1
50019,Variabel Pribadi Pemain (Wilayah),Pemain,@2| |@1|(Wilayah)
50020,Variabel Pribadi Pemain (Lokasi),Pemain,@2| |@1|(Lokasi)
50021,Variabel Pribadi Pemain (Nilai),Pemain,@2| |@1|(Nilai)
50022,Variabel Pribadi Pemain (Gabungan huruf),Pemain,@2| |@1|(Huruf bersambung)
50023,Variabel Pribadi Pemain (Nilai Boolean),Pemain,@2| |@1|(Nilai Boolean)
50024,Variabel Pribadi Pemain (Pemain),Pemain,@2| |@1|(Pemain)
50025,Variabel Pribadi Pemain (Grup Pemain),Pemain,@2| |@1|(Grup Pemain)
50026,Variabel Pribadi Pemain (Tipe blok),Pemain,@2| |@1|(Tipe blok)
50027,Variabel Pribadi Pemain (Tipe item),Pemain,@2| |@1|(Tipe item)
50028,Variabel Pribadi Pemain (Makhluk),Pemain,@2| |@1|(TMakhluk)
50029,Variabel Pribadi Pemain (Tipe Makhluk),Pemain,@2| |@1|(Tipe makhluk)
50030,Variabel Pribadi Pemain (Grup Makhluk),Pemain,@2| |@1|(Grup makhluk)
50031,Variabel Pribadi Pemain (Timer),Pemain,@2| |@1|(Timer)
50032,Pemain Variabel (jenis efek khusus) Swasta,Pemain,@1| 's |@2| (Jenis efek khusus)
50033,Arah yang dituju crosshair,Pemain,arah yang |@1| poin crosshair di
50034,Jenis item yang dipengang di tangan,Pemain,Jenis item yang dipengang di tangan |@1
50035,Pemain,Pemain,|@1
50036,Grup Pemain,Pemain,|@1
50037,Tampilan Pemain Tertentu,Pemain,@1| Penampilan
50038,Grup pemain,Pemain,|@1
50039,Variabel Pribadi Pemain (Grup Lokasi),Pemain,@2| dari |@1| (Grup Lokasi)
50040,Variabel Pribadi Pemain (Grup Regional),Pemain,@2| dari |@1| (Grup Area)
50041,Variabel Pribadi Pemain (Grup Numerik),Pemain,@2| dari |@1| (Grup Numerik)
50042,Variabel Pribadi Pemain (String Group),Pemain,@2| dari |@1| (Grup String Karakter)
50043,Variabel Pribadi Pemain (Grup Boolean),Pemain,@2| dari |@1| (Grup Boolean)
50044,Variabel pribadi pemain (grup tipe blok),Pemain,@2| dari |@1| (Grup tipe blok)
50045,Variabel pribadi pemain (grup tipe alat peraga),Pemain,@2| dari |@1| (Jenis alat peraga)
50046,Variabel Pribadi Pemain (Grup Jenis Makhluk),Pemain,@2| dari |@1| (Grup tipe makhluk)
50047,Variabel Pribadi Pemain (Grup Timer),Pemain,@2| dari |@1| (Grup Timer)
50048,Variabel pribadi pemain (grup tipe efek khusus),Pemain,@2| dari |@1| (Grup tipe efek khusus)
50049,Jenis Tampilan acak,Pemain,Jenis penampilan acak
50050,Dapatkan UID pemain,Pemain,Dapatkan UID |@1|
50051,Dapatkan pemain dengan UID tertentu,Pemain,Dapatkan pemain dengan |@1| UID
50052,Pemain yang menembakkan proyektil,Pemain,Pemain yang menembakkan proyektil
60001,Jumlah Pemain di Set Pemain,Grup pemain,Jumlah pemain di |@1
60002,ID pemain di Perangkat Pemain,Grup pemain,@2|ID di|@1
60003,Jumlah Pemain dalam Game,Grup pemain,Jumlah pemain saat ini
60004,Pilih ID Pemain di Perangkat Pemain,Grup pemain,Pemain bernomor |@2|di|@1
60005,Pemain Acak dalam Perangkat Pemain,Grup pemain,Pemain acak di|@1
60006,Semua Pemain,Grup pemain,Semua Pemain
60007,Semua Pemain dalam team,Grup pemain,Semua Pemain di |@1
60008,Semua Pemain di Wilayah,Grup pemain,Semua Pemain di |@1
70001,Lokasi Makhluk,Makhluk,Lokasi |@1
70002,Atribut Makhluk,Makhluk,@2| |@1
70004,Dapatkan ID makhluk di perangkatnya,Makhluk,ID|@2|di|@1
70005,Posisi angle,Makhluk,Hadapan sudut|@1
70006,Nama Jenis Mahluk,Makhluk,Ketikkan nama|@1
70007,Tentukan Individu,Makhluk,@1||@2||@3
70008,Tentukan Jenis,Makhluk,@1||@2||@3
70009,Tentukan Set Makhluk,Makhluk,@1||@2|dalam set|@3
70010,Penentuan Wilayah,Makhluk,@1||@2| di wilayah|@3
70011,Penentuan Status,Makhluk,@1||@2|memperoleh|@3|efek
70012,Grup makhluk,Makhluk,Team|@1
70013,Pilih Jenis Makhluk,Makhluk,Team|@1
70014,Jenis Makhluk (Acak),Makhluk,Jenis makhluk (Acak)
70015,Jenis Makhluk,Makhluk,|@1
70016,Grup Makhluk,Makhluk,|@1
70017,Tampilan Makhluk Tertentu,Makhluk,@1|Tampilan
70018,Grup Makhluk,Makhluk,|@1
70019,Grup Jenis Makhluk,Makhluk,|@1
70020,Makhluk,Makhluk,|@1
70021,Makhluk yang menembakkan proyektil,biologi,Makhluk yang menembakkan proyektil
80001,Jumlah Makhluk di perangkatnya,Grup makhluk,Jumlah makhluk di|@1
80002,Pilih makhluk di perangkatnya,Grup makhluk,Makhluk bernomor |@2|di|@1
80003,Makhluk di perangkatnya (acak),Grup makhluk,Makhluk acak di |@1
80004,Semua Makhluk dalam Team,Grup makhluk,Semua Makhluk di|@1
80005,Semua Makhluk di Wilayah,Grup makhluk,Semua Makhluk di|@1
90001,Lokasi Drop Item,Item,Lokasi|@1
90002,Jumlah Drop Item,Item,Jumlah|@1
90003,Jumlah Item yang diubah di tas pemain,Item,Jumlah item yang telah berubah di tas pemain
90004,Tipe Barang,Item,Tipe nama|@1
90005,Penentuan Jenis,Item,@1||@2||@3
90006,Penentuan Wilayah Drop Item,Item,@1||@2|di wilayah|@3
90007,Penentuan Wilayah Projektil,Item,@1||@2|di wilayah|@3
90008,Jenis drop item,Item,Jenis|@1
90009,Jenis Item,Item,|@1
90012,Grup tipe prop.,Item,|@1
90013,Jenis Prop acak,Item,Jenis Prop acak
100001,Mode cuaca global saat ini,Dunia,Dapatkan mode cuaca global saat ini
100002,Jarak dari posisi ke posisi,Dunia,Jarak antara |@1| dan |@2
100003,Perbandingan cuaca,Dunia,@1||@2||@3
100004,Perbandingan blok,Dunia,@1||@2||@3
100005,Pengalihan blok,Dunia,Alihkan keadaan blok di |@1
100006,Penentuan Lokasi di Wilayah,Dunia,@1||@2|di wilayah|@3
100007,Pilih Jenis Blok di Lokasi Tertentu,Dunia,Jenis blok |@1
100008,Arah: dari satu posisi ke yang lain,Dunia,Arah dari |@1| ke |@2
100009,Arah mutlak tiga koordinat sumbu,Dunia,"The direction of X|@1|, Y|@2|, Z|@3"
100010,Arah koordinat bola mutlak,Dunia,"The direction of azimuth angle |@1|, elevation|@2"
100011,Posisi,Dunia,|@1
100012,Wilayah,Dunia,|@1
100013,Timer,Dunia,|@1
100014,Grup lokasi,Dunia,|@1
100015,Grup wilayah,Dunia,|@1
100016,Group Timer,Dunia,|@1
100017,Cuaca Acak,Dunia,Cuaca Acak
100018,Cuaca untuk grup medan,Dunia,@1| cuaca
110001,Pilih Kendaraan,Dunia,Kendaraan |@1
120001,jenis acak efek khusus,Efek spesial,jenis acak efek khusus
120002,Jenis Efek Spesial,Efek spesial,|@1
120003,Grup tipe efek khusus,Efek spesial,|@1
130001,Iklan saat ini,Bermain,Iklan saat ini
140001,Jenis Balok,Balok,|@1
140002,Grup tipe blok.,Balok,|@1
150001,Kotak Teks,Tampilan Informasi,"Konten Kotak Teks: |@1|, Ukuran font: |@2|, Transparansi background: |@3|%, ID: |@4"
150002,Teks Mengapung,Tampilan Informasi,"Konten Teks Mengapung: |@1|, Ukuran font: |@2|, ID: |@3|"
150003,Progress Bar,Tampilan Informasi,"Pengaturan Progress Bar, Nilai saat ini: |@1|, Nilai max: |@2|, Warna Bar: |@3|, ID: |@4|"
150004,Panah menunjuk ke objek target,Tampilan Informasi,"Arahkan ke |@1|, ukuran panah |@2|, warna |@3|, ID |@4"
150005,Panah menunjuk ke lokasi,Tampilan Informasi,"Arahkan ke |@1|, ukuran panah |@2|, warna |@3|, ID |@4"
150006,Area panduan menunjuk ke objek target,Tampilan Informasi,"Arahkan ke |@1|, ukuran area panduan |@2|, warna |@3|, ID |@4"
150007,Area panduan menunjuk ke lokasi,Tampilan Informasi,"Arahkan ke |@1|, ukuran area panduan |@2|, warna |@3|, ID |@4"
150008,Arahan menunjuk ke objek target,Tampilan Informasi,"Arahkan ke |@1|, ukuran guideline adalah |@2|, warna |@3|, ID |@4"
150009,Arahan menunjuk ke lokasi,Tampilan Informasi,"Arahkan ke |@1|, ukuran guideline adalah |@2|, warna |@3|, ID |@4"
160001,Warna Acak,Warna,Warna acak
170001,ID posisi di grup posisi,ID posisi di grup posisi,ID posisi |@2| di |@1
170002,Lokasi acak di grup lokasi,Lokasi acak di grup lokasi,Posisi acak di |@1
180001,ID Area di grup area,ID Area di grup area,ID area |@2| di |@1
180002,Area acak dalam grup area,Area acak dalam grup area,Area acak di |@1
190001,ID nilai dalam grup nilai,ID nilai dalam grup nilai,Nilai ID |@2| di |@1
190002,Nilai acak dalam grup nilai,Nilai acak dalam grup nilai,Nilai acak dalam |@1
190003,Dapatkan nilai maksimum dalam grup angka,Dapatkan nilai maksimum dalam grup angka,Dapatkan nilai maksimum dalam |@1
190004,Dapatkan nilai minimum dalam grup angka,Dapatkan nilai minimum dalam grup angka,Dapatkan nilai minimum di |@1
200001,ID string dalam grup string,ID string dalam grup string,ID string |@2| di |@1
200002,String acak dalam grup string,String acak dalam grup string,String acak di |@1
210001,ID Boolean dalam grup nilai Boolean,ID Boolean dalam grup nilai Boolean,ID boolean |@2| di |@1
210002,Nilai Boolean acak dalam grup nilai Boolean,Nilai Boolean acak dalam grup nilai Boolean,Boolean acak dalam |@1
220001,Blok ID di grup tipe blok,Blokir ID di grup tipe blok,ID blok |@2| di |@1
220002,Tipe blok acak dalam grup tipe blok,Tipe blok acak dalam grup tipe blok,Jenis blok acak di |@1
230001,ID item dalam grup tipe item,ID item dalam grup tipe item,ID barang |@2| di |@1
230002,Jenis item acak dalam grup tipe item,Jenis item acak dalam grup tipe item,Jenis item acak di |@1
240001,ID Makhluk di grup tipe makhluk,ID Makhluk di grup tipe makhluk,ID makhluk |@2| di |@1
240002,Jenis makhluk acak dalam kelompok jenis makhluk,Jenis makhluk acak dalam kelompok jenis makhluk,Jenis makhluk acak di |@1
250001,ID pengatur waktu di grup pengatur waktu,ID pengatur waktu di grup pengatur waktu,ID pengatur waktu |@2| di |@1
250002,Timer acak di grup timer,Timer acak di grup timer,Ketik timer acak di |@1
260001,ID efek khusus dalam grup tipe efek khusus,ID efek khusus dalam grup tipe efek khusus,ID efek khusus |@2| di |@1
260002,Jenis efek khusus acak dalam grup jenis efek khusus,Jenis efek khusus acak dalam grup jenis efek khusus,Jenis efek khusus acak di |@1
270004,Dapatkan ikon jenis barang,Umum,|@1
270005,Dapatkan ikon makhluk,Umum,|@1
270006,Dapatkan ikon tipe makhluk,Umum,|@1
270007,Dapatkan ikon status,Umum,|@1
270008,Dapatkan ikon tipe blok,Umum,|@1
270009,Dapatkan ikon karakter pemain saat ini,Umum,Saat ini ||1| ikon karakter
270010,Dapatkan ikon bilah pintasan pemain,Umum,Setel ||1| bilah pintasan sebagai ikon |@2
280001,Jenis lemparan acak,Object Melempar,Jenis lemparan acak
290001,Suara acak,Suara,Suara acak
300001,Lokasi diperoleh oleh server,Penyimpanan data,Lokasi diperoleh oleh server
300002,Area yang diperoleh server,Penyimpanan data,Area yang diperoleh server
300003,Nilai yang diperoleh server,Penyimpanan data,Nilai yang diperoleh server
300004,String karakter yang diperoleh oleh server,Penyimpanan data,String karakter yang diperoleh oleh server
300005,Nilai Boolean yang diperoleh server,Penyimpanan data,Nilai Boolean yang diperoleh server
300006,Pemain diperoleh oleh server,Penyimpanan data,Pemain diperoleh oleh server
300007,Jenis blok yang diperoleh oleh server,Penyimpanan data,Jenis blok yang diperoleh oleh server
300008,Jenis item yang diperoleh oleh server,Penyimpanan data,Jenis item yang diperoleh oleh server
300009,Makhluk yang diperoleh oleh server,Penyimpanan data,Makhluk yang diperoleh oleh server
300010,Jenis makhluk yang diperoleh oleh server,Penyimpanan data,Jenis makhluk yang diperoleh oleh server
300011,Timer diperoleh oleh server,Penyimpanan data,Timer diperoleh oleh server
300012,Jenis efek yang diperoleh oleh server,Penyimpanan data,Jenis efek yang diperoleh oleh server
300013,Nomor yang diperoleh oleh server,Penyimpanan data,Nomor yang diperoleh oleh server
300014,Nama yang diperoleh oleh server (kunci),Penyimpanan data,Dapatkan nama indeks server dan papan peringkat (kunci)
300015,Pemain diperoleh oleh server (kunci),Penyimpanan data,Dapatkan nama indeks server dan pemain (kunci)
