ID,名称,描述,说明
1010001,Perubahan cuaca,Saat cuaca berubah,"Cuaca berubah dari cerah menjadi hujan, saat hujan menjadi cerah"
1010002,Saat cuaca di medan grup berubah,Saat cuaca untuk%1 tertentu berubah,Kelompok umum: dataran / hutan / tebing / hutan / cekungan / pulau kosong / sungai; kelompok laut: pantai / laut dalam / laut dangkal / pulau; kelompok gurun: gurun / oasis; zona dingin biasa: hutan jenis konifera / lapangan es; zona dingin puncak: gunung es; kelompok vulkanik: gunung berapi; kelompok lahan basah: hutan hujan / rawa; pulau datar dan kosong
1020001,Pembuatan Game,Saat game dibuat,"Setelah hitungan mundur untuk memasuki game 3, 2, 1 selesai, saat game dimulai"
1020002,Waktu bermain,Saat waktu permainan adalah%1,Ketika waktu permainan saat ini berada pada titik waktu yang ditentukan
1020003,Permainan runtime,Saat permainan berjalan%1 detik,"Setelah memasuki permainan, jalankan setelah waktu yang ditentukan"
1020004,Pemain menang,Ketika pemain menang,
1020005,Pemain gagal,"Kapan, pemain, gagal",
1020007,Pemain memasuki permainan,Saat pemain memasuki permainan,
1020008,Pemain meninggalkan permainan,Saat pemain meninggalkan permainan,
1020009,Pengatur waktu mengubah,Saat pengatur waktu berubah,Ketika setiap variabel timer di perpustakaan variabel berubah
1020010,Tentukan perubahan waktu,Ketika%1 berubah,Ketika variabel timer yang ditentukan dalam pustaka variabel berubah
1020011,Kapan pun permainan berjalan (loop),Setiap%1 detik permainan berjalan,"1. Nilai minimum adalah 0,05 detik, 0.01-0 0,09 akan memakan waktu 0,05
2. Permainan akan memicu (loop) setiap kali berjalan untuk waktu yang ditentukan"
1020012,Saat ruang layanan cloud menerima pesan apa pun,Saat ruang server cloud menerima informasi apa pun,
1020013,Menerima siaran,"Saat diterima, siarkan%1",
1020014,Kondisi ditetapkan,Ketika%1 ditetapkan,
1020015,Saat menempatkan cetak biru,Saat cetak biru di tempatkan,
1020016,Saat ruang server awan menerima pesan siaran server,Saat ruang server cloud menerima siaran server%1,
1030001,Pemain dikalahkan,Saat pemain dikalahkan,
1030002,Kebangkitan pemain,Saat pemain dibangkitkan,
1030003,Atribut Pemain Berubah,Saat atribut%1 pemain berubah,"Saat atribut pemain, seperti HP, berubah"
1030004,Pemain mengalahkan target,"Kapan, pemain, mengalahkan target","Ketika seorang pemain mengalahkan pemain lain, makhluk. Pemain yang kalah, makhluk adalah pemain target dalam acara tersebut, makhluk"
1030005,Serangan pemain,Saat pemain mulai menyerang,
1030006,Serangan pemain memukul,"Kapan, pemain, serangan itu terjadi","Ketika seorang pemain menyerang dan mengenai pemain lain, makhluk. Pemain yang terkena, makhluk adalah pemain target dalam acara tersebut, makhluk"
1030007,Pemain memberikan kerusakan,"Kapan, pemain, memberikan kerusakan","Ketika seorang pemain memberikan kerusakan pada pemain atau makhluk lain. Pemain yang terluka, makhluk itu adalah pemain target dalam acara tersebut, makhluk itu"
1030008,Pemain menerima kerusakan,Saat pemain terluka,
1030009,Gerakan pemain,Saat pemain menjauh satu ruang,
1030010,Pemain menggunakan ekspresi animasi,Saat pemain menggunakan ekspresi animasi,
1030011,Pemain menggunakan item,"Kapan, pemain, gunakan alat peraga",
1030012,Pemain mendapatkan item,Ketika pemain mendapatkan item,
1030013,Pemain mengkonsumsi item,Saat pemain mengkonsumsi item,
1030014,Pemain mengklik makhluk atau pemain,"Kapan, pemain, klik makhluk atau pemain",
1030015,Pemain mengklik blok,Saat pemain mengklik kotak,
1030016,Perjalanan pemain,Saat pemain mengendarai mount / kendaraan,
1030017,Pemain membatalkan perjalanan,Saat pemain membatalkan perjalanan,
1030018,Perubahan keadaan gerak pemain,Saat pemain memulai%1,
1030019,Pemain bertabrakan,Saat pemain bertabrakan dengan pemain / makhluk apa pun,
1030020,Pemain mengambil item,Saat pemain mengambil drop,
1030021,Area masuk pemain,Saat pemain memasuki%1,"Memasuki dan meninggalkan acara area tidak dapat memicu tindakan terkait pengembang, seperti memutar iklan, menampilkan jendela pembelian produk, membuka toko pengembang"
1030022,Pemain meninggalkan area,Saat pemain meninggalkan%1,"Memasuki dan meninggalkan acara area tidak dapat memicu tindakan terkait pengembang, seperti memutar iklan, menampilkan jendela pembelian produk, membuka toko pengembang"
1030023,Perubahan bilah peralatan pemain,Saat bilah peralatan pemain berubah,
1030024,Perubahan Bar Ransel Pemain,Saat bilah ransel pemain berubah,
1030025,Perubahan bilah pintasan pemain,Saat bilah pintasan pemain berubah,
1030026,Pemain memilih bilah pintasan,Saat pemain memilih bilah pintasan,
1030027,Pemain membuang item,"Kapan, pemain, membuang item",
1030028,Pemain memakai gigi,"Saat, pemain, kenakan perlengkapan Anda",
1030029,Pemain melepas peralatan,"Saat, pemain, lepas perlengkapan Anda",
1030030,Pemain menampilkan informasi obrolan,Saat kotak obrolan pemain menunjukkan%1,
1030031,Pemain memasuki informasi obrolan,Saat pemain mengirim%1 di kotak obrolan,
1030032,Pemain menekan tombol,"Kapan, pemain, tekan%1",
1030033,Pemain menekan tombol panjang,"Saat pemain, tekan lama%1",
1030034,Tombol rilis pemain,Saat pemain merilis%1,
1030035,Pemain mendapatkan status,Ketika pemain mendapatkan status,
1030036,Pemain kehilangan status,Ketika pemain kehilangan status,
1030037,Pemain kehilangan status tertentu,Ketika pemain kehilangan status%1,
1030038,Level pemain telah berubah,Saat level pemain berubah,
1030039,Pemain memasuki informasi obrolan (termasuk string),Saat ada pemain yang memasukkan pesan berisi%1 di kotak obrolan,Ketika pemain memasukkan teks yang ditentukan di kotak obrolan dan mengirimkannya
1030040,Saat pemain memilih item yang ditentukan,Saat pemain memilih%1 di bilah pintasan,
1030041,Pemain mengundang teman,Saat pemain mengajak teman,
1040001,Makhluk dirugikan,Saat makhluk itu terluka,
1040002,Serangan biologis,Saat makhluk mulai menyerang,
1040003,Serangan biologis melanda,Saat serangan makhluk itu menghantam,
1040004,Makhluk menyebabkan kerusakan,"Ketika, makhluk, menyebabkan kerusakan",
1040005,Makhluk dikalahkan,Ketika makhluk dikalahkan,
1040006,Makhluk mengalahkan target,Saat makhluk itu mengalahkan target,
1040007,Area masuk biologis,Saat makhluk itu memasuki%1,
1040008,Area keberangkatan biologis,Saat makhluk itu meninggalkan%1,
1040009,Perubahan keadaan gerak biologis,Saat makhluk itu mulai%1,
1040010,Tabrakan biologis,Ketika makhluk bertabrakan dengan pemain / makhluk apa pun,
1040011,Perubahan sifat biologis,Ketika properti%1 dari makhluk itu berubah,
1040012,Makhluk diciptakan,Ketika makhluk diciptakan,
1040013,Negara akuisisi biologis,Ketika makhluk memperoleh negara,
1040014,Kehilangan biologis negara,Ketika makhluk kehilangan keadaannya,
1040015,Makhluk kehilangan negara yang ditunjuk,Ketika makhluk itu kehilangan%1,
1040016,Makhluk ini dirugikan,Ketika makhluk seperti itu dirugikan,
1040017,Makhluk ini menyerang,Ketika makhluk seperti itu mulai menyerang,
1040018,Serangan makhluk ini mengenai,Ketika makhluk seperti itu menyerang target,
1040019,Makhluk ini memberikan kerusakan,Ketika makhluk seperti itu menyebabkan kerusakan pada target,
1040020,Makhluk ini dikalahkan,Ketika makhluk seperti itu dikalahkan,
1040021,Makhluk ini mengalahkan target,Ketika makhluk seperti itu mengalahkan target,
1040022,Keadaan tindakan makhluk ini berubah,Ketika makhluk seperti itu dimulai%1,
1040023,Makhluk ini bertabrakan,Ketika makhluk seperti itu bertabrakan dengan pemain / makhluk apa pun,
1040024,Sifat biologis ini berubah,"Ketika, sifat-sifat makhluk seperti itu%1 berubah",
1040025,Makhluk ini diciptakan,Ketika makhluk seperti itu diciptakan,
1040026,Makhluk ini mendapatkan status,Ketika makhluk seperti itu memperoleh keadaan,
1040027,Makhluk ini kehilangan keadaannya,Ketika makhluk seperti itu kehilangan keadaannya,
1040028,Makhluk ini diklik oleh pemain,Ketika makhluk seperti itu diklik oleh pemain,
1050001,Blok telah digali,Saat kubus digali,
1050002,Kubus hancur,Ketika kubus dihancurkan,
1050003,Perubahan status sakelar blok,Saat status sakelar blok berubah,
1050004,Item wadah penyimpanan telah berubah,Ketika isi wadah penyimpanan berubah,
1050005,Blok dibuat,Saat blok dibuat,
1050006,Wadah penyimpanan dimasukkan ke dalam alat peraga,Saat wadah penyimpanan dimasukkan ke dalam penyangga,
1050007,Wadah penyimpanan disingkirkan alat peraga,Saat wadah penyimpanan dikeluarkan dari item,
1050008,Blok ditambang,Saat blok ditambang,
1050009,Blok terganggu oleh penambangan,Saat blok ditambang tetapi terganggu,
1050010,Blok ini ditambang,Ketika blok seperti itu ditambang,
1050011,Blok ini telah digali,"Ketika, blok seperti itu, penambangan selesai",
1050012,Blok ini terganggu oleh penambangan,"Ketika, untuk blok seperti itu, penambangan terganggu",
1050013,Blok ini hancur,Ketika blok seperti itu dihancurkan,
1050014,Blok ini dibuat,Ketika blok seperti itu dibuat,
1050015,Perubahan status sakelar blok ini,Ketika keadaan sakelar dari blok seperti itu berubah,
1050016,Blok ini diperoleh,Ketika pemain / makhluk mendapat blok seperti itu,
1050017,Blok ini diklik oleh pemain,Saat pemain mengklik blok seperti itu,
1050018,Perubahan warna persegi,Saat warna kubus berubah,
1060001,Proyektil mengenai target,Saat lemparan mengenai pemain / makhluk / blok mana pun,
1060002,Area masuk buangan,"Saat melempar benda, masukkan%1",
1060003,Pelempar meninggalkan area,Saat lemparan menyisakan%1,
1060004,Jatuhkan area masuk,Saat objek jatuh memasuki%1,
1060005,Area drop off,Saat objek jatuh meninggalkan%1,
1060006,Jatuh diangkat,"Ketika, benda yang jatuh diambil",
1060007,Jatuh menghilang,"Saat, jatuh, menghilang",
1060008,Pelempar diciptakan,Saat lemparan tercipta,
1060009,,,
1060010,Barang ini dibuang,Ketika alat peraga seperti itu dibuang,
1060011,Item ini menghilang,"Ketika alat peraga seperti itu, drop menghilang",
1060012,Barang ini rusak,Ketika alat peraga seperti itu rusak,
1060013,Proyektil ini mengenai target,Ketika proyektil seperti itu mengenai target apa pun,
1060014,Lemparan ini dibuat atau dikonsumsi,Ketika proyektil tersebut dibuat atau dikonsumsi,
1060015,Item ini dikonsumsi,Ketika barang-barang tersebut dikonsumsi,
1060016,Paket ini dibuka,Ketika alat peraga paket seperti itu dibuka,
1060017,Peralatan ini dipasang,Ketika peralatan dan alat peraga seperti itu dipasang,
1060018,Peralatan ini dilepas,Ketika peralatan dan alat peraga tersebut dilepas,
1060019,Peralatan ini hancur,Ketika item peralatan tersebut dihancurkan oleh pemain / makhluk,
1060020,Barang ini digunakan,Ketika item tersebut digunakan oleh pemain,
1060021,Ketika drop dibuat dengan cara yang ditentukan,Saat drop dibuat sebagai%1,
1060022,Ketika setetes dibuat dengan cara apa pun,Ketika setetes dibuat dengan cara apa pun,
1070001,Efek lokasi dibuat,Saat efek khusus dibuat di lokasi,
1070002,Efek khusus dibuat pada pemain,Saat efek khusus dibuat pada pemain,
1070003,Efek khusus pada makhluk itu dibuat,Ketika efek khusus dibuat pada makhluk,
1070004,Efek objek lempar tercipta,Ketika efek khusus dibuat pada lemparan,
1070005,Ketika efek khusus dibuat pada objek yang dijatuhkan,Ketika efek khusus dibuat pada objek yang dijatuhkan,
1080001,Keadaan ini diperoleh oleh makhluk,Ketika suatu organisme memperoleh keadaan seperti itu,
1080002,Keadaan ini dikeluarkan dari makhluk itu,Ketika makhluk hidup kehilangan keadaan ini,
1080003,Status ini diperoleh pemain,"Kapan, pemain mendapatkan keadaan seperti itu",
1080004,Status ini dihapus dari pemain,Ketika pemain kehilangan keadaan seperti itu,
1090001,Resep ini lengkap,Ketika formulasi tersebut disintesis,
1090002,Formulasi sintesis selesai,Ketika rumus disintesis,
1100001,Mencair dimulai,"Saat, peleburan, dimulai",
1100002,Peleburan selesai,"Kapan, peleburan, selesai",
1100003,Peleburan ini dimulai,Saat peleburan seperti itu dimulai,
1100004,Peleburan ini selesai,Ketika peleburan seperti itu selesai,
110001,Kendaraan pemain,Kendaraan untuk%1,
1110001,Plot dimulai,Saat plot dimulai,
1110002,Akhir dari cerita,Saat plot berakhir,
1110003,Plot ini dimulai,"Kapan, plot ini dimulai",
1110004,Akhir episode ini,Saat episode ini berakhir,
1120001,Tombol dirilis,Tombol apa pun pada antarmuka saat ini dirilis,
1120002,Antarmuka dibuka,Antarmuka saat ini dibuka,
1120003,Antarmuka ditutup,Antarmuka saat ini ditutup,
1120004,Tombol ditekan,Tombol apa pun pada antarmuka saat ini ditekan,
1120005,Pemain memasukkan string pada antarmuka,Saat pemain memasukkan string apa pun di antarmuka,
1120006,Tombol antarmuka saat ini dirilis,%1 dari antarmuka saat ini dirilis,
1120007,Tombol antarmuka saat ini ditekan,%1 dari antarmuka saat ini ditekan,
1120008,Saat pemain memasuki konten di kotak teks antarmuka saat ini,Saat pemain memasuki konten di%1 dari antarmuka saat ini,
1130001,pemutaran musik,Saat musik antarmuka mulai diputar,
1140001,Pembelian Anggota Utama (1 bulan),Saat pemain membeli keanggotaan 1 bulan,
1140002,Purchase Membership (3 Months),When player subscribed 3 months of Membership,
1140003,Setiap pemain membeli atau mengekstrak item toko pengembang,Saat pemain membeli atau mengekstrak item toko pengembang,
120001,Jenis efek acak,Jenis efek acak,
120002,Tipe Efek,Tipe Efek%1,
120003,Grup Jenis Efek,Tipe Efek Grup%1,
130001,Dapatkan nama slot iklan yang sedang diputar,Dapatkan nama slot iklan yang sedang diputar,
140001,Jenis blok,Tipe Blok%1,
140002,Grup Tipe Blok,Grup Tipe Blok%1,
140003,Nama tipe blok,Ketik nama untuk%1,
140004,Deskripsi Jenis Blok,Deskripsi Plugin untuk%1,
140005,Penampilan jenis blok,Penampilan%1,
150001,Papan kata,"Papan teks dengan konten%1, ukuran font%2, opacity%3%, angka%4, Pemindahan baris otomatis %5",
150002,teks mengambang,"Teks mengambang dengan konten%1, ukuran font%2, nomor%3",
150003,bar kemajuan,"Nilai saat ini%1, bilah kemajuan untuk nilai maksimum%2, warna%3, angka%4",
150004,Panah menunjuk ke objek,"Panah menunjuk ke%1, ukuran%2, warna%3, angka%4",
150005,Panah menunjuk ke lokasi,"Panah menunjuk ke%1, ukuran%2, warna%3, angka%4",
150006,Arahkan permukaan ke objek,"Panduan permukaan menunjuk ke%1, ukuran%2, warna%3, angka%4",
150007,Permukaan panduan penunjuk posisi,"Panduan permukaan menunjuk ke%1, ukuran%2, warna%3, angka%4",
150008,Garis panduan ke objek,"Panduan untuk%1, ukuran%2, warna%3, angka%4",
150009,Garis panduan menunjuk ke lokasi,"Panduan untuk%1, ukuran%2, warna%3, angka%4",
150010,gambar,"Gambar%1, ukuran%2x, opacity%3%, angka%4",
160001,Warna acak,Warna acak,
170001,Lokasi nomor yang ditentukan dalam grup lokasi,Lokasi bernomor%2 di%1,
170002,Lokasi acak di grup lokasi,Posisi acak di%1,
180001,Area bernomor yang ditentukan dalam grup area,Area bernomor%2 di%1,
180002,Area acak dalam kelompok area,Area acak di%1,
190001,Nilai numerik dari angka yang ditentukan dalam kelompok numerik,Nilai diberi nomor%2 di%1,
190002,Nilai acak dalam kelompok numerik,Nilai acak dalam%1,
190003,Dapatkan nilai maksimum dalam grup numerik,Dapatkan nilai maksimum di%1,
190004,Dapatkan nilai terkecil dalam kelompok numerik,Dapatkan nilai minimum di%1,
200001,String String String dengan nomor yang ditentukan dalam grup,%2 senar dalam%1,
200002,String Acak string dalam grup,String acak di%1,
20001,Operasi numerik,%1%2%3,
20002,surplus,%1Mod%2,
20003,nomor acak,Hasilkan bilangan bulat acak:%1 hingga%2,
20004,nilai maksimal,%1 dan%3 dari%2,
20005,habis dibagi,%1 membagi%2,
20006,Mengkoordinasikan nilai lokasi,%2 nilai koordinat%1,
20007,Sudut horizontal antar posisi,Sudut horizontal antara%1 dan%2,
20008,Sudut vertikal antar posisi,Sudut vertikal antara%1 dan%2,
20009,Eksponensiasi,%1 pangkat dari%2,
20010,segiempat,%1 pangkat dari%2,
20011,nilai absolut,Nilai absolut dari%1,
20012,fungsi trigonometri,%1%2%3,
20013,Memperbaiki fungsi logaritmik bawah,%1%2,
20014,Fungsi logaritmik bawah sewenang-wenang,Log%1%2,
20015,pembulatan,%2%1,
20016,Konversi sudut dan radian,Konversi%1 ke%2,
20019,XOR Logis,%1 XOR%2,
20020,Empat aritmatika tingkat lanjut,%1%2%3,
2010001,perbandingan numerik,%1%2%3,
2010002,nomor acak,%1%2%3,
2010003,Nilai maksimum atau minimum,%1%2%3,
2010004,habis dibagi,%1%2%3,
2010005,Mengkoordinasikan nilai lokasi,%1%2%3,
2010006,Sudut horizontal posisi dan posisi,%1%2%3,
2010007,Sudut vertikal posisi ke posisi,%1%2%3,
2010008,Eksponensiasi,%1%2%3,
2010009,segiempat,%1%2%3,
2010010,nilai absolut,%1%2%3,
2010011,fungsi trigonometri,%1%2%3,
2010012,pembulatan,%1%2%3,
2010013,Konversi sudut dan radian,%1%2%3,
2010018,Perbandingan nilai sewenang-wenang,%1%2%3,
2010019,logis dan,%1 dan%2,
2010020,logis atau,%1 atau%2,
2010021,tidak logis,Bukan%1,
2020001,Waktu bermain,%1%2%3,
2020002,Jumlah pemain,%1%2%3,
2020003,Penilaian cuaca,%1%2%3,
2020004,Penilaian gravitasi,%1%2%3,
2020005,Memicu penilaian status,%1 diaktifkan,
2020006,Pemicu penilaian status kelompok,%1 diaktifkan,
2030001,Penilaian atribut tim,%1%2%3,
2040001,Penilaian atribut pemain,%1%2%3,
2040002,Jumlah barang yang dimiliki,%1%2%3,
2040003,Penilaian nomor pemain di grup pemain,%1%2%3,
2040004,Penilaian tim pemain,%1%2%3,
2040005,Penilaian individu pemain,%1%2%3,
2040006,Orientasi pemain,%1%2%3,
2040007,Penilaian di grup pemain,%1%2 di%3,
2040008,Player is in area to determine,%1%2 is in %3,
2040009,Penilaian efek status pemain,%1%2 di%3,
2040010,Penilaian ekspresi animasi,%1%2 adalah%3,
2040011,Penilaian pengaturan pemain,%2 dari%1 adalah%3,
2040012,Pilih tombol bilah pintasan,%1%2%3,
2040013,Penilaian jenis barang genggam,%1%2%3,
2040014,Penilaian kolom peralatan,%1%2%3,
2040015,Pemain memakai penilaian peralatan,%1%2 memakai%3,
2040016,Penilaian penampilan pemain,%1%2%3,
2040017,Penilaian ruang ransel pemain,%1 shortcut bar dan ransel dapat menghemat%2%3 untuk%4,
2040018,Ransel pemain memegang alat peraga untuk menilai,%2 dari%1 memegang%3 untuk%4,
2040019,Penilaian tipe objek target,Jenis objek target dalam acara adalah%1 untuk%2,
2040020,Tentukan persahabatan pemain,%1%2 adalah hubungan pertemanan dari%3,
2040021,Whether player follows the author,%1 has %2,
2050001,Jumlah pemain dalam grup pemain,%1%2%3,
2050002,Jumlah pemain dalam grup pemain,%1%2%3,
2050003,Pemain dengan nomor yang ditentukan dalam grup pemain,%1%2%3,
2060001,sifat biologis,%1%2%3,
2060003,Penghakiman dalam kelompok biologis,%1%2 di%3,
2060004,Penilaian tipe biologis,%1%2%3,
2060005,Penilaian individu biologis,%1%2%3,
2060006,Orientasi Biologis,%1%2%3,
2060007,Creature is in area to determine,%1%2 is in %3,
2060008,Penilaian efek keadaan biologis,%1%2 di%3,
2060009,Penilaian tim biologis,%1%2%3,
2060010,Penilaian jumlah biologis dalam kelompok biologis,%1%2%3,
2060011,Penilaian pengaturan biologis,%2 dari%1 adalah%3,
2060012,Penilaian penampilan biologis,%1%2%3,
2070001,Jumlah organisme dalam bioma,%1%2%3,
2070002,Jumlah organisme yang ditentukan dalam kelompok biologis,%1%2%3,
2080001,Penghakiman jumlah benda yang dijatuhkan,%1%2%3,
2080002,Jatuhkan ada di area,%1%2 di%3,
2080003,Penilaian tipe barang,%1%2%3,
2080004,Proyektil ada di area,%1%2 di%3,
2090001,Jarak antara lokasi dan lokasi,%1%2%3,
2090002,Penilaian tipe blok,%1%2%3,
2090003,Putusan status sakelar blok,Status sakelar blok untuk%1 adalah%2,
2090004,Blok ada di penilaian area,%1%2 di%3,
2090005,Putusan orientasi blok,Blok di%1 menghadap%2 adalah%3,
2090006,Jenis blok di lokasi yang ditentukan,Tipe blok%2%3 di%1,
2090007,Putusan pengaturan blok,%2 dari%1 adalah%3,
2100001,Penilaian waktu timer,%1%2%3,
2100002,Perbandingan Boolean,%1%2%3,
2100003,Perbandingan string,%1%2%3,
2100004,Penilaian jenis musik,%1%2%3,
2100005,Dapatkan nilai dari tabel server untuk menyelesaikan penilaian,Dapatkan nilai dari tabel server atau papan peringkat penilaian lengkap adalah%1,"1. Melakukan tindakan untuk mendapatkan nilai dari tabel atau papan peringkat
2. Semua parameter acara akan dilewati (seperti memicu pemain acara, memicu makhluk acara, dll.)"
2100006,Menilai keanggotaan pemain,%1%2 Anggota Besar Dunia Mini adalah%3,
210001,Nilai Boolean dari nomor yang ditentukan dalam grup nilai Boolean,Boolean diberi nomor%2 di%1,
210002,Nilai Boolean Acak dalam Grup Boolean,Boolean acak di%1,
2110001,Kendaraan khusus pemain,%1%2%3,
2120001,penilaian efek,%1%2%3,
2130001,Putar iklan untuk menyelesaikan penilaian,Iklan yang sedang diputar ditentukan menjadi%1,
2140001,Penilaian efek status,%1%2%3,
2140002,Membangun penilaian blok,%2 dari%1 terdeteksi%3 mode deteksi%4 diperlukan%5,
2140003,Penilaian blok bangunan yang dapat dieksekusi,Deteksi blok bangunan eksekusi%2 dari%1 untuk mode deteksi%3%4 persyaratan%5,
2140004,Penilaian lingkungan operasi,Periksa apakah saat ini sedang berjalan di kelas,
2150001,Penilaian komponen,%1%2%3 dari%4,
2150002,penilaian halaman,%1%2%3,
220001,Jenis blok dengan nomor yang ditentukan dalam grup tipe blok,Jenis blok diberi nomor%2 di%1,
220002,Jenis blok acak di grup tipe blok,Jenis blok acak di%1,
221001,"Deteksi, kesamaan area",Kesamaan area deteksi: area asli%1 asal tujuan%2 mode deteksi%3,
221002,Grup tipe blok di area,Dapatkan grup tipe blok di%1,
221003,Jumlah total blok di area tersebut,Dapatkan jumlah total blok di%1,
221004,Jumlah blok dari jenis yang ditentukan di area,Dapatkan jumlah blok tipe%2 di%1,
230001,Jenis item dengan nomor yang ditentukan dalam grup tipe item,Jenis barang bernomor%2 di%1,
230002,Tipe item acak dalam grup tipe item,Tipe item acak di%1,
240001,Jenis organisme dengan nomor yang ditentukan dalam kelompok tipe biologis,Tipe biologis bernomor%2 di%1,
240002,Tipe biologis acak dalam kelompok tipe biologis,Tipe makhluk acak di%1,
250001,Timer dengan nomor yang ditentukan dalam grup timer,Timer diberi nomor%2 di%1,
250002,Pengatur waktu acak di grup pengatur waktu,Pengatur waktu acak di%1,
260001,Jenis efek dengan nomor yang ditentukan dalam kelompok tipe efek,Tipe efek bernomor%2 di%1,
260002,Jenis efek acak dalam kelompok tipe efek,Tipe efek acak di%1,
270004,Ikon untuk tipe item,Ikon untuk%1,
270005,Ikon biologis,Ikon untuk%1,
270006,Ikon tipe makhluk,Ikon untuk%1,
270007,Ikon status,Ikon untuk%1,
270008,Ikon tipe blok,Ikon untuk%1,
270009,Ikon karakter pemain saat ini,Ikon untuk peran%1 saat ini,
270010,Dapatkan ikon bilah pintasan pemain,%1 ikon bilah pintas untuk%2,
280001,Jenis lemparan acak,Jenis lemparan acak,
290001,Suara acak,Suara acak,
300001,Lokasi yang diperoleh server,Lokasi yang diperoleh server,
300002,Area yang diakuisisi oleh server,Area yang diakuisisi oleh server,
