ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
56,Snowe,Salah satu anak kembar yang baru datang ke Mini World. Snowe suka meluangkan waktunya untuk membantu orang. Dia berharap bisa menemukan banyak teman di Mini World.,@Null@,Efek Spesial: Dikelilingi oleh bunga-bunga,Avatar: Unlock foto profil Snowe,Jejak Kaki: Meninggalkan jejak kaki berbentung pita oriental,,,
57,Kakek Lin,"Meski terlihat seperti kakek yang nakal. Dia adalah guru dari Pendekar Li dan Pendekar Jinli. Setelah bertarung berpuluh-puluh tahun lamanya, ilmu bela diri dia bukanlah sesuatu yang perlu ditanyakan lagi.",Unlock dari event,@Null@,Avatar: Unlock foto profil Kakek Lin,Jejak Kaki: Meninggalkan jejak kaki berbentung cucurbit,,,
58,Bumblebee,"Aku Bumblebee, sabahat kamu. Optimus Prime, aku rela berkorban demi perdamaian.",@Null@,Efek Spesial: Dapat berubah bentuk!,Avatar: Unlock foto profil Bumblebee,Jejak Kaki: Meninggalkan jejak kaki berbentuk logo Autobot,#cda5b0aBerubah: Klik tombol di sebelah kanan untuk berubah #n,#cda5b0aSkill Eksklusif Transformers: Bumblebee Slash!#n,
59,Peri Bunga,Peri Bunga suka berjalan-jalan di kebun. Dia suka menanam bunga di sekitar rumahnya dan anak-anak akan tertarik dengan aroma bunganya. Energi magic star dapat membawa perubahan yang luar biasa pada bunga-bunga.,@Null@,Efek Spesial: Dikelilingi oleh cahaya,Avatar: Unlock foto profil Peri Bunga,@Null@,,,
60,Arell,"Arell, bintang keberuntungan dari langit yang dapat mewujudkan mimpi. Ketika seseorang membuat sebuah wish, Arell akan mendengarkan dan mewujudkannya.",@Null@,Efek Spesial: Dikelilingi oleh pelangi,Avatar: Unlock foto profil Arell,@Null@,,,
61,Macan Tutul Salju,"Lahir di gunung salju, dipilih untuk menjadi pelindung dataran tinggi. Dia sangat lembut dan berani untuk membela rumahnya.",Unlock dari event,Efek Spesial: Dikelilingi oleh salju,Avatar: Unlock foto profil Macan Tutul Salju,@Null@,,,
62,Ellie,Ellie dibawa ke wonderland. Ini adalah sebuah petualangan yang tidak diketahui. Tapi Mr. Kelinci adalah teman terbaik. Dia akan selalu di sisinya.,@Null@,Efek Spesial: Dikelilingi oleh bunga-bunga,Avatar: Unlock foto profil Ellie,@Null@,,,
63,Ninja Frog,"Ninja Frog belajar ninjutsu sejak usianya masih muda. Sekarang dia telah menjadi seorang guru. Terkadang, dia sangat merindukan masa-masa ketika dia bisa berbaring di pinggir kolam.",Unlock dari event,@Null@,Avatar: Unlock foto profil Ninja Frog,Jejak Kaki: Meninggalkan jejak kaki katak,,,
64,Starscream,Starscream merasa bahwa dia dilahirkan untuk menjadi pemimpin Decepticon. Dia memiliki lidah yang tajam dan sering bersaing dengan Megatron  untuk kekuasaan dan keuntungan.,@Null@,Efek Spesial: Dapat berubah bentuk!,Avatar: Unlock foto profil Starscream,Jejak Kaki: Meninggalkan jejak kaki berbentuk logo Autobot,#cda5b0aBerubah: Klik tombol di sebelah kanan untuk berubah #n,#cda5b0aSkill Eksklusif Transformers: Air Alert!#n,
65,Hot Rod,Tenang dan penuh tanggung jawab. Dia adalah pemimpin masa depan Autobot. Harapan baru untuk perdamaian alam semesta. Tak kenal takut walaupun di situasi yang berbahaya.,@Null@,Efek Spesial: Dapat berubah bentuk!,Avatar: Unlock foto profil Hot Rod,Jejak Kaki: Meninggalkan jejak kaki berbentuk logo Autobot,#cda5b0aBerubah: Klik tombol di sebelah kanan untuk berubah #n,#cda5b0aSkill Eksklusif Transformers: Petir Merah!#n,
66,Galvatron,Lebih kuat dan lebih kejam daripada Megatron. Kepercaya diri dan ambisinya untuk menaklukkan dan memerintah tidak tertandingi. Dia adalah perwujudan kekuatan.,@Null@,Efek Spesial: Dapat berubah bentuk!,Avatar: Unlock foto profil Galvatron,Jejak Kaki: Meninggalkan jejak kaki berbentuk logo Autobot,#cda5b0aBerubah: Klik tombol di sebelah kanan untuk berubah #n,#cda5b0aSkill Eksklusif Transformers: Laser Fusion!#n,
67,Raul,"Hidup di dunia nyata dan virtual, Raul suka menyesaikan permasalahnya seperti level di game. Jika keberuntungan dan keuntungan tidak menyelesaikannya, waktu yang akan menyelesaikannya. Orang akan tumbuh seiring berjalannya waktu.",Unlock dari event,Efek Spesial: Dikelilingi oleh karakter huruf,Avatar: Unlock foto profil Raul,@Null@,,,
68,Lynn,Lynn suka membawa Cube pergi ke dunia nyata dan virtual. Lynn suka pertualang mengelilingi dunia. Dia suka mecari dan menyentuh lampu neon.,Unlock dari event,Efek Spesial: Dikelilingi oleh partikel ungu.,Avatar: Unlock foto profil Lynn,@Null@,,,
69,Cyan,"Sebagai anak pemilik workshop bakcang pertama di dunia. Cyan dan orangtuanya membuat kesepakatan, selama Cyan dapat mempertahankan reputasi workshop bakcang, maka dia dapat terus belajar guzheng. Mewarisi workshop bakcang dan menjadi master guzheng adalah dua keinginannya.",@Null@,Efek Spesial: Dikelilingi oleh daun.,Avatar: Unlock foto profil Cyan,@Null@,,,
70,Twilight Sparkle,Twilight memang yang terpintar. Dia sangat suka membaca dan mempunyai sifat kepemimpinan. Putri Celestia suka membantu Twilight mempelajari keajaiban persahabatan.,@Null@,Efek Spesial: Dikelilingi oleh partikel magic.,Avatar: Unlock foto profil Twilight Sparkle,@Null@,,,
71,Putri Celestia,Penguasa Kerajaan Equestria yang mempunyai kekuatan ajaib namun tetap manis. Kue adalah kesukaan Putri Celestia,@Null@,Efek Spesial: Dikelilingi oleh partikel emas.,Avatar: Unlock foto profil Putri Celestia,@Null@,,,
72,Fluttershy,Fluttershy tinggal di pondok kayu yang ada di ujung Lembah Pony. Dia adalah teman berbagai jenis binatang. Fluttershy sering menjadi simbol kebaikan dan harmoni.,@Null@,Efek Spesial: Dikelilingi oleh partikel emas.,Avatar: Unlock foto profil Fluttershy,@Null@,,,
73,Putri Luna,"Putri Luna adalah saudara dari Putri Celestia. Pemimpi ke-dua di Equestria. Dia menguasai malam, mimpi, dan bulan. Putri Luna suka menolong pony dari mimpi buruk. Dia berhati baik.",Unlock dari event,Efek Spesial: Dikelilingi oleh bulan,Avatar: Unlock foto profil Putri Luna,@Null@,,,
74,Grimlock,Grimlock adalah komando terkuat Dinobot. Mempunyai kepribadian yang berani membantu dia memimpin Dinobot dan Autobot.,Unlock dari event,Efek Spesial: Percikan elektromagnetik,Avatar: Unlock foto profil Grimlock,Jejak Kaki: Meninggalkan jejak kaki berbentuk logo Autobot,#cda5b0aBerubah: Klik tombol di sebelah kanan untuk berubah #n,#cda5b0aSkill Eksklusif Transformers: Raungan Naga!#n,
75,Swoop,"Kepribadian yang berani tapi sangat menjengkelkan adalah ciri khas Swoop. Namun, dia adalah pejuang dengan hati baik. Swoop mempunyai peran yang besar di tim Dinobot.",@Null@,Efek Spesial: Percikan elektromagnetik,Avatar: Unlock foto profil Swoop,Jejak Kaki: Meninggalkan jejak kaki berbentuk logo Autobot,#cda5b0aBerubah: Klik tombol di sebelah kanan untuk berubah #n,#cda5b0aSkill Eksklusif Transformers: Sayap Terbang!#n,
76,Snarl,Snarl adalah tipe yang selalu di luar grup. Dia tidak suka ikut campur tentang strategi tim. Dia hanya mengikuti perintah dan bertarung. Snarl adalah yang terkuat di medan perang.,@Null@,Efek Spesial: Percikan elektromagnetik,Avatar: Unlock foto profil Snarl,Jejak Kaki: Meninggalkan jejak kaki berbentuk logo Autobot,#cda5b0aBerubah: Klik tombol di sebelah kanan untuk berubah #n,#cda5b0aSkill Eksklusif Transformers: Sapuan Ekor!#n,
77,Leonardo,"Leonardo, pelukis yang suka berpetualang dan menggunakan keajaiban lukisan untuk membawa damai ke dunia. Leonardo mempunyai karakter yang atusias dan tenang.",Unlock dari event,@Null@,Avatar: Unlock foto profil Leonardo,Jejak Kaki: Meninggalkan jejak kaki berwarna biru,,,
78,Thalia,"Tukarkan barang berhargamu dan aku akan memberi kembali yang kamu impikan! Suatu hari, surat yang ditandatangani Thalia dikirimkan kepada orang-orang yang menyukai keajaiban di dunia mini. Ada juga pulau apung dan Ratu Thalia yang cantik dan misterius di Planet Offa!",Dapat didapatkan dari Gashapon,Efek Spesial: Dikelilingi oleh bunga ungu,Avatar: Unlock foto profil Thalia,Jejak Kaki: Meninggalkan jejak kaki bunga mawar,,,
79,Uta,"Uta sangat sulit untuk ditemukan. Pada musim-musim tertentu, dia akan muncul dan menggunakan sihir untuk menyembuhkan penyakit dan mengusir mimpi buruk. Ramalan dan obat-obatannya sangat efektif namun juga misterius.",@Null@,Efek Spesial: Dikelilingi oleh karakter sihir,Avatar: Unlock foto profil Uta,@Null@,,,
80,Tn. Kelinci Laby,Kegembiraan terbesar Laby adalah kemampuannya untuk melakukan perjalanan dari planet ke planet. Sebuah kartu yang terjatuh secara kebetulan menyatukan Ellie dan Laby. Petualangan yang indah pun dimulai.,Unlock dari event,Efek Spesial: Dikelilingi oleh pola kelinci,Avatar: Unlock foto profil Tn. Kelinci Laby,@Null@,#cd65b0Berubah: Klik tombol di sebelah kanan untuk berubah menjadi kelinci atau manusia#n,#cd65b00Skill Eksklusif Tn. Kelinci Laby: Waktu Habis!#n,
81,Pinkie Pie,"Pinkie Pie adalah kuda poni pesta yang memiliki energi yang luar biasa. Dia memiliki kepribadian yang ceria, suka lelucon, suka menyanyi, dan pandai membuat makanan penutup. Dia mewakili “tawa” dalam elemen harmoni.",@Null@,Efek Spesial: Dikelilingi oleh hati berwarna merah muda,Avatar: Unlock foto profil Pinkie Pie,@Null@,,,
82,Carol,Carol menyukai permen karena permen selalu membawa keberuntungan. Seorang pemilik toko permen membawanya masuk ke toko dan bertemu hantu kecil. Dia belajar sihir di sana. Permen dari Carol pasti akan mengejutkan kamu!,@Null@,Efek Spesial: Dikelilingi oleh cahaya sihir,Avatar: Unlock foto profil Carol,@Null@,,,
83,Jerry,Jerry suka mempunyai ide yang aneh. Dia suka menggabungkan berbagai bahan untuk menghasilkan makanan yang paling tidak aneh. Hal ini menyebabkan Mermale menderita. Setiap rasa adalah tantangan paling serius bagi perut.,Dapat didapatkan dari Gashapon,@Null@,Avatar: Unlock foto profil Jerry,Jejak Kaki: Meninggalkan cipratan jejak kaki,,,
84,Squid,"Squid tidak suka hidup di bawah laut. Lautan sangat luas tetapi dia lebih suka mengapung di permukaan dan mengamati bintang-bintang yang terang. Meskipun tidak memiliki sayap, dengan bantuan teman-temannya.dia dapat membuat roket untuk terbang ke bintang.",Dapat didapatkan dari Gashapon,Efek Spesial: Dikelilingi oleh ombak dan gelembung,Avatar: Unlock foto profil Squid,@Null@,,,
85,Gigi Bear,Hidup adalah petualangan dan juga tantangan. Bahaya dapat membantu kamu untuk bertahan diri. Ikuti petualangan yang mustahil dengan Gigi Bear.,Dapat didapatkan dari Gashapon,@Null@,Avatar: Unlock foto profil Gigi Bear,Jejak Kaki: Meninggalkan jejak kaki beruang,,,
86,Starlight Glimmer,Dia mempunyai kekuatan ajaib yang tidak kalah dengan Twilight Sparkle. Starlight Glimmer adalah ketua dan teman para pony di Sekolah Persahabatan.,@Null@,Efek Spesial: Dikelilingi oleh sinar bintang,Avatar: Unlock foto profil Starlight Glimmer,@Null@,,,
87,Rainbow Dash,Rainbow Dash adalah sosok pecinta petualangan yang berani dan semangat. Dia dapat terbang sangat cepat dan meninggalkan efek pelangi. Rainbow Dash melambangkan arti kata “kesetiaan.”,@Null@,Efek Spesial: Dikelilingi oleh pelangi,Avatar: Unlock foto profil Rainbow Dash,@Null@,,,
88,Putri Cadence,"Bermulai dari seorang murid dari Putri Celestia, Putri Cadence sekarang menjadi penjaga Kerajaan Kristal setelah mengalahkan Raja Sombra. Lambang Kerajaan Kristal mewakili cinta dan cahaya.",@Null@,Efek Spesial: Dikelilingi oleh kristal,Avatar: Unlock foto profil Putri Cadence,@Null@,,,
89,Audrey,Mari pelajari keajaiban alam! Audrey dari sekolah sihir selalu berusaha keras untuk merekomendasikan sihir tentang serangga. Ketekunannya membantunya memenangkan hati Mysia.,@Null@,Efek Spesial: Dikelilingi oleh kupu-kupu,Avatar: Unlock foto profil Audrey,Jejak Kaki: Meninggalkan jejak kaki berbentuk kupu-kupu,,,
90,Predaking,Predaking adalah perpaduan ganas dari kelima Predacon dengan kemampuan superior dan mesin perang paling mematikan dari Decepticons. Dia tidak terkalahkan dan tidak bisa dihancurkan.,@Null@,Efek Spesial: Dapat berubah bentuk!,Avatar: Unlock foto profil Predaking,Jejak Kaki: Meninggalkan jejak kaki berbentuk logo Autobot,#cda5b0aBerubah: Klik tombol di sebelah kanan untuk berubah #n,#cda5b0aSkill Eksklusif Transformers: Kekuatan Ganas!#n,
91,Razorclaw,@Null@,@Null@,Efek Spesial: Dapat berubah bentuk!,Avatar: Unlock foto profil Razor,Jejak Kaki: Meninggalkan jejak kaki berbentuk logo Autobot,,,
92,Headstrong,@Null@,@Null@,Efek Spesial: Dapat berubah bentuk!,Avatar: Unlock foto profil Ironhead,Jejak Kaki: Meninggalkan jejak kaki berbentuk logo Autobot,,,
93,Tantrum,@Null@,@Null@,Efek Spesial: Dapat berubah bentuk!,Avatar: Unlock foto profil Raging Bull,Jejak Kaki: Meninggalkan jejak kaki berbentuk logo Autobot,,,
94,Rampage,@Null@,@Null@,Efek Spesial: Dapat berubah bentuk!,Avatar: Unlock foto profil Ferocious Tiger,Jejak Kaki: Meninggalkan jejak kaki berbentuk logo Autobot,,,
95,Divebomb,@Null@,@Null@,Efek Spesial: Dapat berubah bentuk!,Avatar: Unlock foto profil Condor,Jejak Kaki: Meninggalkan jejak kaki berbentuk logo Autobot,,,
96,Superion,Superion adalah penggabung Autobot pertama yang menyusun Aerialbots. Hancurkan Decepticons dan Lindungi yang Tidak Bersalah adalah prinsip utama Superion.,@Null@,Efek Spesial: Dapat berubah bentuk!,Avatar: Unlock foto profil Superion,Jejak Kaki: Meninggalkan jejak kaki berbentuk logo Autobot,#cda5b0aBerubah: Klik tombol di sebelah kanan untuk berubah #n,#cda5b0aSkill Eksklusif Transformers: Kekuatan Menakutkan!#n,
97,Silverbolt,@Null@,@Null@,Efek Spesial: Dapat berubah bentuk!,Avatar: Unlock foto profil Silver Sword,Jejak Kaki: Meninggalkan jejak kaki berbentuk logo Autobot,,,
98,Slingshot,@Null@,@Null@,Efek Spesial: Dapat berubah bentuk!,Avatar: Unlock foto profil Slingshot,Jejak Kaki: Meninggalkan jejak kaki berbentuk logo Autobot,,,
99,Skydive,@Null@,@Null@,Efek Spesial: Dapat berubah bentuk!,Avatar: Unlock foto profil Rush,Jejak Kaki: Meninggalkan jejak kaki berbentuk logo Autobot,,,
100,Air Raid,@Null@,@Null@,Efek Spesial: Dapat berubah bentuk!,Avatar: Unlock foto profil Air Raid,Jejak Kaki: Meninggalkan jejak kaki berbentuk logo Autobot,,,
101,Fireflight,@Null@,@Null@,Efek Spesial: Dapat berubah bentuk!,Avatar: Unlock foto profil Soaring Flames,Jejak Kaki: Meninggalkan jejak kaki berbentuk logo Autobot,,,
102,Shengying,Aku adalah prajurit nomor satu. Ayo lawan aku jika kamu tidak percaya!,Dapat didapatkan dari Gashapon,Jejak Kaki: Meninggalkan jejak kaki berbentuk langit,Avatar: Unlock foto profil Shengying,@Null@,,,
