iD,印尼语,印尼语
21,Pertahananchaos,Pertahananchaos+9
21,Pertahananchaos,Pertahananchaos+15
22,SerangBalik,"Ketika lawan menyerang dari jarak dekat, ada 50% kesempatan utk membuat lawan mendapat 5 cedera"
22,SerangBalik,"Ketika lawan menyerang dari jarak dekat, ada 50% kesempatan utk membuat lawan mendapat 10 cedera"
22,SerangBalik,"Ketika lawan menyerang dari jarak dekat, ada 50% kesempatan utk membuat lawan mendapat 15 cedera"
22,SerangBalik,"Ketika lawan menyerang dari jarak dekat, ada 50% kesempatan utk membuat lawan mendapat 20 cedera"
22,SerangBalik,"Ketika lawan menyerang dari jarak dekat, ada 50% kesempatan utk membuat lawan mendapat 25 cedera"
23,PertahananSerangMundur,Jarak mundur berkurang 1m jika diserang
23,PertahananSerangMundur,Jarak mundur berkurang 1m jika diserang
23,PertahananSerangMundur,Jarak mundur berkurang 1m jika diserang
23,PertahananSerangMundur,Jarak mundur berkurang 1m jika diserang
23,PertahananSerangMundur,Jarak mundur berkurang 1m jika diserang
24,Koleksi,Kubik akan jatuh saat di koleksi
25,Kecepatan  ,Tambah 30% kecepatan saat mengoleksi
25,Kecepatan  ,Tambah 70% kecepatan saat mengoleksi
25,Kecepatan  ,Tambah 120% kecepatan saat mengoleksi
25,Kecepatan  ,Tambah 180% kecepatan saat mengoleksi
25,Kecepatan  ,Tambah 250% kecepatan saat mengoleksi
26,Menggali,Kapak: Ada 16% kesempatan utk mendapatkan double ore drops
26,Menggali,Kapak: Ada 16% /8% kesempatan utk mendapatkan double/triple ore drops
26,Menggali,Kapak: Ada 16%/8% /4% kesempatan utk mendapatkan double/triple/quadruple ore drops
27,Tembakan boom,Target akan meledak saat terkena tembakan
28,Naga jatuh,Cedera saat terjatuh adalah -150. Kecepatan jatuh juga akan diperlambat.
32,Tempo,Tambah 30% kecepatan saat mengoleksi
30,Kecepatan jatuh,Tekan shift saat jatuh menambah kecepatan sebanyak 40% dan mengurangi 15 cedera
30,Kecepatan jatuh,Tekan shift saat jatuh menambah kecepatan sebanyak 55% dan mengurangi 45 cedera
30,Kecepatan jatuh,Tekan shift saat jatuh menambah kecepatan sebanyak 70% dan mengurangi 45 cedera
30,Kecepatan jatuh,Tekan shift saat jatuh menambah kecepatan sebanyak 85% dan mengurangi 70 cedera
30,Kecepatan jatuh,Tekan shift saat jatuh menambah kecepatan sebanyak 100% dan mengurangi 100 cedera
31,Spider Climbing(sepatu),"Dapat memanjat secara vertikal, menambah kecepatan gerakan sebanyak 40%, berkurang 3 ketahanan setiap 2 detik"
31,Spider Climbing,"Dapat memanjat secara vertikal, menambah kecepatan gerakan sebanyak 30%, berkurang 3 ketahanan setiap 2 detik"
31,Spider Climbing,"Dapat memanjat secara vertikal, menambah kecepatan gerakan sebanyak 25%, berkurang 2 ketahanan setiap 2 detik"
31,Spider Climbing,"Dapat memanjat secara vertikal, menambah kecepatan gerakan sebanyak 10%, berkurang 2 ketahanan setiap 2 detik"
31,Spider Climbing,"Dapat memanjat secara vertikal, mengurangi  1 ketahanan setiap 2 detik"
