接口ID,印尼语,印尼语,印尼语,印尼语,印尼语,印尼语,印尼语
20013,Peta,setCameraEditState,World:setCameraEditState(state),state:CameraEditState,ErrorCode.OK,Atur status view editing,"--Get Camera(userdata)，Back to nil
local result, config = World:getCustomCameraConfig()
if result==ErrorCode.OK and config~=nil then --Customized view
        config:setOption(CAMERA_OPTION_INDEX_CONFIG_SET, CCG_FLATVIEW)
end"
20014,Peta,getCustomCameraConfig,World:getCustomCameraConfig(),none,"ErrorCode.OK, config:CameraEditState",Dapat mengatur pengaturan kamera,local result = World:getCustomCameraConfig()
20015,Peta,getRangeXZ,World:getRangeXZ(),none,"ErrorCode.OK, startX|startZ|endX|endZ:number",Dapat block (chunk),"local result, startX,startZ,endX,endZ = World:getRangeXZ()
if result==ErrorCode.OK then print('StartXZ=(',startX,', ',startZ,'), EndXZ=(',endX,', ',endZ,')')  end"
20016,Peta,getActorsByBox,"World:getActorsByBox(objtype, x1, y1, z1, x2, y2, z2)","type:number designate type, x1|y1|z1:number starting point, x2|y2|z2:number ending point","ErrorCode.OK, num:number, objids:tableobjid array",Dapat actor di area yg telah ditentukan,"local actorType = 0 --OBJ_TYPE_MONSTER
local x1, y1, z1 = -5, 1, -5
local x2, y2, z2 = 15, 9, 15
local ret, num, array = World:getActorsByBox(actorType, x1,y1,z1, x2,y2,z2)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20017,Peta,getPlayerTotal,World:getPlayerTotal(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number Number",Dapat mengontrol situasi semua pemain di mode petualang,local result = World:getPlayerTotal(alive)
20018,Peta,getAllPlayers,World:getAllPlayers(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number number, array:table player uin array",Dapat mengontrol situasi semua pemain di mode petualang,"local aliveType = -1 --Get all players data
local ret, num, array = World:getAllPlayers(aliveType)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20019,Peta,randomOnePlayer,World:randomOnePlayer(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, uin:number",Random Player,"local aliveType = 1 --Any survivors Id
local ret, playerId = World:randomOnePlayer(aliveType)
if ret == ErrorCode.OK then print('Player ===>> ', playerId) end"
20020,Peta,despawnActor,World:despawnActor(objid),objid:number,ErrorCode.OK,Hapus actor,"local ret, num, array = World:getActorsByBox(aType, x1,y1,z1, x2,y2,z2)
if array and #array>0 then --Remove Actor
        local result = World:despawnActor(array[#array])
        if result == ErrorCode.OK then print('Despawn the last actor') end
end"
20021,Peta,spawnCreature,"World:spawnCreature(x, y, z, actorid, num)","x|y|z:number, mobid:number, num:number","ErrorCdoe.OK, objids:tableobjid array","Menghasilkan makhluk (termasuk monster, NPC, hewan dll)","local x, y, z = 6, 7, 8
local actorId, actorCnt = 3812, 2 --Little cow
local ret, objids = World:spawnCreature(x, y, z, actorId, actorCnt)
if objids and #objids>0 then
        for idx = 1, #objIds do --Set the Oxygen dependence
                Creature:setOxygenNeed(objids[idx], true)
        end 
end"
20022,Peta,despawnCreature,World:despawnCreature(objid),objid:number,ErrorCode.OK,Hapus makhluk,"local result = World:despawnCreature(objids[1])
if result == ErrorCode.OK then print('Despawn the creature') end"
20023,Peta,spawnItem,"World:spawnItem(x, y, z, itemid, num)","x|y|z:number, itemid:number, num:number","ErrorCode.OK, objid:number",Menghasilkan item di lokasi yg ditentukan,"local xPos, yPos, zPos = 5, 6, 7
local itemId, itemCnt = 15003, 30 --Item's id and number
local ret, objIds = World:spawnItem(xPos, yPos, zPos, itemId, itemCnt)
if ret == ErrorCode.OK then print(""Item[1]====>>>"", objIds[1]) end"
20024,Peta,despawnItemByBox,"World:despawnItemByBox(x1, y1, z1, x2, y2, z2)","x1|y1|z1:number starting point, x2|y2|z2:number ending point",ErrorCode.OK,Hapus item (berdasarkan wilayah),"local x1, y1, z1 = -5, 5, -5
local x2, y2, z2 = 15, 9, 15
local result = World:despawnItemByBox(x1,y1,z1, x2,y2,z2)
if result == ErrorCode.OK then print('Successfully remove Item in designate region') end"
20025,Peta,despawnItemByObjid,World:despawnItemByObjid(objid),objid:number,ErrorCode.OK,Hapus item (berdasarkan ID),"local result = World:despawnItemByObjid(objIds[1])
if result == ErrorCode.OK then print('Successfully remove designate item') end"
20026,Peta,spawnProjectile,"World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)","shooter:number, itemid:number, x|y|z:number, dirx|diry|dirz:number, speed:number",ErrorCode.OK,Menghasilkan projektil,"local result = World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)"
30001,Block ,isSolidBlock,"Block:isSolidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Apakah blok berbentuk benda?,"local result = Block:isSolidBlock(x, y, z)"
30002,Block ,isLiquidBlock,"Block:isLiquidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Apakah blok berbentuk cairan?,"local result = Block:isLiquidBlock(x, y, z)"
30003,Block ,isAirBlock,"Block:isAirBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Apakah blok berbentuk udara?,"local result = Block:isAirBlock(x, y, z)"
30004,Block ,getBlockID,"Block:getBlockID(x, y, z)",x|y|z:number,"ErrorCode.OK, id:number",Dapat blok sesuai dengan ID,"local result = Block:getBlockID(x, y, z)"
30005,Block ,setBlockAll,"Block:setBlockAll(x, y, z, blockid, data)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Atur blockalldata update dan beri pengumuman,"local result = Block:setBlockAll(x, y, z, blockid, data)"
30006,Block ,destroyBlock,"Block:destroyBlock(x, y, z, dropitem)","x|y|z:number, dropitem:boolean",ErrorCode.OK,Hancurkan blok,"local result = Block:destroyBlock(x, y, z, dropitem)"
30007,Block ,placeBlock,"Block:placeBlock(blockid, x, y, z, face)","blockid:number, x|y|z:number, face:number","ErrorCode.OK, ret:boolean whether it is placed right",Letakkan blok,"local result = Block:placeBlock(blockid, x, y, z, face)"
30008,Block ,setBlockAllForUpdate,"Block:setBlockAllForUpdate(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Atur blockalldata and umumkan ke blok sekitarnya,"local result = Block:setBlockAllForUpdate(x, y, z, blockid)"
30009,Block ,setBlockAllForNotify,"Block:setBlockAllForNotify(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Atur blockalldata and update lokasi blok saat ini,"local result = Block:setBlockAllForNotify(x, y, z, blockid)"
30010,Block ,setBlockSettingAttState,"Block:setBlockSettingAttState(blockid, atttype, switch)","blockid:number, atttype:BLOCKATTR, switch:boolean",ErrorCode.OK,Atur properti dan status blok,"local result = Block:setBlockSettingAttState(blockid, atttype, switch)"
30011,Block ,getBlockSwitchStatus,Block:getBlockSwitchStatus(pos),x|y|z:number,"ErrorCode.OK, isactive:boolean",Dapat status on-off blok,local result = Block:getBlockSwitchStatus(pos)
30012,Block ,setBlockSwitchStatus,"Block:setBlockSwitchStatus(pos, isactive)","x|y|z:number, isactive:boolean",ErrorCode.OK,Atur status on-off pada blok,"local result = Block:setBlockSwitchStatus(pos, isactive)"
40001,Aktor Game,isPlayer,Actor:isPlayer(objid),objid,ErrorCode.OK is player is player,Tes apakah dia seorang pemain,local result = Actor:isPlayer(objid)
40002,Aktor Game,isMob,Actor:isMob(objid),objid,ErrorCode.OK is monster is monster,Tes apakah dia monster,local result = Actor:isMob(objid)
40003,Aktor Game,getObjType,Actor:getObjType(objid),objid,"ErrorCode.OK, objtype:number",Dapat tipe aktor : makhluk/pemain dll..,local result = Actor:getObjType(objid)
40004,Aktor Game,isInAir,Actor:isInAir(objid),objid:number,ErrorCode.OK,Apakah di udara?,local result = Actor:isInAir(objid)
40005,Aktor Game,getPosition,Actor:getPosition(objid),objid,"ErrorCode.OK, x|y|z:number",Dapat lokasi aktor,local result = Actor:getPosition(objid)
40006,Aktor Game,setPosition,"Actor:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Atur lokasi aktor,"local result = Actor:setPosition(objid, x, y, z)"
40007,Aktor Game,jump,Actor:jump(objid),objid:number,ErrorCode.OK,Lompat,local result = Actor:jump(objid)
40008,Aktor Game,killSelf,Actor:killSelf(objid),objid:number,ErrorCode.OK,Serang diri sendiri,local result = Actor:killSelf(objid)
40009,Aktor Game,getCurPlaceDir,Actor:getCurPlaceDir(objid),objid:number,"ErrorCode.OK, dir:number",Dapat arah pandang utama,local result = Actor:getCurPlaceDir(objid)
40010,Aktor Game,tryMoveToActor,"Actor:tryMoveToActor(self_objid, target_objid, speed)","self_objid:number, target_objid:number, speed:number",ErrorCode.OK,Bergerak ke target aktor,"local result = Actor:tryMoveToActor(self_objid, target_objid, speed)"
40011,Aktor Game,tryMoveToPos,"Actor:tryMoveToPos(objid, x, y, z, speed)","objid:number, x|y|z:number, speed:number",ErrorCode.OK,Bergerak ke lokasi target aktor,"local result = Actor:tryMoveToPos(objid, x, y, z, speed)"
40012,Aktor Game,addBuff,"Actor:addBuff(objid, buffid, bufflv, customticks)","objid:number, buffid:number, bufflv:number, customticks:number",ErrorCode.OK,Dapat buff,"local result = Actor:addBuff(objid, buffid, bufflv, customticks)"
40013,Aktor Game,hasBuff,"Actor:hasBuff(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ret:boolean",Apakah ada buff?,"local result = Actor:hasBuff(objid, buffid)"
40014,Aktor Game,removeBuff,"Actor:removeBuff(objid, buffid)","objid:number, buffid:number",ErrorCode.OK,Hapus buff?,"local result = Actor:removeBuff(objid, buffid)"
40015,Aktor Game,clearAllBuff,Actor:clearAllBuff(objid),objid:number,ErrorCode.OK,Hapus semua buff?,local result = Actor:clearAllBuff(objid)
40016,Aktor Game,clearAllBadBuff,Actor:clearAllBadBuff(objid),objid:number,ErrorCode.OK,Hapus semua buff negative?,local result = Actor:clearAllBadBuff(objid)
40017,Aktor Game,getBuffList,Actor:getBuffList(objid),objid:number,"ErrorCode.OK, num:numberbuff number, array:tablebuffid array",Dapat list buff,local result = Actor:getBuffList(objid)
40018,Aktor Game,getBuffLeftTick,"Actor:getBuffLeftTick(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ticks:number",Dapatkan sisa itck dari buff yang terkait,"local result = Actor:getBuffLeftTick(objid, buffid)"
40019,Aktor Game,addHP,"Actor:addHP(objid, hp)","objid:number, hp:number",ErrorCode.OK,Meningkatkan nyawa saat ini,"local result = Actor:addHP(objid, hp)"
40020,Aktor Game,getHP,Actor:getHP(objid),objid:number,"ErrorCode.OK, value:number",Dapat nyawa,local result = Actor:getHP(objid)
40021,Aktor Game,getMaxHP,Actor:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Dapat nyawa max,local result = Actor:getMaxHP(objid)
40022,Aktor Game,addOxygen,"Actor:addOxygen(objid, oxygen)","objid:number, oxygen:number",ErrorCode.OK,Meningkatkan volume oksigen,"local result = Actor:addOxygen(objid, oxygen)"
40023,Aktor Game,getOxygen,Actor:getOxygen(objid),objid:number,"ErrorCode.OK, value:number",Dapat volume oksigen,local result = Actor:getOxygen(objid)
40024,Aktor Game,addEnchant,"Actor:addEnchant(objid, slot, enchantId, enchantLevel)","objid:number, slot:number, enchantId:number, enchantLevel:number",ErrorCode.OK,Meningkatkan nilai pesona pada peralatan yang terkait,"local result = Actor:addEnchant(objid, slot, enchantId, enchantLevel)"
40025,Aktor Game,removeEnchant,"Actor:removeEnchant(objid, slot, enchantId)","objid:number, slot:number, enchantId:number",ErrorCode.OK,Hapus nilai pesona pada peralatan yang terkait,"local result = Actor:removeEnchant(objid, slot, enchantId)"
40026,Aktor Game,findNearestBlock,"Actor:findNearestBlock(objid, blockid, blockRange)","objid:number, blockid:number, blockRange","ErrorCode.OK, x|y|z:number",Cari blok terdekat,"local result = Actor:findNearestBlock(objid, blockid, blockRange)"
40027,Aktor Game,setFaceYaw,"Actor:setFaceYaw(objid, yaw)","objid:number, yaw:number angle",ErrorCode.OK,Atur sudut pandang vertikal pada aktor,"local result = Actor:setFaceYaw(objid, yaw)"
40028,Aktor Game,getFaceYaw,Actor:getFaceYaw(objid),objid:number,"ErrorCode.OK, yaw:number",Dapat sudut pandang vertikal aktor,local result = Actor:getFaceYaw(objid)
40029,Aktor Game,turnFaceYaw,"Actor:turnFaceYaw(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,Ubah sudut pandang vertikal pada aktor,"local result = Actor:turnFaceYaw(objid, offset)"
40030,Aktor Game,setFacePitch,"Actor:setFacePitch(objid, pitch)","objid:number, pitch:number upward view",ErrorCode.OK,Atur sudut tampilan pada aktor,"local result = Actor:setFacePitch(objid, pitch)"
40031,Aktor Game,getFacePitch,Actor:getFacePitch(objid),objid:number,"ErrorCode.OK, pitch:number",Dapat sudut tampilan aktor,local result = Actor:getFacePitch(objid)
40032,Aktor Game,turnFacePitch,"Actor:turnFacePitch(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,Ubah sudut tampilan pada aktor,"local result = Actor:turnFacePitch(objid, offset)"
40033,Aktor Game,playBodyEffect,"Actor:playBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,Pakai efek,"local result = Actor:playBodyEffect(objid, type)"
40034,Aktor Game,stopBodyEffect,"Actor:stopBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,Hentikan efek,"local result = Actor:stopBodyEffect(objid, type)"
40035,Aktor Game,playBodyEffectByFile,"Actor:playBodyEffectByFile(objid, filename, sync)","objid:number, filename:string file name, sync:bool synchronize",ErrorCode.OK,Pakai file efek,"local result = Actor:playBodyEffectByFile(objid, filename, sync)"
40036,Aktor Game,stopBodyEffectByFile,"Actor:stopBodyEffectByFile(objid, filename)","objid:number, filename:string file name",ErrorCode.OK,Hentikan file efek,"local result = Actor:stopBodyEffectByFile(objid, filename)"
40037,Aktor Game,playSound,"Actor:playSound(objid, name, volume, pitch, flag)","objid:number, name:string, volume:number, pitch:number, flag:number",ErrorCode.OK,Suara,"local result = Actor:playSound(objid, name, volume, pitch, flag)"
40038,Aktor Game,playSoundSpecial,"Actor:playSoundSpecial(objid, name, type)","objid:number, name:string, type:number designate name (GSOUND_TYPE)",ErrorCode.OK,Suara(specific type:GSOUND_TYPE),"local result = Actor:playSoundSpecial(objid, name, type)"
40039,Aktor Game,clearActorWithId,"Actor:clearActorWithId(actorid, bkill)","actorid:number, bkill:boolean",ErrorCode.OK,Hapus ID makhluk yang bersifat actorid,"local result = Actor:clearActorWithId(actorid, bkill)"
40040,Aktor Game,setAttackType,"Actor:setAttackType(objid, attacktype)","objid:number, attacktype:number",ErrorCode.OK,Atur tipe cedera,"local result = Actor:setAttackType(objid, attacktype)"
40041,Aktor Game,setImmuneType,"Actor:setImmuneType(objid, immunetype, isadd)","objid:number, immunetype:number, isadd:number",ErrorCode.OK,Atur tipe kekebalan,"local result = Actor:setImmuneType(objid, immunetype, isadd)"
40042,Aktor Game,mountActor,"Actor:mountActor(objid, mountobjid, posindex)","objid:number, mountobjid:number, posindex:number ride",ErrorCode.OK,Naik atau turun dari kendaraan,"local result = Actor:mountActor(objid, mountobjid, posindex)"
40043,Aktor Game,setActionAttrState,"Actor:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,"Atur perilaku, peralatan dan keadaan makhluk","local result = Actor:setActionAttrState(objid, actionattr, switch)"
40044,Aktor Game,tryNavigationToPos,"Actor:tryNavigationToPos(objid, x, y, z, cancontrol)","objid:number, x|y|z:number, cancontrol:boolean",ErrorCode.OK,Temukan cara untuk menargetkan lokasi,"local result = Actor:tryNavigationToPos(objid, x, y, z, cancontrol)"
40045,Aktor Game,getRidingActorObjId,Actor:getRidingActorObjId(objid),objid:number,ErrorCode.OK,Dapat berat Pferd,local result = Actor:getRidingActorObjId(objid)
50001,Pemain,getAttr,Player:getAttr(attrtype),"objid:number, atttype:number","ErrorCode.OK, value:number",nil,local result = Player:getAttr(attrtype)
50002,Pemain,setAttr,"Player:setAttr(attrtype, val)","objid:number, val:number, atttype:number",ErrorCode.OK,nil,"local result = Player:setAttr(attrtype, val)"
50003,Pemain,getHostUin,Player:getHostUin(),nil,"ErrorCode.OK, uin:number",Dapat tuan rumah,local result = Player:getHostUin()
50004,Pemain,isMainPlayer,Player:isMainPlayer(objid),objid:number,ErrorCode.OK is local player is local player,Test apakah ia pemain lokal,local result = Player:isMainPlayer(objid)
50005,Pemain,getMainPlayerUin,Player:getMainPlayerUin(),nil,"ErrorCode.OK, uin:number",Dapat uin pemain lokal,local result = Player:getMainPlayerUin()
50006,Pemain,getGameResults,Player:getGameResults(objid),objid:number,"ErrorCode.OK, value:number",Lihat hasil permainan,local result = Player:getGameResults(objid)
50007,Pemain,setGameResults,"Player:setGameResults(objid, result)","objid:number, result",ErrorCode.OK,Atur hasil permainan,"local result = Player:setGameResults(objid, result)"
50008,Pemain,getGameScore,Player:getGameScore(objid),objid:number,"ErrorCode.OK, value:number",Lihat jumlah skor permainan,local result = Player:getGameScore(objid)
50009,Pemain,setGameScore,"Player:setGameScore(objid, score)",objid:number,"ErrorCode.OK, value:number",Atur jumlah skor permainan,"local result = Player:setGameScore(objid, score)"
50010,Pemain,getGameRanking,Player:getGameRanking(objid),objid:number,"ErrorCode.OK, rank:number",Lihat ranking pemain,local result = Player:getGameRanking(objid)
50011,Pemain,setGameRanking,"Player:setGameRanking(objid, rank)","objid:number, rank:number",ErrorCode.OK,Atur ranking pemain,"local result = Player:setGameRanking(objid, rank)"
50012,Pemain,gainItems,"Player:gainItems(objid, itemid, num, prioritytype)","objid:number, itemid:number, num:number, prioritytype:number(1 is shortcut bar prior 2 is backpack bar prior)",ErrorCode.OK,Tambahkan item utk pemain,"local result = Player:gainItems(objid, itemid, num, prioritytype)"
50013,Pemain,teleportHome,Player:teleportHome(objid),objid:number,ErrorCode.OK,Transfer ke titik bangkit,local result = Player:teleportHome(objid)
50014,Pemain,getCurToolID,Player:getCurToolID(objid),objid:number,"ErrorCode.OK, ret",Lihat ID item pemain,local result = Player:getCurToolID(objid)
50015,Pemain,getNickname,Player:getNickname(objid),objid:number,"ErrorCode.OK, name:string",Lihat nama pemain,local result = Player:getNickname(objid)
50016,Pemain,removeBackpackItem,"Player:removeBackpackItem(objid, itemid, num)","objid:number, itemid:number, num:number",ErrorCode.OK,Pindahkan item ke tas,"local result = Player:removeBackpackItem(objid, itemid, num)"
50017,Pemain,getDieTimes,Player:getDieTimes(objid),objid:number,"ErrorCode.OK, value:number",Lihat jumlah angka kematian,local result = Player:getDieTimes(objid)
50018,Pemain,getLeftLifeNum,Player:getLeftLifeNum(objid),objid:number,"ErrorCode.OK, value:number",Lihat jumlah nyawa yang tersisa,local result = Player:getLeftLifeNum(objid)
50019,Pemain,setTeam,"Player:setTeam(objid, team)","objid:number, teamid:number",ErrorCode.OK,Atur team makhluk,"local result = Player:setTeam(objid, team)"
50020,Pemain,getTeam,Player:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Dapat team makhluk,local result = Player:getTeam(objid)
50021,Pemain,getFoodLevel,Player:getFoodLevel(objid),objid:number,ErrorCode.OK,Cek tingkat kelaparan saat ini,local result = Player:getFoodLevel(objid)
50022,Pemain,setFoodLevel,"Player:setFoodLevel(objid, foodLevel)","objid:number, foodLevel:number",ErrorCode.OK,Atur tingkat kelaparan,"local result = Player:setFoodLevel(objid, foodLevel)"
50023,Pemain,getCurShotcut,Player:getCurShotcut(objid),objid:number,"ErrorCode.OK, scutIdx:number",Lihat shortcut bar saat ini,local result = Player:getCurShotcut(objid)
50024,Pemain,onCurToolUsed,"Player:onCurToolUsed(objid, num)","objid:number, num:number items number",ErrorCode.OK,Atur pemakaian item oleh pemain,"local result = Player:onCurToolUsed(objid, num)"
50025,Pemain,setSkillCD,"Player:setSkillCD(objid, itemid, cd)","objid:number, itemid:number, cd:number",ErrorCode.OK,Set CD,"local result = Player:setSkillCD(objid, itemid, cd)"
50026,Pemain,reviveToPos,"Player:reviveToPos(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Atur pemain bangkit pada titik yang ditentukan,"local result = Player:reviveToPos(objid, x, y, z)"
50027,Pemain,setRevivePoint,"Player:setRevivePoint(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Ganti titik bangkit,"local result = Player:setRevivePoint(objid, x, y, z)"
50028,Pemain,playAct,"Player:playAct(objid, actid)","objid:number, actid:number动作id",ErrorCode.OK,Pemain memainkan kartun,"local result = Player:playAct(objid, actid)"
50029,Pemain,notifyGameInfo2Self,"Player:notifyGameInfo2Self(objid, info)","objid:number, info:string text content",ErrorCode.OK,Tampilkan teks di pop up window,"local result = Player:notifyGameInfo2Self(objid, info)"
50030,Pemain,useItem,"Player:useItem(objid, itemid, status, onshift)","objid:number, itemid:number, status:number state of using, onshift:boolean whether to press shift",ErrorCode.OK,Atur pemain menggunakan item ini,"local result = Player:useItem(objid, itemid, status, onshift)"
50031,Pemain,rotateCamera,"Player:rotateCamera(objid, yaw, pitch)","objid:number, yaw:number, pitch:number",ErrorCode.OK,Putar lensa penglihatan,"local result = Player:rotateCamera(objid, yaw, pitch)"
50032,Pemain,changeViewMode,"Player:changeViewMode(objid, viewmode, islock)","objid:number, viewmode:numberVIEWPORTTYPE, islock:boolean",ErrorCode.OK,Ubah mode angle penglihatan,"local result = Player:changeViewMode(objid, viewmode, islock)"
50033,Pemain,setActionAttrState,"Player:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,"Atur perilaku, peralatan dan keadaan makhluk","local result = Player:setActionAttrState(objid, actionattr, switch)"
50034,Pemain,checkActionAttrState,"Player:checkActionAttrState(objid, actionattr)","objid:number, actionattr:numberPLAYERATTR",ErrorCode.OK,"Tombol on off perilaku, peralatan dan keadaan makhluk","local result = Player:checkActionAttrState(objid, actionattr)"
50035,Pemain,getMaxHP,Player:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Lihat max nyawa,local result = Player:getMaxHP(objid)
50036,Pemain,getCurHP,Player:getCurHP(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Lihat nyawa saat ini,local result = Player:getCurHP(objid)
50037,Pemain,getHpRecover,Player:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Pemulihan nyawa,local result = Player:getHpRecover(objid)
50038,Pemain,getCurFood,Player:getCurFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Tingkat kelaparan saat ini,local result = Player:getCurFood(objid)
50039,Pemain,getMaxOxygen,Player:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",[[,local result = Player:getMaxOxygen(objid)
50040,Pemain,getCurOxygen,Player:getCurOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Volume oksigen saat ini,local result = Player:getCurOxygen(objid)
50041,Pemain,getWalkSpeed,Player:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Kecepatan berjalan,local result = Player:getWalkSpeed(objid)
50042,Pemain,getSwimSpeed,Player:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Kecepatan berenang,local result = Player:getSwimSpeed(objid)
