姓（印尼语的名，男女都会随机到，可以空着）;男名字（印尼语的姓，男角色随机）;女名字（印尼语的姓，女角色随机）,,
Surname,Male,Female
,Kumar,Yasmine
,Bachtiar,Jasmine
,Johanda,Agatha
,Karekm,Bella
,Karem,Chelsea
,Andrian,Jessica
,Joko,Sabrina
,Tirtajasa,Lavenia
,Adi Bisono,Sabrina
,Adi Sasono,Tifanny
,Adi Sumito,Vanessa 
,Ari Sulistio,Cherryl
,Arianto,Vanesha
,Aziar Zain,Rahmatiani
,Azir Azwien,Ani Setiawati
,Carlos,Paula
,Fauzi ,Sanny 
,Fauzi ,Aura 
,Frank Taira,Chintya
,Franky Widjoyo,Decy 
,Frans Limas,Henny
,Gahral Sjah,Dewi Murya
,Gaitini ,Dwi Retno
,Gan Boot Lian,Evie Tamala
,Ginawan ,Iis 
,Halim ,Erpi 
,Han Hai Thon,Wahyuni 
,Hanny ,Iwa 
,Hanny Sutanto,Virgiawan 
,Hari Raharta,Jovita 
,Hari Widodo,Adriana 
,Harris,Nastiti
,Harry Haslett,Nike Ratna
,Harry Herjanto,Wulansari
,Harry Nugroho,Dewi Irawan
,Harry Soeria,Tuti 
,Harry Susanto,Christina 
,Harry Suwignjo,Tamara 
,Hartadi,Mayawati 
,Hasan Aula,Dewi Siregar
,Hasan Dali,Artis Artia
,Hasan,Kurniaty 
,Keenan Wynn,Utami 
,Keenan Tracey,Winky
,Sandy,
,Roy Prabowo,
,Yudha Rai,
,Supriatna,
,Aisyah,
,Bimo,
,Aan Kurnia,
,Krisman ,
,Hidayatullah,
,Eko Indro,
,Ferry Farchan,
,Yungki,
,Ainur Rokhimah,
,Alfiansyah,
,Eddy Supono,
,Sigit Purnomo,
,Ferrasta Soebardi,
,Syahidah Azhari,
,Roy Wicaksono,
,Taura Danang,
,Danang Sudiro,
