ID,内容
2000021,"Jika kita pergi ke Planet Flamas, kita bisa mendapatkan bijih energi bintang!"
2000022,Dikatakan bahwa kadang-kadang kamu dapat bertemu sekelompok pedagang di gurun. Tujuan mereka adalah pergi ke oasis untuk berbisnis. Kita dapat bisa mereka untuk menemukan oasis.
2000023,"Jika teman Boarman meninggal, jangan lupa mencari paket yang mereka tinggalkan, barang di dalamnya mencatat kisah hidup mereka."
2000024,"Saat menanam tanaman, ingatlah untuk membedakan jenis tanaman. Bunga dan pohon hanya dapat ditanam di lubang tanah, maka tanaman lain ditanam di lahan pertanian."
2000025,"Malam hari di Planet Miras sangat berbahaya. Petualangan di malam hari tidak disarankan. Kita bisa tidur dulu, ketika bangun sudah subuh."
2000026,"Pernahkah kamu menemukan bahwa telinga badak satu besar dan satu kecil, lucu sekali~"
2000027,"Ingatlah untuk memakai pakaian selam saat berada di bawah air. Semakin dalam airnya, semakin besar tekanan airnya, tubuhmu tidak dapat bertahan."
2000028,Ada mineral berbeda di laut dalam yang bisa mengeras kaca.
2000029,"Terlalu lama, ingatanku sedikit kabur. Buah suci ada di dalam tubuh Dewa Ular Berbulu, pedang api patah didapatkan dengan mengkalahkan naga hitam, dan mata orang batu adalah pusat kendali raksasa kuno."
2000030,"Jika ini mimpi buruk, aku harap bisa segera bangun."
2000031,"Struktur ekologis di sini telah banyak berubah, aku harus memperbarui informasi tercatat."
2000032,"Kelahiran kehidupan seru banget. Bahkan planet dengan oksigen rendah seperti Planet Horas dapat melahirkan kehidupan, sungguh luar biasa!"
2000033,"Planet Flamas terlalu dekat dengan matahari, agak sulit untuk bergerak jika tidak ada ransel tahan api."
2000034,Ingatlah untuk menyapa penduduk lokal Planet Miras yang kamu temui.
2000035,"Dahulu kala, dalam perang melawan Void Phantom pertama, raksasa kuno bertempur dengan kekuatan Void selama beberapa tahun sebagai senjata pamungkas pahlawan kuno."
2000036,Kehidupan elemental di Planet Miras seperti Peri Lautan dan Peri Gurun terutama berasal dari kekuatan rune. Pada dasarnya berbeda dari kehidupan yang didorong oleh energi bintang seperti aku!
2000037,"Kamu terlihat sangat pendiam, apa yang kamu pikirkan?"
2000038,Kamu tampak sedikit bermasalah dan bingung. Mari kita jalan-jalan. Mungkin akan ada penemuan baru!
2000039,"Meskipun aku tidak dapat membantumu mengalahkan musuh, aku akan selalu berada di sisi kamu dan mendukung kamu!"
2000040,"Imajinasi manusia tidak terbatas, dan hanya dengan eksplorasi terus menerus kita dapat menemukan lebih banyak kemungkinan."
2000041,"Terkadang, kita perlu waktu sendirian untuk menenangkan hati."
2000042,"Kegagalan bukanlah hal yang buruk, yang buruk adalah menyerah karena kegagalan. Semangat, aku yakin kamu akan mencapai tujuan jika menemukan metode yang tepat!"
2000043,"Setiap pilihan akan membawa hasil yang berbeda, sehingga kita harus berpikir dengan hati-hati dan membuat keputusan yang bijak."
2000044,"Bersiaplah untuk menghadapi situasi tak terduga kapan saja, jangan anggap enteng."
2000045,"Jangan lupa untuk membawa perlengkapan dan perbekalan saat keluar, agar bisa menghadapi bahaya dengan lebih tenang."
2000046,"Ingatlah untuk memperbaiki peralatan kamu tepat waktu, untuk memanjangkan masa pakainya. Tidak masalah jika lupa memperbaikinya, kamu bisa membuatnya lagi juga."
2000047,"Iklim dan lingkungan di beberapa tempat mungkin berdampak pada kita, kita harus menyesuaikan diri sendiri untuk beradapsi."
2000048,"Hai, apa yang kamu lakukan? Ingin bermain bersama?"
2000049,Apakah kamu tersesat? Perhatikan peta kecil di sudut kanan atas untuk melihat arahnya.
2000050,"Kamu bisa memetik buah dari pohon dalam perjalanan, ini adalah makanan yang paling gampang didapatkan."
2000051,"Perhatikan keselamatan, simpan lebih banyak bintang, agar tidak takut dengan bahaya yang akan mendatang."
2000052,"Jangan takut kesulitan, hadapinya dengan berani!"
2000053,"Wah, langit di planet ini sungguh indah!"
2000054,"Jika kamu merasa lelah atau tersesat, jangan khawatir, aku akan selalu berada di sisimu!"
2000055,"Kamu bukan sendirian, aku selalu menemanimu! Teman yang terpisah juga menunggumu di perjalanan selanjutnya!"
2000056,"Tahukah, Boarman terkutuk akan tertidur di siang hari."
2000057,"Kadang-kadang, kita masih perlu memeriksa perlengkapan yang dipakai."
2000058,"Terkadang kegagalan bukanlah hal yang buruk, itu membuat kamu berkembang lebih baik."
2000059,"Kupu-kupu Planet Miras akan mengubah rumput menjadi bunga, tetapi mereka mudah membanjiri jika tidak berhati-hati."
3001001,"""@item_588#�� Pemeriksaan pengaturan selesai! Keadaannya normal! Untungnya, Void Phantom belum menemukan kita, berhati-hatilah."
3001002,��@item_589#�� Pemeriksaan pengaturan selesai! Keadaannya normal!
3001003,��@item_587#�� Pemeriksaan pengaturan selesai! Keadaannya normal!
3001004,Akhirnya kita bisa menghadapi Void Phantom secara langsung! Bersiaplah untuk bertarung! !
3001005,"Bagus sekali! Void Phantom dikalahkan, Mini World akhirnya kembali menjadi aman lagi."
3001006,"Void Phantom sepertinya telah menjatuhkan sesuatu di dekatnya, carilah dengan hati-hati."
3001007,"Ini adalah @item_11333#, tetapi tampaknya telah menembus ke dalam rantai bintang."
3001008,"Namun, kita mungkin dapat menggunakannya untuk menghubungkan stasiun bintang yang diperbaiki. Ayo mencoba~"
3002001,"Bagus, beberapa @item_11627# telah dikumpulkan!"
3002002,"Kamu dapat mengumpulkan lebih banyak lagi, atau membuka panel kontrol untuk klaim hadiah untuk tugas tersebut."
3002003,"Saya telah memperbarui tugas baru untuk kamu, memotong beberapa @item_11006# jika @item_11627# sudah cukup."
3002004,"Tampaknya @item_11323# juga telah dikumpulkan, coba buka panel kontrol untuk memproses @item_11002#!"
3002005,"@item_11002# ini terlihat sangat bagus, sekarang memotong kayu harus jauh lebih cepat dari sebelumnya."
3002006,"Cobalah pohon dulu. Kali ini kita tidak perlu cabang lagi, ayo memotong pohon dan kumpulkan beberapa @item_11323#."
3002007,"Hah! Dengan @item_11323# ini, kita dapat memproses @item_206#! Planet Miras di malam hari sangat berbahaya, kita harus membangun pangkalan sementara secepat mungkin."
3002008,"Ingat tak? Saat kita tiba di stasiun bintang, ada satu bangunan bobrok di dekatnya."
3002009,"Jika memperbaiki bangunan itu dengan @item_206#, itu mungkin bisa digunakannya sebagai pangkalan sementara kita!"
3002010,"Rasanya agak aneh menggunakan kotak obrolan untuk berbicara dengan kamu, wkwk. Kamu dapat menyelesaikan tugas sambil melihat aku ""berbicara��. Buruan meletakkan @item_206#."
3002011,"Pangkalan sudah dibangun, tetapi hanya bisa digunakan untuk pertahanan. Kamu masih membutuhkan senjata yang berguna dalam keadaan darurat. Proses @item_12012#, kamu akan membutuhkannya."
3002012,"Bagaimana menurut kamu? Dengan @item_12012#, kekuatan tempur telah meningkat secara dramatis. Namun, senjata batu hanya untuk pertempuran kita saat ini, kita harus terus memperkuat diri sendiri!"
3002013,"Omong-omong, kita masih membutuhkan penerangan untuk melewati malam dengan aman."
3002014,Mari kita kumpulkan beberapa @item_11226# dan @item_11323# untuk membuat @item_298#.
3002015,"Dengan demikian ada sumber cahaya. Namun waktu pembakaran obor kecil ini tidak lama, jika ada @item_1200# akan lebih aman."
3002016,Aku ingat bahwa ada @item_1200# di bangunan bobrok. Coba menggunakan @item_298# untuk menyalakannya.
3002017,"(Tepuk tangan) @item_1200# sangat hangat~ Melihat cahaya yang meyakinkan ini, tanpa sadar aku keluar~"
3002018,"Peralatan pencahayaan sudah siap! Selanjutnya yang terpenting adalah @item_828#! Dengan @item_828#, kamu bisa tidur sampai subuh!"
3002019,"Hampir lupa, @item_828# tidak dapat dibuat tanpa @item_800#, kita masih harus membuat @item_800# terlebih dahulu."
3002020,"Meskipun @item_800# ini tidak begitu lengkap, kita dapat membuat lebih banyak barang!"
3002021,"Ayo coba @item_800# yang baru dibuat, klik padanya untuk membuka halaman pengolahan."
3002022,"Bahan baku untuk @item_828# tidak boleh ada kekurangan, apakah @item_11226# dan @item_12600# masih cukup?"
3002023,"Semuanya sudah siap, klik @item_828# untuk berbaring."
3002024,"Perhatikan waktu di pojok kanan atas, kamu hanya bisa melewatkan malam dengan @item_828# setelah pukul 18:00!"
3002025,"Ingatlah untuk tidur, saya istirahat dulu. Jika kamu ingin memproses sesuatu, klik tombol di bawah yang terlihat seperti aku untuk memanggilku."
3003001,"Dagingnya dimasak!! Cepat ambil dan makan dagingnya, jangan sampai gosong."
3003002,Enak~ Perancang sialan itu tidak memasang modul makan untukku. Aku hanya bisa mencium baunya tetapi tidak bisa memakan....
3003003,"Kamu pasti lebih energik setelah makan, kan? Sudah waktunya untuk meningkatkan alat dan perlengkapan kita."
3003004,"Pertama-tama, kita perlu mengumpulkan bahan untuk peningkatan, @item_11201# dan @item_11329# adalah bahan penting."
3003005,"Tapi untuk mendapatkannya, kamu juga harus menyiapkan alat tambang khusus, @item_11012#, terlebih dahulu! Membuat @item_11012# dulu, nanti aku mengajar langkah seterusnya."
3003006,"Makin mahir bikin barang, hehe~ Dengan @item_11012#, sekarang kamu bisa berangkat untuk menambang~"
3003007,"Ayo kumpulkan @item_11201# terlebih dahulu, @item_402# umumnya ditemukan di bawah tanah Planet Miras. Tidak perlu menggali terlalu dalam, mereka juga ada di permukaan dan posisi yang dangkal juga."
3003008,"Ada kristal biru yang tersebar di permukaan bijih, tidak susah untuk ditemukan."
3003009,Kamu dapat mencarinya di permukaan atau menggali terowongan tambang kecil. Seharusnya cepat ditemukan. Semangat loh!
3003010,"Begitu cepat kamu menemukan @item_402#, apakah kamu memiliki bakat untuk menambang?"
3003011,"Bercanda saja, mari kita mencari @item_11329# sekarang!"
3003012,"Posisi @item_451# hampir sama dengan @item_402#. Permukaan bijihnya berserakan dengan beberapa pecahan logam berwarna jingga-kuning, sangat mudah dikenali."
3003013,"Mungkin kamu barusan melihatnya saat menggali @item_402#~ Tapi bijih kita tidak terlalu banyak, ayo kumpulkan lagi."
3003014,Kamu benar-benar memiliki bakat untuk menambang! Sehingga menemukan @item_451# begitu cepat.
3003015,"Bahan baku semuanya dikumpulkan, seterusnya adalah peleburan mineral."
3003016,"Peleburan membutuhkan waktu, kita bisa melebur di pangkalan untuk keselamatan. Jika kamu ingin meningkatkan efisiensi dan melebur di liar, tidak masalah juga."
3003017,Mari kita membuat @item_802# dulu.
3003018,Kamu dapat melebur mineral setelah menyelesaikan @item_802#. Putuskan tempat peleburan dan meletakkan @item_802#.
3003019,"Setelah diletakkan, cukup klik pada @item_802# untuk membuka antarmuka peleburan."
3003020,Kemudian memasukkan @item_451# dan @item_11201# yang baru saja dikumpulkan saja. Ayo mulai melebur jika kamu siap.
3003021,"Oh! @Item_11329# telah dilebur, buka @item_802# untuk mendaur ulangnya."
3003022,Tungku yang terbuat dari batu hanya bisa melebur satu per satu. Kamu bisa membuat tungku tembaga untuk meningkatkan efisiensi setelah mengumpulkan @item_11329# yang cukup.
3003023,"Tapi itu saja untuk nanti, mari gunakan @item_11329# ini untuk meningkatkan alat terlebih dahulu. Dengan @item_11011#, penambangan akan jauh lebih efisien!"
3003024,"Selamat! Tampaknya kamu telah menyelesaikan semua tugas di bawah tujuan ""Penjelajah Baru"", sekarang bukan newbie lagi!"
3003025,"Masih ada banyak pengetahuan tentang bertahan hidup di alam liar, aku telah menambahkannya ke panel kontrol, kamu dapat membukanya untuk mengonfirmasi."
3003026,"Tapi jangan lupakan tujuan akhir kita. Seluruh Mini World dalam bahaya sekarang, kita memiliki tanggung jawab yang berat untuk menyelamatkan dunia, tidak bisa menganggapnya enteng."
3003027,"Aku biasanya istirahat di mezzanine, panggil aku saja jika ada kebutuhan. Ayo bertolak jika kamu siap!"
3004001,"Wah, kamu membuat satu @item_11032#. Kini sudah bisa membuat lahan pertanian untuk menanam tanaman, jiwa bertani membara!"
3004002,Tanaman membutuhkan waktu untuk menjadi matang. Kamu dapat mempercepat penumbuhannya dengan @item_11311#.
3004003,"Tekstur @item_812# tidak cukup keras, sehingga mudah dirusak oleh Boarman. Jauh lebih aman jika kamu meletakkan pagar di luar pangkalan."
3004004,"Jika kamu memberi @item_104# satu bintang, aku dapat merekam lokasi ini. Nanti jika kamu berada dalam bahaya, aku dapat mengirimmu kembali dengan paksa."
3004005,Selamat untuk menyelesaikan tujuan utama lagi!! Saatnya melangkah lebih jauh dan melihat misi baru yang tersedia!
3005001,"Kulit ini sangat kuat, jika diolah menjadi peralatan tembaga dengan @item_11329#, itu akan membantu kita untuk bertahan hidup di alam liar!"
3005002,"Wah, setelan perlengkapan ini terasa jauh lebih keren dari yang sebelumnya. Total ada 4 perlengkapan tembaga dalam satu setelan lengkap. Kamu akan menjadi lebih hebat lagi jika bisa mendapatkan semuanya."
3005003,"Senjata dan alat pelindung sudah siap, sekarang saatnya untuk mengkalahkan Apostle Void! Penjahat ini mencuri kekuatan penciptaan di mana-mana saja, kita harus menghentikan mereka secepat mungkin!"
3005004,"@item_11911# yang dijatuhkan oleh Apostle Void semuanya terkondensasi dari kekuatan penciptaan yang mereka mencuri. Jika menggunakannya pada @item_800#, kamu bisa mendapatkan @item_797#!"
3005005,"Klik pada @item_797# untuk melihat semua formula! Namun masih ada beberapa alat peraga yang cetak birunya untuk dibuka kunci, kita bisa perhatikannya dalam perjalanan selanjutnya."
3005006,"Tungku peleburan telah ditingkatkan, sekarang kita dapat melebur 2 mineral sekaligus! Ayo mencari @item_401#, @item_11209# yang dilebur adalah logam yang sangat penting!"
3005007,"Kita dapat membuat lebih banyak barang dengan @item_11209#, mengecek meja tukang untuk melihat item baru yang bisa dibuat yuk!"
3005008,"Sekarang kecepatan penggalian lebih tinggi, kita bisa menambang dulu sebelum membuat @item_785#!"
3005009,"Menurut data, batu rune adalah mineral unik di Planet Miras. Menanamnya pada senjata atau alat untuk mendapatkan kekuatan yang mengejutkan!"
3005010,Oh oh! Kamu telah mempelajari semua pengetahuan dasar untuk bertahan hidup di Planet Miras.
3005011,"Selanjutnya... Tunggu sebentar, biarkan aku memikir... Ya, sekarang saatnya untuk memperbaiki stasiun bintang."
3005012,"Jika kamu memiliki hal lain yang ingin dilakukan, klik pelacak tugas untuk melihat tugas lainnya."
3006001,"Eh! Fragmen energi ini telah lama terbengkalai di bawah tanah, harap masih bisa digabungkan menjadi inti energi."
3006002,"Tak sangka berhasil! Inti energi sudah didapatkan, seterusnya harus mencari @item_11334#. Basis data menunjukkan bahwa itu ada di ekologi pulau langit, ayo pergi."
3006003,"Sangat spektakuler. Tapi pulau langit sangat tinggi, kita harus memikirkan cara untuk naik ke atas. Mari kita meninjau keadaan di sekitarnya dulu."
3006004,"Bagaimana orang dengan sayap itu mendapatkan begitu banyak chip? Tetapi akhirnya mendapatkannya juga, kita dapat memproses @item_11335# sekarang."
3006005,"Komponen dan intinya sudah siap, saatnya untuk memperbaiki stasiun bintang! Simak penjelasan @item_11331#!"
3006006,"Wah, konsol berhasil diaktifkan! Stasiun bintang ini telah terhubung kembali ke rantai bintang, gunakan @item_11335# untuk meningkatkan kabin transfer!"
3006007,"Koneksi berhasil! Stasiun bintang ini telah mengembalikan fungsi transmisi antar planet. Memperbaiki beberapa stasiun bintang lagi, perjalanan kami akan menjadi lebih nyaman."
3006008,"Siap? Saatnya untuk menemukan ""tiga kunci suci""! Silakan simak tugas terbaru yang diperbarui."
3007001,"Tampaknya kita telah menemukan hutan hujan. Hutan hujan penuh dengan bahaya, berhati-hatilah."
3007002,@item_11601# ini adalah kristal yang diendapkan oleh kekuatan penciptaan berlebih dari pohon tinggi hutan hujan. Itu bisa dibuat menjadi @item_11597# dengan @item_11329#.
3007003,"@item_11597# yang baru saja diproses adalah kunci kuil hutan hujan, tetapi kita perlu menemukan kuil yang tepat untuk mengaktifkan patung dewa. Ayo mencarinya di hutan hujan."
3007004,"Apakah ini kuil hutan hujan? ! Meskipun saya telah melihatnya di data, perasaan melihatnya sebenarnya cukup mengejutkan."
3007005,"Monster yang dikenal sebagai ""Dewa Ular Berbulu"" ada di kuil. Untuk mendapatkan @item_591#, kamu harus mengalahkannya terlebih dahulu. Kamu siap?"
3007006,"Syukurnya berhasil. Cepat cari barang yang dijatuhkan oleh Dewa Ular Berbulu di sekitar, semoga tidak jatuh ke dalam magma....."
3007007,"Buah suci dicerna oleh Dewa Ular Berbulu sampai hanya tersisa bijinya, mari kita mencari tempat luas untuk menanamnya."
3007008,"Tak sangka biji sekecil itu dapat tumbuh menjadi pohon sebesar ini! Buahnya harus dekat dengan mahkota pohon, kita harus memikirkan cara untuk naik ke atas."
3007009,"Akhirnya mendapatkan @item_591#, susah payah. Hati-hati saat turun, aku agak takut ketinggian di sepanjang jalan..."
3007010,"Wow, sayap ini sangat indah, dan jauh lebih aman jika jatuh dari ketinggian."
3007011,"Debu berkilau ini sungguh cantik, warnanya sama seperti yang aku miliki."
3007012,Apakah ini yang dipegang Dukun Barbarian itu? Sepertinya ada sesuatu yang hilang.
3007013,Cool! Coba lihat apa yang bisa dilakukan.
3008001,"Aduh, inilah Planet Flamas? Tempat ini terlalu panas. Sangat dekat dengan matahari."
3008002,"Sebelum mencari Naga Hitam, aku pikir lebih baik kita membuat @item_12277# terlebih dahulu."
3008003,"Menang! Benar-benar mendebarkan, Naga Hitam memang kuat! Tapi sekarang Naga Hitam harus mengakui kekuatanmu juga, wkwk."
3008004,"Ambil @item_588#, ini adalah bukti ""keberanian"" kamu!"
3008005,"Inilah ""pedang api patah""? Ini jelas merupakan peringatan kerjasama jangka panjang antara dua dunia, malah menggunakan pedang patah sebagai tandanya....Sangat sulit untuk memahami pemikiran perancangnya."
3008006,Ada dua bentuk lain dari Naga Hitam. Kamu dapat mencoba menantangnya jika ada kekuatan tersisa. Kamu juga bisa kembali lagi lain kali jika tidak cukup kuat.
3008007,"Aku telah perbarui tugas baru dalam daftar, kamu bisa simak dulu."
3008008,"Kamu memenangkan naga hitam dalam bentuk lava, hebat! Ayo lihat apa yang ditinggalkan Naga Hitam."
3008009,"Bentuk kacaunya hanya itu saja, wkwk. Ambil hadiah di dalam toples di tengah Pulau Naga."
3008010,"Jauh lebih baik, aku hampir akan meleleh. Kayaknya aku tidak akan meleleh, hehe~"
3009001,Langit di sini sungguh indah! Tetapi atmosfer Planet Horas sangat tipis. Kamu mungkin memerlukan beberapa perangkat oksigen sebelum memanggil raksasa kuno. Gunakan meja tukang untuk melihat apa yang bisa dibuat.
3009002,"Raksasa kuno akhirnya dibebaskan, Void Phantom benar-benar berdosa! Cepat daur ulang @item_589#, pemberantasan Void Phantom sudah dekat."
3009003,"Frosti, Bulli, Rocki... Siapa yang memilih nama ini untuk makhluk di Planet Horas? Sungguh aneh..."
3009004,"Zona oksigen dihasilkan, lapisan biru ini cukup bagus."
3009005,"��Bor saya... Adalah bor yang digunakan untuk menciptakan dunia baru!"" Eh? Siapa yang diam-diam menambahkan baris ini ke basis data..."
3009006,Wah! Alat pengait ini memang keren! Akan jauh lebih nyaman untuk naik ke atas pulau langit.
4000001,"Lihatlah, energi kosong dari bawah tanah muncul, menurut catatan, energi kosong akan lebih kental di malam hari, segala sesuatu akan terpengaruh oleh kekosongan, dengan kata lain malam ini akan lebih berbahaya!"
