ID,名字,描述,追踪
1058,Serangan jarak jauh,"Buat 1 #cfa7a0f Busur Pendek Kayu # n@1 #r (Busur Pendek Kayu bisa menembak lebih jauh, membutuhkan panah batu)",Membuat #cfa7a0f busur kayu pendek
1059,Aku butuh panah batu,Buat 1 #L #cfa7a0f panah batu # n@1,Membuat panah batu #cfa7a0f
1060,Kepala kulit,Make 1 #L helm #cfa7a0f kulit # n@1 #r (bisa dipakai di tubuh untuk meningkatkan pertahanan),membuat helm kulit #cfa7a0f
1061,Kepala besi,Membuat 1 #L #cfa7a0f Helm Besi # n@1 #r (peralatan praktis untuk meningkatkan pertahanan),Membuat Helm Besi #cfa7a0f
1062,Bor kepala,"Buat 1 #L #cfa7a0f Blue Diamond Helm # n@1 #r (Peralatan canggih, tambahkan banyak pertahanan)",#cfa7a0f Blue Diamond Helm
1063,dada kulit,Membuat 1 #L #cfa7a0f Kulit Breastplate # n@1 #r (dapat dikenakan pada tubuh untuk meningkatkan pertahanan),Membuat pelindung dada kulit #cfa7a0f
1064,peti besi,Membuat 1 #L #cfa7a0f Iron Breastplate # n@1 #r (Peralatan yang berguna untuk meningkatkan pertahanan),Membuat #cfa7a0f Iron Breastplate
1065,Bor kuku dada,Membuat 1 #L #cfa7a0f Blue Diamond Breastplate # n@1 #r,#cfa7a0f Blue Diamond Breastplate
1066,Kaki kulit,Membuat 1 #L legging kulit #cfa7a0f # n@1 #r (bisa dikenakan pada tubuh untuk meningkatkan pertahanan),Pembuatan Legging Kulit #cfa7a0f
1067,Kaki berbalut besi,Membuat 1 #L #cfa7a0f Legging Besi # n@1 #r (Peralatan Berguna untuk Peningkatan Pertahanan),Pembuatan Legging Besi #cfa7a0f
1068,Bor kaki paku,"Membuat 1 #L #cfa7a0f Blue Diamond Leggings # n@1 #r (Peralatan canggih, banyak pertahanan)",#cfa7a0f Blue Diamond Leggings
1069,kulit kaki,Membuat 1 sepasang #L #cfa7a0f boots # n@1 #r (bisa dikenakan pada tubuh untuk meningkatkan pertahanan),Membuat sepatu bot #cfa7a0f
1070,Kaki besi,Kerajinan 1 #L #cfa7a0f Sepatu Besi # n@1 #r (Peralatan Berguna untuk Peningkatan Pertahanan),Membuat #cfa7a0f sepatu besi
1071,jari kaki berlian,Membuat 1 #L #cfa7a0f Blue Diamond Boots # n@1 #r,Membuat #cfa7a0f Blue Diamond Boots
1072,,,
1073,Master Pertahanan,Anda telah menjadi master peralatan @ 1,Lengkap #cfa7a0f prestasi defensif
1074,aku butuh kertas,1 #L kertas #cfa7a0f @ 1 #r (koleksi tebu hitam),Membuat kertas #cfa7a0f
1075,Manual Mempesona,Membuat 1 #L #cfa7a0f Buku Pegangan Kosong # n@1,Membuat #cfa7a0f manual kosong
1076,master terpesona,Selesaikan tugas secara otomatis setelah menyelesaikan pra-tugas,Prestasi Pesona #cfa7a0f Lengkap
1077,Hancurkan mereka!,Selesaikan tugas secara otomatis setelah menyelesaikan pra-tugas,Kalahkan monster #cfa7a0f
1078,Hunter publik musuh,Kalahkan 200 Savage Hunter @ 1,Kalahkan #cfa7a0f Savage Hunter
1079,Musuh Bumi,Kalahkan 100 Fantom@1,Mengalahkan #cfa7a0fFantom
1080,Savage musuh,Kalahkan 500 Savage @ 1,Mengalahkan #cfa7a0f wildlings
1081,Ledakan telur!,Kalahkan 200 Bombshell @ 1,Mengalahkan #cfa7a0f
1082,Nama dengan tuhan,Selesaikan tugas secara otomatis setelah menyelesaikan pra-tugas,#cfa7a0f Mengalahkan Prestasi Seri Makhluk Myra
1083,Penambang Rajin (I),Membuat 100 #L#cfa7a0fBeliung Batu#n@1#r(Beliung batu dapat menambang bijih perak),Membuat #cfa7a0fBeliung Batu
1084,Penambang Rajin (II),Membuat 50 #L#cfa7a0fBeliung Perak#n@1#r(Beliung batu dapat menambang bijih tingkat tinggi),Membuat #cfa7a0fBeliung Perak
1085,Penambang Rajin (III),Membuat 20 #L#cfa7a0fBor#n@1#r (Bor dapat menambang bijih),Membuat #cfa7a0fBor
1086,Kaca (I),Melebur 10 L#cfa7a0fBlok Kaca#n@1,Melebur #cfa7a0fBlok Kaca
1087,Kaca (II),Melebur 500 #L#cfa7a0fBlok Kaca#n@1,Melebur #cfa7a0fBlok Kaca
1088,Kaca (III),Melebur 2000 #L#cfa7a0fBlok Kaca#n@1,Melebur #cfa7a0fBlok Kaca
1089,Pengumpul Perak (I),Melebur 10 #L#cfa7a0fIngot Perak#n@11,Melebur #cfa7a0fIngot Perak
1090,Pengumpul Perak (II),Melebur 100 #L#cfa7a0fIngot Perak#n@11,Melebur #cfa7a0fIngot Perak
1091,Pengumpul Perak (III),Melebur 300 #L#cfa7a0fIngot Perak#n@1,Melebur #cfa7a0fIngot Perak
1092,Bijih Wolfram,Menambang 10 #L#cfa7a0fBijih Wolfram#n@1,Menambang #cfa7a0fBijih Wolfram
1093,Bijih Wolfram (II),Menambang 50 #L#cfa7a0fBijih Wolfram#n@1,Menambang #cfa7a0fBijih Wolfram
1094,Bijih Wolfram (III),Menambang 200 #L#cfa7a0fBijih Wolfram#n@1,Menambang #cfa7a0fBijih Wolfram
1095,Pelatih Rubah (I),Menjinakkan 1 rubah dengan telur burung dodo@1,Menjinakkan #cfa7a0fRubah
1096,Pelatih Rubah (II),Menjinakkan 5 rubah dengan telur burung dodo@1,Menjinakkan #cfa7a0fRubah
1097,Pelatih Rubah (III),Menjinakkan 20 rubah dengan telur burung dodo@1,Menjinakkan #cfa7a0fRubah
1098,Logam Lava (I),Melebur 5 #L#cfa7a0fLogam Lava#n@1,Melebur #cfa7a0fLogam Lava
1099,Logam Lava (II),Melebur 100 #L#cfa7a0fLogam Lava#n@1,Melebur #cfa7a0fLogam Lava
1100,Logam Lava (III),Melebur 500 #L#cfa7a0fLogam Lava#n@1,Melebur #cfa7a0fLogam Lava
1101,Master Celesthium (I),Menambang 10 #L#cfa7a0fBijih Energi Bintang#n@1,Menambang #cfa7a0fBijih Energi Bintang
1102,Master Celesthium (II),Menambang 200 #L#cfa7a0fBijih Energi Bintang#n@1,Menambang #cfa7a0fBijih Energi Bintang
1103,Master Celesthium (III),Menambang 500 #L#cfa7a0fBijih Energi Bintang#n@1,Menambang #cfa7a0fBijih Energi Bintang
1104,Aku butuh panah batu,Buat 10 #L #cfa7a0f panah batu # n@1,Membuat panah batu #cfa7a0f
1105,Aku butuh panah batu dua,Buat 100 #L #cfa7a0f panah batu # n@1,Membuat panah batu #cfa7a0f
1106,Aku butuh panah batu tiga,Buat 1000 #L #cfa7a0f panah batu # n@1,Membuat panah batu #cfa7a0f
1107,Penjaga Hutan (I),Menanam lebih dari 10 pohon@1#r (Memegang#L#cfa7a0fBiji Pohon#n dan tanam di lubang tanah),Menanam #cfa7a0fPohon
1108,Penjaga Hutan (II),Menanam lebih dari 200 pohon@1#r (Memegang#L#cfa7a0fBiji Pohon#n dan tanam di lubang tanah),Menanam #cfa7a0fPohon
1109,Penjaga Hutan (III),Menanam lebih dari 2000 pohon@1#r (Memegang#L#cfa7a0fBiji Pohon#n dan tanam di lubang tanah),Menanam #cfa7a0fPohon
1110,Daging Alpaka (I),Membuat 50 #L#cfa7a0fDaging Alpaka Panggang#n@1,Membuat #cfa7a0fDaging Alpaka Panggang
1111,Daging Alpaka (II),Membuat 200 #L#cfa7a0fDaging Alpaka Panggang#n@1,Membuat #cfa7a0fDaging Alpaka Panggang
1112,Daging Alpaka (III),Membuat 1000 #L#cfa7a0fDaging Alpaka Panggang#n@1,Membuat #cfa7a0fDaging Alpaka Panggang
1113,Daging Badak (I),Membuat 50 #L#cfa7a0fDaging Badak Panggang#n@1,Membuat #cfa7a0fDaging Badak Panggang
1114,Daging Badak (II),Membuat 200 #L#cfa7a0fDaging Badak Panggang#n@1,Membuat #cfa7a0fDaging Badak Panggang
1115,Daging Badak (III),Membuat 1000 #L#cfa7a0fDaging Badak Panggang#n@1,Membuat #cfa7a0fDaging Badak Panggang
1116,Burung Dodo Panggang (I),Membuat 50 #L#cfa7a0fBurung Dodo Panggang#n@1,Membuat #cfa7a0fBurung Dodo Panggang
1117,Burung Dodo Panggang (II),Membuat 200 #L#cfa7a0fBurung Dodo Panggang#n@1,Membuat #cfa7a0fBurung Dodo Panggang
1118,Burung Dodo Panggang (III),Membuat 1000 #L#cfa7a0fBurung Dodo Panggang#n@1,Membuat #cfa7a0fBurung Dodo Panggang
1119,Daging Rusa Bertanduk Panggang (I),Membuat 50 #L#cfa7a0fDaging Rusa Bertanduk Panggang#n@1,Membuat #cfa7a0fDaging Rusa Bertanduk Panggang
1120,Daging Rusa Bertanduk Panggang (II),Membuat 200 #L#cfa7a0fDaging Rusa Bertanduk Panggang#n@1,Membuat #cfa7a0fDaging Rusa Bertanduk Panggang
1121,Daging Rusa Bertanduk Panggang (III),Membuat 1000 #L#cfa7a0fDaging Rusa Bertanduk Panggang#n@1,Membuat #cfa7a0fDaging Rusa Bertanduk Panggang
1122,kapas satu,Membuat 50 #L #cfa7a0f # n@1,Membuat #cfa7a0f kubus kapas
1123,Kapas dua,Membuat 200 #L #cfa7a0f # n@1,Membuat #cfa7a0f kubus kapas
1124,Kapas tiga,Membuat 1000 #L #cfa7a0f # n@1,Membuat #cfa7a0f kubus kapas
1125,Penghancur Batuan (I),Menggali 100 #L#cfa7a0fBlok Batuan#n@1,Menggali #cfa7a0fBlok Batuan
1126,Penghancur Batuan (II),Menggali 1000 #L#cfa7a0fBlok Batuan#n@1,Menggali #cfa7a0fBlok Batuan
1127,Penghancur Batuan (III),Menggali 5000 #L#cfa7a0fBlok Batuan#n@1,Menggali #cfa7a0fBlok Batuan
1128,Aku Takut Kegelapan (I),Membuat 50 #L#cfa7a0fObor Menyala#n@1,Membuat #cfa7a0fObor Menyala
1129,Aku Takut Kegelapan (II),Membuat 200 #L#cfa7a0fObor Menyala#n,Membuat #cfa7a0fObor Menyala
1130,Aku Takut Kegelapan (III),Membuat 500 #L#cfa7a0fObor Menyala#n,Membuat #cfa7a0fObor Menyala
1131,Pertahankan kerja bagus.,Gagal 1 @ 1,#cfa7a0f gagal
1132,Pertahankan kerja bagus,Gagal 100 @ 1,#cfa7a0f gagal
1133,Pertahankan kerja bagus,Gagal 500 @ 1,#cfa7a0f gagal
1134,Masakan Laut (I),Membuat 1 #L#cfa7a0fIkan Dada Panggang#n,Membuat #cfa7a0fIkan Dada Panggang
1135,Masakan Laut (II),Membuat 10 #L#cfa7a0fIkan Dada Panggang#n,Membuat #cfa7a0fIkan Dada Panggang
1136,Masakan Laut (III),Membuat 100 #L#cfa7a0fIkan Dada Panggang#n,Membuat #cfa7a0fIkan Dada Panggang
1137,Kekacauan berakhir,Kalahkan Chaos Black Dragon #r (Chaos Black Dragon:\ (--) / 1,Kalahkan #cfa7a0f Chaos Black Dragon
1138,Buat roket,Kumpulkan bahan untuk membuat #L roket #cfa7a0f # n@1,Bangun roket #cfa7a0f
1139,Kunjungi Bintang Horas,Naik roket ke bintang Horas untuk kumpulkan #L#cfa7a0fBatu Horas #n@1,Kumpulkan #cfa7a0fBatu Horas
1140,Aktifkan totem,Gunakan #L #cfa7a0f Xingqishi #n aktifkan totem @ 1,Aktifkan #cfa7a0f Totem
1141,bor tembaga bintang,#L #cfa7a0f tembaga bor # n@1,bit sintetis #cfa7a0f tembaga
1142,capit jet,Membuat #L #cfa7a0f Jet Claw # n@1,Sintetis #cfa7a0f Jet Claw
1143,Bersambung...,Lebih banyak petualangan yang akan datang,Lebih banyak petualangan yang akan datang
1144,Pencipta Oksigen,"Menggunakan mutiara, tumpukan karang, ingot tembaga dan kayu untuk membuat #L#cfa7a0fMesin Pembuatan Oksigen#n@1 di meja tukang.",Membuat #cfa7a0fEkstraktor Oksigen
1145,Bersiaplah,Menggunkan kaca dan ingot tembaga untuk membuat #L#cfa7a0fTanki Bensin Kompresi#n@1,Membuat #cfa7a0fTanki Bensin Kompresi
1146,Kesenangan Luar Angkasa,Menggunakan tanki bensin kompresi dan tembaga Horas untuk membuat #L#cfa7a0fRansel Oksigen#n@1,Membuat #cfa7a0fRansel Oksigen
1147,Tanah Luar Angkasa,"Menggunakan rumput Horas, batu Horas, air botol dan pupuk hewan untuk membuat #L#cfa7a0fMedia Kultur#n@1",Membuat #cfa7a0fMedia Kultur
1148,Petualang luar angkasa,Selesaikan tugas secara otomatis setelah menyelesaikan pra-tugas,Selesai #cfa7a0f membuat prestasi seri Cute Eye Star
1149,Kalahkan mata lucu ding,Kalahkan mata 200 lucu @ 1,Mengalahkan #cfa7a0f Tink
1150,Kekalahan mata lucu dong,Defeat 200 cute eyes Dong @ 1,Defeat #cfa7a0f cute eyes dong
1151,Mengalahkan Dangdang Mata Lucu,Kalahkan mata 200 lucu Dangdang @ 1,Mengalahkan #cfa7a0f Lucu Mata Dangdang
1152,Kalahkan Penyihir Gravitasi,Kalahkan 100 Gravity Wizard @ 1,Kalahkan #cfa7a0f Gravity Wizard
1153,Star Wars!,Selesaikan tugas secara otomatis setelah menyelesaikan pra-tugas,Lengkap #cfa7a0f Kalahkan Prestasi Makhluk Mata Lucu
1154,lucu mata bintang bertahan hidup 1,Bertahan 7 hari di Cute Eye @ 1,Bertahan #cfa7a0f Mata Lucu
1155,Bintang Mata Lucu Bertahan Hidup II,Bertahan 60 hari di Cute Eye @ 1,Bertahan #cfa7a0f Mata Lucu
1156,Cute Eye Star Survival III,Bertahan 365 hari di Cute Eye @ 1,Bertahan #cfa7a0f Mata Lucu
1157,Buah oksigen satu,Makan 10 #L #cfa7a0f Buah Oksigen # n@1,Makan #cfa7a0f buah oksigen
1158,Buah oksigen dua,Makan 100 #L #cfa7a0f Buah Oksigen # n@1,Makan #cfa7a0f buah oksigen
1159,Buah oksigen tiga,Makan 500 #L #cfa7a0f Buah Oksigen # n@1,Makan #cfa7a0f buah oksigen
1160,Aktifkan totem satu,Aktifkan 5 #L #cfa7a0f Totem # n@1,Aktifkan #cfa7a0f Totem
1161,Aktifkan totem dua,Aktifkan 50 #L #cfa7a0f Totem # n@1,Aktifkan #cfa7a0f Totem
1162,Aktifkan Totem Tiga,Aktifkan 300 #L #cfa7a0f Totem # n@1,Aktifkan #cfa7a0f Totem
1163,Light up totem one,Light 5 #L #cfa7a0f totem # n@1,Aktifkan #cfa7a0f Totem
1164,Light up totem two,Light 50 #L #cfa7a0f totem # n@1,Aktifkan #cfa7a0f Totem
1165,Light up totem tiga,Light 300 #L #cfa7a0f totem # n@1,Aktifkan #cfa7a0f Totem
1166,Bijih Tembaga Horas (I),Menambang 10 #L#cfa7a0fBijih Tembaga Horas#n@1,Menambang #cfa7a0fBijih Tembaga Horas
1167,Bijih Tembaga Horas (II),Menambang 100 #L#cfa7a0fBijih Tembaga Horas#n@1,Menambang #cfa7a0fBijih Tembaga Horas
1168,Bijih Tembaga Horas (III),Menambang 500 #L#cfa7a0fBijih Tembaga Horas#n@1,Menambang #cfa7a0fBijih Tembaga Horas
1169,Bijih Fluorescence Ungu (I),Menambang 10 #L#cfa7a0fBijih Fluorescence Ungu#n@1,Menambang #cfa7a0fBijih Fluorescence Ungu
1170,Bijih Fluorescence Ungu (II),Menambang 100 #L#cfa7a0fBijih Fluorescence Ungu#n@1,Menambang #cfa7a0fBijih Fluorescence Ungu
1171,Bijih Fluorescence Ungu (III),Menambang 500 #L#cfa7a0fBijih Fluorescence Ungu#n@1,Menambang #cfa7a0fBijih Fluorescence Ungu
1172,patung raksasa kuno,Blue Diamond / Malachite / Bronzite / Violet Fluorite Block 4 di samping inti totem Drop Summon raksasa kuno untuk mengalahkannya @ 1,Mengalahkan #cfa7a0f patung kuno
1173,Raksasa kuno,Kalahkan Raksasa Kuno @ 1,Mengalahkan #cfa7a0f raksasa kuno
1174,,,
1175,Aku butuh kayu,Kumpulkan kayu untuk mendapatkan #L balok kayu #cfa7a0f # n@1 #r (batang pohon tekan panjang untuk dikumpulkan),Mengumpulkan #cfa7a0f kayu
1176,Pekerjaan kerajinan!,"Buat papan dari kayu apa pun, buat 1 #L dari papan 4 #cfa7a0f Toolbox # n@1 #r (buka ransel terlebih dahulu, pilih Buat dari tab di sebelah kiri)",Membuat #cfa7a0f Toolbox
1177,,,
1178,,,
1179,,,
1180,,,
1181,,,
1182,,,
1183,,,
1184,,,
1185,,,
1186,,,
1187,,,
1188,,,
1189,,,
1190,,,
1191,,,
1192,,,
1193,,,
1194,,,
1195,,,
1196,,,
1197,,,
1198,,,
1199,,,
1200,,,
1201,Berdiri teguh,Bertahan 7 hari dalam Mode Ekstrim @ 1,Bertahan #cfa7a0f hari
1202,Boom,Bertahan 60 hari dalam Mode Ekstrim @ 1,Bertahan #cfa7a0f hari
1203,Master Bertahan Hidup,Bertahan 365 hari dalam Mode Ekstrim @ 1,Bertahan #cfa7a0f hari
1204,Savage!,Kalahkan 50 Savage @ 1,Mengalahkan #cfa7a0f wildlings
1205,Harta karun liar!,Kalahkan 20 Wild Treasures @ 1,Kalahkan Harta Karun Liar #cfa7a0f
1206,Fantom!,Kalahkan 50 Fantom@1,Kalahkan #cfa7a0fFantom
1207,Perdagangan,20 transaksi dengan tour operator @ 1,Trading dengan #cfa7a0f
1208,Perdagangan gurun,Penawaran dengan Desert Merchant 50 @ 1,Trading dengan Desert Merchant #cfa7a0f
1209,Perdagangan es,Trading dengan Icefield Merchant 200 @ 1,Trading dengan Ice Trader #cfa7a0f
1210,Ledakan telur!,Kalahkan 30 Bombshell @ 1,Mengalahkan #cfa7a0f
1211,Pemanah Brimstone!,Kalahkan 100 Brimstone Archer @ 1,Kalahkan #cfa7a0f Brimstone Archer
1212,Prajurit Pembantai Naga!,Kalahkan Naga Hitam Kuno @ 1,Mengalahkan naga hitam kuno #cfa7a0f
1213,Materi Celesthium,Menambang 100 #L#cfa7a0fBijih Energi Bintang#n@1,Menambang #cfa7a0fBijih Energi Bintang
1214,Persediaan Senjata,Melebur 500 #L#cfa7a0fIngot Perak#n@1,Melebur #cfa7a0fIngot Perak
1215,Yang Kekal Abadi,Menggali 20 #L#cfa7a0fBijih Wolfram#n@1,Menambang #cfa7a0fBijih Wolfram
1216,Burung Dodo Panggang Enak,Membuat 100 #L#cfa7a0fBurung Dodo Panggang Bucket#n@1,Membuat #cfa7a0fBurung Dodo Panggang Bucket
1217,Raja Mie,Membuat 50 #L#cfa7a0fMie Barbekyu# n@1,Membuat #cfa7a0fMie Barbekyu
1218,Emas yang Dapat Dimakan?,Membuat 50 #L#cfa7a0fHidangan Enak#n@1,Membuat #cfa7a0fHidangan Enak
1219,,,
1220,,,
1221,Aku Butuh Beberapa Batu,#cfa7a0fKumpulkan batu#n atau #cfa7a0fmemproses batuan#n untuk mendapatkan #L#cfa7a0fBatu#n@1#r (tekan lama untuk kumpulkan atau mensintesis di ransel),Kumpulkan #cfa7a0fBatu#n di tanah
1222,Lebih Banyak Materi,Memotong pohon untuk mendapatkan #L#cfa7a0fCabang Halus#n@1#r（tekan lama untuk kumpulkan）,Mendapatkan #cfa7a0fRanting Tipis#n dari pohon
1223,Awal Zaman Batu!,Gunakan Batu dan Ranting untuk membuat #L#cfa7a0fBeliung Batu#n@1#r (Buka ransel dan pilih Gabungan di tab kiri),Membuat #cfa7a0fBeliung Batu
1224,Senjata Primitif,"Membuat #L#cfa7a0fPentung Kayu#n@1#r dengan kayu (Berbahaya di malam hari, gunakan senjata untuk melindungi diri sendiri)",Membuat #cfa7a0fPentung Kayu
1225,Pemburu,Kalahkan Boarman yang muncul di malam hari @1#r (Oh? Kamu ingin menjadi pemburu?),Kalahkan #cfa7a0fBoarman
