ID,名称,描述,说明
1020002,ゲームタイム,ゲーム時間 が%1時の場合,ゲームが指定された時点にあった時
1020003,ゲーム時間,ゲーム時間%1秒後,ゲームに入った後、指定された時間が経った後
1020004,プレイヤー勝利,プレイヤー が勝利した時,
1020005,プレイヤー失敗,プレイヤー が失敗した時,
1020007,プレイヤーによるゲームスタート,プレイヤー がゲームをスタートした時,
1020008,プレイヤーによるゲーム退出,プレイヤー がゲームを閉じた時,
1020009,タイマー変化,タイマー が変化した時,変数ライブラリ内の任意のタイマー変数が変化した時
1020010,指定タイマー変化,%1が変化した時,変数ライブラリで指定されたタイマー変数が変化した時
1020011,一定のゲーム時間経過（ループ）,ゲーム時間%1秒毎に,"1.最小値を0.05秒にし、0.01～0.09は0.05秒と見なされる
2.指定された時間毎にトリガーされる（ループ）"
1020012,クラウドサーバールームでメッセージを受けた時,クラウドサーバールーム でメッセージを受けた時,
1020013,ブロードキャスト受信,ブロードキャスト%1を 受信 した時,
1020014,条件成立,%1が成立する時,
1020015,設計図設置,設計図 が設置された時,
1020016,クラウドサーバールームでサーバーブロードキャストを受信した時,クラウドサーバールーム でサーバーブロードキャスト%1を受信した時,
1030001,被撃破,プレイヤー が撃破された時,
1030002,プレイヤー復活,プレイヤー が復活した時,
1030003,プレイヤーのステータス変更,プレイヤー の%1ステータスが変化した時,プレイヤーのHPなどのステータスが変化した時
1030004,プレイヤーによる目標撃破,プレイヤー が目標を撃破した時,プレイヤーが他のプレイヤーや生物を撃破した時。撃破されたプレイヤーや生物が事件中のターゲットプレイヤーまたは生物である時
1030005,プレイヤーによる攻撃,プレイヤー が攻撃を開始した時,
1030006,プレイヤーによる攻撃命中,プレイヤー による攻撃が命中した時,プレイヤーによる攻撃が他のプレイヤーや生物に命中した時。命中したプレイヤーや生物が事件中のターゲットプレイヤーまたは生物である時
1030007,プレイヤーによるダメージ付与,プレイヤー がダメージを与えた時,プレイヤーが他のプレイヤーや生物にダメージを与えた時。ダメージを受けたプレイヤーや生物が事件中のターゲットプレイヤーまたは生物である時
1030008,被ダメージ,プレイヤー がダメージを受けた時,
1030009,プレイヤーによる移動,プレイヤー が1マス移動した時,
1030010,プレイヤーによるスタンプ使用,プレイヤー がスタンプを使用した時,
1030011,プレイヤーによるアイテム使用,プレイヤー がアイテムを使用した時,
1030012,プレイヤーによるアイテム獲得,プレイヤー がアイテムを獲得した時,
1030013,プレイヤーによるアイテム消費,プレイヤー がアイテムを消費した時,
1030014,プレイヤーが生物またはプレイヤーをタップ,プレイヤー が生物またはプレイヤーをタップした時,
1030015,プレイヤーがブロックをタップ,プレイヤー がブロックをタップした時,
1030016,プレイヤーによる騎乗,プレイヤー がマウント/乗り物に乗った時,
1030017,騎乗キャンセル,プレイヤー が騎乗を取り消した時,
1030018,プレイヤーの運動状態変化,プレイヤー が%1を始めた時,
1030019,プレイヤーによる接触発生,プレイヤー が任意のプレイヤー/生物と接触した時,
1030020,プレイヤーによるアイテム拾得,プレイヤー がアイテムを拾った時,
1030021,プレイヤーによるエリア進入,プレイヤー が%1に入った時,エリア進入/退出は開発者関連のアクション、例えば広告再生、商品購入吹き出しの表示、開発者商店表示などをトリガーできない
1030022,プレイヤーによるエリア退出,プレイヤー が%1を離れた時,エリア進入/退出は開発者関連のアクション、例えば広告再生、商品購入吹き出しの表示、開発者商店表示などをトリガーできない
1030023,装備バー変化,プレイヤー のバックパックバーが変化した時,
1030024,バックパックバー変化,プレイヤー のバックパックバーが変化した時,
1030025,ショートカットバー変化,プレイヤー のショートカットバーが変化した時,
1030026,ショートカットバー選択,プレイヤー がショートカットバーを選んだ時,
1030027,プレイヤーによる道具破棄,プレイヤー が道具を捨てた時,
1030028,装備着用,プレイヤー が装備を着用した時,
1030029,装備外し,プレイヤー が装備を外した時,
1030030,チャット欄の文字列表示,プレイヤー のチャット欄%1が表示された時,
1030031,文字列入力,プレイヤー がチャット欄で%1を送信した時,
1030032,キーを押す,プレイヤー が%1を押した時,
1030033,キーの長押し,プレイヤー が%1を長押しした時,
1030034,キーを放す,プレイヤー が%1を放した時,
1030035,プレイヤーによる状態獲得,プレイヤー が状態を獲得した時,
1030036,プレイヤーから状態消失,プレイヤー が状態を失った時,
1030037,プレイヤーから指定状態消失,プレイヤー が%1状態を失った時,
1030038,プレイヤーレベル変化,プレイヤー のレベルが変化した時,
1030039,プレイヤーによるメッセージの入力（文字列を含む）,任意のプレイヤーがチャット欄で%1を含む情報を入力した時,プレイヤーがチャット欄で特定のテキストを含む情報を入力し、送信した時
1030040,特定アイテム選択,プレイヤー がショートカットバーで%1を選んだ時,
1030041,プレイヤーが友達を招待,プレイヤーが友達を招待するとき,
1040001,生物被ダメージ,生物 がダメージを受けた時,
1040002,生物による攻撃,生物 が攻撃を始めた時,
1040003,生物による攻撃命中,生物 による攻撃が命中した時,
1040004,生物によるダメージ付与,生物 がダメージを与えた時,
1040005,生物被撃破,生物 が撃破された時,
1040006,生物による目標撃破,生物 が目標を撃破した時,
1040007,生物のエリア進入,生物 が%1に入った時,
1040008,生物のエリア退出,生物 が%1を離れた時,
1040009,生物の運動状態変化,生物 が%1を始めた時,
1040010,接触発生（生物）,生物 が任意のプレイヤー/生物に接触した時,
1040011,生物ステータス変化,生物 のステータス%1が変化した時,
1040012,生物作成,生物 が作成された時,
1040013,生物による状態獲得,生物 が状態を獲得した時,
1040014,生物から状態消失,生物 が状態を失った時,
1040015,生物から指定状態消失,生物 が%1を失った時,
1040016,当該生物被ダメージ,当該生物 がダメージを受けた時,
1040017,当該生物攻撃開始,当該生物 が攻撃を始めた時,
1040018,当該生物攻撃命中,当該生物 の攻撃が目標に命中した時,
1040019,当該生物によるダメージ付与,当該生物 が目標にダメージを与えた時,
1040020,当該生物被撃破,当該生物 が撃破された時,
1040021,当該生物による目標撃破,当該生物 が目標を撃破した時,
1040022,当該生物行動状態変化,当該生物 が%1を始めた時,
1040023,当該生物接触発生,当該生物 が任意のプレイヤー/生物に接触した時,
1040024,当該生物ステータス変化,当該生物 の %1ステータスが変化した時,
1040025,当該生物作成,当該生物 が作成された時,
1040026,当該生物による状態獲得,当該生物 が状態を獲得した時,
1040027,当該生物から状態消失,当該生物 が状態を失った時,
1040028,当該生物がタップされる,当該生物 がプレイヤーにタップされた時,
1050001,ブロック掘削完了,ブロック の掘削が完了した時,
1050002,ブロック破壊,ブロック が破壊された時,
1050003,ブロックスイッチ状態変化,ブロック スイッチの状態が変化した時,
1050004,保存容器内のアイテム変更,保存容器 内のアイテムが変更された時,
1050005,ブロック作成,ブロック が作成された時,
1050006,保存容器へのアイテム投入,保存容器 にアイテムが投入された時,
1050007,保存容器からのアイテム取出,保存容器 からアイテムが取り出された時,
1050008,ブロック掘削,ブロック が掘削された時,
1050009,ブロック掘削中断,ブロック の掘削が中断された時,
1050010,当該ブロック掘削,当該ブロック が掘削された時,
1050011,当該ブロック掘削完了,当該ブロック の掘削が完了した時,
1050012,当該ブロック掘削中断,当該ブロック の掘削が中断された時,
1050013,当該ブロック破壊,当該ブロック が破壊された時,
1050014,当該ブロック作成,当該ブロック が作成された時,
1050015,当該ブロックスイッチ状態変化,当該ブロック スイッチの状態が変化した時,
1050016,当該ブロック被獲得,プレイヤー/生物 が当該ブロックを獲得した時,
1050017,当該ブロックがタップされる,プレイヤー が当該ブロックをタップした時,
1050018,ブロックの色が変わる,ブロックの色が変わると,
1060001,投擲物命中,投擲物 が任意のプレイヤー/生物/ブロックに命中した時,
1060002,投擲物のエリア進入,投擲物 が%1に入った時,
1060003,投擲物のエリア退出,投擲物 が%1を離れた時,
1060004,ドロップアイテムのエリア進入,ドロップアイテム が%1に入った時,
1060005,ドロップアイテムのエリア退出,ドロップアイテム が%1を離れた時,
1060006,ドロップアイテム拾得,ドロップアイテム が拾われた時,
1060007,ドロップアイテム消失,ドロップアイテム が消えた時,
1060008,投擲物作成,投擲物 が作成された時,
1060009,当該アイテム獲得,当該アイテム がプレイヤー/生物に獲得された時,
1060010,当該アイテム破棄,当該アイテム が捨てられた時,
1060011,当該アイテム消失,当該アイテム のドロップアイテムが消えた時,
1060012,当該アイテム破損,当該アイテム が破損した時,
1060013,当該投擲物命中,当該投擲物 が任意の目標に命中した時,
1060014,当該投擲物作成/消費,当該投擲物 が作成または消費された時,
1060015,当該アイテム消費,当該アイテム が消費された時,
1060016,当該パック開封,当該パック が開封された時,
1060017,当該装備着用,当該装備 が着用された時,
1060018,当該装備外し,当該装備 が外された時,
1060019,当該装備破壊,当該装備がプレイヤー/生物に破壊された時,
1060020,当該アイテム使用,当該アイテム がプレイヤーに使用された時,
1060021,ドロップアイテムが特定な方法で作成された時,ドロップアイテムが%1で作成された時,
1060022,ドロップアイテムが任意の方法で作成された時,ドロップアイテムが任意の方法で作成された時,
1070001,任意の位置での特殊効果作成,任意の位置で 特殊効果 が作成された時,
1070002,プレイヤーの身での特殊効果作成,プレイヤーの身に 特殊効果 が作成された時,
1070003,任意の生物の身での特殊効果作成,任意の生物の身に 特殊効果 が作成された時,
1070004,任意の投擲物での特殊効果作成,任意の投擲物の 特殊効果 が作成された時,
1070005,ドロップアイテムでの特殊効果作成,ドロップアイテムで 特殊効果 が作成された時,
1080001,生物による状態獲得,生物 がこの状態を獲得した時,
1080002,生物から状態消失,生物 がこの状態を失った時,
1080003,プレイヤーによる状態獲得,プレイヤー がこの状態を獲得した時,
1080004,プレイヤーから状態消失,プレイヤー がこの状態を失った時,
1090001,当該レシピ合成完了,当該レシピ の合成が完了した時,
1090002,レシピ合成完了,レシピ の合成が完了した時,
1100001,製錬開始,製錬 が開始した時,
1100002,製錬完了,製錬 が完了した時,
1100003,当該製錬開始,当該製錬 が開始した時,
1100004,当該製錬完了,当該製錬 で産出物を獲得した時,
110001,プレイヤーの乗り物,%1の乗り物,
1110001,ストーリー開始,ストーリー が開始した時,
1110002,ストーリー終了,ストーリー が終了した時,
1110003,当該ストーリー開始,当該ストーリー が開始した時,
1110004,当該ストーリー終了,当該ストーリー が終了した時,
1120001,ボタンから指を離す,現在のインタフェースの任意のボタンから指を離した時,
1120002,インタフェースオン,現在のインタフェースを開いた時,
1120003,インタフェースオフ,現在のインタフェースを閉じた時,
1120004,ボタンを押す,現在のインタフェースの任意のボタンを押した時,
1120005,プレイヤーがインタフェースで文字列を入力,プレイヤー がインタフェースで任意の文字列を入力した時,
1120006,現在のインタフェースの ボタン から指を離した時,現在のインタフェースの%1から指を離した時,
1120007,現在のインタフェースの ボタン を押した時,現在のインタフェースの%1を押した時,
1120008,プレイヤー が現在のインターフェースの入力ボックスに内容を入力した時,プレイヤー が現在のインターフェースの%1に内容を入力した時,
1130001,音楽再生,BGM を再生し始めた時,
1140001,会員購入（1ヶ月）,プレイヤー が会員（1ヶ月）を購入した時,
1140002,Purchase Membership (3 Months),When player subscribed 3 months of Membership,
1140003,プレイヤーが開発者ショップからアイテムを購入/取出,プレイヤー が開発者ショップからアイテムを購入/取出した時,
120001,ランダムな特殊効果タイプ,ランダムな特殊効果タイプ,
120002,特殊効果タイプ,特殊効果タイプ%1,
120003,特殊効果タイプグループ,特殊効果タイプグループ%1,
130001,現在再生中の広告スペースの名前を取得,現在再生中の広告スペースの名前を取得,
140001,ブロックタイプ,ブロックタイプ%1,
140002,ブロックタイプグループ,ブロックタイプグループ%1,
140003,ブロックタイプ名,%1のタイプ名,
140004,ブロックタイプの説明,%1のプラグインの説明,
140005,ブロックタイプの外観,%1の外観,
150001,文字盤,"以下の内容が書かれた文字板：%1、文字サイズは%2、不透明度は%3%、番号は%4, 自動改行 %5",
150002,浮き出し文字,以下の内容が書かれた浮き出し文字：%1、文字サイズは%2、番号は%3,
150003,進捗バー,現在の値は%1、最大値は%2のプログレスバー、色は%3、番号は%4,
150004,対象を指す矢印,%1を指し示す矢印、大きさ%2、色%3、番号%4,
150005,位置を指す矢印,%1を指し示す矢印、大きさ%2、色%3、番号%4,
150006,対象を指すガイド面,%1を指し示すガイド面、大きさ%2、色%3、番号%4,
150007,位置を指すガイド面,%1を指し示すガイド面、大きさ%2、色%3、番号%4,
150008,対象を指すガイド線,%1を指し示すのガイド線、大きさ%2、色%3、番号%4,
150009,位置を指すガイド線,%1を指し示すのガイド線、大きさ%2、色%3、番号%4,
150010,画像,画像は%1、サイズは%2倍、不透明度は%3%、番号は%4,
160001,ランダムカラー,ランダムカラー,
170001,位置グループで指定される番号の位置,%1での番号%2の位置,
170002,位置グループでランダムな位置,%1でのランダムな位置,
180001,エリアグループで指定された番号のエリア,%1での番号%2のエリア,
180002,エリアグループでランダムなエリア,%1のランダムなエリア,
190001,数値グループでの指定される番号の数値,%1での番号%2の数値,
190002,数値グループでのランダムな数値,%1でのランダムな数値,
190003,数値グループの最大値を取得,%1の最大値を取得,
190004,数値グループの最小値を取得,%1の最小値を取得,
200001,文字列グループで指定された番号の文字列,%1での番号%2の文字列,
200002,文字列グループのランダムな文字列,%1でのランダムな文字列,
20001,数値演算,%1%2%3,
20002,剰余,%1Mod%2,
20003,乱数,ランダムな整数を生成：%1から%2,
20004,最大値,%1と%2の%3,
20005,整除,%1は%2で整除される,
20006,座標値,%1の%2座標値,
20007,位置間の水平角度,%1と%2の間の水平角度,
20008,位置間の垂直角度,%1と%2の間の垂直角度,
20009,べき乗,%1の%2次乗,
20010,冪根,%1の%2冪根,
20011,絶対値,%1の絶対値,
20012,三角関数,%1%2%3,
20013,底を固定した対数関数,%1%2,
20014,任意の底を持つ対数関数,Log%1%2,
20015,丸め,%2%1,
20016,ラジアン変換,%1を%2に変換,
20019,xorロジック,%1xor%2,
20020,高等四則演算,%1%2%3,
2010001,数値比較,%1%2%3,
2010002,乱数,%1%2%3,
2010003,最大値/最小値,%1%2%3,
2010004,整除,%1%2%3,
2010005,座標値,%1%2%3,
2010006,位置と位置の水平角度,%1%2%3,
2010007,位置と位置の垂直角度,%1%2%3,
2010008,べき乗,%1%2%3,
2010009,冪根,%1%2%3,
2010010,絶対値,%1%2%3,
2010011,三角関数,%1%2%3,
2010012,丸め,%1%2%3,
2010013,ラジアン変換,%1%2%3,
2010018,任意値比較,%1%2%3,
2010019,andロジック,%1and%2,
2010020,orロジック,%1or%2,
2010021,notロジック,not%1,
2020001,ゲームタイム,%1%2%3,
2020002,プレイヤー数,%1%2%3,
2020003,天気判定,%1%2%3,
2020004,重力判定,%1%2%3,
2020005,トリガー状態判定,%1は作動中,
2020006,トリガーグループ状態判定,%1は作動中,
2030001,チームステータス判定,%1%2%3,
2040001,プレイヤーステータス判定,%1%2%3,
2040002,手持ちのアイテム数,%1%2%3,
2040003,プレイヤーグループ内のプレイヤー番号判定,%1%2%3,
2040004,プレイヤーチーム判定,%1%2%3,
2040005,プレイヤー個体判定,%1%2%3,
2040006,プレイヤー向き,%1%2%3,
2040007,プレイヤーグループにいる判定,%1%2が%3に所属,
2040008,Player is in area to determine,%1%2 is in %3,
2040009,プレイヤーステータス効果判定,%1%2が%3に所属,
2040010,スタンプ判定,%1%2は%3,
2040011,プレイヤー設定判定,%1の%2は%3,
2040012,ショートカットバー選択,%1%2%3,
2040013,手持ちアイテムタイプ判定,%1%2%3,
2040014,装備バー判定,%1%2%3,
2040015,プレイヤー着用中の装備判定,%1%2は%3を着用中,
2040016,プレイヤー外観判定,%1%2%3,
2040017,プレイヤーバックパック空間判定,%1のショートカットバーとバックパックは%2個の%3を保存できる場合は%4,
2040018,プレイヤーバックパック内のアイテム判定,%1の%2内の%3は%4,
2040019,目標対象タイプ判定,事件中の目標対象タイプが%1の場合は%2,
2040020,プレイヤーのフレンド関係判定,%1%2がフレンド同士の場合は%3,
2040021,Whether player follows the author,%1 has %2,
2050001,プレイヤーグループ内のプレイヤー数,%1%2%3,
2050002,プレイヤーグループ内のプレイヤー番号,%1%2%3,
2050003,プレイヤーグループ内の特定番号を持つプレイヤー,%1%2%3,
2060001,生物ステータス,%1%2%3,
2060003,生物グループにいる判定,%1%2が%3に所属,
2060004,生物タイプ判定,%1%2%3,
2060005,生物個体判定,%1%2%3,
2060006,生物向き,%1%2%3,
2060007,Creature is in area to determine,%1%2 is in %3,
2060008,生物状態効果判定,%1%2が%3に所属,
2060009,生物チーム判定,%1%2%3,
2060010,生物グループ内の生物番号判定,%1%2%3,
2060011,生物設定判定,%1の%2は%3,
2060012,生物外観判定,%1%2%3,
2070001,生物グループ内の生物数,%1%2%3,
2070002,生物グループ内の特定番号を持つ生物,%1%2%3,
2080001,ドロップアイテム数判定,%1%2%3,
2080002,ドロップアイテムがエリアにある,%1%2が%3に所属,
2080003,アイテムタイプ判定,%1%2%3,
2080004,投擲物がエリアにある,%1%2が%3に所属,
2090001,位置と位置の間の距離,%1%2%3,
2090002,ブロックタイプ判定,%1%2%3,
2090003,ブロックスイッチ状態判定,%1のブロックスイッチ状態は%2,
2090004,ブロックがエリアにあるかの判定,%1%2が%3に所属,
2090005,ブロックの向き判定,%1にあるブロックが%2向きの場合は%3,
2090006,指定された位置のブロックタイプ,%1にあるブロックタイプは%2%3,
2090007,ブロック設定判定,%1の%2は%3,
2100001,タイマー時間判定,%1%2%3,
2100002,ブール値比較,%1%2%3,
2100003,文字列比較,%1%2%3,
2100004,音楽タイプ判定,%1%2%3,
2100005,サーバーリストから値を取得し判定を行う,サーバーリストまたはランキングから値を取得し判定を行った結果は%1,"1. テーブルやランキングから値を取得するアクションを引き継ぐ
2. 当該事件のあらゆるパラメータが渡される（例：事件を触発したプレイヤーや生物など）"
2100006,プレイヤーの会員身分有無の判定,%1%2ミニワールド会員は%3,
210001,ブール値グループで指定された番号のブール値,%1の中で番号は%2のブール値,
210002,ブール値グループでランダムなブール値,%1の中のランダムなブール値,
2110001,特定プレイヤーの乗り物,%1%2%3,
2120001,特殊効果判定,%1%2%3,
2130001,広告再生完了の判定,現在の広告再生完了の場合は%1,
2140001,状態効果判定,%1%2%3,
2140002,積み木判定,%1の%2に%3の存在を検査、モード%4に%5が必要,
2140003,積み木判定執行可能,%1の%2執行可能な積み木に%3の存在を検査、モード%4に%5が必要,
2140004,作動環境判定,現在は作動中かを検査,
2150001,コンポーネント判定,%1%2%3の%4,
2150002,ページ判定,%1%2%3,
220001,ブロックタイプグループで指定された番号のブロックタイプ,%1で番号が%2のブロックタイプ,
220002,ブロックタイプグループでランダムなブロックタイプ,%1でランダムなブロックタイプ,
221001,エリア相似度検査,エリア相似度検査：原始エリア%1 目的地起点%2、検査モード%3,
221002,エリア内のブロックタイプグループ,%1内のブロックタイプグループを取得,
221003,エリア内のブロック合計数,%1内のブロック合計数を取得,
221004,エリア内の指定されたタイプのブロック数,%1内のブロックタイプが%2のブロック数を取得,
230001,アイテムタイプグループ内の指定された番号のアイテムタイプ,%1で番号が%2のアイテムタイプ,
230002,アイテムタイプグループでランダムなアイテムタイプ,%1でランダムなアイテムタイプ,
240001,生物タイプグループで指定された番号の生物タイプ,%1で番号が%2の生物タイプ,
240002,生物タイプグループでランダムな生物タイプ,%1でランダムな生物タイプ,
250001,タイマーグループで指定された番号のタイマー,%1での番号%2のタイマー,
250002,タイマーグループでのランダムなタイマー,%1でのランダムなタイマー,
260001,特殊効果タイプグループで指定された番号の特殊効果タイプ,%1で番号が%2の特殊効果タイプ,
260002,特殊効果タイプグループでランダムな特殊効果タイプ,%1でランダムな特殊効果タイプ,
270004,アイテムタイプアイコン,%1のアイコン,
270005,生物アイコン,%1のアイコン,
270006,生物タイプアイコン,%1のアイコン,
270007,状態アイコン,%1のアイコン,
270008,ブロックタイプアイコン,%1のアイコン,
270009,現在のキャラクターのアイコン,現在のキャラクター%1のアイコン,
270010,プレイヤーのショートカットバーのアイコンを取得,%1ショートカットバーが%2アイコン,
280001,ランダムな投擲物タイプ,ランダムな投擲物タイプ,
290001,ランダムSE,ランダムSE,
300001,サーバーで取得した位置,サーバーで取得した位置,
300002,サーバーで取得したエリア,サーバーで取得したエリア,
300003,サーバーで取得した数値,サーバーで取得した数値,
300004,サーバーで取得した文字列,サーバーで取得した文字列,
300005,サーバーで取得したブール値,サーバーで取得したブール値,
300006,サーバーで取得したプレイヤー,サーバーで取得したプレイヤー,
300007,サーバーで取得したブロックタイプ,サーバーで取得したブロックタイプ,
300008,サーバーで取得したアイテムタイプ,サーバーで取得したアイテムタイプ,
300009,サーバーで取得した生物,サーバーで取得した生物,
30001,現在のゲーム時刻,現在のゲーム時間,
300010,サーバーで取得した生物タイプ,サーバーで取得した生物タイプ,
300011,サーバーで取得したタイマー,サーバーで取得したタイマー,
300012,サーバーで取得した特殊効果タイプ,サーバーで取得した特殊効果タイプ,
300013,ランキングで取得した順位,ランキングで取得した順位,
300014,サーバーで取得した名称（キー）,サーバーとランキングのインデックス名を取得（キー）,
300015,サーバーで取得したプレイヤー（キー）,サーバーとランキングのインデックスプレイヤーを取得（キー）,
30002,指定された順位のチーム,順位が%1のチーム,
30003,現在のゲーム重力倍数,現在のゲーム重力,
3010001,グローバル天気モード設定,グローバル天気モードを%1に設定,
3010002,時間設定,ゲーム時間を%1に設定,
3010003,重力設定,重力を%1に設定,
3010004,ゲーム中の加入設定,ゲーム中の加入を%1に設定,
3010005,ブロードキャストを送信,ブロードキャスト%1を送信,
3010006,ブロードキャストを送信して待つ,ブロードキャスト%1を送信して待つ,
3010007,時間の速度を設定,時間の速度を%1倍に設定,
3010008,天空ボックスマッピング設定,%1を%2に設定,"1.天空ボックスマッピングを設定すると星と雲が失効になる
2.天空ボックスマッピングを設定すると上部、中部、下部の色が失効になる"
3010009,天空ボックス色設定,%1%2を%3に設定,
3010010,天空ボックスパラメータ設定,%1%2を%3に設定,
3010011,サーバーブロードキャストを全てのクラウドサーバールームまで送信,サーバーブロードキャスト%1を全てのクラウドサーバールームまで送信,"1.インターネット無しで執行する時も有効だが、ローカルのみで有効
2.隔離：クラウドサーバーデバッグは自分のみに送信される。公開されたクラウドサーバーに送信する場合、公開されたクラウドサーバールームで執行する必要がある
3.制限：各ルームは15秒毎に1つのブロードキャストしか送信できない"
3010012,天空ボックステンプレート設定,現在の天空ボックスを%1に設定,
3010013,地形グループの天気設定,%1の天気を%2に設定,
3010014,天空ボックススイッチ設定,%1%2を%3に設定,
3020001,トリガー実行,%1を実行。条件が%2であればアクションを執行,
3020002,ループ操作トリガー,%1から%2まで、以下を実行：%3,
3020003,トリガー状態変更,%1の状態を以下に変更：%2,
3020004,トリガーグループの状態変更,%1の状態を以下に変更：%2,
3040001,ブロック作成,%1で%2を作成、向きは%3,
3040002,ブロック削除,%1でのブロックを削除,
3040003,ブロック交換,%1でのブロックを%2に交換、向きは%3,
3040004,ブロックスイッチ状態変更,%1のブロックスイッチ状態を以下に変更：%2,
3040005,ブロック権限設定,%1の%2を以下に設定：%3,
3040006,ブロックでエリアを埋める,%1で%2を埋め、向きは%3,
3040007,エリア内ブロックを完全削除,%1内の%2を完全削除,
3040008,エリア内のブロックをコピーし、指定地点に放置,%1内のブロックをコピーして%2に放置、向きは%3,
3040009,エリア内のブロックを交換,%1内の%2を%3に交換、向きは%4,
3040010,ブロック破壊,%1でのブロックを破壊,
3040011,カラーブロック作成,%1で%2を作成、向きは%3、色は%4（カラーブロックのみ有効）,
3040012,ブロックにアクションを再生させる,%1でのブロックに%2を再生させ、再生モードは%3,
3040013,カラーブロック交換,%1での%2を入れ替え、向きは%3、色は%4（カラーブロックのみ有効）,
3040014,エリア内の全てのブロックを完全削除,%1内のブロックを完全削除,
3040015,エリア内の特定のブロックを破壊,%1内の%2を破壊,
