ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
40,Mini-Beat,虚空からやって来た、エレクトロニック・ロックが大好きなDJ。最高のリズム感を持つ彼は、いつもパーティーの注目の的だ！,@Null@,体エフェクト：尻尾に電撃が走ります！,アイコン：アイコンを解放。,足跡：音符の足跡が残ります。,,,
41,ランスロット,騎士道とはなにか？剣の指し示す先に、正義を届けるのだ！,@Null@,体エフェクト：体の周りに星の光が漂うよ！,アイコン：アイコンを解放。,@Null@,,,
42,マシュメロ,システムネットワーク正常、電磁砲準備OK。え？技術オタクですって？なにを言いますか！これは科学者のロマンですよ！あや？バッテリー警報ですぅ！チャージしなくてはっ！,@Null@,@Null@,アイコン：アイコンを解放。,足跡：電子粒子の足跡が残ります。,,,
43,千兵衛,なかなかやるな！だが俺の二刀流の速さにはついてこれまい！,@Null@,@Null@,アイコン：アイコンを解放。,足跡：砂ぼこりの足跡が残ります。,,,
44,星翼,"「今回の試合に優勝することが、私への誕生日プレゼントよ！」
 賑やかな都会生活を愛する星翼がまたレースに姿を現した！勝つのはもちろん、彼女は勝ち方にもこだわるぞ！",@Null@,@Null@,アイコン：アイコンを解放。,足跡：小さなハートの足跡が残ります。,,,
45,アサシン離,元気いっぱいの暗殺者。独り言を言いながら自分に活を入れる。跳び針と、すべての物に毛糸キャップを被せるのが好き。,@Null@,@Null@,アイコン：アイコンを解放。,足跡：毛糸の足跡が残ります。,,,
46,アサシン暗,自分は冷酷な人間だと他人に思わせたい彼は、いつもクールにしているが、パートナーからはしょっちゅう注意力散漫だとツッコまれている。,@Null@,@Null@,アイコン：アイコンを解放。,足跡：ダーツの足跡が残ります。,,,
47,インコチュウチュウ,お空の雲は味がするんだよ、ホントだよ。私があなたの翼になって、世界で一番綺麗な所へ連れて行ってあげる！,@Null@,体エフェクト：王冠が光り輝く！,アイコン：アイコンを解放。,@Null@,,,
48,Mini-S,友と故郷のために、平和を、私が守る！,@Null@,体エフェクト：背中のメカが金色の粒子と光を放つ！,アイコン：アイコンを解放。,@Null@,,,
49,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
50,Joker,「やぁ！よく来たね旅人さん。不思議なマジックショーを見ていくかい？世にも不思議な体験をさせてあげよう！」,@Null@,@Null@,アイコン：アイコンを解放。,足跡：魔術の足跡が残ります。,,,
51,カナミ,きゃは！ルールは破るためにあるのよ、私がそれにスイートな理由を添えてあげるわ！,@Null@,@Null@,アイコン：アイコンを解放。,足跡：ペロペロキャンディーの足跡が残ります。,,,
52,Optimus Prime,私はOptimus Prime。惑星を彷徨うすべての仲間にこのメッセージを送る。われわれはここで君たちを待っているぞ！,@Null@,体エフェクト：ゲーム内の変形機能で外見切替えが可能！,アイコン：アイコンを解放。,足跡：陣営ロゴの足跡が残ります。,#cda5b0a変形：右の変形ボタンを押すと、ロボット/乗物形態を切替えることができます！#n,#cda5b0aトランスフォーマー専用スキル：サイバトロン攻防！#n,
53,Megatron,失敗だろうが裏切りだろうが、ワシは何者にも屈しない、それがMegatronだ。,@Null@,体エフェクト：ゲーム内の変形機能で外見切替えが可能！,アイコン：アイコンを解放。,足跡：陣営ロゴの足跡が残ります。,#cda5b0a変形：右の変形ボタンを押すと、ロボット/乗物形態を切替えることができます！#n,#cda5b0aトランスフォーマー専用スキル：デスキャノン！#n,
54,ムース,クリスマスになくてはならないのは、雪、ケーキ、素晴らしい魔法とあまーいあなた！,@Null@,@Null@,アイコン：アイコンを解放。,足跡：イチゴの足跡が残ります。,,,
55,ネズミ銀ちゃん,豊かな土地から萌蜜星にやってきた可愛い双子。明るいネズミ銀ちゃんは、秋の果物や落ち葉を集めるのが大好き。そして、冬になると集めた物で色んな物を作ってみんなに分け与えている。それが「豊穣」のコツなんだとか。,@Null@,@Null@,アイコン：アイコンを解放。,足跡：栗の足跡が残ります。,,,
56,ネズミ金ちゃん,豊かな土地から萌蜜星にやってきた可愛い双子。働き者のネズミ金ちゃんは、冬を越すのが困難な動物たちを助けるためにいつも忙しくしている。「豊穣」のバトンを繋いでくれる仲間がもっと増えること彼女が彼女の願いだ。,@Null@,体エフェクト：体の周りに花が舞うよ！,アイコン：アイコンを解放。,足跡：幸運結びの足跡が残ります。,,,
57,林千樹,一見みすぼらしいおじいちゃんに見えるが、実は朔野城の長老で武術の達人。程錦衣、アサシン離、アサシン暗の師匠でもある。この世界にはもう自分に敵う者はいないと気付いてからは、正確も穏やかになり、隠居生活を送っている。,イベントから解放アイテムを獲得できます。,@Null@,アイコン：アイコンを解放。,足跡：ひょうたんの足跡が残ります。,,,
58,Bumblebee,僕はBumblebee、君の友達だよ。Optimus Prime、君のためならこの命だって差し出すさ。,@Null@,体エフェクト：ゲーム内の変形機能で外見切替えが可能！,アイコン：アイコンを解放。,足跡：陣営ロゴの足跡が残ります。,#cda5b0a変形：右の変形ボタンを押すと、ロボット/乗物形態を切替えることができます！#n,#cda5b0aトランスフォーマー専用スキル：スティンガーソード！ #n,
59,花妖精,神秘的な雰囲気を放つ花妖精はお花が大好き。彼女の家の周りに植えられたたくさんの花が放つ香りには誰もが引きつけられる。魔法の星には、花に不思議な効果を与える力があるという、これは園芸師として見過ごすわけにはいかないだろう。,@Null@,体エフェクト：体の周りに星の光が漂うよ！,アイコン：アイコンを解放。,@Null@,,,
60,星霊,気が合う友達を求めて、空からやってくる星霊たち。空に向かって願い事をすると、それを聞き届けた星霊が君の元へやってきて、共に新しい世界を作ってくれるのだ。,@Null@,体エフェクト：体の周りに虹が漂うよ！,アイコン：アイコンを解放。,@Null@,,,
61,雪豹姫様,雪山に住む雪豹の少女。高原の守護者に選ばれた彼女は、生まれてからずっとこの地を守ってきた。性格はとても穏やかだが、故郷に危機が訪れるとそれに立ち向かう勇気と強さは目を見張るものがある。,イベントから解放アイテムを獲得できます。,体エフェクト：体の周りに雪の結晶が漂うよ！,アイコン：アイコンを解放。,@Null@,,,
62,エリ,一枚のトランプに連れられて、不思議な世界へとやって来た魔法学園の少女エリは、そこで優しいウサギさんと出会う。たとえ何が待ち受けようと、ウサギさんと一緒なら、どんな冒険だって楽しいはず。,@Null@,体エフェクト：体の周りにお花のマークが漂うよ！,アイコン：アイコンを解放。,@Null@,,,
63,忍者カエル,萌蜜蛙の一族で生まれ育った彼は、忍術をたくさん学び、最強の打たれ強さを手に入れた。でも本当は訓練よりも、夏の夜に池の傍で始まる蛙の合唱を聞くのが一番好きだったりするのだ。,イベントから解放アイテムを獲得できます。,@Null@,アイコン：アイコンを解放。,足跡：青蛙の足跡が残ります。,,,
64,Starscream,自分は「デストロンのリーダーとなる運命」だと思っているStarscreamは、常にMegatronとその座を争っている。そのせいで何度も攻撃計画を邪魔されているMegatronはかなり困っているようだ。,@Null@,体エフェクト：ゲーム内の変形機能で外見切替えが可能！,アイコン：アイコンを解放。,足跡：陣営ロゴの足跡が残ります。,#cda5b0a変形：右の変形ボタンを押すと、ロボット/乗物形態を切替えることができます！#n,#cda5b0aトランスフォーマー専用スキル：空中警報！#n,
65,Hot Rod,落ち着きがあり、冷静で責任感の強い彼はサイバトロンの未来のリーダーであり、宇宙の希望だ。どんなに凶悪な相手でもひるまず、颯爽と向かっていくぞ！,@Null@,体エフェクト：ゲーム内の変形機能で外見切替えが可能！,アイコン：アイコンを解放。,足跡：陣営ロゴの足跡が残ります。,#cda5b0a変形：右の変形ボタンを押すと、ロボット/乗物形態を切替えることができます！#n,#cda5b0aトランスフォーマー専用スキル：レッドサンダー！#n,
66,Galvatron,彼はMegatronよりも強く、残酷無情な暴君だ。改造された彼の野心はますます膨れ上がった。宇宙の全てをもってしても、力の化身となった彼を満足させことはできないかもしれない。,@Null@,体エフェクト：ゲーム内の変形機能で外見切替えが可能！,アイコン：アイコンを解放。,足跡：陣営ロゴの足跡が残ります。,#cda5b0a変形：右の変形ボタンを押すと、ロボット/乗物形態を切替えることができます！#n,#cda5b0aトランスフォーマー専用スキル：チェンジングレーザー！#n,
67,全能ラウル,バーチャルと現実間を行き交うラウルは、いつも問題をゲームのように解決する。運と実力でクリアできないなら、あとは時間に任せればいい。時間は人を成長させ、成長は問題を解決する最終手段なのだから。,イベントから解放アイテムを獲得できます。,体エフェクト：体の周りに文字が浮かび上がるよ！,アイコン：アイコンを解放。,@Null@,,,
68,少女鈴音,少女鈴音はロボット仲間のキューブをつれてバーチャルと現実間を行き交うのが大好き。世界の面白い所を探しながら、賑やかな喧噪を楽しむのだ。でも暫くすれば彼女はまた次の場所へと向かう、真に感動できるあのネオンの光を求めて。,イベントから解放アイテムを獲得できます。,体エフェクト：体の周りに紫色の粒子が舞うよ！,アイコン：アイコンを解放。,@Null@,,,
69,青弦,青弦は「チマキ工房」の後継者だが、彼女の夢は琴の達人になること。「チマキ工房」の名声を落とさなければ、彼女が琴の練習をするのは止めないと両親は言った。もちろん、「チマキ工房」と「琴の達人」、青弦はどちらも手放すつもりはない。,@Null@,体エフェクト：体の周りに粽の葉っぱが舞うよ！,アイコン：アイコンを解放。,@Null@,,,
70,Twilight Sparkle,とても頭のいいポニー。読書が大好きでリーダーシップもある彼女。プリンセスセレスティアにポニービルで​友情の魔法を学ぶよう言われた彼女は、なんと新しい友情の魔法をも生み出してしまう。,@Null@,体エフェクト：体の周りに魔法の字が浮かび上がるよ！,アイコン：アイコンを解放。,@Null@,,,
71,Princess Celestia,エクエストリアで最も影響力のある統治者の一人。強大な魔力を持ち、昼間を司る彼女だが、とても穏やかでみんなに好かれている。いつも優雅な彼女だが、実はケーキには目がなかったりする。,@Null@,体エフェクト：体の周りを金色の光りが舞うよ！,アイコン：アイコンを解放。,@Null@,,,
72,Fluttershy,エクエストリアの端っこにある小屋に住んでいる彼女は、様々な動物たちとお友達になり、一緒に行動させることができる。シンボルは「親切」。,@Null@,体エフェクト：体の周りを金色の光りが舞うよ！,アイコン：アイコンを解放。,@Null@,,,
73,プリンセスルナ,プリンセスセレスティアの妹。エクエストリアの二人目の統治者。夜と夢を司り、月を呼び出し、悪夢にうなされているポニーたちを救ってくれる。物静かな見た目だが、実はとても優しい性格。,イベントから解放アイテムを獲得できます。,体エフェクト：体の周りに月のマークが浮かび上がるよ！,アイコン：アイコンを解放。,@Null@,,,
74,グリムロック,グリムロックはダイノボット部隊の指揮官。最も強いダイノボットだ。行き当たりばったりな性格で仲間たちを悩ませているが、勇敢な彼に助けられた者もたくさんいる。,イベントから解放アイテムを獲得できます。,体エフェクト：電磁火花が飛び散るぞ。,アイコン：アイコンを解放。,足跡：陣営ロゴの足跡が残ります。,#cda5b0a変形：右の変形ボタンを押すと、ロボット/恐竜形態を切替えることができます！#n,#cda5b0aトランスフォーマー専用スキル：竜の咆哮！#n,
75,Swoop,単細胞なSwoopの行動にはいつも悩まされるが、本当はとっても優しい勇敢な戦士。ダイノボットの頼れる仲間の一人、敵を視察する重要な役割を担っているぞ。,@Null@,体エフェクト：電磁火花が飛び散るぞ。,アイコン：アイコンを解放。,足跡：陣営ロゴの足跡が残ります。,#cda5b0a変形：右の変形ボタンを押すと、ロボット/恐竜形態を切替えることができます！#n,#cda5b0aトランスフォーマー専用スキル：高速の翼！#n,
76,Snarl,ひねくれものな彼は、戦略を練ることは他人任せ。グリムロックの命令だけを聞いて動くので、戦場ではグリムロックの右腕的なポジションだ。,@Null@,体エフェクト：電磁火花が飛び散るぞ。,アイコン：アイコンを解放。,足跡：陣営ロゴの足跡が残ります。,,,
77,旅行者ダキ,色の魔法で世界を浄化する旅の画家だと言われている彼。暖色は情熱的、寒色は落ち着き。ダーチ自身もオレンジと青を混ぜ合わせて自分の色を体現している。冷静と熱意、それが彼の性格のパレットなのだ。,イベントから解放アイテムを獲得できます。,@Null@,アイコン：アイコンを解放。,足跡：青い絵具の足跡が残ります。,,,
78,タリア,「私と交換しましょう！特別な物を私にくれれば、あなたの夢を叶えてさしあげるわ！」タリアのサインが書かれた手紙が、魔法を愛する人たち手に届けられた。1900番の浮島、美しく謎めいた女王がアーケイン星に舞い降りる！,イベントから解放アイテムを獲得できます。,体エフェクト：体の周りに紫の花びらが舞うよ！,アイコン：アイコンを解放。,足跡：薔薇の足跡が残ります。,,,
79,森の隠者ウタ,いつも森の奥にいるウタは、特定の季節にしか姿を現さない。不思議な呪術で人々の病気を治し、悪夢を取り除いてくれる彼は、動物や精霊の声を聞くこともできる。彼は謎の森の隠者であり、人々に敬われる森の子もあるのだ。,@Null@,体エフェクト：呪術の文字が飛び交うよ！,アイコン：アイコンを解放。,@Null@,,,
80,ウサギラビさん,ウサギ先生になって星の間を飛び回るのはラビの得意技だ。でもエリだけには変装を見破られてしまう。一枚のトランプで二人は出会い、奇妙が旅がそこから始まった。これはトランプのマジックか？いや、きっと運命の魔法さ！,イベントから解放アイテムを獲得できます。,体エフェクト：体の周りをウサギの紋章が舞うよ！,アイコン：アイコンを解放。,@Null@,#cd65b00変形：右の変形ボタンを押すと、ウサギ/人型形態を切替えることができます！#n,,
81,Pinkie Pie,ひる人ぞ知る「パーティーポニー」、底無しの体力を持っている彼女は、明るくて活発的、悪戯や歌を歌うのが大好き。お菓子を作るのも得意だ。シンボルは「笑顔」。,@Null@,体エフェクト：体の周りをピンクのハートが舞うよ！,アイコン：アイコンを解放。,@Null@,,,
82,白夜の魔女キャロル,カロアはキャンディーが大好き。だってキャンディーは幸運を運んでくれるから。行く当てがなかった彼女を引き取ってくれたのはキャンディー屋さん、「白夜」と出会わせてくれたのもキャンディーのおかげ、そして彼女が魔法を習得できたのも…今日のキャンディーを引いてみて！きっと嬉しいことが待ってるよ！,@Null@,体エフェクト：体の周りに魔法の光が漂うよ！,アイコン：アイコンを解放。,@Null@,,,
83,わさびちゃん,アニメのスーパーヒーローが大好きなわさびちゃんは、本物のヒーローに励まされ、星のマントを羽織り、困っている人たちを助けよと誓った。そうすれば、将来必ずスーパーヒーローになれると信じているから。,イベントから解放アイテムを獲得できます。,@Null@,アイコン：アイコンを解放。,足跡：水しぶきの足跡が残ります。,,,
84,タコ君,萌蜜蛸一族のタコ君は、ワカメ村での生活に飽き飽きしていた。広い大海原に浮かんで、星を眺めるのが大好きな彼の夢は、友達と協力して宇宙まで飛んでいけるロケットを作ること！,イベントから解放アイテムを獲得できます。,体エフェクト：体の周りに水しぶきが漂うよ！,アイコン：アイコンを解放。,@Null@,,,
85,ギギ熊,人生は冒険の連続だ、冒険は試練だ。危険の中で人は自分を知り、時代に取り残されないよう走り続けろ！不可能に挑戦したければ、ギギ熊と一緒に冒険しよう！,イベントから解放アイテムを獲得できます。,@Null@,アイコン：アイコンを解放。,足跡：白くまの足跡が残ります。,,,
86,Starlight Glimmer,トワイライトにも負けない強力な魔法を扱える彼女は、ユートピアを作ろうとしたがトワイライトに説得され、主人公たちの友達になった。今の彼女は友情の学校の校長だ。,@Null@,体エフェクト：体の周りに青い星の光が漂うよ！,アイコン：アイコンを解放。,@Null@,,,
87,Rainbow Dash,勇敢で陽気なレインボーは冒険と悪戯が大好き。素早く走る彼女の後ろには虹が尾を引いている。レインボーロックはお手の物だ！シンボルは「忠実」。,@Null@,体エフェクト：体から虹色の帯が漂うよ！,アイコン：アイコンを解放。,@Null@,,,
88,Princess Cadence,プリンセスセレスティアの学生だった彼女は、美しくて優しく、キング・ソンブラを倒してクリスタル・エンパイアの守護者となった。シンボルはクリスタル・エンパイアの象徴でもある愛と光を表している。,@Null@,体エフェクト：体の周りを水晶の宝石が漂うよ！,アイコン：アイコンを解放。,@Null@,,,
89,初暮,「私と一緒に大自然の不思議を研究しましょう！」魔法学院の初暮は、いつも昆虫の魔法をみんなに勧めている、そんな彼女の情熱がミシヤ教授に気に入られたようだ。,@Null@,体エフェクト：体の周りに光る蝶々が舞うよ！,アイコン：アイコンを解放。,足跡：月蛾の足跡が残ります。,,,
90,Predaking,Predakingは5体のアニマトロンが合体した姿だ。強力な攻撃力と防御力を持ち、デストロンでも最も凶悪な戦闘機だ。彼は獲物を狩ることにしか興味がない、無敵の戦士であり、すべてを破壊する武器でもある。,@Null@,体エフェクト：ゲーム内の変形機能で外見切替えが可能！,アイコン：アイコンを解放。,足跡：陣営ロゴの足跡が残ります。,#cda5b0a変形：右の変形ボタンを押すと、合体モードに切替えられます！#n,#cda5b0aトランスフォーマー専用スキル：アンガーパワー！#n,
91,Razorclaw,@Null@,@Null@,体エフェクト：ゲーム内の変形機能で外見切替えが可能！,アイコン：アイコンを解放。,足跡：陣営ロゴの足跡が残ります。,,,
92,Headstrong,@Null@,@Null@,体エフェクト：ゲーム内の変形機能で外見切替えが可能！,アイコン：アイコンを解放。,足跡：陣営ロゴの足跡が残ります。,,,
93,Tantrum,@Null@,@Null@,体エフェクト：ゲーム内の変形機能で外見切替えが可能！,アイコン：アイコンを解放。,足跡：陣営ロゴの足跡が残ります。,,,
94,Rampage,@Null@,@Null@,体エフェクト：ゲーム内の変形機能で外見切替えが可能！,アイコン：アイコンを解放。,足跡：陣営ロゴの足跡が残ります。,,,
95,Divebomb,@Null@,@Null@,体エフェクト：ゲーム内の変形機能で外見切替えが可能！,アイコン：アイコンを解放。,足跡：陣営ロゴの足跡が残ります。,,,
96,Superion,エアーボットのメンバーが合体した姿。彼の行動原理はすべて次の二つからできている、一つ、デストロンを破壊する。二つ、他人を守る。邪悪な勢力が近づくと、彼はその身を挺して地球の平和を守るのだ。,@Null@,体エフェクト：ゲーム内の変形機能で外見切替えが可能！,アイコン：アイコンを解放。,足跡：陣営ロゴの足跡が残ります。,#cda5b0a変形：右の変形ボタンを押すと、合体モードに切替えられます！#n,#cda5b0aトランスフォーマー専用スキル：フェイトパワー！#n,
97,Silverbolt,@Null@,@Null@,体エフェクト：ゲーム内の変形機能で外見切替えが可能！,アイコン：アイコンを解放。,足跡：陣営ロゴの足跡が残ります。,,,
98,Slingshot,@Null@,@Null@,体エフェクト：ゲーム内の変形機能で外見切替えが可能！,アイコン：アイコンを解放。,足跡：陣営ロゴの足跡が残ります。,,,
99,Skydive,@Null@,@Null@,体エフェクト：ゲーム内の変形機能で外見切替えが可能！,アイコン：アイコンを解放。,足跡：陣営ロゴの足跡が残ります。,,,
100,Air Raid,@Null@,@Null@,体エフェクト：ゲーム内の変形機能で外見切替えが可能！,アイコン：アイコンを解放。,足跡：陣営ロゴの足跡が残ります。,,,
101,Fireflight,@Null@,@Null@,体エフェクト：ゲーム内の変形機能で外見切替えが可能！,アイコン：アイコンを解放。,足跡：陣営ロゴの足跡が残ります。,,,
102,聖嬰,俺の槍は仙奉一だ！文句がある奴はかかってこい！,ガチャから取得,足跡：大聖の足跡が残ります。,アイコン：アイコンを解放。,@Null@,,,
103,魔炎,我こそは炎の支配者！風林火山こそ我が信条だ！,@Null@,体エフェクト：体から妖怪王のオーラを発するよ！,アイコン：アイコンを解放。,@Null@,#cd65b00変形：右の変形ボタンを押すと、牛/人型形態を切替えることができます！#n,#cd65b00魔炎専用スキル：暴れ牛の蛮力！#n,
