接口ID,日语,日语,日语,日语,日语,日语,日语
20022,ワールド管理,despawnCreature,World:despawnCreature(objid),objid:number,ErrorCode.OK,生き物を取り除く,"local result = World:despawnCreature(objids[1])
if result == ErrorCode.OK then print('Despawn the creature') end"
20023,ワールド管理,spawnItem,"World:spawnItem(x, y, z, itemid, num)","x|y|z:number, itemid:number, num:number","ErrorCode.OK, objid:number",指定の場所にアイテムを生成する,"local xPos, yPos, zPos = 5, 6, 7
local itemId, itemCnt = 15003, 30 --Item's id and number
local ret, objIds = World:spawnItem(xPos, yPos, zPos, itemId, itemCnt)
if ret == ErrorCode.OK then print(""Item[1]====>>>"", objIds[1]) end"
20024,ワールド管理,despawnItemByBox,"World:despawnItemByBox(x1, y1, z1, x2, y2, z2)","x1|y1|z1:number starting point, x2|y2|z2:number ending point",ErrorCode.OK,アイテムを削除する（地域別）,"local x1, y1, z1 = -5, 5, -5
local x2, y2, z2 = 15, 9, 15
local result = World:despawnItemByBox(x1,y1,z1, x2,y2,z2)
if result == ErrorCode.OK then print('Successfully remove Item in designate region') end"
20025,ワールド管理,despawnItemByObjid,World:despawnItemByObjid(objid),objid:number,ErrorCode.OK,アイテムを削除する（ID順）,"local result = World:despawnItemByObjid(objIds[1])
if result == ErrorCode.OK then print('Successfully remove designate item') end"
20026,ワールド管理,spawnProjectile,"World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)","shooter:number, itemid:number, x|y|z:number, dirx|diry|dirz:number, speed:number",ErrorCode.OK,投げ物を生成,"local result = World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)"
30001,ブロック管理,isSolidBlock,"Block:isSolidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",ブロックが実体かどうか,"local result = Block:isSolidBlock(x, y, z)"
30002,ブロック管理,isLiquidBlock,"Block:isLiquidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",ブロックが流動的かどうか,"local result = Block:isLiquidBlock(x, y, z)"
30003,ブロック管理,isAirBlock,"Block:isAirBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",ブロックが空気かどうか,"local result = Block:isAirBlock(x, y, z)"
30004,ブロック管理,getBlockID,"Block:getBlockID(x, y, z)",x|y|z:number,"ErrorCode.OK, id:number",ブロックに対応するidを取得,"local result = Block:getBlockID(x, y, z)"
30005,ブロック管理,setBlockAll,"Block:setBlockAll(x, y, z, blockid, data)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,blockalldataの更新＋お知らせを設定する,"local result = Block:setBlockAll(x, y, z, blockid, data)"
30006,ブロック管理,destroyBlock,"Block:destroyBlock(x, y, z, dropitem)","x|y|z:number, dropitem:boolean",ErrorCode.OK,ブロックを破壊する,"local result = Block:destroyBlock(x, y, z, dropitem)"
30007,ブロック管理,placeBlock,"Block:placeBlock(blockid, x, y, z, face)","blockid:number, x|y|z:number, face:number","ErrorCode.OK, ret:boolean whether it is placed right",ブロックを置く,"local result = Block:placeBlock(blockid, x, y, z, face)"
30008,ブロック管理,setBlockAllForUpdate,"Block:setBlockAllForUpdate(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,blockalldataを設定して周囲のブロックにお知らせをする,"local result = Block:setBlockAllForUpdate(x, y, z, blockid)"
30009,ブロック管理,setBlockAllForNotify,"Block:setBlockAllForNotify(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,blockalldataを設定し、現在位置のブロックを更新します,"local result = Block:setBlockAllForNotify(x, y, z, blockid)"
30010,ブロック管理,setBlockSettingAttState,"Block:setBlockSettingAttState(blockid, atttype, switch)","blockid:number, atttype:BLOCKATTR, switch:boolean",ErrorCode.OK,ブロックの属性と状態を設定する,"local result = Block:setBlockSettingAttState(blockid, atttype, switch)"
30011,ブロック管理,getBlockSwitchStatus,Block:getBlockSwitchStatus(pos),x|y|z:number,"ErrorCode.OK, isactive:boolean",機能ブロックのオンオフ状態を取得,local result = Block:getBlockSwitchStatus(pos)
30012,ブロック管理,setBlockSwitchStatus,"Block:setBlockSwitchStatus(pos, isactive)","x|y|z:number, isactive:boolean",ErrorCode.OK,機能ブロックのオンオフ状態を設定する,"local result = Block:setBlockSwitchStatus(pos, isactive)"
40001,ゲームActor,isPlayer,Actor:isPlayer(objid),objid,ErrorCode.OK is player is player,プレイヤーかどうかを検出,local result = Actor:isPlayer(objid)
40002,ゲームActor,isMob,Actor:isMob(objid),objid,ErrorCode.OK is monster is monster,それがモンスターかどうかを検出,local result = Actor:isMob(objid)
40003,ゲームActor,getObjType,Actor:getObjType(objid),objid,"ErrorCode.OK, objtype:number",actorのタイプを取得：生き物/プレイヤー...,local result = Actor:getObjType(objid)
40004,ゲームActor,isInAir,Actor:isInAir(objid),objid:number,ErrorCode.OK,空にいるかどうか,local result = Actor:isInAir(objid)
40005,ゲームActor,getPosition,Actor:getPosition(objid),objid,"ErrorCode.OK, x|y|z:number",actorの位置を取得,local result = Actor:getPosition(objid)
40006,ゲームActor,setPosition,"Actor:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,actorの位置を設定,"local result = Actor:setPosition(objid, x, y, z)"
40007,ゲームActor,jump,Actor:jump(objid),objid:number,ErrorCode.OK,ジャンプ,local result = Actor:jump(objid)
40008,ゲームActor,killSelf,Actor:killSelf(objid),objid:number,ErrorCode.OK,自殺,local result = Actor:killSelf(objid)
40009,ゲームActor,getCurPlaceDir,Actor:getCurPlaceDir(objid),objid:number,"ErrorCode.OK, dir:number",現在の向きを取得,local result = Actor:getCurPlaceDir(objid)
40010,ゲームActor,tryMoveToActor,"Actor:tryMoveToActor(self_objid, target_objid, speed)","self_objid:number, target_objid:number, speed:number",ErrorCode.OK,ターゲットのactorに向かって移す,"local result = Actor:tryMoveToActor(self_objid, target_objid, speed)"
40011,ゲームActor,tryMoveToPos,"Actor:tryMoveToPos(objid, x, y, z, speed)","objid:number, x|y|z:number, speed:number",ErrorCode.OK,ターゲット場所に向かって移動,"local result = Actor:tryMoveToPos(objid, x, y, z, speed)"
40012,ゲームActor,addBuff,"Actor:addBuff(objid, buffid, bufflv, customticks)","objid:number, buffid:number, bufflv:number, customticks:number",ErrorCode.OK,buffを追加する,"local result = Actor:addBuff(objid, buffid, bufflv, customticks)"
40013,ゲームActor,hasBuff,"Actor:hasBuff(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ret:boolean",それに何かbuffがあるかどうか,"local result = Actor:hasBuff(objid, buffid)"
40014,ゲームActor,removeBuff,"Actor:removeBuff(objid, buffid)","objid:number, buffid:number",ErrorCode.OK,buffを削除,"local result = Actor:removeBuff(objid, buffid)"
40015,ゲームActor,clearAllBuff,Actor:clearAllBuff(objid),objid:number,ErrorCode.OK,すべてのバフをクリア,local result = Actor:clearAllBuff(objid)
40016,ゲームActor,clearAllBadBuff,Actor:clearAllBadBuff(objid),objid:number,ErrorCode.OK,ネガティブbuffをすべてクリアする,local result = Actor:clearAllBadBuff(objid)
40017,ゲームActor,getBuffList,Actor:getBuffList(objid),objid:number,"ErrorCode.OK, num:numberbuff number, array:tablebuffid array",buffリストを入手する,local result = Actor:getBuffList(objid)
40018,ゲームActor,getBuffLeftTick,"Actor:getBuffLeftTick(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ticks:number",現在のindexの対応するbuffの残りのitckを取得します,"local result = Actor:getBuffLeftTick(objid, buffid)"
40019,ゲームActor,addHP,"Actor:addHP(objid, hp)","objid:number, hp:number",ErrorCode.OK,現在のHPを増やす,"local result = Actor:addHP(objid, hp)"
40020,ゲームActor,getHP,Actor:getHP(objid),objid:number,"ErrorCode.OK, value:number",現在のHPを入手する,local result = Actor:getHP(objid)
40021,ゲームActor,getMaxHP,Actor:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",現在の最大HPを取得,local result = Actor:getMaxHP(objid)
40022,ゲームActor,addOxygen,"Actor:addOxygen(objid, oxygen)","objid:number, oxygen:number",ErrorCode.OK,酸素量を増やす,"local result = Actor:addOxygen(objid, oxygen)"
40023,ゲームActor,getOxygen,Actor:getOxygen(objid),objid:number,"ErrorCode.OK, value:number",酸素量を取得する,local result = Actor:getOxygen(objid)
40024,ゲームActor,addEnchant,"Actor:addEnchant(objid, slot, enchantId, enchantLevel)","objid:number, slot:number, enchantId:number, enchantLevel:number",ErrorCode.OK,対応する装備品の強化を追加する,"local result = Actor:addEnchant(objid, slot, enchantId, enchantLevel)"
40025,ゲームActor,removeEnchant,"Actor:removeEnchant(objid, slot, enchantId)","objid:number, slot:number, enchantId:number",ErrorCode.OK,対応する装備品のenchantmentをクリアする。,"local result = Actor:removeEnchant(objid, slot, enchantId)"
40026,ゲームActor,findNearestBlock,"Actor:findNearestBlock(objid, blockid, blockRange)","objid:number, blockid:number, blockRange","ErrorCode.OK, x|y|z:number",最も近いブロックのIDを探す,"local result = Actor:findNearestBlock(objid, blockid, blockRange)"
40027,ゲームActor,setFaceYaw,"Actor:setFaceYaw(objid, yaw)","objid:number, yaw:number angle",ErrorCode.OK,actorの視角の横方向の偏移を設定する,"local result = Actor:setFaceYaw(objid, yaw)"
40028,ゲームActor,getFaceYaw,Actor:getFaceYaw(objid),objid:number,"ErrorCode.OK, yaw:number",actorの視角の横方向の偏移を受け取る。,local result = Actor:getFaceYaw(objid)
40029,ゲームActor,turnFaceYaw,"Actor:turnFaceYaw(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,actorの視角の横方向の偏移を回転させる。,"local result = Actor:turnFaceYaw(objid, offset)"
40030,ゲームActor,setFacePitch,"Actor:setFacePitch(objid, pitch)","objid:number, pitch:number upward view",ErrorCode.OK,actorの視角の上向き角度を設定する。,"local result = Actor:setFacePitch(objid, pitch)"
40031,ゲームActor,getFacePitch,Actor:getFacePitch(objid),objid:number,"ErrorCode.OK, pitch:number",actorの視角の上向き角度を獲得する。,local result = Actor:getFacePitch(objid)
40032,ゲームActor,turnFacePitch,"Actor:turnFacePitch(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,actorの視角の上向き角度を回転させる。,"local result = Actor:turnFacePitch(objid, offset)"
40033,ゲームActor,playBodyEffect,"Actor:playBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,エフェクトを再生する,"local result = Actor:playBodyEffect(objid, type)"
40034,ゲームActor,stopBodyEffect,"Actor:stopBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,エフェクトを止める,"local result = Actor:stopBodyEffect(objid, type)"
40035,ゲームActor,playBodyEffectByFile,"Actor:playBodyEffectByFile(objid, filename, sync)","objid:number, filename:string file name, sync:bool synchronize",ErrorCode.OK,ファイル効果を再生する,"local result = Actor:playBodyEffectByFile(objid, filename, sync)"
40036,ゲームActor,stopBodyEffectByFile,"Actor:stopBodyEffectByFile(objid, filename)","objid:number, filename:string file name",ErrorCode.OK,ファイル効果を停止する,"local result = Actor:stopBodyEffectByFile(objid, filename)"
40037,ゲームActor,playSound,"Actor:playSound(objid, name, volume, pitch, flag)","objid:number, name:string, volume:number, pitch:number, flag:number",ErrorCode.OK,音を出す,"local result = Actor:playSound(objid, name, volume, pitch, flag)"
40038,ゲームActor,playSoundSpecial,"Actor:playSoundSpecial(objid, name, type)","objid:number, name:string, type:number designate name (GSOUND_TYPE)",ErrorCode.OK,音を鳴らす（特定タイプ：GSOUND_TYPE）,"local result = Actor:playSoundSpecial(objid, name, type)"
40039,ゲームActor,clearActorWithId,"Actor:clearActorWithId(actorid, bkill)","actorid:number, bkill:boolean",ErrorCode.OK,IDがactoridの生き物のIDをクリアする,"local result = Actor:clearActorWithId(actorid, bkill)"
40040,ゲームActor,setAttackType,"Actor:setAttackType(objid, attacktype)","objid:number, attacktype:number",ErrorCode.OK,ダメージタイプを設定,"local result = Actor:setAttackType(objid, attacktype)"
40041,ゲームActor,setImmuneType,"Actor:setImmuneType(objid, immunetype, isadd)","objid:number, immunetype:number, isadd:number",ErrorCode.OK,ダメージ耐性タイプを設定,"local result = Actor:setImmuneType(objid, immunetype, isadd)"
40042,ゲームActor,mountActor,"Actor:mountActor(objid, mountobjid, posindex)","objid:number, mountobjid:number, posindex:number ride",ErrorCode.OK,乗り降りする,"local result = Actor:mountActor(objid, mountobjid, posindex)"
40043,ゲームActor,setActionAttrState,"Actor:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,生き物の振る舞い、属性、状態を設定する,"local result = Actor:setActionAttrState(objid, actionattr, switch)"
40044,ゲームActor,tryNavigationToPos,"Actor:tryNavigationToPos(objid, x, y, z, cancontrol)","objid:number, x|y|z:number, cancontrol:boolean",ErrorCode.OK,ターゲット場所への道を見つける,"local result = Actor:tryNavigationToPos(objid, x, y, z, cancontrol)"
40045,ゲームActor,getRidingActorObjId,Actor:getRidingActorObjId(objid),objid:number,ErrorCode.OK,乗る生き物のobjidを受取る,local result = Actor:getRidingActorObjId(objid)
50001,プレイヤー,getAttr,Player:getAttr(attrtype),"objid:number, atttype:number","ErrorCode.OK, value:number",nil,local result = Player:getAttr(attrtype)
50002,プレイヤー,setAttr,"Player:setAttr(attrtype, val)","objid:number, val:number, atttype:number",ErrorCode.OK,nil,"local result = Player:setAttr(attrtype, val)"
50003,プレイヤー,getHostUin,Player:getHostUin(),nil,"ErrorCode.OK, uin:number",ホストを取得,local result = Player:getHostUin()
50004,プレイヤー,isMainPlayer,Player:isMainPlayer(objid),objid:number,ErrorCode.OK is local player is local player,地元のプレイヤーかどうかを検出する,local result = Player:isMainPlayer(objid)
50005,プレイヤー,getMainPlayerUin,Player:getMainPlayerUin(),nil,"ErrorCode.OK, uin:number",地元のプレイヤーのuinを受取る,local result = Player:getMainPlayerUin()
50006,プレイヤー,getGameResults,Player:getGameResults(objid),objid:number,"ErrorCode.OK, value:number",ゲームの結果を入手,local result = Player:getGameResults(objid)
50007,プレイヤー,setGameResults,"Player:setGameResults(objid, result)","objid:number, result",ErrorCode.OK,ゲームの設定結果,"local result = Player:setGameResults(objid, result)"
50008,プレイヤー,getGameScore,Player:getGameScore(objid),objid:number,"ErrorCode.OK, value:number",ゲームの得点を取得する,local result = Player:getGameScore(objid)
50009,プレイヤー,setGameScore,"Player:setGameScore(objid, score)",objid:number,"ErrorCode.OK, value:number",ゲームのスコアを設定する,"local result = Player:setGameScore(objid, score)"
50010,プレイヤー,getGameRanking,Player:getGameRanking(objid),objid:number,"ErrorCode.OK, rank:number",プレイヤーのランクを取得,local result = Player:getGameRanking(objid)
50011,プレイヤー,setGameRanking,"Player:setGameRanking(objid, rank)","objid:number, rank:number",ErrorCode.OK,プレイヤーのランクを設定,"local result = Player:setGameRanking(objid, rank)"
50012,プレイヤー,gainItems,"Player:gainItems(objid, itemid, num, prioritytype)","objid:number, itemid:number, num:number, prioritytype:number(1 is shortcut bar prior 2 is backpack bar prior)",ErrorCode.OK,プレーヤー用のアイテムを追加する,"local result = Player:gainItems(objid, itemid, num, prioritytype)"
50013,プレイヤー,teleportHome,Player:teleportHome(objid),objid:number,ErrorCode.OK,出生地に移動する,local result = Player:teleportHome(objid)
50014,プレイヤー,getCurToolID,Player:getCurToolID(objid),objid:number,"ErrorCode.OK, ret",現在プレーヤーが持っているアイテムIDを取得します,local result = Player:getCurToolID(objid)
50015,プレイヤー,getNickname,Player:getNickname(objid),objid:number,"ErrorCode.OK, name:string",プレイヤーの名前を取得,local result = Player:getNickname(objid)
50016,プレイヤー,removeBackpackItem,"Player:removeBackpackItem(objid, itemid, num)","objid:number, itemid:number, num:number",ErrorCode.OK,バックパックの中身を取り除く,"local result = Player:removeBackpackItem(objid, itemid, num)"
50017,プレイヤー,getDieTimes,Player:getDieTimes(objid),objid:number,"ErrorCode.OK, value:number",死亡数を取得する,local result = Player:getDieTimes(objid)
50018,プレイヤー,getLeftLifeNum,Player:getLeftLifeNum(objid),objid:number,"ErrorCode.OK, value:number",残りの生命回数を取得します,local result = Player:getLeftLifeNum(objid)
50019,プレイヤー,setTeam,"Player:setTeam(objid, team)","objid:number, teamid:number",ErrorCode.OK,生き物のチームを設定する,"local result = Player:setTeam(objid, team)"
50020,プレイヤー,getTeam,Player:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",生き物のチームを設定する,local result = Player:getTeam(objid)
50021,プレイヤー,getFoodLevel,Player:getFoodLevel(objid),objid:number,ErrorCode.OK,現在の満腹感を受取る,local result = Player:getFoodLevel(objid)
50022,プレイヤー,setFoodLevel,"Player:setFoodLevel(objid, foodLevel)","objid:number, foodLevel:number",ErrorCode.OK,現在の満腹感を設定する,"local result = Player:setFoodLevel(objid, foodLevel)"
50023,プレイヤー,getCurShotcut,Player:getCurShotcut(objid),objid:number,"ErrorCode.OK, scutIdx:number",現在のショートカットバーを取得する,local result = Player:getCurShotcut(objid)
50024,プレイヤー,onCurToolUsed,"Player:onCurToolUsed(objid, num)","objid:number, num:number items number",ErrorCode.OK,プレイヤーが持っているアイテムの消耗を設定します,"local result = Player:onCurToolUsed(objid, num)"
50025,プレイヤー,setSkillCD,"Player:setSkillCD(objid, itemid, cd)","objid:number, itemid:number, cd:number",ErrorCode.OK,CD設定,"local result = Player:setSkillCD(objid, itemid, cd)"
50026,プレイヤー,reviveToPos,"Player:reviveToPos(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,指定された時点でプレイヤーを再出現させる,"local result = Player:reviveToPos(objid, x, y, z)"
50027,プレイヤー,setRevivePoint,"Player:setRevivePoint(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,出生地を変更する,"local result = Player:setRevivePoint(objid, x, y, z)"
50028,プレイヤー,playAct,"Player:playAct(objid, actid)","objid:number, actid:number动作id",ErrorCode.OK,プレイヤーは漫画を再生する,"local result = Player:playAct(objid, actid)"
50029,プレイヤー,notifyGameInfo2Self,"Player:notifyGameInfo2Self(objid, info)","objid:number, info:string text content",ErrorCode.OK,ポップアップウィンドウにあるテキストを表示する,"local result = Player:notifyGameInfo2Self(objid, info)"
50030,プレイヤー,useItem,"Player:useItem(objid, itemid, status, onshift)","objid:number, itemid:number, status:number state of using, onshift:boolean whether to press shift",ErrorCode.OK,プレイヤーに現在のアイテムを使用させる,"local result = Player:useItem(objid, itemid, status, onshift)"
50031,プレイヤー,rotateCamera,"Player:rotateCamera(objid, yaw, pitch)","objid:number, yaw:number, pitch:number",ErrorCode.OK,プレイヤーのレンズを回転させる,"local result = Player:rotateCamera(objid, yaw, pitch)"
50032,プレイヤー,changeViewMode,"Player:changeViewMode(objid, viewmode, islock)","objid:number, viewmode:numberVIEWPORTTYPE, islock:boolean",ErrorCode.OK,プレーヤーの視角モードを変更する,"local result = Player:changeViewMode(objid, viewmode, islock)"
50033,プレイヤー,setActionAttrState,"Player:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,生き物の振る舞い、属性、状態を設定する,"local result = Player:setActionAttrState(objid, actionattr, switch)"
50034,プレイヤー,checkActionAttrState,"Player:checkActionAttrState(objid, actionattr)","objid:number, actionattr:numberPLAYERATTR",ErrorCode.OK,プレイヤーの行動、属性、状態の切り替え,"local result = Player:checkActionAttrState(objid, actionattr)"
50035,プレイヤー,getMaxHP,Player:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",現在の最大HPを取得,local result = Player:getMaxHP(objid)
50036,プレイヤー,getCurHP,Player:getCurHP(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",現在のHPを入手する,local result = Player:getCurHP(objid)
50037,プレイヤー,getHpRecover,Player:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",HP回復,local result = Player:getHpRecover(objid)
50038,プレイヤー,getCurFood,Player:getCurFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",現在の満腹度,local result = Player:getCurFood(objid)
50039,プレイヤー,getMaxOxygen,Player:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",[[,local result = Player:getMaxOxygen(objid)
50040,プレイヤー,getCurOxygen,Player:getCurOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",現在の酸素量,local result = Player:getCurOxygen(objid)
