id编号,标题,内容,作者,是否匿名
100,"地球の地表を占める海の割合はどれぐらい？
①約53％
②約70％
③約85％","②約70％
海は地表の70.8%を占め、面積は約3億6106万km2。
陸地（約1億4889万km2）の2.42倍です。",るるるるるる,
101,"海といえば海水浴ですが、海水浴が日本で初めて行われた時は、どんな目的だった？
①海の生物を観察するため
②軍人の精神力を鍛えるため
③病気を治癒するため","③病気を治癒するため
『明治事物起源』によれば、日本人が最初に海水浴を始めたのは明治13年、兵庫県の官吏が明石海岸で脚気（かっけ）治療のため、大阪鎮台の兵士に実施したとされています。",せ ゐ か,
102,"一番深い海は、マリアナ海溝の最深部だといわれています。
ではその深さは?
①2,522m
②5,893m
③10,911m","③10,911m
チャレンジャー海淵と呼ばれていて、最新の計測では水面下10,911mとされています",ちゃる,
103,"海にはどれぐらい種類の生き物がいるといわれているでしょう?
①500万種以上
②1,000万種以上
③1億種以上","②1,000万種以上
海にはまだまだ確認されていない生物が多くいます。
たくさんの生物が住んでいるのは、200mぐらいまでの深さの海ですが、これは、海全体の面積の7.6％にしか過ぎません。",ぴぃ,
104,"日本にある島の数はいくつ?
(海岸線の長さが100m以上の島)
①680島
②3,488島
③6,852島","③6,852島
ちなみに、人が住んでいる島は、約400島ぐらいです。",繊細さん,1
105,"海のない都道府県は次のうちどれでしょう?
①埼玉県
②千葉県
③京都府","①埼玉県
海のない県は、埼玉県?群馬県?栃木県?山梨県?岐阜県?滋賀県?長野県?奈良県の8県です。",ど麦,
106,"今も海賊は存在しているのは本当?
①本当
②ウソ","①本当
世界中で一年間に数百件も海賊による被害が起きています。",RTT,
107,"ひものが美味しい、ホッケ。では、名前の由来は？
①中国語から
②北海道から
③アイヌ語から","②北海道から
ホッケは北海道でたくさん取れることから、ほっかいどう、ほっけぃどう、ほっけい、ホッケ??となったとのことです。",たんさんすい,1
108,"海で生まれて、川で育つ魚は？
①サケ
②うなぎ
③鮎","②うなぎ
ウナギは、フィリピン東方の暖かい海でふ化し、黒潮にのってやって来ます。
川や湖沼でエサを捕食し成魚になります。",まつゆか,
109,"マグロの仲間は次のどの魚でしょう。　
①サバ
②アジ
③スズキ","①サバ
マグロは「サバ科」の魚です",AYUMI,
110,"マグロはいつ眠っているでしょう？
①泳ぎながら眠る
②仲間と固まって動かない
③海底におりて横になる","①泳ぎながら眠る
マグロは、泳ぎ続けることで水中の酸素を呼吸します。マグロの鮮やかな赤身は、豊富なヘモグロビンが含まれていることが分かります。
カツオやサメなどの仲間も同様に泳ぎながら寝ます。",でぃてぃ,
111,"世界最大のザリガニは、オーストラリアの南東に位置するタスマニア島に生息するタスマニアオオザリガニ。
ではタスマニアオオザリガニの体重はどれぐらいでしょう？","4kg
本種は世界最大のザリガニであり、公式記録では体長76cm、体重4.5kgにも達したという。
ザリガニのみならず、淡水産の甲殻類としては世界最大である。
全身は青黒く、ハサミも非常に大きく、ロブスターにも匹敵するほどである。",tomoka,
112,"世界最大のカニは、日本近海に住むタカアシガニ。
あしを広げるとどれくらいの長さになる？","3ｍ
タカアシガニのオスがあしを広げると、3ｍくらいになります。
タカアシガニは日本と台湾周辺でしか見つかっていません。
最大で5.5mになる個体が発見されています。",勇者まる,
113,世界一醜い生き物？ブロブフィッシュ,深海に生息する「ブロブフィッシュ」は、ゼリーのような質感。半透明でピンク色の身体、その身体いっぱいに広がって口角の下がった唇、ぺたんこに潰れた鼻、その独特な姿形から世界一醜い生き物だといわれています。,ティム,
114,頭が半透明の魚！デメギネス,"デメギネスも深海に生息する魚です。
おもに太平洋の水深800mに生息していて、頭部が透明になっているのが特徴です。",オメプラくん,
115,5年間餌を食べなかった！ダイオウグソクムシ,"ダイオウグソクムシも深海に生息し、深海底に沈降してきた大型魚類やクジラなどの死骸や弱った生き物等の有機物を摂食するので「深海の掃除屋」と呼ばれています。
鳥羽水族館において飼育されていた体長29センチメートルの個体は、2009年1月2日に50グラムのアジを食べて以来、2014年2月14日に死亡するまでの5年1か月間（1869日間）にわたり餌を口にしなかったそうです。",? ?,
116,桃太郎、絶体絶命！,"川に洗濯に行くはずのおばあさんが、まさかの…
洗濯機、買うたで。",Rika,1
117,電球が一言,電球の自己紹介:俺、キレたら周り見えなくなるタイプだから。,裏の裏,
118,ゴミ箱が一言,"燃えるゴミ捨てたら、なまめかしい声が聞こえてきた。やめてっ！
そこはビンカンなの！",皐月ぶぶ,
119,毒ヘビ,"毒ヘビがやらかした。やばっ、
思いっきり舌噛んだ。",おぺら,
120,羨ましい,進路が決まらない友人がボソッと。台風はいいよな、進路が決まってて。,深海えんみ,
121,映画「八月の鯨」,人生の半分はトラブルで、あとの半分はそれを乗り越えるためにある。,?? みや ,1
122,牛のように図々しく進んで行く,"夏目漱石の言葉です。
牛のように焦らずゆっくり生きてという言葉だそうです。",くろろ,
123,くすぶるな燃えあがれ,"アントン?チェーホフの言葉です。
夢ができたら一気に燃え上がるように頑張って実現するという意味のようです。",のゆあ,
124,生きてるだけで丸儲け,"明石家さんまの言葉です。
死んでも儲けになりません。
生きているだけで幸せで素晴らしい。",ゆちゃ,
125,明日から頑張る,余裕を持って、急がず焦らず明日頑張ったらいいっか！と思える気持ちも大事ですよね。,牛乳,
126,絶対は絶対にない,"織田信長の言葉です。
戦国時代ですから、絶対に大丈夫、という言葉は、100%でない限り言えないのかもしれません。",通ります,
127,生きるとは呼吸することではない,"ルソーの言葉です。
人は、呼吸をして生きているけど、色々なことを考えて行動して生きていますよね。
なによりも考え行動が大事という言葉ですね。
深い言葉です。",シロネコ,
128,馬耳東風,"人の意見を気にしないで聞き流してしまうことの例え。
流されないのはいいことですが、他人の意見を何一つ聞かないのは、あまりよくないですよね。",ダイア????,
129,雲外蒼天,努力して乗り越えれば、その先は素晴らしい人生が待っていると言う言葉です。,ひーさん,
130,時は金なり,"タイムイズマネーですね。
ベンジャミン?フランクリンの言葉です。
時間はお金と同様に貴重なもので無駄にしてはいけないという意味があります。",うーふー,
131,餃子の王将,"友達とドライブしてて、昼時でご飯食べるとこを探していた。
餃子の王将があったので、「餃子の王将は？」と言おうとしたら「オウザのギョウショウ」と口走ってしまい、「何？オウザのギョウショウって（笑）」とツッコミまくられた。",こむラテ,
132,動物園,"動物園で「あのタピオカ、本当に全然動かんね～」とお母さんが言っていた。
「タピオカじゃないよ、カピバラだよ」と子供が食い気味でツッコんでいた。",焦げたパン,
133,賭け,"A：世界が破滅するかしないか、賭けをしようぜ
B：いいね、やろう
A：俺は破滅する方に賭けるわ
B:なら俺は破滅しないほうに全財産かける！
A：全財産だと！？まぁ、世界破滅したら全財産賭けなくても消えるわけだし…俺も全財産賭ける！",まりよ,
134,カミ,"客「紙がないのだが？」
フロント「あ、はい確かにないですね」
客「うん、だから紙よこせ」
フロント「申し訳ございません、当店ではヘアケアのサービスは提供しておりません」",橙ぴこ,
135,タダ,"悪魔「私を召喚したのはお前か？なんでも願いを叶えてやろう」
A「え！いいんですか？何お願いしよーかなー」
悪魔「願いを叶える代償として、お前の命の次に大事なものを奪うがよろしいな？」
A「分かりました！代償は先払いでもよろしいですか？」
悪魔「いいだろう」
Aはお金持ちになりました。",砂糖,
136,"海の水がしょっぱい理由は次のうちどれでしょうか？
 
１．雨に塩が含まれているから
２．岩から塩が溶け出ているから
３．誰かが海に塩をまいているから","２．岩から塩が溶け出ているから
陸地にある岩などには塩の元となる成分が含まれています。
それらが雨や川の流れで岩から削り取られ、海に流れていくため、海の水がしょっぱくなっていると言われています。",天乃?? ??????,
137,"波が発生する原因は次のうちどれでしょうか？
 
１．風
２．魚の泳ぐ力
３．地底の振動","１．風
波は風の力によって発生していると考えられています。
海のうねりは遠くまで伝わる習性があります。
今いる地点が風のない穏やかな気候でも、世界のどこかでは風が発生しているので、一つに繋がっている海ですから、その風の影響で波が起こります。",桜雨,
138,"深い海に住んでいる魚のことを何と呼ぶでしょうか？
 
１．熱帯魚
２．深海魚
３．淡水魚","２．深海魚
深海魚とは、約200メートルより深いところに住んでいる魚のことを指します。
200メートルより深い海は太陽の光が届きにくいため、まだまだ発見されていない深海魚も多くいるかもしれません。神秘的です。",律/Ri,
139,"海に潮が引いたり満ちたりします。
これはなぜ起こるのでしょうか？
 
１．地球の自転
２．月の引力
３．大陸の移動","２．月の引力
引力とは地球などにある磁力に引っ張られる力のことで、私たちが地球の上で立っていられるのは地球の引力によるものです。
これと同じように月にも引力はあり、地球上の海は月の位置によって引っ張られるため、潮が引いたり満ちたりするのです。
引力は私たちが意識出来るものではないので、不思議な力です。",みう??,1
140,"海で生きている魚は海水魚といいます。
海水魚は何種類確認されているでしょうか？
 
１．145種類
２．1455種類
３．14550種類","３．14550種類
2021年現在、海水魚は約14550種類いると言われています。
淡水魚なども含めると約25000種類いると言われています。
しかし、日々新種が発見されていますので、これからもどんどん増える可能性があります。",??白苺??,
141,"海には魚だけではなく私たちと同じ哺乳類も生息しています。
次のうち、哺乳類はどれでしょうか？
 
１．イルカ
２．サメ
３．エイ","１．イルカ
イルカやクジラやシャチは、魚のようですが、実は哺乳類なのです。
海で生きているのに、私たちと同じ哺乳類だなんて海の生き物は神秘がいっぱいですね。",紡木,
142,"海の塩分はどのくらいの濃さでしょうか？
 
１．3.5パーセント
２．18.5パーセント
３．50パーセント","１．3.5パーセント
海の塩分の濃さは、場所によって濃さが多少異なりますが、全ての海を平均して、大体3.5パーセント程度と言われています。
海水を舐めるととてもしょっぱいですが、意外に少ないんです。",東園寺,
143,"通常砂浜は灰色ですが、沖縄の砂浜は白いです。
その理由はなぜでしょうか？
 
１．海で砂が綺麗に洗われたから
２．太陽の光で砂が白くなったから
３．サンゴや貝殻が細かく砕けたから","３．サンゴや貝殻が細かく砕けたから
通常の砂浜は、岩や石などが削られて細かくなったものが元になっていますが、沖縄はサンゴが多く存在するため、サンゴや貝殻が砕けたものが砂浜の元になります。
沖縄は海も綺麗なので、砂浜が白いとさらに綺麗に見えます。",Hiroto,
144,"次のうち、海の魚ではないものはどれでしょうか？
 
１．アユ
２．ヤマメ
３．サケ","２．ヤマメ
アユもサケも川で生息する魚ですが、一生の中で海に出ることがあります。
しかし、ヤマメは一生を川で過ごす魚になります。
川魚でも海で過ごすことがあるのは、意外でとても勉強になりますね。",nanan???*,
