ID,名字,描述,获得方式
27,زجاجة الانجراف البعيدة,قد تحتوي الملاحظات المختومة في زجاجات عائمة على معلومات مهمة أو رغبات صادقة أو أفكار شخص ما. يبدو أنه قد قطع المسافة والوقت ... ضع الزجاجة على الأرض وأخرج الملاحظة لقراءتها ...,فرصة للحصول عليه من الصيد أو استكشاف المحيط.
28,زجاجة الانجراف الصغيرة (كتلة),قم بأخذه وأخرجه، وقم باخراج الذي كتبت فيه @item_11806# تعبئته فيه,
29,الرمل الأصفر,#c0aba1d عناصر المجارف #n يمكن تعدينها بسرعة ، عالج @item_11305# المواد الأساسية، @item_11305# غالبا ما تستخدم لاطلاق النار@item_632#,يستخدم دائما في #c0aba1d بجانب المياه #n و #c0aba1d المنطقة الصحراوية #n
30,@Null@,@Null@,قم بتحميل الاصدار الجديد من اللعبة الآن!
31,المسامير الجليدية الصلبة,المسامير الجليدية هي تماما# c0aba1dstable#n. تأكد من ارتداء خوذة عندما تكون حولهم!,
32,المسامير الجليدية العائمة,من المحتمل جدا أن تكون هذه المسامير الجليدية#c0aba1ddrop#n. تأكد من ارتداء خوذة عندما تكون حولهم!,
33,خام الكريستال الأساسي العادي,تحتاج إلى جمعها مع @item_11013# أو أكثر تقدما.,الخامات النادرة التي قد تظهر في#c0aba1dSnow الكهوف الجبلية#n من حقل الجليد و# c0aba1dunderground#n من الغابات المطيرة.
34,خام فروست فاير,الخامات التي تنبعث منها البرد تقشعر لها الأبدان. تحتاج إلى جمعها مع @item_11011# أو أكثر تقدما. سوف#c0aba1dlower درجة الحرارة المحيطة#n.,الخامات النادرة التي قد تظهر في#c0aba1dSnow الكهوف الجبلية#n من حقل الجليد.
35,حجر فروست فاير,كتلة تقشعر لها الأبدان مصنوعة من الكثير من @item_11824#. سيؤدي ذلك#c0aba1dsignificantly إلى خفض درجة الحرارة المحيطة#n.,
36,تحديث مدخل الكهف,,
37,تحديث نفق الكهف,,
38,تحديث كهف الكهف,,
39,تحديث حفرة الكهف,,
40,كتلة كريستال باطلة,تم تصميم هذه الكتلة الخاصة باستخدام كتل كريستال فارغة، وهي تضيء المساحة المحيطة. كن حذرًا عند وضعه أسفل @item_596#، لأنه قد يجذب أقوى الوحوش أثناء ليلة الفراغ. استخدامه بحكمة!,
100,كتلة التربة العشبية,كتلة على السطح ، يمكن جمعها بسرعة مع المجارف.#c0aba1dUse مكابس لجعلها @item_102#. استخدم المجارف لجعلها @item_103#.,احصل عليه باستخدام @item_11226# على @item_101#.
101,التربة,استخدم @item_11226# أو ستنبت الخضرة بعد المطر@item_100# يمكن استخدام المجارف للتعدين #c0aba1d استخدم المجارف للتحول إلى @item_102# استخدم المجارف لتتحول إلى @item_103#,متاح تحت السطح
102,ارض زراعية,يمكنك زراعة المحاصيل عليه. احتفظ بها بالقرب من الماء أو قم بريها لإبقائها رطبة ومناسبة لنمو المحاصيل.,
103,حفرة,يمكنك زراعة بذور الزهور أو الشتلات عليها. احتفظ بها بالقرب من الماء أو قم بريها لإبقائها رطبة ومناسبة لنمو النبات.,
104,صخور,يمكن رؤيتها في كل مكان تحت الأرض ، ويمكن جمعها بسرعة باستخدام الفؤوس.,
105,الحجر الازرق,مواد بناء مصنوعة من الحجارة والطحالب.,
106,الرمال الدقيقة الصفراء,يشيع رؤيته حول المياه والمناطق الصحراوية. يمكن جمعها بسرعة باستخدام المجارف ويمكن استخدامها لصنع رمل الكوارتز الذي يستخدم في صناعة الزجاج.#rسوف تسقط بفعل الجاذبية.,شائع في الواجهة البحرية والمناطق الصحراوية
107,الحصي,أنقاض غير مستقرة. يمكن تعدينها بسرعة بالمجارف. #rعندما تكون فارغة ، قد يؤدي الوقوف عليها إلى الانهيار. كن حريصا.,
108,طوب عادي,استخدم @item_29# لصناعة المواد  البنائية,
109,تربة رملية,تربة مغذية رديئة. لا يمكن أن تنمو النباتات عليها. يمكن تعدينها بسرعة بالمجارف.,
110,صخور متناثرة,الصخور الصغيرة التي ترتديها الرياح ، والتي يتم الحصول عليها عند التعدين @item_11627# لتصنيع الأدوات الحجرية,
111,@Null@,@Null@,@Null@
112,حجر الكريستال الاسود,لقد تغير الهيكل الجيولوجي بشكل كبير ، ولم يعد الخام موجودًا ، متأثرًا بـ الفراغ الفانتوم.,
113,الجليد العائم,الثلج العائم على سطح الماء. يمكن تحطيمه في الغبار المتلألئ ويختفي.,
114,الطين,تتواجد هذه التربة بشكل شائع تحت الماء ويمكن حفرها بسهولة بواسطة المجرفة.,
115,رقيق الثلج,صفيحة ثلجية ناعمة رقيقة في ذروة ربع الشبكة. يمكن تكديسها لتغيير السماكة.,
116,حجر الهوراس,حجر هوارس، قدرة قوية ضد الانفجار استخدم @item_11013# او مجارف عالية المستوى للتعدين,
117,عشب حجر الهوراس,عشب حجر هوارس، يحتوي على العناصر الغذائية الأساسية لنمو النبات. ليستخدم @item_11023# أو مجارف عالية المستوى للتعدين,
118,سحابة حجر الهوراس,كتلة سحابة حول جزيرة حورس العائمة. سوف ينكسر عندما تطأه!,
119,تربة جافة,على حجر هوارس في ميسرا @item_100# يحتاج لوضعه في @item_1050# للحفاظ على العناصر الغذائية ، وإلا فإنها ستفقد العناصر الغذائية وتصبح التربة جافة,
120,التربة المجمدة,في البيئات الباردة ، ستتحول @item_100# و @item_101# إلى @item_120#. تحتاج النباتات التي تزدهر في البيئات الباردة إلى النمو على هذا النوع من التربة.,
121,حفرة مجمدة,يمكن زراعة بذور وشتلات الزهور والأشجار التي تفضل البيئات الباردة هنا.,
122,ثلوج كثيفة,ثلج كثيف يذوب في الماء عند مقابلة#c0aba1dlava#n. سيؤدي ذلك#c0aba1dslightly إلى خفض درجة حرارة البيئة#n.,
123,ثلج طبيعي,يظهر بشكل شائع في المناطق الباردة والثلجية ، وسوف يذوب في الماء في بيئات درجة حرارة#c0aba1dhigh#n. يمكن جمعها بسرعة باستخدام الفؤوس. سيؤدي ذلك#c0aba1dslightly إلى خفض درجة الحرارة المحيطة#n.,
124,احجار الكبريت,غالبا يظهر في كوكب المشتعل، يمكن صهره في طاولة الصهارة واخراج @item_11214# ويستخدم للتعدين بالمجارف,
125,الرمال الساخنة,الرمال الصفراء الساحنة يمكن جمعها بواسطة المجرفة,
126,الاحجار السحرية,عبارة عن صخور مجهولة غير سهلة الانفجار,التجار يبيعون احيانا
127,الإسفنج,اسفنج يستخدم للزينة,
128,الرمل الأحمر,أكوام رمل حمراء نادرة غنية بالعناصر المعدنية مع @item_11201# يمكن أن يصبح غير مستقر للغاية عند الخلط,قد تجدها في جزر ريد كلاي أو جزر المرجان.
129,الثلج السميك,هل تريد كرات الثلج ؟,
130,مكعبات الثلج الكثيفة,"ارغب في عمل رجل الجليد , او ان العب حرب كرات الجليد",@Null@
131,الثلج القوي,"ثلج قوي جداً , لا يمكن تحريكه",@Null@
132,بلورات الكبريت,يظهر في الصهارة ولا يمكن استخدامه إلا في @item_11025# تعدين ، هو عبارة عن اهم مادة لصناعة @item_11219# تنفجر عندما يعيقها السائل، #r#c0aba1d الحياة ثمينة نرجو عدم تقليد اي سلوك داخل اللعبة. #n,#c0aba1d الحياة ثمينة، لا تقلد أي سلوكيات في اللعبة#n
133,قرص العسل الفارغ,لا يوجد إلى الآن اي عسل، ضعه تحت @item_255# لحفظ العسل,
134,قرص العسل الكامل,قرص العسل الكامل ، احترس من النحل! استخدم زجاجة صغيرة عليها للحصول على العسل المعبأ.,
135,طلسم أحجية - الأرض,لقد كان يملك معنى كبير في الحضارات القديمة ولكنه أصبح زينة فقط حاليا,مجموعة من بقايا حضارة الهوراس القديمة
136,طلسم الأحجية - السماء,لقد كان له معنى كبير في الحضارات القديمة، لكنه اصبح الآن فقط زينة,مجموعة من بقايا حضارة الهوراس القديمة
137,حفرة حجر الهوراس,@Null@,@Null@
138,حجر سامّ,@Null@,@Null@
139,لعبة الفيديوحرب الوحش,@Null@,@Null@
140,حجر الحياة,يمثّل المذبح السحريّ الذي تمّ بناؤه من أبطال قدماء قوّة الحياة في ميراس. وفقًا للأسطورة، إن قام أحدهم بوضع آثار مقدّسة مناسبة على المذابح الثلاث فإنّ ذلك سيؤدّي إلى إطلاق قوّة خلق للكوكب وسيجبر قوى شريرة على الظهور.,@Null@
141,كرسي الشجاعة الحجري,""" أيام زمان"" الكراسي الحجرية التي بقت من آثار الحضارات القديمة، قم بالتواصل مع الكوكب الحجري.",@Null@
142,كرسي الحكمة,""" أيام زمان"" الكراسي الحجرية التي بقت من آثار الحضارات القديمة، قم بالتواصل مع الكوكب المشتعل وقوته.",@Null@
143,الكرسي الحجري المكسور,كرسي حجري قديم، بعد حفره لا يمكن استعادة الشكل الأصلي,@Null@
144,زجاجة الفراشة القرمزية,ضعه لإلقاء الضوء على المنطقة الصغيرة المحيطة.,يمكن استخدامه في الجزر العائمة @item_11320# اصطياد الفراشات للحصول على
145,زجاجة الفراشة السماوية,بعد تشغيلها، يمكنها إضاءة مساحة صغيرة محيطة بها.,يمكن استخدامه في الجزر العائمة @item_11320# اصطياد الفراشات للحصول على
146,زجاجة الفراشة المعطرة,بعد تشغيلها، يمكنها إضاءة مساحة صغيرة محيطة بها.,يمكن استخدامه في الجزر العائمة @item_11320# اصطياد الفراشات للحصول على
147,زجاجة الفراشة البيضاء,بعد تشغيلها، يمكنها إضاءة مساحة صغيرة محيطة بها.,يمكن استخدامه في الجزر العائمة @item_11320# اصطياد الفراشات للحصول على
148,زجاجة فراشة نمط التنين,بعد تشغيلها، يمكنها إضاءة مساحة صغيرة محيطة بها.,يمكن استخدامه في الجزر العائمة @item_11320# اصطياد الفراشات للحصول على
149,زجاجة الفراشة الفرس,بعد تشغيلها، يمكنها إضاءة مساحة صغيرة محيطة بها.,يمكن استخدامه في الجزر العائمة @item_11320# اصطياد الفراشات للحصول على
150,مزارع التربة الحمراء,يمكن زراعة نبات نادر بالقرب من المياه فيها، او استخدم أدوات الري كي تبقى طازجة,يتم الحصول عليه عن طريق الاستصلاح الزراعي لـ @item_233#
151,حفرة التربة الحمراء,تنمو فيها النباتات النادرة ، يرجى وضعها بجانب الماء او الرشاش المائي لإبقاءها طازجة.,يتم الحصول عليه عن طريق الاستصلاح الزراعي لـ @item_233#
152,ورقة الكوكب الصخرية العمودية,عبارة عن ورقة عمودية رقيقة ومضيئة، يمكن تكديسها لتقليص السمك.,اصنعها عبر صخور هوراس في طاولة التصنيع
153,صفيحة الخيزران العمودية,لوح خشبي عمودي، خفيف ورقيق. يمكن تكديسها لتغيير السماكة.,يمكن صناعته مع الخيزران في طاولة التصنيع
154,صفيحة قرمزية عمودية,لوح خشبي عمودي، خفيف ورقيق ، يمكن تكديسه لتغيير السماكة.,صُنعها باستخدام صبغة كارمين على طاولة التصنيع
155,صفيحة اسمنت عمودية,صفيحة حجرية عمودية ، خفيفة ورقيقة. يمكن تكديسها لتغيير السماكة.,صُنعها بالطوب الأسمنتي على طاولة التصنيع
156,صفيحة كبريت عمودية,صفيحة حجرية عمودية، خفيفة ورقيقة ، يمكن تكديسها لتغيير السماكة.,قم بصنعه باستخدام قالب الطوب الكبريت على طاولة التصنيع
157,صفيحة حجرية عمودية,صفيحة حجرية عمودية، خفيفة ورقيقة. يمكن تكديسها لتغيير السماكة.,صُنعها بالحجر على طاولة التصنيع
158,صفيحة طوب ناعم عمودية,صفيحة حجرية عمودية، خفيفة ورقيقة. يمكن تكديسها لتغيير السماكة.,اصنعها بواسطة الصخور في طاولة التصنيع
159,صفيحة توتانيوم عمودية,لوحة معدنية عمودية، خفيفة ورقيقة. يمكن تكديسها لتغيير السماكة.,اصنعها مع خام التيتانيوم في طاولة التصنيع
160,صفيحة نحاسية عمودية,لوحة معدنية عمودية، خفيفة ورقيقة. يمكن تكديسها لتغيير السماكة.,صنعها بالنحاس في طاولة التصنيع
161,صفيحة ميكا عمودية,لوحة معدنية عمودية ، خفيفة ورقيقة. يمكن تكديسها لتغيير السماكة.,صنعها بالميكا في طاولة التصنيع
162,صفيحة ميرثيل عمودية,لوحة معدنية عمودية، خفيفة ورقيقة. يمكن تكديسها لتغيير السماكة.,صنعها بالميرثيل في طاولة التصنيع
163,صفيحة لهبية عمودية,صفيحة معدنية عمودية، خفيف ورقيق. يمكن أن تكون مكدسة لتغيير سمك.,اصنعها باللهب في طاولة التصنيع
164,صفيحة الليمون العمودية,لوح خشبي عمودي، خفيف ورقيق. يمكن تكديسه لتغيير سمك.,يمكن صنعه عبر صبغة الليمون الأصفر في طاولة التصنيع
165,صفيحة جيرية عمودية,لوح خشبي عمودي، خفيف ورقيق. يمكن تكديسه لتغيير سمك.,قم باستخدام الجير لصناعتها في طاولة التصنيع
166,صفيحة قرمزية عمودية,لوح خشبي عمودي، خفيف ورقيق. يمكن أن تكون مكدسة لتغيير سمك.,صاغها مع صبغة قرمزية على طاولة الصياغة
167,صفيحة الغروب البرتقالية,لوح خشبي عمودي، خفيف ورقيق. يمكن أن تكون مكدسة لتغيير سمك.,صاغها مع صبغة برتقالية غروب الشمس على طاولة الصياغة
168,صفيحة عمودية بيغونيا الأحمر,لوح خشبي عمودي، خفيف ورقيق. يمكن تكديسه لتغيير سمك.,اصنعها مع صبغة بيغونيا الحمراء على طاولة الصناعة
169,الصفيحة العاجية العمودية,لوح خشبي عمودي، خفيف ورقيق. يمكن أن تكون مكدسة لتغيير سمك.,اصنعها مع العاج في طاولة التصنيع
170,صفيحة برتقالية داكنة عمودية,لوح خشبي عمودي، خفيف ورقيق. يمكن أن تكون مكدسة لتغيير سمك.,اصنعها مع  البرتقالي الداكن في طاولة التصنيع
171,صفيحة عمودية,لوح خشبي عمودي، خفيف ورقيق. يمكن أن تكون مكدسة لتغيير سمك.,اصنعها من الأخشاب بواسطة طاولة التصنيع
172,صفيحة الطوب الأصفر العمودية,لوح خشبي عمودي، خفيف ورقيق. يمكن أن تكون مكدسة لتغيير سمك.,اصنعها بواسطة الطوب الأصفر في طاولة التصنيع
173,صفيحة المنغنيز العمودية,لوح خشبي عمودي، خفيف ورقيق. يمكن أن تكون مكدسة لتغيير سمك.,صاغها مع العقيدات MN على طاولة الصياغة.
174,صفيحة هواري المستقيمة,لوح خشبي عمودي، خفيف ورقيق. يمكن أن تكون مكدسة لتغيير سمك.,اصنعها مع هوراي في طاولة التصنيع
200,خشب الكرز,جذع شجرة الكرز ، ويمكن معالجتها في @item_800# into @item_11323# ، ويمكن استخدامها للزينة ، ويمكن أيضا أن تستخدم كوقود,البطانة#c0aba1d على أداة الفأس للحصول على#n كاملة رون ومن ثم قطع عليه للحصول على
201,لارش,جذوع الأرش ، والتي يمكن معالجتها في @item_800# into @item_11323# ، يمكن استخدامها للزينة ، ويمكن استخدامها أيضًا كوقود,البطانة#c0aba1d على أداة الفأس للحصول على#n كاملة رون ومن ثم قطع عليه للحصول على
202,حور,جذع الحور ، يمكن معالجته في @item_800# into @item_11323# ، يمكن استخدامه للزينة ، ويمكن استخدامه أيضًا كوقود,البطانة#c0aba1d على أداة الفأس للحصول على#n كاملة رون ومن ثم قطع عليه للحصول على
203,ريدوود,جذع الخشب الأحمر ، يمكن معالجته في @item_800# into @item_11323# ، يمكن استخدامه للزينة ، ويمكن استخدامه أيضًا كوقود,البطانة#c0aba1d على أداة الفأس للحصول على#n كاملة رون ومن ثم قطع عليه للحصول على
204,نانمو,نانمو الجذع ، يمكن معالجتها في @item_800# into @item_11323# ، يمكن استخدامها للزينة ، ويمكن أيضا أن تستخدم كوقود,البطانة#c0aba1d على أداة الفأس للحصول على#n كاملة رون ومن ثم قطع عليه للحصول على
205,الجوز,جذع شجرة الجوز ، ويمكن معالجتها في @item_800# into @item_11323# ، ويمكن استخدامها للزينة ، ويمكن أيضا أن تستخدم كوقود,البطانة#c0aba1d على أداة الفأس للحصول على#n كاملة رون ومن ثم قطع عليه للحصول على
206,ألواح خشبية,مواد اساسيّة تستخدم لنحت المواد الخشبيّة وصندوق الأدوات وغيرها.,العمل بالخشب على طاولة الحرفي
207,ألواح برتقالية غامقة,مواد اساسيّة تستخدم لنحت المواد الخشبيّة وصندوق الأدوات وغيرها.,مطلية بطلاء أوراق الخريف البرتقالي على مكتب الحرفي
208,ألواح عاج,مواد اساسيّة تستخدم لنحت المواد الخشبيّة وصندوق الأدوات وغيرها.,رسمت بطلاء أبيض عاجي على مكتب الحرفي
209,ألواح بينوجيا حمراء,مواد البناء الأساسية ، تستخدم على نطاق واسع في البناء الخشبي,اصنعها مع البينجوليا والصبغة الحمراء في طاولة التصنيع
210,ألواح خشب الغروب البرتقالي,مواد البناء الأساسية ، تستخدم على نطاق واسع في البناء الخشبي,اصنعها مع صبغة الغروب البرتقالي في طاولة التصنيع
211,الواح خشب قرمزي,مواد البناء الأساسية ، تستخدم على نطاق واسع في البناء الخشبي,اصنعها مع صبغة قرمزي في طاولة التصنيع
212,حطب الكرز,يمكن استخدامه كوقود ولكنه يحترق بسرعة كبيرة,لديك الفرصة بأن تحصل عليها عند إزالة ورق شجيرات الفاكهة
213,حطب الصنوبر,يمكن استخدامه كوقود ولكنه يحترق بسرعة كبيرة,لديك الفرصة بأن تحصل عليها عند إزالة ورق شجيرات الصنوبر
214,حطب الحور,يمكن استخدامه كوقود ولكنه يحترق بسرعة كبيرة,لديك الفرصة بأن تحصل عليها عند إزالة ورق شجيرات الحور
215,حطب الخشب الأحمر,يمكن استخدامه كوقود ولكنه يحترق بسرعة كبيرة,لديك الفرصة بأن تحصل عليها عند إزالة ورق شجيرات الأرز
216,حطب الفيبي,يمكن استخدامه كوقود ولكنه يحترق بسرعة كبيرة,لديك الفرصة بأن تحصل عليها عند إزالة ورق شجيرات النانمو
217,حطب الكرز,يمكن استخدامه كوقود ولكنه يحترق بسرعة كبيرة,لديك الفرصة بأن تحصل عليها عند إزالة ورق شجيرات الجوز
218,أوراق خشب الكرز,يمكن استخدامه كوقود ل @item_1200# أو كغطاء رأس#c0aba1dsnowman#n.,
219,أوراق الصنوبر,يمكن استخدامه كوقود ل @item_1200# أو كغطاء رأس#c0aba1dsnowman#n.,
220,أوراق الحور,يمكن استخدامه كوقود ل @item_1200# أو كغطاء رأس#c0aba1dsnowman#n.,
221,أوراق الخشب الأحمر,يمكن استخدامه كوقود ل @item_1200# أو كغطاء رأس#c0aba1dsnowman#n.,
222,فيبي ليفز,يمكن استخدامه كوقود ل @item_1200# أو كغطاء رأس#c0aba1dsnowman#n.,
223,أوراق الجوز,يمكن استخدامه كوقود ل @item_1200# أو كغطاء رأس#c0aba1dsnowman#n.,
224,عشب,"بعد #c0aba1d أن يتدمر #n, لديها فرصة للتراجع #c0aba1d حفنة من الحشائش #n",تحت السماء الصافية وفوق البرية الشاسعة ، تهب الرياح وتظهر الماشية.
225,العشب الميت,#c0aba1d المجارف #n يمكن استخدامها في الحصاد #c0aba1d ذابل العشب #n بينما يمكن للأدوات الأخرى أن تحصد فقط#c0aba1d حفنة من الحشائش,تستمر الأعشاب المزدهرة في الذبول وتزدهر عامًا بعد عام.
226,تبادل لاطلاق النار التربة,نبات ينمو في الظل ويستخدم كمكون خام في الطهي. استهلاكه مباشرة #c0aba1d يستعيد القدرة على التحمل #n، لكن انتبه إلى أنه قد يسبب #c0aba1d مشاكل في الجهاز الهضمي #n. يُشاع أن هناك تفاعلات مثيرة للاهتمام مع #c0aba1dHoras Spore Tree#n في جزيرة Horas.,
227,بريلا,نبات ينمو في الظل ويستخدم كمكون خام في الطهي. استهلاكه مباشرة #c0aba1d يستعيد القدرة على التحمل #n، لكن انتبه إلى أنه قد يسبب #c0aba1d مشاكل في الجهاز الهضمي #n. يُشاع أن هناك تفاعلات مثيرة للاهتمام مع #c0aba1dHoras Spore Tree#n في جزيرة Horas.,
228,الخطمي,#c0aba1dFeed Antlered Deers#n لتسهيل وصولهم إلى حالة #c0aba1dmilk production#n,ينمو في #c0aba1drainforest#n
229,حبوب ذرة,يمكن تصنيعها في @item_344#، و@item_344# هي المادة الخام الأساسية للطهي. يمكن تحميصها على @item_1200#,ازرع @item_11400# على @item_102#، أو عن طريق حصاد الذرة البرية للحصول عليها
230,بورو العملاق,,ازرع @item_11401# على @item_102# لتحصل عليه
231,شجيرات اليقطين,مع ضوء الشمس والماء ، ستنمو الثمار على الشتلات بعد فترة.,
232,نبات الكرمة,جذر جوي لشجرة كبيرة. صلبة وقوية بما يكفي لتحمل الرجل. لا تتسلق عالياً أو قد تسقط!,
233,تربة حمراء,تحتوي التربة الحمراء التي نادرًا ما تُرى على مكونات غنية وغريبة ، والتي يمكن أن تؤدي إلى تغييرات رائعة في النباتات التي تنمو هناك.,وفقًا للأساطير ، هناك جزيرة مليئة بالطين الأحمر.
234,أرز,ينمو في #c0aba1d مياه الحوض #n يمكن معالجته إلى أرز خام يمكن طهيه في وعاء حجري. #r يمكن أن يؤدي إطعامها إلى طائر الدودو إلى تكاثر الدودو.,يتم الحصول عليها عن طريق زراعة بذور الأرز على سطح الماء على ارتفاع شبكة واحدة مع التربة أو الرمال الصفراء أسفلها.
236,خيار,يمكن زراعتها على @item_102# .#rYou يمكن إطعام# c0aba1dDwen#n للحصول على @item_11311#.,تم الحصول عليها عن طريق الصدفة من تدمير Clay Jar أو هزيمة Boom Egg.
237,فاكهة الخشب الأحمر,"فاكهة اشجار الخشب الاحمر , يمكن استخدامها لعمل الاكلات اللذيذة",
238,شوكة العشب,عشب مليئ بالأشواك بعد #c0aba1d تدميره #n سوف تملك فرصة لسقوط #c0aba1d حفنة من الأعشاب #n,
239,الفاكهة المتقشرة العملاقة,إنه كبير جدًا ، عليك أن تفتحه للأكل! يجب معالجتها في طاولة التصنيع,زرع بذور الفاكهة المتقشرة العملاقة في الأراضي الزراعية للحصول عليها.
240,شجيرات الفاكهة العملاقة,مع ضوء الشمس والماء ، ستنمو الثمار على الشتلات بعد فترة.,
241,بطاطا حلوة,يمكن زراعتها على @item_101#. يمكن تحميصها على @item_1200#,لديه فرصة للحصول عليها من خلال تدمير الجرار الفخارية
242,سيريس ستيم,ينمو في  #c0aba1d الصحاري #n صُنعها باستخدام سلاح خشبي للحصول على أسلحة مسننة.,تم الحصول عليها عن طريق زرع بذور الصبار في الحفرة.
243,الذرة البرية,بعد تدميره سوف يكون هنالك فرصة لـ #c0aba1d للحصول على حبوب الذرة #n,الذرة المزروعة في البرية ليست مغذية للغاية.
244,شجرة الكريسماس,شجرة دائمة الخضرة مزينة من قبل سانتا. تستخدم عادة لتزيين المباني.,تم شراؤها من متجر سانتا كلوز خلال حدث عيد الميلاد.
245,العشب المائي,نبات مائي ينمو في  #c0aba1d البحر الضحل #n يمكن أن تشتبك أغصانها المعقدة الكائنات والعناصر عليها ، لذا حاول ألا تبقى هناك لفترة طويلة. إذا كنت محظوظًا بما فيه الكفاية ، فقد تجد أيضًا كنوزًا نادرة هناك.,استخدم المقصّ لاستئصاله
246,الطحالب البحرية,في العادة ينمو في  #c0aba1d البحر الضحل #n تدميرها للحصول على فرصة#c0aba1dالأعشاب البحرية الخام#n,ترصيع طلسم سليم للحصول على الأعشاب البحرية.
247,بتلة عائمة,مبعثر  #c0aba1dعلى سطح الماء#n يمكن استخدامها كديكور,اقطع الطحالب لاستئصالها
248,لوح خشبي عائم,ضعه على سطح الماء لعقد #c0aba1d التحميل #n,اصنعه مع الألواح الخشبية في طاولة التصنيع
249,كوز الصنوبر,ثمر شجر الصنوبر يمكن استخدامه في مأكولات لذيذة,
250,لوتس,ينمو  #c0aba1dعلى سطح الماء #n يمكن استخدامه للديكور,اقطع اللوتس لالتقاطها
251,خيزران,هنالك فرصة لـ  #c0aba1d ترويضه #n #c0aba1d الباندا بعد استخدامه عليهم .#r#c0aba1d ترويض الباندا للحصول على الخيزران المجوف.,ينمو في#c0aba1d غابة الخيزران #n كما من الممكن أن تحفر حفرة للحصول على فطر الخيزران
252,ورق الخيزران,يمكن استخدامه للزينة ويمكنك الحصول على بذور الخيزران بعد كسر الأوراق.,استخدم المقصّ لاستئصاله
253,بزر الخيزران,يمكنك زرع بذور الخيزران #c0aba1d في الحفر #n.,يمكنك الحصول على البذور بكسر أوراق الخيزران
254,الماهوجني,باستخدام أدوات الفأس#c0aba1d#n يمكن قطعها بسرعة#r يمكن معالجتها في @item_11323# ، ويمكن أيضًا استخدامها كوقود,
