ID,名字,描述,追踪
1012,واو ما هذا ماس !,قم بتجميع خامات الذهب باستخدام فأس تعدين الحديد أو معول الماس #r (في أعماق الأرض),اجمع  #cfa7a0fالماس الخام
1013,أول صدمة كهربائية,اجمع خامات الكربيد مع Pickaxe التعدين الحديد أو الماس#r (في أعماق الأرض),اجمع  #cfa7a0f خامات الليثيوم
1014,أداة صلبة,جمع أفران سوداء والمعول الماسي #r ( يمكن أن تظهر قريب من الصهر),قم بتجميع#cfa7a0f الكريستال الأسود
1015,الساحر,اصنع صندوقا ساحرا للصهر #r ( تحتاج لصندوق الأدوات يمكنه تحسين الأدوات),اصنع #cfa7a0f صندوق الساحر
1016,إنه ينظر إلي,اهزم الخيال واحصل على عين الأرض الأساسية #r (عين الأرض يبدو أنها تود الطيران لمكان ما),احصل على #cfa7a0f عين الأرض الأساسية
1017,سبائك الحديد,احصل على الأحجار الكريمة القديمة من الزنزانة ، ورميها بعيدًا واخذها ، لأنها تنضح بالسحر القديم ...,قم #cfa7a0f بصهر سبائك الحديد
1018,حجر إطار البوابة,الأحجار الكريمة القديمة والسكار الأسود ، إلخ. #L#cfa7a0f حجر إطار البوابة #n,قم #cfa7a0f بصناعة حجر إطار البوابة
1022,بوابة العالم الأساسية,اصنع كتلة بوابة واملأ إطار الباب للبوابة لفتح البوابة #r (2*3 مساحة فاضية في المركز),اصنع #cfa7a0f اطار البوابة الحجري
1023,عالم آخر,قم بالدخول إلى أساس الأرص واهزم الحمم العملاقة @1#r ( العالم مليئ باللهب),اصنع #cfa7a0f الوحش المصهور
1024,التنين القاتل,هزيمة التنين الأسود القديم على النيران@1,قم بهزيمة#cfa7a0f التنين الأسود القديم
1025,هدية تذكارية,التقط #L#cfa7a0f تمثال التنين الأسود #n@1#r ( يبدو أن الرجل البربري يخاف من تمثال التنين الأسود),التقط #cfa7a0f تمثال التنين الأسود
1026,العالم المجهول,هل هذه النهاية ؟ هذه ليست سوى البداية! #r (شخص ما سوف يعود),العالم المجهول #cfa7a0f
1027,دلو حديدي,اصنع 1 #L#cfa7a0f دلو حديدي #n لجلب المياه #r ( شبكة واحدة من المياه لري 4 شبكات من الأراضي الزراعية المحيطة),اصنع #cfa7a0f دلو حديدي
1028,موسم البذر,استخدم  #L#cfa7a0f بذور القمح #n لزراعة في#r الأراضي الزراعية (يمكن الزراعة فقط في الأراضي الزراعية),ازرع#cfa7a0f بذور القمح
1029,موسم الحصاد,احصل على #cfa7a0f قمح #n  #r ( يمكن الحصول على القمح فقط عند نمو المحاصيل ونضجها),احصد #cfa7a0f القمح
1030,اخبز الخبز,اصنع 1  #L#cfa7a0fخبز قمح #n@1#r ( تناوله في أي وقت حتى لا تجوع ),اصنع #cfa7a0f الخبز
1031,الخباز,اصنع 1 #L#cfa7a0f خبز طويل #n@1,اصنع 1 #L#cfa7a0f خبز طويل
1032,خباز الكيك,اصنع #L#cfa7a0f كيك  #n@1,اصنع #L#cfa7a0f كيك
1033,ماتادور,قم بهزيمة البقرة  لتحصل علي #L#cfa7a0f اللحم الخام #n@1 #r ( البقرة تأكل العشب ),التقط #cfa7a0f لحم البقر النيئ
1034,الجلد,قم بهزيمة البقرة لتحصل#L#cfa7a0f على جلد رطب#n@1,احصل على#cfa7a0f جلد رطب
1035,لحم البقر المشوي,قم باستخدام فرن الصهر لصناعة #L#cfa7a0f لحم البقر المشوي #n@1,اصنع#cfa7a0f لحم البقر المشوي
1036,الفراخ ! الراكض,قم بهزيمة الفراخ  لتحصل#L#cfa7a0f على لحم نيئ #n@1 ( يمكن للفراخ أن تتناول بذور القمح),احصل على #cfa7a0f لحم الفراخ  النيئ
1037,البيض الذهبي & البيض الفضي,التقط  #L#cfa7a0f البيض #n@1,احصل #cfa7a0f على البيض
1038,دجاجة مشوية,قم باستخدام فرن الصهر لصناعة #L#cfa7a0f لحم الدجاج المشوي #n@1,احصل على #cfa7a0f الدجاج المشوي
1039,بعاااا,قم بهزيمة الأغنام   لتحصل#L#cfa7a0f على لحم فخذ نيئ #n@1 ( يمكن للأغنام  أن تتناول الأعشاب ),احصل على #cfa7a0f فخذ الأغنام النيئ
1040,الصوف,اهزم الأغنام واستخدم المقص لالتقاط  #L#cfa7a0f الصوف #n@1,احصل #cfa7a0f على صوف الأغنام
1041,أحجار كريمة عتيقة,Make #L#cfa7a0f floor mat #n@1,احصل cfa7a0f#علي الاحجار الكريمة القديمة
1042,إنه ينظر إالي,"Pick up #L#cfa7a0f flower #n@1#r (beautiful flowers, relatively rare)",احصل cfa7a0f#علي عين باطن الارض
1043,العالم الملون,اصنع #L#cfa7a0f رسامة  #n@1,#cfa7a0f اصنع الدهان
1044,مرحبا إنه جميل جدا,اصنع #L#cfa7a0f الصوف الأحمر  #n@1,#cfa7a0f اصنع الصوف الأحمر
1045,جولة بالسكة الحديدة,اصنع #L#cfa7a0f عقدة السكة الحديدة #n@1,#cfa7a0fاصنع العقدة الحديدية
1046,انطلق,اصنع #L#cfa7a0f سكة السيارة #n@1,#cfa7a0f اصنع سيارتك
1047,الطباخ,أكمل المهمة تلقائيًا بعد إكمال المهمة السابقة,#cfa7a0f اطبخ وجبة دسمة
1048,الحياة,أكمل المهمة تلقائيًا بعد إكمال المهمة السابقة,#cfa7a0f اصنع زجاج أحمر
1049,المدرب الوردي,استخدم علف العشب / اللحوم أو وليمة الجزر لإطعام اثنين من التونتون بجانب كومة القش ، بحيث يصل عدد تربية التونتون إلى 200@1,#cfa7a0f قم بتربية التون تون
1050,راعي البقر,استخدم حفنة من الحشائش أو علف العشب لإطعام بقرتين بجوار كومة القش لتربية 200 عجول في 1,#cfa7a0f قم بتربية البقر
1051,بعاا,استخدم حفنة من الحشائش أو علف العشب لإطعام اثنين من الأغنام  بجوار كومة القش لجعلها تكاثر حتى 200 ماعز  @ 1,#cfa7a0f قم بتربية الأغنام
1052,استدعاء الدجاج,استخدم علف العشب لإطعام دجاجتين بجوار حظيرة الدجاج بحيث يصل عدد الدجاج المتكاثر إلى 200 @ 1,#cfa7a0f قم بتربية الدجاج
1053,قاعدة تكاثر واسعة النطاق,أكمل المهمة تلقائيًا بعد إكمال المهمة السابقة,#cfa7a0f أكمل إنجازات سلسلة تربية الحيوانات
1054,رمح حجري,اصنع 1  #L#cfa7a0fرمح حجري  #n@1#r ( الخطر يظهر دائما في الظلام),#cfa7a0f قم بصناعة رمح حجري
1055,حاد,اصنع 1  #L#cfa7a0fسسيف حديدي  #n@1#r ( ا بناء منزل يمكن أن يحمي نفسك بشكل فعال),#cfa7a0f اصنع سيف حديدي
1056,مواد غير نافعة,اصنع 1  #L#cfa7a0f رمح طويل #n@1#r ( مجهزة بالكامل ، لا خوف من التعرض للهجوم),#cfa7a0f اصنع سيف ذهبي
1057,قتل الوحوش مثل اقتلاع العشب,اصنع 1  #L#cfa7a0f سيف الطاقة #n@1#r ( الآن نحن بحاجة إلى معاقبة ذلك الخنزير الذي يتنمر),#cfa7a0f اصنع سيف من الماسات
1058,هجوم بعيد المدى,اصنع 1  #L#cfa7a0f القوس الخشبي القصير #n@1#r ( ايمكن إطلاق القوس الخشبي القصير لمسافة أبعد عندما يتم رسمه بالكامل ، وتكون هناك حاجة إلى الأسهم),#cfa7a0f اصنع القوس الخشبي القصير
1059,أحتاج إلى سهام حجرية,قم بصناعة 1 #L#cfa7a0f  من الأسهم  #n@1,#cfa7a0f اصنع السهام
1060,خوذة جلدية,اصنع 1  #L#cfa7a0f خوذة جلدية  #n@1#r (يمكن ارتداؤها على الجسم لزيادة الدفاع),#cfa7a0f اصنع خوذة جلدية
1061,خوذة حديدية,اصنع 1  #L#cfa7a0f خوذة حديدية  #n@1#r (المعدات العملية ، وزيادة الدفاع),#cfa7a0f اصنع خوذة حديدية
1062,الخوذة الماسية,اصنع 1  #L#cfa7a0f خوذة ماسية  #n@1#r (معدات متقدمة ، تضيف الكثير من الدفاع),#cfa7a0f اصنع خوذة ماسية
1063,درع صدر جلدي,اصنع 1  #L#cfa7a0f درع صدر جلدي #n@1#r ( يمكن ارتداؤها على الجسم لزيادة الدفاع),#cfa7a0f اصنع درع صدر جلدي
1064,درع صدر حديدي,اصنع 1  #L#cfa7a0f درع صدر حديدي #n@1#r ( المعدات العملية ، وزيادة الدفاع),#cfa7a0f اصنع درع صدر حديدي
1065,درع صدر ألماسي,اصنع 1  #L#cfa7a0f درع صدر ألماسي #n@1#r ( المعدات المتقدمة ، زيادة الكثير من خواص الدفاع),#cfa7a0f اصنع درع صدر ماسي
1066,درع قدم جلدي,اصنع 1  #L#cfa7a0f درع قدم جلدي #n@1#r ( يمكن ارتدائه على الجسم لزيادة الدفاع),#cfa7a0f اصنع درع قدم جلدي
1067,درع للقدم حديدي,اصنع 1  #L#cfa7a0fدرع للقدم حديدي  #n@1#r (معدات عملية، يزيد خواص الدفاع),#cfa7a0f اصنع درع قدم حديدي
1068,درع قدم ماسي,اصنع 1  #L#cfa7a0fدرع للقدم ماسي  #n@1#r (معدات متقدمة، يزيد من خواص الدفاع),#cfa7a0f اصنع درع قدم ماسي
1069,حذاء جلدي,اصنع 1  #L#cfa7a0fحذاء جلدي  #n@1#r (يمكن ارتدائه على الجسم،يزيد الدفاع),#cfa7a0f اصنع حذاء جلدي
1070,حذاء حديدي,اصنع #L#cfa7a0f حذاء جلدي  #n@1#r  (المعدات العملية ، وزيادة الدفاع),#cfa7a0f قم بعمل أحذية حديدية
1071,الحذاء الماسي,اصنع زوج 1 من #L#cfa7a0f الأحذية الماسية  #n@1#r( معدات متقدمة، يضيق العديد من خواص الدفاع),#cfa7a0f قم بعمل أحذية ماسية
1072,@Null@,@Null@,@Null@
1073,سيد الدفاع,سوف تصبح سيد الدفاع @1,#cfa7a0f قم باكمال جميع الدفاعات
1074,احتاج إلى ورقة,اصنع 1 #L#cfa7a0f ورقة @1#r ( صنع عن طريق جمع قصب السكر),#cfa7a0f قم بصناعة الورق
1075,كتاب مسحور,اصنع 1 #L#cfa7a0f دليل فارغ #n@1,#cfa7a0f قم بعمل دليل فارغ
1076,سيد السحرة,أكمل المهمة تلقائيًا بعد إكمال المهمة السابقة,#cfa7a0f قم باكمال جميع متطلبات السحرة
1077,اهزمهم,أكمل المهمة تلقائيًا بعد إكمال المهمة السابقة,#cfa7a0f  تغلب على الوحوش
1078,العدو المشترك للعفاريت,اهزم 200 رمح عفريت @ 1,#cfa7a0f  تغلب على العفريت
1079,العدو العام للعالم الأساسي,اهزم 100 فانتوم @ 1,#cfa7a0f تغلب على الفانتوم
1080,العدو المشترك للوحش البربري,اهزم 500 وحش بربري,#cfa7a0f تغلب على الوحش البربري
1081,بيضة الإزدهار,اهزم 200 بيضة الازدهار @1,#cfa7a0f تغلب على بيضة الإزدهار
1082,أسطورة,أكمل المهمة تلقائيًا بعد إكمال المهمة السابقة,#cfa7a0f  أكمل كل إنجازات سلسلة الوحش ميراس
1083,عامل منجم مجتهد 1,اصنع 100  #L#cfa7a0f معول الحجر #n@1#r ( معول الحجر يمكنه تجميع الحديد),#cfa7a0f  اصنع معول حجري
1084,عامل منجم مجتهد 2,قم بصناعة 50  #L#cfa7a0f معول حديدي #n@1#r ( يمكن للمعول الحديدي ان يجمع العديد من مناجم متقدمة),#cfa7a0f فأس تعدين حديدي
1085,عامل منجم مجتهد 3,اصنع 20  #L#cfa7a0f حفارة ماس #n@1#r ( حفارة الماس يمكنها تجميع الكريستال),#cfa7a0f  اصنع حفارة ماسية
1086,زجاج 1,صهر 10  #L#cfa7a0f كتلة الزجاج #n@1,#cfa7a0f قم بصهر قطع الزجاج
1087,زجاج 2,صهر 500  #L#cfa7a0f كتلة الزجاج #n@1,#cfa7a0f قم بصهر قطع الزجاج
1088,زجاج 3,صهر 2000  #L#cfa7a0f كتلة الزجاج #n@1,#cfa7a0f قم بصهر قطع الزجاج
1089,مجمع سبائك الحديد 1,صهر10 #L#cfa7a0f سبائك الحديد #n@1,#cfa7a0f قم بصهر سبائك الحديد
1090,مجمع سبائك الحديد 2,صهر100 #L#cfa7a0f سبائك الحديد #n@1,#cfa7a0f قم بصهر سبائك الحديد
1091,مجمع سبائك الحديد 3,صهر300 #L#cfa7a0f سبائك الحديد #n@1,#cfa7a0f قم بصهر سبائك الحديد
1092,منجم ألماس 1,منجم 10 #L#cfa7a0f معدن الماس #n@1,#cfa7a0f قم بالتنقيب عن معدن الماس
1093,منجم ألماس 2,منجم 50 #L#cfa7a0f معدن الماس #n@1,#cfa7a0f قم بالتنقيب عن معدن الماس
1094,منجم ألماس 3,منجم 200  #L#cfa7a0f معدن الماس #n@1,#cfa7a0f قم بالتنقيب عن معدن الماس
1095,سيد التدريب 1,ترويض 1 ذئب بعظام حيوانات@1,#cfa7a0f قم بترويض الذئب
1096,سيد التدريب 2,ترويض 5 ذئاب بعظام حيوانات @1,#cfa7a0f قم بترويض الذئب
1097,سيد التدريب 3,ترويض 20 ذئبًا بعظام الحيوانات@1,#cfa7a0f قم بترويض الذئب
1098,جامع سبائك الذهب 1,صهر 5 #L#cfa7a0f سبيكة ذهب #n@1,#cfa7a0f صهر سبائك الذهب
1099,جامع سبائك الذهب 2,صهر 100 #L#cfa7a0f سبيكة ذهب #n@1,#cfa7a0f صهر سبائك الذهب
1100,جامع سبائك الذهب 3,صهر 500 #L#cfa7a0f سبيكة ذهب #n@1,#cfa7a0f صهر سبائك الذهب
1101,سيد الجولات 1,صهر 10 #L#cfa7a0f سبيكة سيليستيوم#n@1,#cfa7a0f صهر سبائك سيليستيوم
1102,سيد الجولات 2,صهر 200 #L#cfa7a0f سبيكة سيليستيوم#n@1,#cfa7a0f صهر سبائك سيليستيوم
1103,سيد الجولات 3,صهر 500 #L#cfa7a0f سبيكة سيليستيوم#n@1,#cfa7a0f صهر سبائك سيليستيوم
1104,احتاج الى سهام 1,اصنع 10 سهام #L#cfa7a0f #n@1,#cfa7a0f اصنع السهام
1105,احتاج الى سهام 2,اصنع 100 سهام #L#cfa7a0f #n@1,#cfa7a0f اصنع السهام
1106,احتاج الى سهام 3,اصنع 1000 سهام #L#cfa7a0f #n@1,#cfa7a0f اصنع السهام
1107,حارس الغابة 1,قم بزراعة أكثر من 10 أشجار @1#r ( استخدم #L#cfa7a0f بذور الشجر#n للزراعة ),#cfa7a0f ازرع الأشجار
1108,حارس الغابة 2,قم بزراعة أكثر من 200 أشجار @1#r ( استخدم #L#cfa7a0f بذور الشجر#n للزراعة ),#cfa7a0f ازرع الأشجار
1109,حارس الغابة 3,قم بزراعة أكثر من 2000 أشجار @1#r ( استخدم #L#cfa7a0f بذور الشجر#n للزراعة ),#cfa7a0f ازرع الأشجار
1110,شرائح لحم التون تون 1,اصنع 50  #L#cfa7a0fشريحة لحم مشوية  #n@1,#cfa7a0f قم بطهي لحم التون تون
1111,شرائح لحم التون تون 2,اصنع 200  #L#cfa7a0fشريحة لحم مشوية  #n@1,#cfa7a0f قم بطهي لحم التون تون
1112,شرائح لحم التون تون 3,اصنع 1000  #L#cfa7a0fشريحة لحم مشوية  #n@1,#cfa7a0f قم بطهي لحم التون تون
1113,شرائح لحم بقري 1,اصنع 50 #L#cfa7a0f شريحة لحم بقري مشوية #n@1,#cfa7a0f قم بطهي لحم بقري مشوي
1114,شرائح لحم بقري 2,اصنع 200 #L#cfa7a0f شريحة لحم بقري مشوية #n@1,#cfa7a0f قم بطهي لحم بقري مشوي
1115,شرائح لحم بقري 3,اصنع 1000 #L#cfa7a0f شريحة لحم بقري مشوية #n@1,#cfa7a0f قم بطهي لحم بقري مشوي
1116,اشوي الدجاج  1,اصنع 50 #L#cfa7a0f دجاج مشوي #n@1,#cfa7a0f قم بطهي الدجاج المشوي
1117,شوي الدجاج 2,اصنع 200 #L#cfa7a0f دجاج مشوي #n@1,#cfa7a0f قم بطهي الدجاج المشوي
1118,شوي الدجاج 3,اصنع 1000 #L#cfa7a0f دجاج مشوي #n@1,#cfa7a0f قم بطهي الدجاج المشوي
1119,فخذ الماعز مشوي 1,اصنع 50 #L#cfa7a0f فخذ ماعز مشوي #n@1,#cfa7a0f قم بطهي فخذ الماعز المشوي
1120,فخذ الماعز مشوي 2,اصنع 200 #L#cfa7a0f فخذ ماعز مشوي #n@1,#cfa7a0f قم بطهي فخذ الماعز المشوي
1121,فخذ الماعز مشوي 3,اصنع 1000 #L#cfa7a0f فخذ ماعز مشوي #n@1,#cfa7a0f قم بطهي فخذ الماعز المشوي
1122,القطن 1,اصنع 50 #L#cfa7a0f كتلة قطن #n@1,#cfa7a0f احصل على القطن
1123,القطن 2,اصنع 200 #L#cfa7a0f كتلة قطن #n@1,#cfa7a0f احصل على القطن
1124,القطن (3),اصنع 1000 #L#cfa7a0f كتلة قطن #n@1,#cfa7a0f احصل على القطن
1125,محطم الأحجار 1,نقب عن 100 #L#cfa7a0f حجرة #n@1,#cfa7a0f نقب عن الأحجار
1126,محطم الأحجار 2,نقب عن 1000 #L#cfa7a0f حجرة #n@1,#cfa7a0f نقب عن الأحجار
1127,محطم الأحجار 3,نقب عن 5000 #L#cfa7a0f حجرة #n@1,#cfa7a0f نقب عن الأحجار
1128,خوف الظلام 1,قم باشعال 50  #L#cfa7a0f شعلة #n@1,#cfa7a0f اشعال الشعلة
1129,الخوف من الظلام 2,قم باشعال 200  #L#cfa7a0f شعلة #n@1,#cfa7a0f اشعال الشعلة
1130,الخوف من الظلام 3,قم باشعال 500  #L#cfa7a0f شعلة #n@1,#cfa7a0f اشعال الشعلة
1131,إعادة الحياة 1,الفشل 1 مرة @1,#cfa7a0f هزيمة
1132,إعادة الحياة 2,الفشل 100 مرة@1,#cfa7a0f هزيمة
1133,إعادة الحياة 3,الفشل 500 مرة@1,#cfa7a0f هزيمة
1134,طعام البطريق 1,قم بطهي 1 #L#cfa7a0f السلمون المشوي #n,#cfa7a0f قم بطهي السلمون المشوي
1135,طعام  البطريق 2,قم بطهي 10 #L#cfa7a0f السلمون المشوي #n,#cfa7a0f قم بطهي السلمون المشوي
1136,طعام  البطريق 3,قم بطهي 100 #L#cfa7a0f السلمون المشوي #n,#cfa7a0f قم بطهي السلمون المشوي
1137,نهاية الفوضى,قم بهزيمة التنين الأسود الفوضوي#r ( التنين الأسود الفوضوي : \(-^-)/)@1),#cfa7a0f اهزم التنين الأسود الفوضوي
1138,بناء مركبة فضائية,قم بتجميع المواد من أجل صناعة #L#cfa7a0f صاروخ #n@1,#cfa7a0f اصنع مركبة فضائية
1139,الهبوط على كوكب هوراس,قم بالركوب فوق الصاروخ المتجه إلى هوراس لتجميع #L#cfa7a0f صخور هوراس  #n@1,#cfa7a0f قم بتجميع الصخور هوراس
1140,تنشيط الطلاسم,استخدم #L#cfa7a0f ريجين رون #n لتفعيل طلاسم توتم @1,قم cfa7a0f#بتفعيل الرون
1141,نجم  نحاسية,Make #L#cfa7a0f horas copper drill#n@1,اصنع cfa7a0f#مثقاب حورس النحاسي
1142,اصدهم الآن!,اصنع#L#cfa7a0f سنارة الاصطياد #n@1,#cfa7a0f ارمي سنارة الاصطياد
1143,للاستمرار,العديد من المغامرات في انتظارك,العديد من المغامرات في انتظارك
1144,مخترع الأكسجين,استخدم هوراس النحاسي وصخور هوراس والسطح الخشبي العام وشظايا الصخور في صنع #L#cfa7a0f مضخة الأكسجين #n@1,#cfa7a0f اصنع مضخة أكسجين
1145,جاهز,استخدم جليد الكريستال و سبائك الحديد لتصنع#L#cfa7a0f وعاء الوقود  #n@1,#cfa7a0f اصنع خزان الوقود
1146,متعة الفضاء,استخدم خزان الغاز هوراس النحاس في صنع #L#cfa7a0f حزمة الأوكسجين #n@1,#cfa7a0f اصنع حزمة الأوكسجين
1147,تربة الفضاء,استخدم عشب هوراس وصخور هوراس ودلو حديدي بالماء وسماد حيواني لصنعه#L#cfa7a0f متوسط النبات#n@1,#cfa7a0f اصنع متوسط النبات
1148,مستكشف الفضاء,أكمل المهمة تلقائيًا بعد إكمال المهمة السابقة,استكشف المزيد في الفضاء
1149,اهزم روكي,اهزم 200 صخرة @1,#cfa7a0f اهزم الصخور
1150,اهزم فروستي,اهزم 200 فروستي @1,#cfa7a0f اهزم فروستي
1151,اهزم بولي,اهزم 200 بولي @1,#cfa7a0f اهزم بولي
1152,اهزم غرافيتي,اهزم 100 غرافيتي @1,#cfa7a0f اهزم غرافيتي
1153,حرب الفضاء,أكمل المهمة تلقائيًا بعد إكمال المهمة السابقة,أكمل جميع إنجازات وحوش هوراس
1154,هوراس النجاة 1,ابقى على قيد الحياة 7 أيام في هوراس@1,#cfa7a0f ابقى على قيد الحياة في هوراس
1155,هوارس النجاة 2,ابقى على قيد الحياة 60 يوم في هوراس@1,#cfa7a0f ابقى على قيد الحياة في هوراس
1156,هوراس النجاة 3,ابقى على قيد الحياة 365 يوم في هوراس@1,#cfa7a0f ابقى على قيد الحياة في هوراس
1157,أوكسجين 1,تناول 10 #L#cfa7a0f أوكسجين #n@1,#cfa7a0f تناول الأوكسجين
1158,أوكسجين 2,تناول 100 #L#cfa7a0f أوكسجين #n@1,#cfa7a0f تناول الأوكسجين
1159,أوكسجين 3,تناول 500 #L#cfa7a0f أوكسجين #n@1,#cfa7a0f تناول الأوكسجين
1160,تفعيل الطوطم 1,تفعيل 5 #L#cfa7a0f طوطم #n@1,#cfa7a0f تفعيل طلاسم
1161,تفعيل الطوطم 2,تفعيل 50 #L#cfa7a0f طوطم #n@1,#cfa7a0f تفعيل طلاسم
1162,تفعيل الطوطم 3,تفعيل 300 #L#cfa7a0f طوطم #n@1,#cfa7a0f تفعيل طلاسم
1163,اضاءة الطوطم 1,إضاءة 5 #L#cfa7a0f طوطم #n@1,#cfa7a0f قم بتفعيل 5 طوطم
1164,اضاءة الطوطم2,إضاءة 50 #L#cfa7a0f طوطم #n@1,#cfa7a0f قم بتفعيل 50 طوطم
1165,اضاءة الطوطم,إضاءة 300 #L#cfa7a0f طوطم #n@1,#cfa7a0f قم بتفعيل طوطم
1166,نحاس هوارس 1,نقب عن 10 #L#cfa7a0f نحاس هوارس خام ore #n@1,#cfa7a0f نقب في منجم نحاس هوارس
1167,نحاس هوارس 2,نقب عن 100 #L#cfa7a0f نحاس هوارس خام #n@1,#cfa7a0f نقب في منجم نحاس هوارس
1168,نحاس هوارس 3,نقب عن 500  #L#cfa7a0f نحاس هوارس خام #n@1,#cfa7a0f نقب في منجم نحاس هوارس
1169,الجاذبية الخام,نقب عن 10#L#cfa7a0f صخور الجاذبية #n@1,#cfa7a0f نقب في منجم الجاذبية
1170,مركز الجاذبية 2,نقب عن  100#L#cfa7a0f صخور الجاذبية #n@1,#cfa7a0f نقب في منجم الجاذبية
1171,مركز الجاذبية 3,نقب عن  500 #L#cfa7a0f صخور الجاذبية #n@1,#cfa7a0f نقب في منجم الجاذبية
1172,التمثال العملاق القديم,ضع كتلة ألماس / ملكيت /برونز الهوراس  / جاذبية الهوارس على الكتل الأربعة بجوار قلب الطوطم واستدعي العملاق القديم ليهزمه @1,#cfa7a0f اهزم التمثال العملاق القديم
1173,العملاق القديم,اهزم العملاق القديم @1,#cfa7a0f اهزم العملاق القديم
1174,@Null@,@Null@,@Null@
1175,أحتاج بعض الخشب,قم بتجميع الخشب واحصل على #L#cfa7a0f كتل خشبية #n@1#r (اضغط لفترة طويلة على الجذع للجمع),#cfa7a0f اجمع الخشب
1176,الحرفية,استخدم أي نوع من الأخشاب لصناعة  العصي، استخدم 4 أخشاب لصناعة 1 #L#cfa7a0f صندوق أدوات #n@1#r (افتح حقيبة الظهر أولاً ، واختر أن تصنع حسب الملصق الموجود على اليسار),#cfa7a0f اجمع صندوق الأدوات
1177,@Null@,@Null@,@Null@
1178,@Null@,@Null@,@Null@
1179,@Null@,@Null@,@Null@
1180,@Null@,@Null@,@Null@
1181,@Null@,@Null@,@Null@
1182,@Null@,@Null@,@Null@
1183,@Null@,@Null@,@Null@
1184,@Null@,@Null@,@Null@
1185,@Null@,@Null@,@Null@
1186,@Null@,@Null@,@Null@
1187,@Null@,@Null@,@Null@
1188,@Null@,@Null@,@Null@
1189,@Null@,@Null@,@Null@
1190,@Null@,@Null@,@Null@
1191,@Null@,@Null@,@Null@
1192,@Null@,@Null@,@Null@
1193,@Null@,@Null@,@Null@
1194,@Null@,@Null@,@Null@
1195,@Null@,@Null@,@Null@
1196,@Null@,@Null@,@Null@
1197,@Null@,@Null@,@Null@
1198,@Null@,@Null@,@Null@
1199,@Null@,@Null@,@Null@
1200,@Null@,@Null@,@Null@
1201,الوقوف بثبات,البقاء على قيد الحياة ل 7 أيام في وضعية هوارس @1,#cfa7a0f البقاء على قيد الحياة لـ
1202,مزدهر,البقاء على قيد الحياة لمدة 60 يوم في وضعية هوارس@1,#cfa7a0f البقاء على قيد الحياة لـ
1203,سيد النجاة,البقاء على قيد الحياة في وضعية النجاة لمدة 365 يوم@1,#cfa7a0f البقاء على قيد الحياة لـ
1204,متوحشون,قم بهزيمة 50 متوحش@1,#cfa7a0f التغلب على المتوحشون
1205,الأطفال المتوحشون,اهزم 20 طفل متوحش@1,#cfa7a0f التغلب على الأطفال المتوحشون
1206,الفانتوم!,اهزم 50 فانتوم@1,#cfa7a0f تغلب على الفانتوم
1207,تجارة,قم بعمل 20 صفقة تجارية مع التجار@1,قم بعمل صفقات تجارية مع التجار المسافرين
1208,تجارة الصحراء,قم بعمل 50 صفقة تجارية مع تجار الصحراء @1,قم بعمل صفقات تجارية مع تجار الصحراء
