角色ID,阿拉伯语,阿拉伯语,阿拉伯语,阿拉伯语,阿拉伯语
15,طفل الدب,"كل بيت لديه طفل الدب,انتظر , ماذا يحمل في يديه؟",عبقري المتفجرات,خفض معدل الاضرار الناتجة عن التفجيرات بنسبة 40%,@Null@
16,الكابتن توم,"قوات حماية العالم السابق , تتمتع بقدرة عالية في النجاة والتصويب.",يطلب النجاة في البرية,زيادة تأثير الطعام والقدرة علي التنفس تحت الماء (غير مفعله),يمكنك فتح المعدات من خلال فاكهة الحديقة
17,الكابتن توم,"قوات حماية العالم السابق , تتمتع بقدرة عالية في النجاة والتصويب.",يطلب النجاة في البرية,زيادة مدة تأثير الطعام ̸ الحياة̸ التنفس تحت الماء بنسبة 15%,يمكنك فتح المعدات من خلال فاكهة الحديقة
18,الكابتن توم,"قوات حماية العالم السابق , تتمتع بقدرة عالية في النجاة والتصويب.",يطلب النجاة في البرية,زيادة مدة تأثير الطعام ̸ الحياة̸ التنفس تحت الماء بنسبة 30%,يمكنك فتح المعدات من خلال فاكهة الحديقة
19,العميل لاورا,"سيدة شركة الحراسة , تعشق المغامرات",تنبؤات,تجنب الاصابة باضرار قاتلة مرة واحدة(غير مفعله),يمكنك فتح المعدات من خلال فاكهة الحديقة
20,العميل لاورا,"سيدة شركة الحراسة , تعشق المغامرات",تنبؤات,@Null@,يمكنك فتح المعدات من خلال فاكهة الحديقة
21,العميل لاورا,"سيدة شركة الحراسة , تعشق المغامرات",تنبؤات,@Null@,يمكنك فتح المعدات من خلال فاكهة الحديقة
22,سيندي الشقي,الطيار الخاص بفريق التنقيب عن الاثار البدائي .,القفز المرتفع,"تقوية القدرة علي القفز , يمكن القفز مرتين في المستوي الثاني (غير مفعله)",يمكنك فتح المعدات من خلال فاكهة الحديقة
23,سيندي الشقي,الطيار الخاص بفريق التنقيب عن الاثار البدائي .,القفز المرتفع,زيادة ارتفاع القفز +50%,يمكنك فتح المعدات من خلال فاكهة الحديقة
24,سيندي الشقي,الطيار الخاص بفريق التنقيب عن الاثار البدائي .,القفز المرتفع,"زيادة ارتفاع القفز +50%,خفض معدل اصابة السقوط -20 , يمكن القفز مرتين متواصل .",يمكنك فتح المعدات من خلال فاكهة الحديقة
25,المساعد بيتر,"من اجل التمكن من عمل بحث متميز للتخرج ,انضم الي فريق التنقيب عن الاثار.",حادثة,لديه فرصه للحصول علي ادوات متعددة عند كسر المربعات(غير مفعله),يمكنك فتح المعدات من خلال فاكهة الحديقة
26,المساعد بيتر,"من اجل التمكن من عمل بحث متميز للتخرج ,انضم الي فريق التنقيب عن الاثار.",حادثة,لديه فرصه بنسبة 18 % للحصول علي مواد نادرة عند كسر المربعات,يمكنك فتح المعدات من خلال فاكهة الحديقة
27,المساعد بيتر,"من اجل التمكن من عمل بحث متميز للتخرج ,انضم الي فريق التنقيب عن الاثار.",حادثة,لديه فرصه بنسبة 27% للحصول علي المزيد من المواد النادرة ومربعات خاصة عند كسر المربعات,يمكنك فتح المعدات من خلال فاكهة الحديقة
28,البروفيسير ستيفين,ما الذي اتي بالبروفيسير الخاص باكادمية العلوم للبلاد في هذا المكان ؟,تعلم كبير,لديه فرصه للحصول علي العديد من الادوات عند حفر الصخور (غير مفعله),يمكنك فتح المعدات من خلال فاكهة الحديقة
29,البروفيسير ستيفين,ما الذي اتي بالبروفيسير الخاص باكادمية العلوم للبلاد في هذا المكان ؟,تعلم كبير,لديه فرصه بنسبة 4% للحصول علي معادن ومواد نادرة عند حفر الصخور,يمكنك فتح المعدات من خلال فاكهة الحديقة
30,البروفيسير ستيفين,ما الذي اتي بالبروفيسير الخاص باكادمية العلوم للبلاد في هذا المكان ؟,تعلم كبير,لديه فرصه بنسبة 6% للحصول علي معادن ومواد نادرة ومربعات خاصة عند حفر الصخور,يمكنك فتح المعدات من خلال فاكهة الحديقة
