iD,阿拉伯语,阿拉伯语
17,مقاومة الهجوم عن بعد,زيادة نقاط مقاومة الهجوم عن بعد +9
17,مقاومة الهجوم عن بعد,زيادة نقاط مقاومة الهجوم عن بعد +15
18,مقاومة التفجير,زيادة نقاط مقاومة التفجير +1
18,مقاومة التفجير,زيادة نقاط مقاومة التفجير +3
18,مقاومة التفجير,زيادة نقاط مقاومة التفجير +5
18,مقاومة التفجير,زيادة نقاط مقاومة التفجير +9
18,مقاومة التفجير,زيادة نقاط مقاومة التفجير +15
19,مقاومة النيران,زيادة نقاط مقاومة النيران +1
19,مقاومة النيران,زيادة نقاط مقاومة النيران +3
19,مقاومة النيران,زيادة نقاط مقاومة النيران +5
19,مقاومة النيران,زيادة نقاط مقاومة النيران +9
19,مقاومة النيران,زيادة نقاط مقاومة النيران +15
20,مقاومة السم,زيادة نقاط مقاومة السم +1
20,مقاومة السم,زيادة نقاط مقاومة السم +3
20,مقاومة السم,زيادة نقاط مقاومة السم +5
20,مقاومة السم,زيادة نقاط مقاومة السم +9
20,مقاومة السم,زيادة نقاط مقاومة السم +15
21,مقاومة الفوضي,زيادة نقاط مقاومة الفوضي +1
21,مقاومة الفوضي,زيادة نقاط مقاومة الفوضي +3
21,مقاومة الفوضي,زيادة نقاط مقاومة الفوضي +5
21,مقاومة الفوضي,زيادة نقاط مقاومة الفوضي +9
21,مقاومة الفوضي,زيادة نقاط مقاومة الفوضي +15
22,رد الهجوم,زيادة احتمالية التسبب ب5 نقاط من الاضرار لمن يقوم بالهجوم المتلاحم عليك بنسبة 50%
22,رد الهجوم,زيادة احتمالية التسبب ب10 نقاط من الاضرار لمن يقوم بالهجوم المتلاحم عليك بنسبة 50%
22,رد الهجوم,زيادة احتمالية التسبب ب15 نقاط من الاضرار لمن يقوم بالهجوم المتلاحم عليك بنسبة 50%
22,رد الهجوم,زيادة احتمالية التسبب ب20 نقاط من الاضرار لمن يقوم بالهجوم المتلاحم عليك بنسبة 50%
22,رد الهجوم,زيادة احتمالية التسبب ب25 نقاط من الاضرار لمن يقوم بالهجوم المتلاحم عليك بنسبة 50%
23,مقاومة الصد,تقليل مسافة التصدي ل 1 مربع اثناء تلقي الهجوم.
23,مقاومة الصد,تقليل مسافة التصدي ل 2 مربع اثناء تلقي الهجوم.
23,مقاومة الصد,تقليل مسافة التصدي ل 3 مربع اثناء تلقي الهجوم.
23,مقاومة الصد,تقليل مسافة التصدي ل 4 مربع اثناء تلقي الهجوم.
23,مقاومة الصد,تقليل مسافة التصدي ل 5 مربع اثناء تلقي الهجوم.
24,الجمع بدقة,سوف تسقط المربعات اثناء تجميعها.
25,السرعة,زيادة سرعة التجميع بنسبة 30%
25,السرعة,زيادة سرعة التجميع بنسبة 70%
25,السرعة,زيادة سرعة التجميع بنسبة 120%
25,السرعة,زيادة سرعة التجميع بنسبة 180%
25,السرعة,زيادة سرعة التجميع بنسبة 250%
26,حفر محظوظ,الفأس :يمكن الحصول علي سقوط مضاعف اثناء تجميع المعادن بنسبة 16%.                الجاروف : زيادة معدل سقوط الحصي بنسبة 20%
26,حفر محظوظ,الفأس :يمكن الحصول علي سقوط مضاعف مرتين او ثلاثة مرات اثناء تجميع المعادن بنسبة 8% او 16%.                الجاروف : زيادة معدل سقوط الحصي بنسبة 100 %
26,حفر محظوظ,الفأس :يمكن الحصول علي سقوط مضاعف مرتين او ثلاثة او اربع مرات اثناء تجميع المعادن بنسبة 4% او 10%او 20 % .                        الجاروف : زيادة معدل سقوط الحصي بنسبة 100 %
27,رمي المتفجرات,سوف يتسبب السهم في الانفجار حالة اصابة الهدف.
28,تباطئ التنين,"خفض معدل اضرار السقوط -150 , بالاضافة الي خفض سرعة السقوط"
32,السرعة,زيادة سرعة التجميع بنسبة 30%
30,سقوط سريع (حماية للساقين),امساك زرّ shift عند السقوط لزيادة سرعة السقوط بنسبة 20%، وتخفيف ضرر السقوط من 3
30,سقوط سريع (حماية للساقين),امساك زرّ shift عند السقوط لزيادة سرعة السقوط بنسبة 30%، وتخفيف ضرر السقوط من 6
30,سقوط سريع (حماية للساقين),امساك زرّ shift عند السقوط لزيادة سرعة السقوط بنسبة 40%، وتخفيف ضرر السقوط من 9
30,سقوط سريع (حماية للساقين),امساك زرّ shift عند السقوط لزيادة سرعة السقوط بنسبة 50%، وتخفيف ضرر السقوط من 15
30,سقوط سريع (حماية للساقين),امساك زرّ shift عند السقوط لزيادة سرعة السقوط بنسبة 60%، وتخفيف ضرر السقوط من 25
31,تسلّق العنكبوت (حذاء),التمكّن من تسلّق أي طائرة أفقيّة، تخفيض سرعة الحركة بنسبة 40%، التكلفة 3 استمراريّة كلّ ثانيتن
31,تسلّق العنكبوت (حذاء),التمكّن من تسلّق أي طائرة أفقيّة، تخفيض سرعة الحركة بنسبة 30%، التكلفة 3 استمراريّة كلّ ثانية
31,تسلّق العنكبوت (حذاء),التمكّن من تسلّق أي طائرة أفقيّة، تخفيض سرعة الحركة بنسبة 25%، التكلفة 2 استمراريّة كلّ ثانيتن
31,تسلّق العنكبوت (حذاء),التمكّن من تسلّق أي طائرة أفقيّة، تخفيض سرعة الحركة بنسبة 10%، التكلفة 2 استمراريّة كلّ ثانيتن
31,تسلّق العنكبوت (حذاء),التمكّن من تسلّق أي طائرة أفقيّة، تخفيض سرعة الحركة، التكلفة 1 استمراريّة كلّ ثانيتن
