接口ID,阿拉伯语,阿拉伯语,阿拉伯语,阿拉伯语,阿拉伯语,阿拉伯语,阿拉伯语
20013,عالم,setCameraEditState,World:setCameraEditState(state),state:CameraEditState,ErrorCode.OK,تحديد رؤية حالة التعديل,"--Get Camera(userdata)，Back to nil
local result, config = World:getCustomCameraConfig()
if result==ErrorCode.OK and config~=nil then --Customized view
        config:setOption(CAMERA_OPTION_INDEX_CONFIG_SET, CCG_FLATVIEW)
end"
20014,عالم,getCustomCameraConfig,World:getCustomCameraConfig(),none,"ErrorCode.OK, config:CameraEditState",الحصول على صورة كاميرا مخصّصة,local result = World:getCustomCameraConfig()
20015,عالم,getRangeXZ,World:getRangeXZ(),none,"ErrorCode.OK, startX|startZ|endX|endZ:number",الحصول على نطاق الكتل (جزء),"local result, startX,startZ,endX,endZ = World:getRangeXZ()
if result==ErrorCode.OK then print('StartXZ=(',startX,', ',startZ,'), EndXZ=(',endX,', ',endZ,')')  end"
20016,عالم,getActorsByBox,"World:getActorsByBox(objtype, x1, y1, z1, x2, y2, z2)","type:number designate type, x1|y1|z1:number starting point, x2|y2|z2:number ending point","ErrorCode.OK, num:number, objids:tableobjid array",الحصول على الممثل في المنطقة المعيّنة,"local actorType = 0 --OBJ_TYPE_MONSTER
local x1, y1, z1 = -5, 1, -5
local x2, y2, z2 = 15, 9, 15
local ret, num, array = World:getActorsByBox(actorType, x1,y1,z1, x2,y2,z2)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20017,عالم,getPlayerTotal,World:getPlayerTotal(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number Number",الحصول على كافّة اللاعبين. يمكن التحكّم بحالة البقاء على قيد الحياة,local result = World:getPlayerTotal(alive)
20018,عالم,getAllPlayers,World:getAllPlayers(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number number, array:table player uin array",الحصول على كافّة اللاعبين. يمكن التحكّم بحالة البقاء على قيد الحياة,"local aliveType = -1 --Get all players data
local ret, num, array = World:getAllPlayers(aliveType)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20019,عالم,randomOnePlayer,World:randomOnePlayer(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, uin:number",لاعب عشوائيّ,"local aliveType = 1 --Any survivors Id
local ret, playerId = World:randomOnePlayer(aliveType)
if ret == ErrorCode.OK then print('Player ===>> ', playerId) end"
20020,عالم,despawnActor,World:despawnActor(objid),objid:number,ErrorCode.OK,ازالة الممثل,"local ret, num, array = World:getActorsByBox(aType, x1,y1,z1, x2,y2,z2)
if array and #array>0 then --Remove Actor
        local result = World:despawnActor(array[#array])
        if result == ErrorCode.OK then print('Despawn the last actor') end
end"
20021,عالم,spawnCreature,"World:spawnCreature(x, y, z, actorid, num)","x|y|z:number, mobid:number, num:number","ErrorCdoe.OK, objids:tableobjid array",توليد مخلوق (بما في ذلك الوحش، ان بي سي، الحيوانات، إلخ.),"local x, y, z = 6, 7, 8
local actorId, actorCnt = 3812, 2 --Little cow
local ret, objids = World:spawnCreature(x, y, z, actorId, actorCnt)
if objids and #objids>0 then
        for idx = 1, #objIds do --Set the Oxygen dependence
                Creature:setOxygenNeed(objids[idx], true)
        end 
end"
20022,عالم,despawnCreature,World:despawnCreature(objid),objid:number,ErrorCode.OK,إزالة المخلوق,"local result = World:despawnCreature(objids[1])
if result == ErrorCode.OK then print('Despawn the creature') end"
20023,عالم,spawnItem,"World:spawnItem(x, y, z, itemid, num)","x|y|z:number, itemid:number, num:number","ErrorCode.OK, objid:number",توليد العناصر في الموقع المعيّن,"local xPos, yPos, zPos = 5, 6, 7
local itemId, itemCnt = 15003, 30 --Item's id and number
local ret, objIds = World:spawnItem(xPos, yPos, zPos, itemId, itemCnt)
if ret == ErrorCode.OK then print(""Item[1]====>>>"", objIds[1]) end"
20024,عالم,despawnItemByBox,"World:despawnItemByBox(x1, y1, z1, x2, y2, z2)","x1|y1|z1:number starting point, x2|y2|z2:number ending point",ErrorCode.OK,إزالة العناصر (بحسب المنطقة),"local x1, y1, z1 = -5, 5, -5
local x2, y2, z2 = 15, 9, 15
local result = World:despawnItemByBox(x1,y1,z1, x2,y2,z2)
if result == ErrorCode.OK then print('Successfully remove Item in designate region') end"
20025,عالم,despawnItemByObjid,World:despawnItemByObjid(objid),objid:number,ErrorCode.OK,إزالة العنصر (بحسب الهويّة),"local result = World:despawnItemByObjid(objIds[1])
if result == ErrorCode.OK then print('Successfully remove designate item') end"
20026,عالم,spawnProjectile,"World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)","shooter:number, itemid:number, x|y|z:number, dirx|diry|dirz:number, speed:number",ErrorCode.OK,توليد القذيفة,"local result = World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)"
30001,عالم,isSolidBlock,"Block:isSolidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",في حال كانت الكتلة كيانًا,"local result = Block:isSolidBlock(x, y, z)"
30002,كتلة,isLiquidBlock,"Block:isLiquidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",في حال كانت الكتلة سائلاً,"local result = Block:isLiquidBlock(x, y, z)"
30003,كتلة,isAirBlock,"Block:isAirBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",في حال كانت الكتلة هواء,"local result = Block:isAirBlock(x, y, z)"
30004,كتلة,getBlockID,"Block:getBlockID(x, y, z)",x|y|z:number,"ErrorCode.OK, id:number",الحصول على هويّة الكتلة الموافقة,"local result = Block:getBlockID(x, y, z)"
30005,كتلة,setBlockAll,"Block:setBlockAll(x, y, z, blockid, data)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,تحديد ومنح المعلومات عن كافّة البيانات المتعلّقة بالكتلة,"local result = Block:setBlockAll(x, y, z, blockid, data)"
30006,كتلة,destroyBlock,"Block:destroyBlock(x, y, z, dropitem)","x|y|z:number, dropitem:boolean",ErrorCode.OK,هدم الكتلة,"local result = Block:destroyBlock(x, y, z, dropitem)"
30007,كتلة,placeBlock,"Block:placeBlock(blockid, x, y, z, face)","blockid:number, x|y|z:number, face:number","ErrorCode.OK, ret:boolean whether it is placed right",وضع الكتلة,"local result = Block:placeBlock(blockid, x, y, z, face)"
30008,كتلة,setBlockAllForUpdate,"Block:setBlockAllForUpdate(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,تحديد ومنح المعلومات عن كافّة البيانات المتعلّقة بالكتلة للكتل المحيطة,"local result = Block:setBlockAllForUpdate(x, y, z, blockid)"
30009,كتلة,setBlockAllForNotify,"Block:setBlockAllForNotify(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,تحديد كافّة البيانات المتعلّقة وتحديث موقع الكتل الحاليّة,"local result = Block:setBlockAllForNotify(x, y, z, blockid)"
30010,كتلة,setBlockSettingAttState,"Block:setBlockSettingAttState(blockid, atttype, switch)","blockid:number, atttype:BLOCKATTR, switch:boolean",ErrorCode.OK,تحديد صفة وحالة الكتلة,"local result = Block:setBlockSettingAttState(blockid, atttype, switch)"
30011,كتلة,getBlockSwitchStatus,Block:getBlockSwitchStatus(pos),x|y|z:number,"ErrorCode.OK, isactive:boolean",الحصول على حالة تشغيل وايقاف تشغيل لوظيفة الكتلة,local result = Block:getBlockSwitchStatus(pos)
30012,كتلة,setBlockSwitchStatus,"Block:setBlockSwitchStatus(pos, isactive)","x|y|z:number, isactive:boolean",ErrorCode.OK,تحديد على حالة تشغيل وايقاف تشغيل لوظيفة الكتلة,"local result = Block:setBlockSwitchStatus(pos, isactive)"
40001,ممثل اللعبة,isPlayer,Actor:isPlayer(objid),objid,ErrorCode.OK is player is player,الكشف عن إمكانيّة أن يكون لاعبًا,local result = Actor:isPlayer(objid)
40002,ممثل اللعبة,isMob,Actor:isMob(objid),objid,ErrorCode.OK is monster is monster,الكشف عن إمكانيّة أن يكون وحشًا,local result = Actor:isMob(objid)
40003,ممثل اللعبة,getObjType,Actor:getObjType(objid),objid,"ErrorCode.OK, objtype:number",الحصول على نوع الممثّل: مخلوق/لاعب..,local result = Actor:getObjType(objid)
40004,ممثل اللعبة,isInAir,Actor:isInAir(objid),objid:number,ErrorCode.OK,إن كان في الهواء,local result = Actor:isInAir(objid)
40005,ممثل اللعبة,getPosition,Actor:getPosition(objid),objid,"ErrorCode.OK, x|y|z:number",الحصول على موقع الممثّل,local result = Actor:getPosition(objid)
40006,ممثل اللعبة,setPosition,"Actor:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,تحديد موقع الممثّل,"local result = Actor:setPosition(objid, x, y, z)"
40007,ممثل اللعبة,jump,Actor:jump(objid),objid:number,ErrorCode.OK,القفز,local result = Actor:jump(objid)
40008,ممثل اللعبة,killSelf,Actor:killSelf(objid),objid:number,ErrorCode.OK,اقتل نفسك,local result = Actor:killSelf(objid)
40009,ممثل اللعبة,getCurPlaceDir,Actor:getCurPlaceDir(objid),objid:number,"ErrorCode.OK, dir:number",الحصول على الاتجاه المقابل الحالي,local result = Actor:getCurPlaceDir(objid)
40010,ممثل اللعبة,tryMoveToActor,"Actor:tryMoveToActor(self_objid, target_objid, speed)","self_objid:number, target_objid:number, speed:number",ErrorCode.OK,التحرّك نحو الممثل الهدف,"local result = Actor:tryMoveToActor(self_objid, target_objid, speed)"
40011,ممثل اللعبة,tryMoveToPos,"Actor:tryMoveToPos(objid, x, y, z, speed)","objid:number, x|y|z:number, speed:number",ErrorCode.OK,التحرّك نحو الممثل الهدف,"local result = Actor:tryMoveToPos(objid, x, y, z, speed)"
40012,ممثل اللعبة,addBuff,"Actor:addBuff(objid, buffid, bufflv, customticks)","objid:number, buffid:number, bufflv:number, customticks:number",ErrorCode.OK,الحصول على الباف,"local result = Actor:addBuff(objid, buffid, bufflv, customticks)"
40013,ممثل اللعبة,hasBuff,"Actor:hasBuff(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ret:boolean",إن كان يملك أي باف,"local result = Actor:hasBuff(objid, buffid)"
40014,ممثل اللعبة,removeBuff,"Actor:removeBuff(objid, buffid)","objid:number, buffid:number",ErrorCode.OK,حذف الباف,"local result = Actor:removeBuff(objid, buffid)"
40015,ممثل اللعبة,clearAllBuff,Actor:clearAllBuff(objid),objid:number,ErrorCode.OK,مسح كلّ الباف,local result = Actor:clearAllBuff(objid)
40016,ممثل اللعبة,clearAllBadBuff,Actor:clearAllBadBuff(objid),objid:number,ErrorCode.OK,مسح كلّ الباف السلبيّ,local result = Actor:clearAllBadBuff(objid)
40017,ممثل اللعبة,getBuffList,Actor:getBuffList(objid),objid:number,"ErrorCode.OK, num:numberbuff number, array:tablebuffid array",الحصول على لائحة الباف,local result = Actor:getBuffList(objid)
40018,ممثل اللعبة,getBuffLeftTick,"Actor:getBuffLeftTick(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ticks:number",الحصول على العناصر المتبقيّة للباف الموافق في الفهرس الحاليّ,"local result = Actor:getBuffLeftTick(objid, buffid)"
40019,ممثل اللعبة,addHP,"Actor:addHP(objid, hp)","objid:number, hp:number",ErrorCode.OK,زيادة ايتش بي الحاليّة,"local result = Actor:addHP(objid, hp)"
40020,ممثل اللعبة,getHP,Actor:getHP(objid),objid:number,"ErrorCode.OK, value:number",الحصول على ايتش بي الحاليّة,local result = Actor:getHP(objid)
40021,ممثل اللعبة,getMaxHP,Actor:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",الحصول على ايتش بي القصوى الحاليّة,local result = Actor:getMaxHP(objid)
40022,ممثل اللعبة,addOxygen,"Actor:addOxygen(objid, oxygen)","objid:number, oxygen:number",ErrorCode.OK,زيادة سعة الاوكسيجين,"local result = Actor:addOxygen(objid, oxygen)"
40023,ممثل اللعبة,getOxygen,Actor:getOxygen(objid),objid:number,"ErrorCode.OK, value:number",الحصول على سعة الاوكسيجين,local result = Actor:getOxygen(objid)
40024,ممثل اللعبة,addEnchant,"Actor:addEnchant(objid, slot, enchantId, enchantLevel)","objid:number, slot:number, enchantId:number, enchantLevel:number",ErrorCode.OK,زيادة سحر المعدّات الموافقة,"local result = Actor:addEnchant(objid, slot, enchantId, enchantLevel)"
40025,ممثل اللعبة,removeEnchant,"Actor:removeEnchant(objid, slot, enchantId)","objid:number, slot:number, enchantId:number",ErrorCode.OK,مسح سحر المعدات الموافقة,"local result = Actor:removeEnchant(objid, slot, enchantId)"
40026,ممثل اللعبة,findNearestBlock,"Actor:findNearestBlock(objid, blockid, blockRange)","objid:number, blockid:number, blockRange","ErrorCode.OK, x|y|z:number",ايجاد هويّة أقرب كتلة,"local result = Actor:findNearestBlock(objid, blockid, blockRange)"
40027,ممثل اللعبة,setFaceYaw,"Actor:setFaceYaw(objid, yaw)","objid:number, yaw:number angle",ErrorCode.OK,تحديد زاوية الانحراف عن المسار العكسية لرؤية الممثل,"local result = Actor:setFaceYaw(objid, yaw)"
40028,ممثل اللعبة,getFaceYaw,Actor:getFaceYaw(objid),objid:number,"ErrorCode.OK, yaw:number",الحصول على زاوية الانحراف عن المسار العكسية لرؤية الممثل,local result = Actor:getFaceYaw(objid)
40029,ممثل اللعبة,turnFaceYaw,"Actor:turnFaceYaw(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,تغيير زاوية الانحراف عن المسار العكسية لرؤية الممثل,"local result = Actor:turnFaceYaw(objid, offset)"
40030,ممثل اللعبة,setFacePitch,"Actor:setFacePitch(objid, pitch)","objid:number, pitch:number upward view",ErrorCode.OK,تحديد الزاوية الأعلى لرؤية الممثل,"local result = Actor:setFacePitch(objid, pitch)"
40031,ممثل اللعبة,getFacePitch,Actor:getFacePitch(objid),objid:number,"ErrorCode.OK, pitch:number",تحديد الزاوية الأعلى لرؤية الممثل,local result = Actor:getFacePitch(objid)
40032,ممثل اللعبة,turnFacePitch,"Actor:turnFacePitch(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,تغيير الزاوية الأعلى لرؤية الممثل,"local result = Actor:turnFacePitch(objid, offset)"
40033,ممثل اللعبة,playBodyEffect,"Actor:playBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,تشغيل التأثيرات,"local result = Actor:playBodyEffect(objid, type)"
40034,ممثل اللعبة,stopBodyEffect,"Actor:stopBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,ايقاف التأثيرات,"local result = Actor:stopBodyEffect(objid, type)"
40035,ممثل اللعبة,playBodyEffectByFile,"Actor:playBodyEffectByFile(objid, filename, sync)","objid:number, filename:string file name, sync:bool synchronize",ErrorCode.OK,تشغيل ملف التأثيرات,"local result = Actor:playBodyEffectByFile(objid, filename, sync)"
40036,ممثل اللعبة,stopBodyEffectByFile,"Actor:stopBodyEffectByFile(objid, filename)","objid:number, filename:string file name",ErrorCode.OK,ايقاف ملف التأثيرات,"local result = Actor:stopBodyEffectByFile(objid, filename)"
40037,ممثل اللعبة,playSound,"Actor:playSound(objid, name, volume, pitch, flag)","objid:number, name:string, volume:number, pitch:number, flag:number",ErrorCode.OK,تشغيل الصوت,"local result = Actor:playSound(objid, name, volume, pitch, flag)"
40038,ممثل اللعبة,playSoundSpecial,"Actor:playSoundSpecial(objid, name, type)","objid:number, name:string, type:number designate name (GSOUND_TYPE)",ErrorCode.OK,تشغيل الصوت (نوع محدّد: GSOUND_TYPE),"local result = Actor:playSoundSpecial(objid, name, type)"
40039,ممثل اللعبة,clearActorWithId,"Actor:clearActorWithId(actorid, bkill)","actorid:number, bkill:boolean",ErrorCode.OK,مسح هويّة المخلوق الذي يملك هويّة ممثل,"local result = Actor:clearActorWithId(actorid, bkill)"
40040,ممثل اللعبة,setAttackType,"Actor:setAttackType(objid, attacktype)","objid:number, attacktype:number",ErrorCode.OK,تحديد نوع الضرر,"local result = Actor:setAttackType(objid, attacktype)"
40041,ممثل اللعبة,setImmuneType,"Actor:setImmuneType(objid, immunetype, isadd)","objid:number, immunetype:number, isadd:number",ErrorCode.OK,تحديد نوع المناعة ضدّ الضرر,"local result = Actor:setImmuneType(objid, immunetype, isadd)"
40042,ممثل اللعبة,mountActor,"Actor:mountActor(objid, mountobjid, posindex)","objid:number, mountobjid:number, posindex:number ride",ErrorCode.OK,الدخول والخروج من المركبة,"local result = Actor:mountActor(objid, mountobjid, posindex)"
40043,ممثل اللعبة,setActionAttrState,"Actor:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,تحديد تصرّف وصفة وحالة المخلوق,"local result = Actor:setActionAttrState(objid, actionattr, switch)"
40044,ممثل اللعبة,tryNavigationToPos,"Actor:tryNavigationToPos(objid, x, y, z, cancontrol)","objid:number, x|y|z:number, cancontrol:boolean",ErrorCode.OK,ايجاد طريق موقع الهدف,"local result = Actor:tryNavigationToPos(objid, x, y, z, cancontrol)"
40045,ممثل اللعبة,getRidingActorObjId,Actor:getRidingActorObjId(objid),objid:number,ErrorCode.OK,الحصول على فيرد,local result = Actor:getRidingActorObjId(objid)
50001,لاعب,getAttr,Player:getAttr(attrtype),"objid:number, atttype:number","ErrorCode.OK, value:number",فراغ,local result = Player:getAttr(attrtype)
50002,لاعب,setAttr,"Player:setAttr(attrtype, val)","objid:number, val:number, atttype:number",ErrorCode.OK,فراغ,"local result = Player:setAttr(attrtype, val)"
50003,لاعب,getHostUin,Player:getHostUin(),nil,"ErrorCode.OK, uin:number",الحصول على الشبح,local result = Player:getHostUin()
50004,لاعب,isMainPlayer,Player:isMainPlayer(objid),objid:number,ErrorCode.OK is local player is local player,الكشف عن اللاعب إن كان محليًا,local result = Player:isMainPlayer(objid)
50005,لاعب,getMainPlayerUin,Player:getMainPlayerUin(),nil,"ErrorCode.OK, uin:number",الحصول على يون اللاعب المحلي,local result = Player:getMainPlayerUin()
50006,لاعب,getGameResults,Player:getGameResults(objid),objid:number,"ErrorCode.OK, value:number",الحصول على نتيجة اللعبة,local result = Player:getGameResults(objid)
50007,لاعب,setGameResults,"Player:setGameResults(objid, result)","objid:number, result",ErrorCode.OK,تحديد على نتيجة اللعبة,"local result = Player:setGameResults(objid, result)"
50008,لاعب,getGameScore,Player:getGameScore(objid),objid:number,"ErrorCode.OK, value:number",الحصول على مجموع اللعبة,local result = Player:getGameScore(objid)
50009,لاعب,setGameScore,"Player:setGameScore(objid, score)",objid:number,"ErrorCode.OK, value:number",تحديد مجموع اللعبة,"local result = Player:setGameScore(objid, score)"
50010,لاعب,getGameRanking,Player:getGameRanking(objid),objid:number,"ErrorCode.OK, rank:number",الحصول على مرتبة اللاعب,local result = Player:getGameRanking(objid)
50011,لاعب,setGameRanking,"Player:setGameRanking(objid, rank)","objid:number, rank:number",ErrorCode.OK,تحديد مرتبة اللاعب,"local result = Player:setGameRanking(objid, rank)"
50012,لاعب,gainItems,"Player:gainItems(objid, itemid, num, prioritytype)","objid:number, itemid:number, num:number, prioritytype:number(1 is shortcut bar prior 2 is backpack bar prior)",ErrorCode.OK,إضافة العناصر للاعبين,"local result = Player:gainItems(objid, itemid, num, prioritytype)"
50013,لاعب,teleportHome,Player:teleportHome(objid),objid:number,ErrorCode.OK,التحويل لنقطة التوليد,local result = Player:teleportHome(objid)
50014,لاعب,getCurToolID,Player:getCurToolID(objid),objid:number,"ErrorCode.OK, ret",الحصول على هويّة العنصر الذي يحتجزه اللاعب حاليًا,local result = Player:getCurToolID(objid)
50015,لاعب,getNickname,Player:getNickname(objid),objid:number,"ErrorCode.OK, name:string",الحصول على اسم اللاعب,local result = Player:getNickname(objid)
50016,لاعب,removeBackpackItem,"Player:removeBackpackItem(objid, itemid, num)","objid:number, itemid:number, num:number",ErrorCode.OK,إزالة العناصر من حقيبة الظهر,"local result = Player:removeBackpackItem(objid, itemid, num)"
50017,لاعب,getDieTimes,Player:getDieTimes(objid),objid:number,"ErrorCode.OK, value:number",الحصول على عدد الوفيّات,local result = Player:getDieTimes(objid)
50018,لاعب,getLeftLifeNum,Player:getLeftLifeNum(objid),objid:number,"ErrorCode.OK, value:number",الحصول على عدد من يزالون على قيد الحياة,local result = Player:getLeftLifeNum(objid)
50019,لاعب,setTeam,"Player:setTeam(objid, team)","objid:number, teamid:number",ErrorCode.OK,تحديد فريق المخلوقات,"local result = Player:setTeam(objid, team)"
50020,لاعب,getTeam,Player:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",الحصول على فريق المخلوقات,local result = Player:getTeam(objid)
50021,لاعب,getFoodLevel,Player:getFoodLevel(objid),objid:number,ErrorCode.OK,الحصول على الشبع الحالي,local result = Player:getFoodLevel(objid)
50022,لاعب,setFoodLevel,"Player:setFoodLevel(objid, foodLevel)","objid:number, foodLevel:number",ErrorCode.OK,تحديد الشبع الحالي,"local result = Player:setFoodLevel(objid, foodLevel)"
50023,لاعب,getCurShotcut,Player:getCurShotcut(objid),objid:number,"ErrorCode.OK, scutIdx:number",الحصول على شريط الاختصار الحالي,local result = Player:getCurShotcut(objid)
50024,لاعب,onCurToolUsed,"Player:onCurToolUsed(objid, num)","objid:number, num:number items number",ErrorCode.OK,تحديد استهلاك العنصر المحتجز من اللاعب,"local result = Player:onCurToolUsed(objid, num)"
50025,لاعب,setSkillCD,"Player:setSkillCD(objid, itemid, cd)","objid:number, itemid:number, cd:number",ErrorCode.OK,تحديد السي دي,"local result = Player:setSkillCD(objid, itemid, cd)"
50026,لاعب,reviveToPos,"Player:reviveToPos(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,اعادة إحياء اللاعب في النقطة المعيّنة,"local result = Player:reviveToPos(objid, x, y, z)"
50027,لاعب,setRevivePoint,"Player:setRevivePoint(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,تغيير نقطة إعادة الإحياء,"local result = Player:setRevivePoint(objid, x, y, z)"
50028,لاعب,playAct,"Player:playAct(objid, actid)","objid:number, actid:number动作id",ErrorCode.OK,يشغّل اللاعب الرسوم المتحرّكة,"local result = Player:playAct(objid, actid)"
50029,لاعب,notifyGameInfo2Self,"Player:notifyGameInfo2Self(objid, info)","objid:number, info:string text content",ErrorCode.OK,عرض النصوص في نافذة منبثقة,"local result = Player:notifyGameInfo2Self(objid, info)"
50030,لاعب,useItem,"Player:useItem(objid, itemid, status, onshift)","objid:number, itemid:number, status:number state of using, onshift:boolean whether to press shift",ErrorCode.OK,جعل اللاعب يستخدم العنصر الحالي,"local result = Player:useItem(objid, itemid, status, onshift)"
50031,لاعب,rotateCamera,"Player:rotateCamera(objid, yaw, pitch)","objid:number, yaw:number, pitch:number",ErrorCode.OK,تدوير عدسات اللاعب,"local result = Player:rotateCamera(objid, yaw, pitch)"
50032,لاعب,changeViewMode,"Player:changeViewMode(objid, viewmode, islock)","objid:number, viewmode:numberVIEWPORTTYPE, islock:boolean",ErrorCode.OK,تغيير وضع زاوية اللاعب,"local result = Player:changeViewMode(objid, viewmode, islock)"
50033,لاعب,setActionAttrState,"Player:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,تحديد تصرف وحالة وصفة المخلوق,"local result = Player:setActionAttrState(objid, actionattr, switch)"
