ID,名字,描述,获得方式
40,Leerer Kristallblock,"Dieser aus Void-Kristallblöcken gefertigte Spezialblock erhellt den umgebenden Raum. Seien Sie vorsichtig, wenn Sie es unter @item_596# platzieren, da es während der Nacht der Leere die mächtigsten Monster anlocken könnte. Benutze es weise!",
100,Grasbewachsener Bodenblock,"Ein Block auf der Oberfläche, kann schnell mit Schaufeln gesammelt werden. #c0aba1dUse Rakes, um es in @item_102# zu schaffen. Verwenden Sie Schaufeln, um es zu einem @item_103# zu machen.","Holen Sie es sich, indem Sie @item_11226 # auf @item_101 # verwenden."
101,Clod,"Es ist unter der Oberfläche leicht verfügbar. Nach dem Regen kann es Grün keimen und zu Grasblöcken werden. Schaufelwerkzeuge können schnell abgebaut werden. #c0aba1d Harkenwerkzeuge verwenden, um Kulturland zu werden, und Schaufelwerkzeuge verwenden, um Bodengruben zu werden",Verfügbar unter der Oberfläche
102,Ackerland,"Die Pflanzen können in der Nähe von Wasser gepflanzt oder mit Wasserquellen bewässert werden, um sie feucht zu halten und das Pflanzenwachstum zu erleichtern",
103,Schmutzgrube,"Blumensamen und Setzlinge können in der Nähe der Wasserquelle gepflanzt oder mit Wasser bewässert werden, um sie feucht zu halten und das Pflanzenwachstum zu fördern",
104,Felsen,"Überall unter Tage zu sehen, Spitzhackenwerkzeuge können schnell abgebaut werden",
105,Blaustein,Baumaterialien aus Stein und Moos,
106,feiner gelber Sand,"Häufig in Ufer- und Wüstengebieten zu finden, können Schaufelwerkzeuge schnell abgebaut werden, ist der Rohstoff für die Verarbeitung von Quarzsand, Quarzsand wird oft verwendet, um Glas zu feuern #r unter dem Einfluss der Schwerkraft fallen wird",Häufig in Ufer- und Wüstengebieten
107,Schotterhaufen,"Unfeste Kieshaufen, Schaufelwerkzeuge können schnell abgebaut werden. #r leer unten, stehen auf sie wird zusammenbrechen, seien Sie vorsichtig, fest zu stehen",
108,Einfacher gelber Ziegelstein,Aus gelbem Sand gebrannte Baumaterialien,
109,Sand,"Unfruchtbare Klumpen, auf denen Pflanzen nicht wachsen können, Schaufelwerkzeuge können schnell abgebaut werden",
110,Verstreute Steine,"Kleines, vom Wind abgenutztes Gestein, das nach dem Abbau gewonnen und zur Verarbeitung von Steinwerkzeugen verwendet wird",
111,Spielversion ist zu niedrig,Laden Sie die neueste Spielversion herunter!,
112,Schwarzer Holm,"Unter dem Einfluss des Phantoms der Leere veränderte sich die geologische Struktur drastisch, und das Erz existiert nicht mehr",
113,Knuspriges Eis,Das spröde Eis auf dem Wasser wird nach dem Brechen zu Sternen und löst sich zwischen Himmel und Erde auf,
114,Schlick,"Unterwasserklumpen, Schaufelwerkzeuge können schnell abgebaut werden",
115,Flauschiger Schnee,"Eine dünne, weiche Schneeschicht auf der Höhe eines Viertelgitters. Kann gestapelt werden, um die Dicke zu ändern.",
116,Niedlicher Augenstern-Stein,"Die speziellen Steine von Cute Eye Star haben eine starke Anti-Explosions-Fähigkeit, und sie sollten mit #c0aba1d geheimen silbernen Spitzhacke #n oder fortgeschritteneren Spitzhacke-Werkzeugen abgebaut werden",
117,Niedlich-äugiger Stern-Grasblock,Das Gras des niedlichen Augensterns enthält die notwendigen Nährstoffe für das Pflanzenwachstum. Verwenden #c0aba1d Mithril-Schaufel #n oder fortgeschrittenere Schaufelwerkzeuge zum Abbau,
118,Niedliche Augensternwolke,"Die Wolken um Cute Eye Star Island beginnen zu brechen, wenn du auf sie trittst",
119,Trockener Boden,"Auf Cute Eye müssen die Klumpen von Myra auf das Pflanzenkulturmedium des Planeten gelegt werden, um die Nährstoffe zu erhalten, sonst verlieren sie Nährstoffe und werden zu trockener Erde",
120,Gefrorener Boden,"In kalten Umgebungen verwandeln sich @item_100# und @item_101# in @item_120#. Pflanzen, die in kalten Umgebungen gedeihen, müssen auf dieser Art von Boden wachsen.",
121,Gefrorene Grube,"Samen und Setzlinge von Blumen und Bäumen, die kalte Umgebungen bevorzugen, können hier gepflanzt werden.",
122,Dicker Schnee,"Dicker Schnee, der bei der Begegnung mit #c0aba1dlava#n zu Wasser schmilzt. Es wird #c0aba1dslightly die Umgebungstemperatur senken#n.",
123,Natürliches Eis,Es ist häufig in kalten und verschneiten Gebieten zu sehen und schmilzt in Umgebungen mit #c0aba1dhigh Temperaturen zu Wasser#n. Kann schnell mit Spitzhacken eingesammelt werden. Es wird #c0aba1dslightly die Umgebungstemperatur senken#n.,
124,Pyroxen,"Gewöhnliches Gestein des flammenden Sterns, das schnell mit Spitzhackenwerkzeugen abgebaut werden kann",
125,Brennender Sand,"Der gelbe Sand, der einen sengenden Geruch verströmt, kann mit Schaufelwerkzeugen schnell abgebaut werden",
126,Mogu-Felsen,Steine an unbekannten Orten lassen sich nicht so leicht durch Explosionen zerstören,Händler verkaufen manchmal
127,Schaumstoffblock,Dekorative Quadrate,
128,Roter Sand,"Seltene rote Sandhaufen, reich an mineralischen Elementen, können sehr instabil werden, wenn sie mit brennbarem Eis vermischt werden",Manchmal in Lateritinseln und Koralleninseln zu finden
129,dicker Schnee,,
130,Dicke Schneeverwehungen,Ich möchte zusammen einen Schneemann bauen oder eine Schneeballschlacht veranstalten,
131,Festes Eis,"Superhartes Eis, das nicht geschüttelt werden kann",
132,Schwefelkristallsand,"Es taucht in der Lava des Flammensterns auf und kann nur #n #c0aba1d abgebaut werden. Es ist eines der Materialien für die Herstellung chaotischer Kristalle. Es bricht aus, wenn es durch Flüssigkeit blockiert wird","#c0aba1d Leben kostbar ist, imitieren Sie bitte kein Verhalten im Spiel #n"
133,Leerer Bienenstock,"Jetzt gibt es keinen Honig mehr, setzen Sie #c0aba1d Pfirsichbaumblätter #n können Honig ansammeln",
134,Voller Bienenstock,"Ein Bienenstock voller Honig, pass auf Bienen auf! Verwenden Sie eine kleine Glasflasche für Honig in Flaschen",
135,Mysteriöses Totem - Erde,Steinstatuen von großer Bedeutung in alten Zivilisationen sind heute nur noch dekorativ,Niedliche Eye Star Maya Zivilisation Reliquien Sammlung
136,Mysteriöses Totem - Himmel,Steinstatuen von großer Bedeutung in alten Zivilisationen sind heute nur noch dekorativ,Niedliche Eye Star Maya Zivilisation Reliquien Sammlung
137,Niedlicher Augenstern-Krater,,
138,Verschmutzungswürfel,,
139,BOSS-Kampf mit Blöcken,,
140,Livestone,"Der magische Altar, der von alten Helden gebaut wurde, repräsentiert die Lebenskraft von Myra; der Legende nach kann das Aufstellen entsprechender heiliger Gegenstände auf drei Arten von Altären die schöpferische Kraft des Planeten freisetzen und böse Dinge zum Erscheinen zwingen",
141,Stein des Mutes,"Der magische Altar, der von alten Helden gebaut wurde, repräsentiert den Mut und die Kraft des Flammensterns; der Legende nach kann das Aufstellen der entsprechenden heiligen Gegenstände auf den drei Altären die schöpferische Kraft des Planeten freisetzen und die bösen Dinge zum Erscheinen zwingen",
142,Stein der Weisheit,"Der magische Altar, der von alten Helden gebaut wurde, repräsentiert die Weisheit und Macht des süßäugigen Sterns; der Legende nach kann das Platzieren entsprechender heiliger Objekte auf drei Arten von Altären die schöpferische Kraft des Planeten freisetzen und böse Dinge zum Erscheinen zwingen",
143,Zerbrochener Altar,"Der alte Altar wurde aufgrund seines Alters ausgegraben, nachdem er seinen ursprünglichen Zustand nicht wiederherstellen konnte und seine Magie verloren hatte; #r Legende besagt, dass die alten Helden drei heilige Altäre auf dem Vulkan errichteten und drei heilige Objekte darauf platzierten, die den Planeten freisetzen können Die Macht der Schöpfung, die böse Dinge zum Erscheinen zwingt",
144,Flasche aus rotem Myrtenglas,"Wenn es platziert wird, beleuchtet es eine kleine Umgebung",Schmetterlinge in kleinen Glasflaschen auf leerem Inselgelände fangen
145,Blaue Schmetterlings-Glasflasche,"Wenn es platziert wird, beleuchtet es eine kleine Umgebung",Schmetterlinge in kleinen Glasflaschen auf leerem Inselgelände fangen
146,Duftende Schmetterlings-Glasflasche,"Wenn es platziert wird, beleuchtet es eine kleine Umgebung",Schmetterlinge in kleinen Glasflaschen auf leerem Inselgelände fangen
147,Weißer Schmetterling Glasflasche,"Wenn es platziert wird, beleuchtet es eine kleine Umgebung",Schmetterlinge in kleinen Glasflaschen auf leerem Inselgelände fangen
148,Longxindie Glasflasche,"Wenn es platziert wird, beleuchtet es eine kleine Umgebung",Schmetterlinge in kleinen Glasflaschen auf leerem Inselgelände fangen
149,Zunge Glocke Schmetterling Glasflasche,"Wenn es platziert wird, beleuchtet es eine kleine Umgebung",Schmetterlinge in kleinen Glasflaschen auf leerem Inselgelände fangen
150,Laterit-Kulturland,Spezialkulturen können angebaut werden und müssen in der Nähe von Wasser feucht gehalten oder mit Duschen bewässert werden,Gewonnen durch die Verwendung einer Harke zur Rückgewinnung von Laterit
151,Laterit-Grube,Spezielle Pflanzen können angebaut werden und müssen in der Nähe von Wasser feucht gehalten oder mit einer Dusche bewässert werden,"Verwenden Sie eine Schaufel, um Laterit zurückzugewinnen, um zu erhalten"
152,Vertikale Platte aus Planetengestein,"Aufgerichtete Lichtplatten, stapelbar in unterschiedlicher Dicke",Verarbeitung mit niedlichen Augensternsteinen am Tisch des Handwerkers
153,Vertikales Blatt aus Bambusbrett,"Aufrechte leichte Holzbretter, die in unterschiedlicher Dicke gestapelt werden können",Verarbeitet mit Bambus am Tisch des Handwerkers
154,Vertikales Blatt aus Karmin,"Aufrechte leichte Holzbretter, die in unterschiedlicher Dicke gestapelt werden können",Mit Karminfarbe bemalt am Tisch des Handwerkers
155,Vertikales Blech aus Zementziegel,"Aufgerichtete Lichtplatten, stapelbar in unterschiedlicher Dicke",Bearbeitung mit Zementziegeln am Tisch des Handwerkers
156,Vertikale Platte aus Schwefelziegeln,"Aufgerichtete Lichtplatten, stapelbar in unterschiedlicher Dicke",Arbeiten mit Schwefelsteinen am Tisch des Handwerkers
157,Vertikale Steinplatte,"Aufgerichtete Lichtplatten, stapelbar in unterschiedlicher Dicke",Arbeiten mit Stein am Tisch des Handwerkers
158,Vertikale Platte aus raffinierten Steinziegeln,"Aufgerichtete Lichtplatten, stapelbar in unterschiedlicher Dicke",Arbeiten mit Felsen am Tisch des Handwerkers
159,Vertikales Blech aus Titanlegierung,"Aufrechte dünne und leichte Metallplatten, die gestapelt werden können, um die Dicke zu ändern",Bearbeitet mit Titanlegierung am Handwerkertisch
160,Vertikales Blech aus Messing,"Aufrechte dünne und leichte Metallplatten, die gestapelt werden können, um die Dicke zu ändern",Arbeiten mit Messing am Tisch des Handwerkers
161,Vertikales Glimmerblatt,"Aufrechte dünne und leichte Metallplatten, die gestapelt werden können, um die Dicke zu ändern",Verarbeitet mit Glimmer am Tisch des Handwerkers
162,Vertikale Mithril-Platte,"Aufrechte dünne und leichte Metallplatten, die gestapelt werden können, um die Dicke zu ändern",Verarbeitet mit Mithril am Tisch des Handwerkers
163,Leuchtende vertikale Platte,"Aufrechte dünne und leichte Metallplatten, die gestapelt werden können, um die Dicke zu ändern",Verarbeitet mit lodernden Flammen am Tisch des Handwerkers
164,Zitronengelber vertikaler Teller,"Aufrechte leichte Holzbretter, die in unterschiedlicher Dicke gestapelt werden können",Mit zitronengelber Farbe bemalt am Schreibtisch des Handwerkers
165,Vertikales Blatt aus Kalk,"Aufrechte leichte Holzbretter, die in unterschiedlicher Dicke gestapelt werden können",Malen mit Kalkfarbe am Tisch des Handwerkers
166,Tiefe kastanienrote vertikale dünne Platte,"Aufrechte leichte Holzbretter, die in unterschiedlicher Dicke gestapelt werden können",Bemalt mit Kastanien-Mahagoni-Farbe am Tisch des Handwerkers
167,Sonnenuntergang Orange Vertikale Platte,"Aufrechte leichte Holzbretter, die in unterschiedlicher Dicke gestapelt werden können",Bemalt mit orangefarbener Sonnenuntergangsfarbe auf dem Schreibtisch des Handwerkers
168,Begonia rote vertikale Platte,"Aufrechte leichte Holzbretter, die in unterschiedlicher Dicke gestapelt werden können",Bemalt mit roter Begonienfarbe am Schreibtisch des Handwerkers
169,Elfenbeinweißes vertikales Blatt,"Aufrechte leichte Holzbretter, die in unterschiedlicher Dicke gestapelt werden können",Mit elfenbeinweißer Farbe bemalt am Schreibtisch des Handwerkers
170,Herbstblatt orange vertikale Platte,"Aufrechte leichte Holzbretter, die in unterschiedlicher Dicke gestapelt werden können",Bemalt mit Herbstblatt-Orangenfarbe am Schreibtisch des Handwerkers
171,Vertikales Blatt,"Aufrechte leichte Holzbretter, die in unterschiedlicher Dicke gestapelt werden können",Arbeiten mit Holz am Tisch des Handwerkers
172,Vertikale Platte aus gelbem Ziegelstein,"Aufgerichtete Lichtplatten, stapelbar in unterschiedlicher Dicke",Verarbeitet mit gelben Ziegeln am Tisch des Handwerkers
173,Vertikales Blatt aus Manganblock,"Aufrechte dünne und leichte Metallplatten, die gestapelt werden können, um die Dicke zu ändern",Verarbeitung mit Manganknollen in der Handwerkerstation
174,Hellgraues vertikales Blatt,"Aufrechte leichte Holzbretter, die in unterschiedlicher Dicke gestapelt werden können",Mit hellgrauer Farbe bemalt am Schreibtisch des Handwerkers
200,Kirschholz,"Kirschbaumstamm, kann in @item_800# zu @item_11323# verarbeitet werden, kann zur Dekoration verwendet werden, kann auch als Brennstoff verwendet werden","Legen Sie#c0aba1d auf das Axtwerkzeug, um die vollständige#n erhalten, und schneiden Sie sie dann zu"
201,Lärche,"Lärchenstämme, die in @item_800# zu @item_11323# verarbeitet werden können, können zur Dekoration und auch als Brennstoff verwendet werden","Legen Sie#c0aba1d auf das Axtwerkzeug, um die vollständige#n erhalten, und schneiden Sie sie dann zu"
202,Pappel,"Pappelstamm, kann in @item_800# zu @item_11323# verarbeitet werden, kann zur Dekoration verwendet werden, kann auch als Brennstoff verwendet werden","Legen Sie#c0aba1d auf das Axtwerkzeug, um die vollständige#n erhalten, und schneiden Sie sie dann zu"
203,Rotholz,"Redwood-Stamm, kann in @item_800# zu @item_11323# verarbeitet werden, kann zur Dekoration verwendet werden, kann auch als Brennstoff verwendet werden","Legen Sie#c0aba1d auf das Axtwerkzeug, um die vollständige#n erhalten, und schneiden Sie sie dann zu"
204,Nanmu,"Nanmu-Stamm, kann in @item_800# zu @item_11323# verarbeitet werden, kann zur Dekoration verwendet werden, kann auch als Kraftstoff verwendet werden","Legen Sie#c0aba1d auf das Axtwerkzeug, um die vollständige#n erhalten, und schneiden Sie sie dann zu"
205,Walnuss,"Walnussbaumstamm, kann in @item_800# zu @item_11323# verarbeitet werden, kann zur Dekoration verwendet werden, kann auch als Brennstoff verwendet werden","Legen Sie#c0aba1d auf das Axtwerkzeug, um die vollständige#n erhalten, und schneiden Sie sie dann zu"
206,Holzbrett,"Grundlegendes Baumaterial, weit verbreitet in Holzgebäuden",Arbeiten mit Holz am Tisch des Handwerkers
207,Herbstblatt Orangenbrett,"Grundlegendes Baumaterial, weit verbreitet in Holzgebäuden",Bemalt mit Herbstblatt-Orangenfarbe am Schreibtisch des Handwerkers
208,Elfenbeinweißes Holz,"Grundlegendes Baumaterial, weit verbreitet in Holzgebäuden",Mit elfenbeinweißer Farbe bemalt am Schreibtisch des Handwerkers
209,Begonie rotes Holzbrett,"Grundlegendes Baumaterial, weit verbreitet in Holzgebäuden",Bemalt mit roter Begonienfarbe am Schreibtisch des Handwerkers
210,Sonnenuntergang Orange Planke,"Grundlegendes Baumaterial, weit verbreitet in Holzgebäuden",Bemalt mit orangefarbener Sonnenuntergangsfarbe auf dem Schreibtisch des Handwerkers
211,Mahagoni-Brett mit tiefer Kastanie,"Grundlegendes Baumaterial, weit verbreitet in Holzgebäuden",Bemalt mit tiefkastanienroter Farbe am Tisch des Handwerkers
212,Kirschbaum,"Kann als Brennstoff verwendet werden, brennt aber sehr schnell",
213,Lärchen-Setzling,"Kann als Brennstoff verwendet werden, brennt aber sehr schnell",
214,Pappelsetzlinge,"Kann als Brennstoff verwendet werden, brennt aber sehr schnell",
215,Redwood-Setzlinge,"Kann als Brennstoff verwendet werden, brennt aber sehr schnell",
216,Nanmu-Bäumchen,"Kann als Brennstoff verwendet werden, brennt aber sehr schnell",
217,Walnuss-Setzling,"Kann als Brennstoff verwendet werden, brennt aber sehr schnell",
218,Kirschholzblätter,Kann als Brennstoff für @item_1200# oder als Kopfbedeckung von #c0aba1dsnowman#n verwendet werden.,
219,Lärchenblätter,Kann als Brennstoff für @item_1200# oder als Kopfbedeckung von #c0aba1dsnowman#n verwendet werden.,
220,Pappelblätter,Kann als Brennstoff für @item_1200# oder als Kopfbedeckung von #c0aba1dsnowman#n verwendet werden.,
221,Mammutbaumblätter,Kann als Brennstoff für @item_1200# oder als Kopfbedeckung von #c0aba1dsnowman#n verwendet werden.,
222,Phoebe Blätter,Kann als Brennstoff für @item_1200# oder als Kopfbedeckung von #c0aba1dsnowman#n verwendet werden.,
223,Walnussblätter,Kann als Brennstoff für @item_1200# oder als Kopfbedeckung von #c0aba1dsnowman#n verwendet werden.,
224,Gras,"#c0aba1d  #nzerstören, ist es möglich, #c0aba1d Handvoll Gras zu bekommen #n","Der Himmel ist weit, die Wildnis ist weit, der Wind weht das Gras und sieht die Rinder und Schafe"
225,Verdorrtes Gras,"Verwenden #c0aba1d #n Werkzeuge, um #c0aba1d totes Gras zu ernten #n, während der Rest #c0aba1d eine Handvoll Unkraut #n","Liliyuan liegt auf dem Rasen, ein Jahr alt und ein Jahr alt"
226,Bodenschießen,"Eine Pflanze, die im Schatten gedeiht und als Rohzutat zum Kochen dient. Der direkte Verzehr stellt #c0aba1dre die Ausdauer#n wieder her, aber seien Sie sich bewusst, dass es #c0aba1dVerdauungsprobleme#n verursachen kann. Es wird gemunkelt, dass es interessante Wechselwirkungen mit dem #c0aba1dHoras-Sporenbaum#n auf Horas Island gibt.",
227,Perilla,"Eine Pflanze, die im Schatten gedeiht und als Rohzutat zum Kochen dient. Der direkte Verzehr stellt #c0aba1dre die Ausdauer#n wieder her, aber seien Sie sich bewusst, dass es #c0aba1dVerdauungsprobleme#n verursachen kann. Es wird gemunkelt, dass es interessante Wechselwirkungen mit dem #c0aba1dHoras-Sporenbaum#n auf Horas Island gibt.",
228,Malve,"#c0aba1dFüttern Sie geweihte Hirsche#n, um ihnen den #c0aba1dMilchproduktionsstatus zu erleichtern",Wächst im #c0aba1drainforest#n
229,Mais,Kann zu @item_344# verarbeitet werden und @item_344# ist der Grundrohstoff zum Kochen. Kann auf @item_1200# geröstet werden,"Pflanzen Sie @item_11400# auf @item_102# oder ernten Sie Wildmais, um es zu erhalten"
230,Riesiger Buru,,"Pflanzen Sie @item_11401# auf @item_102#, um es zu erhalten"
231,Riesige Brucella-Setzlinge,Mit Sonnenlicht und Wasser wachsen nach einer Weile Früchte auf den Setzlingen,
232,Luftwurzel,"Die Luftwurzeln, die an dem großen Baum hängen, sind extrem robust und können das Gewicht von Menschen tragen. Klettern Sie nicht zu hoch, seien Sie vorsichtig, um zu fallen!",
233,Laterit,"Seltene rote Erde, reichhaltige und exotische Zutaten, die darauf wachsenden Pflanzen werden einige magische Veränderungen erfahren","Die Legende besagt, dass es eine Insel mitten im Meer gibt, wo es überall rote Erde gibt"
234,Reis,"Er wächst in den Gewässern des #c0aba1d  #nkann zu einer Schüssel mit rohem Reis verarbeitet und dann in einem Steintopf zu einer Schüssel mit gekochtem Reis gekocht werden #r an den Dudu-Vogel verfüttert wird, kann ihn in den Brutzustand versetzen",Aussaat von Reissamen auf einer Wasseroberfläche mit Erde oder gelbem Sand am Boden und einer Höhe von einem Gitter
236,Gurke,"Kann auf @item_102#.#rYou kann #c0aba1dDwen#n füttern, um @item_11311# zu erhalten.",Erhält man zufällig durch die Zerstörung von Clay Jar oder das Besiegen von Boom Egg.
237,Rotholzfrucht,Die Früchte des Mammutbaums sind der Rohstoff zum Kochen,
238,Brammelgras,"Stacheliges Gras, #c0aba1d  #n nachdem es möglich ist, #c0aba1d eine Handvoll Unkraut zu bekommen #n",
239,Megamarin,"Es ist zu groß, es muss zum Essen aufgeschnitten werden! Es muss auf dem Tisch des Handwerkers verarbeitet werden.",Riesige Fruchtsamen können auch auf Anbauflächen gewonnen werden
240,Riesenschuppen-Federsetzlinge,Mit Sonnenlicht und Wasser wachsen nach einer Weile Früchte auf den Setzlingen,
241,Süßkartoffel,Kann auf @item_101# gepflanzt werden. Kann auf @item_1200# geröstet werden,"Hat eine Chance, durch die Zerstörung von Tongefäßen zu erhalten"
242,Kaktusstamm,Sie wird in #c0aba1d  #nangebaut und kann mit Holzstäben zu stacheligen Waffen verarbeitet werden!,Auch in Bodengruben mit Kaktussamen erhältlich
243,Wilder Mais,"Es ist möglich, #c0aba1d Mais nach der Zerstörung zu erhalten #n","Wild angebauter Mais, aufgrund mangelnder Pflege nicht sehr nahrhaft"
244,Weihnachtsbaum,"Vom Weihnachtsmann geschmückter immergrüner Baum, der normalerweise zur Dekoration von Gebäuden verwendet wird",Im Weihnachtsmann-Laden während der Weihnachtsfeierlichkeiten kaufen
245,Wasserpflanzen,"Wasserpflanzen, die in #c0aba1d flachen Meer #nwachsen, ist es aufgrund des komplexen Wachstums leicht, die Kreaturen und Requisiten, die auf ihnen bleiben, zu verwickeln, versuchen Sie nicht zu lange zu bleiben, wenn Sie Glück haben, können Sie auch seltene Schätze in ihnen finden",
246,Kelp,"Gewöhnliche Wasserpflanzen, die in #c0aba1d flachen Meer wachsen #n haben die Wahrscheinlichkeit, nach der Zerstörung #c0aba1d Seetang zu fallen #n",Inlay Vollständiger Erwerb von Runen wird Seetang ernten
247,Schwebende Blütenblätter,"#n auf #c0aba1d Wasseroberfläche verstreut, kann zur Dekoration auf die Wasseroberfläche gelegt werden",
248,schwimmende Planke,auf dem Wasser platziert #c0aba1d das Gewicht tragen #n,Bearbeitung mit Holzbrettern am Tisch des Handwerkers
249,Tannenzapfen,Lärchenfrucht zum Kochen leckerer Speisen,
250,Lotus,"Wächst auf #c0aba1d Wasseroberfläche #n, kann zur Dekoration auf die Wasseroberfläche gelegt werden",
251,Bambus,"Nach der Verwendung #c0aba1d  #n, ist es möglich, #c0aba1d zähmen #n #r #c0aba1d füttern #n gezähmten Panda, hohle Bambusstangen erhalten werden kann",Wird in #c0aba1d Bambuswald angebaut #nkann auch durch das Pflanzen von Bambussprossen in Bodengruben gewonnen werden
252,Bambusblätter,"Kann als Dekoration verwendet werden, es besteht die Möglichkeit, dass Bambussprossen nach einer Beschädigung herunterfallen",
253,Bambussprossen,Gepflanzt in #c0aba1d Grube #n zu Bambus heranwachsen kann,"Es ist möglich, Bambusblätter zu zerstören"
254,Mahagoni,"Mit#c0aba1d Axt Werkzeuge#n kann schnell geschnitten werden#r kann in @item_11323# verarbeitet werden, kann auch als Kraftstoff verwendet werden",
