iD,德语,德语
23,Rückstoßresistenz,Verringert bei einem Angriff den Rückstoß um 2m.
23,Rückstoßresistenz,Verringert bei einem Angriff den Rückstoß um 3m.
23,Rückstoßresistenz,Verringert bei einem Angriff den Rückstoß um 4m.
23,Rückstoßresistenz,Verringert bei einem Angriff den Rückstoß um 5m.
24,Präzise Sammlung,Wenn du Würfel einsammelst werden Würfel fallengelassen.
25,Tempo,Steigert die Sammelgeschwindigkeit um 30%.
25,Tempo,Steigert die Sammelgeschwindigkeit um 70%.
25,Tempo,Steigert die Sammelgeschwindigkeit um 120%.
25,Tempo,Steigert die Sammelgeschwindigkeit um 180%.
25,Tempo,Steigert die Sammelgeschwindigkeit um 250%.
26,Glücksschürfer,Spitzhacke: 16% Chance auf doppelte Erz Drops.
26,Glücksschürfer,Spitzhacke: 16%/8% Chance auf doppelte/dreifache Erz Drops.
26,Glücksschürfer,Spitzhacke: 16%/8%/4% Chance auf doppelte/dreifache/vierfache Erz Drops.
27,Explosiver Schuß,Das Ziel explodiert wenn es von einem Pfeil getroffen wird.
28,Langsamer Drachenfall,Fallschaden ist um 150 verringert und die Fallgeschwindigkeit verringert sich.
32,Tempo,Steigert die Sammelgeschwindigkeit um 30%.
30,Schnelles Fallen,"Tenendo premuto il pulsante Shift quando si scende per aumentare la velocità di caduta del 20%, diminuire il danno in caduta di 3"
30,Schnelles Fallen,"Tenendo premuto il pulsante Shift quando si scende per aumentare la velocità di caduta del 30%, diminuire il danno in caduta di 6"
30,Schnelles Fallen,"Tenendo premuto il pulsante Shift quando si scende per aumentare la velocità di caduta del 40%, diminuire il danno in caduta di 9"
30,Schnelles Fallen,"Tenendo premuto il pulsante Shift quando si scende per aumentare la velocità di caduta del 50%, diminuire il danno in caduta di 15"
30,Schnelles Fallen,"Tenendo premuto il pulsante Shift quando si scende per aumentare la velocità di caduta del 60%, diminuire il danno in caduta di 25"
31,Spider Klettern,"
In der Lage sein, in jeder vertikalen Ebene zu klettern, die Bewegungsgeschwindigkeit um 40% zu verringern, kostet 3 Sekunden alle 2 Sekunden"
31,Spider Klettern,"
In der Lage sein, in jeder vertikalen Ebene zu klettern, die Bewegungsgeschwindigkeit um 40% zu verringern, kostet 3 Sekunden alle 2 Sekunden"
31,Spider Klettern,"
In der Lage sein, in jeder vertikalen Ebene zu klettern, die Bewegungsgeschwindigkeit um 25% zu verringern, kostet 2 Haltbarkeit pro 2 Sekunden"
31,Spider Klettern,"
In der Lage sein, in jeder vertikalen Ebene zu klettern, die Bewegungsgeschwindigkeit um 10% zu verringern, kostet 2 Haltbarkeit pro 2 Sekunden"
31,Spider Klettern,"
In der Lage sein, auf jeder vertikalen Ebene zu klettern, kostet 1 Haltbarkeit pro 2 Sekunden"
