接口ID,德语,德语,德语,德语,德语,德语,德语
20002,Welt,isCustomGame,World:isCustomGame(),none,"ErrorCode.OK, result:boolean",Ob es sich um Spiel anpassen,"local result = World:isCustomGame()
if result==ErrorCode.OK then print('Customize mode') end"
20003,Welt,isCreativeMode,World:isCreativeMode(),none,"ErrorCode.OK, result:boolean",Ob es sich um Erstellungsmodus,"local result = World:isCreativeMode()
if result==ErrorCode.OK then print('Creation mode') end"
20004,Welt,isGodMode,World:isGodMode(),none,"ErrorCode.OK, result:boolean",Multiplayer-Erstellungsmodus oder kundenspezifische Bearbeitungsmodus,"local result = World:isGodMode()
if result==ErrorCode.OK then print('Multiplayer mode') end"
20005,Welt,isExtremityMode,World:isExtremityMode(),none,"ErrorCode.OK, result:boolean",Hardcore,"local result = World:isExtremityMode()
if result==ErrorCode.OK then print('Hardcore mode') end"
20006,Welt,isFreeMode,World:isFreeMode(),none,"ErrorCode.OK, result:boolean",Survival-Modus - Free-Modus,"local result = World:isFreeMode()
if result==ErrorCode.OK then print('Survival mode-Free mode') end"
20007,Welt,isSurviveMode,World:isSurviveMode(),none,"ErrorCode.OK, result:boolean",Single-Modus oder Survival-Modus - Free-Modus,"local result = World:isSurviveMode()
if result==ErrorCode.OK then print('Single Survival mode') end"
20008,Welt,isCreateRunMode,World:isCreateRunMode(),none,"ErrorCode.OK, result:boolean",Survival-Modus eingeschaltet aus Erstellungsmodus,"local result = World:isCreateRunMode()
if result==ErrorCode.OK then print('Survival mode, turned from creation mode') end"
20009,Welt,isGameMakerMode,World:isGameMakerMode(),none,"ErrorCode.OK, result:boolean",Maßgeschneiderte Bearbeitungsmodus,"local result = World:isGameMakerMode()
if result==ErrorCode.OK then print('Customized edit mode') end"
20010,Welt,isGameMakerRunMode,World:isGameMakerRunMode(),none,"ErrorCode.OK, result:boolean",Customized Betriebsmodus,"local result = World:isGameMakerRunMode()
if result==ErrorCode.OK then print('Customized operation mode') end"
20011,Welt,getHours,World:getHours(),none,"ErrorCode.OK, result:number",Aktuelle Zeit (h),"local result, dayTime = World:getHours()
if result==ErrorCode.OK then print('Current time:', dayTime) end"
20012,Welt,getCameraEditState,World:getCameraEditState(),none,"ErrorCode.OK, state:number0Default，1Edit，2Test",Erhalten Ansicht Bearbeitungszustand,"local result, state = World:getCameraEditState()
if result==ErrorCode.OK then print('Current view editing state:', state) end"
20013,Welt,setCameraEditState,World:setCameraEditState(state),state:CameraEditState,ErrorCode.OK,Set Ansicht Bearbeitungszustand,"--Get Camera(userdata)，Back to nil
local result, config = World:getCustomCameraConfig()
if result==ErrorCode.OK and config~=nil then --Customized view
        config:setOption(CAMERA_OPTION_INDEX_CONFIG_SET, CCG_FLATVIEW)
end"
20014,Welt,getCustomCameraConfig,World:getCustomCameraConfig(),none,"ErrorCode.OK, config:CameraEditState",Erhalten Sie kundenspezifische Konfiguration der Kamera,local result = World:getCustomCameraConfig()
20015,Welt,getRangeXZ,World:getRangeXZ(),none,"ErrorCode.OK, startX|startZ|endX|endZ:number","Erhalten, um den Bereich des Blocks (chunk)","local result, startX,startZ,endX,endZ = World:getRangeXZ()
if result==ErrorCode.OK then print('StartXZ=(',startX,', ',startZ,'), EndXZ=(',endX,', ',endZ,')')  end"
20016,Welt,getActorsByBox,"World:getActorsByBox(objtype, x1, y1, z1, x2, y2, z2)","type:number designate type, x1|y1|z1:number starting point, x2|y2|z2:number ending point","ErrorCode.OK, num:number, objids:tableobjid array",Erhalten Schauspieler in dafür vorgesehenen Bereich,"local actorType = 0 --OBJ_TYPE_MONSTER
local x1, y1, z1 = -5, 1, -5
local x2, y2, z2 = 15, 9, 15
local ret, num, array = World:getActorsByBox(actorType, x1,y1,z1, x2,y2,z2)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20017,Welt,getPlayerTotal,World:getPlayerTotal(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number Number",Erhalten alle Spieler. Kann ihr Überleben Situation unter Kontrolle,local result = World:getPlayerTotal(alive)
20018,Welt,getAllPlayers,World:getAllPlayers(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number number, array:table player uin array",Erhalten alle Spieler. Kann ihr Überleben Situation unter Kontrolle,"local aliveType = -1 --Get all players data
local ret, num, array = World:getAllPlayers(aliveType)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20019,Welt,randomOnePlayer,World:randomOnePlayer(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, uin:number",zufällige Spieler,"local aliveType = 1 --Any survivors Id
local ret, playerId = World:randomOnePlayer(aliveType)
if ret == ErrorCode.OK then print('Player ===>> ', playerId) end"
20020,Welt,despawnActor,World:despawnActor(objid),objid:number,ErrorCode.OK,entfernen Schauspieler,"local ret, num, array = World:getActorsByBox(aType, x1,y1,z1, x2,y2,z2)
if array and #array>0 then --Remove Actor
        local result = World:despawnActor(array[#array])
        if result == ErrorCode.OK then print('Despawn the last actor') end
end"
20021,Welt,spawnCreature,"World:spawnCreature(x, y, z, actorid, num)","x|y|z:number, mobid:number, num:number","ErrorCdoe.OK, objids:tableobjid array","Gene Kreatur (einschließlich Monster, NPC, Tiere etc.)","local x, y, z = 6, 7, 8
local actorId, actorCnt = 3812, 2 --Little cow
local ret, objids = World:spawnCreature(x, y, z, actorId, actorCnt)
if objids and #objids>0 then
        for idx = 1, #objIds do --Set the Oxygen dependence
                Creature:setOxygenNeed(objids[idx], true)
        end 
end"
20022,Welt,despawnCreature,World:despawnCreature(objid),objid:number,ErrorCode.OK,entfernen Kreatur,"local result = World:despawnCreature(objids[1])
if result == ErrorCode.OK then print('Despawn the creature') end"
20023,Welt,spawnItem,"World:spawnItem(x, y, z, itemid, num)","x|y|z:number, itemid:number, num:number","ErrorCode.OK, objid:number",Generieren Sie Elemente in designierten Standort,"local xPos, yPos, zPos = 5, 6, 7
local itemId, itemCnt = 15003, 30 --Item's id and number
local ret, objIds = World:spawnItem(xPos, yPos, zPos, itemId, itemCnt)
if ret == ErrorCode.OK then print(""Item[1]====>>>"", objIds[1]) end"
20024,Welt,despawnItemByBox,"World:despawnItemByBox(x1, y1, z1, x2, y2, z2)","x1|y1|z1:number starting point, x2|y2|z2:number ending point",ErrorCode.OK,Entfernen Artikel (nach Region),"local x1, y1, z1 = -5, 5, -5
local x2, y2, z2 = 15, 9, 15
local result = World:despawnItemByBox(x1,y1,z1, x2,y2,z2)
if result == ErrorCode.OK then print('Successfully remove Item in designate region') end"
20025,Welt,despawnItemByObjid,World:despawnItemByObjid(objid),objid:number,ErrorCode.OK,Entfernen Artikel (von ID),"local result = World:despawnItemByObjid(objIds[1])
if result == ErrorCode.OK then print('Successfully remove designate item') end"
20026,Welt,spawnProjectile,"World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)","shooter:number, itemid:number, x|y|z:number, dirx|diry|dirz:number, speed:number",ErrorCode.OK,generieren Projektil,"local result = World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)"
30001,Block,isSolidBlock,"Block:isSolidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Ob der Block Einheit,"local result = Block:isSolidBlock(x, y, z)"
30002,Block,isLiquidBlock,"Block:isLiquidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Ob der Block Fluid,"local result = Block:isLiquidBlock(x, y, z)"
30003,Block,isAirBlock,"Block:isAirBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Ob der Block Luft,"local result = Block:isAirBlock(x, y, z)"
30004,Block,getBlockID,"Block:getBlockID(x, y, z)",x|y|z:number,"ErrorCode.OK, id:number",Erhalten entsprechende Block-ID,"local result = Block:getBlockID(x, y, z)"
30005,Block,setBlockAll,"Block:setBlockAll(x, y, z, blockid, data)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Set blockalldata Update und informieren,"local result = Block:setBlockAll(x, y, z, blockid, data)"
30006,Block,destroyBlock,"Block:destroyBlock(x, y, z, dropitem)","x|y|z:number, dropitem:boolean",ErrorCode.OK,Zerstören Sie den Block,"local result = Block:destroyBlock(x, y, z, dropitem)"
30007,Block,placeBlock,"Block:placeBlock(blockid, x, y, z, face)","blockid:number, x|y|z:number, face:number","ErrorCode.OK, ret:boolean whether it is placed right",Platzieren Sie den Block,"local result = Block:placeBlock(blockid, x, y, z, face)"
30008,Block,setBlockAllForUpdate,"Block:setBlockAllForUpdate(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Stellen Sie blockalldata und informieren umliegenden Blöcke,"local result = Block:setBlockAllForUpdate(x, y, z, blockid)"
30009,Block,setBlockAllForNotify,"Block:setBlockAllForNotify(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Stellen Sie blockalldata und aktualisieren aktuellen Standort Blöcke,"local result = Block:setBlockAllForNotify(x, y, z, blockid)"
30010,Block,setBlockSettingAttState,"Block:setBlockSettingAttState(blockid, atttype, switch)","blockid:number, atttype:BLOCKATTR, switch:boolean",ErrorCode.OK,Stellen Block des Attributs und Zustand,"local result = Block:setBlockSettingAttState(blockid, atttype, switch)"
30011,Block,getBlockSwitchStatus,Block:getBlockSwitchStatus(pos),x|y|z:number,"ErrorCode.OK, isactive:boolean",Erhalten Ein-Aus-Zustand des Funktionsbausteins,local result = Block:getBlockSwitchStatus(pos)
30012,Block,setBlockSwitchStatus,"Block:setBlockSwitchStatus(pos, isactive)","x|y|z:number, isactive:boolean",ErrorCode.OK,An-Aus-Zustand des Funktionsbausteins,"local result = Block:setBlockSwitchStatus(pos, isactive)"
40001,Spiel Schauspieler,isPlayer,Actor:isPlayer(objid),objid,ErrorCode.OK is player is player,"Erkennen, ob es ein Spieler ist",local result = Actor:isPlayer(objid)
40002,Spiel Schauspieler,isMob,Actor:isMob(objid),objid,ErrorCode.OK is monster is monster,"Erkennen, ob es ein Monster ist",local result = Actor:isMob(objid)
40003,Spiel Schauspieler,getObjType,Actor:getObjType(objid),objid,"ErrorCode.OK, objtype:number",Holen Sie sich das Art von Schauspieler: Kreatur / Spieler ...,local result = Actor:getObjType(objid)
40004,Spiel Schauspieler,isInAir,Actor:isInAir(objid),objid:number,ErrorCode.OK,Wenn es in der Luft,local result = Actor:isInAir(objid)
40005,Spiel Schauspieler,getPosition,Actor:getPosition(objid),objid,"ErrorCode.OK, x|y|z:number",Holen Sie sich die Position Schauspieler,local result = Actor:getPosition(objid)
40006,Spiel Schauspieler,setPosition,"Actor:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Stellen Sie die Lage von Schauspieler,"local result = Actor:setPosition(objid, x, y, z)"
40007,Spiel Schauspieler,jump,Actor:jump(objid),objid:number,ErrorCode.OK,Springen,local result = Actor:jump(objid)
40008,Spiel Schauspieler,killSelf,Actor:killSelf(objid),objid:number,ErrorCode.OK,kill yourself,local result = Actor:killSelf(objid)
40009,Spiel Schauspieler,getCurPlaceDir,Actor:getCurPlaceDir(objid),objid:number,"ErrorCode.OK, dir:number",Holen Sie sich die aktuelle Blickrichtung,local result = Actor:getCurPlaceDir(objid)
40010,Spiel Schauspieler,tryMoveToActor,"Actor:tryMoveToActor(self_objid, target_objid, speed)","self_objid:number, target_objid:number, speed:number",ErrorCode.OK,Bewegen sich in Richtung Ziel Schauspieler,"local result = Actor:tryMoveToActor(self_objid, target_objid, speed)"
40011,Spiel Schauspieler,tryMoveToPos,"Actor:tryMoveToPos(objid, x, y, z, speed)","objid:number, x|y|z:number, speed:number",ErrorCode.OK,Bewegen sich in Richtung Ziel Schauspieler,"local result = Actor:tryMoveToPos(objid, x, y, z, speed)"
40012,Spiel Schauspieler,addBuff,"Actor:addBuff(objid, buffid, bufflv, customticks)","objid:number, buffid:number, bufflv:number, customticks:number",ErrorCode.OK,erhalten Buff,"local result = Actor:addBuff(objid, buffid, bufflv, customticks)"
40013,Spiel Schauspieler,hasBuff,"Actor:hasBuff(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ret:boolean",Wenn es hat jede Buff,"local result = Actor:hasBuff(objid, buffid)"
40014,Spiel Schauspieler,removeBuff,"Actor:removeBuff(objid, buffid)","objid:number, buffid:number",ErrorCode.OK,Löschen Sie den Buff,"local result = Actor:removeBuff(objid, buffid)"
40015,Spiel Schauspieler,clearAllBuff,Actor:clearAllBuff(objid),objid:number,ErrorCode.OK,Alle löschen der Buff,local result = Actor:clearAllBuff(objid)
40016,Spiel Schauspieler,clearAllBadBuff,Actor:clearAllBadBuff(objid),objid:number,ErrorCode.OK,Alle löschen die negativen Buff,local result = Actor:clearAllBadBuff(objid)
40017,Spiel Schauspieler,getBuffList,Actor:getBuffList(objid),objid:number,"ErrorCode.OK, num:numberbuff number, array:tablebuffid array",Holen Sie sich die Buff-Liste,local result = Actor:getBuffList(objid)
40018,Spiel Schauspieler,getBuffLeftTick,"Actor:getBuffLeftTick(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ticks:number",Holen Sie sich das verbleibende ITCK von entsprechendem Buff des aktuellen Index,"local result = Actor:getBuffLeftTick(objid, buffid)"
40019,Spiel Schauspieler,addHP,"Actor:addHP(objid, hp)","objid:number, hp:number",ErrorCode.OK,Erhöhen des aktuellen HP,"local result = Actor:addHP(objid, hp)"
40020,Spiel Schauspieler,getHP,Actor:getHP(objid),objid:number,"ErrorCode.OK, value:number",Holen Sie sich aktuelle HP,local result = Actor:getHP(objid)
40021,Spiel Schauspieler,getMaxHP,Actor:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Holen Sie sich aktuelle max HP,local result = Actor:getMaxHP(objid)
40022,Spiel Schauspieler,addOxygen,"Actor:addOxygen(objid, oxygen)","objid:number, oxygen:number",ErrorCode.OK,Erhöhen Sauerstoffvolumen,"local result = Actor:addOxygen(objid, oxygen)"
40023,Spiel Schauspieler,getOxygen,Actor:getOxygen(objid),objid:number,"ErrorCode.OK, value:number",Erhalten Sauerstoffvolumen,local result = Actor:getOxygen(objid)
40024,Spiel Schauspieler,addEnchant,"Actor:addEnchant(objid, slot, enchantId, enchantLevel)","objid:number, slot:number, enchantId:number, enchantLevel:number",ErrorCode.OK,Incease die Zauber entsprechender Ausrüstung,"local result = Actor:addEnchant(objid, slot, enchantId, enchantLevel)"
40025,Spiel Schauspieler,removeEnchant,"Actor:removeEnchant(objid, slot, enchantId)","objid:number, slot:number, enchantId:number",ErrorCode.OK,Klar Zauber der entsprechenden Ausrüstung,"local result = Actor:removeEnchant(objid, slot, enchantId)"
40026,Spiel Schauspieler,findNearestBlock,"Actor:findNearestBlock(objid, blockid, blockRange)","objid:number, blockid:number, blockRange","ErrorCode.OK, x|y|z:number",Finden Sie den nächsten Block von id,"local result = Actor:findNearestBlock(objid, blockid, blockRange)"
40027,Spiel Schauspieler,setFaceYaw,"Actor:setFaceYaw(objid, yaw)","objid:number, yaw:number angle",ErrorCode.OK,Stellen Sie den queren Abweichungswinkel von Schauspielern Sicht,"local result = Actor:setFaceYaw(objid, yaw)"
40028,Spiel Schauspieler,getFaceYaw,Actor:getFaceYaw(objid),objid:number,"ErrorCode.OK, yaw:number",Holen Sie sich den queren Abweichungswinkel von Schauspielern Sicht,local result = Actor:getFaceYaw(objid)
40029,Spiel Schauspieler,turnFaceYaw,"Actor:turnFaceYaw(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,Ändern Sie den quer Abweichungswinkel von Schauspieler,"local result = Actor:turnFaceYaw(objid, offset)"
40030,Spiel Schauspieler,setFacePitch,"Actor:setFacePitch(objid, pitch)","objid:number, pitch:number upward view",ErrorCode.OK,Stellen Sie den Aufwärtswinkel von Schauspieler Sicht,"local result = Actor:setFacePitch(objid, pitch)"
40031,Spiel Schauspieler,getFacePitch,Actor:getFacePitch(objid),objid:number,"ErrorCode.OK, pitch:number",Holen Sie sich das Aufwärtswinkel von Schauspieler Sicht,local result = Actor:getFacePitch(objid)
40032,Spiel Schauspieler,turnFacePitch,"Actor:turnFacePitch(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,Ändern Sie die Abweichung nach oben Winkel von Schauspieler,"local result = Actor:turnFacePitch(objid, offset)"
40033,Spiel Schauspieler,playBodyEffect,"Actor:playBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,Spielen Sie die Effekte,"local result = Actor:playBodyEffect(objid, type)"
40034,Spiel Schauspieler,stopBodyEffect,"Actor:stopBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,Stoppen Sie die Effekte,"local result = Actor:stopBodyEffect(objid, type)"
40035,Spiel Schauspieler,playBodyEffectByFile,"Actor:playBodyEffectByFile(objid, filename, sync)","objid:number, filename:string file name, sync:bool synchronize",ErrorCode.OK,Spielen Sie die Datei Effekte,"local result = Actor:playBodyEffectByFile(objid, filename, sync)"
40036,Spiel Schauspieler,stopBodyEffectByFile,"Actor:stopBodyEffectByFile(objid, filename)","objid:number, filename:string file name",ErrorCode.OK,Stoppen Sie die Datei Effekte,"local result = Actor:stopBodyEffectByFile(objid, filename)"
40037,Spiel Schauspieler,playSound,"Actor:playSound(objid, name, volume, pitch, flag)","objid:number, name:string, volume:number, pitch:number, flag:number",ErrorCode.OK,Ton abspielen,"local result = Actor:playSound(objid, name, volume, pitch, flag)"
40038,Spiel Schauspieler,playSoundSpecial,"Actor:playSoundSpecial(objid, name, type)","objid:number, name:string, type:number designate name (GSOUND_TYPE)",ErrorCode.OK,Wiedergabe starten (spezifische Aktivität: GSOUND_TYPE),"local result = Actor:playSoundSpecial(objid, name, type)"
40039,Spiel Schauspieler,clearActorWithId,"Actor:clearActorWithId(actorid, bkill)","actorid:number, bkill:boolean",ErrorCode.OK,"Deaktivieren der Kreatur-ID, deren ID ist ActorID","local result = Actor:clearActorWithId(actorid, bkill)"
40040,Spiel Schauspieler,setAttackType,"Actor:setAttackType(objid, attacktype)","objid:number, attacktype:number",ErrorCode.OK,Stellen Sie die Schadensart,"local result = Actor:setAttackType(objid, attacktype)"
40041,Spiel Schauspieler,setImmuneType,"Actor:setImmuneType(objid, immunetype, isadd)","objid:number, immunetype:number, isadd:number",ErrorCode.OK,Set Schaden Immunität Typ,"local result = Actor:setImmuneType(objid, immunetype, isadd)"
40042,Spiel Schauspieler,mountActor,"Actor:mountActor(objid, mountobjid, posindex)","objid:number, mountobjid:number, posindex:number ride",ErrorCode.OK,"Holen Sie sich auf, aus dem Fahrzeug","local result = Actor:mountActor(objid, mountobjid, posindex)"
40043,Spiel Schauspieler,setActionAttrState,"Actor:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,"Stellen Sie das Verhalten, Attribut und den Zustand der Kreatur","local result = Actor:setActionAttrState(objid, actionattr, switch)"
40044,Spiel Schauspieler,tryNavigationToPos,"Actor:tryNavigationToPos(objid, x, y, z, cancontrol)","objid:number, x|y|z:number, cancontrol:boolean",ErrorCode.OK,Finden Sie den Weg an den Zielort,"local result = Actor:tryNavigationToPos(objid, x, y, z, cancontrol)"
40045,Spiel Schauspieler,getRidingActorObjId,Actor:getRidingActorObjId(objid),objid:number,ErrorCode.OK,Holen Sie sich das Pferd des objid,local result = Actor:getRidingActorObjId(objid)
50001,Spieler,getAttr,Player:getAttr(attrtype),"objid:number, atttype:number","ErrorCode.OK, value:number",Null,local result = Player:getAttr(attrtype)
50002,Spieler,setAttr,"Player:setAttr(attrtype, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Null,"local result = Player:setAttr(attrtype, val)"
50003,Spieler,getHostUin,Player:getHostUin(),nil,"ErrorCode.OK, uin:number",Holen Sie sich das Host,local result = Player:getHostUin()
50004,Spieler,isMainPlayer,Player:isMainPlayer(objid),objid:number,ErrorCode.OK is local player is local player,"Erkennen, ob es lokale Spieler",local result = Player:isMainPlayer(objid)
50005,Spieler,getMainPlayerUin,Player:getMainPlayerUin(),nil,"ErrorCode.OK, uin:number",Holen Sie sich das lokale Spielers uin,local result = Player:getMainPlayerUin()
50006,Spieler,getGameResults,Player:getGameResults(objid),objid:number,"ErrorCode.OK, value:number",Erhalten Ergebnis des Spiels,local result = Player:getGameResults(objid)
50007,Spieler,setGameResults,"Player:setGameResults(objid, result)","objid:number, result",ErrorCode.OK,Set Ergebnis des Spiels,"local result = Player:setGameResults(objid, result)"
50008,Spieler,getGameScore,Player:getGameScore(objid),objid:number,"ErrorCode.OK, value:number",Erhalten Punktzahl des Spiels,local result = Player:getGameScore(objid)
50009,Spieler,setGameScore,"Player:setGameScore(objid, score)",objid:number,"ErrorCode.OK, value:number",Set-Score des Spiels,"local result = Player:setGameScore(objid, score)"
50010,Spieler,getGameRanking,Player:getGameRanking(objid),objid:number,"ErrorCode.OK, rank:number",Holen Sie sich den Rang des Spielers,local result = Player:getGameRanking(objid)
50011,Spieler,setGameRanking,"Player:setGameRanking(objid, rank)","objid:number, rank:number",ErrorCode.OK,Stellen Sie den Rang des Spielers,"local result = Player:setGameRanking(objid, rank)"
50012,Spieler,gainItems,"Player:gainItems(objid, itemid, num, prioritytype)","objid:number, itemid:number, num:number, prioritytype:number(1 is shortcut bar prior 2 is backpack bar prior)",ErrorCode.OK,Hinzufügen von Elementen für die Spieler,"local result = Player:gainItems(objid, itemid, num, prioritytype)"
50013,Spieler,teleportHome,Player:teleportHome(objid),objid:number,ErrorCode.OK,Übergabepunkt zum Laichen,local result = Player:teleportHome(objid)
50014,Spieler,getCurToolID,Player:getCurToolID(objid),objid:number,"ErrorCode.OK, ret",Holen Sie sich das Element id zur Zeit vom Spieler gehalten,local result = Player:getCurToolID(objid)
50015,Spieler,getNickname,Player:getNickname(objid),objid:number,"ErrorCode.OK, name:string",Holen Sie den Namen des Spielers,local result = Player:getNickname(objid)
50016,Spieler,removeBackpackItem,"Player:removeBackpackItem(objid, itemid, num)","objid:number, itemid:number, num:number",ErrorCode.OK,Entfernen Sie Gegenstände im Rucksack,"local result = Player:removeBackpackItem(objid, itemid, num)"
50017,Spieler,getDieTimes,Player:getDieTimes(objid),objid:number,"ErrorCode.OK, value:number",Holen die Zahl der Todesfälle,local result = Player:getDieTimes(objid)
50018,Spieler,getLeftLifeNum,Player:getLeftLifeNum(objid),objid:number,"ErrorCode.OK, value:number",Holen Sie die Anzahl der verbleibenden Leben gelassen,local result = Player:getLeftLifeNum(objid)
50019,Spieler,setTeam,"Player:setTeam(objid, team)","objid:number, teamid:number",ErrorCode.OK,Stellen Sie die Kreatur Team,"local result = Player:setTeam(objid, team)"
50020,Spieler,getTeam,Player:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Holen Sie sich das Wesen Team,local result = Player:getTeam(objid)
50021,Spieler,getFoodLevel,Player:getFoodLevel(objid),objid:number,ErrorCode.OK,Holen Sie sich das aktuelle Sättigungs,local result = Player:getFoodLevel(objid)
50022,Spieler,setFoodLevel,"Player:setFoodLevel(objid, foodLevel)","objid:number, foodLevel:number",ErrorCode.OK,Stellen Sie die aktuelle Sättigung,"local result = Player:setFoodLevel(objid, foodLevel)"
50023,Spieler,getCurShotcut,Player:getCurShotcut(objid),objid:number,"ErrorCode.OK, scutIdx:number",Holen Sie sich die aktuelle Shortcut-Leiste,local result = Player:getCurShotcut(objid)
50024,Spieler,onCurToolUsed,"Player:onCurToolUsed(objid, num)","objid:number, num:number items number",ErrorCode.OK,Stellen Sie den Verbrauch von Artikel durch Spieler gehalten,"local result = Player:onCurToolUsed(objid, num)"
50025,Spieler,setSkillCD,"Player:setSkillCD(objid, itemid, cd)","objid:number, itemid:number, cd:number",ErrorCode.OK,Legen Sie CD,"local result = Player:setSkillCD(objid, itemid, cd)"
50026,Spieler,reviveToPos,"Player:reviveToPos(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Respawn Spieler an bestimmten Punkt,"local result = Player:reviveToPos(objid, x, y, z)"
50027,Spieler,setRevivePoint,"Player:setRevivePoint(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Ändern Sie den Respawn-Punkt,"local result = Player:setRevivePoint(objid, x, y, z)"
50028,Spieler,playAct,"Player:playAct(objid, actid)","objid:number, actid:number动作id",ErrorCode.OK,Spieler spielen die Karikatur,"local result = Player:playAct(objid, actid)"
50029,Spieler,notifyGameInfo2Self,"Player:notifyGameInfo2Self(objid, info)","objid:number, info:string text content",ErrorCode.OK,Anzeigetexte in Popup-Fenster,"local result = Player:notifyGameInfo2Self(objid, info)"
50030,Spieler,useItem,"Player:useItem(objid, itemid, status, onshift)","objid:number, itemid:number, status:number state of using, onshift:boolean whether to press shift",ErrorCode.OK,Make-Player aktuelles Element verwenden,"local result = Player:useItem(objid, itemid, status, onshift)"
50031,Spieler,rotateCamera,"Player:rotateCamera(objid, yaw, pitch)","objid:number, yaw:number, pitch:number",ErrorCode.OK,Drehen der Linse des Players,"local result = Player:rotateCamera(objid, yaw, pitch)"
50032,Spieler,changeViewMode,"Player:changeViewMode(objid, viewmode, islock)","objid:number, viewmode:numberVIEWPORTTYPE, islock:boolean",ErrorCode.OK,Ändern Winkelmodus des Spielers,"local result = Player:changeViewMode(objid, viewmode, islock)"
50033,Spieler,setActionAttrState,"Player:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,"Stellen Sie das Verhalten, Attribut und den Zustand der Kreatur","local result = Player:setActionAttrState(objid, actionattr, switch)"
