ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
18,Captain Teach,"Ich möchte der bekannteste aller Piratenkapitäne sein, auf der Suche nach Schätzen in den Tiefen des Ozeans.",@Null@,@Null@,Avatar: Captain Avatar freischalten,Fußabruck: Hinterlasse Fußabdrücke an den Orten an denen du gehst,,,
19,Mary,Dann möchte ich der Begleiter des beanntesten aller Piratenkapitäne sein.,@Null@,Spezial Körpereffekt: Der Geruch des pinken Ozeans,Avatar: Avatar freischalten,@Null@,,,
20,Jinyi,Ich habe keine Angst vor dem Schwert!,@Null@,Fußabdruck: Plantar Wind,Avatar: Avatar freischalten,@Null@,,,
21,Xiaolou,"Das Meiste ist die Anziehungskraft, wie eine sanfte Lotusblüte .",@Null@,Körpereffekte: Schwebende Pfirsichblüten,Avatar: Avatar freischalten,@Null@,,,
22,Lilith,Süßes oder Saures,@Null@,Körpereffekte: Hexenatmung,Avatar: Avatar freischalten,@Null@,,,
23,Whushuang,Verwechsle meine Nettigkeit nicht mit Schwäche,@Null@,Körpereffekte: Blaue Blumen,Avatar: Wushuang's Avatar freischalten,@Null@,,,
24,Dragonet,Ich beschütze deine Welt!,@Null@,Fußabdruck: Schwarzer Rauch,Avatar: Dragonet's Avatar freischalten,@Null@,,,
25,Erlang,Ich helfe dir die Bösen Geister abzuwehren und deine Sicherheit zu gewährleisten.,@Null@,Körpereffekt: Positive Schwingungen,Avatar: Erh-lang's Avatar freischalten,@Null@,,,
26,Mermale,"Mama hat mir immer gesagt, renn nicht, renn nicht ohne Traumsohn.",@Null@,Body-Effekt: Traumsegen,Avatar: Schalte Mermales Avatar frei.,@Null@,,,
27,Misoso,"Leitender Umwelttraumbauer des Weltschutzplans, kämpfen, um die Welt besser zu machen.",Freigesetzte Gegenstände können vom World Guardian Programm bezogen werden.,Body-Effekt: Der Segen der Natur,Avatar: Schalte Misosos Avatar frei.,@Null@,,,
28,Mini-X,"Schutz der Zeit, liebt Reisen und Musik.",@Null@,Body-Effekt: Umgeben von elektronischen Partikeln,Avatar: Schalte den Avatar von Mini-X frei,@Null@,,,
29,Mini-T,"Was in dem kalten Anzug steckt, ist die brennende Seele, die auf die unendliche Galaxie zielt.",@Null@,Body-Effekt: Umgeben von elektronischen Partikeln,Avatar: Schalte den Avatar von Mini-T frei,@Null@,,,
30,Mond Fee,Sie tanzt im Licht des Mondes,@Null@,Körper-Effekt: Mondsichel-Form driftet um sie herum,Avatar: Avatar freischalten,@Null@,,,
31,Pumpkie,"Ein geheimnisvoller und mächtiger Magier, mit einem Buch voller Schatzmagie und einer scheinbar nutzlosen magischen Kopfbedeckung",@Null@,Body Effect: strahlt magische Aura aus,Avatar: entsperren Kürbis Profilbild,@Null@,,,
32,Shelley,"Die kleine Prinzessin aus dem geheimnisvollen Unterwasserreich geht für die Mini-Welt verloren. Diejenigen, die sie glücklich machen, werden ihren schönen Gesang hören.",@Null@,Body-Effekt: Tropfen schweben um sie herum,Avatar: Entsperre Shelley-Profilbild,"Fußabdruck: Hinterlassen Sie Muschelabdrücke, wo immer Sie vorbeikommen",,,
33,Christopher,"Das Geheimnis des Winters ist, dass jede Schneeflocke lebt und sich gegenseitig schützt.",@Null@,Körpereffekte: Schneeflocken fallen um den Körper,Avatar: Entsperre Christopher Profilbild,@Null@,,,
34,Popo,"Dodo und Bobo sind die besten Freunde mit Misra. Sie haben sehr geringes Selbstwertgefühl, wenn sie schwach sind. Sie setzten sich auf eine Reise, einen Planeten zu finden, wo sie die Color Magic mit der Hoffnung auf immer stärker erhalten.",@Null@,Body-Effekte: Ändert seine Farbe Mischung in die Umwelt,Avatar: Profilbild entsperren,@Null@,,,
35,Dronte,"Dodo und Bobo sind die besten Freunde mit Misra. Sie haben sehr geringes Selbstwertgefühl, wenn sie schwach sind. Sie setzten sich auf eine Reise, einen Planeten zu finden, wo sie die Color Magic mit der Hoffnung auf immer stärker erhalten.",@Null@,Avatar: Profilbild entsperren,@Null@,@Null@,,,
36,Bobo,"Dodo und Bobo sind die besten Freunde mit Misra. Sie haben sehr geringes Selbstwertgefühl, wenn sie schwach sind. Sie setzten sich auf eine Reise, einen Planeten zu finden, wo sie die Color Magic mit der Hoffnung auf immer stärker erhalten.",@Null@,Avatar: Profilbild entsperren,@Null@,@Null@,,,
37,Sakura,"Ein Mädchen, das ihre Träume verlassen hat, wollte reisen. Nicht nur für Abenteuer, sondern auch um so zu leben, wie sie es möchte.",@Null@,Avatar: Profilbild entsperren,"Fußabdruck: Fußabdrücke hinterlassen, wo immer er vorbeigeht",@Null@,,,
38,Marschall Zhanlang,Dieser Marschall hat viele Kriege erlebt. Er sieht aus wie ein Kommandant der Himmlischen Seestreitkräfte.,@Null@,Körpereffekte: Spindrift um ihn herum verstreut,Avatar: Avatar entsperren.,"Fußabdruck: Fußabdrücke hinterlassen, wo immer er vorbeigeht",,,
39,Angelos,Ehrlich und freundlich Angelos winkte mit dem Zepter in der Hand. Sie verschüttet Hoffe und Liebe in jeder Ecke der Mini-World. (Angelos kann nur durch die Veranstaltung erworben werden~),Freischalten durch Ereignis,Körperseffekte: Schwebende Federn umher,Avatar: Avatar entsperren.,@Null@,,,
40,Mini-Beat,"DJ aus der Leere, dem beliebtesten elektronischen Rock. Mit einem starken Rhythmusgefühl ist er der schillerndste Stern auf der Partybühne.",@Null@,Körperseffekte: Schwänze mit Blitz!,Avatar: Avatar entsperren.,"Fußabdruck: Die Stelle, an der Sie gegangen sind, hat den Fußabdruck der Notiz hinterlassen.",,,
41,Lancelot,"Was ist Ritterlichkeit? Wo das Schwert zeigt, wird Gerechtigkeit erreicht!",@Null@,Körperseffekte: Umgeben von Sternenlicht,Avatar: Avatar entsperren.,@Null@,,,
42,Süß Meow,"Netzwerkverbindung geprüft. Elektromagnetischer Turm ist bereit. Nenn mich einen Geek? Nein, nein, es ist die Romanze des Wissenschaftlers! Ah? Macht ist schwach. Lass uns aufladen",@Null@,@Null@,Avatar: Avatar freigeschaltet.,"Fußabdruck: Der Ort, an dem Sie gelaufen sind, hinterlässt ein elektronisches Körnchen.",,,
43,Samurai Senbei,"Gute Gewegung! Aber sind Sie sicher, dass Sie mit meinem Doppelkampf mithalten würden?",@Null@,@Null@,Avatar: Avatar freigeschaltet.,"Fußabdruck: Der Ort, an dem Sie gelaufen sind, hinterlässt ein staubiges Körnchen.",,,
44,Meow Rennfahrer,"Diese Meistertrophäe ist mein Geburtstagsgeschenk! Meow Rennfahrer, die das urbane Leben liebt, taucht wieder auf dem Platz auf. Für sie ist es viel wichtiger, schön zu gewinnen als zu siegen.",@Null@,@Null@,Avatar: Avatar freigeschaltet.,"Fußabdruck: Der Ort, an dem Sie gelaufen sind, hinterlässt herzförmigen Fußabdruck.",,,
45,Attentäterin Li,Eine energische Attentäterin. Sie muntert sich immer auf. Sie liebt es Nadeln zu benutzen und macht den Wollanzug für alles.,@Null@,@Null@,Avatar: Avatar freigeschaltet.,"Fußabdruck: Der Ort, an dem Sie gelaufen sind, hinterlässt pelzigen Kugel Fußabdruck.",,,
46,Attentäter An,Er will cool vor anderen spielen. Aber er wird immer von seinem Partner wegen seiner Nachlässigkeit beklagt.,@Null@,@Null@,Avatar: Avatar freigeschaltet.,"Fußabdruck: Der Ort, an dem Sie gelaufen sind, hinterlässt Pfeil Fußabdruck.",,,
47,Parrot YOYO,"Glauben Sie, dass jede Wolke seinen eigenen Geruch. Ich möchte Ihre Flügel sein und nehmen Sie an einem der schönsten Orte der Welt.",@Null@,Spezialeffekt: Goldenes Licht auf der Krone,Avatar: Avatar freigeschaltet.,@Null@,,,
48,Mini-S,"Es ist meine Pflicht, den Frieden zu bewahren, für meine Freunde und meine Heimat!",@Null@,Spezialeffekt: Mecha auf der Rückseite wird von den goldenen Strahlen beleuchtet.,Avatar: Avatar freigeschaltet.,@Null@,,,
49,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
50,Joker,"Hey, lieber Reisender, möchten Sie die erstaunliche Zaubershow sehen? Alle fantastischen Aufführungen sind hier!",@Null@,@Null@,Avatar: Avatar freigeschaltet.,"Footprint: Verlassen magische Muster, wenn er vergeht.",,,
51,Kana,"Ich bin hier, um die Regeln zu brechen. Wollen Sie ein paar Süßigkeiten oder meinen Hammer versuchen?",@Null@,@Null@,Avatar: Avatar freigeschaltet.,"Footprint: Оставляя шаблон леденец, когда она проходит.",,,
52,Optimus Prime,"I am Optimus Prime, and I send this message so that our pasts will always be remembered, for in those memories we live on.",@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,"#cda5b0a Verformung: Klicken Sie auf die Schaltfläche Verformung auf der linken Seite, um die Form des Roboters / Fahrzeugs zu ändern! #n",#cda5b0a Transformers exklusive Fähigkeiten: Autobots Angriff und Verteidigung! #n,
53,Megatron,I do this only for the benefit of my deceptions. It grieves me that you may also profit.,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,"#cda5b0a Verformung: Klicken Sie auf die Schaltfläche Verformung auf der linken Seite, um die Form des Roboters / Fahrzeugs zu ändern! #n",#cda5b0a Transformers exklusive Fertigkeit: Fusion Cannon! #n,
54,Schaumfestiger,"Was sind die wichtigsten Dinge von Heiligabend? Schnee, Kuchen, Magie und wunderbar Sie!",@Null@,@Null@,Avatar: Avatar freigeschaltet.,"Footprint: Verlassen Erdbeer-Muster, wenn sie vergeht.",,,
55,Kumquat,"Eine der netten Zwillinge, die Miniwelt gerade kommt. Die Zwillinge sind von einem reichen Ort. Abgehende Kumpquat gerne sammeln Früchte und Blätter und die Dinge für andere zu fallen. In seinen Worten ist, teilt das Geheimnis, reich zu sein!",@Null@,@Null@,Avatar: Avatar freigeschaltet.,"Footprint: Verlassen Kastanien Muster, wenn er durch geht.",,,
56,Snowe,"Eine der netten Zwillinge, die Miniwelt gerade kommt. Die Zwillinge sind von einem reichen Ort. Fleißige Snowe verbringt viel Zeit, anderen zu helfen. Nachdem sie zu Mini Welt kommt, sie hofft, dass sie mehr Freunde machen und die Stärke der Reichtum an andere weitergeben.",@Null@,Body-Effekt: Blumen um den Körper verstreut.,Avatar: Avatar freigeschaltet.,"Footprint: Verlassen chinesische Knotenmuster, wenn sie vergeht.",,,
57,Großvater Lin,"Er scheint wie ein schlampig kidult. Eigentlich ist er der mächtige Herr der Nordstadt und auch der Lehrer von Jinyi, Assassine LI und An. Nach so vielen Jahren Kampf, zahlt er jetzt nicht um Angelegenheiten des menschlichen Lebens.",Freischalten durch Ereignis,@Null@,Avatar: Avatar freigeschaltet.,"Footprint: Verlassen cucurbit Muster, wenn er vergeht.",,,
58,Bumblebee,"I am Bumblebee, your best friend. Optimus Prime, I was willing to make any sacrifice for peace.",@Null@,Body Effects: Can convert in game and switch the form,Avatar: Avatar freigeschaltet.,Footprint: Leaving Camp pattern when he goes by.,"#cda5b0aVerformung: Klicken Sie auf die Schaltfläche Verformung auf der linken Seite, um die Form des Roboters / Fahrzeugs zu ändern! #n",#cda5b0aTransformers Exklusive Fertigkeit: Wespenstich! #n,
59,Blumenfee,"Blumen-Fee genießt im Garten wandern. Sie pflanzt viele Blumen rund um ihr Haus. Kinder, die zu Fuß durch alle durch die frangrance angezogen. Diesmal hört sie, dass die Macht der Magie Star wird die Blumen ändern. Als Gärtner ist, sie zu kommen sehr froh.",@Null@,Körperseffekte: Umgeben von Sternenlicht,Avatar: Avatar freigeschaltet.,@Null@,,,
60,Arell,"den shinny Stern vom Himmel Arell und Träume verwirklichen kann. Wenn jemand einen Wunsch macht, wird Arell das hören und eine neue Welt mit ihm / ihr schaffen.",@Null@,Body-Effekt: Umgeben von Regenbogen,Avatar: Avatar freigeschaltet.,@Null@,,,
61,Schneeleopard,"Geboren auf dem Schneeberg, gewählt der Protektor des Plateaus sein. Sie ist weich, aber zeigt viel Mut, wenn sie nach Hause zu verteidigen.",Freischalten durch Ereignis,Body-Effekt: Umgeben von ssnow,Avatar: Avatar freigeschaltet.,@Null@,,,
62,Ellie,Ellie ist von einer Poker-Karte mit dem Wunderland gemacht. Dies ist ein unbekanntes Abenteuer. Aber Mr. Rabbit ist der beste Begleiter. Er wird immer an ihrer Seite.,@Null@,Body-Effekt: Umgeben von Blume,Avatar: Avatar freigeschaltet.,@Null@,,,
63,Ninja Frosch,"Ninja Frosch begann in jungen Jahren zu lernen, Ninjutsu. Jetzt hat er ein Meister geworden, aber die Zeit vermisst er am meisten, wenn er durch den Teich lag.",Freischalten durch Ereignis,@Null@,Avatar: Avatar freigeschaltet.,"Footprint: Verlassen Frosch-Muster, wenn er geht.",,,
64,Starscream,Starscream thinks that he is born to be the leader of Decepticon. He has a sharp tongue and often contends for power and profit with Megatron. His behavior often makes Megatron really annoyed,@Null@,Body Effects: Can convert in game and switch the form,Avatar: Avatar freigeschaltet.,Footprint: Leaving Camp pattern when he goes by.,"#cda5b0aVerformung: Klicken Sie auf die Schaltfläche Verformung auf der linken Seite, um die Form des Roboters / Fahrzeugs zu ändern! #n",#cda5b0a Transformers Exklusive Fähigkeiten: Luftalarm! #n,
65,Hot Rod,"He is calm and full of responsibility. He is the future leader of the Autobot, the new hope of peace in the universe. No matter how dangerous the situation is, he will act immediately without hesitation.",@Null@,Body Effects: Can convert in game and switch the form,Avatar: Avatar freigeschaltet.,Footprint: Leaving Camp pattern when he goes by.,"#cda5b0aVerformung: Klicken Sie auf die Schaltfläche Verformung auf der linken Seite, um die Form des Roboters / Fahrzeugs zu ändern! #n",#cda5b0aTransformers Exklusive Fertigkeit: Roter Blitz! #n,
66,Galvatron,He is stronger and more cruel than the Megatron. His self-confidence and ambition of conquest and rule are unmatched. He is the embodiment of power. The entire universe cannot satisfy the appetite of this ruthless tyrant.,@Null@,Body Effects: Can convert in game and switch the form,Avatar: Avatar freigeschaltet.,Footprint: Leaving Camp pattern when he goes by.,"#cda5b0aVerformung: Klicken Sie auf die Schaltfläche Verformung auf der linken Seite, um die Form des Roboters / Fahrzeugs zu ändern! #n",#cda5b0aTransformers Exklusive Fähigkeiten: Fusion Laser! #n,
67,Raul,"Wandern zwischen der virtuellen und der realen, verwendet Raul, um die täglichen Probleme wie Spiel-Levels nimmt und sie eins nach dem anderen zu lösen. Wenn Glück und Fähigkeit kann nicht funktionieren, dann lassen Sie sie in die Zeit. Zeit macht die Menschen wachsen. Und Wachstum ist auch die ultimative Antwort von jeder Ausgabe.",Freischalten durch Ereignis,Körper Effekte: von Zeichen umgeben,Avatar: Avatar freigeschaltet.,@Null@,,,
68,Lynn,"Lynn mag ihr Freund wenig Cube Pendeln zwischen der virtuellen und der realen nehmen. Erforschung der Welt und genießen Sie den Spaß es bedeutet sehr viel für sie. Sie hört nie auf und immer sucht die Neon-Licht, das sie berühren kann.",Freischalten durch Ereignis,Körper Effekte: Umgeben von lila Teilchen,Avatar: Avatar freigeschaltet.,@Null@,,,
69,Cyan,"Als Nachkomme der ersten zongzi Werkstatt der Welt, Cyan hat jedoch einen Traum ein Meister der Guzheng zu werden. Cyan und Eltern machen einen Deal, solange Cyan den Ruf Zongzi Werkstatt halten kann, sie guzheng Lernen dann halten können. Vererben Zongyi Werkstatt und zu einem Meister des Guzheng ist nicht für Cyan in Konflikt gerät, weil sie beide wollen.",@Null@,Körperkontakt: Umgeben von Leaves,Avatar: Avatar freigeschaltet.,@Null@,,,
70,Twilight Sparkle,Twilight Sparkle is the most knowledgeble. She likes reading and has leadership. Princess Celestia helps her to learn the magic of friendship and create more.,@Null@,Body Effects: Surrounded by magical particle,Avatar: Avatar freigeschaltet.,@Null@,,,
71,Princess Celestia,"She, the ruler of the Kingdom of Equestria, has the great magic power. But she is a cute girl and very easy-going. Cake is always her favorite.",@Null@,Body Effects: Surrounded by golden particle,Avatar: Avatar freigeschaltet.,@Null@,,,
72,Fluttershy,Fluttershy Leben lebt in einer Holzhütte am Rande des Pony-Tales und anfreundet eine Vielzahl von Tieren. Sie leitet sie oft als Symbol der Güte in Harmonie wirken zusammen,@Null@,Body Effects: Surrounded by golden particle,Avatar: Avatar freigeschaltet.,@Null@,,,
73,Prinzessin Luna,"Prinzessin Luna ist die Schwester von Prinzessin Celestia. Der zweite Herrscher von Equestria, die verantwortlich für die Nacht dauert, träumen und Mond steigt. Sie rettet oft die Ponys in Alpträume. Sie scheint mysteriös und weit entfernte, aber sie ist eine Art in der Tat.",Freischalten durch Ereignis,Body Effects: Surrounded by moon pattern,Avatar: Avatar freigeschaltet.,@Null@,,,
74,Grimlock,Grimlock ist der Kommandant der Dinobots und auch die leistungsfähigste ein. Seine rücksichtslose Persönlichkeit macht autobos sehr ängstlich. Aber er führt auch die Dinobots und speichern Sie die autobots viele Male.,Freischalten durch Ereignis,Body Effects: Electromagnetic sparks,Avatar: Avatar freigeschaltet.,Footprint: Leaving Camp pattern when he goes by.,"#cda5b0aVerformung: Klicken Sie auf die Schaltfläche Verformung auf der linken Seite, um die Form des Roboters / mechanischen Dinosauriers zu wechseln! #n",#cda5b0aTransformers Exklusive Fertigkeit: Tyrannosaurus Brüllen! #n,
75,herabstoßen,Swoop’s simple thoughts and reckless behavior are really annoying. But he is a kind-hearted warrior. He plays a huge role in the dinobots team and shoulders the important missions.,@Null@,Body Effects: Electromagnetic sparks,Avatar: Avatar freigeschaltet.,Footprint: Leaving Camp pattern when he goes by.,"#cda5b0aVerformung: Klicken Sie auf die Schaltfläche Verformung auf der linken Seite, um die Form des Roboters / mechanischen Dinosauriers zu wechseln! #n",#cda5b0aTransformers Exklusive Fertigkeit: Swift Wings! #n,
76,Knurren,"Knurren ist ein Out-of-Gruppe Kerl. Er liebt es, andere mit strategischen Fragen befassen zu lassen. Er braucht nur Grimlocks Versand und besuchen den Krieg zu folgen. Das macht ihn auch der stärkste Kämpfer von Grimlock auf dem Schlachtfeld",@Null@,Body Effects: Electromagnetic sparks,Avatar: Avatar freigeschaltet.,Footprint: Leaving Camp pattern when he goes by.,"#cda5b0aVerformung: Klicken Sie auf die Schaltfläche Verformung auf der linken Seite, um die Form des Roboters / mechanischen Dinosauriers zu wechseln! #n",#cda5b0aTransformers Exklusive Fertigkeit: Bone Spurs Sweep! #n,
77,Leonardo,"Es wird gesagt, dass er ein reisender Maler ist die Farbe Magie verwendet die Welt zu reinigen. Warme Farben sind veränderbar, und kühle Farben sind ruhig. Das gleiche gilt für Leonardo: die Kombination von Orange und Blau ist genau wie sein Charakter Ruhe und Begeisterung",Freischalten durch Ereignis,@Null@,Avatar: Avatar freigeschaltet.,"Footprint: Verlassen Blaupigment, wenn er geht durch",,,
78,Thalia,"Tauschen Sie Ihre Kostbarkeiten mit mir! Ich gebe Ihnen alles, was Sie träumen! Ein Tag unterzeichnete Briefe Thalia werden an den Personen gesendet, die die Magie in dem Mini-Universum lieb sind. Es gibt auch eine schwimmende Insel und eine schöne, geheimnisvolle Königin Thalia auf Offa Planeten!",Erhalten in Gashapon,Body-Effekt: Umgeben von lila Blüten,Avatar: Avatar freigeschaltet.,"Footprint: Verlassen Rosen Pigment, wenn er geht durch",,,
79,Uta,"In seltenen Fällen kann jeder die Uta finden. Er versteckt sich immer tief in den Wald, mit Tieren und Elfen in Verbindung steht. Zu bestimmten Jahreszeit, würde er erscheinen und die Verwendung Magie des Stammes Beschwerden und banish nightmares.His Wahrsagerei und Medizin war so effektiv, und doch so mysterious.He war ein Einsiedler und ein würdiger Sohn des Waldes zu heilen.",@Null@,Body-Effekt: Umgeben von Hexerei Charakter,Avatar: Avatar freigeschaltet.,@Null@,,,
80,Herr Kaninchen Laby,"Die Laby Die größte Freude ist seine Fähigkeit, Reise von Planet zu Planet als Mr. Rabbit.But Ellie in der Lage sein scheint, um zu sehen, durch seine disguise.A Karte zufällig ließ sie zusammenbringt und ein wunderbares Abenteuer beginnt. Ist das die Magie des Poker? Nein, es ist die Magie des Schicksals!",Freischalten durch Ereignis,Body-Effekt: Umgeben von Kaninchenmuster,Avatar: Avatar freigeschaltet.,@Null@,"#cd65b00Verformung: Klicken Sie auf die Schaltfläche Verformung auf der linken Seite, um die Form des Kaninchens / Humanoiden zu wechseln! #n",#cd65b00Mr. Rabbit Exklusive Fähigkeit: Die Zeit läuft ab! #n,
81,Pinkie Pie,Pinkie Pie is the most famous “party pony” and has extraordinary energy. She loves pranks and singing and has a cheerful character. She represents “laughter” in the element of harmony.,@Null@,Body-Effekt: Umgeben von rosa Herzen,Avatar: Avatar freigeschaltet.,@Null@,,,
82,Weihnachtslied,"Carol liebt Süßigkeiten, weil Süßigkeiten ihr Glück immer bringt. Als sie die Straße trampelt, nimmt ein Süßwarengeschäft Besitzer ihr. Sie hat auch den kleinen Geist erfüllt und lernt Magie gibt. Nehmen Sie ein Bonbon! Carols Zuckerdose überraschen werden Sie auf jeden Fall!",@Null@,Body-Effekt: Umgeben von Licht Magie,Avatar: Avatar freigeschaltet.,@Null@,,,
83,Jerry,"Warum ist Gelee entweder süß oder salzig beancurd? Warum kann es nicht süß und salzig? Eine wenig Zitronensaft scheint hilfreich zu sein. Jerry ist voll von skurrile Ideen, kann immer verschiedene Zutaten kombiniert die unerwartetsten Nahrung zu produzieren. Das hat ihren Bruder Mermale zu leiden verursacht. Jeder Geschmack ist die schwerste Herausforderung in den Magen.",Erhalten in Gashapon,@Null@,Avatar: Avatar freigeschaltet.,Fußabruck: Hinterlasse Fußabdrücke an den Orten an denen du gehst,,,
84,Tintenfisch,"Als Mitglied seiner Familie, Squid will nicht für immer unter dem Meer leben. Das Meer ist riesig, aber er zieht auf der Oberfläche zu schweben und beobachtet den hellen stars.Though er keine Flügel haben, er eine Rakete zu den Sternen mit Hilfe seiner Freunde machen.",Erhalten in Gashapon,Body-Effekt: Umgeben von Schallwelle,Avatar: Avatar freigeschaltet.,@Null@,,,
85,Gigi Bär,"Das Leben ist ein Abenteuer und auch eine Herausforderung. Gefahr kann Ihnen helfen, itendify selbst. Sie werden nicht von der Zeit aufgegeben werden, wenn Sie am Laufen halten. Wenn Sie das Unmögliche fordern wollen, gehen auf ein Abenteuer mit Gigi Bär.",Erhalten in Gashapon,@Null@,Avatar: Avatar freigeschaltet.,"Fußabdruck: Verlassen Bären Fußabdruck, wenn er geht durch",,,
86,Starlight Glimmer,"She possesses a powerful magical ability no less than Twilight Sparkle, trying to establish a Utopian town. She now becomes a friend of the other ponies and the principal of Friendship School.",@Null@,Body-Effekt: Umgeben von blauem Sternenlicht,Avatar: Avatar freigeschaltet.,@Null@,,,
87,rainbow Dash,Rainbow Dash ist mutig und out-going. Sie ist ein großer Fan von Abenteuer und Streich. Sie fliegt sehr schnell und hat das Regenbogen-Tailing. Sie steht für „Loyalität“ in dem Elemente der Harmonie.,@Null@,Body-Effekt: Haben Sie Regenbogen-Tailing,Avatar: Avatar freigeschaltet.,@Null@,,,
88,Princess Cadence,"She used to be the beautiful, kind and considerate student of Princess Celestia. She becomes the guardian of the Crystal Empire by defeating King Sombra.",@Null@,Body-Effekt: Umgeben von Kristall,Avatar: Avatar freigeschaltet.,@Null@,,,
