ID,描述
81,"Büyülenme menüsünden, çantaya konulmuştur"
82,"Vahşi doğada hayatta kalmaya çalış, kaynakları topla ve dünyayı keşfet"
83,İstediğin her şeyi inşa etmek için sonsuz kaynağın var
84,Yeni bir arşiv oluştur.\n Macerana başla
85,Henüz arşivin yok. Şimdi #cfa7a0f oluştur#n
86,#cfa7a0fİndirmek#n için daha fazla harita burada!
87,Oyuna yeni mi başladın? Acemilere özel ders ile başlamanı öneririz
88,Sahnede bir karakter seç\n Rolünü oluştur
89,Lütfen bir rol seçin
90,Acemilere özel dersi henüz tamamlamadın. Devam etmek ister misin?
91,Eğer yeniysen. #c0aaa1aEğitim haritası ile oynamanı öneririz#n.
92,Acemi Öğretici Haritası
93,Varılan: Yeraltı Dünyası
94,Varılan: Yeryüzü Dünyası
95,@other ile savaşırken kaybettin
96,@self yüzerken oksijen tüketimine dikkat et
97,@self yüksek sıcaklıktaki nesnelerden uzak dur
98,@self Yüksek yer tehlikeyle dolu! Dikkat et!
99,Bir uzay elbisesine ihtiyacın var
100,Kaktüse dikkat et!
101,Çok şanslısın! Bugün gidip piyango oyna.
102,Zehirlendin. Taze süt içerek iyileş.
103,@self çiçek gibi soldu.
104,Koşu modundasın
105,Sinsil yürüme modundasın
106,Şimdi macera odama gel! Arkadaşlarım ve ben seni bekliyoruz!
107,Bu macera odası harika! Duramıyorum
108,Macera odama kim gelmek ister?
109,Eğer benim kardeşimsen macera odama gel!
110,Kim cevher çıkarmama yardım edecek? Şimdi macera odama gel!
111,Yaratıcı odama gel! Burada çok eğlence var
112,"Yaratıcı odama gel, parti yapalım!"
113,Özen ile hazırladığım yaratıcı odama hoş geldiniz
114,Yaratıcı odam oldukça uzun süredir sizi bekledi!
115,Yaratıcı odamda büyük bir evim var. Gel ve bir bak!
116,Dolunay çıktı. Özel bir gece...
117,Ay gizlendi. Özel bir gece...
118,Burada çok fazla eşya var. Neye ihtiyacın var? Belki çöl ve buzl sahasına gidip kardeşlerimi bulabilirsin.
119,Ben çölde büyüdüm. Vahaya çevirmek için daha fazla eşyaya ihtiyacım var!
120,Buz sahası aşırı soğuk olduğu için çok fazla eşyaya ihtiyacım var. Benim için eşya tedarik edebilir misin?
121,Uyumlu olmayan hassas kelimeler var. Lütfen yeniden girin
122,Bu depo kutusu oda sahibine aittir. Açma yetkin yok.
123,Yeni isim gir
124,Harcamaya gerekir
125,Arşivdeki isim değiştirilemez
126,Tebrikler! Yeni ismin
127,İsim değiştirme başarısız. Lütfen bağlantıyı kontrol edip yeniden deneyin
128,Satın alınan eşyalar çantada saklanır.
129,"Sırt Çantasına çekmek için kaydetteki öğeye dokunun. Bağlama parçaları, montaj parçası deposuna taşınmıştır. #cfa7a0fTap görüntülenecek.#n"
130,Bu tür eşyalar sadece oda sahibi tarafından çekilip kullanılabilir
131,Satın alma başarılı. Lütfen alt soldan depoya girip kontrol et
132,Başarıyla çıkarıldı. Lütfen çantadan kontrol et
133,Aşırı macera puanı:
134,"Oyundan çıkıyorsunuz, lütfen diğer dene (0)"
135,"Oda sahibi uzaylıların tarafından kaçırıldı, bağlantı kesildi !"
136,Oda kapandı. Oda sahibinin annesi onu yemeğe çağırıyor
137,Giriş yapılamıyor.Harita indirilemedi veya harita hasarlı (lütfen paylaşmadan önce yedekleyin)
138,Aktiflik seviyesi:
139,Başarıların kilidi açıldı:
140,Bilgi
141,Profil
142,Kullanım
143,kilidi aç
144,Yazarın kullanıcı kimliğini gir.
145,Kullanıcı kimliği
146,Stabil olmayan ağ. Lütfen kontrol edin
147,Kategori seç
148,Normal
149,İyi
150,Mükemmel
151,Takip ettiğin oda sahipleri tatilde...
152,"Üzgünüz, lütfen harita listesini yenileyin ve tekrar deneyin."
153,İsim
154,Oyuncu
155,Tip
156,Açıklama
157,Şimdi güncelle
158,Oyun sürümü çok düşük Lütfen güncelle
159,Arşivlenen harita paylaşılmadığı için harita indirilemez ve geri yüklenemez.
160,"Arşivi yeniden indirilmesi gerekiyor
 Şimdi indirmek istiyor musun?"
161,yükleme/indirme işlemi stabil olmayan bağlantı yüzünden askıya alındı. Lütfen bağlantıyı kontrol edip ve yeniden deneyin
162,Takip edilen bir harita yok. Arakadaşının paylaşımına bak
163,"Kayıtlı veriler oyuna girerken dönüştürülür. Zaman alabilir,lütfen oyundan çıkış yapmayın."
164,Geçen sefer girilen oda
165,Hile yapıyorsun. Sonuçları ciddidir
166,Başlık
167,Etiket
168,Tür
169,Tanıtım
170,Genel
171,Kişiye özel
172,"İyi bir harita tanımı daha fazla\n oyuncunun ilgisini çeker\n (tıkla ve yaz, 30 karaktere kadar)"
173,Paylaşımı güncelle
174,Takiplerim
175,UID'yi girin
176,Paylaşımlarım
177,Geri
178,Bu adam hiçbir açıklama yapamayacak kadar tembel.
179,Beğendiysen lütfen bu haritaya puan ver!
180,Onayla
181,Arşiv adı boş bırakılamaz
182,Bineğin özellikleri
183,Kuluçka süresi
184,Arşivin kapağı
185,Elde et
186,Kullan
187,Yükselt
188,Paylaşılan bir arşivin yok
189,Bu oyuncunun paylaşılan bir haritası yok
190,varsayılan sıralama
191,SICAK
192,Puanlama
193,Sıcak konular
194,En son
195,Sıralama
196,Etkinleştir
197,hemen olgunlaş
198,Hasat
199,Sana yardım eden arkadaşlar:
200,Bitki #c0aba1d güzel büyüdü#n
201,Bitkinin #cffda0a suya ihtiyacı var#n
202,Bitki #cff3d2b çürüyor#n
203,Şunları alabilir:
204,Geri sayım:
205,(hemen olgunlaş)
206,Büyümeye başla
207,Arkadaşının evini ziyaret et
208,Puan Tahtası
209,Arkadaşlar
210,Fanlar
211,Profil
212,İsim
213,Yenilgiler
214,Arkadaş
215,Binek
216,(Önizleme)
217,Yeniden meydan okumayı bekliyor
218,"Hesap Değiştir, dikkat: #r1. Kaybolmamak için önceden önemli arşivi yükle #r2.Oyunda 'hatalı şifre' bildirim çıkınca oturumu değiştirerek düzeltebilirsin"
219,Oda stabil olmayan ağ nedeniyle kapalı
220,Oyun odasını kapatmak bütün oyuncuları dışarı atar.
221,Oyundan çıkılırsa tüm oyuncular atılacaktır
222,Oyuna başla: 4
223,Oyuna başla: 3
224,Oyuna başla: 2
225,Başla!
226,Anladım
227,Varsayılan
228,Sistemden Haberler
229,"@self, @other’e ağır şekilde vurdu!"
230,@self saldırısı@other isabetli bir şekilde vurdu!
231,"@self, @other'i canlanma noktasına arkadaşça geri gönderdi!"
232,@self çift kombo yapar!
233,@self üçlü kombo yaptı!
234,@self çok keskin!
235,@self durdurulamıyor!
236,@self oyunu kontrolü altına aldı!
237,@self tanrıyı geçmek üzere!
238,@self tam bir çılgın! Onu kim durdurabilir?
239,@self tıpkı bir tanrı gibi!
240,@self tanrıyı geçti! Lütfen durdur şunu!
241,Sürüm güncelleme
242,Henüz haberleri yok!
243,"@self, @other’ın üçlü kombosunu sonlandırır!"
244,"@self, @other’ın keskinliğini sonlandırır!"
245,"@self, @other’ın durdurulamazı durumunu sonlandırır!"
246,"@self, @other’ın oyundaki üstünlüğünü sonlandırır!"
247,"@self, @other’ın yolunu tanrıları geçmesi için sonlandırır!"
248,"@self, @other’ın çılgınlığını sonlandırır!"
249,"@self, @other’ın tanrısal durumunu sonlandırır!"
250,"@self, @other’ın tanrısal geçiş durumunu sonlandırır!"
251,Mevcut Bineğin bebek doğurabilir!
252,Binek bebeği oyunda ancak @num gün sonra çıkar
253,Mevcut durumda oturamazsın
254,Oturmak için çok uzak
255,Gezgin Tüccar
256,(Ürünler güncellendi)
257,"Hoş geldiniz! Nasıl yardımcı olabilirim?\n Lüften acele et, yoksa bir sonrakini beklemek zorunda kalırsın !"
258,Ayrılıyor
259,Kalan:
260,Satıldı
261,Gezgin Tüccar
262,Gezgin Tüccar ayrılıyor
263,Taslak
264,"Ooh, ooh, ne istiyorsun?"
265,Yedek
266,Yükleme başarısız oldu. Lütfen daha sonra tekrar deneyin.
267,Görünümü görünmek için sürüm çok düşük
268,"Ana Sayfa - Bahçem - Resim rehberi kısmında kilidi açıldıktan sonra kullanılabilir, etkinlik ya da bahçe meyvelerinden parçayı elde et"
269,"Saklama alanı yetersiz, arşive kaydedilemiyor. Lütfen temizleyip yeniden deneyin"
270,Zafer
271,Başarısızlık
272,Eşit
273,Aktivasyon kodu
274,Hediye paketi için aktivasyon kodu
275,Aktif Edildi!
276,Mall'da ödülü kontrol edin
277,Paketle'yi tıklayın
278,@Null@
279,Lütfen hediye paketin aktivasyon kodunu girin.
280,@Null@
281,Lütfen aktivasyon kodunu gir!
282,Stabil olmayan ağ. Lütfen kontrol edin
283,Aktivasyon kodu kullanıldı. Tekrar hediye alamazsın
284,Girdiğin aktivasyon kodu hatalı.
285,Tebrikler! Hediye paketini aktive ettin
286,Stabil olmayan ağ/yanlış platform/aynı tür hediye çantasının alınması
287,Uzunca bas
288,Alet kutusunu yerleştirmek için yere tıkla!
289,Kaydediklerim
290,Çevrimiçi
291,Genel
292,İnşaat
293,Makine
294,Sırt çantası
295,Aletler
296,Mahsul
297,Ivır Zıvır
298,Bloklar
299,Editle
300,#cfa7a0fTahta Eksik#n. Tahta tabelası yapmak için odun topla
301,"#cfa7a0fAlet kutusu#n ikonunu seç, sonra sağdaki #cfa7a0fyap#n butona tıkla"
302,"#cfa7a0f kazma #nmalzeme eksikliği, #cfa7a0f odun almak için lütfen ağaçları kesin #n"
303,#cfa7a0fAhşap kazma#n seç. sonra sağdaki #cfa7a0fyap#n butona tıkla
304,Mini World'a hoş geldiniz. Öncelikle #cfa7a0fişlemleri#n kavrayalım. Başlamak için ekrana #cfa7a0fTıkla#n
305,"sağa sola #cfa7a0fekranı kaydıracak#naçını değiştir, öne bak"
306,"#cfa7a0fkaydır#n manevra kolunu harekaet ettir #cfa7a0fhareket eder#n, ileri yürümeyi dene"
307,#cfa7a0fkübu uzunca bas#n（okun işaret ettiği yön)，#cfa7a0fblokların kırılana kadar#n toplmaya devam et
308,"Mükemmel. Tüm bloklar kırılır ve elde edilir, ödülleri #cfa7a0fAlmak için#n tıkla"
309,Ağaçları bulmak için oku takip et. #cfa7a0fAğaç Bloğuna#n uzunca bas ve (Parmak yerde) #cfa7a0fodun#n elde et
310,Mükemmel. Balta kullanarak daha hızlı #cfa7a0fodun elde et#n
311,Şimdi#cfa7a0fçanta#n aç，#cfa7a0ftahta#n kullanarak bir #cfa7a0falet kutusunu#n sentezle
312,#cfa7a0fEtiket#n yapmak için tıkla
313,"#cfa7a0fAlet kutusu#n ile birçok gelişmiş öğeyi sentezler, günlük hayat ve maceralar için olmazsa olmaz bir şey"
314,Yeni sentezlenen olan #cfa7a0falet kutusunu#n #cfa7a0fKısayol Çubuğuna#n koy ve onu seç
315,#cfa7a0falet kutusunu#n yerleştirmek için yere tıkla
316,Alet kutusunu açmak için #cfa7a0ftıkla#n (Parmak yerde)
317,Eşya başarıyla yapıldı. Oyunda #cfa7a0ftahta kazma#n kullanarak birincil cevheri kazabilir
318,#cfa7a0fEkmeğe#n tıkla (Eşya Kısayol Çubuğuna koy). #cfa7a0fKullan butonu#n görünecektir
319,Ekmeği yemek için sağdaki #cfa7a0fkullan butonuna#n #cfa7a0fuzunca bas#n
320,#cfa7a0fKullan butonu#n sadece kısayol eşya çubuğunda kullanılabilen eşya seçildiğinde ortaya çıkar
321,"Yeni aldığımız #cfa7a0fmiğfer#n takımı giyelim, ilk önce çanta aç"
322,#cfa7a0fKarakter Ekipman#n etiketine tıkla
323,#cfa7a0fMiğfer#n takımına tıkla
324,#cfa7a0fMiğferin#n açıklama ve özellikleri çıktı. #cfa7a0fEkipman#n butonuna tıkla
325,Mükemmel. Çok kolay değil mi? Hadi #cfa7a0fcanavarları#n dövelim! Sayfayı kapatmak için sol üstdeki #cfa7a0f×#n tıkla
326,Dikkat! Canavar yaklaşıyor. #cfa7a0fEkranı sağa sola kaydırarak#n Saldırı için canavara karşı yüz yüze ol #cfa7a0ftıkla#n
327,Tebrikler! Acemi eğitimini tamamladın.\nİlerde birçok harika seni bekliyor. Yeni bir maceraya başla!
328,İsim:
329,Mevcut görev: #cfa7a0fOperasyonları kavra#n
330,Mevcut görev: #cfa7a0fOdun#n için ağaçları kes
331,Mevcut görev: #cfa7a0fAlet kutusu#n yap
332,Mevcut görev: #cfa7a0fOdun baltası#n yap
333,Mevcut görev: #cfa7a0fEkmek#n ye
334,Mevcut görev: Bir #cfa7a0fcanavar#n mağlup et
335,"Mevcut haritaya güncel geldi, lütfen son versiyonu yeniden indirin"
336,Yedek
337,Yedek
338,Yedek
339,Sistem bakımda! Harita paylaşılamıyor
340,Oyun başlatmak için gereken oyuncu sayısı yetersiz
341,@Null@
342,Dünyanın barışı için biz varız. Aile seviyesi 2'e ulaşılmadığında harita paylaşımı sadece kendine özel olarak seçilir
343,"Dünyanın barışı için biz varız. UID'in oluşturulma süresi 7 günü aşmadı, harita paylaşımı sadece kendine özel olarak seçilir"
344,"Mevcut harita izleme yetkisi sadece sende var, paylaşılmaz"
345,"Haritanın yaratıcısı indirme yetkisini serbest bırakmadı, indirilemez"
346,@Null@
347,@Null@
348,@Null@
349,Facebook
350,Aktif
351,İsim
352,Yazar
353,"Giriş başarısız, bazı fonksiyon kullanılamıyor"
354,"Güncelliyor, lütfen bekleyin"
355,Yedek
356,@Null@
357,Platformlar arasında oturum açılamıyor
358,İsimdeki semboller kurallalara aykırıdır
359,UID:
360,Şimdiki saat:
361,Mevcut sürüm:
362,Ücretsiz
363,(Olgun)
364,(1 tane elde et)
365,(10 tane elde et)
366,Bu arkadaşın evindesin
367,@Null@
368,Binek çağır
369,Ödüller depoya koyuldu
370,Yeniden aç
371,11 defa daha
372,Mini Fasulye
373,EXP
374,Karakter Becerisi:
375,@Null@
376,Yetersiz. Bahçe meyvelerinden elde edebilirsin
377,Yetersiz. Bahçe meyvelerinden elde edebilirsin
378,Sentez tarifi
379,Malzemenin orijini：
380,İlerleme durumunun kilidini açması
381,Onayla
382,Henüz Binek elde etme zamanıa gelmedi
383,Havai Fişek satın al (#c1b9e1e Mini Fasulye hediye#n)
384,Bu arkadaş bir bitki sahiplenmedi. Başkalarını dene
385,Mini Fasulyen yeterli değil
386,Sunucu meşgul. Lütfen oyunu yeniden başlat ve tekrar dene
387,Tümünü geri dönüştür
388,1 tane geri dönüştürüldü
389,Kilit açıldı
390,Bahçe sayfasından kilidini açabilirsiniz-Bahçem-Bahçe Meyvesi-El Kitabı. Parçalar etkinliklerden veya Bahçe Meyvelerinden elde edilebilir.
391,Burası bebek Bineği üretmek için uygun değildir!
392,Başarıyla bebek bineği elde edildi
393,Başarılı sulamasından. @1 EXP puan ve @2 Mini fasulye kazanıldı
394,Başarılı böcekleri yok etmesinden @1 EXP puan ve @2 Mini fasulye kazanıldı
395,Bahçe
396,Arkadaş eklemesi ile eve bakarsın
397,Lütfen arşive git ve ekranın sağındaki Binek butonuna tıkla ve kullanmaya başla
398,Bitkileriniz iyi hissediyor
399,Bahçe meyveleri kurallarını kontrol etmek için tıkla
400,Mini Fasulyeler:
401,Meyve:
402,Sulama:
403,Not: Bitkileri sahiplenenler mini fasulye ödülünü tekrar talep edemez~
404,Giriş yap ve bitkileri sulayarak arkadaşlarınıza yardım et. Meyve olgunlaştığı zaman mini fasulyeler elde etme şansı yakala. Bir bitkiyi ilk defa sahiplenmek #c0aaa1aMini fasulyeler x 200#n elde etmeni sağlar.
405,"Meyvelerin olgunlaşmasını bekle ya da minik fasulyelerle onları olgunlaştır. Olgunlaşmış meyveler kilidini açman için sana binek,karakter, giysi ve küp sağlar."
406,"Bitkileri sularsan daha hızlı büyür. Arkadaşlarına bitkilerini sulamada yardım ederek, minik fasulyeler ve büyüme puanları kazan."
407,Anladım
408,Parçaları göster
409,Ödül kazanmada günlük üst sınıra ulaşıldı.
410,Kullanışsız alet
411,Oda sahibi korunma kuralı kurdu. Ziyaretçiler oda sahibinde izin almalı.
412,Yetki sınırları
413,Serbest
414,Ziyaretçi
415,Bloklara zarar verilebilir ve yerleştirilebilir\n (Oyunda devre dışı bırakılabilir)
416,Bloklara zarar verilemez ve yerleştirilemez\n (oyun sırasında izin verilebilir)
417,Resim rehberi
418,Macera
419,Oluşturma
420,Savaş
421,Devre
422,Şifreyi çöz
423,Parkur
424,Harita boyutu:
425,İndirme sayısı:
426,"Oyununuz eski sürüm, lütfen güncelleyin"
427,Genel
428,Eğitime başla
429,"Usta, geç"
430,Devam
431,Devam et
432,Aktive et
433,Tekrar dene
434,İndirmeye devam et
435,Satın Al
436,Aktive et
437,Puanlar
438,Giriş Ödülü
439,Dünya arazi kodu girebilir
440,Başarıyla yorum yapıldı!
441,"Yakın dövüş savunması: @1, @2%tarafından alınan yakın dövüş ve patlama zararlarını azaltır"
442,Mevcut bonus yok
443,Aynı anda yeniden açılamaz
444,[Savunma noktası mevcut sağlamlık oranından etkilenir]
445,"[Fiziksel hasar, yakın dövüş/uzun vadeli vuruşu/patlamayı içerir]"
446,#c0aaa1a@1#n oyundan atmak istediğinden emin misin?
447,Onu odadan atmak ister misin?
448,Atma işlemi başarısız!
449,#cffda0a@1#n saniye içinde yeniden doğdu
450,Durumu göster
451,Oda sahibi bu eşyayı yasakladı
452,Başarıyla yıldız takası yapıldı
453,Jeton yetersiz. #cfa7a0f@2Mini jeton#n #c0aaa1a$@1 ile satın alıyor musun?#n
454,US$
455,tane Mini Jeton
456,Mini jeton yetersiz
457,US$
458,Satın alma başarılı Lütfen gülen yüz havai fişeklerini ve Mini Fasulyeleri kontrol et.
459,Alınan:
460,Onayla
461,Bilinmeyeni keşfet
462,Ne istersen onu oluştur
463,İleri Ayarlar
464,Ah. Saha macerası her zaman biraz tehlikeli...
465,Bilinmeyen yaratıklar
466,Hala #c0aaa1a@1 yıldıza ihtiyacın var#n. #cfa7a0fMini jeton*@2#n harcayarak eksiği tamamlamak istiyor musun?
467,Kullanmaktan emin misin?
468,Telafi eder mi?
469,Yıldız yetersiz
470,Canlanma
471,Tüm eşyaları bırakıp yeniden doğuş noktasında yeniden doğurtun.
472,Devam et
473,#c5aea0a1☆ Eşyaları kaybetmeden yerinde yeniden tasarlandı#n
474,Eşya koy
475,Ana eşyalar
476,İkincil eşyalar
477,Eritme
478,Büyüleme bu eşyayı@1 .seviyesine artıracaktır
479,Seviye
480,5’ten fazla nitelikler. Seçmek için büyüle butonuna tıkla
481,Bu eşya diğerleriyle çakışıyor
482,Seç
483,nitelikleri
484,@1 nitelik ertime sonrası tutulabilir. Lütfen seç:
485,nitelikler. Lütfen seç:
486,Lütfen tüm @1 niteliklerini seç
487,@1 adet @2 alındı
488,Adet
489,Eşyaları otomatik eritmeye koy
490,Lütfen önce eritilen eşyaları al
491,Tebrikler! Acemi eğitimini tamamladın
492,Çekin
493,Yeni
494,En yüksek seviye
495,Altın meyve vermeden sürekli 10 beraberlik yapamaz
496,Flamalar
497,Ejder Ölçeği Anıtı
498,Favoriyi iptal et
499,Başarıyla favorilere eklendi
500,@1 odadan çıkarıldı
501,Odadan çıkarıldı
502,Kez
503,Güncellenebilir
504,Bu arşivi indirdin
505,UID bilgisini gir
506,Oda sunucusuna bağlanmadı
507,Kaydedileni silmek için sağdaki düğmeye tıklayın
508,İndiriliyor:
509,İndirmenin başlaması için bekleyin
510,İndirme durduruldu
511,Son giriş
512,Giriş yapılmadı
513,Dün
514,Günler önce
515,Bu arşiv yüklenmesi iptal edildi
516,Giriş yapıldı
517,Harita için notlar girin
518,Dünya Keşfi
519,Dünyanın Yaratılışı
520,Giriş
521,Takibi bırak
522,Arkadaşlarla paylaşılan harita
523,Bu haritayı paylaştıktan sonra kazanç
524,Varsayılan
525,Hesap mevcut değil
526,Hesap donduruldu
527,Aynı hesap adı mevcut
528,Sürüm No.
529,Oluşturma
530,Kalmak
531,Süre:
532,Koordinat:
533,Rakım:
534,Yükleniyor
535,Elde et
536,(Yeteri kadar elde edildi)
537,(Satıldı)
538,Satış
539,Takas
540,Tüm eşyaları aldım. Lütfen yenile
541,Tüm eşyaları sattım. Lütfen yenile
542,Başarılı
543,Değişim
544,Takas yapmak için yeterince eşyan yok
545,Satın alma başarılı
546,Tüm eşyalar yenilendi. Lütfen seçin
547,Yenile
548,Tüketim
549,Raf
550,İhtiyaç
551,Görev takibi
552,@1 başarıyla onarıldı!
553,Lütfen onarılması gereken eşyaları koyun
554,Lütfen onarım eşyalarını koyun
555,Yeterli yıldız yok
556,Onarıma gerek yok
557,Sağlamlık:
558,saat
559,saniye
560,Yumurtlama soğuma süresi
561,Bineğin uyuyor. Çağırmak için @1 saniye daha bekle
562,Sürüm düşük
563,Arşivin yok. Bu yüzden oda oluşturamazsın
564,Favorilere oda eklemedin
565,Limite ulaştı. Lütfen yenile
566,Oda dolu
567,Yanlış oda şifresi
568,Oda sahibi tarafından kapatıldı
569,Daha fazla oda yok
570,Mevcut ağ
571,Son sürüm
572,İstemci sürümü odası sürümü eşleşmiyor
573,Odaya bağlanılmadı
574,Oda sahibinin UID bilgisini gir
575,Oyun oluşturmak için tıkla
576,Şu anda oyun yok
577,Arama sonuçları
578,Yenile
579,Lütfen oda açmak için arşivini seç
580,Girilebilen etiketler
581,Oda şifresi
582,Lütfen oda şifresini girin
583,Karakter oluşturma başarısız. Lütfen ağı kontrol edin
584,Temel Ayarlar
585,Kontrol Ayarlar
586,Gelişmiş Ayarlar
587,Temel
588,Kontrol
589,Gelişmiş
590,İsim
591,Parlaklık
592,Gizli arayüz
593,Barış modu
594,Müzik
595,Ses efekti
596,Ses
597,Hassaslık
598,Ters Y ekseni
599,Sol el modu
600,Çapraz modu
601,Otomatik Atlama
602,Titreşim anahtarı
603,Daha fazla oyun
604,Satın alma başarılı
605,Bu @1 Bineği için daha fazla #c0aaa1a@2×@3 gerekiyor. Telafi etmek için #cfa7a0fMini jeton#n kullanılır
606,Bu binek için gereken
607,Ayrıca kullanabileceğin
608,Telafi etmek
609,Yetersiz
610,"Gidip ve mini jetonu satın alır mısın? (ölçülü eğlence, rasyonel tüketim)"
611,Kalıcı
612,Zaman-sınırlı teklif: #cfa7a0f@1#n gün #cfa7a0f@2#n saat #cfa7a0f@3#n dakika kaldı
613,Satın alma işlemi başarısız. Lütfen ağı kontrol edin
614,İptal Et
615,@1 başarıyla kullanıldı
616,Beceriler
617,Güncelleme
618,Kurmak
619,Yeteneği yükselt
620,Kullanıldı
621,"Bu beceriyi aktive etmek için diğer #c0aaa1a @1×@2#n gerekmektedir. #cfa7a0f@2Mini jeton#n kullanarak eksik tamamlanır. (ölçülü eğence, rasyonel tüketim)"
622,"Bu beceriyi yükseltmek için daha fazla #c0aaa1a@1×@2#n gerekiyor. Telafi etmek için #cfa7a0f@2Mini jeton#n kullanılır (ölçülü eğlence, rasyonel tüketim)"
623,Hala ihtiyaç var
624,Zaman sınırlı: #cfa7a0f@1#n gün #cfa7a0f@2#n hous #cfa7a0f@3#n dakika kaldı
625,Bu rolun kilidini açmak için diğer #c0aaa1a@1×@2#n gerekir. Ayrıca #cfa7a0f@2Mini jeton#n harcayarak eksikleri tamamlayabilirsin.
626,İndirim
627,Satın alma başarılı
628,Çantadan #cfa7a0f@1×1#n çekmek istediğinden emin misin?
629,Güncelleme gerekli
630,Tebrikler!@1 kilidi açtın
631,"Ağ hatası, yükleme yapılmaz"
632,Yeni bineğin kilidini aç:
633,Binek Güncelleme:
634,(Kalıcı)
635,@1 Görünüm @2 gün için kullanılabilir!
636,Güncelleme gerekli
637,Aktif Edildi
638,Kilidini aç
639,Satın al
640,Yerleştir
641,Depola
642,Çek
643,Çıkar
644,Varsayılan ad
645,Kilidini açmak için yeterli parça yok
646,Detayları markette incele
