ID,任务名,任务描述,任务追踪
1003007,Metal smelting: Brass,Use fuel to smelt @item_451# in @item_802# to refine @item_11329#@1#r (@item_11329# is a very basic metal with a wide range of uses. It can be used to upgrade tools to improve efficiency),Smelt to get @item_11329#@1
1003008,Daha kullanışlı araçlar,@item_11011#@1#r işlemek için@item_11329# ve@item_11006# kullanın (işlerken@item_800# kullanmanız gerekir.@item_11011# ile madencilik hızı aynı olamaz!),İşleme@item_11011#@1
1003009,Vahşi doğada hayatta kalmanın ilk dersi,"""Yeni Kaşif"" hedefindeki tüm görevleri tamamlayın. #r (Vahşi doğada hayatta kalmanın en temel yolunu öğrendim, birbirinden çıkarımlar yapma zamanı. Boşluğun hayaletinin hileleri paramparça olmadı, bu yüzden daha çok çalış!)",Yeni Gezgin hedefindeki tüm görevleri tamamlayın
1004001,Çiftçiliğin başlangıcı,@item_11627# ve@item_11006# kullanarak@item_11032#@1#r (onunla tarım arazisi yetiştirebilirsiniz),İşleme@item_11032#@1
1004002,Ekilebilir arazi yetiştiriciliği,"El tipi@item_11032 # ekili arazi yapmak için@item_100 # veya@item_101 # kullanın@1 #r (PC ucu kare ile hizalanır ve uzun süre sağ düğmeye basın, mobil uç ekili araziyi yetiştirmek için kareye uzun basın)",El@item_11032 # Yetiştirme@1
1004003,Tahıl Kral,Sow@item_11400 # on@item_102 #@1 #r (@item_11400 # tutun ve dikmek için@item_102 # tıklayın),Ekim@item_11400 #@1
1004004,döllenme,"Bitkilerde@item_11311 #@1 kullanmak #r (@item_11311 # çoğu bitkinin büyümesini hızlandırabilir, ancak her gübreleme başarılı olamaz...)",Mahsullerde@item_11311 #@1 kullanın
1004005,Harika hasat!,Hasat ripe@item_229 #@1 #r (ilk hasat her zaman unutulmaz),Hasat@item_229 #@1
1004006,The first step to be a chef,"Use @item_104# to craft @item_200108#@1#r (@item_800# will be needed when crafting. You can also ignite the bonfire with @item_298#, remember? Place @item_200108# on the @item_1200# you ignited to make more delicious food)",Craft @item_200108#@1
1004007,Hammadde hazırlayın,@item_229 # işlemek için@item_344 #@1 #r kullanın (işlemenin@item_800 # kullanması gerekir.@item_344 # birçok yemeğin temel hammaddesidir),İşleme@item_344 #@1
1004008,Delicious Dish,Cook @item_12502#@1#r (Use @item_344# in @item_200108# and wait for the delicious dish to be prepared),Cook @item_12502#@1 in @item_200108#
1004009,ziyafet,@item_12502 #@1 #r yiyin (Sadece dolu olduğunuzda çok çalışabilirsiniz!),Yemek@item_12502 #@1
1004010,Sırt çantası tutamıyor!,@item_11323# ve@item_11006# kullanarak@item_1180#@1#r (sırt çantasına sığmayan ürünler saklama kutusunda saklanabilir),İşleme@item_1180#@1
1004011,Güçlü düşmanlara karşı savun,"@item_11323# ve@item_11006# 'yı@item_812# işlemek ve@1#r yerleştirmek için kullanın (Ev kapıya kurulduktan sonra, yalnızca girişi ve çıkışı kolaylaştırmakla kalmaz, aynı zamanda canavarların eve girmesini de önleyebilir. Ancak dikkatli olun,@item_812# vahşiler tarafından yok edilebilir!)",Süreç ve yer@item_812#@1
1004012,tahkimatlar,@item_821 # işlemek için@item_11323 # kullanın ve@1 #r yerleştirin (basılı tutun@item_821 # önceden yerleştirilmiş nokta@item_821 # bağlanabilir),Süreç ve yer@item_821 #@1
1004013,Şehir savunma giriş ve çıkışı,"@item_11323#,@item_11006# ve@item_11227# 'yi@item_535# işlemek ve@1#r yerleştirmek için kullanın (@item_535# tahta kazıklarla bağlanabilir, böylece canavarlar kalenize istediği gibi giremez)",Süreç ve yer@item_535#@1
1004014,Gizemli taş heykel,"@item_104 # işlemek için@item_596 # kullanın ve@1 #r yerleştirin (garip taş heykelin sadece ona bakarken garip bir hissi var, dokunduğunda bir şey olabilir)",Süreç ve yer@item_596 #@1
1004015,"İşte, baştan başla","@item_596 # 1 'e yıldız verin #r (@item_596 #' ya tıklayın ve ""Bir yıldız ver"" i seçin, Ramey vahşi doğada bir kaza durumunda sizi buraya geri götürebilir)",@item_596 #@1 'e yıldız verin
1004016,Vahşi Ders 2 'de Hayatta Kalma,"""Sonsuz Öğrenme"" hedefindeki tüm görevleri tamamlayın. #r (Hayatta kalma hakkında daha fazla şey öğrendim, daha ileri gitme zamanı.)","""Sonsuz Öğrenme"" hedefindeki tüm görevleri tamamlayın"
1004017,Doğal Işık Kaynağı,"@item_905# veya @item_907#@1#r'yi @item_837# ile (kalıcı bir doğal ışık kaynağı, belki de sönebilen meşalelerin yerine) oluşturun",Craft @item_905# veya @item_907#@1
1005001,Sert cilt,"@item_11307 #@1 #r almak için avlayın (@item_11307 # almak için wover canavarını veya tilkiyi yenmeniz gerekir, dikkatlice bakmalısınız)",Al@item_11307 #@1
1005002,Pirinç dişli!,"@item_12216 #@1 gibi herhangi bir pirinç ekipmanı işleyin ve giyin #r (pirinç ekipmanı değiştirildikten sonra dayağa karşı daha dayanıklıdır, haha!)",Herhangi bir pirinç dişliyi işleyin ve giyin@1
1005003,Sharper Weapon,"Use @item_11329# and @item_11323# to craft @item_12004#@1#r (With @item_12004#, your combat ability will increase significantly)",Craft @item_12004#@1
1005004,Bir hırsız yakala,"@item_11911 #@1 almak için Void Apostles 'ı yenin #r (Void Phantom, yaratılışın gücünü çalmak için bu Havari grubuna güveniyor, durdurulmaları gerekiyor!)",@item_11911 #@1 almak için Void Apostle 'ı yenin
1005005,Zanaatkar masasını yükseltin!,"@item_800 # to@item_797 #@1 #r yükseltin (el tipi@item_11911 # yükseltmek için yerleştirilen@item_800 # 'e tıklayın,@item_797 # tüm işleme tariflerini doğrudan görebilir)",El@item_11911 # Tıkla@item_800 #
1005006,yepyeni,"@1 #r bir alet veya ekipman onarımı yapın (@item_797 # veya@item_800 # kullanın, sayfayı açmak için zanaatkar masasına tıklayın, soldaki ""Prop Repair"" i seçin ve içinde tamir edilmesi gereken öğeleri koyun.)",Bir alet veya ekipman onarımı gerçekleştirin@1
1005007,Eritme verimliliğini artırın,"@item_799##r@item_11329# ile işlenir (daha gelişmiş bir eritme tablasıyla değiştirildikten sonra, aynı anda birden fazla mineral grubu eritilebilir ve verimlilik iki katına çıkarılır)",İşleme@item_799#@1
1005008,Daha güvenilir mineraller,"@item_401 #@1 #r toplayın (@item_401 #,@item_451 # 'den daha zordur ve mineral dağılımı daha derindir. Bulmak için yere birkaç kat daha kazmanız gerekir, ancak çok derin kazmayın)",Yakalama@item_401 #@1
1005009,Metal eritme: Mithril,Eritme@item_11209 #@1 #r elde etti (@item_11209 # ile daha dayanıklı aletler ve ekipmanlar işlenebilir ve daha fazla blok işlenebilir. Daha fazla rezerve edilmesi önerilir.),Eritme elde edildi@item_11209 #@1
1005010,Mithril Aracı!,@item_11013 #@1 #r (@item_11013 # mayınlar@item_11011 # 'den çok daha hızlı ve daha verimli yetenekler için rune mozaikleri kullanabilir),İşleme@item_11013 #@1
1005011,Doğanın gücü,"@item_785 #@1 #r (Rünlerle kakmalı aletler, silahlar veya ekipman vermek için@item_785 # kullanın, birçok rün taşı türü vardır, yeraltında keşfedin.)",İşleme@item_785 #@1
1005012,Rünlerin gücünü harekete geçirin,"Bir rün mozaiği yapın #r (sayfayı açmak için@item_785 # 'a tıklayın, soldaki araçlar ve rün taşları arasında özgürce seçim yapabilirsiniz. Birkaç kez daha deneyin, rün mozaiği her seferinde başarılı olmayacak. Ancak, mithril' in gücüne dikkat edin veya daha fazla Araç rünleri kakabilir)",Rün mozaiği için@item_785 # kullanın
1005013,Daha ileri git!,"""Nitelikli Kaşif"" hedefindeki tüm görevleri tamamlayın. #r (Zaten kendi başınasın, kendini güçlendirmeye devam et ve boşluğun hayaletini yen!)","""Yetenekli Kaşif"" hedefindeki tüm görevleri tamamlayın"
1006001,Geçmişin parçaları,"@item_11205 #@1 elde etmek için yeraltında@item_598 toplayın #r (@item_11331 #@item_11205 # 'ten oluşur, çok sayıda@item_598 # uzun zaman önce Mira' nın derinliklerine gömülmüştür)",Yeraltı toplama@item_598 #@1
1006002,Starlink Enerjisi,"@item_11331 #@1 #r işlemek için@item_11205 # kullanın (adından da anlaşılacağı gibi,@item_11331 # yıldız istasyonunun güç kaynağı için anahtar pervanedir)",İşleme@item_11331 #@1
1006003,Gökyüzündeki ada mı?!,"Myra 'daki adaya ekolojik #r adım atın (Myra' daki inanılmaz ekoloji, yüzey süspansiyondan gökyüzüne doğru ayrılır, ancak çok istikrarlı bir durumda korunur)",Boş bir adanın ekolojisine adım atın
1006004,Yabancı ticareti,"Boş bir ada tüccarından satın alındı@item_11334 #@1 #r (Angelo halkının evrenin her yerinde hazine toplama alışkanlığı vardır ve aynı zamanda çok yüksekler gibi, onları boş adada bulabilmeleri gerekir. Çok fazla olmalı@item_11334 #)",Sky Merchant 'dan satın alındı@item_11334 #@1
1006005,Montaj tamamlandı!,"@item_11335 #@1 #r (Myra 'daki yıldız istasyonları temel olarak boşluk tarafından yok edilir, aktivasyondan sonra bile, yalnızca gezegen içinde iletilebilirler ve ışınlanma modülünü geri yüklemek için@item_11335 # kullanmaları gerekir)",İşleme@item_11335 #@1
1006006,Restorasyon Yıldız İstasyonu,"@item_11331 # tıklayın@item_594 #@1 yeniden etkinleştirmek için #r (aktivasyondan sonra, yıldız istasyonu yıldız bağlantı ağına yeniden bağlanabilir, daha fazla yıldız istasyonunu etkinleştirdiğiniz sürece yolculuk çok daha kolay olacaktır)",@item_11331 # kullanarak@item_594 #@1 'i tıklayın
1006007,Yıldız istasyonunu yükseltin,Yükseltmek için@item_11335 # tıklayın@item_595 #@1 kullanın #r (komşu gezegenler arasında aktarmak için@item_597 # 'a yükseltin),@item_11335 # kullanın@item_595 # tıklayın
1006008,Gezegen yolculuğunda büyük bir adım,"""Starlink Mühendisi"" hedefindeki tüm görevleri tamamlayın. #r (Yıldız istasyonunu onardıktan sonra alev yıldızına ve sevimli göz yıldızına gidebilirsiniz ve boşluğun hayaletini yenmeye bir adım daha yaklaşırsınız.)","""Starlink Mühendisi"" hedefindeki tüm görevleri tamamlayın"
1007001,Yağmur ormanlarına adım atın,Myra 'daki yağmur ormanı ekolojik #r adım atın (Myra' daki yağmur ormanı ağaçları uzun ve çok yoğun ve tehlikelerle dolu. Yağmur ormanlarındaki gök gürültülü fırtınalarda dışarı çıkmamak en iyisidir ve şimşek çarpması şaka değil!),Yağmur ormanı ekolojisine adım atın
1007002,Yağmur Ormanının Çekirdeği,"@item_396 # get@item_11601 #@1 #r yok edin (bazı kristaller bazen yağmur ormanı ağaçlarının gövdesinde çökelir, sakinleşmeniz ve onları dikkatlice aramanız gerekir)",Al@item_11601 #@1
1007003,Antik Anahtar,"@item_11601 # ve@item_11329 # ile işlenerek@item_11597 #@1 elde edildi #r (@item_11597 #, eski Mira halkının diliyle oyulmuş ve ""Yağmur Ormanı Tapınağı"" açma yöntemini kaydetmiştir)",İşleme almak@item_11597 #@1
1007004,Yağmur ormanı Tapınağı!,"Yağmur ormanlarında@item_578 # bulduktan sonra, yağmur ormanı tapınağını etkinleştirmek ve çağırmak için@item_11597 # tıklayın #r (Tüy Yılan Tanrısı içeride!)",Yağmur ormanı tapınağını çağırın
1007005,Tüylü Yılan,"Tüylü Yılan Tanrısını Yenmek #r (Tüylü Yılan Tanrısının doğuşu bir kazadan kaynaklanmıştır. ""Kutsal Meyve"" vücudunun derinliklerinde gizlidir ve bilinmeyen sayıda yıl geçirmiştir...)",Tüylü Yılanı Yenmek
1007006,Kutsal Tohum,"@item_591 #@1 #r edinin (""Kutsal Meyve"" de biriktirilen mühür anahtarı, genetik yoluyla nesilden nesile aktarılır...)",Al@item_591 #@1
1007007,hayatın mucizesi,"Bitki@item_591 # çukura ve kutsal ağacı@1 #r (kutsal ağaç diğer bitkilerden farklıdır, büyümesini hızlandırmak için@item_11311 # kullanamaz, sadece yavaş yavaş bekleyebilir)",Bitki@item_591 #@1
1007008,"""Hayatı"" simgeleyen anahtar",Kutsal Ağacın yüksekliğinde toplayın ve@item_587 #@1 #r alın (Kutsal Ağaç bulutların üzerinde yükselir ve meyve yükseklikte gövdenin içinde büyür. Toplama işlemi çok tehlikelidir ve özen gerektirir),Al@item_587 #@1
1007009,Kanatlarını aç ve uç,İşleyin ve giyin@item_11591 #@1 #r (Feather Snake God 'ın kanatları ve tüyleri çok güçlü ama alışılmadık derecede hafif ve sırtınızda@item_11591 # taşıyarak süzülebilirsiniz),İşleme ve giyme@item_11591 #@1
1007010,Köpüklü yapraklar,"@item_11596 #@1 almak için geceleri yağmur ormanlarında parlayan ağaç yaprakları toplayın #r (unutmayın, gündüz olduğunda, yapraklardaki yıldız ışığı tozu dağılır)",Al@item_11596 #@1
1007011,Büyücülük?,"@item_11569 #@1 #r (gömülü spar yoksa, sadece tahta bir çubuktur)",İşleme@item_11569 #@1
1007012,Büyücülük!!!,@item_11580 ##r gibi herhangi bir personel@1 'i işleyin (birkaç spar türü vardır ve vahşi rahipler çeşitli yeteneklere sahip olmak için bu spar' a güvenir),Herhangi bir personeli işleyin@1
1007013,"Perde çağrısı! ""Hayatın Bölümü""","""Yağmur Ormanında Kayıp"" hedefindeki tüm görevleri tamamlayın","""Yağmur Ormanında Kayıp"" hedefindeki tüm görevleri tamamlayın"
1008001,Alevli yıldıza gel,"Alev yıldızına ulaşmak için yıldız istasyonuna gidin #r (alev yıldızı galaksideki yıldıza en yakın gezegendir, yüzey sıcaklığı son derece yüksektir ve neredeyse lavla kaplıdır. Alev yıldızına gitmeden önce iyi hazırlanmalısınız)",Alev yıldızına sorunsuz bir şekilde ulaşmak için yıldız istasyonuna gidin
1008002,Kara Ejderha Denemesi I,"Kadim kara ejderhayı yenin! #r (Kara ejderha, alevli kırık kılıcı bilinmeyen sayıda yıldır koruyor, ancak ""eski"" ile yaptığı anlaşmayı unutmadı. ""Alevli kırık kılıcı"" almak istiyorsanız, önce onu geçmelisiniz. Gücünüzü kara ejderhaya kanıtlamak için deneme!)",Eski kara ejderhayı yenin
1008003,"""Cesareti"" temsil eden anahtar","@item_588 ##r elde edin (Alev Kırık Kılıç mühür anahtarlarından birini sakladı, yanardağ mührünü kaldırmak esastır)",@item_588 # alın
1008004,Zorluk arttı!,"Süreç@item_11215#, etkinleştirin@item_740#, lav kara ejderhayı çağırın",Lava Ejderhasını çağırın
1008005,Kara Ejderha Denemesi II,"Lav kara ejderhasını yen! #r (Kara ejderha, ikinci denemeye başlamak, onu yenmek ve güçlenmek için lav formuna enkarne olur!)",Lava Dragon 'u yenin!
1008006,Zorluk dolu!,"Süreç@item_11216#,@item_741# 'i etkinleştirin, Kaos Kara Ejderhayı çağırın",Kaos Kara Ejderhayı Çağırın
1008007,Kara Ejderha Denemesi ∞,"Kaotik kara ejderhayı yenin! #r (Kara ejderha, en zor test olan ve yeterli hazırlık gerektiren üçüncü seviye denemeyi açmak için kaotik bir forma enkarne oldu.)",Kaos Kara Ejderhayı yenin!
1008008,Yan yengeç kabukları elde edin,"Yanyan Yengeç 'i yenin ve@item_12605 #@1 #r alın (Yanyan Yengeç alev yıldızının bu kadar yüksek bir sıcaklığında hayatta kalabilir ve hatta magmada yüzebilir, vücudundaki bu büyülü kabuktan ayrılamaz)",Al@item_12605 #@1
1008009,Yanmaz sırt çantası ile donatılmış,İşleyin ve giyin@item_12277 #@1 #r (@item_12277 # ile alev yıldızının ısısına dayanabilirsiniz),İşleme ve giyme@item_12277 #@1
1008010,"Perde çağrısı! ""Cesaret Bölümü""","""Eski Deneme"" hedefindeki tüm görevleri tamamlayın","""Eski Deneme"" hedefindeki tüm görevleri tamamlayın"
1009001,Sevimli Göz 'e varış,Sevimli göz yıldızına ulaşmak için yıldız istasyonuna gidin #r (sevimli göz yıldızı Myra 'nın tek uydusudur ve çekici güç Myra' nınkinden çok daha küçüktür. Bu gezegende yaşayan bir grup benzersiz görünümlü yerli yaratıkla iletişim kurmak biraz zor görünüyor...),Sevimli göz yıldızına sorunsuz bir şekilde ulaşmak için yıldız istasyonuna binin
1009002,Boşluk erozyonunu dağıtın,"Eski devlerin boşluğun erozyonundan kurtulmasına yardım edin #r (eski devler boşluk tarafından çok derinden aşınır ve kurtarılamaz, tek yol onları yok etmektir. Sunağı #r ,@item_408 # 'i@item_1042 #' nin yanına koy,@item_409 #,@item_449 #,@item_450 # çağırmak için eski devler)",Eski devlerin boşluğun erozyonundan kaçmasına yardım edin
1009003,"""Bilgeliği"" temsil eden anahtar","@item_589 #@1 #r elde edildi (@item_589 #, Ateş Dağı Mührünün üç anahtarından birini saklayan eski Myra halkı için yapay yaşam alanında büyük bir atılımdı)",Al@item_589 #@1
1009004,"""Ding Ding Maceraları""","Sevimli gözlü ding 'i yenin ve@item_11077 #@1 #r alın (sevimli gözlü yaratıkları ayırt etmenin yolu renklerine bakmaktır, ""sevimli gözlü ding"" in rengi beyazdır, çok korkutucu, ama tükürdükleri bombalara dikkat edin)",Al@item_11077 #@1
1009005,Xingqi taşı,@item_11075 #@1 #r almak için@item_11077 # kullanın (@item_11075 # 'den önce sevimli göz yıldızında@item_11090 # bulmanız gerekir),İşleme@item_11075 #@1
1009006,Sevimli göz yıldızı totemini etkinleştirin,@item_1042 #@1 'i etkinleştirmek için@item_11075 # kullanın #r (aktivasyondan sonra geniş bir oksijen alanı oluşturulabilir ve oksijen bölgesindeki hipoksi hakkında endişelenmenize gerek yoktur),Etkinleştir@item_1042 #@1
1009007,Xingtong cevheri,"@item_445 # get@item_11073 #@1 #r toplayın (@item_445 # sevimli göz yıldızının benzersiz minerallerinden biridir, doku pirinçten çok daha serttir)",Capture@item_445 # Get@item_11073 #@1
1009008,Yıldız öğrenci tatbikatı,@item_11016 #@1 #r (@item_11016 # işlemek istiyorsanız önce@item_11087 # almalısınız),İşleme@item_11016 #
1009009,Mor cevher,"@item_446 # elde etmek için@item_11074 #@1 #r (@item_446 # aynı zamanda Mengyan Star 'ın eşsiz minerallerinden biridir, ancak verim son derece düşüktür, sadece Mengyan Star Sky Island' da nadiren bulunur)",Yakalama@item_446 # Get@item_11074 #@1
1009010,Gökyüzüne uç ve kaç!,@item_12006 #@1 #r (@item_12006 # işlemek istiyorsanız önce@item_11088 # almalısınız),İşleme@item_12006 #@1
1009011,"Perde çağrısı! ""Bilgelik Bölümü""","""Super 'Stone' Sky Rescue"" hedefindeki tüm görevleri tamamlayın","""Super 'Stone' Sky Rescue"" hedefindeki tüm görevleri tamamlayın"
2001001,Taş Balta I,@item_11002#@1#r (çoğunlukla sarf malzemelerinden işlenir@item_11006# ve@item_11627#),İşleme@item_11002#@1
2001002,Taş Balta II,@item_11002#@1#r (çoğunlukla sarf malzemelerinden işlenir@item_11006# ve@item_11627#),İşleme@item_11002#@1
2001003,Pirinç Balta I,@item_11001#@1#r (çoğunlukla sarf malzemelerinden işlenir@item_11006# ve@item_11329#),İşleme@item_11001#@1
2001004,Pirinç Balta II,@item_11001#@1#r (çoğunlukla sarf malzemelerinden işlenir@item_11006# ve@item_11329#),İşleme@item_11001#@1
2001005,Mithril Axe I,@item_11003#@1#r (çoğunlukla sarf malzemelerinden işlenir@item_11006# ve@item_11209#),İşleme@item_11003#@1
2001006,Mithril Axe II,@item_11003#@1#r (çoğunlukla sarf malzemelerinden işlenir@item_11006# ve@item_11209#),İşleme@item_11003#@1
2001007,Titanyum Balta I,@item_11004#@1#r (çoğunlukla sarf malzemelerinden işlenir@item_11006# ve@item_11330#),İşleme@item_11004#@1
2001008,Titanyum Balta II,@item_11004#@1#r (çoğunlukla sarf malzemelerinden işlenir@item_11006# ve@item_11330#),İşleme@item_11004#@1
2001009,Chainsaw Ⅰ,Craft @item_11005#@1#r (Crafted by consuming @item_11203# and @item_11911# mainly),Craft @item_11005#@1
2001010,Chainsaw Ⅱ,Craft @item_11005#@1#r (Crafted by consuming @item_11203# and @item_11911# mainly),Craft @item_11005#@1
2001011,Taş Kürek I,@item_11022#@1#r (esas olarak sarf malzemelerinden işlenir@item_11006# ve@item_11627#),İşleme@item_11022#@1
2001012,Taş Kürek II,@item_11022#@1#r (esas olarak sarf malzemelerinden işlenir@item_11006# ve@item_11627#),İşleme@item_11022#@1
2001013,Pirinç kürek I,@item_11021#@1#r (esas olarak sarf malzemelerinden işlenir@item_11006# ve@item_11329#),İşleme@item_11021#@1
2001014,Pirinç kürek Ⅱ,@item_11021#@1#r (esas olarak sarf malzemelerinden işlenir@item_11006# ve@item_11329#),İşleme@item_11021#@1
2001015,Mithril kürek I,@item_11023#@1#r (çoğunlukla sarf malzemelerinden işlenir@item_11006# ve@item_11209#),İşleme@item_11023#@1
2001016,Mithril Kürek II,@item_11023#@1#r (çoğunlukla sarf malzemelerinden işlenir@item_11006# ve@item_11209#),İşleme@item_11023#@1
2001017,Titanyum alaşımlı kürek I,@item_11024#@1#r (esas olarak sarf malzemelerinden işlenir@item_11006# ve@item_11330#),İşleme@item_11024#@1
2001018,Titanyum alaşımlı kürek Ⅱ,@item_11024#@1#r (esas olarak sarf malzemelerinden işlenir@item_11006# ve@item_11330#),İşleme@item_11024#@1
2001019,Tungsten Shovel Ⅰ,Craft @item_11025#@1#r (Crafted by consuming @item_11203# and @item_11911# mainly),Craft @item_11025#@1
2001020,Tungsten Shovel Ⅱ,Craft @item_11025#@1#r (Crafted by consuming @item_11203# and @item_11911# mainly),Craft @item_11025#@1
2001021,Taş Tırmık I,@item_11032#@1#r (çoğunlukla sarf malzemelerinden işlenir@item_11006# ve@item_11627#),İşleme@item_11032#@1
2001022,Taş Tırmık II,@item_11032#@1#r (çoğunlukla sarf malzemelerinden işlenir@item_11006# ve@item_11627#),İşleme@item_11032#@1
2001023,Pirinç tırmık I,@item_11031#@1#r (esas olarak sarf malzemelerinden işlenir@item_11006# ve@item_11329#),İşleme@item_11031#@1
2001024,Pirinç Tırmık II,@item_11031#@1#r (esas olarak sarf malzemelerinden işlenir@item_11006# ve@item_11329#),İşleme@item_11031#@1
2001025,Mithril Rake I,@item_11033#@1#r (çoğunlukla sarf malzemelerinden işlenir@item_11006# ve@item_11209#),İşleme@item_11033#@1
