iD,土耳其语,土耳其语
13,Güçlü atış,Yayın saldırı zararı 125% artar.
14,Sınırsız atış,Ok olmadan ateş etmek için bir yay yapılabilir. Her ateşte başka bir 1 sağlamlık tüketilir.
14,Sınırsız atış,Ok olmadan ateş etmek için bir yay yapılabilir. Her ateşte başka bir 2 sağlamlık tüketilir.
14,Sınırsız atış,Ok olmadan ateş etmek için bir yay yapılabilir. Her ateşte başka bir 3 sağlamlık tüketilir.
14,Sınırsız atış,Ok olmadan ateş etmek için bir yay yapılabilir. Her ateşte başka bir 4 sağlamlık tüketilir.
14,Sınırsız atış,Ok olmadan ateş etmek için bir yay yapılabilir. Her ateşte başka bir 5 sağlamlık tüketilir.
15,Dayanıklılık,Eşyaların dayanıklığı 40% artar
15,Dayanıklılık,Eşyaların dayanıklığı 80% artar
15,Dayanıklılık,Eşyaların dayanıklığı 160% artar
15,Dayanıklılık,Eşyaların dayanıklığı 240% artar
15,Dayanıklılık,Eşyaların dayanıklığı 320% artar
16,Yakın dövüş koruması,Yakın dövüş direnci +1
16,Yakın dövüş koruması,Yakın dövüş direnci +3
16,Yakın dövüş koruması,Yakın dövüş direnci +5
16,Yakın dövüş koruması,Yakın dövüş direnci +9
16,Yakın dövüş koruması,Yakın dövüş direnci +15
17,Uzun menzilli direnç,Menzil direnci +1
17,Uzun menzilli direnç,Menzil direnci +3
17,Uzun menzilli direnç,Menzil direnci +5
17,Uzun menzilli direnç,Menzil direnci +9
17,Uzun menzilli direnç,Menzil direnci +15
18,Patlama koruması,Patlama direnişi +1
18,Patlama koruması,Patlama direnişi +3
18,Patlama koruması,Patlama direnişi +5
18,Patlama koruması,Patlama direnişi +9
18,Patlama koruması,Patlama direnişi +15
19,Yanma koruması,Alev direnişi +1
19,Yanma koruması,Alev direnişi +3
19,Yanma koruması,Alev direnişi +5
19,Yanma koruması,Alev direnişi +9
19,Yanma koruması,Alev direnişi +15
20,Zehir koruması,Zehir direnişi +1
20,Zehir koruması,Zehir direnişi +3
20,Zehir koruması,Zehir direnişi +5
20,Zehir koruması,Zehir direnişi +9
20,Zehir koruması,Zehir direnişi +15
21,Kaos koruması,Kaos direnişi +1
21,Kaos koruması,Kaos direnişi +3
21,Kaos koruması,Kaos direnişi +5
21,Kaos koruması,Kaos direnişi +9
21,Kaos koruması,Kaos direnişi +15
22,Karşı atak,"Yakın dövüş tarafından saldırıya uğradığında, saldırgana 5 hasar vermek için %50 şans vardır."
22,Karşı atak,"Yakın dövüş tarafından saldırıya uğradığında, saldırgana 10 hasar vermek için %50 şans vardır."
22,Karşı atak,"Yakın dövüş tarafından saldırıya uğradığında, saldırgana 15 hasar vermek için %50 şans vardır."
22,Karşı atak,"Yakın dövüş tarafından saldırıya uğradığında, saldırgana 20 hasar vermek için %50 şans vardır."
22,Karşı atak,"Yakın dövüş tarafından saldırıya uğradığında, saldırgana 25 hasar vermek için %50 şans vardır."
23,Defetme direnci,"Saldırıya uğradığında, geri tepmede 1 kare azalt"
23,Defetme direnci,"Saldırıya uğradığında, geri tepmede 2 kare azalt"
23,Defetme direnci,"Saldırıya uğradığında, geri tepmede 3 kare azalt"
23,Defetme direnci,"Saldırıya uğradığında, geri tepmeyi 4 kare azalt"
23,Defetme direnci,"Saldırıya uğradığında, geri tepmeyi 5 kare azalt"
24,Hassas toplama,Bloklar topladığında bloğun kendisi düşer.
25,Hız,Toplama hızı 30% artar
25,Hız,Toplama hızı 70% artar
25,Hız,Toplama hızı 120% artar
25,Hız,Toplama hızı 180% artar
25,Hız,Toplama hızı 250% artar
26,Şanslı kazma,"Kazma: Mineral toplarken, %16 oranında düşüşün iki katını alma şansı vardır."
26,Şanslı kazma,"Kazma: Mineral toplarken, %16/8 oranında düşüşün iki/üç/katını alma şansı vardır."
26,Şanslı kazma,"Kazma: Mineral toplarken, %20/10/4 oranında düşüşün iki/üç/dört katını alma şansı vardır."
27,Patlayıcı atış,Hedef bir ok tarafından vurulduğu zaman patlar.
28,Ejderha'nın Yavaş Düşüşü,Düşme hasarı -150 ve düşme hız azaltılır
32,Hız,Toplama hızı 30% artar
30,Hızlı düşüş (bacak koruyucu),"Düşerken Shift'i basılı tutun, +%40 düşme hızı ve -15 düşme hasarı."
30,Hızlı düşüş (bacak koruyucu),"Düşerken Shift'i basılı tutun, +%55 düşme hızı ve -30 düşme hasarı."
30,Hızlı düşüş (bacak koruyucu),"Düşerken Shift'i basılı tutun, +%70 düşme hızı ve -45 düşme hasarı."
30,Hızlı düşüş (bacak koruyucu),"Düşerken Shift'i basılı tutun, +%85 düşme hızı ve -70 düşme hasarı."
30,Hızlı düşüş (bacak koruyucu),"Düşerken Shift'i basılı tutun, +%100 düşme hızı ve -100 düşme hasarı."
31,Duvara tırmanma (ayakkabı),"Herhangi bir tarafta merdiven gibi hareket edebilir, -%40 her 2 saniyede 3 dayanıklılık değeri tüketebilirsiniz."
31,Duvara tırmanma (ayakkabı),"Herhangi bir tarafta merdiven gibi hareket edebilir, -%30 her 2 saniyede 3 dayanıklılık değeri tüketebilirsiniz."
31,Duvara tırmanma (ayakkabı),"Herhangi bir tarafta merdiven gibi hareket edebilir, -%25 her 2 saniyede 2 dayanıklılık değeri tüketebilirsiniz."
31,Duvara tırmanma (ayakkabı),"Herhangi bir tarafta merdiven gibi hareket edebilir, -%10 her 2 saniyede 2 dayanıklılık değeri tüketebilirsiniz."
31,Duvara tırmanma (ayakkabı),Herhangi bir tarafta merdiven gibi hareket edebilir ve her 2 saniyede 1 dayanıklılık değeri tüketebilirsiniz.
