ID,名字,类别名,描述
20004,Maksimum değer,Matematik,@1| ve |@2|deki |@3
20005,Tam bölümü,Matematik,|@1| Divide |@2
20006,Konumun Koordinat Değeri,Matematik,@1|'in |@2| koordinat değeri
20007,Konum Arası Yatay Açı,Matematik,@1| ve |@2| Arasındaki Yatay Açı
20008,Konum Arası Dikey Açı,Matematik,@1| ve |@2| Arasındaki Dikey Açı
20009,Üst alma,Matematik,"@1|, |@2| üst alır"
20010,Kök çıkarmak,Matematik,"@1|, |@2| kök çıkarıyor"
20011,Mutlak değer,Matematik,@1|'in mutlak değeri
20012,Trigonometrik fonksiyon,Matematik,@1||@2||@4
20013,Sabit Baz Günlük Fonksiyonu,Matematik,@1||@3
20014,Herhangi bir temel günlük Fonksiyonu,Matematik,Log|@1||@3
20015,Yuvarlatma,Matematik,@2| şeklinde |@1| yuvarlatıyor
20016,Açıyı Radyan'a Dönüştür,Matematik,@1||@2|'e dönüştür
20017,Mantıksal ve.,Matematik,@1| ve |@3
20018,Mantıksal veya.,Matematik,@1| yada |@3
20019,Mantıksal özel veya,Matematik,@1| özel veya |@3
20020,Mantıksal değil,Matematik,@1| değil
20021,Rastgele değer karşılaştırması,Matematik,@1||@2||@4
30001,Güncel oyun zamanı,Oyun,Güncel oyun zamanı
30002,Belirlenmiş sıra,Oyun,Takım |@1|sıralandı
30003,Mevcut oyun yerçekimi katları,Oyun,Mevcut yerçekimi katları
40001,Takımın Özelliği,Takım,@1|'nın |@3
40002,Takım Karşılaştırma,Takım,@1||@2||@4
50001,Oyuncu Konumu,Oyuncu,@1|'nın konum
50002,Oyuncunun Konumunu Alın,Oyuncu,@1|'nın görüş alanı
50003,Oyuncunun Özelliği,Oyuncu,@1|'nın |@3
50004,Sahip Olduğu Ürün Sayısı,Oyuncu,@1|'in sahip olduğu |@2| sayısı
50006,Oyuncu Bakış Açısı,Oyuncu,@1|'ın görüş açısı
50007,Oyuncu ismi,Oyuncu,@1|'ın isimi
50008,Bireyi algıla,Oyuncu,@1||@2||@4
50009,Oyuncu grubu algıla,Oyuncu,@1||@2||@3|de
50010,Bölgeyi algıla,Oyuncu,@1||@2| |@3| 'nın bölgede
50011,Durumu algıla,Oyuncu,"@1||@2|, |@3| efekti elde eder"
50012,Oda sahibi,Oyuncu,Odasahibi
50018,Oyuncunun Takımı,Oyuncu,@1|'nın takımı
50019,Oyuncunun Özel Değişkeni (Bölge),Oyuncu,@1|'nın |@2|(bölge)
50020,Oyuncunun Özel Değişkeni (Konum),Oyuncu,@1|'nın |@2|(konum)
50021,Oyuncunun Özel Değişkeni (Değer),Oyuncu,@1|'nın |@2|(değer)
50022,Oyuncunun Özel Değişkeni (Karekter dizisi),Oyuncu,@1|'nın |@2|(karekter dizesi)
50023,Oyuncunun Özel Değişkeni (Boole Değerleri),Oyuncu,@1|'nın |@2|(Boolean değeri)
50024,Oyuncunun Özel Değişkeni (Oyuncu),Oyuncu,@1|'nın |@2|(oyuncu)
50025,Oyuncunun Özel Değişkeni (Oyuncu Grubu),Oyuncu,@1|'nın |@2|(Oyuncu Grubu)
50026,Oyuncunun Özel Değişkeni (Blok Türü),Oyuncu,@1|'nın |@2|(Blok türü)
50027,Oyuncunun Özel Değişkeni (Eşya Türü),Oyuncu,@1|'nın |@2|(Eşya türü)
50028,Oyuncunun Özel Değişkeni (Yaratık),Oyuncu,@1|'nın |@2|(Yaratık)
50029,Oyuncunun Özel Değişkeni (Yaratık Türü),Oyuncu,@1|'nın |@2|(Yaratık türü)
50030,Oyuncunun Özel Değişkeni (Yaratık Grubu),Oyuncu,@1|'nın |@2|(Yaratık Grubu)
50031,Oyuncunun Özel Değişkeni (Kronometre),Oyuncu,@1|'nın |@2|(kronometre)
50032,Oyuncunun Özel Değişkeni (özel efekt türü),Oyuncu,@1|'nin |@2| (Özel efekt türü)
50033,Oyuncunun işaret ettiği yön,Oyuncu,@1| merkezin işaret ettiği yön
50034,Oyuncunun elde taşınır cihaz türü,Oyuncu,@1| nin Elde taşınır eşya türü
50035,oyuncu,Oyuncu,|@2
50036,Oyuncu Grubu,Oyuncu,|@2
50037,Belirlenmiş Oyuncu Görünüm,Oyuncu,@1| görünüm
50038,Oyuncu grubu,Oyuncu,|@2
50039,Oyuncunun özel değişkenleri (konum grubu),Oyuncu,|@2| of |@1| (Location Group)
50040,Oyuncunun özel değişkenleri (bölge grubu),Oyuncu,|@2| of |@1| (Area Group)
50041,Oyuncunun özel değişkenleri (sayı grubu),Oyuncu,|@2| of |@1| (numeric group)
50042,Oyuncunun özel değişkenleri (karekter dizisi grubu),Oyuncu,|@2| of |@1|  (character string group)
50043,Oyuncunun özel değişkenleri (boole grubu),Oyuncu,|@2| of |@1| (Boolean group)
50044,Oyuncunun özel değişkenleri (blok tipi grubu),Oyuncu,|@2| of |@1|  (block type group)
50045,Oyuncunun özel değişkenleri (prop tipi grubu),Oyuncu,|@2| of |@1|  (props type group)
50046,Oyuncunun özel değişkenleri (yaratık türü grubu),Oyuncu,|@2| of |@1| (Creature Type Group)
50047,Oyuncunun özel değişkenleri (zamanlayıcı grubu),Oyuncu,|@2| of |@1| (Timer Group)
50048,Oyuncunun özel değişkenleri (özel efekt türü grubu),Oyuncu,|@2| of |@1| (Special Effect Type Group)
50049,Rastgele görünüm türü,Oyuncu,Rastgele görünüm türü
50050,Oyuncunun UID'sini al,Oyuncu,@1|'in UID'sini edinin
50051,Belirli UID'ye sahip oyuncu edinin,Oyuncu,@1| ile oyuncu edinin kullanıcı kimliği
50052,Mermiyi ateşleyen oyuncu,Oyuncu,Mermiyi ateşleyen oyuncu
60001,Oyuncu grubundaki oyuncu sayısı,Oyuncu grubu,@1|'deki oyuncu sayısı
60002,Oyuncu grubundaki oyuncu sayısı,Oyuncu grubu,@1|içindeki|@2|'nin numarası
60003,Oyundaki oyuncu sayısı,Oyuncu grubu,Şu an oyundaki oyuncu sayısı
60004,Oyuncu grubunda belirtilen numaraya sahip oyuncu,Oyuncu grubu,@1|içinde|@2|numaralı oyuncu
60005,Oyuncu grubundaki rastgele oyuncular,Oyuncu grubu,@1|'deki rasgele oyuncu
60006,Tüm oyuncu,Oyuncu grubu,Tüm oyuncu
60007,Takımdaki tüm oyuncu,Oyuncu grubu,@1| içindeki tüm oyuncu
60008,Bölge'deki Tüm Oyuncu,Oyuncu grubu,@1| içindeki tüm oyuncu
70001,Yaratığın yeri,Yaratık,@1|'nın konum
70002,Yaratığın özelliği,Yaratık,@1|'nın |@3
70004,Yaratık grubundaki yaratığın numarasını al,Yaratık,@1|deki|@2|'nın ID
70005,Yaratığın baktığı açı,Yaratık,@1|'nın yön açısı
70006,Yaratık Türü Adı,Yaratık,@1|'nın türü adı
70007,Bireyi algıla,Yaratık,@1||@2||@4
70008,Türü algıla,Yaratık,@1||@2||@4
70009,Yaratık grubunda algılama,Yaratık,"@1||@2|,|@3|de"
70010,Bölgede algılama,Yaratık,"@1||@2|,|@3|içinde"
70011,Durumu algılama,Yaratık,"@1||@2|,|@3|'in durumuna sahip"
70012,Yaratığın takımı,Yaratık,@1|'nın takımı
70013,Belirtilmiş yaratık türü,Yaratık,@1|'nın türü
70014,Rastgele yaratık türü,Yaratık,Rastgele yaratık türü
70015,Yaratık Türü,Yaratık,|@2
70016,Yaratık Grubu,Yaratık,|@2
70017,Belirlenmiş Yaratık Görünümü,Yaratık,@1|'in görünümü
70018,Yaratık Grubu,Yaratık,|@2
70019,Yaratık tipi grubu,Yaratık,|@2
70020,Yaratık,Yaratık,|@2
70021,Mermi atan yaratıklar,biyoloji,Mermi atan yaratıklar
80001,Yaratık Grubundaki Yaratık Sayısı,Yaratık grubu,@1| içindeki yaratığın sayısı
80002,Yaratık Grubundaki Belirtilmiş Numaralı Yaratık,Yaratık grubu,@1| içindeki |@2| numaralı yaratık
80003,Yaratık Grubundaki Rastgele Yaratık,Yaratık grubu,@1|deki rasgele yaratık
80004,Takımdaki Tüm Yaratıklar,Yaratık grubu,@1| içindeki tüm yaratık
80005,Bölgedeki Tüm Yaratıklar,Yaratık grubu,@1| içindeki tüm yaratık
90001,Düşen Eşyanın Konumu,Eşya,@1|'nın konumu
90002,Düşen Eşya Sayısı,Eşya,@1|'nın sayısı
90003,Oyuncunun sırt çantasının değiştirdiği eşya sayısı,Eşya,Oyuncunun sırt çantasında değiştirilen eşyaların sayısı
90004,Eşya Türü Adı,Eşya,@1|'nın türü adı
90005,Türü algıla,Eşya,@1||@2||@4
90006,Düşen Eşyanın Bulunduğu Bölgesini Algıla,Eşya,"@1||@2|,|@3|içinde"
90007,Merminin Bulunduğu Bölgesini Algıla,Eşya,"@1||@2|,|@3|içinde"
90008,Düşen eşyanın türü,Eşya,@1|'nın türü
90009,Eşya türü,Eşya,|@2
90012,Eşya türü grubu,Eşya,|@2
90013,Rastgele eşya türü,Eşya,Rastgele eşya türü
100001,Mevcut küresel hava modu,Dünya,Mevcut küresel hava durumu modunu edinin
100002,Konumdan konuma uzaklık,Dünya,@1| ve |@2| arasındaki mesafe
100003,Hava durumu karşılaştırması,Dünya,@1||@2||@4
100004,Blok türü karşılaştırması,Dünya,@1||@2||@4
100005,Bloğun anahtar durumu,Dünya,@1| içindeki bloklarını anahtarı durumunu
100006,Konumun bulunduğu bölgeyi algılama,Dünya,"@1||@2|,|@3|içinde"
100007,Belirli konumdaki bloğun türü,Dünya,@1|daki blok türü
100008,Konumdan konuma yön,Dünya,The direction from |@1| to |@2
100009,Mutlak üç eksen koordinatlarının yönü,Dünya,X|@1|，Y|@2|，Z|@3|'in yönü
100010,Mutlak küresel koordinatların yönü,Dünya,"Azimut açısının yönü |@1|, |@2| yönü"
100011,Durum,Dünya,|@2
100012,Bölge,Dünya,|@2
100013,kronometre,Dünya,|@2
100014,Konum grubu,Dünya,|@2
100015,Bölge grubu,Dünya,|@2
100016,Zamanlayıcı grubu,Dünya,|@2
100017,Rastgele hava durumu,Dünya,Rastgele Hava Durumu
100018,Arazi grupları için hava durumu,Dünya,@1| hava durumu
110001,Belirli oyuncunun aracı,Araç,@1|'nın aracı
120001,Özel efekt türü,Özel efekt,Rasgele özel efekt türü
120002,Özel efekt türü,Özel efekt,|@2
120003,Özel Efekt Tip Grubu,Özel efekt,|@2
130001,Şu anda oynatılan reklam alanının adını alın,Oynat,Şu anda oynatılan reklam alanının adını alın
140001,Blok Türü,Blok,|@2
140002,Blok tipi grubu,Blok,|@2
150001,Metin panosu,Resim-metin bilgileri,"Metin içeriği |@1| olan metin panosu, yazı tipi boyutu |@2|, taban plakası opaklığı |@3|% ve sayı |@4"
150002,Yüzen Metin,Resim-metin bilgileri,"Metin içeriği |@1| olan yüzen metnidir, yazı tipi boyutu |@2| ve sayı |@3"
150003,İlerleme çubuğu,Resim-metin bilgileri,"Mevcut değer|@1|, maksimum değerin|@2| ilerleme çubuğu, ilerleme çubuğun rengi |@3|, sayı |@4"
150004,Nesneyi gösteren ok,Resim-metin bilgileri,"@1|'a doğru, okun boyutu |@2|, renk |@3|, numara |@4"
150005,Konumu gösteren ok,Resim-metin bilgileri,"@1|'a doğru, okun boyutu |@2|, renk |@3|, numara |@4"
150006,Nesnenin kılavuz yüzeyini işaret edin,Resim-metin bilgileri,"@1|'a doğru, kılavuz yüzeyi boyutu |@2|, renk |@3|, numara |@4"
150007,Pozisyonu gösteren kılavuz yüzey,Resim-metin bilgileri,"@1|'a doğru, kılavuz yüzeyi boyutu |@2|, renk |@3|, numara |@5"
150008,Nesneyi gösteren kılavuz çizgi,Resim-metin bilgileri,"@1|'a doğru, kılavuz çizgisi boyutu |@2|, renk |@3|, numara |@6"
150009,Konumu gösteren kılavuz çizgi,Resim-metin bilgileri,"@1|'a doğru, kılavuz çizgisi boyutu |@2|, renk |@3|, numara |@7"
160001,rastgele renk,Renk,Rastgele renk
170001,Konum grubunda belirtilen sayılı konumu,Konum grubu,The position ID |@2| in |@1
170002,Konum grubunda rastgele konum,Konum grubu,@1| içindeki rastgele konum
180001,Alan grubunda belirtilen sayıya sahip alan,Bölgesel grup,@1|içindeki |@2|numaralı olan bölge
180002,Alan grubundaki rastgele alan,Bölgesel grup,@1| içindeki rastgele konum
190001,Değer grubunda belirtilen sayının değeri,Sayısal grubu,The value ID |@2| in |@1
190002,Değer grubundaki rastgele değer,Sayısal grup,@1| içindeki rastgele değer
190003,Sayısal bir gruptaki maksimum değeri alın,Sayısal grup,@1|içindeki maksimum değeri alın
190004,Sayısal gruptaki minimum değeri alın,Sayısal grup,@1| içindeki minimum değeri alın
200001,Karekter dizisi grubunda belirli karekter dizisi,Karekter dizisi grup,@1|içindeki|@2|numaralı karekter dizisi
200002,Karekter dizisi grubunda rastgele karekter dizisi,Karekter dizisi grup,@1|içindeki rastgele karekter dizisi
210001,Boolean değer grubunda belirli sayılı Boolean değeri,Boolean değeri,@1|içindeki |@2| numaralı Boolean değeri
210002,Boolean değer grubundaki rastgele Boole değerleri,Boolean değeri,@1| içindeki rastgele Boolean değeri
220001,Blok tipi grubunda belirtilen numaraya sahip blok tipi,Blok tipi,@1|içindeki|@2|numaralı blok türü
220002,Blok tipi grubunda rastgele blok tipi,Blok tipi,@1| içindeki rastgele tipi
230001,Eşya türü grubunda belirli sayılı eşya türü,Eşya türü,@1| içindeki|@2| numaralı eşya türü
230002,Öğe türü grubundaki rastgele öğe türleri,Eşya türü,@1| içindeki rastgele eşya tipi
240001,Yaratık türü grubunda belirtilen sayıya sahip yaratık türü,Yaratık Türü,@1| içindeki |@2| numaralı yaratık tipi
240002,Yaratık türü grubundaki rastgele yaratık türleri,Yaratık Türü,@1| içindeki rastgele yaratık tipi
250001,Zamanlayıcı grubunda belli sayılı zamanlayıcısı,Zamanlayıcı,@1|içinde|@2| numaralı zamanlayıcı
250002,Zamanlayıcı grubundaki rastgele zamanlayıcı,Zamanlayıcı,@1| içindeki rastgele zamanlayıcı
260001,Özel efekt tipi grubunda belli sayılı özel efekt tipi,Özel Efekt Türü,@1| içindeki|@2| numaralı özel efekt türü
260002,Özel efekt türü grubundaki rastgele özel efekt türleri,Özel Efekt Türü,@1|içindeki rastgele efekt türü
270004,Öğe Türü simgesini alın,Genel,|@1
270005,Yaratık simgesi al,Genel,|@1
270006,Yaratık türü simgesini alın,Genel,|@1
270007,Durum simgesi alın,Genel,|@1
270008,Blok tipi simge alın,Genel,|@1
270009,Oyuncunun mevcut karakter simgesini alın,Genel,Akım |@1| Karakter simgesi
270010,Oyuncuyu Kısayol Bar Simgesi Alın,Genel,Set |@1| Simgesi olarak Kısayol Barı |@2
280001,Rastgele Fırlatma Nesne Türü,Atma öğesi,Rastgele Fırlatma Nesne Türü
290001,Rastgele ses efektleri,Ses efekti,Rastgele ses efektleri
300001,Sunucu tarafından elde edilen konum,Veri depolama,Sunucu tarafından elde edilen konum
300002,Sunucu tarafından elde edilen alan,Veri depolama,Sunucu tarafından elde edilen alan
300003,Sunucu tarafından elde edilen değer,Veri depolama,Sunucu tarafından elde edilen değer
300004,Sunucu tarafından elde edilen karakter dizisi,Veri depolama,Sunucu tarafından elde edilen karakter dizisi
300005,Sunucu tarafından elde edilen Boole değeri,Veri depolama,Sunucu tarafından elde edilen Boole değeri
300006,Sunucu tarafından alınan oyuncu,Veri depolama,Sunucu tarafından alınan oyuncu
300007,Sunucu tarafından elde edilen blok türü,Veri depolama,Sunucu tarafından elde edilen blok türü
300008,Sunucu tarafından elde edilen öğe türü,Veri depolama,Sunucu tarafından elde edilen öğe türü
300009,Sunucu tarafından elde edilen yaratık,Veri depolama,Sunucu tarafından elde edilen yaratık
300010,Sunucu tarafından elde edilen yaratık türü,Veri depolama,Sunucu tarafından elde edilen yaratık türü
300011,Sunucu tarafından alınan zamanlayıcı,Veri depolama,Sunucu tarafından alınan zamanlayıcı
300012,Sunucu tarafından elde edilen efekt türü,Veri depolama,Sunucu tarafından elde edilen efekt türü
300013,Sunucu tarafından elde edilen sayı,Veri depolama,Sunucu tarafından elde edilen sayı
300014,Sunucu tarafından alınan ad (anahtarlar),Veri depolama,Sunucu ve lider panosu dizin adını (anahtarları) edinin
300015,Sunucu tarafından alınan oyuncu (anahtarlar),Veri depolama,Sunucu ve oyuncu dizin adını (anahtarları) alın
