ID,名称,描述
510306,Internal - Perform a phase-N attack with a weapon,"Perform a phase-%2 attack with %1 at %3 attack, %4-tile attack range, %5 reset animation at the end"
510307,Internal - Unleash blast skill on targets,Aim at %1 and unleash blast skill
510308,Internal - Wield shield,Wield %1
510309,Internal - Put down shield,Put down shield
510310,Grant object status effect,"Grant %1 %2 effect, permanently lasts %3, lasts %4 second(s)"
510311,Remove object status effect,Remove %1's %2 effect
510312,Replace object status effect,"Replace the %2 on %1 with %3, permanently lasts %4, lasts %5 second(s)"
510320,Defeat object,Defeat %1
510321,Delete object,Delete %1
510330,Pick up object,Pick up %1
510331,Drop down picked-up object,Drop down picked-up object
600101,Object to execute action,Object to execute action
600102,Team relation,%1 relation
600103,Actual team,%1 team
600104,Distance from one position to another,Distance between %1 and %2
600105,Specified Coordinate Location,The position of X%1Y%2Z%3
600106,Coordinate of Location,%1's %2 Coordinate Value
600107,Internal - Moon coordinates,Moon coordinates
600108,Location Offset (Original location fixed),"%1 shifts along the coordinate axis (%2, %3, %4)"
600109,Spawn Point,Generated location of %1
600110,Acquire object’s location,Acquire %1’s location
600111,Acquire available location within area,Acquire available location within %1
600130,Convert Location to Area,"Set %1 as center, area with dimensions (%2, %3, %4)"
600201,Object attribute,%2 attribute of %1
600202,Object’s team,%1's Team
600205,Current game hours,Current game hours
600206,Acquire the number of attacks of current weapon’s successive phrase,Acquire the number of attacks of current weapon %1
600207,Light intensity on object,Light intensity on %1
600300,Player Object,%1's Object
600301,Player Attributes,Player: %1’s %2
600302,Search for the nearest player,"Take %1 as reference, search for the nearest %5 to %4 within a %2%3-tile range"
600311,Player Attributes,%2 attribute of %1
600312,Search for the nearest player,"Take %1 as reference, search for the nearest player to %4 within a %2%3-tile range"
600313,Search for nearby players,"Take %1 as reference, search for player %4 within a %2%3-tile range"
600314,Acquire the number of nearby players,"Take %1 as reference, search for the number of players within a %2%3-tile range"
600315,Search for all players within area,"Take %1 as reference, search for all players of %3 within %2"
600400,Creature to execute action,Creature to execute action
600401,Creature Attribute,Creature: %1’s %2
600402,Designated creature type,Type %1 creature
600403,Acquire object creature type,Creature type of %1
600404,Search for the nearest creature,"Take %1 as reference, search for the nearest %5 to %4 within a %2%3-tile range"
600405,Search for the nearest designated creature,"Take %1 as reference, search for the nearest %5 to %4 within a %2%3-tile range"
600406,Creature Object,%1's Object
600411,Creature Attribute,%2 attribute of %1
600412,Designated creature type,Type %1 creature
600413,Acquire creature type,Creature type of %1
600414,Search for the nearest creature,"Take %1 as reference, search for the nearest creature to %4 within a %2%3-tile range"
600415,Search for the nearest designated creature,"Take %1 as reference, search for the nearest %5 to %4 within a %2%3-tile range"
600416,Search for all nearby creatures,"Take %1 as reference, search for %4%5 within a %2%3-tile range"
600417,Acquire the number of nearby creatures,"Take %1 as reference, search for the number of %4%5 within a %2%3-tile range"
600418,Search for all creatures within area,"Take %1 as reference, search for all %4 of %3 within area %2"
600501,Search for the location of the nearest block,"Take %1 as reference, search for the location of the nearest %3 within a %2-tile range"
600510,Light intensity of the location,Light intensity of %1
600599,Projectile Object,%1's Object
600600,Drops Object,%1's Object
600601,Item attribute,Item: %1’s %2
600602,Designated item type,Type %1 item
600603,Number of Items Owned,%1's number of %2
600604,Acquire the type of object’s item,%1’s item type
600605,Search for the nearest designated item,"Take %1 as reference, search for the nearest %5 to %4 within a %2%3-tile range"
600606,Search for the nearest designated item,"Take %1 as reference, search for the nearest %4 within a %2%3-tile range"
600611,Item attribute,Item: %1’s %2
600612,Type of holding item,Type of item holding by %1
601001,Random Number,Generate random integer: %1 to %2
601002,Advanced Arithmetic,%1%2%3
601101,Location with the specific numbers in Location Group,Location ID %2 in %1
601102,Random location in location group,Random Location in %1
601103,Value with specified numbers in the Numerical Group,Value ID %2 in %1
601104,Random value in the Numerical Group,Random Value in %1
601105,Areas with specific numbers in the Area Group,Area ID %2 in %1
601106,Random area in area group,Random Area in %1
601107,Object with the designated number in Object Group,Object with the number being %2 in %1
601108,Random object in Object Group,Random object in %1
601201,Timer Time,%1's Time
610101,Acquire object’s location,Acquire %1’s location
610102,Search for the nearest object,"Take %1 as reference, search for the nearest %5 to %4 within a %2%3-tile range"
610103,Search for nearby object,"Take %1 as reference, search for %4%5 within a %2%3-tile range"
610104,Acquire the number of nearby objects,"Take %1 as reference, search for the number of %4%5 within a %2%3-tile range"
610105,Search for all objects within area,"Take %1 as reference, search for all %4 of %3 within area %2"
700001,Behavior Tree Variable (Area),
700002,Behavior Tree Variable (Location),
700003,Behavior Tree Variable (Value),
700004,Behavior Tree Variable (String),
700005,Behavior Tree Variable (Boolean Value),
700006,Behavior Tree Variable (Object),
700007,Behavior Tree Variable (Object Type),
700008,Behavior Tree Variable (Object Group),
700009,Behavior Tree Variable (Player),
700010,Behavior Tree Variable (Player Group),
700011,Behavior Tree Variable (Block Type),
700012,Behavior Tree Variable (Item Type),
700013,Behavior Tree Variable (Creature),
700014,Behavior Tree Variable (Creature Type),
700015,Behavior Tree Variable (Creature Group),
700016,Behavior Tree Variable (Timer),
700017,Behavior Tree Variable (Special Effect Type),
700018,Behavior Tree Variable (Location Group),
700019,Behavior Tree Variable (Area Group),
700020,Behavior Tree Variable (Numerical Group),
700021,Behavior Tree Variable (String Group),
700022,Behavior Tree Variable (Boolean Group),
700023,Behavior Tree Variable (Block Type Group),
700024,Behavior Tree Variable (Item Type Group),
700025,Behavior Tree Variable (Creature Type Group),
700026,Behavior Tree Variable (Timer Group),
700027,Behavior Tree Variable (Special Effect Type),
708001,Global Variable Template (Area),
708002,Global Variable Template (Location),
708003,Global Variable Template (Value),
708004,Global Variable Template (String),
708005,Global Variable Template (Boolean Value),
708006,Global Variable Template (Player),
708007,Global Variable Template (Player Group),
708008,Global Variable Template (Block Type),
708009,Global Variable Template (Item Type),
708010,Global Variable Template (Creature),
708011,Global Variable Template (Creature Type),
708012,Global Variable Template (Creature Group),
708013,Global Variable Template (Timer),
708014,Global Variable Template (Special Effect Type),
708015,Global Variable Template (Location Group),
708016,Global Variable Template (Area Group),
708017,Global Variable Template (Numerical Group),
708018,Global Variable Template (String Group),
708019,Global Variable Template (Boolean Group),
708020,Global Variable Template (Block Type Group),
708021,Global Variable Template (Item Type Group),
708022,Global Variable Template (Creature Type Group),
708023,Global Variable Template (Timer Group),
708024,Global Variable Template (Special Effect Type Group),
