keyid,名字,属性描述
43001,Bonus Melee Fiziksel Hasar,Melee Fiziksel Hasar +
43002,Bonus Melee Fiziksel Hasar,Melee Fiziksel Hasar +
43003,Bonus Melee Fiziksel Hasar,Melee Fiziksel Hasar +
44001,Azimliğe Bağlılık,Hasar Azaltma +
44002,Sonsuz Azim,Hasar Azaltma +
44003,Azimli Olma,Hasar Azaltma +
45001,Uzak Mesafe Koruma,Ranged Fiziksel Hasar -
45002,Ranged Koruma,Ranged Fiziksel Hasar -
45003,Menzele Karşı Koruma,Menzilli Fiziksel Hasar -
46001,Patlama Hasarı,Patlama Hasarı -
46002,Patlama hasarı,Patlama hasarı -
46003,Blast Hasarı,Blast Hasarı -
47001,Dayanıklılık İyileştirme Hızı,Dayanıklılık İyileştirme Hızı +
47002,Dayanıklılık Onarım Hızı,Dayanıklılık Onarım Hızı +
47003,Dayanıklılık Onarım Hızı,Dayanıklılık Onarım Hızı+
48001,Yüksek zıplama,Zıplama yeteneği +
48002,Yüksek zıplama,Zıplama yeteneği +
48003,Yüksek Atlama,Zıplama Yeteneği +
49001,Dönüştürmek,Düşman Dönüştürme Şansı +
49002,Dönüştürmek,Düşman Dönüşüm Şansı +
49003,Dönüştürmek,Düşman Dönüşüm Şansı +
50001,Dayanıklılık Koruma,Dayanıklılık Kaybı Olmama Şansı +
50002,Dayanıklılığı Kaybetmeme Şansı,Dayanıklılığı Koruma +
50003,Dayanıklılık koruma,Dayanıklılık kaybı olmama şansı +
51001,Hızlı Balık Tutma,Balık Tutma Hızı +
51002,Hızlı Balık Tutma,Balıkçılık Hızı+
51003,Hızlı Balık Avı,Balık Avı Hızı +
52001,Yavaşlama,Düşmanı Yavaşlatma Şansı+
52002,Yavaşlatma,Düşmanı Yavaşlatma Şansı +
52003,Yavaşlatma,Düşmanı Yavaşlatma Şansı +
53001,Kazma dayanıklılığı azaltıldı,Kazma dayanıklılığı düşürüldü
53002,Kazma dayanıklılığı düşürüldü,Kazma dayanıklılığı azaltıldı
53003,Kazma Dayanıklılığı azaltıldı.,Kazma Dayanıklılığı azaltıldı
54001,Meteor'un Düşüşü,Meteor'un Düşüşü
54002,Meteorun Düşüşü,Meteorun Düşüşü
54003,Meteor'un Düşüşü,Meteor'un Düşüşü
55001,Bonus Yıldız EXP,Yıldız EXP Kazanımları +
55002,Bonus Yıldız EXP,Yıldız EXP Kazançları +
55003,Bonus Yıldız Tecrübe Puanı,Yıldız Tecrübe Puanı Kazanımları +
56001,Yetenek hızı,Yetenek yenilenme süresi -
56002,Beceri Hızı,Beceri Süresi -
56003,Yetenek hızlandırma,Yetenek bekleme süresi -
57001,Son Vuruş,+2% Son Vuruş Hasarı
57002,Son Darbe,+2% Son Darbe Hasarı
57003,Son Darbe,+2% Son Darbe Hasarı
58001,Geri İtme Direnci,+ 5% Geri İtme Direnci
58002,Geri itmeye direnç,+ 10% Geri itmeye direnç
58003,Püskürtme Direnci,+ %15 Geri Püskürtme Direnci
59001,Canavarlara bonus hasar,Canavar hasarı +
59002,Canavarlara bonus hasar,Canavar hasarı +
59003,Canavarlara Bonus Hasar,Canavar Hasarı +
60001,Boarman'lara bonus zarar,Boarmen'e zarar +
60002,Domuz Adamlara Bonus Hasar,Domuz Adamlara Hasar +
60003,Boarmen için bonus hasar,Boarmen için hasar -
61001,Elite'lere Bonus Hasar,Elite hasarına karşı zarar +
61002,Elite hasarına bonus zarar,Elite hasarına zarar verme +
61003,Elite'lere bonus hasar,Elite hasarı +
62001,Bonus Boşluk Hasarı,Boşluk Yaratıklarına Hasar +
62002,Bonus Boşluk Hasarı,Boşluk Yaratıklarına Hasar +
62003,Bonus Void Damage,Boş Varlıklara Hasar + Boş Hasar Bonusu
63001,Bonus Horas Hasarı,Horas Yaratıklarına Hasar +
63002,Bonus Horas Hasarı,Horas Yaratıklarına Hasar +
63003,Bonus Horas Hasarı,Horas Canlılarına Hasar +
64001,Bonus su altı hasarı,Su canlılara zarar verme +
64002,Bonus Su Altı Hasarı,Su Altı Canlılarına Zarar Vermek +
64003,Bonus Su hasarı,Su canlı varlıklara zarar +
