ID,名字,类别名,描述
50006,Góc nhìn của người chơi,Người chơi,@1|'s facing angle
50007,Tên Người Chơi,Người chơi,@1|'s name
50008,Xác định cá nhân,Người chơi,@1||@2||@3
50009,Xác định Nhóm Người Chơi,Người chơi,@1||@2| in |@3
50010,Xác định Khu Vực,Người chơi,@1||@2| in Area |@3
50011,Xác định Trạng Thái,Người chơi,@1||@2| obtains |@3| effect
50012,Làm Chủ,Người chơi,Host
50018,Nhóm của người chơi,Người chơi,@1|'s team
50019,Biến riêng của người chơi (khu vực),Người chơi,@1|'s |@2|(Area)
50020,Biến riêng của người chơi (vị trí),Người chơi,@1|'s |@2|(Location)
50021,Biến riêng của người chơi (Giá Trị),Người chơi,@1|'s |@2|(Value)
50022,Biến riêng của người chơi (Chuỗi),Người chơi,@1|'s |@2|(String)
50023,Biến riêng của người chơi (Giá trị Boolean),Người chơi,@1|'s |@2|(Boolean Values)
50024,Biến riêng của người chơi (Người chơi),Người chơi,@1|'s |@2|(Player)
50025,Biến riêng của người chơi (Nhóm Người Chơi),Người chơi,@1|'s |@2|(Player Group)
50026,Biến riêng của người chơi (Loại Khối),Người chơi,@1|'s |@2|(Block Type)
50027,Biến riêng của người chơi (Loại Vật Phẩm),Người chơi,@1|'s |@2|(Item Type)
50028,Biến riêng của người chơi (Sinh Vật),Người chơi,@1|'s |@2|(Creature)
50029,Biến riêng của người chơi (Loại Sinh Vật),Người chơi,@1|'s |@2|(Creature Type)
50030,Biến riêng của người chơi (Nhóm Sinh Vật),Người chơi,@1|'s |@2|(Creature Group)
50031,Biến riêng của người chơi (Hẹn giờ),Người chơi,@1|'s |@2|(Timer)
50032,Biến riêng của người chơi ( hiệu ứng đặc biệt ),Người chơi,@1| của |@2| ( Hiệu ứng đặc biệt)
50033,Nhắm mục tiêu đến,Người chơi,Hướng tâm chuẩn |@1| chỉ đến
50034,Loại đạo cụ cầm tay của người chơi,Người chơi,Loại đạo cụ cầm tay của |@1
50035,Người chơi,Người chơi,|@1
50036,Nhóm người chơi,Người chơi,|@1
50037,Chỉ định ngoại hình người chơi,Người chơi,@1| Ngoại hình
50038,Nhóm người chơi,Người chơi,|@1
50039,Biến riêng tư của người chơi (Nhóm vị trí),Người chơi,@2|. của |@1| (Nhóm vị trí)
50040,Biến riêng tư của người chơi (Nhóm khu vực),Người chơi,@2|. của |@1| (Nhóm khu vực)
50041,Biến riêng tư của người chơi (nhóm số),Người chơi,@2|. của |@1| (nhóm số)
50042,Biến riêng tư của người chơi (Chuỗi nhóm),Người chơi,@2|. của |@1| (Nhóm chuỗi ký tự)
50043,Biến riêng tư của người chơi (Nhóm Boolean),Người chơi,@2|. của |@1| (Nhóm Boolean)
50044,Biến riêng tư của người chơi (Nhóm Loại khối),Người chơi,@2|. của |@1| (Nhóm loại khối)
50045,Biến riêng tư của người chơi (nhóm loại đạo cụ),Người chơi,@2|. của |@1| (Nhóm loại đạo cụ)
50046,Biến riêng tư của người chơi (nhóm loại sinh vật),Người chơi,@2|. của |@1| (Nhóm loại sinh vật)
50047,Biến riêng tư của người chơi (nhóm hẹn giờ),Người chơi,@2|. của |@1| (Nhóm bộ đếm)
50048,Biến riêng tư của người chơi (Nhóm loại hiệu ứng đặc biệt),Người chơi,@2|. của |@1| (Nhóm loại hiệu ứng đặc biệt)
50049,Kiểu ngoại hình ngẫu nhiên,Người chơi,Kiểu ngoại hình ngẫu nhiên
50050,Lấy UID của người chơi,Người chơi,Lấy UID của |@1
50051,Lấy UID của người chơi được chỉ định,Người chơi,Lấy người chơi có UID là |@1|
50052,Người chơi bắn vật ném,Người chơi,Người chơi bắn vật ném
60001,Số người chơi trong Nhóm,Nhóm Người chơi,Số người chơi trong |@1
60002,ID của người chơi trong Nhóm Người Chơi,Nhóm Người chơi,@2|'s ID in |@1
60003,Số người chơi trong game,Nhóm Người chơi,Number of players in current game
60004,Chọn ID của người chơi trong Nhóm Người Chơi,Nhóm Người chơi,Player numbered |@2| in |@1
60005,Người chơi ngẫu nhiên trong Nhóm Người Chơi,Nhóm Người chơi,Random players in |@1
60006,Tất cả người chơi,Nhóm Người chơi,All Players
60007,Tất cả người chơi trong nhóm,Nhóm Người chơi,All Players in |@1
60008,Tất cả người chơi trong Khu Vực,Nhóm Người chơi,All Players in |@1
70001,Vị Trí Sinh Vật,Sinh vật,@1|'s location
70002,Đặc Tính Sinh Vật,Sinh vật,@1|'s |@2
70004,Nhận ID của sinh vật trong Nhóm Sinh Vật,Sinh vật,ID of |@2| in |@1
70005,Góc Nhìn của Sinh Vật,Sinh vật,@1|'s facing angle
70006,Tên Sinh Vật,Sinh vật,Type name of |@1
70007,Xác Định Cá Nhân,Sinh vật,@1||@2||@3
70008,Xác Định Loại,Sinh vật,@1||@2||@3
70009,Xác Định Nhóm Sinh Vật,Sinh vật,@1||@2| in set |@3
70010,Xác Định Khu Vực,Sinh vật,@1||@2| in Area |@3
70011,Xác định Trạng Thái,Sinh vật,@1||@2| obtains |@3| effect
70012,Nhóm Sinh Vật,Sinh vật,@1|'s team
70013,Chọn Loại Sinh Vật,Sinh vật,Type of |@1
70014,Loại Sinh Vật Ngẫu Nhiên,Sinh vật,Random creature type
70015,Loại Sinh Vật,Sinh vật,|@1
70016,Nhóm Sinh Vật,Sinh vật,|@1
70017,Chỉ định ngoại hình sinh vật,Sinh vật,@1|Ngoại hình
70018,Nhóm Sinh Vật,Sinh vật,|@1
70019,Loại nhóm sinh vật,Sinh vật,|@1
70020,Sinh vật.,Sinh vật,|@1
70021,Sinh vật bắn vật ném,Sinh Vật,Sinh vật bắn vật ném
80001,Số Sinh Vật trong Nhóm Sinh Vật,Nhóm Sinh vật,Number of creature in |@1
80002,Chọn ID của Sinh Vật trong Nhóm Sinh Vật,Nhóm Sinh vật,Creature numbered |@2| in |@1
80003,Sinh Vật Ngẫu Nhiên trong Nhóm Sinh Vật,Nhóm Sinh vật,Random creature in |@1
80004,Tất cả Sinh Vật trong Nhóm,Nhóm Sinh vật,All Creatures in |@1
80005,Tất cả Sinh Vật trong Khu Vực,Nhóm Sinh vật,All Creatures in |@1
90001,Vị trí của vật phẩm khi rơi,Vật phẩm,Location of |@1
90002,Số vật phẩm rơi,Vật phẩm,Number of |@1
90003,Số vật phẩm sẽ được thay đổi trong Túi của Người Chơi,Vật phẩm,The number of items that have changed in the player's backpack
90004,Loại Vật Phẩm,Vật phẩm,Type name of |@1
90005,Xác Định Loại,Vật phẩm,@1||@2||@3
90006,Xác Định Khu Vực Rơi Của Vật Phẩm,Vật phẩm,@1||@2| in Area |@3
90007,Xác Định Khu Vực Của Vật Ném,Vật phẩm,@1||@2| in Area |@3
90008,Loại Vật Phẩm Rơi,Vật phẩm,Type of |@1
90009,Loại Đạo Cụ,Vật phẩm,|@1
90012,Nhóm loại đạo cụ,Vật phẩm,|@1
90013,Loại đạo cụ ngẫu nhiên,Vật phẩm,Loại đạo cụ ngẫu nhiên
100001,Chế độ thời tiết toàn cục hiện tại,Thế giới,Nhận chế độ thời tiết toàn cục hiện tại
100002,Khoảng cách giữa các vị trí,Thế giới,The distance between |@1| and |@2
100003,So sánh thời tiết,Thế giới,@1||@2||@3
100004,So sánh khối,Thế giới,@1||@2||@3
100005,Trạng thái công tắc của Khối,Thế giới,Toggle state of blocks in |@1
100006,Xác định vị trí trong Khu Vực,Thế giới,@1||@2| in Area |@3
100007,Chọn Loại Khối trong vị trí cụ thể,Thế giới,Block type of |@1
100008,Hướng: Từ một vị trí đến vị trí khác,Thế giới,Hướng từ |@1| tới |@2
100009,Hướng tọa độ 3 trục tuyệt đốt,Thế giới,"Hướng của X|@1|, Y|@2|, Z|@3"
100010,Hướng tọa độ hình cầu tuyệt đối,Thế giới,"Hướng của góc phương vị |@1|, độ cao|@2"
100011,Vị trí,Thế giới,|@1
100012,Khu vực,Thế giới,|@1
100013,Đồng hồ,Thế giới,|@1
100014,Vị trí nhóm,Thế giới,|@1
100015,Khu vực nhóm,Thế giới,|@1
100016,Thời gian nhóm,Thế giới,|@1
100017,Thời tiết ngẫu nhiên,Thế giới,Thời tiết ngẫu nhiên
100018,Thời tiết của nhóm địa hình,Thế giới,Thời tiết của @1|
110001,Chọn phương tiện di chuyển của người chơi,Thế giới,Phương tiện của |@1
120001,Hiệu ứng đặc biệt ngẫu nhiên,Hiệu ứng đặc biệt,Hiệu ứng đặc biệt ngẫu nhiên
120002,Loại hiệu ứng đặc biệt,Hiệu ứng đặc biệt,|@1
120003,Nhóm loại hiệu ứng đặc biệt,Hiệu ứng đặc biệt,|@1
130001,Quảng cáo đang phát hiện tại,Phát,Nhận tên vị trí phát quảng cáo hiện tại
140001,Loại khối vuông,Khối vuông,|@1
140002,Nhóm loại khối vuông,Khối vuông,|@1
150001,Hộp văn bản,Thông tin hiển thị,"Nội dung văn bản: |@1|, Cỡ chữ: |@2|, Độ trong suốt nền: |@3|%, ID: |@4"
150002,Văn bản nổi,Thông tin hiển thị,"Nội dung Văn bản: |@1|, Cỡ chữ: |@2|, ID: |@3|"
150003,Thanh tiến trình,Thông tin hiển thị,"Cài đặt cho Thanh tiến trình, Giá trị hiện tại: |@1|, Giá trị tối đa: |@2|, Màu thanh: |@3|, ID: |@4|"
150004,Mũi tên chỉ đến đối tượng mục tiêu,Thông tin hiển thị,"Trỏ tới |@1|, kích thước của mũi tên là |@ 2|, màu là |@3|, ID là |@4"
150005,Mũi tên chỉ đến vị trí mục tiêu,Thông tin hiển thị,"Trỏ tới |@1|, kích thước của mũi tên là |@ 2|, màu là |@3|, ID là |@4"
150006,Khu vực hướng dẫn của đối tượng,Thông tin hiển thị,"Trỏ tới |@1|, kích thước của vùng hướng dẫn là |@ 2|, màu là |@3|, ID là |@4"
150007,Khu vực hướng dẫn của vị trí,Thông tin hiển thị,"Trỏ tới |@1|, kích thước của vùng hướng dẫn là |@ 2|, màu là |@3|, ID là |@4"
150008,Chỉ dẫn hướng đến đối tượng,Thông tin hiển thị,"Trỏ tới |@1|, kích thước của vùng hướng dẫn là |@ 2|, màu là |@3|, ID là |@4"
150009,Chỉ dẫn hướng đến vị trí,Thông tin hiển thị,"Trỏ tới |@1|, kích thước của vùng hướng dẫn là |@ 2|, màu là |@3|, ID là |@4"
160001,Màu sắc ngẫu nhiên,Màu sắc,Màu ngẫu nhiên
170001,ID vị trí trong nhóm vị trí,Nhóm vị trí,ID vị trí |@2| trong |@1
170002,Vị trí ngẫu nhiên trong nhóm vị trí,Nhóm vị trí,Vị trí ngẫu nhiên trong |@1
180001,ID khu vực trong nhóm khu vực,Nhóm khu vực,ID khu vực |@2| trong |@1|
180002,Khu vực ngẫu nhiên trong nhóm khu vực,Nhóm khu vực,Khu vực ngẫu nhiên trong |@1|
190001,ID giá trị trong nhóm giá trị,Nhóm số,ID giá trị |@2| trong |@1|
190002,Giá trị ngẫu nhiên trong nhóm giá trị,Nhóm số,Giá trị ngẫu nhiên trong |@1|
190003,Nhận giá trị lớn nhất trong nhóm số,Nhóm số,Nhận giá trị lớn nhất trong |@1|
190004,Nhận giá trị nhỏ nhất trong nhóm số,Nhóm số,Nhận giá trị nhỏ nhất trong |@1|
200001,ID chuỗi trong nhóm chuỗi,Nhóm chuỗi,ID chuỗi |@2| trong |@1|
200002,Chuỗi ngẫu nhiên trong nhóm chuỗi,Nhóm chuỗi,Chuỗi ngẫu nhiên trong |@1|
210001,ID Boolean trong nhóm giá trị Boolean,Giá trị boolean,ID boolean |@2| trong |@1|
210002,Giá trị Boolean ngẫu nhiên trong nhóm giá trị Boolean,Giá trị boolean,Boolean ngẫu nhiên trong |@1|
220001,ID khối trong nhóm loại khối,Loại khối,ID khối |@2| trong |@1|
220002,Loại khối ngẫu nhiên trong nhóm loại khối,Loại khối,Loại khối ngẫu nhiên trong |@1|
230001,ID vật phẩm trong nhóm loại vật phẩm,Loại sản phẩm,ID vật phẩm |@2| trong |@1|
230002,Loại vật phẩm ngẫu nhiên trong nhóm loại vật phẩm,Loại sản phẩm,Vật phẩm ngẫu nhiên trong |@1|
240001,ID sinh vật trong nhóm sinh vật,Loại sinh vật,ID sinh vật |@2| trong |@1|
240002,Loại sinh vật ngẫu nhiên trong nhóm loại sinh vật,Loại sinh vật,Sinh vật ngẫu nhiên trong |@1|
250001,ID thời gian trong nhóm thời gian,Nhóm hẹn giờ,ID bộ đếm |@2| trong |@1|
250002,Thời gian ngẫu nhiên trong nhóm thời gian,Nhóm hẹn giờ,Bộ đếm ngẫu nhiên trong |@1|
260001,ID hiệu ứng đặc biệt trong nhóm loại hiệu ứng đặc biệt,Loại hiệu ứng đặc biệt,ID hiệu ứng đặc biệt |@2| trong |@1|
260002,Loại hiệu ứng đặc biệt ngẫu nhiên trong nhóm loại hiệu ứng đặc biệt,Loại hiệu ứng đặc biệt,Hiệu ứng đặc biệt ngẫu nhiên trong |@1|
270004,Nhận loại icon vật phẩm,Chung,|@1
270005,Nhận icon sinh vật,Chung,|@1
270006,Nhận loại icon sinh vật,Chung,|@1
270007,Nhận icon status,Chung,|@1
270008,Nhận loại icon khối,Chung,|@1
270009,Nhận icon nhân vật gần đây  của người chơi,Chung,Hiện tại |@1| Icon nhân vật
270010,Nhận icon thanh lối tắt  của người chơi,Chung,Đặt |@1| thanh lối tắt làm icon của |@2
280001,Kiểu ném ngẫu nhiên,Vật ném,Kiểu ném ngẫu nhiên
290001,Âm thanh ngẫu nhiên,Âm thanh,Âm thanh ngẫu nhiên
300001,Vị trí do máy chủ thu được,Lưu trữ dữ liệu,Vị trí do máy chủ thu được
300002,Khu vực do máy chủ thu được,Lưu trữ dữ liệu,Khu vực do máy chủ thu được
300003,Giá trị do máy chủ thu được,Lưu trữ dữ liệu,Giá trị do máy chủ thu được
300004,Chuỗi ký tự do máy chủ thu được,Lưu trữ dữ liệu,Chuỗi ký tự do máy chủ thu được
300005,Giá trị boolean do máy chủ thu được,Lưu trữ dữ liệu,Giá trị boolean do máy chủ thu được
300006,Người chơi do máy chủ thu được,Lưu trữ dữ liệu,Người chơi do máy chủ thu được
300007,Loại khối do máy chủ thu được,Lưu trữ dữ liệu,Loại khối do máy chủ thu được
300008,Loại đạo cụ do máy chủ thu được,Lưu trữ dữ liệu,Loại đạo cụ do máy chủ thu được
300009,Sinh vật do máy chủ thu được,Lưu trữ dữ liệu,Sinh vật do máy chủ thu được
300010,Loại sinh vật do máy chủ thu được,Lưu trữ dữ liệu,Loại sinh vật do máy chủ thu được
300011,Đồng hồ do máy chủ thu được,Lưu trữ dữ liệu,Đồng hồ do máy chủ thu được
300012,Loại hiệu ứng đặc biệt do máy chủ thu được,Lưu trữ dữ liệu,Loại hiệu ứng đặc biệt do máy chủ thu được
300013,Thứ hạng có được bởi bảng xếp hàng,Lưu trữ dữ liệu,Thứ hạng có được bởi bảng xếp hàng
300014,Tên ghi nhận trên máy chủ (key),Lưu trữ dữ liệu,Nhận tên chỉ mục bảng xếp hạng và máy chủ (khóa)
300015,Người chơi ghi nhận trên máy chủ (key),Lưu trữ dữ liệu,Nhận người chơi chỉ mục bảng xếp hạng và máy chủ (khóa)
